[0.00-5.10] 各位投资先进下午好
[1372.58-1375.58] 输到20%的这样一个目标来达成
[1375.58-1376.58] 那因此呢
[1376.58-1378.58] 基于在整个稳健成长跟
[1378.58-1380.58] 稳健经济跟永续成长的部分呢
[1380.58-1382.58] 除了优先的稳定
[1382.58-1384.58] 我们在整体的营收的一个展望之外呢
[1384.58-1386.58] 我们最主要的还是回归到
[1386.58-1388.58] 我们在整体的一个毛利率
[1388.58-1390.58] 跟长期营业利率的一个目标
[1390.58-1391.58] 那当然了
[1391.58-1393.58] 随着我们在整体的一个
[1393.58-1395.58] 循环经济的一个站稳脚步
[1395.58-1399.58] 那我们在整体的一个对旅的一个目标
[1399.58-1401.58] 我们的应用的部分
[1401.58-1403.58] 能够更加的一个布局
[1403.58-1405.58] 让我们也开始慢慢的
[1405.58-1406.58] 让客户接触到
[1406.58-1407.58] 了解到
[1407.58-1410.58] 再生率其实并不如他们过去所想象的
[1410.58-1412.58] 这样的一个品质的一个
[1412.58-1413.58] 有这样的一个差异
[1413.58-1414.58] 因此呢
[1414.58-1416.58] 我们希望能够将这样的一个优势
[1416.58-1418.58] 往不同的产业来推动
[1418.58-1420.58] 那也希望我们在整体的一个
[1420.58-1422.58] 这样的一个架构之下
[1422.58-1425.58] 能够跟台湾更多的产业做连结
[1425.58-1427.58] 那让我们的潜在市场扩大
[1427.58-1429.58] 不仅只现在整体的营业
[1429.58-1431.58] 我们也希望能够在整体的一个汽车产业的部分
[1431.58-1433.58] 也希望能够跨足到
[1433.58-1434.58] 像我们刚刚所提的
[1434.58-1436.58] 在整个半导体原料的部分
[1436.58-1438.58] 在整个中电设备一些零件的部分
[1438.58-1440.58] 那以及我们在整个
[1440.58-1443.58] 所有的一个旅应用的部分来去做服务
[1443.58-1444.58] 因此呢
[1444.58-1448.58] 我们也希望透过这样的一个营运效率的优化
[1448.58-1450.58] 来达成我们长期营业利率
[1450.58-1453.58] 那我们在整体的一个分配率的部分
[1453.58-1455.58] 其实现在老板的意思是
[1455.58-1456.58] 我们要在60%以上
[1456.58-1458.58] 那这个简报还没有更新
[1458.58-1459.58] 所以抱歉
[1459.58-1463.58] 不过各位可以从昨天的董事会议记录来看的话
[1463.58-1466.58] 我们在3.3的一个EPS的部分
[1466.58-1468.58] 我们其实配发了2.2
[1468.58-1470.58] 其实它已经超过了60%
[1470.58-1471.58] 那也符合老板就是
[1471.58-1478.58] 我们在过去一直来设定一个目标
[1478.58-1481.58] OK好那这边就是BEN简单做的一个
[1481.58-1484.58] 第四季以及全年度的一个营业结果的报告
[1484.58-1487.58] 以及2025年度的一个展望
[1487.58-1488.58] 那如果
[1488.58-1490.58] 各位投资先进有什么问题的话
[1490.58-1492.58] 也欢迎在问与答的部分来发问
[1492.58-1493.58] 谢谢
[1493.58-1495.58] 谢谢房副总
[1495.58-1497.58] 那我们接下来是Q&A时间
[1497.58-1502.58] 那我们今天的法座会只有提供文字的提问
[1502.58-1505.58] 所以如果各位投资先进有任何问题的话
[1505.58-1508.58] 可以用下方问与答的地方
[1508.58-1510.58] 可以留言在上面
[1510.58-1511.58] 到后公司会一一回复
[1511.58-1512.58] 谢谢
[1518.58-1536.98] 多少年之后有 Tiarnit Once在 Omamori
[1536.98-1538.58] 或是R intellect?
[1538.58-1540.58] volte
[1540.58-1541.58] OK
[1541.58-1542.58] 最重要的是
[1542.58-1544.58] 现在而且还没有二十年的销量
[1544.58-1545.58] 我为什么吃吗
[1545.58-1547.58] 就说刚才小长 letters
[1547.58-1548.98] 大概是穩定的一個趨勢
[1548.98-1550.98] 那只是說名次會有變化
[1551.50-1553.58] 那在整體一個銷量的部分的話
[1553.58-1556.18] 其實我們在整體的歐洲區的一個目前
[1556.18-1559.30] 當然在佔比的部分相對來講
[1559.30-1561.98] 會比較多歐洲區的一個訂單
[1577.58-1582.42] 在Bitel體的部分
[1582.42-1586.36] 因為我們主要是當成是它的一個原料的一個
[1586.36-1588.64] 我們講說就是一個替代品
[1588.64-1591.86] 那過去的因為客戶端在使用的話
[1591.86-1593.02] 就是用板料群加工
[1593.02-1595.02] 它在整體的一個原料選號比較大
[1595.02-1599.30] 那在這個部分我們目前有一家客戶送藥
[1599.30-1601.26] 那另外的話就是說
[1601.26-1604.56] 因為整體的一個我們要配合它的一個加工的一個
[1604.56-1607.26] 加工機的一個我們講說
[1607.26-1609.50] 它需要可以加工的一個樣式
[1609.50-1612.50] 所以我們會再去做一些樣品的一個調整
[1613.18-1616.02] 來讓它去做一些上機的測試
[1616.02-1619.18] 那這個部分我們預期應該是在這個月
[1619.18-1622.82] 能夠再進行第二家的一個樣品的送樣
[1622.82-1624.50] 那當然在銷售端的部分的話
[1624.50-1627.02] 因為這一塊相對來講它比較嚴謹
[1627.02-1628.22] 我們雖然覺得預期
[1628.22-1630.58] 不過還是要看它整體的一個
[1630.58-1633.02] 我們講說是原料加工
[1633.02-1634.62] 以及它做完表面處理
[1634.62-1637.22] 以及那補行李的測試之後的進行
[1637.22-1639.98] 那這個部分當然我們自己是蠻樂觀的
[1639.98-1643.98] 不過還是要看客戶端的一些驗證的一個狀態
[1643.98-1645.34] 那在廢車用的部分的話
[1645.34-1648.46] 我們最近也比較積極的在做一些導入
[1648.46-1651.30] 這個導入的話就是我們一個製程的部分
[1651.30-1652.30] 大概最近會收尾
[1652.30-1654.78] 那在收尾的部分的話
[1654.78-1657.46] 我們在整體的一個新製程的部分的話
[1657.46-1660.78] 就會開始來跟我們原來的客戶去做接洽
[1660.78-1662.78] 看要怎麼來應用
[1662.78-1665.46] 因此在經營度的部分
[1665.46-1667.14] 在整體的半導體跟其他片段之間的部分的話
[1667.22-1668.22] 廢車用的部分
[1668.22-1672.22] 都會有一些小量的一些開發跟一些出貨
[1672.22-1673.22] 不過這個部分的話
[1673.22-1675.22] 比較具體的我們要等
[1675.22-1679.22] 就是A跟Q這邊有一個比較明確的一個計畫之後
[1679.22-1681.22] 再來跟各位說明 謝謝
[1692.22-1695.22] 然後我剛有漏掉就是說在整個
[1695.22-1697.22] 您是問就是
[1697.22-1701.22] 24年4Q的費用計算叫前期減少的原因
[1701.22-1703.22] 這個應該是在講營業費用吧是不是
[1703.22-1707.22] 那營業費用的話因為我們在剛有提到其實在
[1707.22-1714.22] 因為營業費用的話剛有跟各位說明
[1714.22-1717.22] 其實在去年的整個年中的時候
[1717.22-1720.22] 就是大概七八月整個海運費漲到高點
[1720.22-1723.22] 因此我們在那時候的整個運費支出相對比較大
[1723.22-1725.22] 那第一次季有陸續的就是
[1725.22-1726.22] 往下滑動的就是
[1727.22-1729.22] 回到比較合理的水位
[1729.22-1732.22] 當然還是跟過去的一個長期低點來講還是高
[1732.22-1735.22] 不過就是第四季的一個營業費用
[1735.22-1737.22] 就會比第三季略低一點
[1748.22-1750.22] 屏東的再生旅遊面廠的話
[1750.22-1753.22] 我們現在就是在整理的做一些內奧的一個配置
[1753.22-1755.22] 那我們預期的話大概是
[1755.22-1757.22] 廠房跟我們設備的
[1757.22-1758.22] 大概會在五年時間之前
[1758.22-1760.22] 大概可能會約當需要十幾個月的時間
[1760.22-1764.22] 那我們當然目標是看年底是能夠開始做試機
[1764.22-1768.22] 不過這個部分的話還是要會跟設備商這邊做比較積極的一個接洽
[1768.22-1771.22] 看怎麼樣來進行
[1771.22-1774.22] 那在2025年度的全家跟淨營佔比的話
[1774.22-1780.22] 應該我初估應該會來到全家大概是將近80到85
[1780.22-1782.22] 那淨成型大概就15到20
[1782.22-1785.22] 那27年的佔比啊
[1785.22-1786.22] 27年的佔比啊
[1787.22-1790.22] 我初估應該會在
[1790.22-1794.22] 因為以淨成型來講的話其實幫助的是
[1794.22-1800.22] 可能有一個比較應該說在整個我們講說採購成本上會有一些優勢
[1800.22-1804.22] 但是造型可能他們在整個設計上就會有限制
[1804.22-1806.22] 那對我們來講的話
[1806.22-1809.22] 當然這個部分的話我們會去取得一個平衡
[1809.22-1813.22] 那我初估27年的話可能會是在30跟70%左右
[1813.22-1816.22] 就是全機加70淨成型30
[1816.22-1818.22] 這我初估啦
[1818.22-1822.22] 因為最終還是會看客戶的到時候需要的一個造型
[1822.22-1826.22] 那我們要去來跟客戶討論設計上要怎麼去做調整
[1826.22-1831.22] 才能夠讓我們在可以用淨成型的工具來做服務
[1833.22-1838.22] B4的部分確實因為一開始他們其實是有有何可過
[1838.22-1840.22] 但是過程中因為他們有一些考量
[1840.22-1842.22] 所以又希望我們就是再使用原生旅
[1842.22-1846.22] 那今年度的部分他們已經有排定時間也要來去
[1846.22-1848.22] 平衡做這樣的一個認證
[1848.22-1853.22] 所以他應該是我們在今年度有機會拿到的第八個客戶的一個認證
[1858.22-1860.22] 大陸新能源車的部分
[1860.22-1865.22] 各位可以應該說我們從大陸的一個整個新車的售價來看的話
[1865.22-1870.22] 它相對來講是比較輕易進的平易進的一個售價
[1870.22-1875.22] 那因此如果以我們的平均售價超過單顆9000塊台幣的這樣一個成本的話
[1875.22-1877.22] 對他們來講其實是一個負擔
[1877.22-1881.22] 那因此我們在大陸的部分其實目前是沒有直接的客戶
[1881.22-1884.22] 那大部分都是我們交給車廠客戶之後
[1884.22-1887.22] 他裝完組完車之後送到大陸去
[1890.22-1893.22] 再生旅在2024年的比重的話
[1893.22-1898.22] 這一塊的話我們的營收占比應該不到10%
[1898.22-1900.22] 就是在2024年稍微低一點
[1900.22-1901.22] 對
[1901.22-1905.22] 那主要是因為我們其實我們現在能夠賣的行程
[1905.22-1907.22] 主要是比較大的
[1907.22-1909.22] 那過去的話因為我們有一些少量的庫存
[1909.22-1913.22] 就是過去做的一些我們講就是in guard的部分
[1913.22-1918.22] 那在2024年的話因為前期的一些再生旅的庫存慢慢的銷售
[1918.22-1920.22] 那我們現在都是以我們的圓柱棒為主
[1920.22-1924.22] 那圓柱棒在臺灣端使用的一個廠家
[1924.22-1927.22] 尤其是我們使用的12寸的這樣的一個size
[1927.22-1929.22] 其實使用的客戶比較少
[1929.22-1934.22] 那也讓我們在整體2024年再生旅的銷售就是有比較遲緩
[1934.22-1938.22] 那因此呢我們才會在去年就是經過董事會的通過
[1938.22-1940.22] 我們設立第二座熔鏈廠
[1940.22-1943.22] 讓我們的整個供應的形態能夠範圍比較大
[1943.22-1947.22] 來以能夠期望供應給更多的客戶來使用
[1949.22-1950.22] 不好意思
[1950.22-1952.22] 你等一下那個就是回答問題的時候
[1952.22-1954.22] 可以幫我先稍微問一下
[1954.22-1956.22] 講一下問題嗎
[1956.22-1961.22] 因為好像投資人反應說他好像不太了解在回答什麼
[1961.22-1962.22] 好的
[1962.22-1963.22] 謝謝你喔
[1963.22-1964.22] 謝謝
[1964.22-1966.22] 那我接下來是國泰Peki問的
[1966.22-1968.22] 就是美國關稅的影響
[1968.22-1970.22] 那你現在我們在新聞上都看到
[1970.22-1974.22] 美國全面對鋁鋼產品課徵進口關稅
[1974.22-1977.22] 但是呢這個鋁鋼產品其實
[1977.22-1982.22] 實務作業上我們還是會回歸到它的整個一個進口的稅責
[1982.22-1987.22] 那很幸運的我們目前出口到美國的稅責呢
[1987.22-1991.22] 並還沒有在它的一個需要課徵關稅的清單裡面
[1991.22-1993.22] 因此呢這個部分對我們來講是暫時沒有影響
[1993.22-1996.22] 但是呢我們不知道未來會有什麼樣的一個變化
[1996.22-1998.22] 因此呢我們還是會持續的關注
[1998.22-2001.22] 那也會先跟客人預告
[2001.22-2004.22] 當有這個影響的時候我們要怎麼樣來共同來去解決它
[2008.22-2011.22] 那接下來問的是在整個再生率的一個
[2011.22-2016.22] 我們的一個年終曾經有到單月使用率50
[2016.22-2018.22] 那後來有降低到40
[2018.22-2020.22] 11只有34
[2020.22-2022.22] 那這個部分的話其實主要是因為
[2023.22-2028.22] 我們使用再生率的一個產品它其實是需要去做過產品認證
[2028.22-2033.22] 那有認證過的這些產品我才可以在投入的時候使用再生率
[2033.22-2037.22] 那各位也可以知道我們在整個生產品項的過程中其實
[2037.22-2039.22] 客戶的需求會變動
[2039.22-2042.22] 那有時候它有可可的需求減少的
[2042.22-2044.22] 那其他的需求上來
[2044.22-2048.22] 那就會讓我們在會有這樣的一個使用上的一個差異
[2048.22-2051.22] 那我們的一個熔鏈廠呢其實對我們來講的話
[2051.22-2053.22] 因為熔鏈廠一開
[2053.22-2055.22] 我們基本上就會讓它是
[2055.22-2058.22] 我們講說就是能夠連續式的生產
[2058.22-2061.22] 因為我們講說就是
[2061.22-2068.22] 以我的起鑄跟停鑄之間會有一些能源的損耗跟產能的損耗
[2068.22-2071.22] 那因此我們不管是客戶有沒有要用
[2071.22-2075.22] 在我們的整個有足夠的一個量
[2075.22-2077.22] 跟我們的設備是可以使用的狀況之下
[2077.22-2081.22] 我們都會讓我們的產品能夠順利的到
[2081.22-2083.22] 應該說就是會讓熔鏈廠的生產力能夠夠夠的上升
[2083.22-2085.22] 去投產來生產
[2085.22-2088.22] 那這個部分剛也跟您說明到就是說
[2088.22-2091.22] 雖然我們設定了每年5億的一個存貨降幅
[2091.22-2095.22] 但是呢因為在整體的一個再生率的使用比例
[2095.22-2097.22] 跟預期還是有些落差
[2097.22-2100.22] 因此我們在23年到24年的話
[2100.22-2102.22] 我們的存貨大概只降了3億
[2102.22-2104.22] 就是沒有來到我們目標的5億
[2104.22-2108.22] 但是呢雖然說我的再生率的整體使用率只有34%
[2108.22-2111.22] 不過呢它反映到我們的毛利上
[2111.22-2112.22] 其實已經有一些
[2113.22-2114.22] 注意
[2114.22-2117.22] 那也因此呢這個是我們在25年看待的時候
[2117.22-2119.22] 我們也了解到
[2119.22-2122.22] 尤其是最近的旅價在漲
[2122.22-2124.22] 那我們使用在這裡的話
[2124.22-2126.22] 其實各位可以想像就是
[2126.22-2128.22] 我用的是比較低
[2128.22-2130.22] 就是過去留下來這些旅
[2130.22-2132.22] 那未來賣給客人的話
[2132.22-2134.22] 是能夠使用比較高的旅價賣給客戶
[2134.22-2136.22] 那這個就回過頭
[2136.22-2137.22] 小型公司的旅
[2137.22-2140.22] 因為它是我們的產品是可以隨著LME
[2140.22-2141.22] 來反映給客戶
[2141.22-2143.22] 而且是依照
[2143.22-2145.22] 它提貨時間前的一個均價
[2145.22-2146.22] 因此呢
[2146.22-2148.22] 我們大概是唯一大概是
[2148.22-2150.22] 我們希望原料是還漲
[2150.22-2152.22] 那我們就可以一直的是買低賣高
[2152.22-2156.22] 來讓我們在營收端創造更多的一個貨印
[2161.22-2164.22] 那KGI的部分目前有提到
[2164.22-2166.22] 就是說就是取的訂單
[2166.22-2168.22] 那這個部分也先跟您說明
[2168.22-2171.22] 因為在半導體產業的部分
[2171.22-2173.22] 我們拜訪完之後
[2173.22-2175.22] 其實當然
[2175.22-2178.22] 他們也是會有一些所謂的一個認證
[2178.22-2182.22] 跟一些我們講就是非認證客戶的一個需求
[2182.22-2183.22] 那初期呢
[2183.22-2185.22] 當然大家還是會希望
[2185.22-2189.22] 觀望需要認證客戶的這樣的一個結果
[2189.22-2190.22] 因此呢
[2190.22-2192.22] 最近我們在拜訪另外一家客戶的時候
[2192.22-2194.22] 他們也很清楚的說
[2194.22-2198.22] 這一個這一條路其實會跟企業產業差不多
[2198.22-2199.22] 那但是呢
[2199.22-2201.22] 最終還是我們既然已經設定了這個目標
[2201.22-2202.22] 而且我們的這個目標呢
[2202.22-2204.22] 而且我們的認證期在進行
[2204.22-2207.22] 那前一次的一個原來認證期
[2207.22-2209.22] 結果是正向的
[2209.22-2212.22] 只是呢我們現在要落實到就是說
[2212.22-2218.22] 要進階到去做一個所謂的一個槍體內零件的認測
[2218.22-2220.22] 這事又是更隱刻的
[2220.22-2221.22] 那這個部分呢
[2221.22-2223.22] 當然也需要的時間
[2223.22-2225.22] 我們保守的預估的話
[2225.22-2227.22] 當然可能是半年
[2227.22-2229.22] 就幾乎兩年時間
[2229.22-2232.22] 不過呢我們會積極的就是搭配不同的客戶
[2232.22-2236.22] 來去做用不同的一個加差的一個認證
[2236.22-2239.22] 來去讓客人了解到整個材料特性
[2239.22-2242.22] 那也依照他們的需求來看
[2242.22-2245.22] 怎麼樣來去做一些服務
[2245.22-2247.22] 那未來在輪圈營收的部分
[2247.22-2249.22] 當然以現階段來講的話
[2249.22-2251.22] 大概有超過9成以上
[2251.22-2253.22] 還是屬於來自輪圈的營收
[2253.22-2257.22] 那如同我們在去年度有跟各位說明的
[2257.22-2259.22] 我們希望在未來三年度
[2259.22-2262.22] 能夠將非輪圈的營收佔比提升到4%
[2262.22-2265.22] 因此呢我們在整體的一個非輪圈產業的部分
[2265.22-2268.22] 也積極的在從研發端
[2268.22-2270.22] 產品的研發製成的研發
[2270.22-2274.22] 以及我們在整體的一個事業的一些調整
[2274.22-2276.22] 那當然這個事業部分
[2276.22-2279.22] 新事業的部分就是在整體的再生旅的話
[2279.22-2282.22] 它也是扮演一個相當關鍵的一個角色
[2288.22-2290.22] 那在接下來問的就是說
[2290.22-2292.22] 非乘用車旅圈呢
[2292.22-2295.22] 非乘用車旅圈的毛利的話
[2295.22-2297.22] 我目前我們看到的話就是
[2297.22-2300.22] 以現況來看的話其實
[2300.22-2304.22] 坦白講它因為我們自己的料可以自己控制
[2304.22-2308.22] 所以毛利率會比目前就是我們看的整體毛利率要好
[2308.22-2310.22] 那以現況來講的話
[2310.22-2314.22] 我們的營收佔比主要來自於
[2314.22-2315.22] 當然就是說有一些
[2315.22-2318.22] 剛剛各位有看到就是會有一些
[2318.22-2320.22] 我們少量的一些飛機座椅零件
[2320.22-2322.22] 那包含就是我們在
[2322.22-2324.22] 非乘用車的部分我們還有兩輪的
[2324.22-2326.22] 那接下來我們還有一些再生旅
[2326.22-2328.22] 那當然以現階段我們
[2328.22-2330.22] 比較積極的阻力會是在
[2330.22-2335.22] 在生旅產業以及跟非車用零件的應用的一個部分
[2335.22-2338.22] 那未來這一塊的效益的話其實
[2338.22-2341.22] 以再生旅跟我們講說就是在一些
[2341.22-2344.22] 旅料應用不管是在幾行
[2344.22-2347.22] 或者是在一些我們講說半導體材料應用的部分的話
[2347.22-2350.22] 這個部分的話我覺得兩個的速度其實
[2350.22-2352.22] 都有機會先
[2352.22-2354.22] 那我沒辦法說誰先
[2354.22-2356.22] 因為我們在跑業的過程
[2356.22-2358.22] 我們當然希望就是不同的業務族群的人
[2358.22-2360.22] 他能夠積極的去開發
[2360.22-2362.22] 那以下一段的話
[2362.22-2367.22] 我個人覺得就是說半導體部分會快一點
[2367.22-2371.22] 那旅的部分因為主要是會設限在我們整個產能
[2371.22-2375.22] 就是我們的新的產線的部分要設置完成
[2375.22-2376.22] 然後開始來擴展
[2376.22-2379.22] 那才有機會來去做一個代工跟銷售的一個服務
[2380.22-2385.22] 好那接下來是問到就是說
[2385.22-2387.22] 2024年整體輪圈的銷量
[2387.22-2390.22] 那20年的話我們的整體銷量是70萬顆
[2390.22-2393.22] 對就是也是維持在我們一個相當的水準
[2393.22-2396.22] 那當然我們的整體銷量的部分其實
[2396.22-2402.22] 比較難去看我們的應該是說比較難去
[2402.22-2404.22] 儀量比較難去看我們的貢獻度
[2404.22-2406.22] 我們應該是要從它的均價
[2406.22-2409.22] 那我們均價這幾年其實是持續的在提升
[2409.22-2410.22] 那因為每年我們有很多的公司
[2410.22-2413.22] 每一顆輪圈需要投入的資源是更多的
[2415.22-2418.22] 然後更新同業的動態
[2418.22-2422.22] 好那這個部分的話我們之後再看是不是有機會
[2422.22-2424.22] 因為有些同業的動態也蠻敏感的
[2424.22-2427.22] 我們也不太希望人家知道我們的狀態
[2427.22-2431.22] 所以我們在收集的過程中其實會透過其他的一些
[2431.22-2434.22] 包含是設備業或者是客戶端去了解
[2434.22-2437.22] 那這個部分可能就是有機會下一次
[2437.22-2440.22] 我們就是可能一樣用法說的方式來去
[2440.22-2441.22] 來跟各位說明
[2441.22-2445.22] 那在電動車的這三點比例其實我們初看
[2445.22-2447.22] 大家都是在接近10%
[2447.22-2450.22] 因為整體的一個客戶端在應對上
[2450.22-2453.22] 尤其在電動車的部分坦白講是有放緩
[2453.22-2458.22] 那放緩的前提之下的話他們在歐洲的話
[2458.22-2462.22] 比如說他們還是會回歸到類似引擎系統
[2462.22-2464.22] 那可能他是用所謂的一個油電
[2464.22-2468.22] 或者是他是用一些我們講就是再生能源的部分來去
[2468.22-2469.22] 我們生殖能源的部分來讓它是用一些我們講就是再生能源的部分來去
[2469.22-2471.22] 讓它是更環保的
[2471.22-2476.22] 那因此整個電動車的部分的話其實對我們來講都是一樣的客戶
[2476.22-2481.22] 那當然我們也希望能夠維持我們在服務客戶端
[2481.22-2485.22] 就是在輕量化然後再提升續航力
[2485.22-2487.22] 或者是降低碳排的部分
[2487.22-2493.22] 從這個角度來提供不管是電車或者是傳統車輛的一個服務
[2493.22-2502.22] 那接下來問的是在23年的毛利在24%以下
[2502.22-2506.22] 那現在27那因為單機的營收差異不大
[2506.22-2511.22] 那毛利率提升的因素就是他有問到是不是有一些低價的庫存
[2511.22-2514.22] 或者是計算性提高或者是再生率比例的提高
[2514.22-2518.22] 那這個部分當然我想最主要的應該是說
[2518.22-2520.22] 其實庫存對我們來講它是移動平均
[2520.22-2522.22] 所以在後續的營收上來講
[2523.22-2529.22] 在整體的一些成本上其實如果說我們的一個整體的生產效率跟良率沒有起來的話
[2529.22-2533.22] 我們其實會沒有辦法達成這樣的一個毛利的一個提升
[2533.22-2539.22] 那當然進程性的提高的話會讓我們在整體的一個生產總成本的部分能夠有一些降低
[2539.22-2543.22] 因為過去我們也跟郭宇說明在進程型的人權
[2543.22-2548.22] 它其實可以大幅的減少在整個CNC產能的一個建置
[2548.22-2550.22] 跟我們在整體能源的支出
[2550.22-2552.22] 因為CNC的一個量體就是說
[2552.22-2553.22] 它會
[2553.22-2557.22] 使用到我的一個電力的部分
[2557.22-2560.22] 然後還有就是我們的一個工廠面積的部分
[2560.22-2563.22] 那當然這個部分的話我們透過這樣的話
[2563.22-2565.22] 就可以讓我的基本支出能夠不像過去
[2565.22-2570.22] 就是剛剛有跟郭宇說明可能不用說一支就要買個一兩百台一個CNC
[2570.22-2574.22] 那當然我們最近也是有一些政府的專案在進行
[2574.22-2580.22] 我們希望能夠去跟設備商去做一些機種的一些開發研究
[2580.22-2582.22] 讓我們透過機種的一個升級
[2582.22-2587.22] 來降低我們的一個在CNC的一個加工的一個時間
[2587.22-2592.22] 那當然再生鋁的一個使用對毛利一定是有直接的貢獻
[2592.22-2595.22] 因為我們的整個再生鋁在整個生產的一個過程中
[2595.22-2599.22] 它其實較原生鋁在同鋁價的基礎下
[2599.22-2602.22] 就有大概10%到15%的一個價格的一個差異
[2602.22-2605.22] 因此如果說鋁價是在上漲的環節
[2605.22-2607.22] 那我們這樣一個差異其實會擴大
[2607.22-2611.22] 剛好去年下半年其實鋁價是有稍微的一個
[2611.22-2613.22] 緩漲
[2613.22-2615.22] 那這個當然在我們的毛利端也會有相當
[2615.22-2617.22] 也會有一些注意
[2621.22-2624.22] 接下來是台中銀投信問的
[2624.22-2627.22] 就是純化中鋁庫存的成本比市價低多少幅度
[2627.22-2631.22] 這個我請我們的朝長來說明一下
[2631.22-2636.22] 鋁價的庫存就是跟市價比
[2636.22-2638.22] 我們鋁價的庫存
[2638.22-2641.22] 鋁的庫存成本的話
[2641.22-2643.22] 基本上都是低於市價
[2643.22-2645.22] 目前低多少
[2645.22-2647.22] 這個是重點
[2647.22-2649.22] 潛在的升值空間
[2649.22-2654.22] 應該是有大概15%到20%這邊
[2654.22-2658.22] 意思是說我們如果有33億的庫存
[2658.22-2661.22] 那這裡面大概會有4到5億的一個潛在的利益
[2661.22-2662.22] 對
[2662.22-2663.22] 謝謝朝長
[2663.22-2669.22] 那這個部分當然也是我們的一個有利的一個
[2669.22-2671.22] 算是一個未來可以
[2671.22-2673.22] 貢獻在我們的營收端
[2673.22-2675.22] 不管是使用這樣的一個鋁料
[2675.22-2677.22] 在生產輪圈
[2677.22-2679.22] 或者是我們能夠直接的去販售
[2679.22-2683.22] 好以上大概是我目前看到的一個問答
[2688.22-2692.22] 請問線上的投資先進還有問題需要提問了嗎
[2694.22-2696.22] 如果你有問題要提問的話
[2696.22-2700.22] 請在問答的地方留言謝謝
[2701.22-2702.22] 謝謝
[2731.22-2732.22] 好
[2732.22-2733.22] 好
[2733.22-2735.22] 這面是請公司再說明一下第一期跟全年的展望
[2735.22-2739.22] 那我們在整體的部分其實我們看
[2739.22-2741.22] 全年的話其實
[2741.22-2747.22] 一汽車產業的一個傳統旺季大概是在第三季末到第四季初
[2747.22-2752.22] 就是大概從9到11月的這一段期間
[2752.22-2758.22] 一般他們的主要是因為他的新車就是所謂的一個model year是10月份開始起算
[2758.22-2760.22] 所以他每年10月組的車子都是次年度的一個
[2760.22-2764.22] 新年份的一個車種
[2764.22-2768.22] 那今年度的話我們的當然營收目標就如同剛跟各位所說明的
[2768.22-2770.22] 其實我們5年不以還是在10%
[2770.22-2775.22] 那我們就會有一些客戶的一些配置
[2775.22-2777.22] 那當然這些客戶的部分的話因為
[2777.22-2781.22] 客戶的需求其實還是會隨著他的一個買車的客戶來去做一些調整
[2781.22-2783.22] 不過以目前看起來的話
[2783.22-2789.22] 我們在整體的1 2月零收其實2月零收也是穩定的比1月份成長
[2789.22-2790.22] 那因此呢
[2790.22-2795.22] 在今年度的整體的一個趨勢下其實目前還是朝著我們的目標在前進
[2795.22-2800.22] 那營收配比的部分當然就是剛剛有聽
[2800.22-2804.22] 跟各位說明就是說在第三跟第四季的部分當然稍微比重會高一點
[2804.22-2813.22] 那接下來就是說在整個有投資人問就是有沒有機會計畫切入機器人相關應用
[2813.22-2818.22] 其實這個部分的話我們一直在搜尋包含機器人跟無人機的部分
[2818.22-2819.22] 因為比較清醒無人機的部分的話就是我們有一個計畫切入機器人相關應用
[2819.22-2823.22] 比較清醒無人機可能就是會比較少應用到結構件
[2823.22-2826.22] 因為它有輕量化的可能大量負殘
[2826.22-2829.22] 那機器人的部分的話當然有一些結構強度的部分的話
[2829.22-2835.22] 這個部分我們也在看是不是能夠從我們未來的一些我們講說就是
[2835.22-2838.22] 鋁熔鏈小型型材的部分來去做供應
[2838.22-2843.22] 因為現況來講的話當然台灣有些同業他也是急著在做這樣一個佈局
[2843.22-2847.22] 那對我們來講的話其實未來的機器人我個人也相信他會大幅度的使用去取得
[2847.22-2850.22] 一些人力的一個使用
[2850.22-2857.22] 那包含我們自己也是我們希望透過不管是手臂型的或者是在一些比較大型的一些的應用
[2857.22-2864.22] 因此我們現在在看的話就是說在整體的一個除了一些電控元件以外
[2864.22-2867.22] 這個是我們比較沒辦法涉獵但是在整體一個基礎類的部分
[2867.22-2872.22] 那尤其只要它有一些強度的要求或者是一些簡單的需求
[2872.22-2875.22] 這個東西都是我們的一個目標
[2875.22-2877.22] 那當然也很
[2877.22-2882.22] 感謝投資人就是提醒我們在機器人跟無人機的部分它是不能夠錯過的
[2882.22-2889.22] 那這個也是我們在整個業務端跟研發端也積極的在了解適合的應用
[2889.22-2891.22] 那來做切入
[2891.22-2895.22] 那當然我們目前有另外一個製程其實它就比較適合做這樣一個多元的應用
[2895.22-2901.22] 那這個製程的話我們也應該是在上半年能夠有一個比較具體的結果
[2901.22-2907.22] 那我們就可以展開後續的一個Savvy的一些應用跟後續的一個新產品
[2907.22-2909.22] 那就是我們在整體的一個開發
[2909.22-2911.22] 謝謝
[2911.22-2913.22] 好
[2913.22-2915.22] 好
[2915.22-2917.22] 好
[2917.22-2919.22] 好
[2919.22-2921.22] 好
[2921.22-2923.22] 好
[2923.22-2925.22] 好
[2925.22-2927.22] 好
[2927.22-2929.22] 好
[2929.22-2931.22] 好
[2931.22-2933.22] 好
[2933.22-2935.22] 好
[2935.22-2937.22] 好
[2937.22-2939.22] 好
[2939.22-2941.22] 好
[2941.22-2943.22] 好
[2943.22-2945.22] 好
