[0.00-5.06] 大家好,欢迎参加合作联合科技2024年第四季线上访说会。
[1942.14-1944.14] 这些去年都有一定的进步
[1944.14-1947.14] 就是为什么你看到的好一点
[1947.14-1949.14] 当Revenue下来的时候
[1949.14-1952.14] 会可以接受的最主要原因
[1955.14-1959.14] 另外一部分就是说针对一些AI Server
[1959.14-1962.14] 其实单价都非常高
[1962.14-1965.14] 那它的零部件
[1965.14-1971.14] 也很难去跟供应商做太多的Negotiation
[1971.14-1975.14] 不过我想就是说做生意的本质就是
[1975.14-1977.14] 精精细较
[1977.14-1981.14] 今天不管是客户Free Consign
[1981.14-1983.14] 还是Buy Sale
[1983.14-1985.14] 或者是
[1985.14-1986.14] Tenkey
[1986.14-1992.14] 是每一个零件我们都有专人在负责
[1992.14-1995.14] 针对不一样的生意模式
[1995.14-2001.14] 我们也尽力的去跟客户谈判
[2001.14-2005.14] 取对公司最有利的操作
[2005.14-2009.14] 那我们也一定要避免
[2009.14-2014.14] 这个客户完全是用公司的资金
[2014.14-2016.14] 来运作这个生意
[2016.14-2019.14] 那对公司的利润
[2019.14-2023.14] 来说是最不好的状况
[2023.14-2026.14] 在这个部分不管是业务
[2026.14-2028.14] 跟客户的谈判
[2028.14-2030.14] 非常充分了解
[2030.14-2036.14] 一部分资金的运用
[2036.14-2039.14] 跟利息的影响之外
[2039.14-2041.14] 当然在
[2041.14-2043.14] 当然在
[2043.14-2046.14] 工厂的效率上面
[2046.14-2050.14] 我们更要从生产的经验
[2050.14-2055.14] 来达到最好的目标
[2055.14-2059.14] 谢谢
[2059.14-2062.14] 好谢谢子敬
[2062.14-2066.14] 我刚其实想再理解一下
[2066.14-2067.14] 意思是说
[2067.14-2069.14] 当然我们会考量资金上面
[2069.14-2072.14] 或者是我们运作上面有利的方式
[2072.14-2077.14] 那我们现在这几个AI Server的Project
[2077.14-2079.14] 是不同的客户
[2079.14-2082.14] 会有不同的出货模式吗
[2082.14-2084.14] 是的
[2084.14-2085.14] 对
[2085.14-2086.14] 我想
[2086.14-2088.14] 所以这个是Mix在其中
[2088.14-2090.14] 对是Mix
[2090.14-2092.14] 我们可能有Level 10
[2092.14-2094.14] 也有可能有Level 11
[2094.14-2098.14] 这都是根据客户的需求
[2098.14-2100.14] 你也知道就是说
[2100.14-2103.14] 大中小型的客人
[2103.14-2106.14] 他们有不一样的运作模式
[2106.14-2111.14] 甚至他们可能也有既有的
[2111.14-2114.14] 这个供应商在帮他们做
[2114.14-2117.14] 某一部分的生意
[2117.14-2119.14] 那我们怎么跟我们的客户
[2119.14-2122.14] 跟我们客户目前的供应商
[2122.14-2126.14] 做一个多方面的运作
[2126.14-2128.14] 这个才是最重要的
[2130.14-2131.14] OK
[2131.14-2134.14] 所以我们现在可以把这一块的
[2134.14-2136.14] 毛利率当作是
[2136.14-2138.14] Above Corporate Average这样子的方向
[2138.14-2140.14] 来看待吗
[2143.14-2147.14] 我不是很清楚你的问题
[2147.14-2149.14] 因为这个部分的数据
[2149.14-2152.14] 其实都还一直在陆续的进行
[2152.14-2153.14] 跟开展当中
[2153.14-2155.14] 所以我们来看
[2155.14-2158.14] 目前的
[2160.14-2162.14] 这个是什么样的
[2162.14-2163.14] 这个是什么样的
[2163.14-2164.14] 这个是什么样的
[2164.14-2165.14] 这个是什么样的
[2165.14-2167.14] 好的理解理解
[2167.14-2169.14] 毛利率方向来讲
[2169.14-2171.14] 它原价的方向
[2171.14-2173.14] 对毛利率方向应该是比较正向
[2173.14-2175.14] 这个应该是确定的
[2178.14-2180.14] Angela你的意思是说
[2180.14-2182.14] 这个产品对于我们的毛利率
[2182.14-2183.14] 长期来看
[2183.14-2185.14] 应该算是有正面帮助
[2185.14-2186.14] 你的问题是这个吗
[2186.14-2189.14] 对对我要make sure对
[2189.14-2191.14] 这是我们的希望
[2191.14-2193.14] 多了几个客户进来
[2193.14-2195.14] 对啊这个是我们的希望
[2195.14-2196.14] 好的谢谢
[2196.14-2200.14] 我想因为我们也还没有大量出货
[2200.14-2203.14] 这个目前我们还看不到这个数字
[2203.14-2207.14] 不过可以请您去参考
[2207.14-2210.14] 我们的有商他们出货比较多
[2210.14-2212.14] 也许从他们的资料
[2212.14-2215.14] 你可以看到一些其余
[2218.14-2219.14] OK
[2219.14-2220.14] 好谢谢
[2220.14-2221.14] 好那最后一个问题
[2221.14-2223.14] 刚刚就是讲到我们跟KPS有关
[2223.14-2225.14] 还有我们就是在整个产线的布局上面
[2225.14-2226.14] 那当然我们刚刚提到
[2226.14-2227.14] 像SERVER或EV都是
[2227.14-2229.14] 我们今年也成长相对比较重要
[2229.14-2232.14] 或者比较有亮点的这些segment
[2232.14-2235.14] 那这些现在我们目前
[2235.14-2237.14] 是不是多半也没有
[2237.14-2238.14] 我们现在也没有
[2238.14-2239.14] 我们现在也没有
[2239.14-2240.14] 我们现在也没有
[2240.14-2241.14] 我们现在也没有
[2241.14-2242.14] 我们现在也没有
[2242.14-2243.14] 我们现在也没有
[2243.14-2244.14] 我们现在也没有
[2244.14-2245.14] 我们现在也没有
[2245.14-2246.14] 我们现在也没有
[2246.14-2247.14] 我们现在也没有
[2247.14-2248.14] 我们现在也没有
[2248.14-2249.14] 大概也是
[2249.14-2253.14] 多半也是在中国和墨西哥这边生产
[2253.14-2256.14] 是不是想问一下就是
[2256.14-2259.14] 在关税这样的情况之下
[2259.14-2260.14] 我们刚刚其实有提到说
[2260.14-2263.14] 也许我们会有一些EE 现场的可能性
[2263.14-2266.14] 那我想说现在不少的客户对我们的
[2266.14-2269.14] 要求是和如果是什么样得规划
[2269.14-2272.14] 是说出其还是即有的方式
[2272.14-2274.14] 从墨西哥陪客关税出去
[2274.14-2277.14] 还是说我们会从其它的
[2277.14-2281.14] 其他的Site去做因應來去協助
[2281.14-2285.14] 就是客戶這邊在關稅上面可以做一些調整
[2285.14-2289.14] 我想了解一下我們的策略或客戶的要求
[2289.14-2291.14] 大概是什麼方向 謝謝
[2291.14-2297.14] 我想關稅只是成本的一部分
[2297.14-2302.14] 基本上你如果在不同的地方製造
[2302.14-2307.14] 其實你還要考慮到人工成本及運費
[2307.14-2310.14] 我們的客戶絕對不會只是單一
[2310.14-2316.14] 從關稅的角度來決定應該在哪裡生產
[2316.14-2321.14] 合作在跟客戶的緊密合作之下
[2321.14-2325.14] 我們所要提供的是一個整體的成本
[2325.14-2329.14] 這一些整體的成本其實還包含客戶端
[2329.14-2334.14] 我們交貨之後客戶本身的成本
[2334.14-2337.14] 所以我們所要提供的
[2337.14-2341.14] 是更大的彈性
[2341.14-2345.14] 所以在過去幾年我們不管在東南亞
[2345.14-2350.14] 印度 墨西哥包含我們剛剛所提到的
[2350.14-2354.14] 能會在美美 美國境內
[2354.14-2357.14] 如果有這個利己的需求
[2357.14-2360.14] 我們也可以提供這樣的服務
[2360.14-2364.14] 針對客人要在哪裡生產
[2364.14-2367.14] 其實這個是從end to end
[2367.14-2369.14] 我們會考量的
[2369.14-2373.14] 只要是對客戶有benefit
[2373.14-2375.14] 我們會全力來support
[2378.14-2380.14] 我補充一下Gary
[2380.14-2381.14] 其實結論就是
[2381.14-2385.14] 其實我們海外設廠蠻綿密的
[2385.14-2389.14] 所以現在川普也很變動
[2389.14-2390.14] 變動也很快
[2390.14-2394.14] 所以我們每天都跟客人walking close
[2394.14-2396.14] 在做哪一些調配
[2396.14-2400.14] 因為市場不像川普一樣
[2400.14-2402.14] 明天講明天可以變
[2402.14-2404.14] 你等一天搞不好又變回來了
[2404.14-2406.14] 所以我們也是很dynamic
[2406.14-2408.14] 跟客人在配合
[2408.14-2410.14] 該有的產能的調配
[2410.14-2414.14] 我補充一下EV其實並不只有
[2414.14-2417.14] 大陸跟墨西哥還有很多地方
[2417.14-2420.14] 我們都有一些一定的support
[2420.14-2423.14] 跟大家看到的不見得完全一樣
[2426.14-2428.14] 好的謝謝
[2428.14-2429.14] 謝謝
[2429.14-2433.14] 接下來請Albert
[2433.14-2434.14] Albert請開始
[2434.14-2436.14] 謝謝Gary
[2436.14-2437.14] 關於整好
[2437.14-2438.14] 我是JP Morgan的Albert
[2438.14-2439.14] 謝謝你接受我的提問
[2439.14-2441.14] 我第一個問題想問
[2441.14-2442.14] 關於server的部分
[2442.14-2446.14] 剛剛有聽到有很多新的客戶好消息
[2446.14-2447.14] 可否跟我們分享一下
[2447.14-2450.14] 在今明年這個server營收的貢獻
[2450.14-2452.14] 預計可以達到多少
[2452.14-2454.14] 另外一個pour up就是說
[2454.14-2455.14] 如果我們看server跟EV
[2455.14-2462.14] 這些相對比較成長性比較高的部分
[2462.14-2465.14] 相對於這個smartphone目前還在轉型
[2465.14-2467.14] 公司有預期在哪個時間點
[2467.14-2470.14] 會看到這個轉型可能告一段落
[2470.14-2474.14] 營運會有一個重新加速的狀況
[2474.14-2476.14] 這個時間點大概會落在哪個時候
[2476.14-2477.14] 謝謝
[2477.14-2482.14] 我想server的生意形式
[2482.14-2485.14] 跟其他的產品
[2485.14-2487.14] 真的有很大的區別
[2487.14-2489.14] 像我剛剛講的
[2489.14-2493.14] 我們雖然已經完成了設計
[2493.14-2496.14] 可是我們都還要有一些機台
[2496.14-2499.14] 送到客戶的機房
[2499.14-2502.14] 做新的data center
[2502.14-2505.14] 去做整體的驗證
[2505.14-2506.14] 那這個驗證呢
[2506.14-2509.14] 不是只是單純我們的機台而已
[2509.14-2513.14] 還包含它整個機房的設施
[2513.14-2515.14] 還有它整體的設施
[2515.14-2517.14] 還有它整體的軟體
[2517.14-2521.14] 還有這個AI應用的管理
[2521.14-2524.14] 這個其實全部都是同一套的
[2524.14-2526.14] 那當這個測試完之後呢
[2526.14-2529.14] 它會針對他們
[2529.14-2534.14] 是不是有新的機房的需求
[2534.14-2537.14] 或有新的運用的需求
[2537.14-2539.14] 才會一單一單的下
[2539.14-2543.14] 所以這個至少
[2543.14-2545.14] 我現在很難去
[2545.14-2547.14] 去預測
[2547.14-2550.14] 它今年會有多少的需求
[2550.14-2554.14] 或甚至明年會有多少的需求
[2554.14-2558.14] 因為它要根據它測試完的結果
[2558.14-2561.14] 還有他們在終端的需求
[2561.14-2567.14] 還有它在整個機房的建置進度
[2567.14-2571.14] 這個其實
[2571.14-2574.14] 一髮動前身啊
[2574.14-2578.14] 所以我們只能想
[2578.14-2581.14] 我們的腳步踩得很穩
[2581.14-2587.14] 那我們也隨時在爭取客人對我們的下單
[2587.14-2590.14] 那就如同剛剛所說的
[2590.14-2592.14] 在今年的下半年
[2592.14-2595.14] 我們看到比較多的機會
[2595.14-2598.14] 也期望我們在今年下半年
[2598.14-2603.14] 可以爭取到更多出貨的成績
[2603.14-2605.14] 那能延續到明年
[2605.14-2609.14] 了解 謝謝
[2609.14-2612.14] 我想要發問一個問題就是說
[2612.14-2614.14] 剛剛你講這樣清楚
[2614.14-2616.14] 就是這個能見度的部分
[2616.14-2618.14] 但這跟我們看
[2618.14-2620.14] 可能其他四大運廠商
[2620.14-2622.14] 它在下單的時候
[2622.14-2625.14] 會給比較長的一個預測比較不同嘛
[2625.14-2627.14] 那我也知道說
[2627.14-2628.14] 就是Pilatron
[2628.14-2630.14] 現在的客戶
[2630.14-2632.14] 美國的L客戶
[2632.14-2636.14] 它在下單部分其實也有去找
[2636.14-2639.14] 像其他Dell HP這些等等去買
[2639.14-2642.14] 那我比較不清楚的地方是說
[2642.14-2645.14] 他們傳統在去買這些On the show的產品
[2645.14-2649.14] 那有怎樣的契機讓他們也過來跟我們
[2649.14-2651.14] 就是Odine Direct去合作
[2651.14-2653.14] 那在這樣的情況下就是
[2653.14-2655.14] 如果他們也可以去找
[2655.14-2657.14] 其他On the show的供應商去買的話
[2657.14-2659.14] 那我們要怎麼去平衡說
[2659.14-2661.14] 我們在這部分投入的錢
[2661.14-2664.14] 跟最後可以就是拿回來的這個return
[2664.14-2665.14] 那另外就是說
[2665.14-2666.14] 針對這個客戶
[2666.14-2669.14] 那我們是有去support他在
[2669.14-2672.14] 可能售後服務
[2672.14-2675.14] 就是跟其他品牌上一樣有這個售後服務的部分嘛
[2675.14-2677.14] 那我們這邊會怎麼去加強
[2677.14-2678.14] 謝謝
[2678.14-2680.14] 你有講到一個重點
[2680.14-2686.14] 這個這個Server絕對不是只是單純的買賣業而已
[2686.14-2691.14] 所以在這個整個工程師上面的
[2691.14-2695.14] 不管是在驗證過程的資源
[2695.14-2699.14] 或者是售後服務的資源
[2699.14-2701.14] 這個都要有一條龍的
[2701.14-2704.14] 一條龍程度的服務
[2704.14-2710.14] 那我想如同我們今年過年前
[2710.14-2715.14] 所Deliver的這一櫃
[2715.14-2718.14] 機櫃到美國的客戶
[2718.14-2720.14] 其實我們全程
[2721.14-2723.14] 跟客人一起co-work
[2723.14-2728.14] 甚至也幫客戶解決一些
[2728.14-2732.14] 資料中心內部的一些設備的問題
[2732.14-2734.14] 也幫忙澄清
[2734.14-2735.14] 那這個部分
[2735.14-2741.14] 我想我們跟客戶有建立非常好的關係
[2741.14-2744.14] 那我們甚至是第一個把GV200
[2744.14-2749.14] 送到這個客戶的機房的供應商
[2749.14-2750.14] 所以在
[2750.14-2751.14] 在這個工程師上
[2751.14-2754.14] 這個技術的資源之外
[2754.14-2757.14] 還有這個服務的彈性上面
[2757.14-2761.14] 也是生意的一環
[2761.14-2765.14] 那我們是很有信心在這一個部分
[2765.14-2768.14] 可以得到更多客戶的青睞
[2768.14-2772.14] 那在合作的美國分公司
[2772.14-2777.14] 我們今年也會擴大
[2777.14-2780.14] 這個員工的服務人數
[2780.14-2782.14] 那這也是要搭配
[2782.14-2786.14] 我們在
[2786.14-2789.14] SERVER生意的一個拓展
[2789.14-2797.14] 也拓展我們在北美這個車用客戶的服務的能量
[2797.14-2800.14] 了解非常清楚謝謝
[2800.14-2804.14] 那我最後一個問題是關於這個KPAC的部分
[2804.14-2806.14] 就剛剛財務長有提到說
[2806.14-2809.14] 今年這個KPAC還是在300到350米美金的部分
[2809.14-2813.14] 那當然有可能美國這邊會有一些
[2813.14-2815.14] 這個
[2815.14-2817.14] 建廠的一個需求
[2817.14-2818.14] 那假設如果
[2818.14-2821.14] 這個美國那邊有這個建廠需求的話
[2821.14-2823.14] 這個KPAC它的
[2823.14-2825.14] 金額可以達到多少
[2825.14-2827.14] 那另外的話我們是否有考慮
[2827.14-2832.14] 採用一些可能這個併購的方式
[2832.14-2834.14] 去加速我們在
[2834.14-2837.14] 廠房的建置或是一些轉型的
[2837.14-2838.14] 這個過程
[2838.14-2840.14] 謝謝
[2840.14-2842.14] 我先更正一下
[2842.14-2845.14] 是300到350米美金
[2845.14-2846.14] 那就是
[2846.14-2848.14] 不好意思
[2848.14-2850.14] 就是我們剛剛就這樣講的
[2850.14-2852.14] 我知道你的意思但是
[2852.14-2855.14] 對美國設廠這件事
[2855.14-2857.14] 其實我們沒有把自己
[2857.14-2859.14] 設定在一定的框架裡面
[2859.14-2862.14] 那基本上我們也已經找到
[2862.14-2864.14] 幾個地方在選的
[2864.14-2866.14] 那另外我想你要講的是另一件事
[2866.14-2868.14] 那我們也不斷的
[2868.14-2871.14] 掛取那一個公司的進展
[2874.14-2876.14] 好非常清楚謝謝
[2876.14-2877.14] 那我們有其他問題了
[2880.14-2883.14] 謝謝接下來請富邦的Titan請開始
[2885.14-2887.14] 謝謝接受我的提問
[2887.14-2890.14] 我還想follow up一下剛剛有問到就是
[2890.14-2893.14] 關於SERVER或AI SERVER
[2893.14-2896.14] 聽起來我們目前都有一些蠻好的消息
[2896.14-2898.14] 所以
[2898.14-2900.14] 有沒有可能還是給我們一個預估
[2900.14-2902.14] 今年SERVER或AI SERVER的
[2902.14-2904.14] 算比數字
[2904.14-2905.14] 如果預估給不出來有沒有
[2905.14-2907.14] 公司有沒有目標
[2907.14-2908.14] 就是說希望能夠
[2908.14-2910.14] 達到一個怎麼樣的比例
[2910.14-2912.14] 這是我第一個問題
[2916.14-2917.14] 不好意思喔
[2917.14-2919.14] 在這個moment
[2919.14-2921.14] 我真的很難去預估
[2921.14-2924.14] 不過因為我們原本的基期就很低啦
[2924.14-2925.14] 所以
[2925.14-2927.14] 只要有出貨其實那個成長性
[2927.14-2929.14] 都是
[2929.14-2931.14] 逐步
[2931.14-2934.14] 至少都是雙位數甚至三位數的成長
[2934.14-2938.14] 在SERVER這一塊的部分
[2941.14-2943.14] 好的了解
[2943.14-2945.14] 那另外一個也是follow up的問題
[2945.14-2947.14] 就是剛才提到EV的部分
[2947.14-2949.14] 那我們也知道這兩年可能
[2949.14-2953.14] 在中國車廠的競爭之下
[2953.14-2955.14] 大家都
[2955.14-2957.14] 市場也比較flat
[2957.14-2959.14] 不知道說我們在EV這一塊
[2959.14-2961.14] 有沒有會遇到
[2961.14-2963.14] 需要被要求要降價的
[2963.14-2965.14] 成本的壓力呢
[2969.14-2971.14] 我想這個降價的壓力
[2971.14-2974.14] 也不是只有在車用的產品
[2974.14-2976.14] 其實每一個產品
[2976.14-2979.14] 當你從量產
[2979.14-2981.14] 每一個季度
[2981.14-2982.14] 每一個年度
[2982.14-2984.14] 每一個客戶其實
[2984.14-2985.14] 都是會來要求的
[2985.14-2987.14] 這個是很難的
[2987.14-2992.14] 也是我們業務跟我們的團隊
[2992.14-2994.14] 每日的工作之一
[2994.14-2996.14] 並沒有很特別
[2996.14-2998.14] 我還是回
[2998.14-3000.14] 幫Gary回一下
[3000.14-3003.14] 我想還是重視一件事啦
[3003.14-3004.14] 我們的value
[3004.14-3005.14] 好不好
[3005.14-3006.14] 就是說他要我降
[3006.14-3007.14] 降一塊
[3007.14-3009.14] 我可不可以自己降兩塊
[3009.14-3011.14] 然後讓利潤可以多一塊
[3011.14-3013.14] 這個是always在做生意的
[3013.14-3015.14] 最大的
[3015.14-3017.14] 營運的方法
[3017.14-3018.14] 所以我們一直在
[3018.14-3020.14] 不斷的在免利自己
[3022.14-3023.14] 好的 非常清楚
[3023.14-3024.14] 謝謝管理層
[3024.14-3026.14] 我沒有其他問題
[3031.14-3032.14] 謝謝
[3032.14-3034.14] 那由於時間的關係
[3034.14-3036.14] 我這邊可能就最後一個問題
[3036.14-3038.14] 跟執行長請教
[3038.14-3040.14] 就是在這個產能移轉的部分
[3040.14-3044.14] 其實剛剛執行長有稍微帶到
[3044.14-3046.14] 那不知道能不能請執行長
[3046.14-3048.14] 就是還是跟大家分享一下
[3048.14-3050.14] 就我們幾個主要的產品線來看
[3050.14-3055.14] 如果想要在中國或是墨西哥以外的
[3055.14-3056.14] 其他地方生產的話
[3056.14-3061.14] 那大概會是怎麼樣的這個分配的情況
[3061.14-3064.14] 那現階段我們在就是中國跟墨西哥以外
[3064.14-3067.14] 產能的部分是不是能夠完全的
[3067.14-3070.14] 配合客戶在轉廠上面的需求
[3070.14-3074.14] 或者是說在客戶轉廠上面
[3074.14-3076.14] 可能還需要一點時間來做安排
[3076.14-3078.14] 所以在這個過程當中
[3078.14-3079.14] 對我們的收入上面
[3079.14-3081.14] 可能會造成一些影響
[3083.14-3084.14] 回答你的問題
[3084.14-3087.14] 我想我們海外布局
[3087.14-3089.14] 不是昨天或去年做的
[3089.14-3091.14] 我們更早就做了
[3091.14-3092.14] 所以產能的規劃
[3092.14-3094.14] 其實客人也很清楚
[3094.14-3096.14] 那怎麼
[3096.14-3098.14] 其實客人也會考多方的考量
[3098.14-3101.14] 那所以您擔心的問題
[3101.14-3103.14] 其實並不會存在
[3103.14-3104.14] 因為
[3104.14-3106.14] 還蠻動力的
[3106.14-3110.14] 只是現在純粹是要移多少比例
[3110.14-3112.14] 或移什麼產品
[3112.14-3113.14] 或者是怎麼做而已
[3113.14-3116.14] 就是在講最後細節的方法
[3116.14-3118.14] 可能是重點
[3118.14-3120.14] 那基本上
[3120.14-3123.14] 移出的比例跟業界比
[3123.14-3126.14] 其實大概大家都很雷同
[3126.14-3128.14] 就不同的產品線
[3128.14-3131.14] 它要銷北美的
[3131.14-3133.14] 那大部分人會移出來
[3133.14-3134.14] 沒錯
[3134.14-3136.14] 不管是哪個產品線
[3136.14-3137.14] 那至於有一些
[3137.14-3139.14] 亞洲或歐洲的
[3139.14-3142.14] 各個公司有不同的考量
[3142.14-3144.14] 就是它要併產品線
[3144.14-3146.14] 還是不併產品線
[3146.14-3149.14] 所以整體來說是蠻動力的
[3149.14-3151.14] 客戶 產品線
[3151.14-3153.14] 會有不同的決定
[3158.14-3159.14] 好的 了解
[3159.14-3162.14] 非常感謝執行長的分享
[3162.14-3164.14] 那今天因為
[3164.14-3165.14] 很感謝大家這個提問
[3165.14-3166.14] 相對比較踴躍
[3166.14-3167.14] 但是很抱歉
[3167.14-3170.14] 我們Q&A的這個環節
[3170.14-3172.14] 大概在這邊要先告一個段落
[3172.14-3174.14] 那在我們結束今天的會議之前
[3174.14-3176.14] 是不是能夠請兩位執行長
[3176.14-3179.14] 跟現場投資先進分享一下
[3179.14-3181.14] 這個closing remark 謝謝
[3181.14-3183.14] 好 我是Johnson
[3183.14-3185.14] 雖然關稅政策
[3185.14-3187.14] 帶來一定的不確定性
[3187.14-3190.14] 但在市場預期今年景氣
[3190.14-3192.14] 有望逐步好轉的情況下
[3192.14-3196.14] 隨著AIPC領域不斷的突破創新
[3196.14-3200.14] 相關軟硬體技術及基礎建設
[3200.14-3202.14] 等需求增加
[3202.14-3205.14] 合作展望今年在AIPC Server
[3205.14-3209.14] 車用 差別性電子產品及網通產品
[3209.14-3214.14] 仍有信心可以有不錯的表現與收穫
[3214.14-3218.14] 同時 因全球化佈局
[3218.14-3221.14] 和區域製造趨勢顯著轉變
[3221.14-3225.14] 合作近幾年位於墨西哥 越南
[3225.14-3231.14] 東南亞 印度等製造基地也逐漸擴建完成
[3231.14-3235.14] 未來除了依據客戶及產品需求
[3235.14-3237.14] 持續規劃產能分佈
[3237.14-3243.14] 也會積極評估並開發新製造區域的商業機會
[3243.14-3245.14] 謝謝
[3245.14-3248.14] 謝謝 謝謝Johnson
[3248.14-3249.14] 謝謝Gary
[3249.14-3250.14] 也謝謝Vivian跟李李
[3250.14-3254.14] 也感謝線上投資先進熱情的參與
[3254.14-3256.14] 如果各位先進還有其他的問題
[3256.14-3258.14] 未能在會中答覆
[3258.14-3260.14] 歡迎隨時和合作的IR團隊
[3260.14-3262.14] 或者是我花旗的Carrie聯繫
[3262.14-3264.14] 再次感謝大家
[3264.14-3265.14] 本次會議到此結束
[3265.14-3267.14] 我們下次見 謝謝 拜拜
[3267.14-3268.14] 謝謝Carrie
[3268.14-3270.14] 謝謝 謝謝Carrie
[3270.14-3272.14] 謝謝 謝謝 拜拜
[3274.14-3275.14] 再見
[3280.14-3282.14] 謝謝
[3310.14-3315.14] 謝謝
