[0.00-2.86] 光電股份有限公司法人說明會
[1681.24-1682.24] 他pivot到
[1682.24-1685.24] 他要去做mass production去做metal lens
[1685.24-1686.24] 其實他們已經
[1686.24-1688.24] 這件事情已經起開頭了
[1688.24-1690.24] 大概快五到六年的時間了
[1690.24-1692.24] 所以他們到最後才要要很多的fund
[1692.24-1694.24] 然後他們也去搞了一個冰城廠
[1694.24-1695.24] 馬來西亞廠
[1695.24-1698.24] 那在今年2025年一月的時候
[1698.24-1701.24] 我們就把它正式的併購
[1701.24-1703.24] 那所以今天就可以談到
[1703.24-1705.24] 因為去年十月的那個髮植會
[1705.24-1706.24] 其實還沒有交的
[1706.24-1707.24] 我不能講太多
[1707.24-1710.24] 今年就會比較一些具體的勾勒
[1710.24-1711.24] 還是一樣就與新知
[1711.24-1713.24] 我們來重溫一下這個瑞宜的金字塔
[1713.24-1716.24] 這也是去年十月我們有講過了
[1716.24-1717.24] 那其實
[1717.24-1719.24] 先講三本注
[1719.24-1721.24] 我覺得瑞宜光電在這個世界上
[1721.24-1724.24] 提供光學元件最大的價值有三件事情
[1724.24-1726.24] 那一個就是我們的光學
[1726.24-1729.24] 那另外一個是我們模具的自主
[1729.24-1730.24] 再來就是我們的量產
[1730.24-1734.24] 我們的revenue是從量產的產品來generate
[1734.24-1738.24] 但是我們不能缺乏optics跟master的技術
[1738.24-1740.24] 所以我們併購了芬蘭的公司
[1740.24-1742.24] 我們一開始的瑞宜光電
[1742.24-1745.24] 我們是在專精於CNC跟雷射的pattern
[1745.24-1747.24] 然後我們的量產是用
[1747.24-1749.24] 光學元件射出
[1749.24-1750.24] 併購了芬蘭的NanoCom之後
[1750.24-1752.24] 我們進入了Submicron
[1752.24-1754.24] 我們是用LaserWriter
[1754.24-1755.24] 黃光止血
[1755.24-1757.24] 然後我們的imprinting
[1757.24-1759.24] 用RotorUVI
[1759.24-1761.24] 最後併入了NuT之後
[1761.24-1764.24] 取得他們在NanoStructure上面的
[1764.24-1766.24] 用電子樹的一些
[1766.24-1767.24] 的pattern的製作
[1767.24-1768.24] 是奈米等級的
[1768.24-1770.24] 然後我們是用WaferLab的imprint
[1770.24-1773.24] 那application我們就打開了非常多的可能性
[1773.24-1776.24] 從剛剛提到的backlight frontlight
[1776.24-1778.24] 然後這樣AG跟MLA這些
[1778.24-1780.24] 就是一些特殊的光學模
[1780.24-1783.24] 那我們用A-Tiglary這個film
[1783.24-1785.24] 可以用在OLED的display上面
[1785.24-1787.24] Michael Lanser Ray這樣的一個聚光的film
[1787.24-1789.24] 可以用在MicroLED上面
[1789.24-1791.24] 所以我們透過這些RotorUVI
[1791.24-1794.24] 我們盡量去maximize它的價值
[1794.24-1796.24] 在even沒有LCD的世界裡
[1796.24-1798.24] 我們要知道我們的存在感
[1798.24-1800.24] 那當然進入到晶圓級的光學的話
[1800.24-1803.24] 大家今天會聚焦在Metal Optics
[1803.24-1805.24] 然後還有在AR Waveguide的部分
[1805.24-1808.24] 也是我們也可以去攻擊的一個市場
[1808.24-1810.24] 所以今天這個金字塔
[1810.24-1814.24] 我們就focus在晶圓級光學元件的部分
[1814.24-1817.24] 而且我們今天就是要談Metal Optics
[1817.24-1820.24] 那我還是回到剛剛的邏輯三本珠
[1820.24-1824.24] 但我先跟各位說明兩個字
[1824.24-1827.24] 它叫做Precision跟Scale
[1827.24-1830.24] 其實fundamentally它是有一點衝突的概念
[1830.24-1831.24] 你可以去想
[1831.24-1833.24] 你要做一個非常精密
[1833.24-1836.24] 但是我們在結構複雜的光學元件
[1836.24-1839.24] 它又要超大量去生產
[1839.24-1841.24] 它本質上在良率在成本上面
[1841.24-1843.24] 就造成很大的衝突跟調整
[1843.24-1845.24] 但是我們瑞宇光電
[1845.24-1846.24] 我覺得我們的差異性就是
[1846.24-1848.24] 我們要去converge這兩件事情
[1848.24-1851.24] High precision 和 High scalability
[1851.24-1853.24] 那我們先從
[1853.24-1854.24] 一樣我們是光學公司
[1854.24-1856.24] 所以光學先行
[1856.24-1858.24] 先來跟大家說明一下光學的部分
[1858.24-1862.24] 我們光學有我們In-house的Optical Simulation的Tool
[1863.24-1865.24] 這件事情也是我們
[1865.24-1867.24] 在跟Neo T在溝通的時候
[1867.24-1868.24] 我們也是非常impressed
[1868.24-1870.24] 他花了五年的時間
[1870.24-1873.24] 去Build這個In-house的Simulation的Tool
[1873.24-1876.24] 然後Prototyping出來到製程
[1876.24-1878.24] 他要去做Characterization
[1878.24-1879.24] 全部都是In-house
[1879.24-1882.24] 然後他也可以讓他們非常Efficient
[1882.24-1884.24] 去Layout他們的這些
[1884.24-1887.24] 奈米的這些 奈米珠
[1887.24-1890.24] 那變得說我們從Prototyping到Mass Production
[1890.24-1892.24] 全部都是用光學的角度
[1892.24-1894.24] 在Application角度跟客戶來溝通
[1894.24-1896.24] 那這就是客戶要的
[1896.24-1898.24] 那到模具的部分
[1898.24-1901.24] 我們其實In-house的就是eBIM
[1901.24-1903.24] 電子數加上Edging
[1903.24-1905.24] 那其實這樣的跟一般半導體證明
[1905.24-1906.24] 其實差不多
[1906.24-1908.24] 他們是用DUV跟Edging
[1908.24-1909.24] 我們是用eBIM
[1909.24-1911.24] 我們覺得eBIM它的設計的形態的
[1911.24-1914.24] 速度上面我覺得是有些優勢
[1914.24-1916.24] 但我覺得我們公司真正的
[1916.24-1918.24] 最大的差異是在Replication這方面
[1918.24-1922.24] 我們是用Nano Imprint加Edging
[1922.24-1925.24] 我們是用Nano Imprint加Edging這樣的技術
[1925.24-1926.24] 我們在壓印之後
[1926.24-1929.24] 我們在那種時刻去吃到我們有的Structure
[1929.24-1932.24] 這是非常大的一個差異點
[1932.24-1936.24] 你現在讓我從Prototyping到Mass Production
[1936.24-1938.24] 我們Go through這件事情
[1938.24-1941.24] 其實我們跟客戶的Journey就是
[1941.24-1942.24] 一直在這三件
[1942.24-1946.24] 三個三本柱之間的碰撞去激盪
[1946.24-1949.24] 那我認為缺一不可
[1949.24-1951.24] 所以全部都是In-house的Data
[1951.24-1954.24] 我們今天在跟他們Prototyping的時候
[1954.24-1956.24] 我們就會有一個新的價值
[1956.24-1958.24] Faster iteration
[1958.24-1961.24] 我剛提到說我們是用eBIM
[1961.24-1964.24] 所以我們在送樣的速度是非常快
[1964.24-1965.24] 快不只快
[1965.24-1967.24] 而且我們是品質非常高的
[1967.24-1970.24] 我們已經可以Recommend客戶
[1970.24-1972.24] 在Mass Production你這樣子的Layout上面
[1972.24-1976.24] 在Mass Production上面的良率的Projection
[1976.24-1979.24] 我們已經用量產的角度來跟客戶來溝通
[1979.24-1980.24] 那個Design的部分
[1980.24-1983.24] 所以在這邊其實已經有一個Dialog
[1983.24-1985.24] 它Maybe可以Backup
[1985.24-1987.24] 不要有太Extreme的設計
[1987.24-1989.24] Scroll up它後面的Replication
[1989.24-1991.24] 所以這方面我們除了快之外
[1991.24-1994.24] 我們也給客戶很多的價值
[1994.24-1996.24] 那剛剛提到Replication這塊亮坎
[1996.24-1999.24] 也是我們在Scalability上很大的一點
[1999.24-2002.24] 也就是我今天上面開始強調的
[2002.24-2005.24] When where precision meet scale
[2005.24-2007.24] 我們在Imprint這方面呢
[2007.24-2009.24] 我們擁抱了這個Scalability
[2009.24-2011.24] 因為我們的速度我們的成本
[2011.24-2014.24] 我們的Imprint的設備等等的投資
[2014.24-2017.24] 我相信都是比半導體資深還要再輕巧的
[2017.24-2019.24] 但是我們沒有去Compromise
[2019.24-2022.24] 在高複雜高精密結構的設計上面
[2022.24-2024.24] 我們透過時刻把它吃下去
[2024.24-2027.24] 所以這一件事情是非常Painful的
[2027.24-2028.24] 那就是Neo-T它花了
[2028.24-2030.24] 過去七八年在Figure out的事情
[2030.24-2034.24] Even它已經有十幾年的Nano Structure Master的Know-how
[2034.24-2036.24] 它還是非常痛苦的把這件事情做完
[2036.24-2039.24] 它也有把Material Science等等的用法做完
[2039.24-2041.24] 然後都要把它Plug in進去
[2041.24-2044.24] 但這件事情我覺得就是給我們想要服務的客戶群
[2044.24-2046.24] 帶來的價值
[2046.24-2048.24] 所以我這兩個競爭的差異性
[2048.24-2050.24] 一個是Faster Iteration
[2050.24-2052.24] 一個是Differentiated Scalability
[2052.24-2054.24] 我們帶來一件事情
[2054.24-2056.24] 我覺得想要用這個Empower這件事情
[2056.24-2059.24] 我們Empower Customer Flexibility
[2059.24-2063.24] Flexibility我覺得是在光學的世界裡面是一個Luxury
[2063.24-2066.24] 我們讓客戶在Design Rule上面
[2066.24-2068.24] 他有天馬行空的想法
[2068.24-2071.24] 我們讓客戶在Material Selection
[2071.24-2073.24] 在材料的選用上面
[2073.24-2075.24] 他們也可以去嘗試新的不同的材料
[2075.24-2080.24] 因為我們有這一個High Resilience的Process去支持
[2080.24-2083.24] 那這件事情就是讓客戶在進入到
[2083.24-2086.24] 或者是在更有勇氣去思考Metalance這件事情上面
[2086.24-2088.24] 我們給他很大的底氣
[2088.24-2091.24] 所以才帶到了我一開始提到的
[2091.24-2094.24] Customer Centric Optical Solution
[2094.24-2097.24] 我們就是要找到這樣一些關鍵的價值
[2097.24-2100.24] 不在於你買了什麼樣的壓引的設備
[2100.24-2103.24] 不在於你買了什麼樣的Metrology的設備
[2103.24-2105.24] What is the value你要Create
[2105.24-2108.24] 所以聽到這個Slide
[2108.24-2109.24] 跟大家Recap一下
[2109.24-2111.24] 公司還是三本柱
[2111.24-2114.24] 我們就是光學公司Optics先行
[2114.24-2117.24] 在Master的自主還有Replication的差異化上
[2117.24-2120.24] 這個有五指徑的三角形的溝通
[2120.24-2123.24] Inhouse發生Quick Turnaround
[2123.24-2125.24] 然後我們去Stretch客戶的Flexibility
[2125.24-2127.24] 那這一些就是在這一點上
[2127.24-2129.24] 我們就在這個非常Dynamic的世界
[2129.24-2132.24] 而且你要追求大量又複雜的設計
[2132.24-2135.24] 我覺得我們提供給客戶很好的服務
[2135.24-2139.24] 所以這邊花一點時間跟大家講What's this is a part
[2139.24-2142.24] 那接下來就提到說
[2142.24-2144.24] OK Now in hand
[2144.24-2146.24] 那I'm going的部分
[2146.24-2148.24] 我們剛才提到說
[2148.24-2151.24] 剛剛那些PowerPoint上面的東西
[2151.24-2153.24] 其實已經不是我們的Wishlist
[2153.24-2155.24] Oh Everything is data proven
[2155.24-2157.24] 然後沒有Customer的Direct
[2157.24-2159.24] 我們也有一個Test
[2159.24-2161.24] 那我們在今年1月的在
[2161.24-2163.24] 就業經營生的Photonis West
[2163.24-2165.24] 我們也得到了一個Present Award
[2165.24-2168.24] 這也是非常很棒的很Privileged的一個Award
[2168.24-2171.24] 那我覺得最棒的Recognition就是
[2171.24-2173.24] 提早到來的量產訂單
[2173.24-2175.24] 所以我們剛提到說我們1月的
[2175.24-2178.24] 焦哥16號客戶訂單就下了
[2178.24-2182.24] 我們一開始出的是從我們瑞士的Engineering Line去出
[2182.24-2185.24] 所以我們很要趕快加速把我們的Malaysia
[2185.24-2186.24] Ramp-Up起來
[2186.24-2189.24] 所以他Q3就可以Takeover這個Ramp的部分
[2189.24-2191.24] 那我們的Switzerland
[2191.24-2193.24] 他又可以回到Engineering的Progress
[2193.24-2195.24] 所以我們現在從上到下
[2195.24-2198.24] Radiant的Meta Objects就是只有一件事情就是量產
[2198.24-2202.24] There's no 不是Prototyping草題材量產
[2202.24-2204.24] 因為我們有非常多的Backlog
[2204.24-2207.24] 那我們提一下我們現在量產的產品是什麼
[2207.24-2209.24] 其實是相對比較簡單
[2209.24-2211.24] TX的一個3D Sensing
[2211.24-2213.24] 才用在Industrial Robot
[2213.24-2215.24] 工業用機器人上面的一個
[2215.24-2216.24] 3D Sensing
[2216.24-2217.24] Dubjector
[2217.24-2219.24] 那這個東西它
[2219.24-2222.24] 我覺得它有些特性
[2222.24-2224.24] 包含如果你是機器人
[2224.24-2226.24] 它在長時間的電源的使用
[2226.24-2228.24] 然後Sensor的熱
[2228.24-2230.24] 我們今天是Glass Wafer的
[2230.24-2233.24] 它有非常好的Thermal Stability
[2233.24-2236.24] 那加上我們又是一片Metal Lens
[2236.24-2238.24] 我們就取代了DOE跟準直徑
[2238.24-2241.24] 組裝輕巧又Lightweight
[2241.24-2242.24] Small Foam Factor
[2242.24-2244.24] 然後High Efficiency Low Power Consumption
[2245.24-2247.24] 所以這東西就是在工業的機器人的話
[2247.24-2250.24] 就是有得到非常多的Recognition
[2250.24-2251.24] 所以我們今天的目標
[2251.24-2253.24] Malaysia的Ramp-Up
[2253.24-2257.24] 讓Engineering在Switzerland回去做他們的事情
[2257.24-2261.24] 那我們同時也要去Expand我們Malaysia
[2261.24-2264.24] 所以我們已經擴租了我們的無神事
[2264.24-2267.24] 今年也開始Play一些Lonely Time的Equipment
[2267.24-2270.24] 明年我們就提到我們下一個屆的
[2270.24-2272.24] Mid-Term的部分呢
[2272.24-2274.24] 我們要在Malaysia再Scale兩條的線
[2275.24-2276.24] 為什麼?
[2276.24-2279.24] 所以其實今天提到這個Mid-Term這個目標
[2279.24-2282.24] Consumer Electronics Volumes
[2282.24-2286.24] 其實這一件事情對我而言才是我判斷
[2286.24-2290.24] NiT這個Acquisition有沒有成功的Baseline
[2290.24-2292.24] 我當初併購它
[2292.24-2294.24] 就只有一個目標
[2294.24-2297.24] 高階消費性電子產品的Metal Lens
[2297.24-2302.24] Which means一年2億3億4億顆
[2302.24-2305.24] High Precision Extreme Design的Metal Lens
[2305.24-2308.24] Cost可以滿足客戶
[2308.24-2310.24] Quality可以滿足客戶
[2310.24-2311.24] 這是我的Day 1
[2311.24-2313.24] 我今天如果買一下NiOT這家公司
[2313.24-2314.24] 這是我的Day 1
[2314.24-2315.24] 所以我們現在這些東西
[2315.24-2318.24] 我們只是Execute我們已經移植的東西了
[2318.24-2320.24] 那要達到這樣子的
[2320.24-2323.24] 你一定要準備好Capacity
[2323.24-2325.24] 你要一個Plane of Record
[2325.24-2328.24] 所以我們也跟客戶在搜尋我們就是Malaysia side
[2328.24-2331.24] 然後我們已經有Case給他量產的這些Data Sets
[2331.24-2334.24] 那我們也有去再布兩條
[2334.24-2336.24] 現在最小的一條Mini Line
[2336.24-2338.24] 大概是兩條Balance的主力線
[2338.24-2340.24] 所以我們明年在Malaysia
[2340.24-2342.24] 明年DQ4的時候
[2342.24-2348.24] 應該就可以有月產能大概是1萬片以上的Wafer
[2348.24-2355.24] 大概是2到3個所謂的Consumer Electronics的Volume
[2355.24-2359.24] 那我們也覺得這是我們Mid-Term的一個合理的規劃
[2359.24-2363.24] 也不要說就是廚房開太大
[2363.24-2366.24] 但是如果我們剛剛提到說
[2366.24-2369.24] 我們有機會在未來的Mid-Term
[2369.24-2371.24] 就是2到3年內Proof
[2371.24-2374.24] 我們可以去Mass Produce Consumable Volume的話
[2374.24-2377.24] 我們當然是Open up all the possibilities
[2377.24-2379.24] 所以這Long Term的部分
[2379.24-2381.24] 我們現在就是
[2381.24-2384.24] 我們認為是Metal Optics Everywhere
[2384.24-2386.24] 所以一樣我們要準備好
[2386.24-2388.24] 這一個水閥如果打開的時候
[2388.24-2392.24] 我們要可以去有足夠Engineering跟Mass Production的Resource
[2392.24-2395.24] 去接這個浪潮
[2395.24-2398.24] 所以我們在Malaysia的部分
[2398.24-2400.24] 當然是一個探頭堡
[2400.24-2403.24] 今年 明年 還有2027年
[2403.24-2406.24] 都是很重要的一個Mass Production Powerhouse
[2406.24-2410.24] 那我們把Malaysia這三條產線的Lesson Learned
[2410.24-2412.24] 它所有的Config
[2412.24-2415.24] 你所有的PLM MES所有的系統
[2415.24-2417.24] 把它梳理了
[2417.24-2418.24] 那我們會
[2418.24-2422.24] 因為現在Rate很多的量產的夥伴也都
[2422.24-2424.24] 在檳城工廠
[2424.24-2426.24] 我們是Report給Neo T的人
[2426.24-2428.24] 我們就被洋人管
[2428.24-2430.24] 但是OK我們就是要把我們的經驗
[2430.24-2432.24] 互相綜合在一起
[2432.24-2434.24] 這一個Lesson Learned就會在2027年
[2434.24-2436.24] 在Q4的時候
[2436.24-2438.24] 高雄7廠
[2438.24-2439.24] 無塵室蓋好的時候
[2439.24-2441.24] 我們就要去Plug in這個東西
[2441.24-2443.24] 如果我們的Mid-Term的Goal
[2443.24-2445.24] Consume Electron Volume
[2445.24-2446.24] 得到的話
[2446.24-2448.24] 那當然世界上有很多的需求嘛
[2448.24-2450.24] 那那個不是一兩條線的事情
[2450.24-2452.24] 可能就是Multiple lines
[2452.24-2455.24] 所以我們的Clean Room這些東西準備好
[2455.24-2457.24] 那在Engineering的部分
[2457.24-2459.24] 當然我們還是持續的Invest在EU的部分
[2459.24-2461.24] EU我們就不會說
[2461.24-2463.24] 蓋很多的Mass Production的產線
[2463.24-2464.24] 我們可能會加一些EBIN
[2464.24-2466.24] 加一些這樣子的Engineering的Resource
[2466.24-2468.24] 當然是Talent
[2468.24-2470.24] 我們會持續去Hire Local Talent
[2470.24-2473.24] 我們去Tap into這個Nordic Area
[2473.24-2476.24] 芬蘭或丹麥的這些Optical Energy
[2476.24-2477.24] 那在台灣的部分
[2477.24-2479.24] 我們也會有一個竹南廠
[2479.24-2480.24] 它其實也是Engineering Purpose
[2480.24-2482.24] 它也是可以For Mass Production
[2482.24-2485.24] 都是電量半導體的等級的
[2485.24-2488.24] 就是一個火期
[2488.24-2490.24] 如果在2028年之後
[2490.24-2492.24] 我們在量產的方面或是Engineering的方面
[2492.24-2494.24] 我們有一個Backup的Plan
