[0.00-4.24] 好,今日歡迎各位參加凱基證券與IR Trust的
[4.24-8.00] 舉辦2025世界新經濟秩序趨勢論壇
[1569.94-1572.50] 那再來呢放眼到海外這邊因為
[1572.76-1574.54] 目前關稅的這個東西
[1574.80-1576.60] 這個政策不斷的在出台
[1576.84-1578.38] 所以我們可以看到其實
[1578.64-1582.74] 目前這個整個汽車產業也是受到一個蠻大的影響
[1583.00-1586.32] 那所以即便我們就是比較樂觀的在看待我們
[1587.14-1590.98] 我們可以看到訂單可以在未來為我們的營收有一個堆疊式的一個效果
[1591.24-1595.08] 但是我們還是不得不對於關稅這個保持一個謹慎的態度
[1597.12-1600.96] 因為這個關稅的關係所以其實我們在全球的布局來講
[1601.22-1602.76] 其實目前是
[1603.00-1603.78] 採取的是
[1604.04-1608.64] 就是等於說多元生產化據點的一個策略像是我們中國這邊當然是我們的
[1608.90-1609.66] 總部
[1609.92-1611.96] 那在總部這邊我們也做了一個
[1612.22-1614.28] 場區的整合以節省管理費用
[1614.78-1616.84] 那在海外的部分像台灣墨西哥
[1617.14-1619.96] 日本韓國這邊我們都有設定相應的據點
[1620.20-1622.76] 自裝充電包含了我們很多的一個
[1623.02-1623.54] 生產據點
[1623.80-1626.36] 像墨西哥這邊我們已經在墨西哥耕耘比較多年
[1626.86-1629.16] 目前墨西哥也是一個穩定活力的狀況
[1629.42-1635.06] 那也因為目前客戶的一個訂單人間度是比較強健的所以我們預計是會
[1635.32-1636.84] 有擴廠的一個需求
[1637.10-1640.18] 那在去年2024年的時候我們已經先取得了
[1640.44-1644.02] 當地就是在我們工廠旁邊一塊6萬平方米的土地
[1644.28-1646.84] 那未來就可以供我們任何擴廠的一個需求
[1647.14-1653.28] 那未來也會是就是客戶的一個訂單狀況我們來看我們擴廠需要的一個範圍是怎樣
[1655.84-1659.68] 那最後的部分就是目前一個關稅狀況我也來
[1659.94-1665.06] 需要跟各位報告一下我們目前我們公司在關稅這方面受到的一個影響
[1665.32-1669.40] 首先我們對美國的銷貨這邊大概主要就是分成兩個區塊
[1669.66-1675.04] 第一個區塊是墨西哥銷往美國這一塊那因為對等關稅這部分是還沒有
[1675.30-1676.84] 公佈到墨西哥的部分
[1677.14-1683.28] 只有針對之前他川普有說的是針對墨西哥還有加拿大的整車還有關鍵領主
[1683.54-1684.82] 這邊的25%關稅
[1685.32-1690.70] 當然因為我們墨西哥廠他的直接公佈地點大部分都不是直接公佈到美國
[1691.22-1694.54] 因為我們做的領主件所以公佈的是到墨西哥當地的
[1694.80-1699.16] 主裝廠或是車廠這邊所以關稅對我們是沒有一個立即性的影響的
[1699.66-1704.28] 另外一小部分的這個公佈我們確實是直接公到美國
[1704.52-1706.58] 可是這部分因為交易條件的關係
[1707.14-1707.64] 所以
[1707.90-1713.54] 我們也是暫時是不需要去負擔這個關稅或是後續的一些運費相關的一些費用
[1714.04-1717.64] 那長期來看因為目前當然川普還沒有
[1718.14-1718.92] 整個談定
[1719.16-1725.06] 但目前的話美加墨這邊是有一個關稅的一個協定這個協定目前還是存在的
[1725.32-1726.34] 也就是
[1726.60-1728.90] 美加墨這邊的一個關稅
[1729.16-1731.20] 我們在墨西哥這邊的一個
[1731.72-1735.56] 應該講北美這個美加墨的一個協定裡面有規定到
[1735.80-1736.84] 你在北美的一個關稅
[1737.14-1739.44] 一個成分如果超過20%的話
[1739.96-1741.48] 超過20%
[1742.52-1743.02] 美國價值
[1743.28-1748.14] 美國價值超過20%的話那其實他的關稅是可以去得到一個豁免的
[1748.66-1753.26] 那以我們目前墨西哥的產品的狀況大部分原物料其實都是跟
[1753.52-1755.56] 北美美國這邊去做購買
[1756.08-1758.38] 所以這部分我們可以給他觀察一下其實
[1758.64-1761.20] 這部分我們應該是有機會去做個豁免
[1761.46-1766.84] 那後另外一部分是中國這邊的一個出貨狀況中國這邊的話那就是直接
[1767.14-1769.44] 我們也有大概百分之目前
[1769.96-1771.48] 是第一次關稅的佔比來
[1771.74-1773.80] 我們的中國出貨到美國的這個
[1774.04-1776.36] 佔比 營收佔比是持續的下降
[1776.60-1781.48] 但目前的整個佔比大概是在我們集團營收的12%左右
[1781.72-1783.26] 到去年2024年的時候
[1783.52-1786.60] 是佔到集團營收的12%
[1786.84-1793.24] 那這個12的話呢就是等於說以目前川普最新的一個關稅104來講的話
[1793.50-1795.30] 當然對我們是有一定的影響的
[1795.56-1796.84] 對我們客戶也有一定的影響
[1797.14-1803.28] 但是我們目前採取的策略就是104%不可能單方面的
[1803.54-1807.38] 在哪一方面吸收嘛所以我們目前都是在跟客戶集體做一個
[1807.64-1810.44] 討論就是目前要怎麼去因應這個
[1810.96-1813.00] 比較高的一個關稅
[1813.26-1817.62] 看這要如何來分擔然後加上或是利用我們其他一些據點的一些
[1817.88-1818.64] 可能可以
[1818.90-1822.48] 擴展一些產能來配合做一個轉移生產據點的動作
[1822.74-1825.56] 就可能是標示我們墨西哥這邊
[1825.80-1826.84] 可能也有機會
[1827.14-1828.92] 等於說把這個
[1829.44-1831.48] 受到影響的這個部分
[1831.74-1833.02] 給承擔下來
[1833.28-1835.32] 那可能對我們關稅的影響就不會很大
[1835.58-1837.12] 但是這部分就是還是要看
[1837.38-1839.94] 後續一個我們怎麼跟客戶去談還有後續
[1840.20-1843.00] 川普這邊會不會有一些新的政策的出台
[1844.54-1848.38] 那以上大概就是我們整個今天這次的報告
[1850.18-1851.96] 後面的部分就是
[1852.22-1854.78] Q&A的部分再請各位就是這邊可以
[1855.04-1856.58] 來提問一下
[1856.88-1858.92] 我想請問一下
[1859.18-1865.32] 剛有提到美國營收占比12%這邊是有包含墨西哥出美國嗎
[1865.58-1866.10] 沒有
[1866.36-1867.64] 就是單純就中國出美國
[1867.88-1872.24] 那墨西哥出美國的話這邊大概占比是多少
[1872.50-1875.82] 目前墨西哥出美國的占比大概在15%到20%之間
[1876.08-1876.60] 15%到20%
[1876.84-1877.36] 謝謝
[1886.88-1894.82] ,接收到你的關稅道是多少
[1895.08-1898.14] 就是書內的關稅道是多少
[1898.40-1900.20] 是100
[1900.44-1901.22] 直接就是100
[1901.48-1906.08] 因為他原先的話就是說原來按照你所有的
[1906.34-1909.40] 跟美國原來的基本稅的稅號不同
[1909.66-1910.44] 而不同
[1910.94-1915.56] 所以川普在1.0的時候在我們這個汽車這方面來講的時候
[1915.80-1916.84] 原來我們是從
[1917.14-1917.90] 5點多
[1918.16-1918.92] 加到
[1919.18-1921.48] 14除以2就7點多
[1921.74-1924.30] 所以原來在他這次上任之前
[1924.56-1926.86] 我們的稅是12點多%
[1927.12-1928.14] 那是我們那個時候
[1928.40-1928.92] 但是
[1929.16-1932.50] 汽車電子這一方面來講的話當時他有一個
[1932.76-1934.80] 2.5加上25%
[1935.06-1938.12] 所以當時的汽車零件要嘛27點多%
[1938.38-1939.66] 要嘛就像我們是
[1939.92-1943.50] 7加5點多12點多吧
[1943.76-1944.28] 這個樣子
[1944.78-1945.80] 後來他這一次
[1946.06-1946.84] 加了百分之4
[1947.14-1949.18] 百分之十兩次的時候
[1949.44-1950.46] 就多了20%
[1950.98-1953.54] 那些就是在基礎關稅上加20%
[1954.04-1956.60] 所以像我們的話就是34點多%
[1956.86-1958.14] 32點多%
[1958.66-1963.26] 但是這一次他的對等關稅他用對等關稅來取代了基礎關稅
[1963.78-1965.32] 所以原來的
[1965.56-1968.64] 2點多5點多7點多這些的關稅就沒有了
[1968.90-1971.46] 所以就才會變成說是20%加上
[1971.72-1972.74] 34%
[1973.00-1976.58] 所以那時候中國說是20加3就是54%
[1976.88-1980.72] 那這一次又在54%的在今天中午12點
[1980.98-1982.00] 現在這個時候
[1982.26-1983.28] 多加了50%
[1983.80-1985.08] 所以是104%
[1985.58-1986.36] 的說法
[1986.86-1991.48] 所以變成說他現在104%就是對中國所有汽車零部件
[1991.72-1993.26] 都是104%
[1993.78-1998.38] 但是其實以我們的經驗我覺得你54%跟104%沒差
[1998.90-1999.92] 為什麼沒差
[2000.18-2003.00] 因為54%我們就不可能做了
[2003.76-2006.84] 因為所有的現在汽車零部件的利潤最好的利潤
[2007.14-2009.44] 也像我們做北美的這個
[2009.70-2010.72] 利潤來講的話
[2010.98-2012.52] 最好也在40%左右
[2012.76-2014.04] 所以這做是沒意義的
[2014.56-2018.66] 那我補充一點就是說剛剛這個Ray所介紹的就是說其實
[2018.92-2022.24] 我們針對的這個關稅已經準備很久了
[2022.50-2026.84] 所以剛剛提到有一點說我們積極的跟客戶在協商
[2027.10-2028.90] 其實不是積極的在協商
[2029.40-2032.22] 是其實客戶現在已經有動作了我們在
[2032.48-2035.80] 出口的最大的客戶應該算是克萊斯勒
[2036.06-2036.84] 史特萊提斯
[2037.14-2039.96] 那剛剛他也介紹過是我們第二第三大的客戶
[2040.98-2046.36] 對然後我們其實在去年就已經跟他警告過這個關稅的增加
[2046.60-2049.68] 本來說的客戶只有一個態度就是No way
[2050.20-2051.22] 我能夠自己承擔
[2052.24-2054.54] 那我們一開始的時候因為還沒到
[2054.80-2058.64] 後來到了這一次其實也是川普也幫了忙
[2058.90-2059.40] 幫了什麼忙
[2059.92-2062.74] 他沒有只針對中國他全世界都在做
[2063.24-2066.84] 所以現在三個禮拜前克萊斯勒已經要求說
[2067.14-2071.88] worst the
[2074.82-2077.90] 你所有可能要出的時候 intellect
[2078.14-2079.08] 瑞麗!!
[2079.94-2082.76] 然後這些資料是交給北美四大會計時期的
[2083.78-2084.28] 好像可以
[2086.60-2088.90] 交給他們以後為他們要做審查的
[2089.16-2090.18] 然後不同
[2090.44-2092.22] 診察結果通過以後要跟我們
[2092.74-2093.50] 還只說
[2093.76-2095.84] 如何去共同負擔這個關稅
[2095.84-2099.34] 那原來在增加20%就是我們是30幾%的時候
[2099.34-2101.64] 其實我們自己也試算過了
[2101.64-2103.64] 哪怕今天大家一人一半
[2103.64-2106.44] 還是我們撐了大概80%
[2106.44-2108.84] 我們的毛利還是有在20%以上
[2108.84-2111.14] 所以其實前面的20%對我們來講
[2111.14-2113.14] 我們的因應是都已經準備好了
[2113.14-2118.44] 對 那現在多增加了這個34跟50這個的話
[2118.44-2120.94] 現在就是我們後面在觀察這個現象
[2120.94-2123.54] 但是我相信加34或加50
[2123.54-2126.74] 基本上沒有一家做汽車領域家能逃得掉
[2126.74-2131.34] 就是說你還包含現在很多的同業說他到泰國
[2131.34-2133.34] 他到哪裡已經害他生產了
[2133.34-2135.64] 但是現在泰國的稅率一加上去
[2135.64-2137.24] 其實結果都是差不多的
[2137.24-2140.04] 對 所以這是其中一個問題 對
[2144.04-2146.84] 您是說其實加了54%
[2146.84-2150.04] 你們那個毛利率也是等於0是嗎
[2150.04-2152.34] 對的 就是說基本上就是負的
[2152.34-2153.44] 這沒什麼意義了
[2153.44-2153.54] 好
[2153.54-2156.54] 所以說你其實54%的這個情況下
[2156.54-2161.34] 其實還有可能就是克萊斯特還能跟我們去做一些的對付
[2161.34-2163.74] 例如說現在我們有幾個零件
[2163.74-2166.54] 他要求我們現在出到美國的保稅艙
[2166.54-2169.74] 出到保稅艙我就不承擔稅的問題
[2169.74-2176.54] 但是克萊斯特是剛好他們那一台車是在北美泰國的保稅艙
[2176.54-2179.14] 他是在美國組裝以後要出到巴西去的
[2179.14-2182.14] 所以我那些零件現在已經訂了
[2182.14-2183.44] 然後還有一些零件
[2183.44-2185.84] 是因為我本來從中國做
[2185.84-2189.64] 原來是進到我北美倉庫以後再送到客戶端
[2189.64-2192.04] 那客戶端是在加拿大跟墨西哥
[2192.04-2196.44] 所以現在我們也大概在轉移這個大概5%的這個部分
[2196.44-2200.44] 直接進到墨西哥的客戶艙跟加拿大的客戶艙
[2200.44-2203.84] 但是因為現在這個整體的情
[2203.84-2208.64] 就是說整體的現在川普的這個來講的話是很不確定的
[2208.64-2213.34] 就是說你像剛剛瑞講的這個20%的美國價格
[2213.34-2214.54] 價值這件事情
[2214.54-2217.54] 其實這個事情我們在今年年初我們就料到了
[2217.54-2221.94] 就是為什麼就是說因為墨西哥跟加拿大比較起來的話
[2221.94-2224.54] 墨西哥的農產品特別多
[2224.54-2228.14] 如果說你給墨西哥增這個25%的關稅
[2228.14-2229.74] 或是增高的關稅
[2229.74-2231.44] 這個會影響非常的大
[2231.44-2237.74] 而且這次美國對所有的汽車廠加添25%的全車進口關稅
[2237.74-2243.14] 其實我們現在的墨西哥狀況是達到的是美國三大汽車廠
[2243.34-2246.94] 反而你像日產啊豐田啊都沒拿到
[2246.94-2247.54] 為什麼呢
[2247.54-2249.14] 我剛剛我也說明就是說
[2249.14-2254.54] 我們廣泰現在在生產的豐田的跟日產的車型
[2254.54-2257.54] 高級車就是像這個Tiana那些車
[2257.54-2259.54] 包括Camry
[2259.54-2261.74] 他們都是在美國工廠組裝的
[2261.74-2263.34] 不是在墨西哥工廠
[2263.34-2270.34] 那只有像那種比較低端的那種March這些是在墨西哥工廠組裝
[2270.34-2272.74] 而且那個組裝出來的車
[2273.34-2274.94] 沒有全部進美國
[2274.94-2277.94] 大部分是往南美中去運送的
[2277.94-2281.54] 所以我們在廣泰做的日產的話也是一樣的
[2281.54-2286.54] 我們大部分的貨都是到田納西日產工廠去組裝他們的這個
[2286.54-2290.54] 這種Tianai還有這個什麼
[2290.54-2295.34] 這個柔蘭他們叫柔蘭這些的車型
[2295.34-2300.74] 那反而我們現在廣泰在除了克萊斯熱的量
[2300.74-2302.74] 四月份有影響之外
[2302.74-2307.34] 其他的量看起來還是跟原先客戶給的是差不多的
[2307.34-2309.14] 那也是剛剛Ray解釋的就是說
[2309.14-2316.74] 百分之二十的美國價值其實我們早就從我們的這個原材料跟那個都是跟美國德州採購的
[2316.74-2321.74] 所以我們並不存在於說會有關稅的影響這個樣子
[2327.34-2329.34] 還有什麼問題嗎
[2332.74-2344.14] 剛剛是有提到就是目前美國客戶的訂單是只有四月是有些不確定性
[2344.14-2348.54] 然後下一月份是都是正常就是照原先的計畫嗎
[2348.54-2354.54] 今年一月如果有看我們的財報一月的時候是高過預期非常的好
[2354.54-2361.74] 其實我們對於今年的展望我們是一直認為是會跟一月這種情況往上拉的一個狀況
[2362.74-2367.14] 這個不可控的因素就是川普的他的這個動作
[2367.14-2372.34] 所以二三月的時候其實我們已經做了一些處理就是什麼
[2372.34-2380.34] 我們有把一些這個超過原來預估的貨送到美國去進了美國倉庫
[2380.34-2385.34] 因為我們擔心他這個關稅戰他要做多久
[2385.34-2390.74] 雖然我自己的認知我認為這兩個禮拜就有一個很明確的結果了啦
[2390.74-2392.54] 但是他的做法很明顯的就是他做了很多的事情
[2392.74-2395.34] 讓人家很難去捉摸
[2395.34-2399.54] 所以我們在去年的第四季到今年的第一季
[2399.54-2402.74] 我們大概北美倉庫是我們的庫存是增加的
[2402.74-2412.94] 那您剛剛講的就是說他們在這個美國的整體的
[2412.94-2416.94] 在我們的那個北美倉庫來講的話
[2416.94-2418.74] 就我們北美公司來講的話
[2418.74-2422.74] 基本上的影響就是當川普說
[2422.74-2424.74] 要執行對等關稅的時候
[2424.74-2428.74] 克萊斯勒在不到12個小時之內就宣布
[2428.74-2430.74] 停掉六個工廠
[2430.74-2433.74] 他停掉六個工廠的話有一個是墨西哥的主創工廠
[2433.74-2436.74] 有兩個是在加拿大的工廠
[2436.74-2441.74] 但是原先大家可能認為停就只停墨西哥跟加拿大
[2441.74-2443.74] 但是不對的為什麼
[2443.74-2449.74] 因為美國三大的車廠的組裝廠大部分都是在墨西哥跟加拿大
[2449.74-2451.74] 但是他的發動機他的變速箱
[2452.74-2456.74] 他的底盤大部分都是在底特律跟歐哈遊這個地方
[2456.74-2459.74] 所以他們那邊要停止生產組裝的話
[2459.74-2463.74] 你以這個庫存來講這邊也必須要停工
[2463.74-2467.74] 所以反而在底特律的這個發動機廠跟這個組裝廠
[2467.74-2472.74] 還馬上就是短期停工900名員工
[2472.74-2475.74] 對所以我說會影響到的就是這一塊
[2475.74-2481.74] 所以我們現在廣泰這邊來講的話就是因為他有做MP這個項目
[2481.74-2482.74] 就是克萊斯勒的
[2482.74-2484.74] 這個項目大概蠻大的
[2484.74-2486.74] 大概佔伙泰大概10%左右
[2486.74-2491.74] 但是那個工廠現在預告我們說要停三週的時間
[2491.74-2495.74] 所以我說4月會影響的就是這方面的影響
[2504.74-2509.74] 可以評估一下未來中國市場和美國市場的接待量嗎
[2509.74-2511.74] 如果去年有參加我們發展工廠的工廠的話
[2511.74-2514.74] 我記得我之前跟加五的法說會跟股東會不是我忘了吧
[2514.74-2517.74] 我都一直沒有變過一個觀念就是說
[2517.74-2524.74] 從疫情之後全球的汽車市場應該區分成三大塊
[2524.74-2526.74] 第一大塊是中國
[2526.74-2531.74] 中國的汽車市場一定是一個獨立的而且是比較捲
[2531.74-2533.74] 而且是比較有變化的汽車市場
[2533.74-2539.74] 那個是如果說沒去中國你很難想像中國的汽車捲到什麼程度
[2539.74-2540.74] 這是第一個
[2540.74-2542.74] 第二個就是北美
[2542.74-2544.74] 就是所謂的美國大市場
[2544.74-2548.74] 那這裡我到現在還是認為加拿大跟墨西哥是不可切割的
[2548.74-2550.74] 還是在裡面
[2550.74-2552.74] 為什麼會單獨把它變成一塊呢
[2552.74-2555.74] 因為這就在於所謂
[2555.74-2558.74] 川普當選以後要讓美國更偉大
[2558.74-2561.74] 但是最近人家變過來是你讓中國更偉大
[2561.74-2563.74] 就這種的說法
[2563.74-2568.74] 所以我們很早就把美國北美當作一個單獨的市場在操作它
[2568.74-2569.74] 所以為什麼會在全球的市場上變成一塊呢
[2570.74-2572.74] 因為在去年的時候
[2572.74-2578.74] 我跟董事長會去那邊會簽下一個六萬多平方米的一個土地
[2578.74-2583.74] 然後規劃要建六到八個車間
[2583.74-2587.74] 然後第一個這個建築現在廠房已經開始在蓋了
[2587.74-2594.74] 然後但是廠房在蓋預估要到六七月才能大概封頂完工
[2594.74-2595.74] 但是我們已經等不及了
[2595.74-2598.74] 所以我們現在又在外面廣泰又租了一個倉庫
[2598.74-2605.74] 把我們現在一萬多平方米的老的工廠的那些庫存跟貨存物搬出去
[2605.74-2608.74] 留下來的大概三千多平方米的工資
[2608.74-2610.74] 現在在規劃三條新的塗裝線
[2610.74-2616.74] 三條新的塗裝線已經發訂單給了廠商
[2616.74-2619.74] 那也是台灣的一個塗裝設備廠
[2619.74-2624.74] 那我們希望這三條塗裝線能夠在今年的第三季末第四季
[2624.74-2626.74] 就能夠用得上手
[2626.74-2628.74] 這都是去年就開始在規劃的事情
[2628.74-2630.74] 而不是說受到影響
[2630.74-2634.74] 所以美國市場是我們認為要一個單獨操作
[2634.74-2636.74] 而且是封閉在美國裡面的
[2636.74-2640.74] 就加拿大跟墨西哥同樣的裡面的一個做法
[2640.74-2642.74] 這是我們很早就
[2642.74-2645.74] 那第三個市場就是這兩個以外的市場
[2645.74-2650.74] 所以剛剛瑞有介紹過我們為什麼在兩年前在日本成立的辦公室
[2650.74-2652.74] 就是那邊有大概六個日本人
[2652.74-2654.74] 都是因為經濟不好
[2654.74-2655.74] 從我客戶那邊
[2655.74-2658.74] 從日產跟瑪瑞莉出來的一些
[2658.74-2664.74] 員工在幫我們做這些日系的business
[2664.74-2666.74] 那另外一個就在韓國的
[2666.74-2669.74] 我們在上個月吧
[2669.74-2673.74] 已經跟合資公司啟動了這個土地廠房的建設
[2673.74-2675.74] 那這兩塊的操作方式就是
[2675.74-2679.74] 我們要單獨的去把日本的車廠
[2679.74-2681.74] 還有現代企業這兩個車廠
[2681.74-2682.74] 從根本
[2682.74-2684.74] 從他的老地方
[2684.74-2686.74] 就是從韓國跟日本就開始
[2686.74-2689.74] 進入他們的這個供應鏈裡面
[2689.74-2691.74] 尤其是他的前端設計
[2691.74-2694.74] 因為我們剛剛講的光與美的技術整合裡面
[2694.74-2695.74] 最重要的一環是
[2695.74-2697.74] 我要跟車廠的設計者
[2697.74-2698.74] 要共同來
[2698.74-2700.74] 那些設計者就是
[2700.74-2702.74] 什麼紋路比較漂亮
[2702.74-2704.74] 什麼光會比較好
[2704.74-2706.74] 所以現在我們兩個技術中心
[2706.74-2707.74] 一個在大陸
[2707.74-2708.74] 一個在東莞
[2708.74-2709.74] 一個在台灣
[2709.74-2711.74] 廣華技術中心就是在做這樣的事情
[2711.74-2713.74] 所以您剛剛問的市場
[2713.74-2714.74] 我認為以後就是這樣子
[2714.74-2715.74] 那
[2716.74-2717.74] 但是中國跟美國
[2717.74-2718.74] 尤其美國來講
[2718.74-2720.74] 我認為中國跟美國以後
[2720.74-2722.74] 輻射到第三個市場會更重要
[2722.74-2723.74] 為什麼
[2723.74-2724.74] 你看中國現在很捲
[2724.74-2726.74] 但是今年就不太一樣了
[2726.74-2729.74] 今年奇瑞吉利長城
[2729.74-2731.74] 都已經把人派到海外去了
[2731.74-2733.74] 他們的工廠已經開始在動了
[2733.74-2736.74] 我也被要求要到土耳其去一趟
[2736.74-2737.74] 就是說
[2737.74-2739.74] 因為長城在土耳其的工廠
[2739.74-2741.74] 他們一開始在那邊設好工廠
[2741.74-2743.74] 就是CKD的模式
[2743.74-2745.74] 從中國把Module運到那邊去組裝什麼的
[2745.74-2747.74] 但是你想到了那裡以後
[2747.74-2751.74] 當地人為了中國政府支持這些車廠過去的
[2751.74-2755.74] 下一步就是跟歐盟要有一定的這個連接性
[2755.74-2756.74] 所以他們都答應
[2756.74-2758.74] 例如長城汽車到了土耳其
[2758.74-2763.74] 到最後可以掛一個當地跟土耳其的品牌
[2763.74-2767.74] 這就變成土耳其的這個歐盟的車型了嘛
[2767.74-2768.74] 所以這一塊來講
[2768.74-2770.74] 不管是奇瑞吉利或是長城
[2770.74-2772.74] 這些Local品牌
[2772.74-2774.74] 對於海外的市場是非常開放的
[2774.74-2775.74] 所以
[2775.74-2777.74] 所以現在我們也面臨到
[2777.74-2778.74] 就是說接下來
[2778.74-2780.74] 我們的人才夠不夠
[2780.74-2781.74] 我們的這個
[2781.74-2783.74] 尤其海外人才的這個
[2783.74-2785.74] 所以我們現在都在準備這一方面的事情
[2785.74-2786.74] 這樣子
[2794.74-2796.74] 不好意思我想請問一下那個
[2796.74-2800.74] 日本跟韓國我們已經進入現代企業
[2800.74-2802.74] 或者是它的認證的
[2802.74-2804.74] 認證的規定
[2804.74-2808.74] 對我們跟韓國在兩年前
[2808.74-2814.74] 跟現代企業一個T2的電鍍廠的一家公司合資
[2814.74-2816.74] 那我們這個合資公司已經
[2816.74-2819.74] 已經那個了
[2819.74-2821.74] 然後去年我們已經
[2821.74-2823.74] 這家合資公司已經通過
[2823.74-2828.74] 現代企業的這個工藝商認證
[2828.74-2830.74] 所以我們現在下一步就是
[2830.74-2833.74] 什麼時候從採購手上拿到項目
[2833.74-2835.74] 因為我們這次標榜的是
[2835.74-2836.74] 差異化的不同
[2836.74-2838.74] 就是說我們現在做的是
[2838.74-2841.74] 以我們自己開發的油漆磨片
[2841.74-2843.74] 去取代塗裝
[2843.74-2845.74] 所以現在現代對於油漆
[2845.74-2848.74] 他們全球用很多鋼琴A的塗裝
[2848.74-2850.74] 跟金屬漆的塗裝
[2850.74-2853.74] 那怎麼樣要用磨片來取代這個環保的部分
[2853.74-2856.74] 我們就是因為是以這種名義
[2856.74-2860.74] 而很快的進入他們的供應商的這個行列裡面
[2860.74-2861.74] 是這樣子
[2861.74-2862.74] 可是他
[2862.74-2864.74] 如果這樣的話他是不是
[2864.74-2866.74] 是T2廠
[2866.74-2868.74] 你這樣子的話
[2868.74-2870.74] 我們合資公司是T1廠
[2870.74-2871.74] 是進到他的T1
[2871.74-2873.74] 對他現在就是
[2873.74-2877.74] 採購可以發RFQ給我們直接報價
[2877.74-2879.74] 那現在採購給我們的目標
[2879.74-2881.74] 他們是希望在今年的第二季
[2881.74-2883.74] 能夠有項目定點
[2883.74-2884.74] 然後咧
[2884.74-2885.74] 但是對我來講
[2885.74-2886.74] 我也更希望就是
[2886.74-2888.74] 在韓國的車型訂了以後
[2888.74-2891.74] 我要把這個項目帶到美國去
[2891.74-2893.74] 因為我對美國的現在企業
[2893.74-2894.74] 我更有興趣
[2894.74-2896.74] 但是他們是分開的
[2896.74-2898.74] 那日本原本就有了嗎
[2898.74-2902.74] 日本我們本來就是屬於關鍵的
[2902.74-2905.74] 我們所謂講關鍵的就叫指定T2
[2905.74-2908.74] 因為我們從最早期廣澤成立做水轉一
[2908.74-2910.74] 就是做豐田日產本田的供應商
[2910.74-2914.74] 那現在因為我們在那裡做了很多結合
[2914.74-2916.74] 所以我們現在不只跟豐田
[2916.74-2919.74] 也跟豐田的他的這個T1
[2919.74-2921.74] 就是這個Toyota
[2921.74-2923.74] 就是豐田紡織跟豐田合成
[2923.74-2926.74] 都有做這些合作的模式
[2926.74-2928.74] 甚至於現在跟Toyota Kosei
[2928.74-2929.74] 就是豐田合成
[2929.74-2933.74] 現在將要進行一個全球的合作方式
[2933.74-2935.74] 這個全球的合作方式就是說
[2935.74-2938.74] 我們的這些可以提供給豐田合成
[2938.74-2941.74] 在豐田的設計上面去加上去
[2941.74-2943.74] 那在日本因為廣澤沒有工廠
[2943.74-2945.74] 我們可以使用豐田合成
[2945.74-2949.74] 在這個日本的產能嘛
[2949.74-2951.74] 所以這樣的合作方式
[2951.74-2954.74] 就是可以減少我們的投資成本
[2954.74-2957.74] 不要像道波希哥一樣要投那麼多錢
[2957.74-2960.74] 還經過了六年的這個努力的分奏
[2960.74-2962.74] 我換了三任總經理
[2962.74-2965.74] 終於在去年開始這個開化結果
[2965.74-2967.74] 所以韓國跟這個日本
[2967.74-2969.74] 甚至於以後的東南亞
[2969.74-2972.74] 甚至於我剛剛還跟他們聊到的
[2972.74-2974.74] 其實我對俄羅斯人更有興趣
[2974.74-2976.74] 因為俄羅斯現在今年在中國大陸
[2976.74-2979.74] 很多供應商在俄羅斯的項目裡面
[2979.74-2982.74] 賺的比在中國還要多很多
[2982.74-2987.74] 所以後面的市場就是這樣子的整個規劃
[2987.74-2990.74] 很多你會做不完的
[2990.74-2994.74] 最後一個想請教的部分
[2994.74-2997.74] 就是說那中國他現在正在做那個一帶一路
[2997.74-3002.74] 跟東南亞國家還有歐盟
[3002.74-3006.74] 有些就是要採取的領館稅的策略
[3006.74-3009.74] 那你們這邊有提到一個比較
[3009.74-3012.74] 有可能能改國或者是要實施的一個
[3012.74-3014.74] 可以進攻的辦法嗎
[3014.74-3019.74] 其實一帶一路現在這個稱號是越來越敏感
[3019.74-3024.74] 就是說到了歐洲西歐跟美國這些國家
[3024.74-3027.74] 覺得好像一帶一路就是這個
[3027.74-3030.74] 習皇帝的這個構想
[3030.74-3034.74] 所以基本上在中國現在很少在談一帶一路這個事情
[3034.74-3036.74] 但是一帶一路已經慢慢的已經紮根到
[3036.74-3039.74] 這些東南亞還有一些
[3039.74-3046.74] 我們叫做東歐西亞的這些國家
[3046.74-3049.74] 因為我剛剛為什麼會說俄羅斯這個蠻有興趣的
[3049.74-3051.74] 其實不是俄羅斯這個國家
[3051.74-3056.74] 他的白俄羅斯哈薩克斯坦立陶宛正式於伊朗
[3056.74-3060.74] 這些以後一定會變成一個很大的版圖
[3060.74-3062.74] 但是這一塊來講的話
[3062.74-3064.74] 誰能夠在這裡面先做預作準備
[3064.74-3068.74] 其實現在你看到中國所有叫得上名號的車廠
[3068.74-3070.74] 基本上在白俄羅斯都有分工時
[3070.74-3074.74] 他們不到俄羅斯成立他們設立在白俄羅斯
[3074.74-3077.74] 就是準備以後如果說那個地方不打仗了
[3077.74-3080.74] 或怎麼樣的時候怎麼進攻
[3080.74-3085.74] 所以最近中國的幾個像廣州剛做完的一些展覽
[3085.74-3092.74] 其實從東歐跟西亞過來的國家的採購量都蠻大的
[3092.74-3094.74] 對是這樣子
[3094.74-3096.74] 請問一下總經理
[3096.74-3098.74] 我剛提到很多
