[0.00-2.82] 各位投資先進
[1952.24-1956.24] 它可以在未來產生的這些價值的限制
[1956.24-1957.24] 是什麼樣子
[1957.24-1961.24] 那當然從投資人的角度
[1961.24-1963.24] 其實你還是需要考慮COC
[1964.24-1968.24] 因為我們現在CSM是沒有扣COC的
[1968.24-1971.24] 所以理論上應該要另外再公布COC
[1971.24-1975.24] 這個是我覺得相對可能也不是
[1975.24-1977.24] 也不是Invested Value
[1977.24-1980.24] 也不是現在就只是淨值再加CSM
[1980.24-1983.24] 可能還要包括COC
[1983.24-1986.24] 那當然這中間差了一塊就是投資報酬率
[1986.24-1989.24] 跟我那貼線率上面的這個利差
[1989.24-1991.24] 那這個的貢獻
[1991.24-1993.24] 我覺得要交由市場去決定
[1993.24-1996.24] 就這個還會有一塊
[1996.24-1998.24] 真正你公司拿到的不是這樣子
[1998.24-2001.24] 你公司還是有實際的投報率
[2001.24-2003.24] 跟你現在因為你在算CSM
[2003.24-2005.24] 你是有一個預定
[2005.24-2006.24] 那個是大家都一樣
[2006.24-2009.24] 但你其實都會有賺一個利息利差
[2009.24-2012.24] 尤其在損益表上面都會有這一塊利差
[2012.24-2015.24] 但這個利差本身在未來年度會反映
[2015.24-2018.24] 是沒有在現在的這個估計裡面
[2018.24-2021.24] 那這個就看保養公司怎麼把這一部分呈現出來
[2021.24-2024.24] 我覺得要有一些調整
[2024.24-2027.24] 一的也不是現在的Invested Value
[2027.24-2031.24] 也不是只是很簡單的Invested Value加上
[2031.24-2033.24] After Tax的CSM
[2033.24-2035.24] 而是應該再多一點調整
[2035.24-2038.24] 那這個我們現在正在思考
[2038.24-2040.24] 在明年應該是說接軌之後
[2040.24-2044.24] 在2027年應該怎麼呈現這些數字
[2044.24-2046.24] 給投資人參考
[2046.24-2047.24] 會是比較的
[2047.24-2049.24] 因為目前其實我自己覺得
[2049.24-2051.24] 我沒有看到比較合適
[2051.24-2054.24] 在亞洲地區揭露這個部分
[2054.24-2056.24] 比較好的一個評估方式
[2056.24-2058.24] 那我想隨著時間的演變
[2058.24-2063.24] 這個部分應該會慢慢會有個市場的Consensus
[2063.24-2067.24] 那另外就是整個利率的接軌
[2067.24-2069.24] 原則上在接軌
[2069.24-2070.24] 如果說現在利率
[2070.24-2073.24] 基本上我們去年年底的試算
[2073.24-2075.24] 它利率其實就是在相對高的
[2075.24-2077.24] 我們去年年底的時候
[2077.24-2078.24] 我們現在講說
[2078.24-2081.24] 比如說我們ICS Ratio大概有190%
[2081.24-2083.24] 那個就是Base On在去年年底
[2083.24-2085.24] 其實是利率相對高
[2085.24-2088.24] 那時候10年大概是在4.57
[2088.24-2090.24] 其實跟現在這個階段是差不多
[2090.24-2091.24] 30年也是差不多
[2091.24-2093.24] 在目前這樣的一個水準
[2093.24-2095.24] 所以以去年年底的利率
[2095.24-2097.24] 其實跟現在的利率其實是差異不到
[2097.24-2100.24] 所以我們預期在未來接軌上面
[2100.24-2101.24] 這個部分的變動
[2101.24-2104.24] 那我其實之前有大概跟大家講過
[2104.24-2106.24] 就是那些利率的變動對我們
[2106.24-2109.24] 不管在ICS Ratio或淨值比上面
[2109.24-2111.24] 因為我們其實美元保單的
[2111.24-2113.24] DV01非常的小
[2113.24-2116.24] 那台幣的部分會原則上
[2116.24-2119.24] 如果比如說美元1%
[2119.24-2122.24] 然後這個台幣30%
[2122.24-2123.24] 那相對的敏感度
[2123.24-2127.24] 不管ICS還是這個淨值比
[2127.24-2129.24] 其實都非常的Minor
[2129.24-2131.24] 對我們的影響其實都相當小
[2131.24-2133.24] 那加上我們現在的ICS Ratio
[2133.24-2134.24] 是相當高
[2134.24-2137.24] 所以即使利率再往上走
[2137.24-2139.24] 這個部分對我們的影響
[2139.24-2141.24] 在接軌上面這些數字的影響
[2141.24-2144.24] 都是相對是非常可控的
[2144.24-2145.24] 以上
[2149.24-2152.24] 好請問哪一位先進還要再提問的
[2152.24-2154.24] 這邊
[2154.24-2155.24] 好
[2159.24-2160.24] 觀眾朋友好
[2160.24-2161.24] 我這邊是凱希
[2161.24-2164.24] 想問一下匯損的問題
[2164.24-2166.24] 那想問
[2166.24-2169.24] 首先是之前有公司最近有說
[2169.24-2171.24] 要申請準備金新制
[2171.24-2173.24] 那大概什麼時候
[2173.24-2175.24] 有機會5月就可以試用嗎
[2175.24-2177.24] 那另外想問說現在
[2177.24-2181.24] 準備金的水準大概是到什麼程度
[2181.24-2183.24] 那另外是可不可以給我們
[2183.24-2187.24] 就是如果5月還是來不及試用的話
[2187.24-2190.24] 台幣升值1%對水益表
[2190.24-2193.24] 跟準備金的影響各是怎麼樣
[2193.24-2196.24] 那RPC的看法是怎麼樣
[2196.24-2199.24] 那另外今年的避孕成本還是先看
[2199.24-2201.24] 1到1.5%嗎
[2201.24-2202.24] OK
[2202.24-2205.24] 那另外受險的想再問一下
[2205.24-2209.24] 那個第一季的股票金融
[2209.24-2212.24] 會實現水益股根再的狀況
[2212.24-2214.24] 跟目前的狀況這樣子
[2214.24-2217.24] 那另外還有一個問題是
[2217.24-2220.24] VNP今年的假設是300億
[2220.24-2224.24] 比2024年338億稍微低了一些
[2224.24-2227.24] 這個原因是大概是什麼
[2227.24-2228.24] 原因大概是怎麼樣
[2228.24-2232.24] 那第一季的CSN大概是到什麼水準
[2232.24-2233.24] 謝謝
[2243.24-2246.24] 好那個我們先從那個
[2248.24-2251.24] 就是先從避險開始講
[2251.24-2254.24] 我們看那個投影片26頁
[2255.24-2257.24] 就投影片26頁我想
[2257.24-2259.24] 我大概簡單跟大家講就是
[2259.24-2263.24] 這個資訊其實蠻透明的
[2263.24-2265.24] 我們大概每季其實都有公佈這個
[2265.24-2269.24] 那我們公司大概是主要同業裡面
[2269.24-2273.24] 從去年年底一直到現在
[2274.24-2278.24] 就是逐漸拉高避險比例的一家公司
[2278.24-2281.24] 大部分的大部分在第一季
[2281.24-2283.24] 其實都是降低避險比例
[2283.24-2285.24] 那我們去年年底
[2285.24-2288.24] 我想在上一次的法書裡面
[2288.24-2290.24] 我們傳統避險那個比例大概是
[2290.24-2292.24] 64到65%
[2292.24-2295.24] 那我們目前大體上
[2295.24-2297.24] 慢慢的就尤其是在
[2297.24-2298.24] 尤其是在
[2298.24-2300.24] NDF在第一季台幣貶值的時候
[2300.24-2303.24] 其實我們就逐步加
[2303.24-2306.24] 增加了NDF的這個避險部位
[2306.24-2309.24] 那時候NDF的避險成本也相對低
[2309.24-2311.24] 大概都大概2%到3%左右
[2311.24-2313.24] 一個蠻低的水準
[2313.24-2315.24] 比CS還要來得低
[2315.24-2318.24] 而且我們把天期也都拉長了
[2318.24-2321.24] 就是大部分以前大概是做
[2321.24-2322.24] 一個月到三個月
[2322.24-2325.24] 後來我們大概新增的這些避險
[2325.24-2329.24] 大概都集中在6個月到一年
[2329.24-2330.24] 甚至有
[2330.24-2333.24] 甚至有些我們拉到兩年的這個
[2333.24-2335.24] 傳統避險
[2335.24-2337.24] 所以我們到第一季底
[2337.24-2339.24] 大家可以看到就是我們傳統避險的比例
[2339.24-2342.24] 上升到69%
[2342.24-2344.24] 那另外就是PERSI的部分
[2344.24-2346.24] 就那個22%的部分
[2346.24-2349.24] 那那22%就是我們會呈現在
[2349.24-2351.24] 匯率風險在損益表上
[2351.24-2354.24] 會受影響的就是這個22%
[2354.24-2356.24] 那這個PERSI的部分
[2356.24-2360.24] 我們也逐步增加了砸幣的部位
[2360.24-2363.24] 所以我們現在整個砸幣的部位
[2363.24-2367.24] 也比去年年底砸幣的部位來得更有效
[2367.24-2369.24] 那所以在現在的狀況
[2369.24-2372.24] 其實它避險替代避險的有效性
[2372.24-2374.24] 也比之前來
[2374.24-2376.24] 尤其在4月其實這個部分
[2376.24-2377.24] 又增加了蠻多的
[2377.24-2379.24] 那我跟大家講這個怎麼去分析
[2379.24-2381.24] 說我們這些損益
[2381.24-2386.24] 我們總共國外的資產5.65兆
[2386.24-2389.24] 那其中扣除掉外幣保單
[2389.24-2392.24] 因為那個它的資產是跟負債
[2392.24-2393.24] 是同一個幣別
[2393.24-2394.24] 我們就扣掉
[2394.24-2396.24] 所以5.65兆裡面
[2396.24-2398.24] 只有68%是有匯率風險
[2398.24-2400.24] 那這個是主要
[2400.24-2402.24] cover台幣保單的部分
[2402.24-2406.24] 那所以我們就是5.65乘上0.68
[2406.24-2409.24] 然後再乘上22%
[2409.24-2415.24] 這個大概Roughly大概是8400多億的台幣
[2415.24-2417.24] 那這個大概就是我們整個
[2417.24-2419.24] 會受到匯率波動的影響
[2419.24-2422.24] 那但是呢因為我們有替代避險
[2422.24-2425.24] 以4月來講我們替代避險
[2425.24-2429.24] 可以offset掉40%的這個外匯
[2429.24-2434.24] 那你簡單算就是把這個8400億乘上0.6
[2434.24-2437.24] 那大約是5000億左右
[2437.24-2440.24] 這個就是屬於我們真正會受到
[2440.24-2443.24] 匯率影響的進步險部位
[2443.24-2448.24] 我們大概在損益表上就是5000億台幣
[2448.24-2451.24] 那你把5000億台幣像我們4月
[2451.24-2454.24] 台幣升值了3.6%
[2454.24-2457.24] 所以然後因為有外匯價格變動準備金
[2457.24-2459.24] 它可以offset60%
[2459.24-2463.24] 所以你把5000億乘3.6%再乘0.4
[2463.24-2469.24] 那這個大概就是我們4月FX的匯兌損失
[2469.24-2472.24] 大概就是Roughly是73億
[2472.24-2475.24] 那你如果這個大概就是
[2475.24-2479.24] 所以73億除以3.6
[2479.24-2482.24] Roughly大概就很小
[2482.24-2486.24] 你如果大概就大概2億吧
[2486.24-2490.24] 就是如果一個大概20億啦
[2490.24-2493.24] 就是如果台幣1%那個部分大概就20億
[2493.24-2497.24] 那如果換算成因為有同業說0.1元嘛
[2497.24-2498.24] 就一繳
[2498.24-2501.24] 一繳的話我們大概6.3億而已
[2501.24-2505.24] 但是我們4月的績效比這個還好
[2505.24-2510.24] 原因是我們還有那個傳統避險那個NDF的部分
[2510.24-2513.24] 我剛剛講我們的部位增加了很大
[2513.24-2517.24] 那因為台幣升值就同業大家都出來做避險
[2517.24-2519.24] 所以NDF的成本變貴
[2519.24-2524.24] 所以我們gain到了很多NDF的評價利益
[2524.24-2528.24] 所以NDF的評價利益當然它也要提外匯準備
[2528.24-2530.24] 所以offset掉之後
[2530.24-2537.24] 我們實際上我們在4月的因為這整個FX包含評價利益
[2537.24-2540.24] 我們真正的避險成本
[2540.24-2544.24] 就真正的FX相關的未實現
[2544.24-2546.24] 其實只有54億
[2546.24-2548.24] 其實只有54億
[2548.24-2553.24] 那也就是說假設你把我是大概15億左右
[2553.24-2558.24] 就是一個percent我們在4月底下的這個損益表的變動
[2558.24-2561.24] 其實只有15億是非常小的數字
[2561.24-2562.24] 那也因為這樣子
[2562.24-2568.24] 所以我們4月份只收了大概81億的外匯準備
[2568.24-2573.24] 那到4月底餘額大概是305億的外匯準備
[2573.24-2581.24] 那累計1到4月我們整個外匯準備還增提了30億
[2581.24-2583.24] 相對於去年我剛剛有提到
[2583.24-2586.24] 我們去年年底的外匯準備是275億
[2586.24-2589.24] 那到4月底我們是305億
[2589.24-2595.24] 我們大概是唯一一家前面4個月外匯準備還增提的公司
[2595.24-2597.24] 那主要就是我剛剛講
[2597.24-2601.24] 其實我們從年初一直到現在是一直在增加避險部位
[2601.24-2603.24] 還有增加我們替代避險
[2603.24-2607.24] 還有拉長我們整個NDF的避險天期
[2607.24-2613.24] 那所以到5月當然5月現在目前為止台幣升更多了
[2613.24-2619.24] 到昨天為止大概升了6.1%相當大的一個升幅
[2619.24-2623.24] 那主要的contribution當然就是5月2號跟5月5號
[2623.24-2629.24] 那兩天大概各3個percent大概就6個percent就不見了
[2629.24-2633.24] 那剩下的天大體上就上上下下
[2633.24-2639.24] 不過這幾天又呈現一個相對比較連續升值的一個狀態
[2639.24-2643.24] 當然那個幅度都還在可控制的範圍
[2643.24-2647.24] 那目前我們是已經申請了
[2647.24-2655.24] 確實我們是已經通過董事會已經遞件申請這個外匯準備的新制
[2655.24-2663.24] 那如果我們可以允許就5月就申請拿到核准
[2663.24-2665.24] 那當然5月就會適用
[2665.24-2669.24] 那如果5月適用目前所有的外匯的gain
[2669.24-2671.24] 就不管現在台幣升到這樣
[2671.24-2675.24] 我們的外匯準備可以100%all set掉它
[2675.24-2677.24] 而且還有餘額
[2677.24-2679.24] 所以對我們5月的損益表而言
[2679.24-2687.24] 在這個部分是不會有的
[2687.24-2691.24] 那到目前為止我想這個狀況相對
[2691.24-2699.24] 當然未來的部分我想這個還比較難確定
[2699.24-2701.24] 這個未來台幣的這個手勢會是什麼樣
[2701.24-2705.24] 但是我想大家不要太focus在很短期的
[2705.24-2711.24] 就外匯我想我們一直也跟投資人溝通一個觀念
[2711.24-2715.24] 我們外匯從我印象中我們做這些替代避險
[2715.24-2719.24] 我們大概體上大概2005年就已經做到現在了
[2719.24-2725.24] 這中間然後2012年開始有外匯價格變動準備金以來
[2725.24-2729.24] 我想我們上面這個圖可以看得出來
[2729.24-2731.24] 我們2012年一直到現在
[2731.24-2739.24] 我們公司的損益表上FS的成本相對的波動性是最低的
[2739.24-2743.24] 因為我們有比較大的替代避險的部位
[2743.24-2745.24] 所以即使不管台幣升值還是台幣貶值
[2745.24-2751.24] 我們大部分是台幣貶值的時候
[2751.24-2755.24] 我們公司相對其他公司的績效會比較不好一點
[2755.24-2757.24] 因為我們有替代避險會受到一些傷害
[2757.24-2759.24] 所以績效不會那麼好
[2759.24-2761.24] 但是相對也還是不錯
[2761.24-2763.24] 但是尤其在台幣大幅升值
[2763.24-2771.24] 像2017年那一年台幣也大幅升值大概整年大概8.7%
[2771.24-2773.24] 那也是相當大的年度
[2773.24-2775.24] 但我們也因為有替代避險
[2775.24-2779.24] 其他主要的雜幣像韓環新幣等等
[2779.24-2781.24] 其實也都是大幅的升值
[2781.24-2783.24] 跟現在的狀況很類似
[2783.24-2785.24] 所以我要提的就是說
[2785.24-2789.24] 不要太短期真的很難波動短期
[2789.24-2793.24] 當然就是要靠累積多一點的外匯準備去吸收
[2793.24-2795.24] 但長期而言
[2795.24-2797.24] 我相信我們已經經過20年的這個催淚
[2797.24-2801.24] 目前整個外匯的台幣的這個匯率
[2801.24-2803.24] 其實還是在原本的區間內波動
[2803.24-2805.24] 並沒有整個structure
[2805.24-2807.24] 我們不覺得有structure change
[2807.24-2809.24] 所以依照我們現在的慣性
[2809.24-2811.24] 我們對未來的guidance
[2811.24-2813.24] 我們對未來的guidance
[2813.24-2815.24] 當然還是可以控制在
[2815.24-2819.24] 這個1%到1.5%的這個避險成本的這個狀況
[2819.24-2827.24] 這個大概是有關這個外匯準備的這個部分
[2827.24-2831.24] 那另外未實現的部分原則上
[2831.24-2833.24] 低季底是跌得比較多
[2833.24-2835.24] 那4月就回來
[2835.24-2837.24] 所以到低季底股票
[2837.24-2839.24] 股票的部分整個股票
[2839.24-2841.24] 是在水面下
[2841.24-2845.24] 那但是到現在為止到目前到昨天
[2845.24-2847.24] 其實我們的股票
[2847.24-2851.24] 其實大概又回到水面上了
[2851.24-2855.24] 大概還有100多億的這個股票的未實現
[2855.24-2857.24] 整個國內外股票加在一起
[2857.24-2861.24] 這個是大概目前整個未實現的部分
[2861.24-2863.24] 那這個地率的部分
[2863.24-2867.24] 因為它波動上上下下其實影響不大
[2867.24-2869.24] 那個未實現影響比較大
[2869.24-2875.24] 其實是產生在我們台幣計價的ETF
[2875.24-2879.24] 就是銳的部分其實變動不大
[2879.24-2881.24] 那個對影響不大
[2881.24-2885.24] 但是影響比較大是因為台幣升值的關係
[2885.24-2887.24] 那因為我們有台幣計價的ETF
[2887.24-2891.24] 他是直接把這些匯率直接就轉換成台幣
[2891.24-2893.24] 所以這個部分當然就有影響
[2893.24-2899.24] 但是我們現在不管這個淨值比還是RPC都很高
[2899.24-2901.24] 我給大家一個sensitive
[2901.24-2905.24] 就是我們假設以2024年底的匯率出發
[2905.24-2907.24] 大概32.78%出發
[2907.24-2911.24] 那如果台幣升值10%
[2911.24-2913.24] 那大概到29.5%
[2913.24-2915.24] 也就差不多比現在再升一點點
[2915.24-2917.24] 現在大概30%
[2917.24-2919.24] 那升值10%到29.5%
[2919.24-2923.24] 我們的淨值比只會影響-0.7%
[2923.24-2927.24] 那RPC只掉30%
[2927.24-2933.24] 那因為我們去年年底RPC對象大概是在359%
[2933.24-2935.24] 那淨值比去年年底大概8.98%
[2935.24-2937.24] 所以這個其實都很mine了
[2937.24-2939.24] 那也不管匯率再進一步波動
[2939.24-2945.24] 那個其實我們有很大很大的buffer可以承受這些波動
[2945.24-2947.24] 這個大概我想
[2947.24-2951.24] 我想主要的部分大概是這樣
[2951.24-2953.24] 那VMD我們之所以調降下來
[2953.24-2957.24] 主要是因為去年
[2957.24-2961.24] 我們像在訂這個假設是把它還原到一些normal的情形
[2961.24-2963.24] 去年338億
[2963.24-2965.24] 但是去年其實有停售效應
[2965.24-2969.24] 就是那些尤其是時之時復的健康險
[2969.24-2971.24] 它的停售效應很大
[2971.24-2973.24] 所以這個部分大概
[2973.24-2977.24] 這個我們就把它normal回來
[2977.24-2981.24] 那個部分在VMD的貢獻大概是40幾億
[2981.24-2983.24] 大概45億左右
[2983.24-2987.24] 所以原則上我們是把這個部分把它扣除掉
[2987.24-2991.24] 然後大概反應我們正常的一個水準
[2991.24-2995.24] 那因為我們第一季其實就遠遠超過這個部分
[2995.24-2999.24] 就是我們實際上的進度是當然比這個來的好
[2999.24-3001.24] 第一季剛剛有看到
[3001.24-3003.24] 實際上我們VMD大概90幾億
[3003.24-3005.24] 所以其實是遠遠超過
[3005.24-3009.24] 就是我們目標大概300億的四分之一大概75億
[3009.24-3011.24] 是遠遠超過這個部分的
[3011.24-3015.24] 這個大體上我大概簡單做個說明
[3019.24-3021.24] 就是降30個百分
[3021.24-3023.24] 就是從比如說359就減30
[3023.24-3025.24] 就會變329
[3025.24-3027.24] 類似這個意思
[3031.24-3035.24] 好請問哪一位投資現金會被你朋友在提問的
[3041.24-3043.24] 來中間這裡請
[3049.24-3051.24] 你好這邊是統一證券
[3051.24-3055.24] 然後主要想問一下銀行的問題
[3055.24-3059.24] 第一個是因為第一季的銀行信用成本還蠻低的
[3059.24-3063.24] 那因為上一次法說是提到說今年目標是30個BP
[3063.24-3069.24] 那不知道這個目標是不是還是維持還是會往下調
[3069.24-3071.24] 那第二個問題是想問一下財富管理業務
[3071.24-3075.24] 因為四五月的市場是比較波動的
[3075.24-3079.24] 那不知道我們在財管業務的四五月的狀況怎麼樣
[3079.24-3085.24] 那今年整個財管業務我們是預期會是高個位數的成長還是雙位數
[3085.24-3087.24] 以上兩個問題
[3089.24-3091.24] 有關credit cost
[3091.24-3095.24] 我們第一季的credit cost真的是表現好大概20個BP
[3095.24-3097.24] 那目前來看未來
[3097.24-3099.24] 那就像大家也都曉得
[3099.24-3101.24] 今年的市場不確定性還蠻高的
[3101.24-3103.24] 所以目前的改整來看全年
[3103.24-3107.24] 我們還是維持在上次報告的大概30個BP
[3107.24-3109.24] 目前來看
[3109.24-3111.24] 那第二個是有關財富管理的部分
[3111.24-3113.24] 第一季財富管理部分
[3113.24-3115.24] 手續被收入還是表現非常亮眼
[3115.24-3117.24] 那四五月的部分
[3117.24-3119.24] 四五月的部分
[3119.24-3123.24] 四月份我們國泰市華的財富管理收入還是不錯
[3123.24-3129.24] 但第五月份開始真的受到了市場波動跟匯率的影響
[3129.24-3131.24] 整個市場也不光是國泰市華
[3131.24-3137.24] 整個市場財管應該的客人方面都比較猶豫一點
[3137.24-3139.24] 但是我們從五月大概
[3139.24-3141.24] 從上個禮拜下半旬開始
[3141.24-3146.24] 也感覺到客人大概稍微的回復一點信心
[3146.24-3148.24] 那目前產品上面
[3148.24-3150.24] 我們看到保險部分
[3150.24-3154.24] 回來的速度會比其他投資的產品來得快
[3154.24-3156.24] 簡單的報告
[3156.24-3158.24] 那全年的預估
[3158.24-3160.24] 目前真的就像剛剛提到的
[3160.24-3162.24] 今年不確定性真的蠻高的
[3162.24-3166.24] 那我們上次財管給的全年改正大概是high single stage
[3166.24-3170.24] 我們現在還是維持這樣目標來努力
[3170.24-3174.24] 好,請問哪一位先進來要再提問的
[3174.24-3176.24] 來這邊請
[3180.24-3182.24] 你好,這邊是群一頭線
[3182.24-3184.24] 然後有四個問題想要請教
[3184.24-3186.24] 第一個是關於銀行的部分
[3186.24-3188.24] 就是前幾天報紙有在說
[3188.24-3193.24] 國泰市華有要爭取虛擬資產的保管業務
[3193.24-3196.24] 那這個的話是有觀察到的
[3196.24-3200.24] 那不知道國泰市華已經怎麼看這件事情
[3200.24-3203.24] 那第二個問題跟第三個問題
[3203.24-3205.24] 是比較偏果收的部分
[3205.24-3208.24] 就是ICS2.0的部分的話
[3208.24-3211.24] 在投影片上面是有講到說
[3211.24-3213.24] 台股還是屬於新興市場
[3213.24-3215.24] 那現在我們看到的
[3215.24-3217.24] 就是在中國的投資市場
[3217.24-3219.24] 我們看到的一個是
[3219.24-3221.24] 在中國的投資市場
[3221.24-3223.24] 我們看到的一個是
[3223.24-3226.24] 我們看到說台股還是屬於新興市場
[3226.24-3229.24] 所以這個ICS的試算的部分的話
[3229.24-3231.24] 其實是比較不利的
[3231.24-3233.24] 那對於接軌的部分
[3233.24-3235.24] 雖然現在果售的ICS
[3235.24-3238.24] 算起來的比例比較高
[3238.24-3240.24] 所以這個長期接軌之後
[3240.24-3242.24] 會影響到果售投資
[3242.24-3246.24] 台股這種新興市場的一個布局
[3246.24-3249.24] 那第三個部分的話就是說
[3249.24-3252.24] 像剛剛昭婷姐夫有提到說
[3252.24-3255.24] 台幣其實還是沒有改變這個結構
[3255.24-3259.24] 利率水準其實也是比較高的一個水準
[3259.24-3260.24] 那想問一下說
[3260.24-3264.24] 目前的一個台幣計價的債券ETF的
[3264.24-3267.24] 目前的配置比例大概是多少
[3267.24-3270.24] 那還有多少空間可以再看起來
[3270.24-3273.24] 不管是利率水準或匯率的水準
[3273.24-3277.24] 都是一個比較偏向長期有利的一個部分的話
[3277.24-3279.24] 還有加碼多少的空間
[3279.24-3281.24] 那第四個問題是
[3281.24-3286.24] 國泰金控目前董事會已經說了說
[3286.24-3289.24] 配息的金額是3.5元
[3289.24-3291.24] 那這個配奧比例的部分的話
[3291.24-3294.24] 其實比2021年的一個獲利的配奧比例
[3294.24-3296.24] 其實高出來蠻多的
[3296.24-3297.24] 那非常感謝
[3297.24-3300.24] 那我只是想說以之後接軌的話
[3300.24-3303.24] 這個配奧比例有機會再提升嗎
[3303.24-3306.24] 還是說今年這個配奧比例的提升
[3306.24-3308.24] 有沒有什麼特殊的一個考量
[3308.24-3310.24] 那以上
[3310.24-3314.24] 我先回答有關這個虛擬貨幣保管的部分
[3314.24-3316.24] 那第一個我們看整個亞洲市場
[3316.24-3318.24] 大概新加坡在這一塊
[3318.24-3321.24] 其實開放的速度跟幅度都比較大一點
[3321.24-3324.24] 那目前今晚會有開放這個虛擬貨幣的保管
[3324.24-3326.24] 那我們在看虛擬貨幣的時候
[3326.24-3329.24] 會感受到整個社會上大概年輕的族群
[3329.24-3333.24] 對這些虛擬貨幣的參與度會蠻高的
[3333.24-3336.24] 那目前我們就先從今晚會開放的
[3336.24-3339.24] 從今晚會開放的保管業務圈開始
[3339.24-3342.24] 那未來的部分就看今晚會這邊的態度
[3342.24-3344.24] 我們再決定以上
[3348.24-3351.24] 好 那個回答剛剛提問的兩個問題
[3351.24-3354.24] 在他之前我剛剛好像忘了講那個
[3354.24-3356.24] CSM的部分
[3356.24-3361.24] 我們第一季的CSM的draft大概是241億
[3361.24-3366.24] 那我講我們的minimum就是700億起跳
[3366.24-3369.24] 所以一季我們大概要做到175
[3369.24-3373.24] 這個也是大幅超過我們的這個budget的
[3373.24-3377.24] 因為主要是第一季
[3377.24-3380.24] 當然第一季ANH的部分有稍微下來一點
[3380.24-3385.24] 因為去年這個因為都已經有預期到那個法令會改
[3385.24-3388.24] 所以其實去年整個上半年
[3388.24-3391.24] ANH的成長非常非常大
[3391.24-3393.24] 那今年相對而言
[3393.24-3396.24] ANH就沒有這麼大的成長動能
[3396.24-3400.24] 但是我們包含美元保單的部分
[3400.24-3403.24] 其實成長尤其美元利變型的商品
[3403.24-3406.24] 那個成長幅度相當的大
[3406.24-3409.24] 那當然投資型保單我們成長幅度也很大
[3409.24-3413.24] 不過那個對利潤的貢獻相對來講就比較mine了
[3413.24-3416.24] 所以我們第一季大概有CSM大概241億
[3416.24-3421.24] 也是一個還蠻不錯的一個數字
[3421.24-3424.24] 那有關台股對新興市場
[3424.24-3428.24] 但就是台股是屬於在ICS底下
[3428.24-3430.24] 它是屬於新興市場
[3430.24-3435.24] 所以global對新興市場大概是49%的這個risk charge
[3435.24-3440.24] 非常高但是因為台灣我們就是
[3440.24-3442.24] 我們當然不覺得台股是新興市場
[3442.24-3445.24] 我們就把它規分到以開發市場
[3445.24-3451.24] 所以台股這個長期我們最終會拉高到只有35%
[3451.24-3456.24] 那一樣是從現在RPC21點多分15年
[3456.24-3458.24] 慢慢拉高到35%
[3458.24-3460.24] 那你問我說長期的佈局
[3460.24-3464.24] 原則上我們本來在佈局這個上面
[3464.24-3468.24] 原則上跟現在我們不會做太大的改變
[3469.24-3472.24] 就整個股票的這個配置
[3472.24-3475.24] 我們會跟現在的狀況差不多
[3475.24-3478.24] 那個會變動還是跟以前一樣
[3478.24-3481.24] 長期我們會有我們核心持股的部分
[3481.24-3483.24] 這個部分還是會持續增加
[3483.24-3487.24] 那這個比較taxical的這個部位
[3487.24-3490.24] 當然會隨著市場的狀況去做一些改變
[3490.24-3493.24] 那我們過去整個股票部位大概都是
[3493.24-3495.24] 維持10%到15%
[3495.24-3497.24] 未來因為考量
[3497.24-3499.24] 雖然這個風險資本會一直增加
[3499.24-3501.24] 但是我們覺得台股
[3501.24-3505.24] 它還是包含台灣股票跟國外股票
[3505.24-3509.24] 它長期的超額報酬是可以cover的
[3509.24-3513.24] 就是這整個的value我們覺得long term來講
[3513.24-3517.24] 它扣除掉這些資本的charge還是有價值的
[3517.24-3520.24] 那會在我們目前整個資本
[3520.24-3523.24] 因為我們的資本市儲相對是高的
[3523.24-3526.24] 所以目前我們整個配置的百分比
[3526.24-3528.24] 還是跟我們過去一樣
[3528.24-3532.24] 長期的這個戰略其實不會做改變
[3532.24-3533.24] 不會做改變
[3533.24-3537.24] 那目前第二個問題有關那個台幣ETF的部分
[3537.24-3541.24] 在第一季底我們台幣計價的ETF
[3541.24-3545.24] 大概是5200多億的台幣
[3545.24-3548.24] 那但是到現在大概因為台幣升值了
[3548.24-3550.24] 升值了3%多
[3550.24-3553.24] 到4月當然大概就是5000億
[3553.24-3556.24] 那如果現在再升6%左右
[3556.24-3558.24] 現在當然就剩下4000多億了
[3558.24-3563.24] 就大概Rafi現在大概4600到4700左右的部位
[3563.24-3565.24] 那我們這個部位
[3565.24-3568.24] 這個照我們資產的佔比
[3568.24-3569.24] 我們是還有空間啦
[3569.24-3571.24] 所以台幣計價的ETF
[3571.24-3575.24] 當然我們會考量整個市場因素
[3575.24-3577.24] 包含收益率等等
[3577.24-3579.24] 還包含裡面的組成
[3579.24-3581.24] 信用品等等
[3581.24-3583.24] 這些我們還是長期
[3583.24-3587.24] 這個部位的資產配置我們還是會增加
[3593.24-3596.24] 那關於那個鼓勵政策的問題
[3596.24-3600.24] 就剛您提到就是說
[3600.24-3603.24] 我們的這個配奧比我們2021年有提升
[3603.24-3604.24] 的確是
[3604.24-3607.24] 那今年的配奧是48%
[3607.24-3610.24] 那相當於就是我們三年的平均
[3610.24-3612.24] 也是48.02
[3612.24-3615.24] 就是一個希望能夠一個穩定的水準
[3615.24-3619.24] 但是最主要其實還是會看每一年實際的狀況
[3619.24-3627.24] 畢竟整個還是要考量到整個營運的成長的需要
[3627.24-3630.24] 那我們其實最主要還是要看
