[0.00-4.22] 好
[1751.32-1753.32] 觀念
[1753.32-1756.32] 那看到我們的市佔率
[1756.32-1758.32] 我們的市佔率在
[1758.32-1761.32] 去年全年平均是
[1761.32-1763.32] 14%
[1763.32-1765.32] 那第四季是14.4%
[1765.32-1768.32] 所以我們的市佔率是微幅
[1768.32-1771.32] 微幅增加0.4%
[1773.32-1779.32] 接下來我們看到廢鐵原料跟
[1779.32-1782.32] 產品行情的走勢
[1782.32-1786.32] 剛剛有報告
[1786.32-1787.32] 報告了
[1787.32-1789.32] 2024年就是
[1789.32-1791.32] 不管是刀乳電子
[1791.32-1793.32] 其實都是一度下滑
[1793.32-1795.32] 那廢鋼呢
[1795.32-1797.32] 我們看到這個廢鋼的價格
[1797.32-1799.32] 廢鋼價格是從
[1799.32-1801.32] 一月開始
[1801.32-1802.32] 一度下滑
[1802.32-1804.32] 只有在
[1804.32-1806.32] 9月10月的時候
[1806.32-1808.32] 10月的部分
[1808.32-1810.32] 10月大陸的一個利多政策
[1810.32-1811.32] 短暫的拉抬
[1811.32-1813.32] 隨後又繼續的下跌
[1813.32-1815.32] 那這樣子的趨勢其實就是
[1815.32-1816.32] 一樣就是連動了
[1816.32-1818.32] 鋼價下跌
[1818.32-1820.32] 然後需求會縮小
[1820.32-1822.32] 通過於需求的輪重
[1822.32-1824.32] 又跟鋼價又連動
[1824.32-1826.32] 就是一個比較負面的循環
[1826.32-1828.32] 所以整體在去年
[1828.32-1830.32] 下半年大概都是比較
[1830.32-1832.32] 一個悲觀的一個
[1832.32-1834.32] 期續
[1834.32-1836.32] 那今年
[1836.32-1838.32] 大概美國
[1838.32-1840.32] 美國川普政府對
[1840.32-1842.32] 鋼乳課稅
[1842.32-1844.32] 這個對市場投入一個變數
[1844.32-1846.32] 那
[1846.32-1848.32] 剛剛有說明說對其他
[1848.32-1850.32] 出口到美國國家的一個變動
[1850.32-1852.32] 當然原本就已經
[1852.32-1854.32] 台灣以往的利益本來就25%
[1854.32-1856.32] 所以我們幾乎是
[1856.32-1858.32] 沒變了
[1858.32-1860.32] 那對這個韓國來說就是從
[1860.32-1861.32] 0到25%
[1861.32-1863.32] 這會連動到他們怎麼樣去
[1863.32-1865.32] 因應他們的銷售政策
[1865.32-1867.32] 進而它是不是影響
[1867.32-1869.32] 亞洲的銷售跟價格政策
[1869.32-1871.32] 這個真的是需要來觀察一下
[1871.32-1873.32] 不過美國這樣的課稅下去
[1873.32-1875.32] 在美國當地的一個價格
[1875.32-1877.32] 就很快速的就
[1877.32-1879.32] 發牌了
[1879.32-1881.32] 以熱壓為例
[1881.32-1883.32] 大概一月底到二月
[1883.32-1885.32] 到二月這個時候
[1885.32-1887.32] 一個月內大概就漲
[1887.32-1889.32] 80到90萬美金
[1889.32-1891.32] 所以這個就是一個
[1891.32-1893.32] 那這樣子的成品
[1893.32-1895.32] 打台也帶動了一個
[1895.32-1897.32] 原料的費剛
[1897.32-1899.32] 費剛為止的一個
[1899.32-1901.32] 原料的走樣
[1901.32-1903.32] 所以它也導致了我們的
[1903.32-1905.32] 費剛在
[1905.32-1907.32] 今年一二月
[1907.32-1909.32] 它就有一個明顯的價格的
[1909.32-1911.32] 走升這邊就有一個0.6的
[1911.32-1913.32] 一個價格走升
[1913.32-1915.32] 那整年
[1915.32-1917.32] 再來看產品
[1917.32-1919.32] 那剛剛
[1919.32-1921.32] 去年就是隨著
[1921.32-1923.32] 費剛上升
[1923.32-1925.32] 這個趨勢也是很明顯的
[1925.32-1929.32] 那去年一整年
[1929.32-1931.32] 我們的費剛
[1931.32-1933.32] 跌了2.2
[1933.32-1935.32] 到現在二月了
[1935.32-1937.32] 去年一月段
[1937.32-1939.32] 現在二月
[1939.32-1941.32] 我們跌了
[1941.32-1943.32] 2.2
[1943.32-1945.32] 那鋼金的部分
[1945.32-1947.32] 是跌了1.8
[1947.32-1949.32] 那鋼是
[1949.32-1951.32] 1.6那條件是2塊
[1951.32-1953.32] 那跌幅大概都還
[1953.32-1955.32] 都還可以
[1955.32-1957.32] 小於費剛的一個跌幅
[1957.32-1959.32] 大概我們的價格
[1959.32-1961.32] 政策大概
[1961.32-1963.32] 部分是反應市場行情
[1963.32-1965.32] 部分也會
[1965.32-1967.32] cover這個原料的一個變動
[1967.32-1969.32] 那整個
[1969.32-1971.32] 這鋼金當然
[1971.32-1973.32] 隨著
[1973.32-1975.32] 尤其是鋼金
[1975.32-1977.32] 它隨著費剛的行動就是非常明顯
[1977.32-1979.32] 鋼金雖然是穩定但是它趨勢還是
[1979.32-1981.32] 隨著變動也是下降的
[1981.32-1983.32] 去年二月
[1983.32-1985.32] 鋼金隨著費剛它漲600
[1985.32-1987.32] 鋼金也漲500
[1987.32-1989.32] 那鋼金漲400
[1989.32-1991.32] 現在是條件在去年
[1991.32-1993.32] 八月九月下跌之後
[1993.32-1995.32] 價格到現在是還沒有變動
[1997.32-1999.32] 那為什麼它沒有變動
[1999.32-2001.32] 因為條件畢竟它的下游客戶是
[2001.32-2003.32] 就是外銷為主
[2003.32-2005.32] 就是羅斯羅茂
[2005.32-2007.32] 手工具這一類
[2007.32-2009.32] 它們畢竟是跟國際的
[2009.32-2011.32] 同業在競技
[2011.32-2013.32] 競爭
[2013.32-2015.32] 也就是說它必須跟高爐那些
[2015.32-2017.32] 高爐原料有在競爭
[2017.32-2019.32] 所以它的價格的反應
[2019.32-2021.32] 跟大陸價格的反應
[2021.32-2023.32] 其實是相關的
[2023.32-2025.32] 目前看起來
[2025.32-2027.32] 大概大陸那邊鋼價
[2027.32-2029.32] 變化不大所以條件這邊
[2029.32-2031.32] 也沒有辦法立即的去調整
[2031.32-2033.32] 這個價格
[2033.32-2035.32] 不過它雖然價格沒調整
[2035.32-2037.32] 但是在
[2037.32-2039.32] 美國鋼鋁課稅
[2039.32-2041.32] 還有烏鵝戰爭
[2041.32-2043.32] 有可能縮短
[2043.32-2045.32] 或是很快能夠
[2045.32-2047.32] 佔了一個
[2047.32-2049.32] 期望
[2049.32-2051.32] 至少客戶這邊在條件
[2051.32-2053.32] 這邊的一個情緒
[2053.32-2055.32] 大概是從悲觀
[2055.32-2057.32] 慢慢的有一點
[2057.32-2059.32] 轉變
[2059.32-2061.32] 悲觀轉為稍微樂觀一點
[2061.32-2063.32] 這樣不會那麼
[2063.32-2065.32] 悲觀的情緒
[2065.32-2067.32] 這裡是一個
[2067.32-2069.32] 價格雖然沒變
[2069.32-2071.32] 但是
[2071.32-2073.32] 它的價格的氛圍還是有一點改變
[2073.32-2077.32] 接下來我們看
[2077.32-2079.32] 最主要的是我們
[2079.32-2081.32] 廢鋼跟成品的一個
[2081.32-2083.32] 行情趨勢
[2083.32-2085.32] 我剛剛有報告過了
[2085.32-2087.32] 就是說還是
[2087.32-2089.32] 雖然廢鋼
[2089.32-2091.32] 跟成品都是在跌
[2091.32-2093.32] 但是我們在三大產品
[2093.32-2095.32] 在原料下跌的階段
[2095.32-2097.32] 它的反應有點不一樣
[2097.32-2099.32] 我們直接來看價格
[2099.32-2101.32] 我們看到
[2101.32-2103.32] 今年的一月我們鋼筋的
[2103.32-2105.32] 價差大概鎖定在
[2105.32-2107.32] 8.8
[2107.32-2109.32] 那目前是9.2
[2109.32-2111.32] 所以它還是有
[2111.32-2113.32] 原料變化
[2113.32-2115.32] 然後有適度的
[2115.32-2117.32] 反應其他一些成本的上升
[2117.32-2119.32] 所以它價差有
[2119.32-2121.32] 發達
[2121.32-2123.32] 那行鋼的部分
[2123.32-2125.32] 行鋼的
[2125.32-2127.32] 部分從15.1
[2127.32-2129.32] 變成15.7
[2129.32-2131.32] 是有達到這樣的效果
[2131.32-2133.32] 條線的話15.7到15.9
[2133.32-2135.32] 這是變化比較小的
[2135.32-2137.32] 但是它還是有達到
[2137.32-2139.32] 所以
[2139.32-2141.32] 我們公司目前的狀況
[2141.32-2143.32] 大概
[2143.32-2145.32] 原料當然是由國際的
[2145.32-2147.32] 行情跟工具形成的
[2147.32-2149.32] 但是我們在三大產品的價格
[2149.32-2151.32] 政策上能夠盡量的
[2151.32-2153.32] 做到實質的反應成本
[2153.32-2155.32] 跟適當的
[2155.32-2157.32] 反應原料成本跟適度的
[2157.32-2159.32] 反應其他的生產成本
[2159.32-2161.32] 所以這樣看起來
[2161.32-2163.32] 是有效的
[2163.32-2165.32] 那這次是
[2165.32-2167.32] 以上是我的報告
[2167.32-2169.32] 那我們是要先進行
[2169.32-2171.32] 那個
[2171.32-2173.32] 那我們是先請
[2173.32-2175.32] 陳協理
[2175.32-2177.32] 來衝說明一下
[2177.32-2179.32] 我們把
[2179.32-2181.32] 董事會的
[2181.32-2183.32] 董事會的
[2183.32-2185.32] 訊息
[2185.32-2187.32] 那就我們昨天董事會
[2187.32-2189.32] 董事會的時候有
[2189.32-2191.32] 有公告一個重大訊息然後也許
[2191.32-2193.32] 就是
[2193.32-2195.32] 因為我本來認為就是
[2195.32-2197.32] 問的人會比較多啦
[2197.32-2199.32] 所以我就把它列在這次法說會的
[2199.32-2201.32] 補充說明
[2201.32-2203.32] 也許是昨天因為董事會開的比較晚
[2203.32-2205.32] 那發布訊息比較
[2205.32-2207.32] 比較晚
[2207.32-2209.32] 所以說目前都還沒有人問
[2209.32-2211.32] 不過就是
[2211.32-2213.32] 昨天那個公告稿最主要就是說
[2213.32-2215.32] 我們在新竹有一塊
[2215.32-2217.32] 土地
[2217.32-2219.32] 那我是跟著大概三十幾位地主
[2219.32-2221.32] 那個
[2221.32-2223.32] 一起這個持分持有的
[2223.32-2225.32] 那我們公司
[2225.32-2227.32] 持有的持分
[2227.32-2229.32] 大概就是二十三
[2229.32-2231.32] 接近二十四個percent
[2231.32-2233.32] 這是全壯商那個這個
[2233.32-2235.32] 大概就是接近二十四個percent
[2235.32-2237.32] 那目前它
[2237.32-2239.32] 那塊土地
[2239.32-2241.32] 我們持有大概從民國
[2241.32-2243.32] 接近八十年
[2243.32-2245.32] 就已經持有到現在
[2245.32-2247.32] 所以說它其實那個
[2247.32-2249.32] 就是增值算蠻多的啦
[2249.32-2251.32] 然後
[2251.32-2253.32] 幾年前我們就有
[2253.32-2255.32] 就是參加新竹那邊
[2255.32-2257.32] 它那個士博區有一個
[2257.32-2259.32] 因為它這一塊是工業地
[2259.32-2261.32] 然後我們就有去參加
[2261.32-2263.32] 它那有一個
[2263.32-2265.32] 有一個計畫就是把工業地
[2265.32-2267.32] 變成住商
[2267.32-2269.32] 然後它本來就是還有一些商業地
[2269.32-2271.32] 然後
[2271.32-2273.32] 在大概六七年前
[2273.32-2275.32] 我們也
[2275.32-2277.32] 對這個住商那塊土地
[2277.32-2279.32] 進行一些
[2279.32-2281.32] 試地重劃的工作
[2281.32-2283.32] 所以說這個陸陸續續
[2283.32-2285.32] 一直在進行
[2285.32-2287.32] 那會因為進行到
[2287.32-2289.32] 目前為止
[2289.32-2291.32] 大概已經
[2291.32-2293.32] 剩下最後一小部分
[2293.32-2295.32] 大概那邊需要捐
[2295.32-2297.32] 捐公園
[2297.32-2299.32] 給市政府它那個部分
[2299.32-2301.32] 已經做完目前在驗收中
[2301.32-2303.32] 然後重劃會大概
[2303.32-2305.32] 剩下最後一個步驟
[2305.32-2307.32] 就是要算那個分擔比例
[2307.32-2309.32] 所以說原則上應該是今年
[2309.32-2311.32] 整個重劃工作
[2311.32-2313.32] 會全部完成
[2313.32-2315.32] 因為就是這一塊土地
[2315.32-2317.32] 大家也持有蠻久的
[2317.32-2319.32] 所以說
[2319.32-2321.32] 所有地主
[2321.32-2323.32] 大概在去年
[2323.32-2325.32] 就有決定說整個重劃工作完之後
[2325.32-2327.32] 就要把這塊土地賣掉
[2327.32-2329.32] 那
[2329.32-2331.32] 後來就是大家
[2331.32-2333.32] 地主們共同決議的結果
[2333.32-2335.32] 因為
[2335.32-2337.32] 這塊土地也算面積蠻大的
[2337.32-2339.32] 因為它
[2339.32-2341.32] 這邊
[2341.32-2343.32] 它的土地大概是
[2343.32-2345.32] 兩萬一千平方公尺
[2345.32-2347.32] 不過有一些
[2347.32-2349.32] 捐公園之後
[2349.32-2351.32] 大概可售的也有五千平
[2351.32-2353.32] 而且那塊土地目前是在
[2353.32-2355.32] 新竹後火車站
[2355.32-2357.32] 大概新竹
[2357.32-2359.32] 國賓飯店附近那邊
[2359.32-2361.32] 算是新竹市區裡面
[2361.32-2363.32] 算比較大塊的
[2363.32-2365.32] 這個
[2365.32-2367.32] 土地
[2367.32-2369.32] 所以說後來他們就決定
[2369.32-2371.32] 要採用公開標售方式
[2371.32-2373.32] 然後地主那邊
[2373.32-2375.32] 地主那邊的話
[2375.32-2377.32] 就是
[2377.32-2379.32] 有找三家
[2379.32-2381.32] 就是有找幾家
[2381.32-2383.32] 公司來做檢報
[2383.32-2385.32] 那最後
[2385.32-2387.32] 就是由
[2387.32-2389.32] 大家最後決定就是由
[2389.32-2391.32] 市辦會理事
[2391.32-2393.32] 來做這個
[2393.32-2395.32] 專任的銷售
[2395.32-2397.32] 那
[2397.32-2399.32] 因為這塊土地
[2399.32-2401.32] 就對我們
[2401.32-2403.32] 就是說
[2403.32-2405.32] 它其實價值也蠻多的
[2405.32-2407.32] 所以說在簽訂前
[2407.32-2409.32] 我們就是按照
[2409.32-2411.32] 取儲的規定
[2411.32-2413.32] 那有做了
[2413.32-2415.32] 就是在
[2415.32-2417.32] 董事會那邊有通過
[2417.32-2419.32] 所以說也根據相關的規定
[2419.32-2421.32] 公告
[2421.32-2423.32] 可能大家會問說
[2423.32-2425.32] 第一個時程大概什麼時候
[2425.32-2427.32] 就是時程
[2427.32-2429.32] 那時程目前我只能說就是說
[2429.32-2431.32] 目前就是已經大概進行到
[2431.32-2433.32] 最後了
[2433.32-2435.32] 可能就是有一些就是
[2435.32-2437.32] 那個
[2437.32-2439.32] 那個底費地的計算那邊
[2439.32-2441.32] 可能到最後還是要信服市政府那邊通過
[2441.32-2443.32] 所以說這個時程
[2443.32-2445.32] 沒有辦法抓得很
[2445.32-2447.32] 很精確
[2447.32-2449.32] 那就是大概
[2449.32-2451.32] 目前的進度來看的話
[2451.32-2453.32] 應該下半年
[2453.32-2455.32] 就可能可以進行這個
[2455.32-2457.32] 公開標售的程序
[2457.32-2459.32] 那不過就是因為
[2459.32-2461.32] 如果下半年標售
[2461.32-2463.32] 那它今年或者明年任業
[2463.32-2465.32] 可能會在那個中間
[2465.32-2467.32] 所以說這個
[2467.32-2469.32] 目前我也沒有辦法說出來
[2469.32-2471.32] 然後再過來
[2471.32-2473.32] 那這塊土地的價值有多少
[2473.32-2475.32] 那
[2475.32-2477.32] 這個
[2477.32-2479.32] 就是在那個
[2479.32-2481.32] 我們財報如果大家有興趣的話
[2481.32-2483.32] 我們財報就是
[2483.32-2485.32] 就是投資性不動產那邊
[2485.32-2487.32] 我們今年有做了一個估價
[2487.32-2489.32] 我們今年有做了一個估價
[2489.32-2491.32] 那大概
[2491.32-2493.32] 大家可以先參考那個金額
[2493.32-2495.32] 那如果這個金額
[2495.32-2497.32] 我沒有
[2497.32-2499.32] 在這邊說出來的原因是因為
[2499.32-2501.32] 那個金額只是
[2501.32-2503.32] 財報揭露用的
[2503.32-2505.32] 那將來這塊土地
[2505.32-2507.32] 將來這塊土地
[2507.32-2509.32] 就是說
[2509.32-2511.32] 它要再去跟建價公
[2511.32-2513.32] 就是跟那個CPI討論
[2513.32-2515.32] 底價的時候
[2515.32-2517.32] 那個價格又會不一樣
[2517.32-2519.32] 然後因為這個是公開招標就算
[2519.32-2521.32] 以後我們
[2521.32-2523.32] 要進行這個公開
[2523.32-2525.32] 標做的這個
[2525.32-2527.32] 這個公告出來之後
[2527.32-2529.32] 最後的成交價也會不一樣
[2529.32-2531.32] 所以說
[2531.32-2533.32] 那個數字
[2533.32-2535.32] 就是大家有興趣可以去財報
[2535.32-2537.32] 翻一下然後看一下大概
[2537.32-2539.32] 應該最後的
[2539.32-2541.32] 成交價會比那個財報那個數字
[2541.32-2543.32] 還高
[2543.32-2545.32] 可是具體的數字
[2545.32-2547.32] 這個變數太多我也沒有辦法說了
[2547.32-2549.32] 這大概就是昨天
[2549.32-2551.32] 那個公告稿裡面
[2551.32-2553.32] 大概一些相關資訊的
[2553.32-2555.32] 補充
[2555.32-2557.32] 那
[2557.32-2559.32] 那我們現在就進行那個Q&A
[2559.32-2561.32] 的部分
[2561.32-2563.32] 那裡夠了
[2569.32-2571.32] 好那我們請
[2571.32-2573.32] 大家可以提問
[2573.32-2575.32] 看大家有什麼問題可以
[2575.32-2577.32] 向協理們請教
[2579.32-2581.32] 你們還是不要敲個 yer
[2581.32-2591.32] 我ihad
[2591.32-2598.12] 我們 我們
[2598.12-2599.32] 自己
[2599.32-2601.32] 可以
[2601.32-2603.32] 發表
[2603.32-2605.32] 公告
[2605.32-2607.32] 你
[2607.32-2608.28] 去
[2608.28-2609.32] 找
[2609.32-2615.22] 瓜哥先进
[2615.22-2615.64] 有没有
[2615.64-2618.50] 那个问题要提问的
[2630.72-2631.24] 不好意思
[2631.24-2632.60] 我先请教一下
[2632.60-2634.68] 因为刚刚您这边说
[2634.68-2636.82] 就是无二战争市场氛围
[2636.82-2637.78] 是有改善的
[2637.78-2638.64] 那具体来说
[2638.64-2642.66] 是客户在价格面是稍微比较乐观吗
[2642.66-2643.18] 还是怎么
[2643.18-2644.56] 这个可以具体再说明一下
[2644.56-2644.82] 谢谢
[2644.82-2648.02] 因为我们
[2648.02-2653.22] 我应该用销售的状况来说明
[2653.22-2656.46] 这个是针对条件的部分
[2656.46-2660.00] 刚刚有说明到说
[2660.00-2664.20] 去年的七八月价格是往下跌的
[2664.20-2667.00] 虽然中国大陆在十月份价格有涨
[2667.00-2668.52] 但是十月之后
[2668.52-2669.60] 又一路的下跌
[2669.60-2673.10] 所以整个市场包含在过年前
[2673.10-2678.62] 都还是笼罩在中国大陆的一个供货渔船价格下跌的一个分布
[2678.62-2680.38] 这个不只是
[2680.38-2681.38] 钢厂这一块
[2681.38-2683.54] 连下游的接单
[2683.54-2689.16] 大概都是处于一个所谓的比较看跌的一个状态
[2689.16-2692.48] 那当然这样就反映在接单的状态会比较差一点
[2694.32-2694.96] 那可是呢
[2694.96-2697.16] 在这个二月
[2697.16-2698.36] 是川普
[2698.52-2701.24] 上海之后的关于课税啦
[2701.24-2706.04] 跟无额战争的一个露出曙光
[2706.04-2710.36] 很明显的我们的接单在过年前后的一个变化
[2710.36-2717.84] 就感觉的出来他已经有一点回升了
[2717.84-2721.64] 那你说要具体的讲说他回升多少
[2721.64-2724.40] 我大概也只能够跟你讲说
[2724.40-2727.32] 原本是在减少下单量的病人
[2727.32-2728.38] 是在增加下单量的病人是在增加下单量的病人
[2728.38-2731.38] 那具体增加多少个人
[2731.38-2733.38] 那我是不好意思在这边说
[2733.38-2738.30] 基本上他就是已经让你感觉你在第一线的销售人员
[2738.30-2741.98] 感觉到说他整个的接单状况是有变得讲
[2744.20-2746.04] 我只能够大概在这里说
[2747.54-2749.42] 价格部分当然有变动
[2749.42-2753.44] 因为中国大陆那边的价格也还没有明显变动
[2754.88-2758.38] 那我再补充一下中国大陆的价格
[2758.38-2762.50] 其实刚刚讲的嘛是因为去年的原物料下跌
[2762.50-2765.78] 所以他刚才有也是一度下跌
[2765.78-2770.08] 那今年年初以来铁光砂是有反应的
[2770.08-2772.70] 那焦炭当然是没有什么变
[2772.70-2775.50] 但是至少他铁光砂是往上
[2775.50-2781.50] 那美国那边当地的一个产品热压是很明显的往上
[2781.50-2788.36] 所以大家应该是在面对中国大陆供负渔业这个压力之下
[2788.38-2790.38] 应该不会特别去认为
[2790.38-2793.62] 市场是几率往下走
[2793.62-2795.62] 应该比较不会这么认为
[2795.62-2798.62] 但是毕竟他供负渔业是市场
[2798.62-2802.62] 所以他供负渔业这个压力能够缓解多少
[2802.62-2804.62] 对钢价支撑就会比较明显
[2804.62-2806.62] 那早上呢
[2806.62-2812.62] 早上也有传出说中国大陆预计说今年要减产
[2812.62-2814.62] 大概也蛮大幅度的
[2814.62-2817.62] 这个事我已经证实
[2818.38-2819.38] 我已经尽量求证
[2819.38-2820.38] 但是还未经证实
[2820.38-2823.38] 他有可能要执行他的减产
[2823.38-2825.38] 比较明确一点的减产
[2825.38-2829.38] 这样子对市场的激励就会更正向一点
[2829.38-2831.38] 所以我认为
[2831.38-2833.38] 尤其是桥县
[2833.38-2840.38] 桥县他其实面对最大的就是整个中国大陆的供负渔业的问题
[2840.38-2843.38] 以及他的出口的政策
[2843.38-2847.38] 那这是要观察的地方
[2848.38-2850.38] 那连带的我刚报告过的
[2850.38-2852.38] 美国刚领课税
[2852.38-2857.38] 原本日本韩国是有免税额消耗
[2857.38-2860.38] 美国的现在变成齐头式的平等
[2860.38-2863.38] 他会不会转向到亚洲
[2863.38-2865.38] 东南亚这边来
[2865.38-2869.38] 这个也是要注意的
[2869.38-2875.38] 那所以应该这么讲多空的条件都有
[2875.38-2877.38] 只是目前看起来
[2877.38-2881.38] 偏多的氛围是比较明显的
[2881.38-2882.38] 多的是什么
[2882.38-2884.38] 刚讲的无核战争停了
[2884.38-2887.38] 那中国大陆下个月要召开两会
[2887.38-2891.38] 市场也希望他会推出一些利多政策
[2891.38-2894.38] 然后再加上美国刚加确实是大涨
[2894.38-2895.38] 铁光沙也是涨
[2895.38-2900.38] 所以感觉上是正面的讯息
[2900.38-2906.38] 大概是比较在这个阶段是多于悲观的一个情绪
[2906.38-2911.38] 所以但是他毕竟都是国际间的大事情
[2911.38-2915.38] 所以这个还是真的是要逐步的观察
[2915.38-2918.38] 只能够说现在的情绪确实是
[2918.38-2921.38] 悲观转稍微转乐观一点
[2921.38-2924.38] 大概是这样子一个分析
[2924.38-2928.38] 以上是我对你这个问题的一个回答
[2928.38-2930.38] 理解理解谢谢
[2936.38-2939.38] 这是
[2939.38-2944.38] 我看不出来这是谁的问题
[2944.38-2945.38] 不然是我看一下
[2945.38-2948.38] 行观人寿
[2948.38-2955.38] 2025年钢筋型钢条件需求以价格看法
[2955.38-2959.38] 第二重建需求要具体评估
[2959.38-2965.38] 第一个钢筋的需求
[2966.38-2977.38] 目前看起来我刚刚说我还是必须要尊重那个整个的所谓建造的
[2977.38-2979.38] 那个建造执照的面积
[2979.38-2981.38] 他看起来他还是楼地板面积
[2981.38-2984.38] 他还是呈现的是正向
[2984.38-2990.38] 所以我没有办法说去去用自己的感觉去说那悲观或乐观
[2990.38-2995.38] 但是他的数据告诉我说他还是比2023年是往上的
[2995.38-2996.38] 所以我没有办法说去去用自己的感觉去说那悲观或乐观了但是他的数据告诉我说他还是比2023年是往上的
[2996.38-2999.38] 所以我大概没有特别的理由去看淡化
[2999.38-3003.38] 但是你说季节性的因素像今年第一季
[3003.38-3005.38] 说今年第一季的钢筋
[3005.38-3013.38] 我也认为我们一二月的数字看起来是比前年是稍微差一点
[3013.38-3015.38] 这大概也是要说明一下
[3015.38-3020.38] 因为今年的过年在一月
[3020.38-3023.38] 然后12月的时候我们的出货量
[3023.38-3025.38] 我现在讲的是我们公司
[3025.38-3029.38] 我们公司12月的钢筋出货量是爆大量的出货
[3029.38-3033.38] 那原因当然也是因为今年过年在一月
[3033.38-3036.38] 整个工地反推到加工商那边
[3036.38-3040.38] 所以他的进货时间要提早
[3040.38-3043.38] 所以有一些是在今年一月的一个需求
[3043.38-3046.38] 他在去年12月就去拉动了
[3046.38-3050.38] 所以在12月大幅的大量的一个出货情况之下
[3050.38-3053.38] 今年的一月又刚好是过年了
[3053.38-3054.38] 所以他当然出货量稍微
[3054.38-3056.38] 稍微弱一点
[3056.38-3063.38] 所以我用的钢筋今年的一二月看起来是跟前年比是稍微弱了一点
[3063.38-3065.38] 那我们想这个
[3065.38-3070.38] 然后现在的一个工程进度大概也没有
[3070.38-3073.38] 没有前一两年这么急着
[3073.38-3079.38] 所谓的抢件之类的一个动作
[3079.38-3081.38] 稍微稍微慢一点
[3081.38-3084.38] 所以年后开工也比较慢
[3084.38-3088.38] 所以一月二月都是大概有这个相关年的因素
[3088.38-3092.38] 那业务单位这边是预估上月份应该会比较恢复正常
[3092.38-3099.38] 所以整体来说第一季应该跟去年第一季比
[3099.38-3102.38] 我想他是当今是衰退的
[3102.38-3108.38] 衰退大概是个位数字应该不至于到两位数
[3108.38-3112.38] 那行钢看起来大概平平
[3112.38-3113.38] 第一季看起来是持平
[3114.38-3118.38] 那条线第一季看起来跟去年第一季大概也是持平或小增
[3118.38-3120.38] 这是第一季的状况
[3120.38-3125.38] 那二三四季坦白讲就必须要联动到我刚刚讲的国际因素
[3125.38-3130.38] 这些因素如果他是正面的发酵的多的话
[3130.38-3138.38] 我想对至少对条线那边的正面影响就会比较明显
[3138.38-3143.38] 所以目前看起来应该价格我是不会觉得
[3144.38-3148.38] 不会觉得有很悲观
[3148.38-3152.38] 应该价格上没有特别悲观
[3152.38-3157.38] 那第二个重建需求要怎么评估
[3157.38-3163.38] 事实上我跟各位报告是毕竟假设那边需要重建
[3163.38-3171.38] 说直接钢材要从亚洲去到那边事实上也是路途遥远
[3171.38-3174.38] 所以说你要直接性的是不敢确定说
[3174.38-3178.38] 国内厂商到底能不能够扮演这种角色
[3178.38-3183.38] 但是国际的钢铁需求是流动的
[3183.38-3186.38] 钢价也是因为需求流动而变动
[3186.38-3190.38] 所以就算你不是直接参与这个重建
[3190.38-3194.38] 它间接性的去补足了某些
[3194.38-3197.38] 参与重建国的一个钢铁需求
[3197.38-3199.38] 这个都是会联动的
[3199.38-3203.38] 所以倒不是一定要在意你直接参与重建有多少
[3203.38-3206.38] 而是整个的钢铁的需求的流动
[3206.38-3209.38] 以及信心的建立这个大概才重要
[3209.38-3213.38] 以上是我对问题的一个回答
[3220.38-3223.38] 谢力请教一下
[3223.38-3229.38] 那如果假设这个美国他对这个全球课的这个钢铝之后
[3229.38-3232.38] 如果他为了要提高他自己的生产量
[3233.38-3236.38] 使用比较多的美国货柜废钢
[3236.38-3241.38] 那会不会今年我们看到一月份的货柜废钢价格
[3241.38-3245.38] 可能是低一点之后可能他出口会变少
[3245.38-3250.38] 那我们这个料源的话会到时候会怎么去做调整
[3250.38-3251.38] 谢谢
[3256.38-3259.38] 你讲的这个其实是蛮
[3259.38-3261.38] 观察的蛮敏锐的啦
[3261.38-3262.38] 就是
[3262.38-3264.38] 美国的当地钢厂
[3264.38-3266.38] 价格拉升
[3266.38-3270.38] 有可能需求当然就是进口少了
[3270.38-3272.38] 所以他产量也要变大
[3272.38-3274.38] 所以他废钢的后用会变多
[3274.38-3278.38] 这个是可以可以这样理解
[3278.38-3280.38] 那当然
[3280.38-3284.38] 可能第一个影响的是他的价格
[3284.38-3288.38] 那么价格就显现在二月现在涨价这一个
[3288.38-3290.38] 就是他所显现出来就是告诉你
[3290.38-3292.38] 他的成品涨价的
[3292.38-3294.38] 所以他的肺胀的相长价
[3294.38-3297.38] 所以可以这样预期说有方有这方面
[3297.38-3300.38] 往这方面走的几率是相对比较大
[3300.38-3302.38] 那至于量的部分
[3302.38-3305.38] 他能够增加多少产量
[3305.38-3309.38] 他是产量增加比较多还是价格增加比较多
[3309.38-3311.38] 这这还会违避啊
[3311.38-3313.38] 也许他是价格拉的高
[3313.38-3317.38] 未必他产量会拉的一样这么多的
[3317.38-3319.38] 提升
[3319.38-3321.38] 所以我们现在第一个面对的股市
[3321.38-3324.38] 可能是他的原料价格会因此被成品带动
[3324.38-3326.38] 这是有可能
[3326.38-3329.38] 至于量的供应目前看起来
[3329.38-3331.38] 也是只能够逐周来看
[3331.38-3334.38] 目前从各种贸易商的讯息啊
[3334.38-3337.38] 或是报价中看起来是还正常的在在报价
[3337.38-3339.38] 只是说
[3339.38-3342.38] 价格当然是有略略的跟年初比
[3342.38-3343.38] 他是上涨的
[3343.38-3344.38] 这是一部分
