[0.00-5.64] 好的
[1684.42-1690.66] 那它也是我們的一個前五大客戶之一
[1690.66-1693.06] 我們賣給他們相當多的這個光學級的塑料
[1694.06-1697.90] 讓他們去做成各式各樣的鏡頭模組
[1697.90-1699.82] 包括像電視器
[1699.82-1701.42] 手機的鏡頭
[1701.42-1703.62] 車載的一些鏡頭
[1703.62-1705.58] 環境測驗的鏡頭等等
[1705.58-1707.26] 這個應用越來越多
[1707.26-1711.86] 所以這個也是我們在高階工程塑膠裡面
[1711.86-1713.90] 另外有個driver
[1713.90-1718.50] 那另外還有再一個driver就是車用的部分
[1718.50-1723.94] 車用的部分用到高階工程塑膠去取代金屬的趨勢
[1724.06-1726.46] 也是越來越明顯
[1726.46-1729.74] 因為大家現在車廠都講求
[1729.74-1733.06] 不管是就算是傳統的內燃機
[1733.06-1735.78] 吃汽油的這個車子來講也好
[1735.78-1738.46] 他們都要求所謂的這個燃油效率
[1738.46-1739.74] 燃油經濟性
[1739.74-1741.46] fuel economy
[1741.46-1744.86] 那你用塑膠去取代金屬的話
[1744.86-1747.74] 這個增益的重量就會減輕
[1747.74-1749.94] 然後我們的高階工程塑膠
[1749.94-1752.74] 最後如同我剛剛跟各位報告的
[1752.74-1753.90] 它用這個heat
[1754.06-1756.06] 然後這個
[1756.06-1759.74] 然後還有一個重要的就是這個
[1759.74-1762.74] 氣候的耐受性
[1762.74-1767.38] 這些種種特性都讓我們的高階工程塑膠
[1767.38-1772.94] 能夠提供給這個汽車產業去做成各式各樣的零組件
[1772.94-1777.22] 那這個包括傳統的內燃機
[1777.22-1779.14] 汽車跟電動車
[1779.14-1782.14] 都需要相當多的工程塑膠去做他們的零組件
[1782.14-1784.02] 比如說像圖片上的右下角
[1784.06-1788.06] 這個大家可以看到有各種顏色不同的連接器
[1788.06-1794.06] 這個不管是傳統的汽油車或者是電動車
[1794.06-1798.50] 上面都一定有會有很多這種各式各樣的連接器
[1798.50-1802.82] 那電動車裡面又包括這個所謂的一些線束
[1802.82-1805.38] 它裡面會有很多電線的線束
[1805.38-1808.30] 然後包括這個所謂的繼電器
[1808.30-1810.06] 裡面的配電盤
[1810.06-1811.50] 然後馬達
[1811.50-1813.90] 然後一些煞車的卡車
[1814.06-1819.38] 錢等等這些應用都是會用到我們的高階工程塑膠
[1819.38-1822.06] 去做這些各式各樣的零組件
[1822.06-1827.82] 那高階工程塑膠的部分我就先介紹到這裡
[1827.82-1831.42] 那另外我剛剛跟各位報告在ICT裡面
[1831.42-1838.18] 另外還有一個部分大概在ICT25%營收的是PCDE的產業的材料
[1838.18-1842.06] 那這個PCDE就如同這一頁這邊講的
[1842.06-1844.06] 我大概就
[1844.06-1849.06] 就跟各位講兩個主要的產品就好了
[1849.06-1854.06] 那第一個是在第三個Bullet Point裡面講到的
[1854.06-1858.06] 這個高解析度的幹墨
[1858.06-1859.06] Driving
[1859.06-1863.06] 那我們的Driving是來自於日本原廠
[1863.06-1865.06] Asahi Kasei
[1865.06-1869.06] 畜化成的這個高階的Driving
[1869.06-1874.06] 那為什麼會需求這樣子的一個高解析度呢?
[1874.06-1880.06] 因為PCDE的隨著AI的需求
[1880.06-1886.06] 它的層數也PCDE的層數也越來越多
[1886.06-1892.06] 不管是走向HDI版或者是Any Layer或者是Multi Layer
[1892.06-1896.06] 這種層數PCDE的板子的層數已經到了
[1896.06-1901.06] 我記得已經到了三四十層以上這樣的高階的板材
[1901.06-1904.06] 那它的每一個片的板材
[1904.06-1907.06] 裡面的線路它的Servitude
[1907.06-1911.06] 線路的這個線寬的要求越來越精細
[1911.06-1914.06] 那你在曝光顯影製程裡面
[1914.06-1919.06] 要用到的一個介質就是要用我們的高階的幹墨
[1919.06-1924.06] 你才能把你要的這個精細的電路圖
[1924.06-1927.06] 把它這個用Photosortial
[1927.06-1932.06] 曝光顯影的製程把它Inframe到這個印刷電路板上面
[1932.06-1934.06] 那這個就非得要用到我們的
[1934.06-1939.06] Asahi Naseh的高階的幹墨才有辦法達到這樣的目的
[1939.06-1946.06] 那所以我們的Driving這邊在高階的這個應用方面
[1946.06-1950.06] 也是就是營收成長是與日俱增
[1950.06-1952.06] 這個是第一個產品
[1952.06-1954.06] 那第二個是這個
[1954.06-1958.06] 第二個Holypoint上面想到的透過基板
[1958.06-1960.06] 高頻基板
[1960.06-1962.06] 那基本上這個
[1962.06-1966.06] 這個通貨基板叫做CCL
[1966.06-1967.06] 我知道台灣
[1967.06-1971.06] 大家也都知道台灣也有所謂的CCL三雄
[1971.06-1974.06] 那不過我們的CCL是來自於日本
[1974.06-1978.06] Panasonic就是日本中下Mashita的
[1978.06-1980.06] 這個高階的通貨基板
[1980.06-1982.06] 那這個通貨基板
[1982.06-1987.06] 它有所謂的上面文字也有提到所謂的低介電子
[1987.06-1991.06] 還有另外一個特性叫做低阻抗性
[1991.06-1992.06] 英文叫做Low Detail
[1992.06-1994.06] Low Detail跟Low Df
[1994.06-2000.06] 有這些特性的通貨基板才有辦法去應用到高階的伺服器
[2000.06-2003.06] 或者是高階的通訊設備
[2003.06-2009.06] 因為這些高階的應用都要求要有很低的這個介電子
[2009.06-2012.06] 低的介電子跟低的阻抗性數
[2012.06-2015.06] 這樣子它在做資料的傳輸的時候
[2015.06-2018.06] 才不會有一些Data loss
[2018.06-2020.06] 或者是產生高熱
[2020.06-2021.06] 這些我們的材料都會有這些的
[2021.06-2026.06] 我們的材料才可以提供這樣子的一個優質的特性
[2026.06-2032.06] 我們不會有我們的這個Data loss的這個
[2032.06-2034.06] Rate也比較低
[2034.06-2040.06] 然後這個所謂的產生高溫的這個現象也會比較低一點
[2040.06-2049.06] 那這個所以這個我們Panasonic的這個CCL也是高階這個印刷電路板
[2049.06-2050.06] 在製作AI Server
[2050.06-2055.06] 或是高階的這個通訊設備所需要的通貨基板
[2055.06-2064.06] 那像這個市面上的PCB廠商也有很多都幾乎都採用我們的這個通貨基板
[2064.06-2068.06] 去做他們的高階的這個PCB
[2068.06-2073.06] 那這個是PCB的介紹
[2073.06-2079.06] 那另外第二個區塊就是紅色的這邊是我們的半導體的原廠
[2080.06-2085.06] 那我想這個可能是大家也相當關心的一個一個應用領域
[2085.06-2090.06] 那我們其實可以說我們自己是一個所謂
[2090.06-2099.06] 半導體上游原材料的一個全方位的服務的解決的一個供應商
[2099.06-2103.06] 客戶所有上游的原材料
[2103.06-2105.06] 不管是Chemical或者是氣體
[2105.06-2107.06] 或者是零組件
[2107.06-2109.06] 我們這邊華麗銀印具全面
[2110.06-2112.06] 全部都有供應
[2112.06-2114.06] 那化學品的部分呢
[2114.06-2120.06] 大家在頭裡面上面可以看到有幾個主要的化學品
[2120.06-2122.06] 包括像光阻液
[2122.06-2124.06] 在第三個Bluepoint這邊
[2124.06-2126.06] 有所謂的光阻液
[2126.06-2128.06] 電子機的化學品
[2128.06-2130.06] 然後虛光阻液
[2130.06-2132.06] 然後CMP的研磨液
[2132.06-2135.06] 主要是應用在同製程的研磨液
[2135.06-2139.06] 那另外我們也有供應這個特殊器品
[2139.06-2144.06] 然後還有一些零組件的這個設備的零組件
[2144.06-2153.06] 那另外近期內客戶的這個先進封裝材料的需求也越來越強
[2153.06-2157.06] 所以我們也有供應先進的封裝材料
[2157.06-2161.06] 那我簡單介紹我們的光阻液
[2161.06-2162.06] 還有研磨液
[2162.06-2165.06] 然後還有這個先進封裝材料
[2165.06-2168.06] 這些都是來自於日本原廠
[2169.06-2172.06] 就是JSR的工藝
[2172.06-2178.06] 所以我們是JSR的Focal Resist光阻液
[2178.06-2182.06] 就是客戶可能到了3奈米
[2182.06-2184.06] 甚至未來到2奈米
[2184.06-2186.06] 這些先進的光阻液
[2186.06-2188.06] 包括Legacy的光阻液
[2188.06-2192.06] 就是比較舊的製程的生熟製程的光阻液
[2192.06-2195.06] 我們這邊也都全方位都有在供應
[2195.06-2198.06] 那我們的光阻液是來自於JSR
[2198.06-2202.06] 那另外JSR還有供應一個重量產品就是研磨液
[2202.06-2206.06] 那研磨液這也是一個很重要的產品
[2206.06-2212.06] 那另外就是我剛剛跟各位報告的這個先進封裝材料
[2212.06-2215.06] 先進封裝材料去年
[2215.06-2220.06] 光是去年它這個單項產品先進封裝材料本身
[2220.06-2223.06] 大概就成長了將近100%
[2223.06-2227.06] 所以由此可見客戶在先進封裝材料上
[2228.06-2232.06] 是相當的低限
[2232.06-2236.06] 相當的需求的成長性非常的高
[2236.06-2243.06] 那JSR我們基本上是在領我剛剛講的三個主要的產品
[2243.06-2246.06] 那另外像電子機的化學品
[2246.06-2251.06] 這個我們是在領日本的Mitsubishi Chemical
[2251.06-2255.06] 日本三銀化學的一些電子機的化學品
[2255.06-2257.06] 包括一些酸鹼類的東西啊
[2258.06-2261.06] 電子機送氧水啊等等這些東西
[2261.06-2266.06] 這也都是前半世的不可或缺的一些原材料
[2266.06-2268.06] 那另外像特殊氣體
[2268.06-2270.06] 就像我剛剛跟各位講的
[2270.06-2275.06] 特殊氣體我們除了在台灣
[2275.06-2282.06] 然後供應給這個不管是晶圓代購廠或者是滴潤廠
[2282.06-2288.06] 我們也順利的成功供應給客戶到日本跟美國的這個產品
[2288.06-2292.06] 特殊氣體的部分我們是目前已經都開始在供應
[2292.06-2296.06] 給日本客戶的日本跟美國的產品
[2296.06-2303.06] 那這個半導體我想它的成長性
[2303.06-2305.06] 我就不用再多贅述
[2305.06-2308.06] 大家應該都會有很充分的資訊
[2308.06-2312.06] 現在的AI不管是AI的應用需求
[2312.06-2315.06] 或者是未來甚至這個6G
[2315.06-2318.06] 大家已經開始在準備在講6G了
[2318.06-2320.06] 這個半導體的需求
[2320.06-2322.06] 這個半導體的晶片
[2322.06-2326.06] 不管是Logic IC 繪圖晶片 GPU
[2326.06-2331.06] 或者是以後這個可能需求會越來越大的ASIC
[2331.06-2333.06] 這個ASIC IC
[2333.06-2339.06] 這些都會衝擊這個半導體方面的一些產量的需求
[2339.06-2343.06] 所以華麗這邊供應全方位的
[2343.06-2345.06] 半導體方面的原材料
[2345.06-2347.06] 這個放學品的原材料
[2347.06-2353.06] 我們是將會受惠於這個科技方面的一個增長
[2353.06-2359.06] 那另外在這個柱狀圖上面
[2359.06-2361.06] 最上面的綠色的區塊
[2361.06-2364.06] 我這邊寫的是AptoElectronics
[2364.06-2365.06] 光電產品
[2365.06-2368.06] 其實基本上就是平面顯示器的產品
[2368.06-2371.06] 那平面顯示器的產品
[2371.06-2376.06] 我們這邊就是主要就是提供平面顯示器
[2376.06-2378.06] 上游到下游所有的產品
[2378.06-2380.06] 我們都一應俱全
[2380.06-2381.06] 全部都有供應
[2381.06-2384.06] 包括上游這個Panel
[2384.06-2387.06] 面板製成所需要用到的
[2387.06-2389.06] 這個放學品
[2389.06-2391.06] 我們也有供應
[2391.06-2393.06] 包括像彩色光柱
[2393.06-2395.06] 包括像這個
[2395.06-2397.06] 一些包Panel
[2397.06-2399.06] 酸鹼類的東西
[2399.06-2402.06] 這個我們也都有供應
[2402.06-2405.06] 那另外我們一路在面板類
[2405.06-2408.06] 從一路供應到中游到下游
[2408.06-2411.06] 中游包括像這個背光模組裡面
[2411.06-2414.06] 用到很多的這個光選板材
[2414.06-2415.06] 比如說偏光板
[2415.06-2416.06] 導光板
[2416.06-2418.06] 擴散板等等這些
[2418.06-2421.06] 這些原材料我們也都有供應
[2421.06-2423.06] 那因為我們在這個行業
[2423.06-2427.06] 已經這個成功開拓市場已經很久
[2427.06-2430.06] 所以有很多的客戶是希望
[2430.06-2433.06] 依賴我們的這個通路平台
[2433.06-2435.06] 去做他們的展品的效果
[2435.06-2437.06] 所以我們也有一個
[2437.06-2439.06] 我們也有一個專門做電子白板的
[2439.06-2441.06] 這個廠商
[2441.06-2445.06] 也希望我們幫他做全球的銷售
[2445.06-2448.06] 所以我們幫這一家這個
[2448.06-2451.06] 大陸的做電子白板的這個供應廠商
[2451.06-2454.06] 我們幫他把他的電子白板
[2454.06-2456.06] 就是推廣到全世界
[2456.06-2457.06] 包括歐美
[2457.06-2460.06] 因為現在歐美的學校
[2460.06-2462.06] 都已經不再使用傳統的黑板
[2462.06-2464.06] 粉筆啊這些已經不用了
[2464.06-2468.06] 都是用一個很大螢幕的這個LCD螢幕
[2468.06-2470.06] 然後上面有觸控模組
[2470.06-2473.06] 老師可以直接把他要上課的教材
[2473.06-2474.06] 上課的教材
[2474.06-2475.06] 上課的教材
[2475.06-2476.06] 上課的教材
[2476.06-2478.06] 然後上面甚至有觸控模組
[2478.06-2480.06] 可以做一些評計啊
[2480.06-2481.06] 或者一些說明
[2481.06-2484.06] 那學生因為現在科技也都進步了
[2484.06-2488.06] 那個學生在這個台下
[2488.06-2490.06] 可能會有一些比如說平板啊
[2490.06-2492.06] 或者是PC都可以跟老師的電子白板做互動
[2492.06-2494.06] 或者是PC都可以跟老師的電子白板做互動
[2494.06-2496.06] 所以成為一個這個教學上一個很好的一個新的工具
[2496.06-2498.06] 所以成為一個這個教學上一個很好的一個新的工具
[2498.06-2500.06] 那在公司所謂企業界
[2500.06-2502.06] 那在公司所謂企業界
[2502.06-2504.06] 也有相當好的應用
[2504.06-2506.06] 因為在你的conference room
[2506.06-2508.06] 大家的會議室裡面
[2508.06-2510.06] 可能就不需要再用投影機
[2510.06-2512.06] 可能就直接用這個電子白板
[2512.06-2514.06] 就可以做連接上一個個人的電腦
[2514.06-2516.06] 就可以做這個很容易就做簡報
[2516.06-2518.06] 就可以做這個很容易就做簡報
[2518.06-2520.06] 那就像我剛剛講的
[2520.06-2522.06] 那就像我剛剛講的
[2522.06-2524.06] 因為它的單價比較高
[2524.06-2526.06] 因為它是完成品
[2526.06-2528.06] 製成品
[2528.06-2530.06] 所以它單價相當高
[2530.06-2532.06] 就對我們的營收貢獻也相當的明顯
[2532.06-2534.06] 就對我們的營收貢獻也相當的明顯
[2534.06-2536.06] 那基本上我們這邊
[2536.06-2538.06] 那基本上我們這邊
[2538.06-2540.06] 主要的產品項目
[2540.06-2542.06] 我大概就介紹到這裡為止
[2542.06-2544.06] 那接下來
[2544.06-2546.06] 我們來看我們
[2546.06-2548.06] 剛剛要講到的
[2548.06-2550.06] 一個所謂capacity的
[2550.06-2552.06] 一個extension
[2552.06-2554.06] 這一頁這邊大家可以
[2554.06-2556.06] 仔細看一下就是說
[2556.06-2558.06] 我們在2021年的時候
[2558.06-2560.06] 已經在台南嘉嶺那邊
[2560.06-2562.06] 我們買了一個
[2562.06-2564.06] 一萬兩千坪的土地
[2564.06-2566.06] 然後我們KTEX花了
[2566.06-2568.06] 大概12億台幣
[2568.06-2570.06] 那
[2570.06-2572.06] 買了這塊土地之後
[2572.06-2574.06] 我們打算就近在
[2574.06-2576.06] 台南這邊
[2576.06-2578.06] 就近供應未來
[2578.06-2580.06] 大客戶往南部那邊
[2580.06-2582.06] 貨廠的一個需求
[2582.06-2584.06] 我們知道
[2584.06-2586.06] 台灣的
[2586.06-2588.06] 晶圓代工大廠
[2588.06-2590.06] 到不管是高雄
[2590.06-2592.06] 台南嘉嶺南科
[2592.06-2594.06] 這些所有的這些擴廠
[2594.06-2596.06] 都需要相對應的原材料
[2596.06-2598.06] 的供應
[2598.06-2600.06] 那我們這次
[2600.06-2602.06] 大概將近
[2602.06-2604.06] 有差不多25
[2604.06-2606.06] 25到27億台幣
[2606.06-2608.06] 這樣的一個整體的
[2608.06-2610.06] project cost
[2610.06-2612.06] 整個資本支出大概在這個範圍
[2612.06-2614.06] 左右
[2614.06-2616.06] 那希望在台南這邊
[2616.06-2618.06] 建立我們另外一個
[2618.06-2620.06] 南部的大實物流
[2620.06-2622.06] 中心
[2622.06-2624.06] 我們可以就近的移工
[2624.06-2626.06] 土物移工材料
[2626.06-2628.06] 給當地的客戶
[2628.06-2630.06] 給南部的這些
[2630.06-2632.06] 即將擴廠生產的客戶
[2632.06-2634.06] 那這個project
[2634.06-2636.06] 就是包括
[2636.06-2638.06] 在這塊地上面
[2638.06-2640.06] 我們會蓋7座倉庫
[2640.06-2642.06] 裡面甚至有包括有
[2642.06-2644.06] 空調設備的倉儲
[2644.06-2646.06] 因為我們知道有一些
[2646.06-2648.06] 這個電子機的化學品
[2648.06-2650.06] 他們是需要儲存在
[2650.06-2652.06] 所謂比較這個
[2652.06-2654.06] 有冷藏的這樣的一個儲存環境
[2654.06-2656.06] 所以
[2656.06-2658.06] 7座裡面其中有一座
[2658.06-2660.06] 就會是一個冷藏的倉儲
[2660.06-2662.06] 然後另外其他的
[2662.06-2664.06] 有一些就是常溫的倉儲
[2664.06-2666.06] 那
[2666.06-2668.06] 其實我們的這個
[2668.06-2670.06] 物流運送中心
[2670.06-2672.06] 在南部的這個物流運送中心
[2672.06-2674.06] 除了可以移工
[2674.06-2676.06] 服務給我們的
[2676.06-2678.06] 原有的客戶以外
[2678.06-2680.06] 其實我們
[2680.06-2682.06] 事前也有做過市場調查
[2682.06-2684.06] 在南部有很多的製造廠
[2684.06-2686.06] 他們其實是沒有相對應的
[2686.06-2688.06] 倉儲跟物流的
[2688.06-2690.06] 這個空間跟
[2690.06-2692.06] 這個系統的
[2692.06-2694.06] 所以我們成立一個這樣一個很專業的
[2694.06-2696.06] 因為我們在物流
[2696.06-2698.06] 倉儲這邊的經驗
[2698.06-2700.06] 累積的非常的深厚
[2700.06-2702.06] 所以我們也可以提供相對應的
[2702.06-2704.06] 服務給第三方
[2704.06-2706.06] 就是其實就是我們的客戶以外
[2706.06-2708.06] 的製造廠商
[2708.06-2710.06] 他們如果需要倉儲的
[2710.06-2712.06] 儲位或者是物流系統的話
[2712.06-2714.06] 他也可以來利用
[2714.06-2716.06] 可以外包給我們華麗的
[2716.06-2718.06] 這個南部的物流中心
[2718.06-2720.06] 所以這個南部的物流中心
[2720.06-2722.06] 他的戰略
[2722.06-2724.06] 戰略價值意義其實是相當高的
[2724.06-2726.06] 除了可以
[2726.06-2728.06] 鞏固我們原有的
[2728.06-2730.06] 客戶跟我們的關係
[2730.06-2732.06] 以外我們還可以另外做
[2732.06-2734.06] 其他的
[2734.06-2736.06] 第三方的這個生意
[2736.06-2738.06] 這個是
[2738.06-2740.06] 我們南部物流中心
[2740.06-2742.06] 那預計應該在
[2742.06-2744.06] 今年左右吧
[2744.06-2746.06] 今年或者是明年初
[2746.06-2748.06] 這一兩年應該就會完成
[2748.06-2750.06] 目前正在建設當中
[2750.06-2752.06] 好OK
[2752.06-2754.06] 那產品跟
[2754.06-2756.06] 這個
[2756.06-2758.06] 這個capacity extension
[2758.06-2760.06] 大概已經介紹完畢
[2760.06-2762.06] 那接下來因為
[2762.06-2764.06] 我們第四季
[2764.06-2766.06] 去年全年的財報是下禮拜
[2766.06-2768.06] 我們也已經有公告了
[2768.06-2770.06] 下禮拜的董事會才會通過
[2770.06-2772.06] 然後才會進行公告
[2772.06-2774.06] 所以我這邊可能
[2774.06-2776.06] 很抱歉我提供的財務
[2776.06-2778.06] 數字還是只有到去年第三季
[2778.06-2780.06] 那不過我想
[2780.06-2782.06] 大家應該可以看得出來
[2782.06-2784.06] 我們不管是營收
[2784.06-2786.06] 或者是獲利方面
[2786.06-2788.06] 也都有成長
[2788.06-2790.06] 營收成長的
[2790.06-2792.06] 幅度也不錯
[2792.06-2794.06] 然後獲利方面也有成長
[2794.06-2796.06] 那獲利的EPS的部分
[2796.06-2798.06] 就像剛剛跟各位報告的
[2798.06-2800.06] 因為有這個
[2800.06-2802.06] 股數的divolution
[2802.06-2804.06] 我們有這個CD的轉換的
[2804.06-2806.06] 股數那Google
[2806.06-2808.06] 有稍微有一點膨脹
[2808.06-2810.06] 所以EPS看起來跟去年相比的話
[2810.06-2812.06] 有點稍微不太一樣
[2812.06-2814.06] 不過以絕對金額的
[2814.06-2816.06] 那個name property來講的話
[2816.06-2818.06] 還是有成長的
[2818.06-2820.06] 那下禮拜
[2820.06-2822.06] 應該很快就會公告全年
[2822.06-2824.06] 的營收的
[2824.06-2826.06] 全年財報的數字
[2826.06-2828.06] 請各位再稍待
[2828.06-2830.06] 那這一頁講的是我們的幾個
[2830.06-2832.06] 主要的業外收益的
[2832.06-2834.06] 權益法都是收益來源
[2834.06-2836.06] 那包括
[2836.06-2838.06] 大家都應該也很
[2838.06-2840.06] 很收能詳的這個長華電材
[2840.06-2842.06] 然後還有
[2842.06-2844.06] 我們跟日本Nagase
[2844.06-2846.06] 合資的一個長華塑膠
[2846.06-2848.06] 專門在賣奇異的工程塑膠
[2848.06-2850.06] 那這個也都是由
[2850.06-2852.06] 非常獨特的市場定位的
[2852.06-2854.06] 因為奇異的工程塑膠
[2854.06-2856.06] 是很多3C產品的
[2856.06-2858.06] 一個綁定的一個規格
[2858.06-2860.06] 就是一定非要使用
[2860.06-2862.06] 這個奇異工程塑膠不可
[2862.06-2864.06] 所以這個也是一個
[2864.06-2866.06] 很穩定的一個
[2866.06-2868.06] 獲利的共性來源
[2868.06-2870.06] 這一家長華塑膠
[2870.06-2872.06] 那另外還有一家
[2872.06-2874.06] 也有上匯的一個華鴻新技
[2874.06-2876.06] 這也是我們
[2876.06-2878.06] 權益法投資的一家公司
[2878.06-2880.06] 那基本上
[2880.06-2882.06] 他們每年可以穩定的供應
[2882.06-2884.06] 給我們EY收益
[2884.06-2886.06] 的獲利貢獻也相當的多
[2886.06-2888.06] 所以回到剛剛
[2888.06-2890.06] 剛剛那個
[2890.06-2892.06] 純一表這邊來看的話
[2892.06-2894.06] 就是會有一項這個
[2894.06-2896.06] 所謂的長投收益
[2896.06-2898.06] Long-term E-Less Income
[2898.06-2900.06] 這個我們每年
[2900.06-2902.06] 穩定的這個
[2902.06-2904.06] 有來自於這些轉投資公司的
[2904.06-2906.06] EY收益的
[2906.06-2908.06] 貢獻來源
[2908.06-2910.06] 好那
[2910.06-2912.06] 財務上的報告大概
[2912.06-2914.06] 我想大家
[2914.06-2916.06] 自己看報表
[2916.06-2918.06] 各位先進應該都可以看得比我透徹
[2918.06-2920.06] 應該就相當清楚
[2920.06-2922.06] 那
[2922.06-2924.06] 基本上我就
[2924.06-2926.06] 資產負代表我就不再多提什麼了
[2926.06-2928.06] 就談一下
[2928.06-2930.06] 這個存貨好了
[2930.06-2932.06] 大家可以看到
[2932.06-2934.06] 到去年第三季
[2934.06-2936.06] 我們的儲貨大概49億50億
[2936.06-2938.06] 其實是
[2938.06-2940.06] 不到一個月的
[2940.06-2942.06] 營收的金額
[2942.06-2944.06] 因為我們去年營收
[2944.06-2946.06] 金額大概都在差不多
[2946.06-2948.06] 六七十億一個月的
[2948.06-2950.06] 這個營收
[2950.06-2952.06] 台幣六七十億的營收
[2952.06-2954.06] 那我們存貨大概接近
[2954.06-2956.06] 五十億左右
[2956.06-2958.06] 可能是因為季末季底的關係
[2958.06-2960.06] 可能
[2960.06-2962.06] 客戶剛好提貨拉貨走了
[2962.06-2964.06] 所以所謂稍微有點
[2964.06-2966.06] 不夠我們正常來講
[2966.06-2968.06] 我們的存貨應該是
[2968.06-2970.06] 還是會維持在超過一個月的
[2970.06-2972.06] 銷售金額到一個月的
[2972.06-2974.06] 庫存
[2974.06-2976.06] 大概是這樣
[2976.06-2978.06] 那另外就是再提一下
[2978.06-2980.06] 所謂的負債比例
[2980.06-2982.06] 我們的負債比例還降低了
[2982.06-2984.06] 從2023年的
[2984.06-2986.06] 60%以上降低到
[2986.06-2988.06] 2024年我們的
[2988.06-2990.06] 總負債比例是有53%
[2990.06-2992.06] 不到54%
[2992.06-2994.06] 3.8%
[2994.06-2996.06] 所以我們的財務結構
[2996.06-2998.06] 其實是越來越穩健
[2998.06-3000.06] 那股東權益是
[3000.06-3002.06] 逐年成長
[3002.06-3004.06] 所以我們的淨值也是都
[3004.06-3006.06] 其實是逐季的在成長
[3006.06-3008.06] 我們的淨值
[3010.06-3012.06] 那最後的一個部分
[3012.06-3014.06] 講到我們的
[3014.06-3016.06] 所謂股東報索的部分
[3016.06-3018.06] 那2024年的
[3018.06-3020.06] 財報因為還沒有公佈
[3020.06-3022.06] 所以我當然沒辦法跟各位
[3022.06-3024.06] 報告EPS的數字
[3024.06-3026.06] 不過剛剛有看到
[3026.06-3028.06] 前三季已經6萬多了
[3028.06-3030.06] 所以我想應該
[3030.06-3032.06] 跟去年差距也不會太大
[3032.06-3034.06] 然後我們
[3034.06-3036.06] Dividend-Tail Ratio
[3036.06-3038.06] 就是所謂的
[3038.06-3040.06] 現金股息的放放比例
[3040.06-3042.06] 我們就是有一個
[3042.06-3044.06] 基本上的Policy
[3044.06-3046.06] 我們大概就是放放比例
[3046.06-3048.06] 大概在55%到60%
[3048.06-3050.06] 這樣的範圍之內
[3050.06-3052.06] 所以大家可以簡單的去
[3052.06-3054.06] 做一下EPS的推估
[3054.06-3056.06] 然後用
[3056.06-3058.06] 55%到60%的
[3058.06-3060.06] 現金股息的放放比例來
[3060.06-3062.06] 大概估計一下
[3062.06-3064.06] 我們今年的股息
[3064.06-3066.06] 大概是什麼樣的情況
[3066.06-3068.06] 其實就可以很容易得到我們的
[3068.06-3070.06] 所謂的
[3070.06-3072.06] 現金殖利率
[3072.06-3074.06] 再加上除以我們的
[3074.06-3076.06] 股價
[3076.06-3078.06] 那現金殖利率
[3078.06-3080.06] 基本上我們現金殖利率
[3080.06-3082.06] 還算蠻高的
[3082.06-3084.06] 算前段班的現金殖利率
[3084.06-3086.06] 大概都有差不多4%
[3086.06-3088.06] 5%以上的現金殖利率
[3088.06-3090.06] 那這也是我們公司
[3090.06-3092.06] 一向以來的一個目標
[3092.06-3094.06] 我們除了希望公司
[3094.06-3096.06] 可以增長以外
[3096.06-3098.06] 也可以相對應的提高股東
[3098.06-3100.06] 穩定的一個長期的報酬
[3100.06-3102.06] 那今天
[3102.06-3108.06] 最後一些周轉天數
[3108.06-3110.06] 這邊大家應該都可以看到
[3110.06-3112.06] 我們的
[3112.06-3114.06] 現金周轉天數大概都在
[3114.06-3116.06] 70幾天左右
[3116.06-3118.06] 就是差不多90天的
[3118.06-3120.06] 應收加上
[3120.06-3122.06] 一個月的存貨
[3122.06-3124.06] 然後減掉45天的
[3124.06-3126.06] 應付賬
[3126.06-3128.06] 大概就是有70幾天的
[3128.06-3130.06] 現金周轉天數
[3130.06-3132.06] 那營業現金流
[3132.06-3134.06] 活動這邊
[3134.06-3136.06] 今年第三季剛好季底是負的
[3136.06-3138.06] 我想可能是因為
[3138.06-3140.06] 有一些AR的collection
[3140.06-3142.06] 剛好在季底沒有收回
[3142.06-3144.06] 那我想整年來看的話
[3144.06-3146.06] 我們應該是一樣現金流
[3146.06-3148.06] 應該是正向的
[3148.06-3150.06] 現金流
[3150.06-3152.06] 那最後幾頁
[3152.06-3154.06] 我再稍微講一下
[3154.06-3156.06] 像我們的毛利率
[3156.06-3158.06] 基本上是可以維持在
[3158.06-3160.06] 差不多7%到8%之間
[3160.06-3162.06] 那這邊
[3162.06-3164.06] 大家看到2021年
[3164.06-3166.06] 特別高是因為
[3166.06-3168.06] 那一年因為COVID
[3168.06-3170.06] 造成的供應鏈斷鏈
[3170.06-3172.06] 大家在搶料
[3172.06-3174.06] 所以價格很多的物資
[3174.06-3176.06] 跟基本物資的原材料的
[3176.06-3178.06] 價格上漲
[3178.06-3180.06] 所以那一年的毛利率有特別偏高
[3180.06-3182.06] 然後2023年的毛利率
[3182.06-3184.06] 也稍微比較偏高一點
[3184.06-3186.06] 那是因為我們2022年
[3186.06-3188.06] 有提列一些
[3188.06-3190.06] 除貨的代資跟
[3190.06-3192.06] 損失準備
[3192.06-3194.06] 那可是2023年營收
[3194.06-3196.06] 重新恢復成長之後
[3196.06-3198.06] 這些前一年提列的損失準備
[3198.06-3200.06] 我們就回沖了
[3200.06-3202.06] 所以保證我們
[3202.06-3204.06] 2023年的毛利率
[3204.06-3206.06] 有特別的再提高一點
[3206.06-3208.06] 因為這個
