[0.00-3.88] 各位投资先进与媒体朋友午安
[2045.46-2046.72] 升得非常的快
[2046.72-2048.62] 那我们在这个汇率上面的
[2048.62-2050.98] 币险是怎么处理的
[2057.70-2058.88] 我想
[2058.88-2061.32] IB的
[2061.32-2063.92] 等于说增强
[2063.92-2064.78] 这是
[2064.78-2067.98] 其实在下半年
[2067.98-2069.64] 我们可以看到的一个疫情
[2069.64-2070.96] 但是避险的部分
[2070.96-2072.38] 其实一直以来
[2072.38-2074.88] 我们都有在做避险的这样一个动作
[2074.88-2077.26] 所以不管是针对美金
[2077.26-2079.10] 不管是针对人民币
[2079.10-2081.74] 虽然说我们不take few
[2081.74-2085.32] 但是该做的一些短期的一些避险
[2085.32-2086.36] 我们都有去做
[2086.36-2087.42] 所以目前
[2087.42-2089.32] 这方面的一个问题
[2089.32-2093.00] 我们是没有看到有太大的一个影响
[2093.00-2094.60] 了解
[2094.60-2096.12] 那第二件事情就是说
[2096.12-2099.00] 我知道这是未来充满了不确定性
[2099.00-2100.84] 但是之前
[2100.84-2103.02] 我们就是每次法说
[2103.02-2104.18] 多少都会提到
[2104.18-2105.90] 有一些在美国扩产的计划
[2105.90-2107.76] 那可不可以帮我们
[2107.76-2109.62] 就是统整一下
[2109.62-2111.24] 就是说现阶段来看
[2111.24-2113.70] 我们在美国会扩哪些项目
[2113.70-2115.18] 大概花多少资金
[2115.18-2116.24] 这样的安排
[2116.24-2117.74] 好
[2117.74-2121.08] 我想本来在美国的扩产计划
[2121.08-2125.24] 在没有这个关税政策的影响之前
[2125.24-2127.52] 其实我们就已经在评估
[2127.52-2128.64] 而且已经开始做了
[2128.64-2130.64] 所以前年的话
[2130.64-2134.44] 我们原本在美国Planet这边的这个厂
[2134.44-2135.92] 开始有运作
[2135.92-2138.14] 一条准备做charger
[2138.14-2140.86] 一条准备做这个power shelf
[2140.86-2143.54] 两条生产线去做
[2143.54-2146.02] 那后来是因为
[2146.24-2150.68] 刚刚这位好朋友问到
[2150.68-2153.76] 就是说因为BPU这个产品的关系
[2153.76-2156.40] 所以我们目前在Planet
[2156.40-2160.46] 又继续扩张了两条BPU的线
[2160.46-2162.70] 那目前看起来两条的BPU的线
[2162.70-2164.12] 可能也还不够
[2164.12-2166.52] 所以我们也在持续的在评估
[2166.52-2169.84] 第四条跟第五条线的可能
[2169.84-2172.02] 当然最重要的就是
[2172.02-2173.72] 那个刚刚您提到的
[2173.72-2175.30] 就是说那整体的投资
[2175.30-2176.18] 那我想
[2176.18-2178.22] 已经目前是这样子
[2178.22-2179.46] 就是六条的产线
[2179.46-2183.70] 投入的这些线体的这个资金之外
[2183.70-2185.52] 那么这个厂房事实上
[2185.52-2188.76] 在过去我们是用这个租赁的方式
[2188.76-2190.84] 一个以五年为一起
[2190.84-2192.22] 先用租赁的方式
[2192.22-2194.60] 那我们也在附近的
[2194.60-2197.38] 其实已经评估另外一块
[2197.38-2199.70] 比现在这个厂房大概多四倍
[2199.70-2202.30] 那么大概也是准备要
[2202.30-2204.90] 以及我们能够
[2204.90-2205.98] 如果能够谈成的话
[2206.18-2208.06] 我们也会有一个预计就是说
[2208.06-2210.86] 我们很快就会决定要不要把它买下来
[2210.86-2213.86] 然后作为我们未来在这个
[2213.86-2217.76] 这个美国制造的一个重要的一个生产基地
[2217.76-2220.06] 那我想这个资金
[2220.06-2221.42] 如果大家都知道的话
[2221.42-2223.02] 大概就是说投入的资金
[2223.02-2227.42] 初期的投入的建制成本应该都是蛮大的
[2227.42-2230.50] 这个都是大概二三十亿的基本上
[2230.50-2231.74] 这个是基本起跳
[2231.74-2234.06] 那当然随着这个产能的扩充
[2234.06-2235.30] 会不断的投入生产设备啦
[2235.30-2236.02] 还有这些啊
[2236.02-2237.06] 这些的这些措施啦
[2237.06-2237.34] 好不好
[2237.34-2239.94] 所以大体上大概就是这个样子
[2239.94-2242.74] 我想最重要的信息应该就是让大家知道说
[2242.74-2245.86] 公司其实在未来Plan O也有一个计划
[2245.86-2248.30] 可能就是会有我们自己的生产基地
[2248.30-2252.86] 这是属于我们自己本身投资的
[2252.86-2253.94] 那可以更新一下
[2253.94-2256.30] 就是说我们高雄也有扩二BBU嘛
[2256.30-2259.54] 然后那个美国也有多两条线的话
[2259.54-2261.74] 那这个都是在第三季开出来吗
[2261.74-2262.74] BBU的部分
[2262.74-2266.02] 其实我们现在的产能有部分是在第二季就已经开始开放了
[2266.02-2266.86] 现在出来了
[2266.86-2268.74] 我的说所谓在第三季的部分
[2268.74-2272.54] 就是如果我第三季产能扩充计划落地以后呢
[2272.54-2278.38] 大概才有办法满足客户现在给我们的订单的需求
[2278.38-2279.46] 了解了解
[2279.46-2280.58] 那另外想问一下
[2280.58-2283.18] 就是说下一世代的那个AI Server的话
[2283.18-2286.26] 因为现在大概主流跑到5500瓦嘛
[2286.26-2287.50] 那下一世代的话
[2287.50-2289.86] 感觉就是蛮多分歧的看法
[2289.86-2291.14] 有些人说六七千瓦
[2291.14-2292.26] 有些人说七八千
[2292.26-2293.62] 又有人说一万
[2293.62-2295.86] 那不知道说就是总经理是怎么看的呢
[2295.86-2300.98] 我还是把主流放在五千多瓦
[2300.98-2303.14] 这个下一代的话
[2303.14-2304.54] 现在有在做
[2304.54-2308.86] 当然那个八千瓦的十千瓦的都有
[2308.86-2311.94] 但是现在的主流也就是说
[2311.94-2315.06] 或许客户也会决定是不是
[2315.06-2317.30] 暂时就是把这个主流呢
[2317.30-2320.26] 就是一直放在五千多瓦这样的一个level上面
[2320.26-2322.42] 因为他们也发现在八千多瓦
[2322.42-2323.82] 十千瓦上面的话呢
[2323.82-2324.54] 可能是
[2324.54-2325.86] 难度下来
[2325.86-2327.86] 成本相对比较高
[2327.86-2329.86] 成本相对比较大
[2329.86-2330.86] 这是一个可能
[2330.86-2332.26] 那第二个人就说
[2332.26-2334.22] 虽然我们在做的这个是
[2334.22-2335.78] Power PSU是五千多瓦
[2335.78-2337.70] 可是我们的PowerShift
[2337.70-2340.78] 从原来的这个三十三千瓦的到
[2340.78-2343.10] 未来七十二千瓦
[2343.10-2345.42] 这个部分的话是不会改变的
[2345.42-2346.42] 这个是不会改变的
[2346.42-2348.58] 因为对Power来讲
[2348.58-2350.58] 单体的Power跟PowerShift的Power
[2350.58-2352.58] 那是两个不同的概念
[2352.58-2354.98] 但是那个如果说以整个
[2354.98-2355.70] Data Center的概念来说
[2355.70-2357.70] Data Center的运算的算力需求来看
[2357.70-2359.70] 它的Power瓦的数一定要增加
[2359.70-2361.70] 所以PowerShift的话
[2361.70-2363.70] 可以从现在的三十三千瓦
[2363.70-2364.70] 变成七十二千瓦
[2364.70-2366.70] 这是不会变的
[2366.70-2367.70] 了解
[2367.70-2369.70] 那
[2369.70-2371.70] 另外就是最后一个
[2371.70-2373.70] 就是说BBU来讲的话
[2373.70-2375.70] 一直以来我们都是一个
[2375.70-2377.70] 就是算是一个蛮独大的
[2377.70-2379.70] 就是有一个很独大的客户嘛
[2379.70-2381.70] 那可以问一下就是说
[2381.70-2383.70] 何时我们会看到第二个或第三个客户
[2383.70-2385.70] 算是比较meaningful的开始wrap
[2385.70-2387.70] 已经看到了
[2387.70-2389.70] 第二家客户已经
[2389.70-2391.70] 今年会有部分的叫货了
[2391.70-2393.70] 了解
[2393.70-2395.70] 那这个跟我们所谓第三季
[2395.70-2397.70] 满足客户这是两件事
[2397.70-2399.70] 对不对
[2399.70-2401.70] 因为都是用BBU的产品
[2401.70-2403.70] 那当然就是说我们对客户的要求
[2403.70-2405.70] 对客户的满足是全部要能够
[2405.70-2407.70] 能够符合客户对
[2407.70-2409.70] 这个产品的需求
[2409.70-2411.70] 所以不管一个客户也好
[2411.70-2413.70] 两个客户也好对我们来讲都是一样的
[2413.70-2415.70] OK好谢谢
[2415.70-2417.70] 更佳之一就是
[2417.70-2419.70] Until 2075年
[2419.70-2421.70] 同时我们就一个loaded
[2421.70-2422.90] 了
[2422.90-2424.70] 特别信的
[2424.70-2426.20] 有一个疫情古周 additionally
[2426.20-2427.70] 他都一次感染在习近平家
[2427.70-2429.24] 现在大家就 через了
[2429.24-2430.70] 一些在出口 investigate
[2430.70-2431.70] 有一个计算机
[2431.70-2432.86] 蛮的
[2433.32-2434.88] 总经理你好
[2434.88-2435.54] 几个问题
[2435.54-2437.22] 先问第一个比较简单
[2437.22-2437.78] 您刚才有提就是关税也说
[2437.78-2439.46] 看了也是只有光点
[2439.46-2439.50] 有一点点产品 hair
[2439.50-2440.20] ն
[2440.20-2441.60] 它说它真的 recreate
[2441.60-2443.20] 很多人都 granting
[2443.20-2443.70] 所以 frequencies
[2443.70-2444.20] マイネット
[2444.20-2444.70] 甚至约клад
[2444.70-2445.20] 接电球
[2445.20-2445.50] 摆游
[2445.50-2446.80] 比较不到2%
[2446.80-2447.64] 只想确认一下
[2447.64-2450.46] 它是光电部门的2%
[2450.46-2453.12] 还是总营收的2%
[2453.12-2453.96] 光电部门
[2453.96-2454.50] 光电部门
[2454.50-2456.48] 所以就是占比其实蛮低的
[2456.48-2457.78] 所以这一块的关税
[2457.78-2459.02] 是我们自己要cover
[2459.02-2461.14] 对这个部分是对我们有影响
[2461.14-2462.68] 那这个部分的影响
[2462.68-2464.50] 当然就我们可以决定我们的价钱
[2465.02-2466.94] 所以我们决定是在价格上面
[2466.94-2468.26] 去做一些调整
[2468.26-2468.52] OK
[2468.52-2472.08] 就是让要被课的税的金额
[2472.08-2473.54] 低一点点这样子
[2473.54-2475.10] 所以就是只有这一块
[2475.10-2477.06] 是我们直接要支付的部分
[2477.06-2479.10] 对这个是我们目前最直接的
[2479.10-2479.80] OK好
[2479.80-2481.66] 然后第二个的话是
[2481.66-2483.66] 刚刚已经聊了比较多BBU
[2483.66-2485.36] 可是我可以先请教一下
[2485.36-2486.90] 有办法给我们BBU
[2486.90-2489.10] 在第一季的营收占比吗
[2489.10-2491.90] 因为它的分类应该是在
[2491.90-2493.92] 云端运算电源里面对不对
[2493.92-2496.42] 对那有办法给我们一下这个占比吗
[2496.42-2499.10] 第一个就是说
[2499.10-2501.58] 如果说我以Cloud Computing
[2501.58-2502.98] 当做100%的话
[2502.98-2504.60] 那BBU的话
[2504.60-2506.70] 它在第一季在里面营收
[2506.70-2508.32] 已经超过了10%
[2508.32-2509.36] 超过一成
[2509.36-2512.36] OK好
[2512.36-2514.04] 然后再来的话就是
[2514.04-2516.48] 因为刚刚也提到整个云端
[2516.48-2517.84] 跟物联网部门
[2517.84-2519.20] 第一季的营收其实很好
[2519.20-2520.00] YY挣55
[2520.00-2522.12] 所以听起来的感受应该是
[2522.12-2523.82] 云端的YY一定在高于这个
[2523.82-2525.90] 因为物联网没那么好
[2525.90-2527.54] 那所以
[2527.54-2530.62] 我现在想要怎么讲
[2530.62-2533.06] 所以您刚才因为提了一个第二季
[2533.06-2534.42] 因为您会讲到说
[2534.60-2536.50] 第二季这一块它的出货动能
[2536.50-2538.84] 感觉上是QOQ会续增
[2538.84-2541.76] 所以表示它有可能它的YY增长性
[2541.76-2545.92] 还是非常高的数十个%的YY
[2545.92-2546.42] 是
[2546.42-2549.04] OK那这样下半年会看得到吗
[2549.04-2551.04] 就是目前虽然很困难
[2551.04-2552.60] 下半年都确定的
[2552.60-2554.68] 我刚刚跟各位报告就是说
[2554.68-2557.60] 以目前来看是在AI的领域这一块
[2557.60-2559.10] 我们已经跟客户都已经
[2559.10-2561.32] 能见度大概可以看到今年都没有问题
[2561.32-2563.52] 而且大概已经跟客户都敲定了
[2563.52-2564.44] 其实我们也很担心呢
[2564.44-2567.14] 因为刚刚这么多的好朋友在问说
[2567.14-2568.40] 到底这些产能开出来
[2568.40-2570.92] 我们也很担心产能开出来后面不要
[2570.92-2572.92] 所以我想我们会很谨慎
[2572.92-2573.92] 那也因为谨慎说
[2573.92-2575.92] 我们会跟客户在上确认
[2575.92-2577.92] 这个需求是不是real的
[2577.92-2580.42] 那各位都知道这个事实上是
[2580.42-2583.26] 云端的需求都是这些CSP
[2583.26-2586.52] 这些大客人他们自己内部的规划跟需求
[2586.52-2590.90] 它并不是受市场的因素所影响
[2590.90-2592.80] 各位应该都可以理解嘛
[2592.80-2594.44] 所以他们会照着他们的
[2594.44-2595.84] 计划去做
[2595.84-2597.38] 如果他们是照着计划去做
[2597.38-2599.88] 那就是百分之百real的事情
[2599.88-2601.98] 不会说因为现在生意不好
[2601.98-2605.52] 所以就这个生意就马上drop下去
[2605.52-2607.72] 像consumer可能就比较会有的
[2607.72-2609.78] 这样的一个商业的特性
[2609.78-2611.26] 可是在CSP里面
[2611.26-2613.40] 他们投了那么多的cabbage下去
[2613.40-2616.62] 就是准备要做盖多少的这个data center
[2616.62-2618.90] 这都是他们的既定的计划
[2618.90-2620.94] 所以我们跟客户一起了解的时候
[2620.94-2621.76] 我想这个部分
[2621.76-2623.70] 他们给我们非常大的信心是说
[2623.70-2624.06] 哎
[2624.44-2625.64] 我们会按照他们自己
[2625.64-2627.04] 今天所band内的budget
[2627.04-2629.14] 所一直要投入的cabbage
[2629.14-2630.44] 要盖多少的data center
[2630.44-2631.72] 需要多少的量
[2631.72-2632.72] 这个是非常确定的
[2632.72-2634.12] 所以我们不能遲疑
[2634.12-2636.82] 而且因为我们把我们的产能开出来以后
[2636.82-2639.28] 其实对我们最后是有个最终的保障
[2639.28-2641.26] 因为他知道我们的产能在一个地方
[2641.26-2643.60] 某种程度他也要对我们有些commitment
[2643.60-2646.60] 怎么样来把我们这个产能给fulfill掉
[2646.60-2649.06] 所以这个是相对我认为是对
[2649.06-2650.66] 对这个产业
[2650.66-2653.34] 我们认为比较有信心的一个地方
[2653.34-2654.44] 那如果用权利来说呢
[2654.44-2656.74] 因为刚才已经推到上半年的yoy
[2656.74-2659.08] 其实是高于五六十个percent的yoy
[2659.08-2661.14] 那全年会给一个
[2661.14-2664.12] roughly的yoy的成长性的想法吗
[2667.38-2669.12] 公司的这个yoy嘛
[2669.12-2672.56] 那如果只是做云端的这个部分的yoy
[2672.56-2675.02] 事实上全年的话应该超过五成
[2675.02-2676.32] 没有什么太大的问题啦
[2676.32-2676.56] 哎
[2677.96-2679.40] 那所以最后一个小问题是
[2679.40-2683.54] 因为之前都会提供整个AI全部相关的营收占比嘛
[2683.54-2684.30] 那像去年
[2684.30-2685.74] 可能是七到八个percent
[2685.74-2690.10] 那之前也有一只提到今年可能觉得是十四到十五个percent
[2690.10-2691.34] 所以现在还是维持这样的
[2691.34-2693.00] 现在可能会比这个数字高一点
[2693.00-2695.82] 那是因为总分母降低还是因为
[2695.82-2700.64] 我想我们前公司的yoy今年一定是正成长的
[2700.64-2702.52] 所以分母不会变小
[2702.52-2704.82] 那这个成长的部分
[2704.82-2707.72] 其实最主要就是来自于云端这个部分
[2707.72-2710.96] 主力啦并不是说全部主力会在这里
[2710.96-2713.66] 所以因为这个比例拉高了以后呢啊
[2713.66-2714.30] 当然因为
[2714.30-2716.10] 这个分母也变大了嘛
[2716.10-2719.48] 所以他的比例会微微下滑一些
[2719.48-2723.08] 如果你今天从云端的这个产业来看的话
[2723.08-2724.98] 他的比例可能会很高
[2724.98-2726.92] 可是因为有这些分母去
[2726.92-2729.68] 整体的这个分母去计算的时候呢
[2729.68-2732.06] 他的比例会稍微下滑一些
[2732.06-2733.92] 原因这个是这样来的
[2733.92-2736.62] 所以现在看起来应该是可以超过15个percent
[2736.62-2737.62] 那最后一个小数字
[2737.62-2740.82] 那如果这个部分今年的yoy是五成
[2740.82-2743.66] 那最后全年下来BBU会占这里面的多少?
[2744.30-2745.84] 第一季是大于10个percent嘛
[2745.84-2749.14] 那全年您觉得可能会是多少?
[2749.14-2752.44] 全年如果以这样来看的话
[2752.44-2755.08] 光BBU啦我个人预估啦
[2755.08-2758.74] 应该是有机会大概占七成
[2758.74-2761.08] 七个percent到八个percent
[2761.08-2766.06] 这个是指全部公司营收的七到八个percent
[2766.06-2768.20] 全部公司营收七到八
[2768.20-2769.66] ok好谢谢
[2774.30-2784.10] 谢谢
[2798.06-2798.90] 然后我是KGI
[2798.90-2800.60] 那个我想再简单问一下
[2800.60-2803.10] 今年的税率大概是怎么改变?
[2803.10-2803.72] 谢谢
[2804.30-2810.08] 我想大家可以看到简报上第一季
[2810.08-2814.58] 其实税率大概因为最低税负的一个关系
[2814.58-2817.96] 有稍微的增加到26%
[2817.96-2823.40] 但是以我们的整个全球的一个税负的一个规划
[2823.40-2827.34] 其实一季今年会稍微增长
[2827.34-2832.04] 但是不会比第一季来的那么高
[2834.30-2838.76] 颜色上会大概跟去年差不多上下
[2838.76-2840.46] 稍微增长一点点
[2864.30-2879.36] 我们再开放一个问题
[2886.14-2888.02] 朱莉亚不好意思我有两个问题
[2888.02-2892.70] 我第一个想先请教就是公司这边
[2892.70-2894.14] 就是因为你们第一季
[2894.30-2897.60] 的利润率其实是非常的好
[2897.60-2901.08] 那尤其在by sector的部分
[2901.08-2902.60] Cloud跟Opto的话
[2902.60-2904.64] 其实year over year都很不错
[2904.64-2908.22] 除了Product Mix的改善之外
[2908.22-2910.96] 有没有还有其他的因素
[2910.96-2913.46] 可以让就是因为我们第一季
[2913.46-2915.10] 就是表现的这么好
[2915.10-2917.32] 材料上汇率上
[2917.32-2919.82] 或者是有没有什么费用
[2919.82-2922.46] 或者是有没有什么其他legacy的东西
[2922.46-2924.26] 就除了Product Mix
[2924.30-2927.30] 之外还有其他的这样的改善吗
[2927.30-2929.30] 那如果你们去quantify
[2929.30-2930.86] 就是说这种Product Mix
[2930.86-2932.30] 对于利润率的改善的话
[2932.30-2935.34] 大概是抓几个bibs
[2935.34-2936.54] 这种year over year
[2936.54-2938.22] quarter over quarter会比较好
[2938.22-2942.88] 好谢谢您的提问
[2942.88-2947.16] 那其实第一个我想很先从产品组合
[2947.16-2950.46] 大概就是这个我们看到荧幕上slice
[2950.46-2954.14] 那因为我们第一季三大事业部门啊
[2954.14-2957.14] 那像YY它都有蛮明显的增长
[2957.14-2959.46] 然后成长的事业单位呢
[2959.46-2962.46] 也是margin相对是比较高的
[2962.46-2964.18] 那刚才我们总经理有提到
[2964.18-2967.30] 在cloud是当中成长最迅猛的
[2967.30-2971.02] 那cloud呢是带动的是电能管理系统
[2971.02-2973.42] 在新一代AI server的电能
[2973.42-2975.94] 包含了电源还有储能
[2975.94-2978.10] 就是power supply跟这个energy
[2978.10-2979.10] 就BBU
[2979.10-2980.70] 它相对来讲它的margin
[2980.70-2982.10] 相对是比较高的
[2982.10-2983.50] 它成长也比较快
[2983.50-2983.74] 好
[2983.74-2988.22] 所以带动了特别带动了云端部门的这些OP的获利
[2988.22-2991.06] 它是可以倍两倍的成长
[2991.06-2995.06] 那另外一个就是光电部门当中的不可见光
[2995.06-2996.82] 不可见光的核心引用
[2996.82-2998.18] 还有mini LED
[2998.18-2999.82] 这可见光的新产品
[2999.82-3003.46] 那我们这个光电半导体其实在光电部门当中
[3003.46-3006.38] 它的获利率一直是相对是优于的
[3006.38-3007.82] 优于这个部门的
[3007.82-3009.50] 那相同的在第一季啊
[3009.50-3011.82] 它也回到了一个正成长的动能
[3011.82-3013.66] 所以也带动了就是这个
[3013.74-3016.30] 这个资讯部门的获利
[3016.30-3018.30] 营业利益也明显的提升
[3018.30-3023.14] 那相对当然这个提升幅度比较稍微低一点的是我们的IT
[3023.14-3024.30] 资讯部门
[3024.30-3026.54] 那资讯部门这几年其实有
[3026.54-3029.10] 有几个蛮重要的转型
[3029.10-3031.58] 第一个是高端产品占比的提升
[3031.58-3032.82] 虽然它是叫IT
[3032.82-3033.98] 但是我们当中
[3033.98-3038.30] 大概目前有4成的营收是来自于高单价的产品
[3038.30-3042.54] 所以这个部分的是我们在IT部门当中管理一个很重要的机制
[3042.54-3042.66] 那第二个呢是虽然它是高端的产品但是我们当中大概目前有4成的营收是来自于高单价的产品
[3042.66-3043.74] 那第二个呢是虽然它是高端的产品
[3043.74-3043.78] 那第二个呢是虽然它是高端的产品
[3043.78-3044.66] 那第二个呢是虽然它是高端的产品
[3044.66-3046.90] 可是这几年它一直朝着多角化
[3046.90-3048.30] 就是diversification
[3048.30-3050.34] 朝往non IT的部分
[3050.34-3052.30] 比如说像这些LEO
[3052.30-3053.58] 低纬卫星的电源
[3053.58-3055.86] 以及呢像工业用的电源
[3055.86-3057.02] 更多的
[3057.02-3058.94] 更多多元化的去发展
[3058.94-3060.82] 那这个也带动了
[3060.82-3062.34] 这些相对margin来讲
[3062.34-3064.00] 是有improve的地方
[3064.00-3066.50] 那其实还有一个就是说
[3066.50-3067.66] 也稍微提一下就是说
[3067.66-3069.46] 因为我们毕竟是制造业
[3069.46-3071.58] 所以驾动率其实呢
[3071.58-3072.64] 对于这个GP
[3072.64-3075.22] 也有一个很重要的影响
[3075.22-3077.16] 那诚如刚才我们提到的
[3077.16-3078.36] 第一季的revenue
[3078.36-3081.34] 我们年成长就27%
[3081.34-3082.92] 所以这也说明了
[3082.92-3085.44] 我们可以受惠于这个operating的scale
[3085.44-3086.76] 就是我们的营收
[3086.76-3088.22] 出货增加的话
[3088.22-3091.04] 驾动率还有整个margin的structure
[3091.04-3092.40] 都会被improve
[3092.40-3095.18] 我想这个就是回扣到
[3095.18-3097.40] 我们总经理他上任以来一直提到的
[3097.40-3099.56] 要这个要提升
[3099.56-3102.32] 要提升这个高值化产品的比重
[3102.32-3102.62] 要提升这个高值化产品的比重
[3102.64-3105.58] 同时呢会降低这些非核的
[3105.58-3107.88] 或者是太弱流强这些产品组合
[3107.88-3109.84] 大爱的重项
[3109.84-3111.32] 我做个简单补充好了
[3111.32-3113.82] 就说我一直讲掉就是说
[3113.82-3116.42] 公司营运的体质在改变
[3116.42-3121.02] 最主要是说我们的过去跟现在有什么差别
[3121.02-3122.46] 可能您刚刚的问题
[3122.46-3124.72] 你会评价说我们到底是怎么去drive
[3124.72-3125.82] 我们的cost down
[3125.82-3131.84] 去想办法让这些成本做得更优化
[3131.84-3132.48] 但是事实上我们的成本呢
[3132.48-3132.72] 我们的成本呢
[3132.72-3134.78] 我们这几年都是在做value up的事情
[3134.78-3137.86] 就是即使我们这三大部门
[3137.86-3139.30] 我们都是做同样的事情
[3139.30-3142.48] 不再只是集中在说为了营收
[3142.48-3143.64] 然后呢去抢订单
[3143.64-3147.28] 我们在每一个session里头呢
[3147.28-3149.42] 在每一个核心的事业里头呢
[3149.42-3151.46] 都是往高更高阶的产品在做
[3151.46-3153.98] 所以这个是第一个主要的原因
[3153.98-3154.74] 那第二个呢
[3154.74-3156.54] 从portfolio的角度来看呢
[3156.54-3159.26] 我们过去跟各位有曾经谈过
[3159.26-3160.44] 就是所谓的433
[3160.44-3162.20] 也就是说自动性
[3162.20-3162.46] 自动性是一个很重要的东西
[3162.48-3163.48] 那现在实际上
[3163.48-3164.48] 我们的这个部门可能占了4成
[3164.48-3165.48] 那光电跟云端的部分6成
[3165.48-3166.48] 那现在事实上
[3166.48-3168.48] 自通信产品如果在第一季
[3168.48-3170.48] 它已经占了38个percent
[3170.48-3173.48] 那我们光电跟这个云端部门
[3173.48-3175.48] 已经提升到62个percent
[3175.48-3176.48] 事实上这个也已经达到
[3176.48-3179.48] 我们当初所订定的这个部分
[3179.48-3181.48] 那第三个就在我头型的部分呢
[3181.48-3182.48] 除了刚刚是说
[3182.48-3184.48] 因为这个订单的这个量进来
[3184.48-3186.48] 造成这个产能利用率的提升之外
[3186.48-3189.48] 刚刚事实上第一位发问的这个朋友
[3189.48-3191.48] 也就是点到我们过去的这个项目呢
[3191.48-3192.48] 就是说我们的这个产能利用率的提升之外
[3192.48-3194.48] 过去这两年在越南的部分
[3194.48-3196.48] 受到比较大的挫折
[3196.48-3199.48] 就是关过去的人力客服务很大的
[3199.48-3202.48] 那么事实上在去年第四季到今年第一季
[3202.48-3203.48] 这两个季度
[3203.48-3205.48] 我们已经慢慢把它tune回来
[3205.48-3207.48] 到应该要有的样子
[3207.48-3211.48] 所以让我们的制造的这个percentage
[3211.48-3212.48] 光是在去年
[3212.48-3213.48] 今年的第一季呢
[3213.48-3215.48] 大概跟去年同行的第一季呢
[3215.48-3219.48] 大概这个上面就提升了将近0.9个percent
[3219.48-3222.48] 就是说毛利率的2.2个percent里面
[3222.48-3225.48] 有0.9个percent来自于我们的制造的成本
[3225.48-3226.48] 节省了0.9个percent
[3226.48-3228.48] improved了0.9个percent
[3228.48-3230.48] 所以是因为这个样子
[3230.48-3233.48] 我想毛利的提升绝对不会单一因素
[3233.48-3237.48] 是这些因素加总起来才会看到有2.2个percent的毛利率的提升
[3237.48-3240.48] 大体总体是这个样子
[3240.48-3241.48] 非常谢谢
[3241.48-3244.48] 我第二个问题想请教一下
[3244.48-3250.48] 就是说因为其实第一季的这种毛利率跟operating margin
[3250.48-3251.48] 其实大概就是
[3251.48-3255.48] 在以往的淡季已经有了旺季的水准
[3255.48-3257.48] 在过去公司的前几年
[3257.48-3261.48] 其实第一季那个利润率大概都是一个比较低的位置
[3261.48-3263.48] 可是今年的第一季已经这样子的话
[3263.48-3266.48] 那我们怎么看后面呢
[3266.48-3271.48] 就是说好的或者是高阶的产品看起来
[3271.48-3273.48] 尤其在AI部分也没有下降嘛
[3273.48-3276.48] 那现在淡季已经有以往旺季的水准
[3276.48-3280.48] 那后面的二三四季这种旺季的话
[3280.48-3282.48] 会比之前的旺季还要更旺吗
[3282.48-3287.48] 还是跟现在的这种第一季的数字可能差不多呢
[3287.48-3292.48] 造成的影响
[3292.48-3295.48] 这个算是比较大的一个变数
[3295.48-3299.48] 如果我们赔该这个变数不去考虑的话
[3299.48-3304.48] 那么事实上各位对光宝的理解是对的
[3304.48-3308.48] 我们第一季通常都是在这个产业里面最淡的一季
[3308.48-3310.48] 然后第二季会比第一季好
[3310.48-3312.48] 第三季是最高
[3312.48-3314.48] 第四季会往下走
[3314.48-3316.48] 但如果各位有印象的话
[3316.48-3318.48] 应该可以看到去年的第四季
[3318.48-3321.48] 事实上我们已经做到Q of Q
[3321.48-3324.48] 也就是说第四季是比第三季还要的好
[3324.48-3327.48] 那虽然我们令人第一季并没有像去年的第四季
[3327.48-3330.48] 大概Q of Q的话大概少了5个%
[3330.48-3333.48] 但是人对人成长了27个%
[3333.48-3337.48] 那么最大的原因当然就是过去我们已经把我们这些Lancôme的business
[3337.48-3339.48] 我一直在强调就是精神的部分
[3339.48-3342.48] 其实在去年的第三季大概已经慢慢都结束了
[3342.48-3345.48] 所以我们回过头来看的话
[3345.48-3349.48] 如果说没有太大的外在的冲击和后变化
[3349.48-3351.48] 我就说这个Tempo
[3351.48-3353.48] 那么我们有比较大的信心
[3353.48-3356.48] 我刚刚在一开始的说明也就是跟大家报告
[3356.48-3358.48] 就是我们认为今年
[3358.48-3361.48] 对公司来讲我们相对都是比较乐观
[3361.48-3364.48] 来看待今年的营业跟成长的
[3364.48-3366.48] 好的谢谢
[3369.48-3375.48] 不好意思最后一个问题就是
[3375.48-3379.48] 我们定义的那个BBU的那个金额
[3379.48-3383.48] 这个是我们是因为我们通常出货可能
[3383.48-3387.48] BBU跟PSU一个柜子会一起
[3387.48-3390.48] 就是可能跟客人是不是一个配套的一个出去
[3390.48-3392.48] 所以我们没有
[3392.48-3396.48] 所以我们这个单纯我们这就是单纯BBU的部分
[3396.48-3398.48] 不含那个搭配的PSU
[3399.48-3405.48] 就是我们刚刚讲的就是全年BBU可以占到7-8%的Sales的这个金额
[3405.48-3409.48] 它是不包含配套BBU跟BBU配套的PSU
[3409.48-3411.48] 没有没有那是配套的
[3411.48-3414.48] 它是BBU跟那个PSU是一起的
[3414.48-3417.48] 是一起的所以我们达到那个金额是配套的
[3417.48-3418.48] 是是是
[3418.48-3421.48] 但是不是跟客户的这个系统搭配的一起出的
[3421.48-3422.48] 是我们支出的
[3422.48-3423.48] 对对对你们支出
