[0.00-3.00] 各位投資先進 大家早安
[3.16-5.00] 很感謝大家來過空參加
[1400.60-1403.36] 市場佔有率佔著這些客人熟悉
[1403.52-1406.04] 你將來有機會把它轉型成3D
[1406.20-1408.20] 如果今天這些客人都不見了
[1408.36-1409.92] 你要再把它找回來安排
[1410.08-1411.12] 懂那樣子吧
[1411.28-1413.80] 當然歐洲品牌也是這樣的story
[1413.96-1415.68] 也就是說在HV裡頭
[1415.84-1419.72] 我們的新產品的對應就是3D跟PHV的部分
[1419.88-1422.84] 除了中國以外還有歐洲的品牌
[1423.04-1425.40] 這是做車廠的一般的認證
[1425.56-1428.28] 每年光花這些其實都花很多錢
[1428.44-1429.36] 這些錢
[1429.52-1432.48] 這就是要維持你的技術能力的部分
[1432.64-1434.64] 再來就是剛才講那麼多
[1434.80-1436.92] 再重新定義一下我們公司的產品
[1437.08-1439.32] 我們公司的產品叫HUD
[1439.48-1442.64] Infotainment, Adas跟Accessories
[1442.80-1446.28] 剛才講了很多HUD跟Infotainment Accessories
[1446.44-1448.96] 接下來我開會講一下Accessories的部分
[1449.12-1451.12] 其實配件類是一個很有趣的東西
[1451.28-1452.96] 配件類基本上就是我們公司來的
[1453.12-1457.72] 就是搭配我們的主機或搭配我們的紀錄器做進行的
[1457.88-1462.56] 過去配件類的東西是在我們消費市場非常的流行
[1462.72-1464.72] 像無線電充電板
[1464.88-1466.56] 像行車紀錄器
[1466.72-1470.24] 像電子後視鏡這三個
[1470.40-1472.80] 這三個產品其實在於我們
[1472.96-1474.92] 其實可能你也許三四年前
[1475.08-1478.00] 你的車子就已經在汽車牌外買裝了
[1478.16-1479.48] 不陌生
[1479.64-1482.44] 可是過去從車廠的角度去提供給下載
[1483.12-1484.12] 現在現在的消費者都沒有
[1484.28-1484.96] 很少
[1485.12-1486.76] 近幾年已經慢慢發現到
[1486.92-1489.60] 其實有些車廠開始提供電子後視鏡
[1489.76-1491.00] 像日本的有些車子
[1491.16-1493.48] 像Nissan的也是開始提供電子後視鏡
[1493.64-1496.00] 車廠也開始提供行車紀錄器
[1496.16-1501.48] 因為現在的車上手機充電的需求非常高
[1501.64-1505.36] 所以現在車上的手機充電其實一定也都具備了
[1505.52-1507.00] 所以說我們做這些產品
[1507.16-1512.36] 是把過去這些消費性電子產品已經做得不錯的成績
[1512.36-1514.28] 透過我們適當的轉換
[1514.44-1516.64] 把它放到我們車用品牌裡面去
[1516.80-1520.20] 而且這部分的營收性質是越來貢獻越來越大
[1520.36-1523.04] 我們之前這個設置其實都在其他類
[1523.20-1524.24] 其他的營收
[1524.40-1526.28] 之前這邊營收大概
[1526.44-1529.44] 之前這個營收佔比情況
[1529.60-1533.16] 曾經HUT importable ADAS大概佔到92%、93%
[1533.32-1535.48] 那目前到有
[1535.64-1537.64] 所以accessory這邊在增加
[1537.80-1539.44] 這個比例大概目前已經
[1539.60-1542.16] accessory部分已經增加到11%了
[1542.16-1544.08] 也是認真說HUT importable ADAS
[1544.24-1548.04] 大概可能營收佔比大概會到80%到90%之間
[1548.20-1551.60] 但是未來這一塊會有很好的發展前提
[1551.76-1553.28] 因為再來另外這一塊
[1553.44-1555.40] 這一塊的防禦也不錯
[1555.56-1560.72] 對我們的開發effort其實也不會要額外投入太多
[1560.88-1563.84] 講這麼多以後再去看怎麼市場重新定義一下
[1564.00-1566.72] 大陸市場出入前就是只要是做製造營燃
[1566.88-1567.84] 跟合資品的營銷
[1568.00-1570.12] 傳統的WHUT、ND
[1570.28-1571.96] 新的東西有3E跟
[1572.16-1573.16] POC在做
[1573.32-1575.48] 東南亞部分還有加印度
[1575.64-1576.40] 還有叫二輪
[1576.56-1577.84] 其實是我們的新的發展
[1578.00-1580.48] 歐洲這邊就是除了3E外
[1580.64-1583.40] 有個PH5D的產品在做開發
[1583.56-1585.60] 這個打開其實在匯化裡面
[1585.76-1588.32] 上那個公開資訊站都給拿到
[1588.48-1592.16] 這個是我們整個3D的一個road map
[1592.32-1593.44] 其實3D的
[1593.60-1597.72] HUT的開發其實是我們從2011年的時候
[1597.88-1602.00] 其實那時候面臨到整個手機大量出現
[1602.16-1606.48] 然後整個車展品級營收稍微有衰退
[1606.64-1610.04] 所以那時候老闆就開始找一個新的產品HUT來做
[1610.20-1612.52] 經過這年其實HUT真的做得不錯
[1612.68-1615.36] 大陸的市佔比例大大短就是4
[1615.52-1618.88] 歐洲當然將來還急著要趕快去開拓它
[1619.04-1621.28] 所以我們HUT的多面大概是這個情況
[1621.44-1626.16] 我相信整個HUT未來還是一個很有發展權益的一個產品
[1626.32-1629.24] 像中國大陸的企業它目前佔比大概是3而已
[1629.40-1632.12] 你看台灣其實我們都沒有
[1632.28-1636.24] 你會想說未來電動車要需要HUT嗎
[1636.40-1639.76] 你會想說電動車不就是它自己開
[1639.92-1640.80] 你不需要HUT
[1640.96-1642.96] 市場電動車反而需要HUT
[1643.12-1643.76] 為什麼
[1643.92-1648.80] 因為電動車的手機下時就可以不用特別去做駕駛操作的事情
[1648.96-1650.52] 但是它還是要注意路況
[1650.68-1651.88] 因為到目前為止
[1652.04-1656.24] 我們開車子電動車的駕駛的責任還是在車主
[1656.40-1657.76] 並不是在車
[1657.92-1660.76] 假如今天駕駛的責任是在車商
[1660.92-1661.96] 就是這個車子
[1662.28-1665.56] 這其實也真的就是車子的責任
[1665.72-1666.96] 可是到目前為止
[1667.12-1670.80] 你在開車之後你的駕駛責任還是在你的駕駛者
[1670.96-1673.12] 既然駕駛者你就要注意路況
[1673.28-1674.16] 注意路況
[1674.32-1676.24] 現在的我們剛才講的
[1676.40-1680.40] 現在自動駕駛裡那麼多的自動的東西會主動介入
[1680.56-1682.68] 那我怎麼知道它介入的狀況是怎樣
[1682.84-1684.76] 我怎麼知道它介入的行為是怎樣
[1684.92-1688.08] 可以透過HUT直接打在你的
[1688.24-1690.76] 打到你的那個前擋玻璃上面
[1690.76-1693.96] 讓你很輕鬆的去開車的過程裡頭
[1694.12-1697.16] 也能夠透過你的前擋的狀況去注意到
[1697.32-1699.96] 你現在各樣的功能介入的情況
[1700.12-1701.88] 那就是HUT的表現來的
[1702.04-1702.84] 你可以在這裡
[1703.00-1709.00] 所以HUT比如會因為未來電動車或自駕車的普及
[1709.16-1711.36] 而有一些
[1711.52-1713.48] 因為目前市占率就是比較小一點點
[1713.64-1718.88] 那電動車反而是HUT的家鄉
[1719.04-1720.56] 因為電動車
[1720.76-1723.72] 電動車其實它很簡單
[1723.88-1726.08] 所以它會強調更多的科技的內涵
[1726.24-1729.60] 所以它更想要裝HUT去增加它的內涵
[1729.76-1732.36] 像中國大陸幾個品牌的
[1732.52-1736.16] 做電動車其實都有HUT產品
[1737.56-1739.88] 這3D的東西就是說剛才提的
[1740.04-1742.36] 強調我們自主開發的東西
[1742.52-1745.32] 但將來就是希望我們3D的產品
[1745.48-1747.72] 能夠慢慢的取代我們在市場上
[1747.88-1750.04] 目前比較多的WHUT跟HUT
[1750.76-1752.52] 其實是一個很簡單的一個戰略
[1752.68-1755.72] 因為3D的毛利對我們來講是好的
[1755.88-1757.12] 好的
[1757.28-1758.92] 而且其實它沒有市場競爭
[1759.08-1760.76] 如果只要有人導入
[1760.92-1765.76] 大家跟進其實有機會可以占到市場先進者的優勢
[1765.92-1769.12] 那就是靠我們後面繼續再過去
[1769.28-1773.80] 其實我們現在整個產品概念是這樣的SmartCabin
[1773.96-1776.52] 就是智慧座艙的概念
[1776.68-1777.60] 慢慢的成形
[1777.76-1780.60] 其實我們大概是智慧座艙的一個載具
[1780.76-1783.00] 你會心想說我們就是智慧座艙的載具
[1783.16-1787.12] 未來其實也慢慢的再搭配AI的題材去滲透
[1787.28-1791.72] 因為事實上目前之前有開過大陸的一個華為
[1791.88-1793.68] 他們不是有幾個平台
[1793.84-1796.44] 透過D-Sync已經開始在導入AI嗎
[1796.60-1800.20] 事實上這樣的solution在Cabaret已經開始在應用
[1800.36-1804.00] Cabaret的部分已經透過原來Apple的Intelligent
[1804.16-1806.60] 開始在慢慢在導入新的一個AI應用
[1806.76-1808.60] 所以它的AI應用一上去以後
[1808.76-1810.44] 其實未來整個智慧座艙的需求
[1810.44-1811.48] 會更大
[1811.64-1814.44] 也就是說我舉個例來講
[1814.60-1815.80] 過去你的導航
[1815.96-1819.28] 其實比如說我今天你跟我
[1819.44-1821.28] 我們同樣都是要去
[1821.44-1824.20] 假設我們可能同樣都要去哪裡
[1824.36-1825.44] 我想一下
[1825.60-1827.80] 我們要去桃園的石門水庫
[1827.96-1830.44] 我們兩個導的路結構都一樣
[1830.60-1832.84] 比如說現在我們如果去下導航
[1833.00-1833.88] 導航到石門水庫
[1834.04-1835.68] 我們的路徑可能差不多
[1835.84-1838.12] 可是未來可能會不一樣
[1838.28-1838.64] 為什麼
[1838.64-1844.00] 因為它在你的邊緣這邊有存在的你的使用習慣
[1844.16-1845.64] 它知道你的使用習慣
[1845.80-1847.68] 還有你的價值的一個形象
[1847.84-1852.04] 它會按照你的部分去導入你最適合的環境給你
[1852.20-1855.04] 所以每個人就是會有比較克制的東西在這邊
[1855.20-1857.52] 這個就是所謂的AI的一個能量
[1857.68-1859.56] 特別是你在中途也可以跟他講
[1859.72-1862.56] 我可能要去買一個什麼東西
[1862.72-1863.52] 然後再過去
[1863.68-1866.04] 他馬上就可以導到那邊去再過去
[1866.20-1868.44] 所以說他的對話就會比較friendly
[1868.64-1873.36] 比如說在過去車上的對話不是很煩嗎
[1873.52-1877.40] 你們有沒有用過黑Siri跟OK Google
[1877.56-1881.36] 其實有些時候還是稍微不是那麼的有效率
[1881.52-1884.08] 但是在AI裡其實就像跟他用聊天的
[1884.24-1886.36] 跟他用聊天不用背太多指令
[1886.52-1888.80] 用跟他聊天他就可以給你資訊
[1888.96-1893.56] 因為當然他的現在的手機在車載裡頭
[1893.72-1894.76] 會有兩種方式
[1894.92-1898.60] 一種方式是他內建SIM卡在車機裡面
[1898.76-1902.32] 一種方式是直接用你手機的SIM卡
[1902.48-1904.72] 這兩種方式都有
[1904.88-1905.84] 兩種方式都有
[1906.00-1909.28] 當然可能有一種對於資訊安全要求比較高
[1909.44-1912.08] 覺得說跟著我手機串聯比較安全一點
[1912.24-1915.56] 因為我車子走了以後我的資訊就帶離開了
[1915.72-1916.52] 所以這兩種事
[1916.68-1917.36] 但是對我們來講
[1917.52-1920.64] 我們都是可以根據消費的時機去開發
[1920.80-1922.00] 沒有什麼太大問題
[1922.16-1923.72] 這是車載主機
[1923.88-1924.88] 因為你們可能
[1925.04-1928.32] 大家應該有看過車上透過手機就可以去串聯
[1928.76-1930.24] 以前更早期
[1930.40-1931.60] 因為我們開車比較久的
[1931.76-1933.32] 你知道以前還有TOMTOM
[1933.48-1938.08] 還有一大堆那種一大堆那種PMD的產品
[1938.24-1941.64] 現在你在開車基本上應該用Google
[1941.80-1943.36] 或是用Cowboy
[1943.52-1946.40] 事實上在整個產品開發變得很簡單
[1946.56-1952.24] 但變得簡單以後其實它整合的東西就會更多
[1952.40-1955.56] 所以他現在也開始整合一些車載的資訊進來
[1955.72-1956.40] 車載主機
[1956.56-1958.56] 所以車載主機它是一個很
[1958.76-1959.76] 很核心的東西
[1959.92-1961.56] 比如說你掌握了車載主機
[1961.72-1964.84] 你就掌握了整個智慧座艙的話語權
[1965.00-1967.12] 這是後座娛樂系統
[1967.28-1970.96] 這是只是我們的產品稍微讓大家看一下
[1971.12-1973.12] 這是後視鏡
[1973.28-1977.00] 這是行車機位
[1977.16-1979.44] 行車機位它是做那個DVI
[1979.60-1982.08] 它可能有遠端的監控的功能在裡面
[1982.24-1984.12] 它是無線電的充電板
[1984.28-1988.16] 再講一下我們近幾年來看到
[1988.76-1990.96] 我們的汽車銷售狀況
[1991.12-1996.04] 因為我們主力市場還是要把主力市場的狀況跟大家來交代一下
[1996.20-1998.48] 這樣去對照我們的成長狀況
[1998.64-2001.64] 其實以今年的一二月來看
[2001.80-2003.24] 一二月來看去對比
[2003.40-2004.04] 紅色是去年
[2004.20-2006.60] 其實還是比去年會漸高一點點
[2006.76-2011.12] 但去年十二月的數字跟這裡是稍微slow一點點
[2011.28-2014.76] 但是如果跟去年的一二月來講還是增加一點點
[2014.92-2017.76] 下面我們會再持續觀察
[2017.76-2023.52] 比如說中國大陸車市在第三月份應該是很關鍵的
[2023.68-2024.80] 三月份應該很關鍵
[2024.96-2028.28] 就可以知道說它目前為止整個市場的氛圍來來長怎樣子
[2028.44-2032.24] 再來泰國
[2032.40-2036.60] 泰國在目前為止主力是今年的一月
[2036.76-2038.68] 它目前只有收到一月的數字而已
[2038.84-2039.88] 二月份還沒收到
[2040.04-2044.28] 但目前一月份數字還是稍微比去年稍微衰退了一點點
[2044.44-2047.60] 還是持續在衰退的
[2047.84-2050.00] 印尼也是這樣子的心態
[2052.72-2054.40] 馬來西亞差不多這個情況
[2054.56-2057.96] 這個是我們的營收幹貨
[2058.12-2059.88] 因為我們也公告了
[2060.04-2064.36] 也通過了那個2024年的財報
[2064.52-2067.56] 這個是前年度的一個狀況
[2067.72-2073.48] 第四季的合計市場毛利拉到了29.44%
[2075.60-2077.44] 然後這個是我們費用
[2077.76-2080.36] 費用稍微慢慢趨緩
[2080.52-2081.52] 我之前跟大家講
[2081.68-2083.04] 我們費用開始都趨緩
[2083.20-2083.96] 可是比較
[2084.12-2085.88] 重結就是去觀察
[2086.04-2089.76] 因為我們的費用跟未來的案子比較有關係
[2089.92-2093.08] 跟現在的銷售比較沒有關聯
[2093.24-2095.08] 可能代表性是說
[2095.24-2100.08] 第一個我們HUD的開發已經進入一個比較成熟的收割期
[2100.24-2102.36] 所以我們HUD的投入比較少
[2102.52-2103.72] 可是費用還是有折價
[2103.88-2106.20] 是因為目前還有一些新項目在做
[2106.36-2107.52] 像二輪的
[2107.52-2109.32] 像剛才講的特殊容用機
[2109.48-2110.72] 其實有些新的東西在做
[2110.88-2112.76] 所以費用還是稍微有增加一些
[2112.92-2114.20] 所以一來一往還是稍微有
[2114.36-2115.60] 所以減少一些些
[2115.76-2116.48] 只是沒有那麼明顯
[2116.64-2118.88] 但是未來趨勢還是會持續的
[2119.04-2121.80] 稍微趨穩一點點
[2121.96-2125.84] 因為過去的HUD的開發是很高的金額
[2126.00-2128.48] 3D的其實其實已經差不多了
[2128.64-2132.08] 現在3D是在等著收割
[2132.24-2135.16] 這美股盈餘當然第四季有0.98
[2135.32-2137.20] 我們看看
[2137.52-2139.56] 我們看看今年的1、2月的情況
[2139.72-2142.80] 記得1、2月相對於去年當然都還是成長
[2142.96-2145.84] 但是如果說你從去年這樣來看
[2146.00-2147.16] 好像這幾個稍微
[2147.32-2149.68] 但是如果對照剛才車廠的趨勢
[2149.84-2150.96] 其實差不多的樣子
[2151.12-2152.40] 那個趨勢是差不多的
[2152.56-2153.92] 因為我們公司的成長
[2154.08-2156.96] 基本上跟車市的收購狀況是一樣是同步的
[2157.12-2158.68] 只是說我們稍微還是比車
[2158.84-2160.64] 整個整理市場還要好一些
[2160.80-2162.16] 因為測透率的問題
[2162.32-2163.76] 雖然說車市在減少
[2163.92-2166.56] 但是我們安裝的產品的測透率在提高
[2166.72-2167.36] 等於說
[2167.36-2168.36] 我們可以拿上去
[2168.52-2172.12] 這是我們的一個比重
[2172.28-2173.48] 比重的部分
[2173.64-2175.52] 那今年的營收比重到目前
[2175.68-2178.32] 當然是各個地方都還是一個集團
[2178.48-2180.40] 還是有個成長22.86%
[2180.56-2181.12] 到目前為止
[2181.28-2182.88] 到今年的5月份
[2183.04-2186.92] 那其實大概都有48%、54%的成長
[2187.08-2189.40] 那直接看來是說
[2189.56-2194.68] 目前的今年當中只是整個江蘇這塊大概有
[2194.84-2195.72] 大概差不多
[2195.88-2197.28] 那東南亞這邊
[2197.48-2199.36] 東亞跟台灣其實是一樣的
[2199.52-2202.40] 所以事實上東南亞加台灣也51%
[2202.56-2203.72] 那這邊加起來是50%
[2203.88-2206.32] 所以其實整個比跟去年是差不多的
[2206.48-2207.52] 到目前為止
[2207.68-2212.80] 那這是整個產品現在的一個成長狀況
[2212.96-2215.12] 到目前為止先進價值稍微弱一點
[2215.28-2217.00] 但是車產主機就好很多
[2217.16-2218.16] 成長66%
[2218.32-2220.48] 那其他類就是剛才我講的那些其他類
[2220.64-2223.44] 那其他類現在表現慢慢的變強
[2223.60-2226.12] 可能我們今年的毛利在增加
[2226.24-2229.32] 也有一個是因為其他類營收在太近
[2229.48-2232.56] 其他類的營收都比較普遍性比較高
[2232.72-2234.88] 大概都在30%以上
[2235.04-2236.16] OK
[2236.32-2239.64] 那這是台灣的一個營收的產品
[2239.80-2240.84] 看一看
[2241.00-2242.04] 這是江蘇的
[2242.20-2244.52] 其實江蘇還是主要集中在HUD
[2244.68-2246.92] 這個
[2247.08-2249.12] 這是泰國的品牌
[2249.28-2249.72] 泰國
[2249.88-2252.92] 因為其他類有很多是集中在泰國
[2253.08-2254.20] 剛才的形成紀錄一下
[2254.36-2255.24] 不見得他跟你講了
[2255.40-2256.04] 這什麼事情
[2256.20-2258.16] 這就是來自泰國這邊做的
[2258.32-2260.40] 大概是這樣子
[2260.56-2263.68] 那我想說接下來把時間留給大家
[2263.84-2266.28] 看看有什麼問題想要互動的
[2266.44-2267.24] 好不好
[2267.40-2268.20] OK
