[0.00-7.66] 财务长谢淑娟
[1754.12-1757.12] 新的產品新的solution
[1757.12-1760.12] 一直是我們責務榜帶的一個責任
[1760.12-1763.12] 這樣才能夠讓公司有一個更健全的一個發展
[1763.12-1767.12] 就如我剛剛跟大家說明有關
[1767.12-1769.12] 那個基電能源事業群
[1769.12-1771.12] 他也找到一些新的一些應用
[1771.12-1773.12] 所以在今年第二季第三季
[1773.12-1775.12] 都會有一個不錯的一個成長
[1775.12-1778.12] 我們並沒有想到要去退出這件事情
[1778.12-1779.12] 我們認為
[1779.12-1783.12] 我想在中國那邊有非常值優的一個
[1783.12-1786.12] 製造一個環境也很好的供應鏈
[1786.12-1789.12] 我想那邊應該都隨時可以有機會
[1789.12-1791.12] 能夠創造出新的價值出來
[1791.12-1797.12] 想請教公司各產品線的一個毛利率
[1797.12-1799.12] 我想我們一個整合的一個毛利率
[1799.12-1801.12] 如同剛才財務長跟大家說明
[1801.12-1803.12] 去年第四季大概31.8個
[1803.12-1807.12] 今年大概是31.1個
[1807.12-1809.12] 我想整體的毛利率
[1809.12-1812.12] 我想這是一個蠻 acceptable的一個number
[1812.12-1814.12] 強固形電腦有比較高一點
[1814.12-1819.12] 整體來看大家平均一下自己應該可以揣摩一下
[1819.12-1827.12] 請教EQ強固形電腦比重比較低原因為何
[1827.12-1831.12] 預期未來2Q3Q4Q看主要是哪些方面
[1831.12-1835.12] 我想我們第一季強固形電腦比重比較低
[1835.12-1836.12] 不是比重比較低
[1836.12-1838.12] 最主要它是被那個
[1838.12-1841.12] 基電產品事業群那邊拉低了
[1841.12-1842.12] 那邊
[1842.12-1843.12] 所以我剛一開始有跟大家說
[1843.12-1845.12] 我們電子鍵分成兩個部分
[1845.12-1846.12] 一個是強固形電腦
[1846.12-1849.12] 一個是基電能源產品事業群
[1849.12-1855.12] 基電產品事業群它的銷售低劑比較差一點
[1855.12-1857.12] 那第二季就大反彈回來
[1857.12-1861.12] 所以強固形電腦比重並沒有比較低
[1861.12-1863.12] 這個用急ych several
[1863.12-1867.12] 另外一抱
[1867.12-1890.12] Kimchi
[1890.12-1894.18] 我想我們都有很棒的一個建制
[1894.18-1896.86] 事實上我們整個執行下去
[1896.86-1898.34] 我覺得非常的incredible
[1898.34-1903.38] 所以我想對我們在整體的市場上面的marketing
[1903.38-1906.40] 或是直接sales的business development上面
[1906.40-1909.90] 我想我們都可以有更好的一個透明度
[1909.90-1916.54] 越南廠今年的投產狀況為何
[1916.54-1920.78] 預計可貢獻多少sales和獲利
[1920.78-1924.56] 我們越南投產
[1924.56-1927.44] 我們一直不斷的在隨時增加它的產能
[1927.44-1930.58] 因為一直陸續不斷的搬
[1930.58-1933.02] 所以我們一直是搬動的一個狀況
[1933.02-1938.32] 去年比較多的是一些市產的一個生產
[1938.32-1940.84] 今年已經有
[1940.84-1943.10] 我這邊沒有immediate的一個number
[1943.10-1945.04] 我不知道等一下財務長有沒有機會
[1945.04-1946.08] 可以一些number
[1946.08-1946.46] 不過
[1946.46-1946.52] 我這邊沒有immediate的一個number
[1946.52-1949.46] 我想我們一直都是單子來
[1949.46-1951.70] 我們盡量就設法把它趕出去
[1951.70-1954.10] 所以真正要precise number
[1954.10-1956.14] maybe下一次我們可以再稍微準備一下
[1956.14-1957.50] 看看可不可以用
[1957.50-1961.26] 那我想整體的一個sales銷售
[1961.26-1963.14] 越南的一個工廠
[1963.14-1964.74] 我們越南有兩個工廠
[1964.74-1966.88] 一個是一個是綜合機構券
[1966.88-1968.58] 一個是汽車機構券
[1968.58-1974.84] 業當overall來說大概佔我們年營收大概10%左右吧
[1974.84-1975.86] 大概不一定much
[1975.86-1976.44] 大概是這個
[1976.44-1980.50] 那我想應該今年guts feeling
[1980.50-1981.78] 28到38
[1981.78-1982.56] 對
[1982.56-1986.38] 30%上下左右的一個成長
[1986.38-1987.12] ok
[1987.12-1988.24] 好
[1988.24-1991.56] 未來泰國美國歐洲會陸續去設廠嗎
[1991.56-1993.00] 這我剛剛有跟大家說明過
[1993.00-1994.88] 泰國我們能不能再繼續觀察
[1994.88-1995.94] 地已經買了
[1995.94-2001.44] 那我想蓋廠房跟把機器設備把它架起來
[2001.44-2005.12] 我想是並不是特別長的一個時間了
[2005.12-2006.30] 所以我們會持續washout的時間來的
[2006.30-2010.02] 那美國歐洲是我們一直在close wash
[2010.02-2011.02] 因為假設有必要
[2011.02-2014.64] 事實上我自己in person我自己去travel過幾次
[2014.64-2016.86] 我拜訪過當地可能一些partner
[2016.86-2020.22] 那我想他們也都很樂意來跟神機來合作
[2020.22-2025.42] 因為畢竟神機跟他們合作就會帶去一些生意給他們
[2025.42-2031.14] 那他們很快就可以讓他們的一個營運的一個體制大幅度改善
[2031.14-2033.60] 所以我想我們假設要去投廠
[2033.60-2034.90] 要去設廠跟當地廠商合作應該是好事吧
[2034.90-2035.42] 那我現在就想說我們現在是在做什麼呢
[2035.42-2035.62] 我們現在是在做什麼呢
[2035.62-2035.76] 我們現在是在做什麼呢
[2035.76-2037.82] 應該是很快就可以把它做起來
[2037.82-2044.82] 那什麼樣的狀況下會去設廠例如tariff等等
[2044.82-2049.16] tariff當然是一個很重要的一個因素來做考慮
[2049.16-2051.06] 假設我們有必要做differentiate
[2051.06-2053.46] 或是我們的競爭對手到那邊去做
[2053.46-2056.98] 那我想我們競爭對手他們也是非常優秀
[2056.98-2060.48] 他們也絕對不是躺平不幹的
[2060.48-2064.28] 那這個領域的生意大家競爭很激烈
[2064.28-2067.22] 所以我們會隨時watch這些事情
[2067.22-2071.26] 我自己也是跟幾個主要的那個經營團隊
[2071.26-2072.78] 我們隨時在看這些事情
[2072.78-2076.30] 我有任何進展我們再跟大家來報告
[2076.30-2079.32] 運費是否因tariff不確定而增加
[2079.32-2082.06] 這個應該沒有大的關係
[2082.06-2086.44] 我來說運費應該最近還算應該還算穩定吧
[2086.44-2089.18] 我感覺沒有no news is good news
[2089.18-2091.22] 應該沒有什麼大的一些差別
[2091.22-2092.34] OK
[2094.28-2098.94] 另外還有一些投資先進有一些最大的
[2098.94-2103.28] 最多的問題就是在這一次這個匯率的部分
[2103.28-2106.28] 我想我統一全部一起來回答
[2106.28-2110.40] 那這次的匯率我想各位先進都是專家
[2110.40-2112.40] 也都有了解
[2112.40-2120.16] 今年的匯率從最高的這個33.205升值
[2120.16-2123.80] 抱對不起抱貶值美金
[2124.28-2128.96] 直到29.8在5月8號的時候
[2128.96-2132.08] 那這個升值的%是大概10點
[2132.08-2136.12] 台幣升值的%大概是10.3個%
[2136.12-2140.96] 但是呢我們在1到4月的影響
[2140.96-2144.32] 我想大家都了解就是說4月底雖然開始有點升值
[2144.32-2148.68] 但是那個影響就在最後幾天是沒有太大的影響
[2148.68-2153.12] 但是在5月的話當然是會有比較大的一個影響
[2153.12-2154.28] 那但是因為
[2154.28-2158.88] 我們基本上5月我們本來的預計數
[2158.88-2162.88] 我們都是用32.5在做一個估算
[2162.88-2167.72] 所以呢如果以這個32.5跟後來
[2167.72-2172.16] 大概回穩到30.28這個區間的
[2172.16-2173.72] 我們曾經去做模擬
[2173.72-2176.12] 這個部分當然以絕對值來講
[2176.12-2179.20] 他是6.8%的一個升值
[2179.20-2181.72] 台幣是6.8的一個升值
[2181.72-2182.28] 但是對我們整體的一個未來的一個升值是6.8%的一個升值
[2182.28-2182.88] 但是對我們整體的一個未來的一個升值
[2182.88-2183.28] 但是對我們整體的一個未來的一個升值
[2183.28-2183.78] 但是對我們整體的一個未來的一個升值
[2183.78-2184.08] 但是對我們整體的一個未來的一個升值
[2184.08-2184.58] 但是對我們整體的一個未來的一個升值
[2184.58-2191.42] 我如果用30.28來做未來的一個全年的一個估算的話
[2191.42-2194.08] 因為我前面四個月已經都是實際的了
[2194.08-2196.84] 所以如果後面的影響我們用這個
[2196.84-2202.28] 而且我有美金有這個歐元還有人民幣的這部分
[2202.28-2204.58] 所以我們是整體的去做一些模擬
[2204.58-2209.68] 大概對我們的影響全年大概差不多是4%左右
[2209.68-2213.58] 就是會造成我們的一個影響大概有4%左右
[2213.58-2220.58] 但是這個當然還會再看看未來的一個實際的匯率的發展
[2220.58-2224.84] 那對於我們的這個毛利
[2224.84-2227.58] 大家很關心的就是對於我們的毛利來講
[2227.58-2230.14] 那對我們的毛利來講
[2230.14-2233.04] 它也不會是絕對只是4%
[2233.04-2235.54] 對我們毛利來講大概就是在
[2235.54-2239.02] 因為我們有一些人民幣的成本
[2239.02-2240.58] 有一些其他的幣的成本
[2240.58-2243.08] 所以大概這個部分會有一個4%左右的發展
[2243.08-2243.58] 所以大概這個部分會有一個4%左右的發展
[2243.58-2244.58] 所以對我們一個影響的其實是
[2244.58-2248.58] 影響絕對值的話應該是在3%左右
[2248.58-2254.58] 但是如果是毛利率本身它是會稍微提升一點點
[2254.58-2256.58] 因為分母變低了
[2256.58-2261.58] 所以我們的毛利率就是可能會比現在
[2261.58-2264.58] 原來預估的會提升一些些這樣子
[2264.58-2268.58] 那大概毛利的部分大概就是這樣
[2268.58-2272.58] 所以對我們一個影響其實是
[2272.58-2273.08] 雖然說未來的毛利率會提升一點點但是我們的毛利率會提升一點點就是這樣所以對我們一個影響其實是
[2273.08-2274.08] 雖然說未來的毛利率會提升一點點但是我們的毛利率會提升一點點就是這樣所以對我們一個影響其實是
[2274.08-2275.08] 雖然說未來的毛利率會提升一點點但是我們的毛利率會提升一點點就是這樣所以對我們一個影響其實是
[2275.08-2276.08] 雖然說未來我們認為是會有這樣的影響
[2276.08-2280.08] 不過還是剛剛講要看未來的一個
[2280.08-2283.08] 這個匯率實際上的一個發展
[2283.08-2290.08] 那我們以目前來看呢我們第一季呢我們的匯率是
[2290.08-2294.08] exchange gain是有4000多萬的gain
[2294.08-2300.08] 那4月份我們還是雖然說在月底的時候有一個升值
[2300.08-2301.08] 但是我們4月來講還是有點小賺的
[2301.08-2302.08] 但是我們4月來講還是有點小賺的
[2303.08-2308.08] 那到了5月的這個部分呢其實因為我們部位呢其實都不大
[2308.08-2310.08] 所以幾支而已
[2310.08-2319.08] 所以我們的部分如果在第二季到5月8號這個時候我們在模擬的時候我們大概虧損是幾百萬這樣子
[2319.08-2324.08] 所以都並不是一個很大的一個金額所以是可控範圍
[2324.08-2331.08] 當然就是未來只是剛各位所擔心的或者是認為的是說對於我們的一個毛利的影響
[2331.08-2332.08] 當然就是未來只是剛各位所擔心的或者是認為的是說對於我們的一個毛利的影響
[2332.08-2333.08] 當然就是未來只是剛各位所擔心的或者是認為的是說對於我們的一個毛利的影響
[2333.08-2334.08] 當然就是未來只是剛各位所擔心的或者是認為的是說對於我們的一個毛利的影響
[2334.08-2343.08] 不過這個毛利的影響因為我們只是用一個絕對數的數字去用匯率去各國的匯率去做一個模擬
[2343.08-2348.08] 但是實際上未來的部分呢因為會有很多因素的一個
[2348.08-2356.08] 就是說一個真消長所以它不一定會一定絕對是在這個部分
[2356.08-2358.08] 所以我只能概括說大概是3個%
[2358.08-2359.08] 所以我只能概括說大概是3個%
[2359.08-2362.08] 那對我們整個毛利率的影響會往上
[2362.08-2363.08] 那對我們整個毛利率的影響會往上
[2363.08-2365.08] 會拉一點點這樣子
[2365.08-2370.08] 所以如果我們的營收能夠再往上的話應該不至於影響太大
[2370.08-2383.08] 那對於我們的整年的一個營收呢可能大家會覺得說剛剛黃董在講的一個8到12個%的這個成長是不是會影響
[2383.08-2389.08] 那我們其實我們模擬過因為我們最主要是因為我們原來的這個估算裡面呢
[2389.08-2392.08] 我們的毛利的假設的base呢
[2392.08-2397.08] 都有拉低的大概都是在32這個左右
[2397.08-2399.08] 所以我們並不是用33去算
[2399.08-2404.08] 所以大概這個影響數呢也不是非常的高
[2404.08-2407.08] 所以我們大概也是會有一些些的影響
[2407.08-2416.08] 所以我們還是可以在這個所謂8到12個%這邊的成長我們還是有機會可以做到
[2416.08-2421.08] 這個是大概我對於所有匯率的部分的一個回答
[2421.08-2422.08] 如果大家有什麼想法的話呢我們可以在下面留言給大家看喔
[2422.08-2428.08] 如果各位有問題的話在還是可以繼續寫上寫你們的提問單
[2428.08-2437.08] 那另外就是有人有投資先進在問說對於我們的費用
[2437.08-2444.08] 費用率是不是
[2444.08-2447.08] 費用率是明顯的下降
[2447.08-2451.08] 是有特意在管控行銷和管理費用呢
[2451.08-2456.08] 那25年全年費用率目標維持在多少
[2456.08-2465.08] 我想費用率呢我們比去年的這個YOY是比較低沒有錯
[2465.08-2470.08] 但是其實最主要今年的營收也是有相當的一個成長
[2470.08-2473.08] 所以我們的費用率也是有下降
[2473.08-2479.08] 那當然我們在費用上面我們的管控也是比較也是有管控的
[2479.08-2480.08] 那去年因為我們花了比較多錢我們也是有比較多的費用率的目標
[2480.08-2485.08] 去年因為我們花了比較多在這個所謂的marketing部分
[2485.08-2487.08] 這個精準行銷的部分
[2487.08-2493.08] 那今年呢大概比較多會在RD費用方面開案的部分
[2493.08-2498.08] 那但是我們因為這個數字呢我們因為營收也是有成長
[2498.08-2504.08] 所以我們預期這個費用率應該是會維持在16%的一個上下
[2504.08-2508.08] 所以這個部分應該是可以控制的
[2510.08-2514.08] 還有大家可以去參考一下
[2534.08-2536.08] 還有一位投資先進在問
[2536.08-2539.08] 就是蘇美產品是不是已經
[2539.08-2541.64] 全部由非中國來生產
[2541.64-2543.32] 我們現在蘇美的部分
[2543.32-2545.34] 我們都是由台灣來做生產
[2545.34-2547.22] 先簡單回答
[2569.08-2586.54] 這邊有一位投資先進問起來
[2586.54-2590.20] 2025年的Q1強固型營收占比為47%
[2590.20-2592.22] QOQ及YY呈現下降
[2592.22-2594.06] 主要原因為何
[2594.06-2597.94] 我想我們在2025年
[2597.94-2598.48] 我們
[2598.48-2599.06] 我們在2025年
[2599.08-2601.32] 剛跟大家報告說明的
[2601.32-2604.12] 就是事實上我們在
[2604.12-2607.52] 電子鍵這一邊我們QOQ我們成長約
[2607.52-2610.04] YY我們大概成長大概3%
[2610.04-2614.36] 事實上比起那個去年第四季應該也是成長
[2614.36-2616.36] 金額amount of money是成長的
[2616.36-2619.20] 那你看它占比的部分看起來比較低
[2619.20-2621.70] 最主要是因為我們在
[2621.70-2625.20] 綜合機構件部分在第一季這邊拉貨拉得比較多
[2625.20-2626.58] 所以讓它看起來
[2626.58-2628.48] 這是比例上面的一個問題一邊變大
[2628.48-2628.98] 一邊變大
[2628.98-2629.02] 一邊變大
[2629.02-2629.04] 一邊變大
[2629.04-2629.06] 一邊變大
[2629.06-2630.56] 另外這邊就變小了
[2630.56-2632.50] 所以最主要是這樣的一個問題
[2632.50-2637.30] 那另外2025年強固型電腦區域占比
[2637.30-2641.06] 預估級那個大概是多少
[2641.06-2642.42] 區域占比大概是多少
[2642.42-2643.36] 我們看到一個
[2643.36-2647.02] 強固型電腦我想在歐洲來說
[2647.02-2649.76] 美國部分大概40%到50%
[2649.76-2654.06] 那歐洲部分大概就30%上下左右
[2654.06-2655.86] 那其他就是大概
[2655.86-2659.00] 那毛利約當大概
[2659.00-2661.36] 50%上下左右
[2661.36-2666.64] 這個是不是
[2666.64-2679.84] 那個昨日15號
[2679.84-2683.00] 這位先見真是那個對我們真是關切
[2683.00-2687.14] 昨日15號有發表全球第一款AI強固型電腦
[2687.14-2688.94] 請問新一代B360A10B
[2688.94-2690.58] 是比較上一代高多少
[2690.58-2694.20] 那我想我們
[2694.20-2697.34] 歐洲來說新的一個產品的一個定價
[2697.34-2700.04] 我們剛發表事實上還沒有定價
[2700.04-2701.98] 所以也不方便跟大家講說
[2701.98-2704.18] 這個particular的一個
[2704.18-2706.34] 任何一個individual的產品
[2706.34-2708.14] 跟上一代大概是多少
[2708.14-2711.58] 不過整體我們來看就是AI強固型電腦
[2711.58-2714.84] 我們大概定價會比原來非AI強固型電腦
[2714.84-2717.78] 大概價錢會高大概10%左右
[2717.78-2718.70] Pretty much大概
[2718.70-2718.88] 大概10%左右
[2718.88-2721.04] 大概是這個樣子
[2721.04-2723.88] 那
[2723.88-2726.34] 有能選配NVIDIA獨立顯卡
[2726.34-2728.28] 是要搭配NVIDIA獨立顯卡
[2728.28-2730.64] 才能達到AIPG的等級嗎
[2730.64-2733.88] 我想NVIDIA一個獨立顯卡是
[2733.88-2736.68] 這個領域裡面非常多的一些比較專業
[2736.68-2740.98] 一些圖形顯示或是AI顯示的一個需求
[2740.98-2743.88] 事實上它的一個應用範圍還蠻popular
[2743.88-2745.52] attach rate也很高
[2745.52-2748.64] 那因為過去就很高了
[2748.64-2752.34] 它不見得是AI上面一個需求
[2752.34-2756.64] 那有無搭配NVIDIA獨立顯卡ASP差價多少
[2756.64-2759.24] 這個非常主觀的判斷
[2759.24-2761.70] 大概我沒辦法跟你說明
[2761.70-2763.98] 大概可能300到500塊錢每件
[2763.98-2767.94] 因為它顯卡的部分的一些complication不太一樣
[2767.94-2768.64] 這比較detail
[2768.64-2772.10] 我就這邊不做細節的分析
[2772.10-2776.64] 那目前這款AI強固型電腦狀況如何
[2776.64-2777.14] 事實上
[2778.64-2785.34] 我們新一代這個B360的這個產品是我們非常主力一個銷售的一個市場
[2785.34-2788.14] 那我們是一個新的一個refreshment的一個model
[2788.14-2793.54] 那事實上它銷售狀況是大概我們整體大概前三名的一個產品
[2793.54-2797.64] 那我們會全世界都同步來導入這個產品
[2797.64-2803.14] 如果結構件全年外外提升到10到18%
[2803.14-2806.14] 我想指的是指那個綜合機構件
[2806.14-2806.64] 是越南廠街道比預期高的一個產品嗎
[2806.64-2807.14] 是越南廠街道比預期高的一個產品嗎
[2807.14-2807.64] 是越南廠街道比預期高的一個產品嗎
[2807.64-2808.14] 是越南廠街道比預期高的一個產品嗎
[2808.14-2808.64] 是越南廠街道比預期高的一個產品嗎
[2808.64-2809.14] 是越南廠街道比預期高的一個產品嗎
[2809.14-2815.14] 我想兩個因素最主要就是我們除了原來的高波線的材料之外
[2815.14-2820.14] 我們也做相關的鋁沖壓的一個金屬件的一個產品
[2820.14-2823.14] 所以事實上我們是多了一個市場
[2823.14-2827.64] 那多了一個市場當然就有一些新的incremental
[2827.64-2830.64] 所謂incremental就是additional的一個business的產生
[2830.64-2832.64] 這是one reason
[2832.64-2834.64] 那另外一個 reason就是我剛有跟大家說明
[2834.64-2838.14] 就是我們在那個Game console它新一代的一個產品
[2838.14-2839.14] 發售
[2839.14-2842.14] 因為它已經到末代產品了
[2842.14-2844.14] 在去年它是末代產品
[2844.14-2846.14] 所以這邊嬰兒就很低
[2846.14-2848.14] 那你新的一個產品出來
[2848.14-2851.14] 它也就造成所謂incremental的一個成長
[2851.14-2855.14] 所以造成一個綜合機構間這邊的一個YOY
[2855.14-2858.14] 提升到10到18%
[2858.14-2862.14] 那越南廠街道預期比較高的訂單
[2862.14-2863.14] 答案是yes
[2863.14-2864.14] 我剛有跟大家說明過
[2864.14-2866.14] 我們大概會成長
[2866.14-2868.14] 大概比例是蠻高的
[2868.14-2877.14] 目前Notebook結果建在中國越南才能比重
[2877.14-2881.14] 未來越南目標提升到多少
[2881.14-2890.14] Notebook結果建在中國才能比重
[2890.14-2892.14] 先算一下看看
[2892.14-2893.14] 大概
[2898.14-2928.14] 
[2928.14-2933.14] 我們在中國的汽車零組件這一塊
[2933.14-2934.14] 它就衰退的比較大
[2934.14-2937.14] 那越南這邊事實上沒有很明顯的一個衰退
[2937.14-2941.14] 所以它就讓它比重稍微有略微不太一樣
[2941.14-2943.14] 大概是這個樣子
[2948.14-2951.14] 現場投資先進還有沒有要提問
[2958.14-2960.14] trajectory
[2961.14-2963.14] ciao
[2965.14-2966.14] mouse
[2971.14-2986.14] 感原
[2986.14-2988.62] 的增长去抵消汇率带来的冲击
[2988.62-2990.26] 那目前听下来的话就是
[2990.26-2992.50] 主要是综合机构线
[2992.50-2994.34] 这边有比预期来的好
[2994.34-2995.52] 此外还有
[2995.52-2998.18] 哪一块比预期就是比
[2998.18-3000.28] 上次法说会是在多
[3000.28-3002.22] 增加的可以来跟我们做
[3002.22-3004.08] 分享这样子谢谢
[3004.08-3006.10] 我想
[3006.10-3008.36] 整体营收的一个可能的
[3008.36-3010.08] 一个percentage刚才部长也是
[3010.08-3011.22] 跟大家来说明了
[3011.22-3014.02] 那事实上大家可以看得到
[3014.02-3015.90] 我刚跟大家报告整体的
[3015.90-3018.02] 营运的一个状况我们整体的氛围
[3018.02-3019.86] 来说我们mobile都是在成长的
[3019.86-3021.94] 所以事实上也没有
[3021.94-3023.72] 哪一块特别比较多我特别
[3023.72-3025.68] 修正的修改的那个
[3025.68-3027.94] 综合机构线调整成10到
[3027.94-3029.56] 18个percentage那你会想
[3029.56-3031.00] 怎么会那么大的一个range
[3031.00-3034.00] 事实上我们看得到是比较偏高的
[3034.00-3035.42] 那一块部分但是
[3035.42-3038.14] 毕竟有一些
[3038.14-3040.34] tariff落货的一些因素它总是
[3040.34-3042.12] 存在一个不确定因素但是我们
[3042.12-3043.84] 认为在commercial的
[3043.84-3045.84] 那个笔电的饥渴这一块应该
[3045.84-3047.84] 相对来说是比consumer
[3047.84-3049.84] 这块要来的相对稳定很多
[3049.84-3051.84] 那强固型电脑
[3051.84-3053.84] 这一块我们反而是
[3053.84-3055.84] 觉得这一块是非常solid的
[3055.84-3057.84] 那另外它的毛利率
[3057.84-3059.84] 的一个状况也还蛮
[3059.84-3061.84] 不错的那另外因为我们做的是
[3061.84-3063.84] 品牌所以我们可以在合理
[3063.84-3065.84] 的范围之内去做一定的价钱的
[3065.84-3067.84] 一个调整所以在
[3067.84-3069.84] 税的一些impact的一些因素上面
[3069.84-3071.84] 我们可能可以透过这样一个层面
[3071.84-3073.84] 来做一些略微一些
[3073.84-3075.84] 修正调整所以
[3075.84-3077.84] 所以我想
[3077.84-3079.84] 我们over来看今年
[3079.84-3081.84] 短期策略我们能在强固型电脑
[3081.84-3083.84] 我们能够追求量跟那个金额
[3083.84-3085.84] 的一个提升那同时我们
[3085.84-3087.84] 把费用尽量把它控制下来
[3087.84-3089.84] 那设法把那个
[3089.84-3091.84] 把OPM把这边把它提升
[3091.84-3093.84] 起来我觉得我们今年over
[3093.84-3095.84] 来说应该我们蛮有机会的
[3095.84-3097.84] 谢谢
[3103.84-3111.84] 好
[3111.84-3113.84] 在聚集下一个问题刚有
[3113.84-3115.84] 问到就是说那个关税我们
[3115.84-3117.84] 会以调整价格来因应
[3117.84-3119.84] 那以目前来讲因为
[3119.84-3121.84] 剑桓90天10个我们所以我们
[3121.84-3123.76] 是不是会民生股的产品价格 指
[3123.76-3125.84] B Mister 那如果说万一到时候
[3125.84-3126.72] 呃
[3126.72-3128.72] 90天之后谈出来的
[3128.72-3131.76] unity
[3131.76-3132.38] 微豫
[3132.40-3132.96] 以上的
[3132.96-3133.72] 复度去
[3133.72-3135.48] Mockup這個價格嗎 謝謝
[3138.36-3141.82] 像類似這種比較高的一個比例來看的話
[3141.82-3142.78] 我
[3142.92-3145.62] 因為他畢竟有90天的一個寬限期
[3145.62-3146.78] 當然我個人認為
[3146.78-3149.08] 他會再回復到原來36%的機率
[3149.08-3150.56] 我個人認為
[3150.56-3152.28] 是機會比較沒有那麼大了
[3152.28-3155.52] 那如果說如您所說的10-15%
[3155.68-3158.26] 事實上我們有一定的機會去做一部分調整
[3158.26-3159.62] 一部分我們自己來cover
[3159.62-3162.92] 那這東西就是相對競爭的問題就是
[3162.92-3166.08] 我願意承受一部分的價錢
[3166.08-3167.66] 在我自己的售價上面
[3167.66-3169.42] 我是不是能夠換到比較大的量
[3169.42-3170.66] 比較大的營收
[3170.66-3174.12] 然後也許我的毛利率在這塊下降了一點點
[3174.12-3174.82] 但是我
[3175.18-3177.22] absolute amount of gross profit
[3177.22-3178.76] 我假設能夠增加的話
[3178.82-3180.06] 還是划得來的
[3180.06-3184.02] 所以我們這是蠻dynamic 動態性的
[3184.02-3187.12] 那所以我剛才特別跟大家說明我們是
[3187.48-3188.36] 求營收額
[3188.36-3191.36] 在強固型電腦我們求營收額 求量
[3191.36-3191.96] 所以
[3192.28-3192.88] 任何哪一塊電腦
[3192.88-3194.48] 我們認為可以sacrifice
[3194.48-3195.68] 我們就犧牲
[3195.68-3197.12] 這是我們整體的一個做法
[3197.12-3198.24] 大概是這個樣子
[3201.98-3203.78] 不好意思我們最後一個問題
[3203.78-3204.34] 謝謝
[3204.72-3207.64] 對不起我請教一個那個越南生產的問題
[3207.88-3210.38] 那過去越南都這個機構建模具
[3210.62-3213.28] 都要在台灣跟中國開再送過去
[3213.38-3214.44] 我不曉得現在
[3214.62-3216.98] 越南本身有沒有能力自己開模具
[3217.78-3219.58] 我們越南的這是一個好問題
[3219.58-3221.68] 我們越南的模具廠大概在十幾年前
[3221.68-3222.72] 是在越南設立的
[3222.72-3224.92] 我們大概在當地部分
[3224.92-3228.28] 我們相關產業裡面有最大的那個模具廠
[3228.28-3230.12] 不過even這個樣子
[3230.12-3232.16] 事實上他模具廠的產能是不足的
[3232.16-3236.06] 所以我們仍然有大概三分之一到一半左右的模具
[3236.06-3238.08] 我們必須要在大陸那邊來開
[3238.08-3242.96] 開完以後在大陸做完試模動作再移到越南來
[3242.96-3247.92] 所以那我們那邊在設備上面的一些精進等等一些
[3247.92-3249.68] 我們也做蠻多的一些investment
[3249.68-3251.72] 我們過去幾年來每年大概
[3251.72-3255.86] 十億上下左右一些金額大概有相當大的比例
[3255.86-3257.28] 都是投資在這一塊
[3257.28-3259.12] 一直在在中國大陸那一塊
[3259.12-3261.12] 或在越南這邊特別是在模具廠
[3261.22-3263.22] 模具廠是很燒錢的一個投資
[3263.22-3264.12] 謝謝
[3266.76-3268.48] 謝謝經營團隊的說明
[3268.48-3270.68] 那我們今天法說會就到此結束
[3270.68-3271.22] 謝謝
[3273.16-3274.06] 大家謝謝
[3281.72-3282.94] 
