[0.00-8.20] 各位贵宾早安
[1358.92-1362.24] 这样这样这个投资人朋友你可以跟前前理教
[1362.24-1363.40] 啊别人说我在唬烂
[1363.40-1365.52] 你可以看一下啊两年前我讲什么
[1365.52-1367.60] 都是类似的template
[1367.60-1368.76] 那以前换约很重要
[1368.76-1370.24] 现在换约没那么重要
[1370.24-1371.08] 以前换约很重要
[1371.08-1372.24] 是因为我们都固定的
[1372.48-1374.40] 换约那时候换约是涨还是跌
[1374.40-1376.20] 其实对我们的营收有很重大影响
[1376.20-1377.12] 那现在的话
[1377.12-1380.72] 因为majorly的这个revenue都是来自于指数连结
[1380.72-1382.52] 所以你就不用再问我什么时候换约了
[1382.52-1385.76] 因为不用换约指数连结都会都会变动
[1385.76-1388.00] 但是我们还是会整理一下我们过去
[1388.00-1391.72] 比如说有这种固定租金的部分换约的情况
[1391.72-1393.56] 那我目前估计起来的话呢
[1393.56-1395.80] 就是我们目前2024年整个换约
[1395.80-1397.56] 有以固定租金换固定租金的
[1397.56-1399.00] 大概是17条
[1399.00-1401.60] 那其实呢平均来讲的话
[1401.60-1401.84] 指数金是往上升的
[1401.84-1401.92] 那其实呢平均来讲的话指数金是往上升的
[1401.92-1403.08] 那其实呢平均来讲的话指数金是往上升的
[1403.08-1404.88] 这跟市场是类似的
[1404.88-1406.48] 市场有这样的状况
[1406.48-1409.36] 然后对营收的影响大概是加0.9%
[1409.36-1409.92] 不是很多
[1409.92-1411.76] 但是就是有在
[1411.76-1416.36] 那如果是固定租金转指数连结的
[1416.36-1417.68] 总共也有6条
[1417.68-1419.40] 那有些高有些低
[1419.40-1420.96] 这样
[1420.96-1422.96] 这个是一个换约的情形
[1422.96-1425.44] 那2025年我们预计换约的状况的话
[1425.44-1428.96] 这些固定租金的还有26艘
[1428.96-1431.28] 那当然因为这个可能这些固定租金
[1431.28-1432.36] 时间未必很长
[1432.36-1433.00] 所以呢
[1433.00-1435.92] 其实去年看到了这17条里面
[1435.92-1438.32] 有些是今年还会加的话
[1438.32-1440.00] 那以目前的这种情形
[1440.00-1443.00] 我们觉得大概还会这个
[1443.00-1443.96] 因为第一季不好
[1443.96-1446.44] 其实坦白讲这个是正常的事情
[1446.44-1449.20] 稍后我们会再跟大家讲更提的更多
[1449.20-1449.88] 那不过呢
[1449.88-1450.40] 整体来讲
[1450.40-1453.32] 我们对今年换约情形还是比较偏乐观的
[1453.32-1455.16] 所以我们认为我们今天换约
[1455.16-1456.48] 还有一些成长的空间
[1456.48-1457.84] 但不是很高
[1457.84-1459.84] 有跟相对于去年来讲
[1461.28-1463.20] 那么接下来的话
[1463.20-1465.36] 我们会跟大家讨论一下这个产业的情形
[1465.36-1466.56] 各位了解到
[1466.56-1469.76] 散装航运其实是一个古老的产业
[1469.76-1470.88] 它没有什么就是这样
[1470.88-1472.88] 我们货物从A再到B
[1472.88-1474.40] 那以前来讲的话呢
[1474.40-1477.44] 是船东他就会负责这个后面的贸易
[1477.44-1478.68] 什么的通通都要包
[1478.68-1481.20] 还要包海上保镖船队等等
[1481.20-1481.84] 现在没有
[1481.84-1482.72] 现在比较单纯
[1482.72-1484.52] 船东纯粹就是债而已
[1484.52-1485.08] 所以呢
[1485.08-1485.64] 在运东西
[1485.64-1487.80] 我们不见得会直接受到
[1487.80-1490.12] 我们在运货物的价值所影响
[1490.12-1490.72] 所以有
[1490.72-1491.80] 以前有些投资人会说
[1491.80-1491.96] 哇
[1491.96-1492.96] 现在原物料大涨
[1492.96-1494.56] 是不是会让赚没有
[1494.56-1495.48] 因为你涨
[1495.48-1496.64] 我也是收这个租金
[1496.64-1498.32] 我要跟着我也收的运费
[1498.32-1500.76] 运费也会转转到那样租金
[1500.76-1502.08] 所以呢
[1502.08-1505.52] 原物料涨本身不一定会造成我们
[1505.52-1507.32] 这个运费的提高
[1507.32-1510.32] 那但是如果原物料涨是来自于需求上升
[1510.32-1510.52] 啊
[1510.52-1511.48] 各位了解到
[1511.48-1513.32] 因为这个价格上升有两种
[1513.32-1514.76] 一种是这个里面破
[1514.76-1518.16] 这个是那个是那个是supply supply的关系
[1518.16-1520.36] 如果是因为需求减少
[1520.36-1522.04] 造成价格上升
[1522.04-1523.68] 那对我们是没好处的
[1523.68-1525.92] 但如果是因为需求增加
[1525.92-1527.00] 把价格推升了
[1527.00-1528.16] 那对我们就有好处
[1528.16-1529.36] 大概来讲是这样子
[1529.36-1530.44] 所以呢
[1530.44-1533.20] 这个先要讲的是我们这个产业的
[1533.20-1534.08] 景气循环
[1534.08-1535.48] 是给概念来讲
[1535.48-1536.48] 有点这样
[1536.48-1537.72] 那传统而言呢
[1537.72-1539.04] 比较常见的景气循环
[1539.04-1540.96] 我们大家就是跟着人家的假期
[1540.96-1543.72] 所以呃农历年多半是因不好
[1543.72-1544.44] 然后呢
[1544.44-1545.84] 暑假大概也不太好
[1545.84-1550.00] 这个是比较大约的一个呃
[1550.00-1551.04] 景气循环
[1551.04-1552.12] 因为放假都不好
[1552.12-1553.84] 这跟资本市场的有点类似的
[1553.84-1555.08] 就是发行案
[1555.08-1557.08] IPO没有人在农历年
[1557.08-1558.84] 然后圣诞节或者暑假做的
[1558.84-1560.56] 对很类似
[1560.56-1561.32] 那当然呢
[1561.32-1562.76] 从去年来看的话到现在
[1562.76-1564.76] 我们现在比较值得关注的产业
[1564.76-1565.56] 情况
[1565.56-1568.28] 就呃还是有几个比较近期
[1568.28-1569.56] 欢中期的项目
[1569.56-1572.12] 我觉得值得我们来呃帮助的
[1572.12-1574.16] 那第一个就是美国经济政策的变化
[1574.16-1577.36] 那因为其实为什么我们讲说从去年
[1577.36-1578.92] 呃淡季不怎么淡
[1578.92-1579.96] 但是其实也不怎么
[1580.00-1581.60] 往相相对来讲
[1581.60-1583.24] 活动是越来越减少
[1583.24-1584.00] 然后呢
[1584.00-1585.84] 暑假算不是很淡
[1585.84-1587.00] 但是嗯
[1587.00-1588.80] 暑假过后没有往上跑
[1588.80-1590.32] 还往下掉啊
[1590.32-1590.88] 为什么呢
[1590.88-1594.08] 那我们觉得其实美美国的不确定性
[1594.08-1596.88] 政治上的不确定性可能是一个蛮重要的因素
[1596.88-1598.32] 那么因为川普总统
[1598.32-1601.36] 他说他这个绅士业在选举期间中
[1601.36-1602.12] 甚至越来越高
[1602.12-1607.04] 大家也会担心这后续的关税贸易等等的这些相关因素
[1607.04-1608.24] 尤其呢
[1608.24-1608.88] 呃
[1608.88-1609.84] 美国的
[1609.84-1611.64] 这样关税或是贸易政策
[1611.64-1615.08] 其实一定程度会影响到出口国的投资
[1615.08-1616.20] 所以呃
[1616.20-1619.56] 今天到底大家还要不要加强投资墨西哥
[1619.56-1621.56] 还要不要加强投资加拿大
[1621.56-1623.60] 这会是一个很重要的关键
[1623.60-1624.48] 那各位大概知道
[1624.48-1626.88] 那有些公司那就直接投资美国了
[1626.88-1628.32] 这也是一种做法
[1628.32-1629.68] 但是呢
[1629.68-1631.68] 不知道要去哪里投资的时候
[1631.68-1634.72] 其实对省庄船市场就是一个影响
[1634.72-1635.28] 因为呢
[1635.28-1639.48] 我们其实在运蛮多东西是跟固定资本形成是有关的
[1639.48-1640.52] 像这些水泥啊
[1640.52-1642.16] 钢材这类的
[1642.16-1643.96] 这类的这个原物料
[1643.96-1647.12] 它其实跟建设建造生产线有关系
[1647.12-1648.12] 机器设备
[1648.12-1651.44] 这也是省庄城会载运的货物
[1651.44-1652.40] 那这类的东西呢
[1652.40-1653.44] 就跟呃
[1653.44-1656.76] 侦探线的移动配置投资会有关系
[1656.76-1661.88] 那在一个经济情况比较不确定的情况下
[1661.88-1662.40] 嗯
[1662.40-1665.12] 一般来讲对省庄航船不会什么好消息
[1665.12-1669.36] 所以我们认为去年到下半从下半年开始的一个
[1669.48-1670.48] 景气低迷
[1670.48-1673.40] 多多少少跟美国的经济政策不稳定
[1673.40-1674.20] 有关系
[1674.20-1676.04] 所以大家认为没办法预测
[1676.04-1678.40] 那现在有没有比较好办法预测呢
[1678.40-1679.08] 这很难说
[1679.08-1683.84] 但是至少大家就是市场就是必须要做出决定
[1683.84-1684.84] 所以呢
[1684.84-1688.04] 我们从二月多多少少看到景气有些回升
[1688.04-1691.44] 那我想这个除了反映呃总体经济的
[1691.44-1694.28] 或是对政治情势的一个期待以外
[1694.28-1696.88] 它同时也是市场的特色啦
[1696.88-1698.64] 因为闪庄航运就是
[1698.64-1699.08] 你
[1699.08-1701.04] 你如果看到他很好啊
[1701.04-1702.32] 过段时间就会跌
[1702.32-1704.32] 然后你跌太久就会好
[1704.32-1707.64] 所以为什么疫情后大会航海王是怎样
[1707.64-1709.68] 为什么疫情后这么好
[1709.68-1712.04] 没有就是之前一段时间没有在
[1712.04-1716.04] 最后有一些就是一些贸易需要回来的时候呢
[1716.04-1717.76] 这个过渡的时期
[1717.76-1720.00] 其实我认为是会在的比较多的
[1720.00-1722.04] 就变成是在院集中了
[1722.04-1723.04] 对闪庄船是这样
[1723.04-1725.60] 我有时候讲一个像一个便当店的比喻
[1725.60-1728.20] 我这便当店就是只能卖十个人
[1728.20-1728.52] 那你
[1728.52-1730.80] 如果今天是十一点半十二点十点半
[1730.80-1731.80] 各五十个人来吃
[1731.80-1732.48] 那没有问题
[1732.48-1733.96] 就顺顺的产生很顺
[1733.96-1736.16] 但今天如果刚刚大家刚好是哎
[1736.16-1737.60] 在参加法国会十一点半
[1737.60-1739.32] 这没办法出来还在听吗
[1739.32-1741.24] 大家都挤在十二点
[1741.24-1742.72] 那一来一百五十个人
[1742.72-1744.36] 便当便当店都塞不下了
[1744.36-1746.36] 那正常的便当店当然就叫你排队
[1746.36-1749.52] 那有些像我们的闪庄便当店就是叫你喊价啦
[1749.52-1751.56] 喊价的时候有些人就愿意高价
[1751.56-1753.76] 所以我们觉得这种price hike
[1753.76-1757.44] 跟这样的运运输需求的集中
[1757.44-1758.36] 其实蛮有关系的
[1758.52-1761.84] 那所以在一段时间没有在在院的时候
[1761.84-1764.28] 有时候我们会看到这样的跳起来
[1764.28-1765.80] 当然不是绝对
[1765.80-1768.12] 所以呢各位看到像金融海啸之后
[1768.12-1771.28] 有一个长达一两年的这种这种萧条
[1771.28-1774.92] 那甚至于这个东西是到2015左右又来一次
[1774.92-1777.84] 那其实这种东西就跟产能过剩有关
[1777.84-1779.00] 那产能过剩的话
[1779.00-1781.72] 因为产能过剩的是传播一照出来
[1781.72-1782.68] 可能他就要营运
[1782.68-1784.92] 他的目标是营运二十年二十五年
[1784.92-1786.08] 可能他做不到那么久
[1786.08-1788.28] 但起码也可能有十年十五年
[1788.28-1789.44] 那这种过剩的产能
[1789.44-1792.36] 他在市场上都会烧低价
[1792.36-1796.00] 所以其实呢在金融海啸这一波前跟着
[1796.00-1798.32] 那金融海啸前这一波super cycle
[1798.32-1801.88] 整个因为中国的关系产装很大好
[1801.88-1804.20] 造成了很多造船厂进入市场
[1804.20-1806.56] 之后的这一波其实就是
[1806.56-1809.00] 长期就是在消化这些过多的产
[1809.00-1811.08] 这是产装船的状况
[1811.08-1813.08] 那么我们现在来讲的话
[1813.08-1814.88] 我们对产装船的中长期
[1814.88-1816.80] 就是认为是比较健康乐观的
[1816.80-1817.84] 因为呢
[1818.28-1819.20] 船舶运力并没有增加很多
[1819.20-1820.92] 船舶运力并没有增加很多
[1820.92-1822.36] 所以我们觉得在这情形下
[1822.36-1823.32] 我们觉得是健康
[1823.32-1825.20] 所谓的健康就是我们应该可以
[1825.20-1827.00] 期待一个普通的景气循环
[1827.00-1830.08] 不会说有一下烧的很低
[1830.08-1831.36] 因为产能过剩
[1831.36-1832.96] 那你要说一下减的很少
[1832.96-1835.40] 这个有一些因素可能会造成这个情形
[1835.40-1838.80] 那个我们稍后会再跟大家分享
[1838.80-1839.60] 那所以呢
[1839.60-1841.72] 我们想要产业再回到产业境况
[1841.72-1843.44] 就比较近期中期的情形
[1843.44-1846.20] 所以美国经济政策是不是能够比较稳定
[1846.20-1848.24] 让大家能够敢投资
[1848.28-1849.88] 这个当然是一个问题
[1849.88-1851.88] 第二个就是中国经济的部分
[1851.88-1853.56] 因为其实中国目前来讲
[1853.56-1856.32] 仍然是省庄船很重要的一个市场
[1856.32-1858.32] 进口很多东西
[1858.32-1859.16] 所以呢
[1859.16-1860.80] 它经济的稳定情况
[1860.80-1863.04] 其实跟省庄船还是有一定程度的关联
[1863.04-1865.76] 那我们觉得其实像2022
[1865.76-1868.16] 这个疫情后应该有一波
[1868.16-1868.92] 结果没有一波
[1868.92-1871.56] 这个跟中国的一个经济动作就有关系
[1871.56-1874.12] 尤其他这些地产开发商
[1874.12-1876.56] 有一段时间都传出来一些债务问题
[1876.56-1878.12] 这个对于
[1878.12-1881.52] 整个投资的信心也是有影响的
[1881.52-1882.60] 那从去年开始
[1882.60-1885.52] 中国提了很多更正新方案
[1885.52-1887.60] 那我们不是很确定说
[1887.60-1889.72] 这个效果怎么样
[1889.72-1892.04] 不过我想不论效果如何
[1892.04-1893.36] 中国经济的走向
[1893.36-1898.04] 对于省庄船的产业是会有影响的
[1898.04-1899.96] 所以这个也是值得关注
[1899.96-1903.00] 那这些相信各位都有自己的view了
[1903.00-1905.32] 我们来这个跟大家
[1905.32-1907.36] 这个
[1907.36-1907.96] lecture
[1908.12-1909.92] 那第三个部分的话
[1909.92-1913.04] 就是在国际比较主要的这种政治正经问题
[1913.04-1915.00] 包含俄乌战争以他战争
[1915.00-1916.32] 那么先讲以他战争
[1916.32-1918.20] 把单纯一点的好像说要停火了
[1918.20-1919.60] 他是不是要回复红海
[1919.60-1920.92] 还没有
[1920.92-1923.36] 因为这个就变成是政治上的这种状况
[1923.36-1924.12] 大家喊说
[1924.12-1924.28] 哎
[1924.28-1925.20] 听我没问题
[1925.20-1926.04] 回合平
[1926.04-1928.20] 结果结果刚刚走
[1928.20-1930.44] 不敢还是不敢走
[1930.44-1931.48] 所以呢
[1931.48-1933.76] 这个大家讲说以他战争完了以后
[1933.76-1935.52] 是不是红海开通啊
[1935.52-1936.48] 闪动行业要跌
[1936.48-1937.96] 这个也不见得了
[1938.12-1941.28] 因为其实大部分的时候红海都是可以走的
[1941.28-1942.92] 那当然有一段时间红海不能走
[1942.92-1945.28] 造成船舶要绕路
[1945.28-1946.32] 所以如果一旦通了以后
[1946.32-1947.08] 大家可能会觉得说
[1947.08-1947.24] 啊
[1947.24-1947.76] 那可以走了
[1947.76-1948.76] 很OK啊
[1948.76-1951.96] 这其实我想市场会慢慢调整回可以走的状况
[1951.96-1954.76] 我们也不是靠红海不能走才能够吃饭
[1954.76-1957.16] 所以我们觉得这个比他战争和平
[1957.16-1958.72] 我们还是非常乐见的
[1958.72-1959.76] 不会说哇
[1959.76-1960.76] 红海能走啊
[1960.76-1961.76] 很痛很惨
[1961.76-1964.28] 我是怎么也不需要这么悲观
[1964.28-1965.96] 然后另外一个大家会比较关切
[1965.96-1966.92] 就是俄乌战争啊
[1966.92-1968.08] 俄乌战争也打了三年了
[1968.12-1969.20] 后来一般停战啊
[1969.20-1970.52] 停战以后会发生什么事
[1970.52-1973.12] 那当然当初在俄乌战争开战的时候
[1973.12-1975.04] 对散装传了几个冲击
[1975.04-1976.04] 第一个就是呢
[1976.04-1977.84] 谷物的出口量减少了
[1977.84-1981.32] 那所以欧洲必须要从别的地方进口谷物
[1981.32-1982.48] 有点绕路
[1983.04-1983.84] 那但是呢
[1983.84-1986.92] 整体谷物量的这个这个这个这个进入口
[1986.92-1989.24] 可能会也会受到一些冲击飞掉
[1989.52-1991.48] 那不过还好就是
[1991.48-1995.24] 至乎在这三年来世界没有遭遇到很重大的粮食危机
[1995.40-1997.08] 那这个就是造成黑海
[1997.08-1998.08] 也要绕路
[1998.12-1999.28] 或者是不不不去啦
[1999.28-2000.44] 也没什么绕路不绕路
[2000.44-2002.16] 因为黑海不是主要航道
[2002.16-2005.24] 就是不能进黑海而已
[2005.24-2007.76] 那这个也是一直都发生
[2007.76-2010.92] 那现在俄乌战争如果有机会停战的话呢
[2010.92-2012.12] 那我们接下来就是说
[2012.12-2015.16] 哎可能这个粮食会回复物业出慢慢的
[2015.16-2017.84] 那再来大家会比较关心的就是一个重建的问题
[2017.84-2020.04] 因为灾后重建是必定会发生
[2020.04-2020.84] 不好意思
[2022.84-2024.08] 灾后重建是必定会发生
[2024.08-2026.00] 那我们现在没办法判断的东西是
[2026.00-2027.96] 时机跟规模的问题
[2028.12-2029.72] 到底这个事情什么时候会开始
[2029.72-2031.28] 规模会多大
[2031.28-2033.48] 这个其实是很难猜测
[2033.48-2035.72] 那我们能够推测的东西就是说一定要重建的
[2035.72-2037.12] 一定会用到钢材水
[2037.12-2038.32] 这类的东西
[2038.32-2038.92] 那所以呢
[2038.92-2041.44] 尤其在乌克兰很多港口
[2041.44-2044.40] 可能设施多少被破坏的情况下
[2044.40-2046.88] 我们也会认为中小型的船舶
[2046.88-2049.60] 可能在这个重建的这个商机里面
[2049.60-2052.36] 是会比较能够抢得先机的
[2052.36-2053.96] 当然不是说不会影响cap size
[2053.96-2056.04] 因为如果需要钢材的话呢
[2056.04-2057.20] 钢铁的产量要增加
[2057.20-2057.92] 钢铁产量要增加
[2058.12-2060.28] 就要运铁矿砂
[2060.28-2062.08] 铁矿砂大概就会用cap size
[2062.08-2063.64] 所以并不是没有关系
[2063.64-2065.68] 但如果要进黑海的话
[2065.68-2068.16] 传统而言cap size和panamix
[2068.16-2070.52] 并不是最重要的船型
[2070.52-2071.12] 对
[2071.12-2074.00] 因为黑海大部分的港口也并不是
[2074.00-2075.76] 规模那么大的
[2075.76-2078.40] 所以我觉得这个是二无三尊的一个
[2078.40-2079.76] 一个可能的演变
[2079.76-2081.04] 但是必须要再讲就是说
[2081.04-2082.64] 我们也没有觉得
[2082.64-2084.52] 因为二无三尊这种载荷重建
[2084.52-2085.96] 重建一定是要钱的
[2085.96-2087.20] 那钱从哪里来
[2087.20-2088.32] 要跟人家借
[2088.32-2092.24] 那乌克兰能够有多大的重建的
[2092.24-2094.44] capacity
[2094.44-2097.00] 能够有这么好的financial support吗
[2097.00-2099.44] 这个其实我们是目前是不确定的
[2099.44-2101.04] 所以我们也不会说二无三尊
[2101.04-2102.72] 说绝对是好得不得了
[2102.72-2106.20] 我想目前来看是有点言之过早
[2106.20-2108.88] 不过商机是在的
[2108.88-2112.20] 这个大概是我们对二无三尊的一个看法
[2112.20-2115.48] 但不会说接下来
[2115.48-2117.04] 然后马上紧急回到
[2117.20-2118.20] 二无三尊的一个预期
[2118.20-2122.64] 这个就对这个大概不至于这么快速
[2122.64-2123.56] 这样
[2123.56-2125.48] 那再来第四个就是相对来讲
[2125.48-2128.36] 大家比较不谈的是关于物价波动和货币政策
[2128.36-2130.80] 但其实我们认为一个比较高的货币政策
[2130.80-2132.12] 对于传播的投资
[2132.12-2134.48] 其实还是一个蛮大的影响
[2134.48-2135.60] 那所以呢
[2135.60-2137.44] 各国真货币政策
[2137.44-2139.32] 如果有比较大量的波动的话
[2139.32-2142.32] 其实对于贸易跟传播投资
[2142.32-2144.76] 都还是会有一定的影响
[2144.76-2147.16] 那当然这个对于各公司的整个
[2147.20-2149.32] 避险的策略
[2149.32-2150.60] 也必须要做出因应
[2150.60-2152.92] 但是看在散账行业里面来讲的话
[2152.92-2155.28] 其实比较高的利率
[2155.28-2156.60] 我们认为对市场
[2156.60-2158.00] 仍然是有一个业务的效果
[2160.12-2160.84] 好的
[2160.84-2162.24] 那以上是我们跟大家分享
[2162.24-2164.24] 觉得几个比较重要的产业进化
[2165.28-2168.44] 那这个是这几年来这个产业的走势
[2168.44-2170.12] 那各位看得到动得最快
[2170.12-2172.80] 最最最高的会跑得最高的这种就是cap size
[2172.80-2174.04] 那为什么大家觉得cap size
[2174.04-2175.52] 哇有时候可以长这么高
[2175.52-2176.52] 但是他第一个效应
[2176.52-2177.16] 其实他也是这样的
[2177.20-2179.88] 所以就刚刚讲到的时候
[2179.88-2180.92] 会倒挂的心情
[2180.92-2182.72] 因为cap size
[2182.72-2185.12] 他的在运的货物是比较单纯的
[2185.12-2186.16] 所以呢
[2186.16-2190.32] 他的景气受到这种单一货物的影响
[2190.32-2191.44] 会比较巨大
[2191.44-2193.04] 就是铁矿砂
[2193.04-2194.40] 偶尔会有煤矿
[2194.40-2195.44] 所以呢
[2195.44-2197.16] 他的其实市场是最不稳定
[2197.16-2199.08] 最近这段时间bdi长大
[2199.08-2201.84] 其实cap size就是有点带领的效果
[2201.84-2202.72] 很不错
[2202.72-2203.60] 乐见其成
[2203.60-2204.44] 不过呢
[2204.44-2206.52] 经营cap size的传统就要有这个心脏
[2206.52-2208.32] 去处理这些上上下下
[2208.32-2210.60] 有时候一天赔钱赔的金额还不早
[2210.60-2212.72] 不像我们大部分的做handy size
[2212.72-2214.96] 要到亏钱
[2214.96-2216.88] 那真的是市场相当不好才会
[2216.88-2219.52] 要不然他八九千其实我们都还是有利的
[2219.52-2226.80] 那这个是过去几年的一个非常走动
[2226.80-2229.28] 把切红1月到12月
[2229.28-2230.64] 大部分的情况下呢
[2230.64-2232.12] 就在中国年的时候会比较低
[2232.12-2233.00] 最低的时候
[2233.00-2234.00] 差不多就在这的时候
[2234.00-2235.20] 就是放假的时候
[2235.20-2236.00] 然后呢
[2236.52-2237.96] 传统也会低
[2237.96-2238.52] 但是呢
[2238.52-2238.80] 哎
[2238.80-2241.16] 有几周很高的时候就就不错
[2241.16-2244.04] 就像这个这个2021年啊
[2244.04-2244.72] 整个就很不错
[2244.72-2245.24] 往上走
[2245.24-2247.16] 这个这一年就淡季不淡
[2247.16-2248.32] 所以我都看到淡季不淡
[2248.32-2249.44] 我们都蛮高兴的
[2249.44-2249.76] 可是呢
[2249.76-2252.04] 有时候淡季不淡也不是那么的
[2252.04-2253.28] 又不是那么的理想
[2253.28-2255.60] 因为像2024年是淡季不淡
[2255.60-2256.84] 你看没有没有往下掉
[2256.84-2257.88] 他是平稳的
[2257.88-2259.96] 可是之后也不好不好
[2259.96-2261.68] 所以也是有这种状况
[2261.68-2265.88] 因为我们只能说我们刚跟大家分享散装市场这个季节性
[2266.52-2267.36] 是一个很好的因素
[2267.36-2269.60] 但绝对没有说市场就是要这样走
[2269.60-2271.92] 我相信这跟资本市场是同样的道理
[2271.92-2275.56] 就是我们可以依照我们的经验跟各位投资人分享一些
[2275.56-2278.52] 市场分析的就是市场长线的这些季节性
[2278.52-2283.68] 但是当有更重要的因素在对市场产生影响的时候
[2283.68-2284.64] 我们
[2284.64-2286.60] 自己也预测也常会失准
[2286.60-2287.84] 不过到目前为止的话
[2287.84-2288.68] 这个二月不好
[2288.68-2290.00] 然后之后往上走
[2290.00-2293.88] 这个这个这个这个这几年大概都是有这个状况
[2293.88-2295.08] 那会走到哪边呢
[2295.08-2296.08] 就要看造化
[2296.08-2297.56] 一般来讲都到四五月
[2297.56-2298.44] 这边会有一个
[2298.44-2300.08] 然后可能五月整理一下
[2300.08-2301.12] 然后有机会往上
[2301.12-2302.88] 但是也往下的
[2302.88-2305.16] 所以没办法跟大家保证说啊
[2305.16-2305.48] 有了
[2305.48-2307.92] 我们要复制这个2021年区限
[2307.92-2311.48] 这个这个是目前还研制过早
[2311.48-2314.16] 影响趋势的话
[2314.16-2317.12] 请看上一张上上两张slide
[2317.12-2319.60] 那接下来跟大家稍微分享一下这传播的情况
[2319.60-2321.20] 我们这边都提供一些呢
[2321.20-2325.48] 长期来讲这个产业的一些我们找得到的数据
[2325.48-2327.44] 必须要跟大家报告的传播呢
[2327.44-2328.88] 我们没有imf
[2328.88-2331.44] 也没有这种什么world bank去说啊
[2331.44-2333.12] 你这个要报起交船
[2333.12-2337.92] 各国对于这个传播的这个订单的回报也不是很正确
[2337.92-2338.44] 所以呢
[2338.44-2341.08] 我们这个这个东西有时候就需要一些观察了
[2341.08-2342.96] 就是他到底准不准
[2342.96-2344.48] 交出来的船有多少
[2344.48-2344.68] 哎
[2344.68-2345.48] 大概是准
[2345.48-2347.88] 因为IMO有资料库
[2347.88-2350.08] 这个应该应该是比较正确
[2350.08-2352.32] 但是针对还没造出来的新船
[2352.32-2353.64] 到底会不会成真
[2353.64-2355.12] 这个就会有一点
[2355.12-2355.44] 这个
[2355.48-2356.76] 不确定性
[2356.76-2358.56] 因为我们的土地数据是
[2358.56-2361.96] 没有那么的是具有公信力
[2361.96-2363.76] 这个政府机关啊
[2363.76-2365.28] 这个土地处都有在记得
[2365.28-2366.60] 没有办法这样子
[2366.60-2368.60] 所以有些就要靠broker的这种
[2368.60-2370.92] 打探调查
[2370.92-2372.20] 那就有一些差异
[2372.20-2374.84] 那各位看得到呢
[2374.84-2377.24] 这个整体的是世界这个
[2377.24-2380.08] 如果我们跟这种船行比较主要的船行的话
[2380.08-2381.72] 大概来讲的话
[2381.72-2385.12] 这个20年以上的船舶比较多的
[2385.12-2387.56] CAPSYS20年以上的船就比较少
[2387.56-2391.44] 那PALAMAX跟HANDYSYS相对来说大概15%左右
[2391.44-2393.52] 那可是如果我们再看新船的话呢
[2393.52-2396.00] PALAMAX的新船大概也是15%
[2396.00-2398.12] 这可能就是未来三年也许会交的
[2398.12-2400.40] 这个20年以上的船几年会把它scribe掉
[2400.40-2401.52] 是不一定的
[2401.52-2402.48] 三到五年
[2402.48-2404.44] 我这个这个比较难讲
[2404.44-2405.72] 因为跟试矿有关系
[2405.72-2408.40] 试矿好的时候就大家就不拆船
[2408.40-2410.44] 试矿差了之后就毛起来拆
[2410.44-2411.84] 所以这很难说
[2411.84-2413.92] 但是这是一个Quest的
[2413.92-2414.24] 这个是一个Quest出口的
[2415.12-2417.76] 这个出生率死亡率的概念
[2417.76-2418.84] 那HANDYSYS的话
[2418.84-2422.48] 这个未来几年出生率可能就相对来说是这么高
[2422.48-2427.52] 所以我们觉得HANDYSYS虽然不是一个很Sexy的
[2427.52-2429.00] 一下大涨
[2429.00-2429.60] 真的那么好
[2429.60-2431.20] 但是其实长期来讲
[2431.20-2432.56] 我们觉得它的竞争力
[2432.56-2435.28] 对于提供公司一个稳定的现金流来讲
[2435.28-2436.40] 还是很不错的
[2436.40-2439.00] 那所以我们目前的新造船订单
[2439.00-2441.60] 有11艘都集中在HANDYSYS
[2441.60-2445.08] 我想这个也是因应这样的市场的一种
[2445.12-2447.40] 策略性的选择
[2447.40-2449.52] 因为我们这个其实订单的状况
[2449.52-2453.68] 没我刚刚讲我们这个是都是有累积历史记录
[2453.68-2457.04] 那各位会去看我们这个比如说七八年前的
[2457.04-2458.40] 长得就不一样
[2458.40-2461.52] 当时就SUPRA 跟着这个PANAMAX
[2461.52-2462.80] TAMSAT这一块很多
[2462.80-2464.76] SUPRA也有HANDYSYS也比较少
[2464.76-2469.04] 所以这个也是多多少少反映我们对现在对市场的一个View
[2469.04-2472.92] 跟船厂之间合作的一个关系
[2472.92-2474.88] 这样
[2475.12-2476.60] 好的
[2476.60-2477.84] 那接下来传播视光
[2477.84-2482.60] 如果就这个刚刚分享的这种新造船的订单
[2482.60-2484.28] 跟20年这个数字来讲
[2484.28-2486.64] 大家可以各位可以做个参考
[2486.64-2490.28] 那这几年其实新造船的订单基本上还是有增加
[2490.28-2493.92] 所以早期几年我们会觉得说这个缺口很大
[2493.92-2495.60] 所以像之前2021年的时候
[2495.60-2498.32] HANDYSYS这个看起来数字在2.8
[2498.32-2500.00] 现在其实已经涨的蛮快
[2500.00-2503.04] 但是大概来讲还是一个健康的
[2503.04-2504.32] 整体而言
[2504.32-2505.08] 平均的
[2505.12-2508.12] 造船量跟老船量
[2508.12-2513.12] 预略是相当没有说有很明显的
[2513.12-2517.60] 哪一边比较大哪一边比较小
[2517.60-2520.04] 那不过因为
[2520.04-2521.52] 有一些近期的订单
[2521.52-2522.92] 可能像2023年订的
[2522.92-2524.88] 也许都要26 27 25
