[0.00-4.00] 各位投資先進
[1890.44-1893.44] 目前也有很多東西都在太舊換期
[1893.44-1897.44] 因為它也是超過50年的設備也蠻多的
[1897.44-1900.44] 所以這個部分除了台鐵
[1900.44-1902.44] 那其實我們最近
[1902.44-1906.44] 又接到板藍線的一些整流變壓器
[1906.44-1909.44] 因為變壓器的壽命大概是20年
[1909.44-1912.44] 那其實最早這一條板藍線
[1912.44-1914.44] 其實它已經運轉
[1914.44-1916.44] 已經超過20年
[1916.44-1919.44] 所以我們現在陸續接到幾個
[1919.44-1921.44] 幾個站
[1921.44-1924.44] 它已經都陸續要更換它的變壓器
[1929.44-1931.44] 那第六是開拓不外市場
[1931.44-1935.44] 除了強化現有經銷商體系
[1935.44-1938.44] 包括歐美東南亞還有南非
[1938.44-1941.44] 那針對東南亞新興市場基礎建設
[1941.44-1942.44] 也是需求優勢
[1942.44-1944.44] 本公司將成長經驗
[1944.44-1947.44] 以及具競爭優勢的產品技術
[1947.44-1949.44] 如電力開關器材
[1949.44-1950.44] 磨碩型電壓器
[1950.44-1952.44] 太陽光電變流器
[1952.44-1955.44] 微電網儲能設備
[1955.44-1958.44] 電動大巴電動車軌道用充電桩
[1958.44-1962.44] 充電用充電器及系統整合的技術
[1962.44-1965.44] 透過當地金家代理或策略聯盟的方式
[1965.44-1968.44] 快速運轉創造商機
[1968.44-1971.44] 另外美國的基礎建設商機
[1971.44-1972.44] 對於充電設備也有
[1972.44-1975.44] 廣大太空換氣的需求
[1975.44-1978.44] 這個部分也要積極的把握
[1978.44-1980.44] 那其實美國
[1980.44-1982.44] 因為這個部分
[1982.44-1984.44] 有些有些
[1984.44-1986.44] 算是投資人
[1986.44-1988.44] 他其實之前有打電話來問
[1988.44-1989.44] 他意思就是說
[1989.44-1992.44] 我們美國好像做的很少
[1992.44-1994.44] 那其實我後來去查資料
[1994.44-1996.44] 我發現其實我們
[1996.44-2000.44] 美國市場我們1991年就有做過
[2000.44-2002.44] 我們是有賣
[2002.44-2007.44] 一整批配電盤賣到美國伯克萊大學
[2007.44-2010.44] 那時候也是賣上億的一些
[2010.44-2012.44] 那個配電盤
[2012.44-2014.44] 另外還有
[2014.44-2017.44] 大概10年前我們在關島
[2017.44-2019.44] 關島的電廠有個電廠
[2019.44-2022.44] 整廠的太舊換新我們也有做過
[2022.44-2025.44] 那個那時候交的那個case大概
[2025.44-2030.44] 交了配電盤電壓器大概交了3億多
[2030.44-2032.44] 整個整廠建制完以後
[2032.44-2035.44] 我們就派一組工程師去那邊
[2035.44-2038.44] 教導怎麼使用怎麼maintain
[2038.44-2042.44] 那到目前為止都沒有額外的
[2042.44-2043.44] 一些問題發生
[2043.44-2046.44] 我們也不用派人去service
[2046.44-2048.44] 因為他如果有點問題
[2048.44-2051.44] 我們只要寄一些零附件過去
[2051.44-2053.44] 他們就可以自己做回一些
[2053.44-2057.44] 因為他們電廠本身也是有專業的技術人員
[2057.44-2060.44] 所以這邊大概稍微補充一下
[2060.44-2062.44] 其實業務處長他
[2062.44-2063.44] 知道的更多
[2063.44-2065.44] 因為我那些是跟他挖過來的
[2065.44-2069.44] 那些信息是他後來提供給我
[2069.44-2073.44] 那我的部分就報告到此
[2073.44-2076.44] 接下來我們
[2076.44-2078.44] 有一個成品的介紹嗎
[2078.44-2079.44] 沒有沒關係
[2079.44-2080.44] 那個比較好
[2080.44-2082.44] 那我OK
[2084.44-2087.44] 那接下來由我們那個業務處長
[2087.44-2090.44] 他針對他接觸比較多的業務訊息
[2090.44-2092.44] 可以跟大家
[2092.44-2094.44] 分享一下
[2095.44-2097.44] 好各位先進大家
[2099.44-2103.44] 我是在去年才剛升任業務這邊
[2103.44-2105.44] 然後在去年之前
[2105.44-2106.44] 我都是在工廠
[2106.44-2108.44] 我是負責管理工廠的部分
[2108.44-2111.44] 所以工廠的產品設計生產
[2111.44-2113.44] 我都還蠻熟悉的
[2113.44-2115.44] 這裡順便跟大家來報告
[2115.44-2117.44] 我跟各位講一下
[2117.44-2119.44] 他其實是廠長
[2119.44-2120.44] 廠長轉任業務
[2120.44-2122.44] 所以這個技術他就是
[2122.44-2124.44] 他應該都很內耳
[2124.44-2125.44] 好
[2125.44-2128.44] 那剛剛我們那個處長有跟大家報告了
[2128.44-2130.44] 我們亞利的業績
[2130.44-2134.44] 幾乎40%以上都靠台電
[2134.44-2137.44] 所以說我們對台電的動向
[2137.44-2138.44] 台電的方向
[2138.44-2139.44] 台電的做法
[2139.44-2141.44] 我們非常的關切
[2141.44-2145.44] 那大家可能也非常的注意台電的方向
[2145.44-2148.44] 那我們對未來發展也順便大家來
[2148.44-2150.44] 向大家來報告說明
[2150.44-2151.44] 那因為
[2151.44-2156.44] 因應台電強韌計畫提早大概4年完成
[2156.44-2159.44] 那所以說很多的配電開關
[2159.44-2161.44] 材料還有工程
[2161.44-2165.44] 那目前台電也是非常積極的在執行當中
[2165.44-2167.44] 那我們亞利也是
[2167.44-2170.44] 一直配合台電來趕工
[2170.44-2172.44] 算是趕工啦
[2172.44-2174.44] 而且接訂單
[2174.44-2176.44] 那另外就是
[2176.44-2179.44] 我們亞利比較比較focus在
[2179.44-2182.44] 中壓配電機的開關裡面
[2182.44-2184.44] 尤其是自動化開關
[2184.44-2187.44] 比如說自動化地下四路環路開關
[2187.44-2189.44] 或地下二路環路開關
[2189.44-2190.44] 自動化開關
[2190.44-2192.44] 還有架空的開關
[2192.44-2195.44] 就是我們比較專注的地方
[2195.44-2198.44] 另外就是變壓器
[2198.44-2199.44] 油濕變壓器
[2199.44-2202.44] 感上型跟停滯式變壓器等等
[2202.44-2204.44] 那另外一個就是GIS
[2204.44-2206.44] 所謂GIS就是
[2206.44-2207.44] 絕緣氣體
[2207.44-2209.44] 氣體絕緣那個開關機
[2209.44-2211.44] 就是電源開關設備
[2211.44-2215.44] 然後我們不只是在
[2215.44-2217.44] 自動化開關裡面非常的專注
[2217.44-2220.44] 而且配合台電強韌計畫
[2220.44-2223.44] 目前接單的數量都有穩定的成長
[2223.44-2226.44] 那另外就是
[2226.44-2228.44] 這個產品呢
[2228.44-2230.44] 就是剛剛詹處長有提到
[2230.44-2233.44] 我們在陽梅廠新蓋了一個電材大樓
[2233.44-2234.44] 電材廠
[2234.44-2237.44] 那我們就是focus在這一系列產品
[2237.44-2238.44] 所以目前
[2238.44-2240.44] 我們在台電的生產的效能
[2240.44-2243.44] 效率品質都非常的穩定
[2243.44-2245.44] 那另外
[2245.44-2247.44] 另外一項就是
[2247.44-2249.44] 後續更積極的開發
[2249.44-2251.44] 所謂的ECO的開關
[2251.44-2255.44] 就是說我們目前生產都是SFU氣體絕緣
[2255.44-2258.44] 那目前我們正在研發所謂的ECO
[2258.44-2264.44] 就是環保氣體的那個絕緣的自動化開關
[2264.44-2266.44] 這是後續未來的一個市場
[2266.44-2268.44] 那台電
[2268.44-2271.44] 有釋出一些所謂的政策
[2271.44-2273.44] 那依據明年
[2273.44-2275.44] 產品會
[2275.44-2276.44] 會發展出來
[2276.44-2278.44] 然後會陸續的來生產
[2278.44-2281.44] 這是我們後續的一個發展的重點
[2281.44-2284.44] 那另外就是
[2284.44-2286.44] 不只是台電強韌計畫之外
[2286.44-2291.44] 它還有一個所謂的超耐熱鋼芯理線的建制
[2291.44-2293.44] 因為
[2293.44-2297.44] 現在台灣的用電都是需要靠藍電北送
[2298.44-2303.44] 但是它一些高壓鐵塔沒辦法增設
[2303.44-2308.44] 只能夠增加所謂的輸送電源電量
[2308.44-2310.44] 來增加這個藍電北送的能量
[2310.44-2314.44] 但是他們後來採用日本的方式
[2314.44-2315.44] 我們所有導線
[2315.44-2317.44] 所有舊導線全部換掉
[2317.44-2320.44] 換成所謂的超耐熱鋼芯理線
[2320.44-2323.44] 那跟大家報告一下
[2323.44-2326.44] 這個超耐熱鋼芯理線呢
[2326.44-2328.44] 它的設計
[2328.44-2330.44] 它的抗髒強度
[2330.44-2331.44] 比較強
[2331.44-2333.44] 而且重量輕
[2333.44-2335.44] 而且尺度小尺度低
[2335.44-2337.44] 而且可以
[2337.44-2339.44] 送所謂的
[2339.44-2342.44] 舊導線的1.6倍到2倍的容量
[2342.44-2344.44] 這個等於是說
[2344.44-2347.44] 你不用再多建制高壓鐵塔
[2347.44-2349.44] 就可以輸送兩倍的電量
[2349.44-2351.44] 這個針對
[2351.44-2354.44] 所謂的藍電北送的功用非常的有幫助
[2354.44-2356.44] 那我們亞利也是focus在這個
[2356.44-2358.44] 然後我們所謂的配件的部分
[2358.44-2359.44] 全部要更換
[2359.44-2361.44] 那再跟大家報告
[2361.44-2366.44] 它這個整個線路是有13353公里
[2366.44-2369.44] 那總共約有2萬座的鐵塔
[2369.44-2371.44] 配件的需求
[2371.44-2374.44] 將近有120萬個
[2374.44-2377.44] 這120萬個就只是所謂的
[2377.44-2380.44] 副導體跟四導體的間隔器
[2380.44-2382.44] 那目前在台灣
[2382.44-2384.44] 所謂的副導體跟四導體間隔器
[2384.44-2386.44] 也是只有亞利我們有的
[2386.44-2388.44] 有資格來懲治
[2388.44-2391.44] 因為我們是經過台電的認可認證的
[2391.44-2393.44] 一家公司
[2393.44-2395.44] 那另外就是
[2395.44-2397.44] 再跟大家報告就是
[2397.44-2399.44] 反路開關也是我們亞利
[2399.44-2401.44] 目前focus的一個產品
[2401.44-2403.44] 那這反路開關用在哪裡
[2403.44-2406.44] 就用在所謂的太陽能暗場
[2406.44-2407.44] 儲能暗場
[2407.44-2409.44] 跟反路暗場所要用
[2409.44-2411.44] 智慧化的一個開關
[2411.44-2414.44] 然後另外就是變壓器
[2414.44-2417.44] 那我們在去年也建置了
[2417.44-2420.44] 變壓器二廠也是已經使用了
[2420.44-2423.44] 那目前就是focus在
[2423.44-2425.44] 科技廠的變壓器
[2425.44-2427.44] 使用的生產場地
[2427.44-2429.44] 甚至台電的變壓器
[2429.44-2431.44] 也會在這個廠裡面來生產
[2431.44-2434.44] 然後尤其是
[2434.44-2437.44] 乾式磨做變壓器也是我們亞利的專業
[2437.44-2440.44] 跟我們的強項的項目
[2440.44-2443.44] 主要也是主推在所謂的半導體廠
[2443.44-2445.44] 的那個乾式變壓器
[2445.44-2447.44] 包括低壓的中壓的
[2447.44-2450.44] 幾乎都是我們亞利在自交
[2450.44-2452.44] 所以剛剛處長會講
[2452.44-2454.44] 很多外銷美國的
[2454.44-2456.44] 甚至日本的甚至德國的
[2456.44-2459.44] 我們都一直在運作當中
[2459.44-2461.44] 那另外
[2461.44-2465.44] 變壓器也聚焦在中壓36kV以下
[2465.44-2467.44] 那尤其是油濕變壓器
[2467.44-2470.44] 特別是節能的費金子變壓器也好
[2470.44-2472.44] 軌道用的整流器
[2472.44-2474.44] 整流變壓器
[2474.44-2476.44] 還有儲能用的特殊型變壓器
[2476.44-2479.44] 也是跟國內知名大廠的合作
[2479.44-2482.44] 這也是後續未來發展的一個
[2482.44-2485.44] 這個是真的是可以擴展
[2485.44-2488.44] 所謂的國際市場
[2488.44-2491.44] 另外就是尤其剛剛講的
[2491.44-2494.44] 我們變壓器中壓的是不是有取得
[2494.44-2496.44] 台電的資格
[2496.44-2497.44] 這個跟大家報告
[2497.44-2499.44] 我們已經通過定型試驗
[2499.44-2502.44] 然後預計我們明年就會陸續開始進行
[2502.44-2503.44] 節單
[2503.44-2505.44] 那跟大家報告
[2505.44-2508.44] 台電目前強韌計畫說
[2508.44-2509.44] 變壓器都要更換
[2509.44-2510.44] 它一年
[2510.44-2512.44] 那應該是兩年
[2512.44-2516.44] 大約使用到將近200億的變壓器
[2516.44-2520.44] 大家可能知道這個市場有多大
[2520.44-2521.44] 好
[2521.44-2523.44] 那剛剛有提到
[2523.44-2525.44] 另外就是GIS的部分
[2525.44-2528.44] 那我們大概今年
[2528.44-2532.44] GIS的接單量也是有持續成長
[2532.44-2535.44] 而且我們在開發所謂的
[2535.44-2538.44] 環保型的ECO-GIS
[2538.44-2540.44] 已經積極進行研發
[2540.44-2541.44] 我們預計也是明年
[2541.44-2543.44] 明年能夠產品能夠上市
[2543.44-2545.44] 能夠來生產
[2545.44-2548.44] 那各位可能有聽到一些訊息
[2548.44-2551.44] 就是同業之間對這個有focus
[2551.44-2552.44] 在運作
[2552.44-2555.44] 其實每個廠家都一樣
[2555.44-2556.44] 就像鴨子划水一樣
[2556.44-2559.44] 大家都各自努力
[2559.44-2561.44] 那另外就是剛剛講的STAKE-ON-GIS
[2562.44-2564.44] STAKE-ON的那個
[2564.44-2566.44] 靜態同步補償器
[2566.44-2569.44] 那這個案子是我們跟國外技術合作
[2569.44-2571.44] 那這案子非常的大
[2571.44-2573.44] 我們已經接了一個案子大概20億
[2573.44-2576.44] 今年預估
[2576.44-2579.44] 會接到最少一個案子
[2579.44-2581.44] 然後剛剛處長也提了
[2581.44-2583.44] 大概大概有25億左右
[2583.44-2586.44] 然後明年我們也會繼續再接
[2586.44-2589.44] 然後這個供期大概都是
[2589.44-2591.44] 兩年到三年
[2591.44-2594.44] 那我們也積極跟國外技術合作
[2594.44-2595.44] 那我們也要提供
[2595.44-2598.44] 我們要所謂提高自製力
[2598.44-2599.44] 在國內生產
[2599.44-2602.44] 甚至如果穩定生產的話
[2602.44-2603.44] 我們甚至可以外銷
[2603.44-2606.44] 這個是一個很大的一個商機
[2606.44-2609.44] 那尤其是STAKE-ON的部分
[2609.44-2610.44] 剛剛也提了
[2610.44-2615.44] 在目前施做的三個廠家當中
[2615.44-2616.44] 四個廠家當中
[2616.44-2619.44] 我們亞利的績效是最好
[2619.44-2620.44] 最受台電
[2621.44-2623.44] 是最擅長的
[2623.44-2626.44] 那另外的話
[2626.44-2627.44] 還有很多
[2627.44-2630.44] 要表示很多一些工程
[2630.44-2631.44] 那個工程部分
[2631.44-2634.44] 我就不在這邊多做贅述了
[2634.44-2635.44] 那剛剛有提了
[2635.44-2638.44] 為什麼我們去年營業額比較低
[2638.44-2643.44] 但是獲利有上升
[2643.44-2648.44] 主要還是因為自家的產品產線比較多
[2648.44-2650.44] 所謂的自製率提高
[2650.44-2652.44] 所以剛剛講的一些研發的方向
[2652.44-2654.44] 新產品開發的方向
[2654.44-2658.44] 也是我們後續亞利發展的一個重心跟重要
[2658.44-2660.44] 再把以上補充報告
[2660.44-2661.44] 謝謝
[2664.44-2665.44] 各位先進
[2665.44-2668.44] 我們的報告大概就到此
[2668.44-2672.44] 接下來就是可以做雙方雙向的溝通
