[0.00-14.00] OK Good afternoon everyone and welcome to the Lotus Pharmaceuticals 2024 Ernst Co.
[14.00-20.00] This is Yoling from Corporate Communication of Lotus and thank you for joining us today.
[20.00-28.00] So on today's call, we are pleased to have our CEO Petah and our group CFO Beata here with us.
[28.00-37.00] They will provide insight into a strong result we have achieved in 2024 and share updates on the progress of our team initiatives.
[37.00-50.00] So we encourage you to submit any questions you may have through the online platform and anytime you read the code, then I will read your questions to management during the Q&A session.
[50.00-57.00] So now I'd like to turn the code over to Petah who will begin with an overview of the 2024.
[57.00-58.00] Petah, please.
[58.00-72.00] Thank you and good afternoon also from me. Good afternoon to all shareholders attending the meetings as well as everyone else interested in Lotus Pharmaceuticals.
[72.00-78.00] And special thanks to our hosts from Uanta for organizing the event.
[78.00-83.00] Agenda for today we have three sections in our presentation.
[83.00-87.00] I'll start first with the business highlights for last year obviously.
[87.00-88.00] And then we will go through the business highlights for the next year.
[88.00-94.00] And then we will continue with more in depth information on the financials for 2024.
[94.00-101.00] And then I will finish presentation with the business outlook for 2025.
[101.00-105.00] And this will be followed by Q&A section.
[105.00-110.00] So starting with the business highlights for 2024.
[110.00-117.00] I'm very happy to have the opportunity to report today that Lotus has delivered amazing in case.
[117.00-122.00] Amazing results for 2024.
[122.00-128.00] So 2024 has been so far the best year in our history.
[128.00-137.00] So for the six consecutive year we have delivered double digit growth both on the top line as well as on the earnings.
[137.00-143.00] Last year in 2024 we reached out revenue of 18.6 billion US dollars which is representing 10% in real growth.
[143.00-146.00] And we have also achieved a lot of growth in the last year.
[146.00-157.00] And EPS of 19.35 which is representing 23% year on year growth.
[157.00-165.00] We have also finished year with significant amount of cash.
[165.00-172.00] 6 billion NT dollars and also a similar amount in committed borrowing capacity.
[172.00-175.00] The company is average less than 1.5 billion US dollars.
[175.00-186.00] And with a bit of margin of 40%-42% which is on the higher side for the industry compared to industry peers.
[186.00-197.00] This everything provides very strong foundation for future growth which I would like to highlight here will come not only organically through growing existing business as well as launching internally developed product but inorganically.
[197.00-199.00] And then in the next two years we will also be able to expand our business.
[199.00-201.00] So I would like to say thank you very much to all of you for your hard work.
[201.00-202.00] Thank you very much.
[202.00-203.00] Thank you very much.
[203.00-204.00] Thank you.
[205.00-206.00] We have also achieved a lot of growth in the last eight years.
[206.00-208.00] Judging from the Sciences and Water Resources analysis,
[208.00-210.00] we achieved huge growth in both management and products.
[210.00-211.00] With a lot of entries into banking applications,
[211.00-215.00] vitamins and Kindle,
[215.00-216.00] d estrements,
[216.00-217.00] paddy synthesis,
[217.00-218.00] meters,
[1695.62-1698.62] 这是一大3.5%增长
[1698.62-1700.62] 这是一大3.5%增长
[1700.62-1702.62] 这是一大3.5%增长
[1702.62-1705.62] 这增长是由于有适合的产品混合而引发的
[1705.62-1707.62] 这增长是由于有适合的产品混合而引发的
[1707.62-1710.62] 以下是我们在亚洲的品牌成本
[1710.62-1712.62] 以及在美国和其他国际市场中的
[1712.62-1713.62] 以及在美国和其他国际市场中的
[1713.62-1715.62] 专业产品的产品成本
[1715.62-1718.62] 我们看到了低价品的利润
[1718.62-1720.62] 我们看到了低价品的利润
[1720.62-1723.62] 例如美国的Generic Suboxone
[1723.62-1726.62] 和其他产品的Generic Suboxone
[1726.62-1728.62] 和其他产品的Generic Suboxone
[1728.62-1730.62] 在亚洲的产品中
[1730.62-1736.62] 共有4.9亿台湾币
[1736.62-1738.62] 共有4.9亿台湾币
[1738.62-1740.62] 共有9%的年度增长
[1740.62-1742.62] 半个增长是由于
[1742.62-1744.62] 负面质量的负面质量
[1744.62-1746.62] 负面质量的负面质量
[1746.62-1748.62] 而另一半是由于
[1748.62-1750.62] 增加的负面质量
[1750.62-1752.62] 和前期的R&D投资
[1752.62-1754.62] 和前期的R&D投资
[1754.62-1756.62] 这些R&D投资包括
[1756.62-1758.62] 现在的负面质量
[1758.62-1760.62] 和现在的负面质量
[1760.62-1763.62] 和现在的R&D投资包括
[1763.62-1765.62] 之前的NRX101项目
[1765.62-1767.62] 本来是5500B2R&D的项目
[1767.62-1769.62] 本来是5500B2R&D的项目
[1769.62-1771.62] 我们决定推广
[1771.62-1772.62] 前年最高的
[1772.62-1774.62] 最高的药物注射
[1774.62-1776.62] 我们决定推广
[1776.62-1778.62] 前年最高的药物注射
[1778.62-1780.62] 所以虽然有增长
[1780.62-1782.62] 但成本仍然是26%
[1782.62-1784.62] 而成本仍然是26%
[1784.62-1786.62] 就像在2023年期间
[1786.62-1788.62] 但是以目前的情况
[1788.62-1789.62] 仍然有增加
[1789.62-1803.60] Rising from twenty nine percent in twenty twenty three to thirty two percent in twenty twenty four supported by our focus on the higher margin products as well as discipline cost management.
[1804.32-1805.76] On the non operating side,
[1805.76-1815.30] and that financing cost decreased about eleven percent from five hundred and twenty six million in twenty twenty three to four hundred and sixty nine million in twenty four,
[1816.20-1821.60] primarily due to higher interest income from a significantly larger cash position.
[1822.42-1834.00] So other gains increased about eleven percent driven by investment income as well as favorable foreign exchange movements between the US dollars and the
[1834.14-1835.32] Hellene's dollars.
[1835.56-1835.74] And
[1835.76-1840.68] the company's effective tax rate remains stable at around twenty percent.
[1840.68-1841.88] So overall,
[1841.88-1848.00] that earnings grew twenty three percent to approximately five billion dollars,
[1848.00-1853.88] translating to an EPS of nineteen point thirty five.
[1853.88-1861.14] And the board has recommended a cash dividend of five point seventy three per share,
[1861.14-1865.56] up from the four point sixty six per share last year.
[1865.56-1871.38] Representing a year year increase of twenty three percent on cash dividend.
[1871.38-1877.52] And the total dividend payout is estimated to be approximately one point five billion dollars,
[1877.52-1881.80] or about thirty percent of last year's net profit.
[1881.80-1888.16] And the remainder will be retained to fund future positions,
[1888.16-1890.42] expanding our global footprints,
[1890.42-1893.78] investing facilities and R and D,
[1893.78-1894.88] and of course,
[1894.88-1895.36] reserved for the future.
[1895.36-1897.36] So that's the
[1897.36-1905.92] those that is all aligned with our consistent dividend policy of the past few years.
[1905.92-1912.12] And the average yield of the proposed dividend is one point.
[1912.12-1912.42] Sorry,
[1912.42-1920.36] two point one two percent comparing with one point sixty five percent last year.
[1920.36-1923.02] We'll be on to the next slide.
[1923.02-1925.16] So now let's take a closer look.
[1925.16-1927.16] At our revenue and twenty twenty four.
[1927.16-1928.16] So in Asia,
[1928.16-1930.16] our business grew by about five percent overhaul.
[1930.16-1936.16] Korea added about one hundred and sixty four million in revenue,
[1936.16-1940.16] reflecting approximately three percent growth.
[1940.16-1947.16] Key brands in Korean marketplace show very strong momentum,
[1947.16-1951.16] and with QC mere growing almost thirty seven percent year over year,
[1951.16-1953.16] and mercy loan up forty two percent and a VC growth of forty two percent.
[1953.16-1954.16] So we're looking at a three percent growth.
[1954.16-1955.16] And a Vista,
[1955.16-1959.16] which is also process friends rising about twenty five percent.
[1959.16-1960.16] However,
[1960.16-1966.16] this was partially offset by lower revenue for commodity generics,
[1966.16-1969.16] as well as income from the royalties and licensing.
[1969.16-1972.16] So as well,
[1972.16-1982.16] the depreciation of Korean won against Taiwan dollars had the fact of muting the growth in terms of reported currency,
[1982.16-1983.16] which is Taiwanese dollars.
[1983.16-1984.16] So,
[1984.16-1985.16] in Taiwan,
[1985.16-1987.16] our domestic business grew about four percent,
[1987.16-1992.16] reaching approximately two point five billion in twenty twenty four.
[1992.16-1999.16] About sixty eight percent of Taiwan's revenue now came from brand products such as CLS,
[1999.16-2000.16] Cluster,
[2000.16-2002.16] Linta and so on,
[2002.16-2007.16] while the generics made about the remaining one third of for the revenue.
[2007.16-2012.16] Our brand portfolio grow approximately zero point three percent,
[2012.16-2014.16] and the main reason was the price.
[2014.16-2018.16] Erosion on Linta offsetting growth in other segments,
[2018.16-2023.16] including the growth in a cluster of process and the Zip,
[2023.16-2024.16] Zelka,
[2024.16-2030.16] which is the new generation of new chemical entity in a small cell lung cancer.
[2030.16-2040.16] And our Southeast Asian cluster delivered approximately one billion in revenue in twenty twenty four,
[2040.16-2043.16] increased from only two hundred and seventy nine percent.
[2043.16-2053.16] And the total revenue of our cluster was approximately two point two billion in twenty twenty four,
[2053.16-2060.16] supported by contributions from our future brand and the full year of combined high operations.
[2060.16-2061.16] So,
[2061.16-2064.16] we are now looking at the growth of our cluster.
[2064.16-2067.16] We are also looking at the growth of our cluster.
[2067.16-2069.16] We are also looking at the growth of our cluster.
[2069.16-2071.16] We are also looking at the growth of our cluster.
[2071.16-2078.16] So,our export businesses grow by about fifteen percent,
[2078.16-2084.16] with the US adding nearly a billion of revenue,
[2084.16-2093.16] and the rest of the world outside of the US contributing additional two hundred and forty five million in revenue.
[2093.16-2097.16] In the light of my revenue grew almost two billion,
[2097.16-2100.16] almost sixty percent year and year.
[2100.16-2106.16] While generic suboxone declined by one billion Taiwanese dollars,
[2106.16-2108.16] or about thirty percent,
[2108.16-2111.16] due to intensified competition.
[2111.16-2113.16] Outside the US,
[2113.16-2120.16] growth was driven by demand of our lead amyloid in Europe and in Latin America,
[2120.16-2125.16] and very strong performance of binarbin soft gel,
[2125.16-2129.16] and as well as a launch in early markets of the generic,
[2129.16-2131.16] and as well as a launch in early markets of the generic,
[2131.16-2134.16] which is a prostate cancer treatment.
[2134.16-2135.16] So,
[2135.16-2136.16] next slide.
[2136.16-2142.16] You can see our revenue sources remain very diverse and balanced.
[2142.16-2144.16] In twenty twenty four,
[2144.16-2149.16] forty eight percent of our revenue came from export outside of Asia,
[2149.16-2153.16] while fifty two percent came from our Asian home markets.
[2153.16-2156.16] The US continues to be our largest single market,
[2156.16-2158.16] contributing about forty two percent of our growth.
[2158.16-2160.16] Our growth revenue,
[2160.16-2162.16] and followed by Korea and Taiwan.
[2162.16-2165.16] Oncology remain our cornerstone,
[2165.16-2170.16] and accounting for nearly half of our total revenue.
[2170.16-2172.16] While CNS,
[2172.16-2173.16] Premium Care,
[2173.16-2178.16] Lifestyle each contributed about twenty percent.
[2178.16-2180.16] Now,
[2180.16-2186.16] I think it's time to give an update on the performance of our
[2186.16-2189.16] obesity market in Korea,
[2189.16-2197.16] which is a very important obesity market globally after the US.
[2197.16-2198.16] Our flagship product,
[2198.16-2199.16] Qsymia,
[2199.16-2203.16] maintains its very strong market position,
[2203.16-2208.16] despite the launch of Novo Nordic's next generation obesity treatment,
[2208.16-2210.16] WeGovie,
[2210.16-2213.16] that was launched in Q3 last year.
[2213.16-2214.16] As we expected,
[2214.16-2215.16] WeGovie largely,
[2215.16-2216.16] we are the largest,
[2216.16-2218.16] we cannibalize the sales of
[2218.16-2221.16] Novo Nordic's early product,
[2221.16-2226.16] which is also a GLP-1 treatment called Succenda,
[2226.16-2232.16] while the prescriptions for Qsymia remain relatively stable.
[2232.16-2238.16] The significant lower cost compared to GLP-1 therapies
[2238.16-2241.16] has been a key differentiator,
[2241.16-2244.16] particularly for a treatment like obesity,
[2244.16-2245.16] which requires
[2245.16-2247.16] continue monthly dosing.
[2247.16-2253.16] And this trend in Korea also mirrors our partners' experience in the US,
[2253.16-2261.16] where Qsymia has successfully competed with the larger and broader range of GLP-1 options.
[2261.16-2263.16] And now,
[2263.16-2265.16] finally,
[2265.16-2270.16] let's talk a little bit about cash and debt.
[2270.16-2272.16] In 2024,
[2272.16-2275.16] the company generated a total of $1.5 billion in cash.
[2275.16-2283.16] The company's net cash from operations before paying taxes and interests.
[2283.16-2289.16] The net cash from operations after the payments of tax and interest
[2289.16-2293.16] came to approximately $6.2 billion,
[2293.16-2297.16] which is a $4.5 billion increase from prior year.
[2297.16-2303.16] And we closed the year with a robust cash position of almost $6 billion.
[2303.16-2310.16] The company's net cash from operations after the payments of tax and interest came to approximately $7.4 billion,
[2310.16-2314.16] which is very much consistent with that of 2023.
[2314.16-2321.16] With the EBITDA growing over 20% from the $6.4 billion
[2321.16-2323.16] the last 12 months,
[2323.16-2331.16] versus the 2024 12 months of $7.8 billion,
[2331.16-2338.16] our leverage ratio improved from 1.49 times in 2023
[2338.16-2343.16] to 0.94 times in 2024.
[2343.16-2344.16] So,
[2344.16-2350.16] our business also showed a very high EBITDA margin of 42%,
[2350.16-2354.16] underscoring our very strong profitability and the position of Lotus
[2354.16-2358.16] as one of the most profitable companies in the industry today.
[2358.16-2359.16] So,
[2359.16-2360.16] with that,
[2360.16-2361.16] I'm going to turn back
[2361.16-2363.16] the floor to Petar
[2363.16-2367.16] to talk over the outlook of 2025 and beyond.
[2370.16-2371.16] Okay, thank you, Bertur.
[2371.16-2374.16] So, talking about the future,
[2374.16-2378.16] I mean, we have a significant number of launches,
[2378.16-2381.16] which is coming up in the next six, seven years.
[2381.16-2382.16] You can see here,
[2382.16-2390.16] more than 80 products are scheduled to be launched from 2025 to 2032.
[2390.16-2394.16] The year of launches will be 2026,
[2394.16-2397.16] where we have 17 products overall,
[2397.16-2403.16] combination of BD and R&D and 2018 products.
[2403.16-2404.16] The outer years,
[2404.16-2405.16] the numbers are less,
[2405.16-2407.16] but basically,
[2407.16-2414.16] we are working as we speak on the outer years with gaining more and more progress on the internal development,
[2414.16-2417.16] as well as on the business development in licensing.
[2417.16-2419.16] Once we have completed,
[2419.16-2421.16] mouse tones like
[2421.16-2422.16] like signing the deals,
[2422.16-2423.16] obviously,
[2423.16-2431.16] this will reflect on significantly higher numbers from 2029 onwards in terms of launches.
[2431.16-2432.16] So,
[2432.16-2437.16] it's a lot going on as an effort and all the efforts,
[2437.16-2441.16] also the resources that we are investing in pipeline,
[2441.16-2448.16] both development internal as well as business development is translating nicely in,
[2448.16-2450.16] number of launches.
[2450.16-2455.16] So,18 launches is extremely high number for any company,
[2455.16-2458.16] comparing with our peers.
[2458.16-2461.16] So,we are very excited about that.
[2461.16-2462.16] On the right side,
[2462.16-2463.16] I mean,
[2463.16-2477.16] you can see that the potential for R&D products that we are developing internal products in terms of brand sales,
[2477.16-2478.16] and also,
[2478.16-2479.16] the market size is more than 30,
[2479.16-2480.16] 35 billion dollars by 2032.
[2480.16-2483.16] So,these are typically high value products.
[2483.16-2484.16] And of course,
[2484.16-2489.16] they come with challenges when it comes to development,
[2489.16-2493.16] also,sometimes manufacturing and market access.
[2493.16-2495.16] I refer more to IP.
[2495.16-2497.16] But with the skill set,
[2497.16-2498.16] the knowledge,
[2498.16-2500.16] and also the investment now,
[2500.16-2502.16] I refer here to that.
[2502.16-2503.16] So,
[2503.16-2506.16] we are working on a lot of new things.
[2506.16-2509.16] I refer here to the R&D center in India.
[2509.16-2516.16] Also,appointment of very experienced individual to lead our portfolio.
[2516.16-2520.16] I'm confident that we can execute on these programs.
[2526.16-2534.16] So,let me now walk you through some of the key growth catalysts that we will be focusing on the near term.
[2534.16-2536.16] I'll start first with the first part,
[2536.16-2537.16] and then,
[2537.16-2539.16] we'll talk about more of the potential opportunities.
[2539.16-2546.16] So,we are making good progress for the internal development.
[2546.16-2547.16] As you know,
[2547.16-2548.16] in January,
[2548.16-2550.16] we filed the NDA for local Spirit.
[2552.16-2557.16] The first of one of the first of our candidates,
[2557.16-2560.16] we are targeting for the US market.
[2560.16-2562.16] So,this is actually our second first file.
[2562.16-2564.16] If you remember,
[2564.16-2565.16] Middle Stirran was the first one.
[2565.16-2572.16] 我们从2025年4月的市场上预判了
[2572.16-2574.16] 他们会否进行谈判
[2574.16-2578.16] Vocosporin是一种细胞
[2578.16-2583.16] 它是一种用于复生的护肤剂
[2583.16-2586.16] 所以它是一个护肤剂的指示
[2586.16-2598.16] 预测的品牌销售预测是约250亿美元
[2598.16-2605.16] 这就是我们在这一部分完成的第一个项目
[2605.16-2609.16] 我确实很期待会有更多的项目
[2609.16-2615.16] 我们的策划中有很大的项目
[2615.16-2616.16] 我们的策划中有很大的项目
[2616.16-2619.16] 我们的策划中有很大的项目
[2619.16-2623.16] 第二个项目是505B2的内部发展
[2623.16-2625.16] 第二个项目是505B2的内部发展
[2625.16-2630.16] 我们有一个项目叫LP757
[2630.16-2635.16] 这是我们在家发展的第一个项目
[2635.16-2636.16] 这是我们在家发展的第一个项目
[2636.16-2637.16] 这是我们在家发展的第一个项目
[2637.16-2639.16] 这是505B2的内部发展
[2639.16-2640.16] 这是505B2的内部发展
[2640.16-2643.16] 我们成功通过了护肤课程
[2643.16-2645.16] 我们正在等待发展的项目
[2645.16-2646.16] 我们正在等待发展的项目
[2646.16-2647.16] 我们正在等待发展的项目
[2647.16-2649.16] 这是我们的研究结果
[2649.16-2650.16] 这是我们的研究结果
[2650.16-2651.16] 我们的研究结果
[2651.16-2654.16] 这项目的预测比以美国的
[2654.16-2656.16] 这项目的预测比以美国的
[2656.16-2657.16] 预测比以美国的实现率更重要
[2657.16-2658.16] 实现率更重要
[2658.16-2659.16] 实现率更重要
[2659.16-2662.16] 如果我们成功通过护肤课程
[2662.16-2664.16] 如果我们成功通过护肤课程
[2664.16-2666.16] 我们提前将在欧洲发展的产品
[2666.16-2668.16] 我们提前将在欧洲发展的产品
[2668.16-2670.16] 发展在2027年
[2670.16-2672.16] 发展在2028年
[2672.16-2674.16] 发展在2028年
[2674.16-2675.16] 再次
[2675.16-2684.16] 这项产品有很多人的兴趣,因为它的尺寸和我们的IP位置
[2684.16-2691.16] 我确实很确定这项产品能够找到美国和世界上的合作伙伴
[2691.16-2715.16] 我只是想在这里强调一下,Albogen没有在美国的销售团队,因此我们现在正在与其他公司讨论,因为545B2需要推广,因此我们在销售部份,所以我们正在与三个公司讨论,有销售团队在Oncology
[2715.16-2721.16] 接下来的项目,非常重要的短期性讨论
[2721.16-2734.16] 我们在K-NASIA讨论,因此我们很兴奋,因为我们很接近了三个新的产品讨论,我们将将它们带到亚洲
[2734.16-2742.16] 两个产品是新的化学组织,第三个是545B2的产品
[2742.16-2750.16] 我首先开始,第一个是AHDHT治疗
[2750.16-2755.16] 所以这是一个当然的CNS类型的产品
[2755.16-2764.16] 这是一个已经被美国美国医院批准的产品,这产品在市场上有很强的细胞
[2764.16-2771.16] 它有非常高的效率,没有任何异性的影响
[2771.16-2779.16] 我希望在这里强调一下,一个重要的重点是,这种产品没有危险性的
[2779.16-2784.16] 所以它是为年轻人和孩子而指示的
[2784.16-2797.16] 当然,AHDHT是需要的治疗,尤其在亚洲,这种产品不够
[2797.16-2802.16] 所以我们很兴奋地带来这种产品,所以再次,合同在最后一阶段
[2802.16-2806.16] 所以我们当然会公布它
[2806.16-2808.16] 接下来的产品,也是CNS类型的产品
[2808.16-2811.16] CNS类型的产品是柏克兰治疗
[2811.16-2816.16] 您所知,我们在柏克兰和华尔兹协议中有很强的专业
[2816.16-2823.16] 所以这是一款545B2的产品,在美国最近已经被开发
[2823.16-2829.16] 而且已经被允许了,而且它非常好
[2829.16-2837.16] 所以我们有很进步的商谈,也很接近执行协议的状态
[2837.16-2842.16] 所以我们很兴奋地带来这种新的产品
[2842.16-2848.16] 这种产品非常适合我们在柏克兰的专业
[2848.16-2852.16] 例如韩国,台湾,以及南部的东南亚市场
[2852.16-2858.16] 第三个产品,是关于生活的产品
[2858.16-2861.16] 它是一种新的产品,它是一种日常的产品
[2861.16-2863.16] 它是为了复苏病毒病毒的治疗
[2863.16-2866.16] 复苏病毒病毒是一种产品,有关脱线的疾病
[2866.16-2869.16] 所以我认为这种产品是一种很新的产品
[2869.16-2871.16] 它是一种真正的新产品
[2871.16-2876.16] 所以这种产品可能会为了复苏病毒病毒
[2876.16-2880.16] 有关穿镜子或是治疗的需要
[2880.16-2888.16] 我们在美国的伙伴,已经发布了这种产品
[2888.16-2892.16] 当然,这种产品基于成功的PACE3数据
[2892.16-2896.16] 他们期待在今年后的公开推出和推出的产品的执行
[2896.16-2904.16] 我们很期待将这种产品也带来亚洲
[2904.16-2908.16] 我们也在进行讨论
[2908.16-2912.16] 所以在几个星期内,我们可以结束这个协议
[2912.16-2917.16] 这三个产品共同有可能将产生的年收入
[2917.16-2922.16] 在亚洲,根据我们预测的60亿美元
[2922.16-2925.16] 这很惊人
[2926.16-2933.16] 当然,我们有很多更多的讨论
[2933.16-2938.16] 关于产品的推出
[2938.16-2941.16] 我们的目标是
[2941.16-2945.16] 我们继续推出Renzel Automite的新轮子
[2945.16-2949.16] 这是我们的最高产品
[2949.16-2953.16] 从内部发展、制造的角度
[2953.16-2955.16] 我们也在准备
[2956.16-2962.16] 我们在亚洲的欧洲市场上也会推出
[2962.16-2965.16] 我们也在准备推出Ninted Nib
[2965.16-2968.16] 我们将在今年后的一年内
[2968.16-2971.16] 将在加拿大推出
[2971.16-2975.16] 在亚洲,我们认为
[2975.16-2980.16] 我们对于推出的主要目标是Alpha Choice
[2980.16-2983.16] 我已经提过了
[2983.16-2985.16] 我们已经有所有的产品产品的产品设备了
[2985.16-2987.16] 我们已经有所有的产品产品设备了
[2987.16-2988.16] 我们在今年初的一年内
[2988.16-2990.16] 我们已经通过了
[2990.16-2992.16] 美国的安保执行执行执行执行执行
[2992.16-2994.16] 我可以报告
[2994.16-2996.16] 我们现在已经实际上推出了
[2996.16-2998.16] 在美国的第一季度中
[2998.16-3000.16] 在美国的第一季度中
[3000.16-3002.16] 我们将以Lotus设计的产品
[3002.16-3004.16] 进行发展
[3004.16-3006.16] 所以,我们预期
[3006.16-3008.16] 25亿美元的年收
[3008.16-3010.16] 我们预期
[3010.16-3012.16] 还有其他推出
[3012.16-3014.16] 我已经提过了
[3015.16-3018.16] 大概58亿美元的年收
[3018.16-3023.16] 当然,这将是最大的
[3023.16-3025.16] 当然,这将是最大的
[3025.16-3027.16] M&A的机会
[3027.16-3031.16] 我们正在进行成功的进行
[3031.16-3033.16] 我们正在进行成功的进行
[3033.16-3035.16] 进行 Southeast Asia的交易
[3035.16-3037.16] 进行 Southeast Asia的交易
[3037.16-3039.16] 我们正在在4月订购
[3039.16-3041.16] 我们正在在4月订购
[3041.16-3043.16] 所以,这次的交易
[3043.16-3044.16] 从昨天开始
[3044.16-3046.16] 从昨天开始
[3046.16-3048.16] 从24月底开始
[3048.16-3050.16] 从24月底开始
[3050.16-3052.16] 基本上,这是一份
[3052.16-3054.16] 预算购入的交易
[3054.16-3056.16] 所以,我觉得这件事
[3056.16-3058.16] 是一个很好的行业
[3058.16-3060.16] 它将强化我们的位置
[3060.16-3062.16] 在我们的主要市场中
[3062.16-3064.16] 在 Southeast Asia
[3064.16-3066.16] 在 Southeast Asia
[3066.16-3068.16] 我们现在进入
[3068.16-3070.16] 2025年的金融目标
[3070.16-3072.16] 我们在2025年的金融目标
[3072.16-3074.16] 我们将预算2025年的金融目标
[3074.16-3076.16] 2024年的金融目标
[3076.16-3078.16] 总预算是18.6亿
[3078.16-3080.16] 总预算是18.6亿
[3080.16-3082.16] 2025年的金融目标
[3082.16-3084.16] 我们将预算是
[3084.16-3086.16] 2025亿
[3086.16-3088.16] 2025亿
[3088.16-3090.16] 这代表7-10%的
[3090.16-3092.16] 2025亿
[3092.16-3094.16] 在西亚
[3094.16-3096.16] 我们预期20%的成长
[3096.16-3098.16] 我们预期20%的成长
[3098.16-3100.16] 这将由韩国的主要市场
[3100.16-3102.16] 这将由韩国的主要市场
[3102.16-3104.16] 和三星市场
[3104.16-3106.16] 和三星市场
[3106.16-3108.16] 平均持续来临
[3108.16-3110.16] 虽然是竞争
[3110.16-3112.16] 但在2025年
[3112.16-3114.16] 我们预期
[3114.16-3116.16] 三星市场
[3116.16-3118.16] 和三星市场
[3118.16-3120.16] 平均持续来临
[3120.16-3122.16] 但在2025年
[3122.16-3124.16] 我们预期
[3124.16-3126.16] 美国在西亚
[3126.16-3128.16] 我们预期
[3128.16-3130.16] 25%成长
[3130.20-3133.00] 处理毕加做 spider business
[3133.02-3134.32] 重新进入业务
[3134.36-3138.70] 他以后
[3138.72-3142.72] 建议我在其中aisia市场上
[3142.72-3146.30] 提及的创新
[3146.32-3148.80] 在进行出口行业的 fijx
[3149.92-3151.54] 要推进的
[3151.76-3154.26] 在美国市场大致积攀
[3154.62-3159.30] 可以期待 2025年的双金增长
[3159.30-3179.30] 在Bubra Rufin Naukson上来说,生产仍然不均衡,我们基本上是在抵制增加竞争的计划中计划,我们认为这可能会引发增加价格的浮动和量化,相比于2024年。
[3179.30-3195.30] 但Bubra Rufin Naukson是我们的收益因素的一个小贡献者,因为增加价格已经是低了,所以我们想尽可能地抵制这些下降。
[3195.30-3208.30] 而我们看到Bubra Rufin Naukson的年份开始比较好。
[3208.30-3224.30] 我们目前有约10%的购买预算,我们的业务合同Albogen和我们的商业项目计算,这就是很好的消息。
[3224.30-3234.30] 总结来说,我们的抵制增加价格的预算是7-10%,每年增加的预算。
[3234.30-3238.30] 我认为这是很好的消息。
[3238.30-3245.30] 我们有很强大的基础来达到这些目标。
[3245.30-3254.30] 而在2024年增加价格方面,我们在25%的增加价格上预期了59%。
[3254.30-3258.30] 我们基本上预期了同样的增加价格。
[3258.30-3267.30] 在OPEX方面,我们预期了24%的收益率。
[3267.30-3270.30] 我们预期了2026%的收益率。
[3270.30-3282.30] 我们预期了不连续生产金预款,包括购买费用和投资金的收入,以至2024年为止。
[3282.30-3291.30] 当然,这是一个宣布,我们没有赔偿任何可能的赔偿,
[3291.30-3295.30] 来自持续讨论的讨论。
[3295.30-3300.54] m&a or product portfolio acquisitions deals
[3302.94-3311.30] so with this we can put our updates on growth catalysts and financial expectations for 2024 and 25
[3311.30-3315.54] so thank you very much and now we are ready to take questions
[3322.54-3323.14] ok
[3323.14-3331.82] ok so now we have received a question from the investors in the chat box
[3331.82-3335.74] and we'll start with the questions related to draft
[3335.74-3338.98] we'll have our CFO Beato
[3338.98-3344.10] ok I can start and if you have anything you can chime in
[3344.10-3350.38] so of course we have many other companies around the world in different industries
[3350.38-3352.46] where you know monitoring this development
[3352.46-3352.90] so
[3353.14-3354.74] very closely
[3354.74-3362.26] and to date there is no solid threats or opportunities that we can work on for real now
[3362.26-3364.14] I mean for the near term
[3364.14-3368.46] for example you know for our key product the anidomite
[3368.46-3372.90] we do have a very significant amount of inventory
[3372.90-3375.26] just outside the US border
[3375.26-3378.10] in a lot this is a bonded warehouse
[3378.10-3380.86] make sure we have any solid lead
[3380.86-3382.90] you know these products can be cleared
[3382.90-3384.54] in the US custom
[3384.54-3386.50] in the matter of a week
[3386.50-3389.02] andso we see in the near term
[3389.02-3390.58] tariff or no
[3390.58-3393.70] we don't see any you know particular concern
[3393.70-3396.86] andof course in the longer term
[3396.86-3398.86] we can react to any real threat
[3398.86-3401.66] I mean I emphasis on real threat
[3401.66-3403.82] by moving the manufacturing
[3403.82-3406.14] to the US for example
[3406.14-3410.50] just as we created the backup manufacturing site in Europe
[3410.50-3410.90] and this amount this amount of manufacturing is very high and we're very concerned about it
[3410.90-3411.02] I mean we're very concerned about it
[3411.02-3412.66] and this amount this amount of manufacturing is very high and we're very concerned about it
[3412.66-3416.86] this option is among many options that we are evaluating
[3416.86-3440.70] andyou know depending on� económically
[3440.70-3442.50] umed
[3442.66-3444.66] chips computer chips
[3444.66-3447.66] so i mean it is not a unique situation for lotus
[3447.66-3452.66] but you know as i mentioned we are evaluating a number of potential solutions
[3452.66-3455.66] depending on how the threat will come
[3455.66-3462.66] and you know one of them should be enough to get us ahead
[3462.66-3464.66] Pedro do you have anything to add to that
[3466.66-3468.66] no not really
[3468.66-3473.66] ok so next is about our southeast asia strategy
[3473.66-3476.66] and our goal for the southeast asia market
[3476.66-3481.66] and also why we select southeast asia specifically
[3481.66-3484.66] but not china market
[3484.66-3488.66] especially china market has very
[3488.66-3490.66] is a land market for it's merits
[3492.66-3494.66] so i'll take this question
[3494.66-3497.66] i mean why we select the southeast asia obviously
[3497.66-3498.66] uh
[3498.66-3504.66] it's a highest growth cluster of markets in asia
[3504.66-3505.66] if you see
[3505.66-3507.66] i mean if you compare with china
[3507.66-3508.66] if you compare with
[3508.66-3511.66] also with korea
[3511.66-3516.66] taiwan southeast asia is definitely the growth champion
[3516.66-3520.66] i refer to markets like especially vietnam thailand
