[0.00-2.72] 欢迎参加维影科技线上座谈会
[1759.34-1761.90] 全部发生了那从我刚前面讲
[1762.16-1763.18] 这是一个动态的
[1763.44-1763.94] 的
[1764.20-1765.48] 的情境啊
[1765.74-1767.02] 现在这个时代
[1767.28-1768.56] 那我们会动态的去
[1768.82-1769.58] 去调整那
[1769.84-1771.88] 我们做的剧本里面最大
[1772.14-1774.96] 应该就是在现金支出的部分应该就是这个数字
[1775.98-1777.00] 嗯嗯了解
[1777.26-1779.82] 那请问这个德州厂因为我
[1780.08-1784.94] 印象中是买一个现成的厂房回来然后我们再在里面做
[1785.20-1785.70] 改造
[1785.96-1789.30] 如果说改造到我们可以真的拿来做
[1789.60-1793.44] AI server的生产的话大概就是
[1793.70-1794.46] 至少价格
[1794.72-1795.74] 一条两条
[1796.00-1799.32] 这个是需要多长时间才可以开始有output
[1800.10-1800.60] OK
[1801.12-1801.38] 好
[1801.62-1803.16] 那这个
[1804.44-1806.24] 这个我好我想
[1806.50-1810.84] 这件事情也是一样也是时间性就是弹性好多
[1811.36-1811.86] 这种
[1812.38-1814.18] 滚动式的
[1814.42-1814.94] 的决策
[1815.20-1816.22] 那随着
[1816.74-1817.50] 我们
[1817.76-1818.78] 短中长期
[1819.04-1820.58] 就是这种快慢来说
[1822.10-1823.14] 我们其实都有不同的
[1823.38-1823.90] 的方案
[1824.16-1825.94] 那你也提到这个要去租
[1826.20-1826.72] 如果
[1826.98-1829.28] 你听到这个租赁这个厂房
[1829.54-1831.06] 事实上我们现在的
[1831.32-1832.86] 选址的策略
[1833.38-1835.16] 是因为我们的墨西哥厂房
[1835.42-1835.94] 就
[1836.44-1837.98] 目前现有的墨西哥厂房
[1838.50-1842.34] 正是在这个美墨边界德州的这个这个边界上面
[1842.84-1843.86] 所以我们选的
[1844.12-1848.74] 然后德州在边界在美墨边界的地方我们就已经有我们
[1849.04-1851.08] 目前现在既有的这些
[1851.60-1852.62] 仓库
[1852.88-1854.16] 跟维修中心
[1854.42-1855.70] 都已经既有的
[1855.94-1857.22] 场地了
[1857.48-1863.62] 所以如果短期的话我们的剧本里面也有在短期的话就马上改装我们现有的
[1863.88-1864.66] 这些设施
[1865.16-1866.70] 从仓库跟维修中心
[1866.96-1869.78] 这个腾出空间去做这个
[1870.28-1871.06] 这个生产
[1871.30-1872.08] 生产
[1872.58-1874.64] 生产就可以产出生产的话
[1875.14-1876.18] 最快的产能
[1876.68-1877.20] 那
[1877.46-1878.48] 不是全部
[1878.78-1880.06] 到位了就是能够有产能
[1880.32-1880.82] 贡献
[1881.08-1882.36] 应该差不多三个月
[1882.62-1884.16] 就可以有产能贡献
[1885.18-1887.74] 如果这个产能的当然这个产能就是
[1888.00-1888.50] 量
[1888.76-1889.78] 不会是那么
[1890.30-1891.32] 理想的大
[1891.58-1892.86] 就不会大
[1893.12-1896.96] 那如果要大那就是您提到的就是说我们要去新租一个
[1897.22-1897.72] 既有的厂房
[1898.24-1899.78] 在既有的厂房的
[1900.28-1901.30] 厂房已经好了
[1901.56-1903.86] 然后而且这个电力是充足的情况下
[1904.12-1904.64] 那再去建置
[1905.14-1906.68] 可能那个就要到
[1907.20-1907.70] 六个月
[1908.78-1911.34] 也看我们要的空间的大小
[1911.60-1912.62] 跟这个
[1913.14-1914.92] 做的这个工序的这个
[1915.70-1916.20] 深度
[1916.46-1918.26] 那可能到六个月到九个月不等
[1918.76-1919.78] 那我想这就是
[1920.04-1921.32] 去回应就是说
[1921.84-1923.88] 在现在这个变化
[1925.16-1928.24] 这个情况变化很快那我们要去做滚动调整
[1929.26-1932.84] 那事实上这些决策我们现在这个2月27号才过这个
[1933.10-1934.90] 这个总词会那目前都还在
[1935.14-1937.20] 这个一些内外部的一些
[1937.46-1937.96] 审查作业上面
[1938.22-1938.74] 那当然我们
[1939.04-1939.54] 同步
[1939.80-1942.36] 如果我们刚讲的我刚提到这些
[1942.88-1944.92] 三六九个月的这个不同的这个
[1945.18-1947.48] 时间我们都已经跟相关的
[1947.74-1948.76] 对象不管是
[1949.02-1949.78] 地主啊
[1950.04-1951.84] 政府机关啊
[1952.10-1954.14] 甚至在人力的部分的准备
[1954.40-1956.96] 我们都已经开始展开同步展开的动作
[1959.00-1962.08] 但是他我想这个持续变动状况是
[1962.34-1963.36] 还是这样子
[1963.62-1965.14] 那在没有这个
[1965.40-1966.68] 排版做下决定去
[1966.94-1968.74] 之前都还有可能会
[1969.04-1969.80] 会变化所以
[1970.06-1970.58] 产能的
[1970.82-1971.34] 这个
[1971.60-1972.10] 这个
[1972.62-1973.64] 产出大概也是
[1974.42-1977.48] 不同的时间然后有不同的这个规模大小产出
[1978.76-1979.78] 好那我以上回答
[1981.84-1986.96] 谢谢长长这个最后一个就是关税的follow up我想请问一下您刚有提到说
[1987.22-1992.58] 有些客户可能他们就暂时停止出货但有些客户也是不介意缴关税就
[1992.84-1994.12] 还是想要赶快拿到
[1994.38-1995.66] 这个会
[1995.92-1998.22] 会跟就是那个zack本身的
[1998.48-1999.50] 金额大小是
[1999.76-2000.26] 成
[2000.52-2001.04] 就是
[2001.30-2003.34] 一个关系就是越贵的越
[2003.60-2005.14] 越会请向先
[2005.38-2008.46] 看一看然后比较便宜的就愿意找关税吗
[2008.98-2009.74] 那是请问他有什么
[2011.02-2015.38] 这就一般来说这当然会是一个考量点
[2015.62-2018.18] 那那事实上这行点其实都是
[2018.70-2019.46] 客人的考量
[2019.72-2022.80] 那我们我们就是推就我不会知道这里面
[2023.06-2026.64] 这个原因到底站的多这个考量点到底站了多大的
[2026.90-2027.40] 配比
[2028.22-2028.74] 那
[2028.98-2030.02] 所以我
[2030.26-2032.06] 我没办法回答这个
[2032.32-2033.86] 这个因为这个指示都是客
[2034.10-2035.38] 不同的客户给的不同的
[2036.66-2037.18] 那
[2037.44-2039.48] 那我想停下来的意思好也
[2039.74-2040.76] 也还我在
[2041.02-2042.56] 补充说明一下
[2042.82-2044.86] 停下来的意思一定有他的配套措辞
[2046.40-2049.98] 其实伺服器云端伺服器已经变成一种
[2051.26-2052.54] 刚性需求的必需品
[2052.80-2053.56] 他其实是
[2054.08-2055.62] 就我们在疫情的过程中
[2055.86-2057.14] 就像我们前几年的疫情
[2057.40-2058.18] 这个所有的
[2058.48-2060.02] 这个拉档好都停下来
[2060.26-2062.58] 但是其实那个货物我们的这个
[2062.82-2064.36] 伺服器东西他其实是
[2064.88-2067.94] 是必要物质的以三宿的这个这个物质的所以是
[2068.20-2068.72] 不会停的
[2070.00-2072.56] 在这个关税的情况下还不是疫情的情况下
[2072.82-2075.88] 其实我觉得这个考量点在这种刚性需求的
[2076.14-2076.90] 必需品的
[2077.16-2077.68] 的情况下
[2077.94-2079.46] 这些成本的考量
[2080.24-2081.78] 是因素但是
[2082.02-2083.06] 他的必须性
[2083.56-2085.10] 其实是更重要的
[2085.36-2086.38] 那停下来的
[2086.90-2087.40] 不不
[2088.22-2092.32] 因为是必需品不管对我们哪一个客人的资料中心都
[2092.82-2094.10] 没有办法去承担说
[2094.62-2096.66] 停止没有机器可以补充
[2097.18-2098.72] 算力出生空间的这种
[2098.98-2099.74] 这种情形所以
[2100.26-2102.82] 虽然我们停下来我们是停下来没有
[2103.06-2103.58] 出货
[2104.10-2105.88] 但是我们公墨西哥的工厂的
[2106.14-2108.18] 的生产是没有停下来
[2108.70-2109.46] 然后我们在
[2109.72-2112.28] 美国已经有这个既有的成品仓
[2112.54-2114.58] 还是可以就我刚讲美墨边界
[2114.84-2116.38] 还是我们已经有成品仓在
[2116.64-2118.18] 在美国是可以出货的
[2118.48-2121.30] 那也可以从这个欧洲的部分就开始
[2121.54-2123.60] 产作这个工单开始准备
[2124.10-2125.64] 去做新的一批的这个出货
[2125.90-2126.66] 所以都是有
[2126.92-2127.94] 他的配套措施
[2128.46-2129.48] 所以
[2130.00-2132.04] 这个这个这个停下来只是
[2132.30-2134.60] 停下来从墨西哥出货到
[2134.86-2136.66] 到到到美国但是
[2136.90-2137.68] 配套措施
[2137.94-2138.70] 都是有存在
[2140.50-2142.02] 很清楚谢谢财务长
[2144.84-2146.38] 接下来请
[2146.64-2147.66] 好儿好儿请开始
[2148.48-2150.52] 谢谢
[2150.78-2154.10] 那个财务长跟那里
[2154.36-2155.64] 我是摩根山里的好
[2156.16-2157.70] 我想就是
[2157.94-2158.46] 的问题
[2158.72-2159.74] 可以
[2160.26-2162.04] 请那个财务长帮我们
[2162.82-2163.84] 讲一下
[2164.10-2166.90] 我有可能有点忘记了但是这个东西他是
[2168.96-2171.78] 看你最后的组装地点在哪里然后
[2172.28-2173.82] 而下的
[2174.08-2175.10] 还是他会看
[2175.62-2176.64] 这个产品里面
[2176.90-2178.18] 绝大部分的
[2178.48-2180.26] content跟领主权是从
[2180.52-2181.54] 哪个地方
[2181.80-2182.58] 生产的
[2186.66-2187.70] 我想
[2187.94-2188.46] 这个
[2188.98-2190.26] 关税的运作
[2191.28-2192.82] 机制这个应该是
[2193.06-2193.84] 全球是
[2194.10-2195.88] 是一致的
[2196.40-2198.44] 就是讲就是原产地
[2198.96-2200.50] 今天要从一个
[2200.74-2204.84] 这个关区好国家不是关区到另外一个关区
[2205.10-2207.92] 其实他他在申报过程中就是要去
[2208.48-2212.32] 揭露要去宣导就是说你这个产品要准备过这个海关
[2212.82-2213.34] 的
[2213.60-2214.36] 产品的
[2215.14-2216.42] 这个原产地
[2216.66-2218.20] 我们讲coo
[2220.76-2221.54] 全民
[2224.86-2227.94] 原产地产品产品原产地
[2228.18-2229.22] 的
[2229.46-2230.50] 是在哪边做的那
[2230.74-2235.86] 那他也有一个代号全球全球统一的一个一个一个一个代号
[2236.38-2237.40] 所以
[2237.66-2238.18] 回答
[2238.48-2238.98] 我问
[2239.24-2240.26] 不是从
[2240.52-2241.04] 他
[2241.30-2242.06] 就是
[2242.32-2244.88] 来怎么说生产者就要去报关的人要去自我
[2245.14-2246.66] 自我宣告这个产品
[2246.92-2247.44] 在哪里
[2249.48-2253.06] 好那我我就讲我们自己公司的唯一公司的情况
[2253.32-2253.84] 那
[2254.10-2256.40] 我以公司在美墨这边的这个
[2256.90-2258.96] 这个营运的现在的设计是
[2259.22-2259.72] 就是
[2259.98-2263.30] 通关从美国本从墨西哥的工厂
[2263.56-2264.58] 通关到
[2265.10-2266.90] 这个这个这个美国
[2267.14-2268.18] 我们还说在边境
[2268.48-2271.30] 那不管是去产品商还是去
[2271.54-2273.34] 客人的资料中心其实通关
[2273.86-2274.88] 要去报关的
[2275.14-2278.72] 的进口人都是唯一公司唯一的美国公司
[2279.22-2285.38] 那所以我以美国公司要去宣告在报关单上面要去宣告说这个的原产地国家
[2285.62-2286.14] 哪个国家
[2286.66-2288.70] 那目前我们在墨西哥
[2288.96-2289.98] 所生产的这个
[2290.50-2292.02] 出货的这个L11
[2292.28-2293.82] 整合机柜
[2294.08-2296.38] 跟里面所属的这个我们讲说L10
[2296.64-2298.18] 就是伺服器的部分
[2298.48-2299.50] 或是storage的这个
[2300.52-2301.04] 设备
[2301.54-2302.82] AI的设备等等
[2303.08-2305.14] L10那这些我们的
[2305.38-2308.46] 我们申报的是整个机柜L11的机柜
[2308.72-2310.00] 那我们的申报原产地就是
[2310.76-2311.28] 墨西哥
[2312.56-2314.86] 那不会再当到更细的说
[2315.12-2315.62] 这个
[2316.14-2317.94] 这个GPU晶片是在
[2318.18-2321.78] 是在哪里打的然后主机板在哪里生产的机壳在哪里
[2322.02-2323.06] 我们就是报
[2323.30-2326.38] 一台L11的这个机柜那是在墨西哥生产
[2326.64-2327.66] 然后进口到美国
[2328.22-2331.80] 然后致电最 securely
[2339.48-2340.00] 这样也好
[2340.26-2343.06] SUPER
[2343.32-2344.34] 好
[2344.60-2348.10] 好
[2349.46-2349.98] OK
[2350.24-2350.74] OK
[2351.00-2351.78] 那
[2353.56-2355.54] 我可以问就是在过去这几个礼拜
[2355.86-2357.02] 你们有因为
[2357.02-2360.34] 没有
[2360.34-2362.98] 没有
[2362.98-2366.30] 那所以你们在
[2366.30-2368.74] 投资
[2368.74-2370.72] 就是德州的这个投资案
[2370.72-2371.94] 其实纯粹是从
[2371.94-2373.30] 你们自己
[2373.30-2376.46] 本身而不是什么客户
[2376.46-2377.90] 要求你们去
[2377.90-2380.18] 我的问题是想问说
[2380.18-2382.44] 你们花这个钱会不会有一部分是
[2382.44-2384.18] 可以被摊在
[2384.18-2385.92] 之后你们跟客户要的
[2385.92-2388.32] 这个价格里面
[2389.18-2390.68] OK
[2390.68-2394.16] 我们一直都跟客户
[2394.16-2395.54] 保持非常密切的联络
[2395.54-2398.06] 我想这个关税这个议题
[2398.06-2400.82] 这个不仅是
[2400.82-2402.16] 这个文影公司
[2402.16-2402.88] 去面对
[2402.88-2405.72] 这些客户是整个
[2405.72-2407.80] 资讯产业甚至包括
[2407.80-2409.74] 整个商业的
[2409.74-2411.12] 这个模式
[2411.12-2413.92] 他的关税客户不是只有对资讯产业的
[2414.64-2414.94] 那
[2414.94-2416.94] 所以
[2416.94-2418.94] 我想这是一个
[2418.94-2420.94] 这是一个
[2420.94-2422.94] 普世问题
[2422.94-2424.94] 所以
[2424.94-2428.94] 我们跟客户的关系在讨论这些
[2428.94-2429.94] 事情的时候
[2429.94-2432.94] 因为我们的客户都是长期的伙伴
[2432.94-2434.94] 那所以这些我们在讨论这些事情的时候
[2434.94-2436.94] 保持密切联络
[2436.94-2438.94] 都是以先解决这个普世问题为
[2438.94-2440.94] 为
[2440.94-2442.94] 为当务自己
[2442.94-2443.94] 那大家都是伙伴的这个
[2443.94-2444.94] 这个
[2444.94-2448.94] 也不是一朝一夕的我们的这么长久的这个合作的关系
[2448.94-2450.94] 那
[2450.94-2452.94] 怎么去做这个成本的分摊
[2452.94-2453.94] 好
[2453.94-2454.94] 一直都是
[2454.94-2456.94] 这个不是最要紧的事情
[2456.94-2459.94] 最要紧的事情如何当下解决这个
[2459.94-2460.94] 立即发生的这个
[2460.94-2463.94] 早上起来又不一样的这个情景
[2463.94-2464.94] 那
[2464.94-2466.94] 我想
[2466.94-2468.94] 站在
[2468.94-2473.94] 这个公司的这个这个公司的这个文艺公司的这个立场
[2473.94-2474.94] 这个
[2474.94-2476.94] 这个祇务
[2476.94-2478.94] 让我们很多时候 had избiva
[2478.94-2479.94] 去资源
[2479.94-2480.92] 都退了
[2480.92-2481.94] 评论
[2481.94-2483.94] 然后
[2483.94-2484.94] 实际很不通立化
[2484.94-2494.94] 那 Aktiva S informação
[2494.94-2495.94] 还遗忘了
[2495.94-2496.94] 那olor
[2496.94-2497.94] 然后
[2497.94-2498.94] 最后
[2498.94-2501.94] LORD
[2501.94-2502.94] 大家一个人
[2502.94-2503.94] 去元素
[2503.94-2505.94] 到底有沒有做下去
[2505.94-2509.94] 我剛也提到有不等的投資的規模
[2509.94-2513.94] 那它比起關稅
[2513.94-2518.94] 如果從財報的流動性非流動性來說
[2518.94-2525.94] 關稅還是比較急迫要去討論是誰要承擔的問題
[2525.94-2529.94] 關稅這個題目也更好答了
[2529.94-2531.94] 是25%
[2531.94-2533.94] 所以是沒有辦法承擔的
[2533.94-2537.94] 所以這個一定要由客戶來吸收
[2537.94-2543.94] 至於更長期的廠房的長期產能設施
[2543.94-2547.94] 目前不是最要緊的事情
[2547.94-2549.94] 我們都會跟客戶
[2549.94-2551.94] 我想這個也是客戶期待的
[2551.94-2555.94] 我們可以快速的做出應急的反應決定
[2555.94-2558.94] 但也要有長期的規劃
[2558.94-2560.94] 也展現出我們長期
[2560.94-2561.94] 更加的財務的成本
[2561.94-2564.94] 去遵循客戶這個產業的決心
[2564.94-2566.94] 看好的方向
[2566.94-2568.94] 好 以上回答
[2568.94-2569.94] 了解 謝謝
[2569.94-2571.94] 最後一個很快的追蹤
[2571.94-2573.94] 你們過去這一兩年
[2573.94-2577.94] 其實AI的部分大部分都是
[2577.94-2580.94] 基本的伺服器為主
[2580.94-2583.94] 那財務長您剛有提到
[2583.94-2587.94] 你們從今年第一季會開始出GB200 GPU的產品
[2587.94-2590.94] 那你覺得今年
[2590.94-2593.94] 從營收佔比來看
[2593.94-2597.94] ASIC還是會是比較大頭的嗎
[2597.94-2600.94] 還是有機會GPU的產品
[2600.94-2605.94] 營收佔比會超過ASIC
[2605.94-2609.94] 好 這個
[2609.94-2612.94] 就產品的這種
[2612.94-2616.94] 的一些說明
[2616.94-2617.94] 產品分佈的說明
[2617.94-2619.94] 我想
[2619.94-2622.94] 我能夠說到的大概就是
[2622.94-2628.94] AI產品AI相關產品的這個成長率
[2628.94-2629.94] 是會大於
[2629.94-2631.94] Lang AI產品的
[2631.94-2634.94] 如果講到佔比的部分的話
[2634.94-2636.94] 那就是則是Lang AI產品
[2636.94-2638.94] 會大於這個AI產品
[2638.94-2641.94] 那我沒有辦法再分下去說
[2641.94-2644.94] AI產品還分GPU跟ASIC
[2644.94-2648.94] 這個確實真的都是客戶的選擇
[2648.94-2651.94] 那我做出以上的這些配比
[2651.94-2653.94] 就是說成長率是AI大
[2653.94-2656.94] 那佔比率應該還是這個長AI大
[2656.94-2658.94] 那這個是從我們的
[2658.94-2659.94] 過去的這些歷史
[2659.94-2662.94] 然後還有這個我們現在已經在量產出貨
[2662.94-2664.94] 目前在當下
[2664.94-2666.94] 我可以看到的是目前在當下
[2666.94-2668.94] 正在大量生產的這個產品的配比
[2668.94-2671.94] 還有即將生產的這個產品配比
[2671.94-2673.94] 所做出的結論
[2673.94-2675.94] 以上回答
[2675.94-2677.94] 好 謝謝您
[2678.94-2679.94] 謝謝
[2679.94-2682.94] 接下來請KGI的Angela請開始
[2686.94-2687.94] 財務長好
[2687.94-2689.94] Harry好
[2689.94-2690.94] 那我這邊大概有
[2690.94-2693.94] 剛剛那個關稅相關的Follow up的一個問題
[2693.94-2695.94] 就是說
[2695.94-2697.94] 記得之前Harry其實也有提過
[2697.94-2699.94] 我們在不同的場區
[2699.94-2702.94] 做了一些彈性的調度或者是運送
[2702.94-2703.94] 那是不是也有根據
[2703.94-2705.94] 我們在不同場區它的這個產品
[2705.94-2707.94] 是不是有被客戶認證過
[2707.94-2713.94] 然後是不是也可以同時在兩個場區做生產
[2713.94-2715.94] 這樣等等的一些相關因素
[2715.94-2719.94] 那就是像剛剛有提到客戶在關稅之後
[2719.94-2721.94] 可能有停止生產
[2721.94-2724.94] 或者是有從別的地方開始去運送生產等等
[2724.94-2729.94] 這樣子是可以非常及時的快速去應用給客戶嗎
[2729.94-2732.94] 那如果這麼樣做的時候
[2732.94-2736.94] 它相對應的一些費用或成本是應該怎麼來看呢
[2736.94-2738.94] 是會增加不少
[2738.94-2742.94] 還是說其實都不用再擔心在維銀的財報上
[2742.94-2744.94] 那這個就是我也要問一下
[2744.94-2747.94] 就是在我們的費用上面
[2747.94-2749.94] 剛好第四季也上來一些
[2749.94-2753.94] 那接下來這個費用應該是怎麼來看待
[2753.94-2755.94] 好謝謝Angela
[2755.94-2759.94] 這個問題很內行
[2759.94-2763.94] 客戶在生產線不是這個
[2763.94-2766.94] 這個明天說這個要補貨
[2766.94-2769.94] 要搬到哪一條生產線就搬的
[2769.94-2774.94] 即便是都是維銀的這個不同的全世界不同的工廠
[2774.94-2776.94] 都不是這樣子一句話就可以搬的
[2776.94-2778.94] 是要經過認證的
[2778.94-2782.94] 那更別說是這個不是維銀的這個公司的話
[2782.94-2784.94] 這個移動的困難度
[2784.94-2788.94] 其實這個前置作業它不可能是一天就發生的
[2788.94-2792.94] 那我們在之前的日子裡面
[2792.94-2795.94] 我們說我們跟客戶的這個所用的密切溝通
[2795.94-2799.94] 也包括了這個產區產線的這個認證的部分
[2799.94-2805.94] 那在這個我們的我們現既有的這些產區的這個調配資源的部分
[2805.94-2808.94] 我們甚至已經有一套劇本是做這個
[2808.94-2813.94] 我們簡單講叫做對飛的這個方式
[2813.94-2821.94] 就是讓墨西哥去出亞洲及歐洲的這個客戶的需求
[2821.94-2825.94] 讓這個捷克廠跟馬來西亞廠去全力
[2825.94-2832.94] 然後用這個同次這個美國客戶的這個甚至是加生產線加班的情況去去質疑
[2832.94-2839.94] 因為目前來說確實我們的這個墨西哥的產能跟北美這個需要的這個底面是大的
[2839.94-2846.94] 如果用正常的光是這個這個墨西哥跟馬來西亞跟捷克目前產能
[2846.94-2850.94] 用正常的產能是沒有辦法完全滿足的
[2850.94-2853.94] 一定要非常措施把自己原來負責的產區做出來的
[2855.94-2858.94] 那這個就是我們的這個劇本
[2858.94-2863.94] 所以他像這樣的劇本我們都有跟客人去這個提案
[2863.94-2868.94] 那如果有當然有客人也接受有客人也考慮中
[2868.94-2871.94] 那只要有我們都會跟客人就一步一步的推展
[2871.94-2874.94] 那如果要做那我們就接下來該做什麼
[2874.94-2879.94] 要這個qualify生產線要去做這個這個設備
[2879.94-2882.94] 一些相關的生產設備的這個增添構置等等
[2882.94-2885.94] 那這些都應該要在事前要先能夠做好
[2885.94-2890.94] 那所以好那再提到就是最後應該就是講到說
[2890.94-2893.94] 對這些都是都需要成本的
[2893.94-2897.94] 增加線然後加班空運
[2897.94-2900.94] 我們的計劃我剛我用對飛來講
[2900.94-2903.94] 就是說這些一定要去滿足這個需求
[2903.94-2906.94] 就是要用空運時間才趕得到
[2906.94-2909.94] 那我想這些都會增加成本
[2909.94-2914.94] 那在這些這個環境經商環境的這些
[2914.94-2918.94] 因為政策所帶來的這個供應的變化
[2918.94-2921.94] 你要說這是成本增加嗎
[2921.94-2926.94] 他確實這就是會增加這個我想這就是通膨的來源
[2926.94-2927.94] 然後這是一個取捨
[2927.94-2931.94] 如果這些成本這個這個這些營運的成本所增加
[2931.94-2935.94] 加班貨線空運費大於關稅
[2935.94-2938.94] 自然客人不會選擇這樣子的選項
[2938.94-2941.94] 那我們也不會採取這樣的動作準備
[2941.94-2943.94] 所以這裡面的評估其實是蠻
[2944.94-2948.94] 蠻蠻整密跟蠻多套劇本在在裡面的
[2948.94-2951.94] 那會不會發生他的他是相對性替代性的
[2951.94-2952.94] 他會比較貴
[2952.94-2956.94] 比一般成平態勢的時候如果很順利的時候
[2956.94-2959.94] 當然會比較貴但是相比起25%的關稅
[2959.94-2964.94] 那只要夠低就就有這個的這個機會
[2964.94-2967.94] 就是會發生的機會
[2967.94-2968.94] 好
[2968.94-2972.94] 對這個意思是說客戶會handle這個cost增加
[2972.94-2974.94] 反正應該不會
[2974.94-2976.94] 影響到我們的意思嗎
[2976.94-2978.94] 我們會合意啦
[2978.94-2979.94] 這樣
[2979.94-2984.94] 這雙方都能夠接受的這個這個這個相比之下最好的選擇
[2984.94-2985.94] 最佳解方
[2985.94-2986.94] 這樣子
[2986.94-2990.94] 理解那甚至也提一下這個費用的方向
[2990.94-2992.94] 我們怎麼來看今年每個季的費用
[2992.94-2996.94] 是用費用金額還是費用率
[2996.94-2999.94] 費用金額費用率
[2999.94-3003.94] 就是講給一個大概可以參考的質疑
[3004.94-3010.94] 我想相對於說我們在這個這個資本支出
[3010.94-3014.94] 費用部分我沒有辦法給一個定值
[3014.94-3024.94] 但我可以分享就是說公司這個也是長期的這個考量
[3024.94-3028.94] 就在費用的部分不管在人的部分
[3028.94-3032.94] 還有那個產品開發我們公司的特性就是
[3032.94-3034.94] 這個費用的因子比較小
[3034.94-3037.94] 這個大大的這個數字其實是來自於就是一個
[3037.94-3038.94] 一則就是人啦
[3038.94-3039.94] 人力的部分
[3039.94-3040.94] 那這個人
[3040.94-3043.94] 就人力的部分的增加
[3043.94-3045.94] 那這個是沒有停止的
[3045.94-3049.94] 那我想這個這個
[3049.94-3051.94] 那還有一個產品
[3051.94-3054.94] 產品的那個那個就是我們的產品開發的部分
[3054.94-3058.94] 我們這個這個行業的特性就是要開發一個新產品就要
[3058.94-3064.94] 就要當下就要一次性的發生大量的這個零件的這個費用
[3064.94-3066.94] 在早期的時候在產品開發的時候
[3066.94-3070.94] 所以人要夠多才能夠
[3070.94-3071.94] 不要說夠多啦
[3071.94-3073.94] 就是要有人啊才能開發專案
[3073.94-3075.94] 開發專案就要買材料
[3075.94-3077.94] 材料就會發生費用
[3077.94-3079.94] 我想我在我們的年度的預算裡面
[3079.94-3083.94] 2025年這兩個重大的因子都是有雙位數的成長
[3083.94-3087.94] 那一樣就跟我如果資本支出是一個動態的調整
[3087.94-3093.94] 我想在這個人才跟開發產品的這個專案的推出上面的也是一個動態調整啊
[3094.94-3099.94] 那長期來說我們是持續在做這個費用的投資
[3099.94-3105.94] 那我們會觀察與營收之間的比較關係也是去做動態調整
[3105.94-3107.94] 以上回答
[3107.94-3108.94] 好的謝謝
[3108.94-3111.94] 我最後跟那個請教一下我們在財報上面啊
[3111.94-3115.94] 我們看到去年我們三大客戶的break down
[3115.94-3118.94] 那其中其實那個兩個M的客戶啊
[3118.94-3122.94] 據我們了解應該去年大部分還是以通用型伺服器為主喔
[3122.94-3123.94] 那這兩個客戶看到的經驗呢
[3123.94-3124.94] 那這兩個客戶看到的經驗呢
[3124.94-3128.94] 其實分別都比前一年增加了40到60%不等
[3128.94-3132.94] 其實是蠻超過整個市場的這個general server的狀態
[3132.94-3134.94] 那我想要請問說
[3134.94-3135.94] 不知道
[3135.94-3139.94] 我知道公司其實對今年的general server應該也不是不會看淡
[3139.94-3141.94] 但我想請教是
[3141.94-3146.94] 今年這樣子的超過產業界的成長狀況
[3146.94-3149.94] 一樣還是可以在我們的客戶上面發生嗎
[3151.94-3153.94] 我努力期望
[3153.94-3155.94] 我努力期望
[3155.94-3156.94] 我努力期望
[3156.94-3158.94] 好
[3158.94-3164.94] 可以解釋一下這個為什麼這個是比較是量的成長還是在單價上面的成長為多
[3164.94-3165.94] 我努力期望
[3165.94-3166.94] 我努力期望
[3166.94-3167.94] 在去年度的時候
[3167.94-3169.94] 量啊
[3169.94-3172.94] 量本身就有這麼大的成長
[3172.94-3174.94] 對
[3174.94-3176.94] 好的謝謝
[3176.94-3178.94] 好我的問題先到這裡
[3178.94-3180.94] 謝謝接下來請志豪
[3180.94-3182.94] 志豪請開始謝謝
[3182.94-3183.94] 你好
[3183.94-3185.94] 你好
[3185.94-3187.94] 我想我就是問幾個簡單的問題
[3187.94-3189.94] 第一個就是想跟進一下那個
[3189.94-3193.94] 你說那個經營現金流去年是負的比較多嗎
[3193.94-3196.94] 然後主要是那個庫存上來
[3196.94-3201.94] 但其實去年我看我們的那個營收增長了50%
[3201.94-3203.94] 庫存增長了大概三倍
[3203.94-3206.94] 有沒有可能就是說其實你這個庫存
[3206.94-3211.94] 已經會到了一個比較高的低水平了嗎
[3211.94-3219.94] 然後今年其實你的那個營收上去其實你的庫存並不一定會繼續大幅增長
[3219.94-3228.94] 然後導致今年你的那個經營現金流會不會轉正還是說我們應該期待還是會負的這個狀態
[3228.94-3230.94] 這個第一個問題
[3230.94-3234.94] 好那我先回答這個問題
[3234.94-3240.94] 存貨您剛提到就增加的從存貨單一這個科目來看增加的幅度很大
[3240.94-3241.94] 但是從
[3241.94-3244.94] 最後這個這個營運現金流卻沒有增加這麼多
[3244.94-3251.94] 其實因為存貨所代表的就是它的另外一面就是應付賬款要付給這個供應商的
[3251.94-3255.94] 所以同步的我們在這個應付賬款的部分也看到大量的增加
[3255.94-3259.94] 所以營業現金也才會到一個就是平衡的狀態
[3259.94-3262.94] 就是可以可支應的狀態
[3262.94-3265.94] 那這是這個現金流的部分
[3265.94-3270.94] 那至於這個存貨會不會在水平會不會維持會再增加
[3270.94-3273.94] 我們才剛公佈二月份的營收
[3273.94-3280.94] 那就在一次二月的營收其實超過前一次的月薪高是在十二月
[3280.94-3282.94] 那正是我們財報結束這個月份
[3282.94-3285.94] 那存貨一直是一個領先指標
[3285.94-3288.94] 存貨代表的是未來的營業收入
[3288.94-3290.94] 從這樣子來推推推判的話
