[0.00-8.52] 现在时间是下午两点整
[1679.24-1680.24] 还是倒挂
[1680.24-1681.24] 但是已经比去年好
[1681.24-1683.24] 那增缩剂的话也刚刚我们说了
[1683.24-1684.24] 我们简报有讲
[1684.24-1688.24] 因为有DMP这个产品是我们几乎掌握了所有的原料
[1688.24-1691.24] 所以在整个增缩剂的毛利来讲
[1691.24-1694.24] 是比其他两个产品的毛利是要高的
[1694.24-1696.24] 好谢谢
[1696.24-1698.24] 好谢谢B总的回复
[1698.24-1700.24] 那接下来的问题是
[1700.24-1706.24] 过去公司多次在景气低迷时会买进库藏股
[1706.24-1711.24] 那目前的股价已经低于买进库藏股的平均价格
[1711.24-1714.24] 那以目前的景气走势
[1714.24-1717.24] 公司是否还会实施库藏股
[1717.24-1721.24] 那以上的提问我们请B总来回答
[1721.24-1723.24] 谢谢
[1723.24-1727.24] 对于库藏股我们现在是没有规划买进了
[1727.24-1731.24] 但是因为我们为了要鼓励我们的同仁
[1731.24-1735.24] 因为在各位知道现在要留财
[1735.24-1736.24] 其实是有点辛苦
[1736.24-1739.24] 尤其在化工业现在不景气的时候
[1739.24-1740.24] 所以我们公司
[1740.24-1745.24] 在前阵已经规划了这个所谓的ESOP
[1745.24-1747.24] 要发给我们的同仁
[1747.24-1749.24] 然后我们分两个阶段
[1749.24-1751.24] 希望能够留财
[1751.24-1753.24] 也希望能够熬过这段时间
[1753.24-1755.24] 让我们好的人才留下来
[1755.24-1758.24] 在行情好转的时候我们有好的发挥
[1758.24-1760.24] 库藏股目前没有规划谢谢
[1760.24-1763.24] 好谢谢B总
[1763.24-1768.24] 那目前我们已经回复了所有线上的问题
[1768.24-1769.24] 那不知道各位先进
[1769.24-1772.24] 还有没有问题要提问的
[1772.24-1777.24] 不知道各位还有没有其他的问题
[1777.24-1781.24] 其实我们因为现在我们今天各位看得到
[1781.24-1785.24] 我们那个增加了一位资深副总徐兆华学先生
[1785.24-1789.24] 他现在也负责公关
[1789.24-1793.24] 所以欢迎如果说这个先各位先进朋友
[1793.24-1797.24] 对联合城的营运各方面有任何的问题
[1797.24-1799.24] 欢迎随时赐教
[1799.24-1803.24] 我们都会很尽速的回复跟各位联络
[1803.24-1805.24] 谢谢各位
[1805.24-1807.24] 好谢谢B总
[1807.24-1809.24] 那目前所有问题皆已回复
[1809.24-1811.24] 若各位先进没有进一步提问
[1811.24-1815.24] 我们今天的法人说明会就此圆满结束
[1815.24-1817.24] 诚挚感谢各位波浪参与
[1817.24-1819.24] 与对于联城的关注
[1819.24-1822.24] 也特别感谢凯基证券的协助
[1822.24-1825.24] 我们下一次法人说明会再见
[1825.24-1827.24] 谢谢大家
[1829.24-1831.24] 谢谢大家
