[0.00-28.82] 接下來很榮幸能邀請到華擎的許龍倫總經理
[1493.82-1496.82] 那Q3的話會從
[1496.82-1502.82] 目前是在H200跟H100基本上已經走完了
[1502.82-1504.82] 現在是走H200
[1504.82-1507.82] 然後接下來H200 Q2會到V200
[1507.82-1509.82] 然後Q3可能會到V300
[1510.82-1512.82] 我們Q2的主力會在V200
[1512.82-1515.82] H200跟V200到Q3會到V300去
[1515.82-1517.82] 那OVER今年來看的話
[1517.82-1522.82] 我們大部分會還是在這個所謂的H系列跟V系列
[1522.82-1526.82] 那至於包裝則上講的費費等等的
[1526.82-1530.82] GV200 GV300坦白說我們就會比較慢一些
[1530.82-1532.82] 因為那個是整個機櫃東西
[1532.82-1535.82] 那大部分是T21的CSP在用的
[1535.82-1536.82] 那我們就比較慢一些
[1536.82-1538.82] 等到它比較更POPULAR之後
[1538.82-1539.82] 我們的一些
[1539.82-1541.82] 我們客戶SIZE比較小
[1541.82-1543.82] 大概是T23 T24的那個CSP
[1543.82-1545.82] 或者是DATA CENTER的話
[1545.82-1547.82] 他們才會考慮去用這些東西
[1547.82-1550.82] 所以我們目前今年現在看起來都還是在這個
[1550.82-1554.82] 從H100 H200到V200 V300這個上面
[1554.82-1558.82] 但是需求其實還是蠻穩定的
[1558.82-1560.82] 並不會因為說G200
[1560.82-1563.82] G200開始這些就少了很多
[1563.82-1568.82] 因為大部分G200 REPLACEMENT是那種超大型DATA CENTER
[1569.82-1572.82] 並不是這種一般的LOCAL的
[1572.82-1575.82] 或者是中小型的CSP它的REPLACEMENT
[1575.82-1577.82] 目前還不是到GV200 GV300
[1577.82-1579.82] 對我們來講我們今年大概就是
[1579.82-1583.82] 還是以這個H系列跟V系列為主
[1583.82-1585.82] 那SO FAR看起來就是
[1585.82-1587.82] 那個DEMAND還蠻
[1587.82-1590.82] 我們覺得還蠻STABILIZED的
[1590.82-1593.82] 所以這是AI的部分
[1593.82-1595.82] 那TODDITIONAL的部分的話
[1595.82-1599.82] 我們去年去年2024相較2023其實有一個很大的差別
[1599.82-1601.82] 就是它在成長ALMOST DOUBLE DIGITAL
[1601.82-1603.82] 在TODDITIONAL的那個SERVER上頭
[1603.82-1607.82] 那今年看起來應該還是有一個DOUBLE DIGITAL的成長
[1607.82-1611.82] 尤其是在第三季第四季
[1611.82-1613.82] 那我們有一些新的客戶
[1613.82-1616.82] 比較中大型對我們來講
[1616.82-1618.82] 比較中大型的客戶應該
[1618.82-1621.82] 他有一些專案可以在第三季第四季導入
[1621.82-1624.82] 所以在傳統的SERVER上面的第三季第四季會看到
[1624.82-1627.82] 比較大的一個成長
[1627.82-1629.82] 上半年可能就是跟去年
[1629.82-1632.82] 平均去年的平均差不多
[1632.82-1635.82] 那OBOR來看
[1635.82-1638.82] 所以這樣看下來的話SERVER今年的GUIDANCE
[1638.82-1640.82] 跟我們去年的估計差不多
[1640.82-1644.82] 就是還是會有一個蠻大的那個GROCE
[1644.82-1646.82] 蠻大的GROCE
[1646.82-1649.82] 那這樣看起來的話今年SERVER跟VGA
[1649.82-1654.82] 可能他的GROCE RATE在我們觀察裡頭可能是SIMILAR
[1654.82-1657.82] 類似差不多
[1657.82-1658.82] 除非下半年有
[1658.82-1662.82] SERVER或者VGA有一個突然間有一個很大的爆發
[1662.82-1665.82] 不然我們現在看起來兩邊的話是差不多
[1665.82-1667.82] 以上是跟大家報告OBOR來看的話
[1667.82-1673.82] 我們今年看生意相較於2024還是蠻樂觀的
[1673.82-1675.82] 那毛利率的話
[1675.82-1677.82] 剛那個財務長有跟大家報告
[1677.82-1679.82] PRECIMATCH可能是差不多
[1679.82-1682.82] 因為CONFINATION的問題
[1682.82-1686.82] 那OBOR來看我們是覺得今年相較去年
[1686.82-1689.82] 好像蠻多但是還蠻樂觀的
[1689.82-1691.82] 以上是跟大家報告
[1691.82-1694.82] 那大家如果有什麼問題就歡迎提出來
[1694.82-1695.82] 好謝謝
[1716.82-1735.82] 我們現在講好了以發錢的產品來看的話
[1735.82-1738.82] 我們主板本來就在大陸以外生產
[1738.82-1739.82] 我講銷美國的
[1739.82-1742.82] 我現在講的是銷往美國的部分
[1742.82-1744.82] 我們主板本來就在大陸以外生產
[1744.82-1746.82] 所以這部分目前為止沒有發錢
[1746.82-1747.82] 沒有受影響
[1747.82-1748.82] 那VGA卡的話
[1748.82-1751.82] 我們從2月開始就轉到
[1751.82-1756.82] 應該是2月開始就決定轉到越南去
[1756.82-1758.82] 所以陸陸續續現在開始在越南生產銷美國的
[1758.82-1761.82] 所以板卡比較不會受影響
[1761.82-1762.82] 到目前為止
[1762.82-1769.82] 當然那IPC跟那個SERVER有一部分的板卡
[1769.82-1770.82] 的確目前還在大陸生產
[1770.82-1772.82] 因為他那邊要移轉沒有那麼快
[1772.82-1774.82] 那我們是有在SERVER啦
[1774.82-1775.82] 因為
[1775.82-1776.82] 其實
[1776.82-1787.82] 困難對
[1787.82-1790.82] 其實大陸美國對大陸的關稅
[1790.82-1793.82] 現在是10%加10% 20%
[1793.82-1796.82] 實際上還有一個東西是25%在5月31號
[1796.82-1797.82] 之前有一個
[1797.82-1799.82] 大家如果記得早期
[1799.82-1802.82] 美國就有一個25%關稅貸中國課徵
[1802.82-1805.82] 那一部分後來不用課是因為用豁免
[1805.82-1807.82] 而是就是就不在豁免的時候
[1807.82-1809.42] 那就變成美國
[1809.62-1812.42] 阿魯蘇美國的電子產品就變成25%
[1812.42-1814.52] 加上目前20%至少是45%
[1815.12-1817.82] 這是5月31號之後看美國政策的變化
[1817.92-1821.52] 就我們在Server跟IPC有在尋找
[1821.82-1822.62] 呃
[1822.82-1825.52] 還有大陸以外的生產的
[1826.02-1826.82] solution
[1826.82-1828.72] 那很有可能會是在台灣
[1828.72-1831.72] 目前有幾個在對向在接觸當中
[1832.02-1833.92] 大致上是這樣子跟大家報告
[1833.92-1836.32] 所以華擎的產品問題比較不大
[1836.52-1837.82] 但是現在又牽涉到一個點
[1837.82-1839.02] 如果4月2號
[1839.52-1842.42] 呃這個美國的所有的對等關稅又坑了
[1842.42-1844.32] 又掃到很多國家的話
[1844.52-1847.42] 假設說譬如說啦掃到越南掃到台灣
[1847.62-1849.82] 那這個說實在短期也沒地方去啊
[1850.32-1850.92] 但是
[1851.12-1851.82] 但是
[1852.42-1854.62] 比較好的就是說不是比較好啦
[1854.62-1856.42] 就是說大家condition都一樣
[1857.32-1859.72] 大家condition都差不多並目前
[1860.32-1862.62] 還沒有聽說有人可以在
[1863.12-1863.82] 這三個地方
[1863.82-1866.92] 地方以外找到100%的產能去處理這件事
[1867.42-1868.02] 對所以
[1868.22-1869.12] 所以我們目前
[1870.12-1872.92] 最大的觀察是4月2號他到底要怎麼做
[1873.32-1875.92] 他的對等關稅會不會課到越南會不會課到台灣
[1876.72-1877.82] 我們其實在觀察這一點
[1877.82-1880.32] 如果他課到越南課到台灣的確對我們來講
[1880.42-1881.92] 我們就要再找新的產能
[1882.32-1883.52] 才有辦法去for free
[1883.62-1884.22] 但是
[1884.62-1885.22] 嗯
[1886.52-1887.12] 多啦
[1887.22-1888.12] 就是這兩個
[1888.22-1890.82] 這些個國家以外的板卡的產能其實不多
[1891.42-1893.02] 所以大家都會面臨一樣的問題
[1893.82-1894.82] 其實就是的
[1896.42-1897.22] 對
[1897.32-1898.42] onomy
[1898.52-1899.72] 這是ccc
[1900.12-1901.06] 因為
[1901.32-1901.86] 朋友
[1902.02-1902.52] Значит
[1902.92-1903.06] 我就是
[1903.12-1903.38] 太 Brad
[1903.56-1904.06] دة
[1904.12-1905.12] 我的老師
[1905.12-1906.02] 我不是 workers
[1906.12-1906.62] 我不能說
[1906.62-1914.52] working
[1914.62-1915.82] 即動
[1917.22-1919.28] 但
[1919.32-1923.72] 就有一個
[1923.82-1946.22] 我觉得目前是因为A卡缺货
[1946.22-1949.12] 然后A卡的整个performance还不错
[1949.12-1950.14] 就也挺好的
[1950.14-1953.78] 所以整个市场上对A卡的接受率就更高
[1953.78-1958.14] 因为看起来A卡的缺货可能还要
[1958.14-1959.98] 因为我没做
[1959.98-1960.90] 其实我不是很清楚
[1960.90-1964.02] 但是听起来可能还有一两个月才有办法解决掉
[1964.02-1967.74] 那你IC出来到市面上要铺下去
[1967.74-1968.94] 至少大概一个月
[1968.94-1972.78] 所以我觉得可能会到四月甚至五月才有可能
[1972.78-1976.94] 在市场上看到这个A卡的缺货慢慢疏解
[1976.94-1979.28] 但是这样子的话
[1979.28-1982.78] A卡可能也卖了一个quarter了
[1982.78-1983.74] 所以他也会有一个
[1983.74-1985.50] 一定的momentum存在
[1985.50-1989.24] 再加上其实整体的高阶的市场
[1989.24-1991.16] 今年应该是还不错
[1991.16-1994.70] 我建议今年唯一的变数是川普怎么搞
[1994.70-1998.16] 对他不要把美国搞到那个经济下行就好了
[1998.16-2001.98] 只要美国经济为止一定程度稳定
[2001.98-2002.86] 不要衰退的话
[2002.86-2005.50] 我觉得欧洲今年应该是还不错
[2005.50-2007.24] 那这种情况之下
[2007.24-2010.74] 卡的那个整个的尤其中高阶
[2010.74-2013.74] 尤其中高阶卡的销量在下半年应该会不错
[2013.74-2015.20] 不错情况之下
[2015.20-2018.40] N卡A卡应该都会整个销量都会成长
[2018.40-2021.82] 这是我们目前对整体VGA市场
[2021.82-2023.90] 还看法还蛮乐观的原因
[2023.90-2040.50] 总经理你好
[2040.50-2041.04] 蔡复杂你好
[2041.04-2043.74] 然后请问我们今年看到电竞的这个
[2043.74-2045.62] 需求应该说显卡需求
[2045.62-2048.08] 我们感受到是主要是来自电竞
[2048.08-2052.24] 还是说可能有跟工作站相关的
[2052.24-2054.32] 买一说目前都是电竞
[2054.32-2056.70] A卡目前来讲都是电竞
[2056.70-2060.98] 那工作站的或者是做AGE AI的需求
[2060.98-2063.12] 我就会有AGE AI的需求
[2063.12-2064.70] 我就尤其是Deep-Seek出来之后
[2064.70-2068.08] 大家都要去做low cost的AI做Inference
[2068.08-2071.66] 那low cost AI做Inference现在solution很多
[2071.66-2073.74] 但是要等到那个
[2073.74-2078.50] 我觉得那个software的进展会很快
[2078.50-2082.74] software那些小model做Inference的进展会很快
[2082.74-2086.74] 到时候变成说现在其实现在大家在想做一件事
[2086.74-2089.16] AGE AI到底要怎么做
[2089.16-2092.50] 那软体做出来硬体到底要怎么推
[2092.50-2095.78] 要推什么样硬体AGE AI才是适合AGE AI的
[2095.78-2101.62] 的确现在现在各家的卡除了那个H100 H200
[2101.62-2103.58] 这种高的那个AI的software
[2103.58-2103.62] 的硬体才会起来的硬体才是适合AGE AI的
[2103.74-2104.74] 硬体才会起来的硬体才是适合AGE AI的
[2104.74-2106.74] 大型语言模组织训练之外
[2106.74-2109.74] 其实你是NVIDIA或者AMD
[2109.74-2111.74] AMD它其实很想做AGE AI这一块
[2111.74-2113.74] 它的Gaming卡的部门
[2113.74-2115.74] 我讲的不是MI300的部门
[2115.74-2117.74] 我讲的是Gaming卡的部门
[2117.74-2121.74] 一直想做这一块就是传统的工作站那一块
[2121.74-2123.74] 但这一块有几个因素
[2123.74-2125.74] 一个就是市场的成熟度
[2125.74-2129.74] 就是说到底我去做这个AGE AI的solution的时候
[2129.74-2133.58] 哪些什么样的公司会需要这样的工具
[2133.58-2135.58] 这样的function去service它的客户
[2135.58-2139.58] 还有这样的solution是不是已经ready for
[2139.58-2143.58] 一般的公司去adapt
[2143.58-2147.58] 来做出它的那个AI的solution去service它的客户
[2147.58-2151.58] 那我觉得这个软体上可能还要再一段时间
[2151.58-2155.58] 那硬体上的话现在的确大家有在拼那个工作站的做法
[2155.58-2157.58] 那硬体不是太大的问题
[2157.58-2161.58] 因为通常他们现在的做法就是想办法用现有的Graphic Card
[2161.58-2163.42] 去把MME double size
[2163.42-2165.42] 那为什么MME要double size
[2165.42-2169.42] 因为MMEdouble size之后它可以做training做influence的model的参数会比较大
[2169.42-2173.42] 那所以这个在技术上硬体技术上难
[2173.42-2175.42] 但是这个难的是难在软体
[2175.42-2177.42] 软体的话
[2177.42-2179.42] 因为大部分
[2179.42-2185.42] 做这样子AGE AI solution的software company其实不是很大的company
[2185.42-2187.42] 我讲的不是像DeepSeek这些
[2187.42-2191.42] 我想是去采用DeepSeek这个model或者讲的Lama model
[2191.42-2193.42] 或者是
[2193.42-2195.42] AGE AI的O3的model
[2195.42-2197.42] 这种东西的公司去采用这种model公司
[2197.42-2203.42] 然后用这种model推出它的AGE AI solution的公司
[2203.42-2209.42] 通常来讲他们software engineer的能量没有那么大
[2209.42-2211.42] 所以他们目前来讲还是很
[2211.42-2213.42] 很依靠在CUDA上头
[2213.42-2215.42] 很依靠在CUDA上头
[2215.42-2217.42] 所以变成说大家都想进入这个市场
[2217.42-2219.42] 那对MD对Intel来讲最重要的是
[2219.42-2221.42] 他们的软体的compatibility
[2221.42-2223.42] 能够做到什么程度
[2223.42-2225.42] 这样才有机会
[2225.42-2227.42] 硬体其实我觉得不是问题
[2227.42-2229.42] 是软体的compatibility
[2229.42-2231.42] 因为target的对象
[2231.42-2233.42] workstation target的对象都是小公司
[2233.42-2235.42] 不是大公司
[2235.42-2237.42] 所以他的software engineer的人不会非常多
[2237.42-2239.42] 所以说他不会有人
[2239.42-2241.42] 专门去做两套
[2241.42-2243.42] 一套for CUDA一套for AMD一套forIntel
[2243.42-2245.42] 不会他会希望就是做一套
[2245.42-2247.42] 把它处理完
[2247.42-2249.42] 所以变成说AMD对Intel来讲
[2249.42-2251.42] 他都会什么时候ready到
[2251.42-2253.42] 客户去从CUDA转到他solution
[2253.42-2255.42] 是很方便的
[2255.42-2257.42] 这样他才有可能成功
[2257.42-2259.42] 而不是硬体的部分
[2259.42-2261.42] 硬体我觉得都还ok
[2261.42-2263.42] 不是问题
[2263.42-2265.42] 这个现在是AMD跟Intel的挑战
[2265.42-2267.42] 那workstation
[2267.42-2269.42] 要起来
[2269.42-2271.42] 要放比较大的量的话
[2271.42-2273.42] 应该是在这边
[2273.42-2275.42] 那这个最大的市场短期看到是在大陆
[2275.42-2279.42] 我觉得也许到下半段
[2279.42-2281.42] 也许到下半年
[2309.42-2325.40] 会是那些货币上同文买一辈子
[2325.50-2327.42] 也许通文一辈子
[2327.42-2329.42] 或人家会反复出现
[2329.42-2332.70] 安核
[2332.70-2334.30] 又无法写信
[2334.30-2336.10] 我的意思是
[2336.10-2337.10] punk
[2337.22-2339.26] corrected
[2339.26-2359.88] 我们目前社区的公司规模
[2359.88-2361.92] 坦白说我们也只能够做
[2361.92-2364.52] T23 T24
[2364.52-2365.78] 有一些T22还可以
[2365.78-2367.80] 你说他真的要做很大
[2367.80-2369.18] 坦白讲我也没有钱
[2369.18-2371.64] 因为你要买掉那个钱都是
[2371.64-2373.60] 你要做很大就是拿个1000亿出来
[2373.60-2375.70] 放在桌子上才能玩的
[2375.70-2376.64] 这我也做不到
[2376.64-2379.90] 至于说您讲的那个风险的话
[2379.90-2381.80] 目前来讲我们是这样子
[2381.80-2385.26] 大部分都是TDInvent
[2385.26-2387.12] 在AI的社会我们比较保守
[2387.12-2388.92] 我们大部分都是TDInvent
[2388.92-2390.98] 真正放账的很少
[2390.98-2393.74] 我们现在AI
[2393.74-2395.72] 我们目前是没有放账
[2395.72-2397.98] 确实如果你要做比较大的客运
[2397.98-2399.16] 他可能会要求你要payment
[2399.16-2401.98] 那目前来讲我们是没有
[2401.98-2404.88] 如果有的话也会是比较大的客户
[2404.88-2406.50] 比较知名的客户
[2406.50-2407.42] 那我们会很小心
[2407.42-2409.30] 那目前来讲AI来讲
[2409.30-2413.18] 我们都是要先全部付款
[2413.18-2413.96] 我们才会出货
[2413.96-2415.42] 目前是这个样子
[2415.42-2417.84] 那传统的社会我们就照原来的
[2417.84-2419.76] 有一些放账的行为
[2419.76-2421.88] 那放账大部分都是有保险
[2421.88-2425.72] 不是很大的那个financial很好的
[2425.72-2426.70] 我们才没有保险
[2426.70-2429.00] 目前来讲大致上是这个样子
[2429.16-2431.20] 我们的事情是有关系的
[2431.20-2433.16] 所以我们就要先把这个事情
[2433.16-2434.24] 先把这个事情做好
[2434.24-2435.30] 我们就要先把这个事情做好
[2435.30-2437.36] 我们就要先把这个事情做好
[2437.36-2439.92] 我们就要先把这个事情做好
[2439.92-2441.96] 我们就要先把这个事情做好
[2441.96-2444.02] 我觉得他们的利基点就是
[2444.02-2447.30] 到最后会变成跟现在的那个
[2447.30-2450.50] 现在其实也有很多是T2 T3的
[2450.50-2451.98] Web hosting company
[2451.98-2453.88] 还有一些CSP
[2453.88-2455.78] 那他们利基点就是说他比较Niche
[2455.78-2457.86] 然后他比较有弹性
[2457.86-2459.00] 那这个东西可能不是很弹性的
[2459.00-2459.16] 这个东西可能不是很弹性的
[2459.16-2461.60] 可能是那种大的CSP愿意去处理的
[2461.60-2462.88] 那我觉得他的市场
[2462.88-2464.88] 永远在那边就是percentage
[2464.88-2466.24] 可能9比1
[2466.24-2467.86] 永远就是9比1
[2467.86-2469.78] 他也不会那个1不见
[2469.78-2471.24] 但是他就是说
[2471.24-2474.90] 他不会是在一个主战场那里
[2474.90-2477.34] 他大概就是永远会是这样9比1
[2477.34-2478.56] 我觉得大概就是这样
[2478.56-2479.64] 像目前这样
[2479.64-2481.94] 8比2 9比1大概是这种情况
[2489.16-2496.50] 我觉得这个些 replay
[2496.50-2497.72] 前面说的是
[2497.72-2498.68] 台湾的 licensure
[2498.68-2500.30] 真的 chance
[2500.30-2500.68] 我跟大家分享一下
[2500.68-2501.72] 总经理你好
[2501.72-2503.28] 不好意思我刚刚在一个时间我 Mv lever
[2503.28-2504.02] 但是我想问一下
[2504.02-2504.92] 我根本没行了
[2504.92-2506.12] 因为我刚刚在确认
[2506.12-2506.44] 我们一下子
[2506.44-2507.66] 在专页的内容里面
[2507.66-2508.68] 我们看了一下
[2508.68-2509.22] 你这个 desk membrane
[2509.22-2509.88] favorites
[2509.88-2510.44] função预充嘛
[2510.44-2511.78] 事 Lah
[2511.78-2512.82] 然后他已经涉及到
[2512.82-2514.16] 原进去跟我们谈到的
[2514.16-2515.52] 这个收容当中
[2515.52-2517.02] 所以我感觉
[2517.02-2518.52] 刚刚我也说推荐一下
[2518.52-2519.06] 这个手机很多时候
[2519.06-2520.90] 听你在讲那个
[2521.40-2525.10] Q1以及Q2之后的
[2525.70-2527.66] 的server这一块的momentum
[2528.00-2531.70] 可以比你从第四季开始去
[2532.50-2533.90] 的一个基础来看待
[2534.62-2536.76] 是看成长率还是看绝对值
[2541.30-2543.30] 绝对值啦不可能是成长率啊
[2543.66-2544.46] 对啊
[2545.70-2546.32] 绝对值啦
[2546.32-2550.02] 那那个momentum是现在是比较偏稳定了
[2550.02-2550.72] 还是说
[2551.18-2553.52] 在这今年这四个季度会有
[2554.22-2555.82] 比较大的落差还在
[2556.32-2558.56] 我觉得四个季度可能就是稳稳的
[2558.86-2561.68] 对不见得会有很大的
[2562.02-2563.86] 的upside down side不一定
[2563.98-2564.98] 不见得会对
[2565.06-2565.82] ok好谢谢
[2565.82-2567.26] 我们自己看我们自己是这样
[2567.38-2568.18] 好谢谢
[2573.92-2575.16] 要补充一下因为
[2575.52-2576.16] 因为
[2576.16-2579.12] 单目前来讲AI的单价比较高
[2579.12-2580.62] 所以如果像我们
[2580.82-2583.50] 最最明显1月1 2月的差异性
[2583.50-2584.56] 1月的部分
[2584.66-2585.42] 营收暴增
[2585.42-2588.16] 其实很大一部分是来自于2月的客人
[2588.22-2589.52] 提前拉货的关系
[2589.66-2590.40] 所以刚才
[2590.46-2592.02] 总经理提到是说我们
[2592.02-2594.26] 大致上应该都会维持这样的一个状况
[2594.26-2597.56] 但是如果客人有提前或避延拉货
[2597.70-2599.82] 但尤其是在季底那个月底
[2600.00-2602.66] 那可能影响数就会比较明显一点
[2602.92-2604.02] 这个这个可能会
[2604.22-2605.02] 嗯
[2605.02-2606.98] 风险还是会存在的
[2606.98-2609.46] 但如果以overall整个季度来看的话
[2609.46-2611.78] 这个我们momentum会是比较
[2612.02-2612.78] 嗯稳定的
[2612.78-2613.66] 只是单月
[2613.76-2616.38] 各位可能会看到一个比较大的波动
[2628.08-2629.62] 那全就是可能是
[2629.86-2631.38] 因为products的改变
[2631.38-2632.98] 然后因为那个AI server这边
[2632.98-2634.72] 就永勤那边的放量嘛
[2634.72-2635.02] 那
[2635.02-2636.92] 让这个Gross margin就是掉到
[2637.42-2639.12] 15那是不是说
[2639.12-2642.62] 因为因为这个可能比较像结构性改变
[2642.62-2645.02] 因为以后以前没有AI server
[2645.02-2646.76] 但现在起来蛮多的
[2647.12-2648.58] 所以我们以后是不是看
[2649.32-2651.06] 啊就是说至少啦
[2651.06-2652.36] 就是说今年的话
[2652.36-2654.16] 可能这15%可能就是
[2654.58-2655.62] 会是一个常态
[2655.62-2657.66] 因为你那个永勤的AI server
[2657.66-2658.98] 那个量体太大了
[2659.18-2661.26] 那整个分母变大之后
[2661.88-2663.46] 啊这个Gross margin对
[2663.46-2664.86] 要回到过往的这个
[2664.86-2667.32] 水准可能会比较辛苦一点
[2667.32-2669.86] 因为那个VGA这边也是相对
[2670.32-2671.42] 因为他量体是大
[2671.42-2672.26] 但是Gross margin
[2672.26-2674.06] 其实看同意也是类似现象了
[2674.06-2675.06] 所以我不知道说
[2675.42-2678.80] 是不是以后这个15%大概就是可能
[2678.80-2681.32] likely会是今年或是可能
[2681.32-2684.12] 也许我看到2026大概就是这样的pattern
[2684.12-2684.42] 对
[2687.10-2689.22] 整个Gross margin目前来看的话
[2689.22-2692.32] 要回到过去20的难度很高
[2692.70-2694.82] 那目前来讲我们认为应该是
[2694.86-2696.40] 今年第4季
[2696.66-2697.86] 今年
[2698.10-2701.30] 去年第4季然后到今年第一季来讲的话
[2701.30-2703.86] 应该会是一个毛利率的低点
[2703.86-2706.20] 那接下来的话几个产品线
[2706.30-2709.90] 有机会开始比较提升一些毛利率的部分来讲
[2709.90-2711.10] 就像刚才提到的
[2711.10-2712.82] 会有一些新产品进来
[2712.90-2716.02] 那这些部分的毛利率的提升之下的话
[2716.06-2718.96] 会有助于这个部分往上提升
[2719.06-2722.42] 那是提升的幅度坦白说相对有限
[2722.52-2724.86] 所以未来来讲的话
[2724.86-2729.36] 整个毛利率估计应该是在以Q4的为base
[2729.36-2731.32] 那可能是一个微幅的
[2731.32-2732.80] Q1可能会有
[2733.06-2736.36] Q1估计应该会在微幅波动一点
[2736.36-2739.22] 但是接下来应该有机会慢慢的微幅
[2739.22-2741.52] 往上的几率会稍微多一点
[2741.60-2745.12] 那主要是因为接下来的一些
[2746.12-2748.66] 消费型产品的旺季如果来的时候
[2748.70-2751.36] 那消费型产品的比重开始拉高的时候
[2751.42-2754.20] 这个时候他的margin就有机会往上提升
[2754.30-2757.14] 那另外一个提到的是刚才提到IPC的部分
[2757.14-2759.04] 如果也开始慢慢回升的话
[2759.10-2762.20] 他对毛利率也有一些相对的帮助
[2762.26-2765.14] 那最后一个影响因素是整个
[2765.20-2767.70] server的general purpose的margin来讲的话
[2767.70-2770.24] 其实虽然永井的margin在往下降
[2770.30-2772.06] 但如果我们把它分两个部分
[2772.06-2773.46] 一个是AI产品线
[2773.46-2775.64] 一个general purpose的产品线来看
[2775.70-2778.66] 他general purpose在过去这三个年度来讲的话
[2778.66-2781.86] 他其实整个margin是一直在往上成长的
[2781.90-2784.16] 那这部分来讲就是我们在希望
[2784.16-2787.62] 在这部分琢磨如果可以有比较像刚才总经理提到
[2787.62-2790.22] 有一些客人比较重要的客人可以
[2790.30-2793.76] 有比较量大的量产的出来的状况
[2793.82-2795.80] 那这部分对永琴的一个毛利率
[2795.80-2797.80] 也会有一些比较明显的提升
[2801.50-2805.02] 请请请教一下就是在motherboard那块
[2805.06-2806.32] 总经理刚才有提到
[2806.62-2808.76] 中国最差的情况已经过了
[2808.76-2812.20] 就是你们看到有有什么一个迹象
[2812.20-2813.60] 那中国现在市场
[2813.60-2816.80] 他的感受大概是怎么样
[2820.60-2822.20] 就是看因为
[2823.00-2826.16] 最近有去跟大陆一些客人聊了
[2826.16-2830.10] 那目前觉得当然外面看大陆的经济都还是很糟糕
[2830.10-2833.00] 然后川普这个东北要继续打
[2834.06-2837.60] 但是我们看起来就觉得大陆其实
[2838.00-2839.94] 他现在的内需的话
[2839.94-2842.90] 像他他不是有那个加电补贴20%吗
[2842.90-2845.80] 那其实其实是卖的蛮不错的
[2845.80-2847.40] 那他这个会继续做
[2847.40-2850.20] 然后手机各方面补贴他会继续做
[2850.20-2854.50] 所以我们觉得中国可能总体经济可能
[2854.50-2857.90] 这是我们自己觉得啦不不不见得是怎么样
[2857.90-2859.30] 可能是到了一个
[2859.80-2862.20] 就是说what's case可能已经过去了
[2862.20-2864.96] 那当然你说中美如果达到最后两败俱伤
[2864.96-2865.80] 也许会更惨
[2865.80-2869.90] 但是我们比较不觉得会朝那个方向去走啦
[2869.90-2871.70] 那在这种情况之下
[2872.90-2877.00] 其实中国的大陆本身那边的内需各方面的
[2877.50-2879.50] 整个消费接下来应该会
[2879.90-2881.20] 会逐步是往上了
[2881.20-2883.00] 不见得会再一度往下去了
[2883.60-2885.40] 大家也可以看到这个
[2886.20-2887.70] 从deep-seek之后
[2887.70-2890.80] 他的整个股票市场还有各方面的投资
[2891.00-2892.80] 也都开始变得比较积极了
[2893.00-2897.10] 那这些我相信对他的内需各方面都是比较正面的
[2897.20-2900.40] 那当然中美贸易大战还是一个很大的变数啦
[2900.40-2902.70] 只是说不过我们看起来
[2902.90-2906.70] 觉得他有可能是谷底已经慢慢要
[2906.70-2910.00] 就是逐步的回温在内需的市场
[2910.00-2912.50] 这是我们觉得的
[2912.50-2913.40] OK
[2913.40-2916.20] 那我在careify一个数字
[2916.20-2917.90] 就是刚才也提到就是
[2917.90-2920.30] 全地市级YY其实蛮强的
[2920.30-2923.30] 然后后面会延续是讲延续4个季度
[2923.30-2924.20] 不是10个季度
[2924.20-2930.80] YY不太是以YY为base
[2930.80-2932.40] 是刚才提到应该是说
[2932.90-2935.70] 我们去年第4季YY大概成长64%
[2935.70-2937.60] 那目前来看的话
[2937.60-2938.40] 如果这个
[2939.90-2942.60] 我们展望今年以Q1来看的话
[2942.60-2944.30] 我们认为Q1应该
[2944.30-2945.90] 如果Q2我们认为
[2945.90-2948.30] 往上的几率还是会相对的比较高一点
[2948.60-2950.70] 那Q2的部分来讲的话
[2950.70-2953.20] 因为消费型产品的淡季
[2953.20-2956.90] 那虽然刚才董经理有提到整个VGA的状况
[2957.30-2958.70] 市场需求还不错
[2958.90-2960.70] 所以VGA的部分来讲的话
[2960.70-2962.70] 可能会表现比以往淡季
[2962.90-2963.50] 稍微好一点
[2963.50-2967.40] 但Model的部分可能还是还是避免不了
[2967.40-2970.30] 所以整个Q4来讲的话
[2970.30-2973.40] 应该会有一个微幅的下滑的趋势
[2973.40-2976.40] 那接下来是因为是又第3季又第4季
[2976.40-2979.70] 又是消费型产品的旺季开始带动
[2979.70-2982.40] 那Server这部分的话
[2982.40-2985.10] 包含General Purpose跟AI这边的话
[2985.10-2987.40] 应该也有一些机会再往上盘
[2987.40-2988.40] 那再加上IPC
[2988.40-2990.40] 所以整个下半年来讲的话
[2990.40-2992.10] 认为应该会表现会比
[2992.90-2995.10] 上半年应该有机会再好一点
[2995.10-2996.70] 那所以overall来看
[2996.70-2997.70] 这样来看的话
[2997.70-2999.20] 整个目前来看
[2999.20-3004.30] 我们认为未来的从今年第1季到第3季来看的话
[3004.30-3007.20] 要再维持一个YY一个成长力道
[3007.20-3010.20] 我不是说我们每一个YY都有60%
[3010.20-3011.40] 这个可能比较难一点
[3011.40-3016.00] 所以继续维持一个这样的一个正的成长力道的话
[3016.00-3019.50] 应该目前来看几率是相对的比较偏高一点
[3019.50-3022.10] 所以刚才提到应该是这样一个趋势
