[0.00-5.00] 好各位
[1355.54-1356.86] Compass
[1356.86-1359.78] 这些防毒软体
[1359.78-1361.46] 但他的资料是说
[1361.46-1362.82] 2006年的时候
[1362.82-1365.02] 他们所收集到的资安文物类
[1365.02-1366.94] 大概30%是炸的
[1366.94-1368.34] 但是以去年为例
[1368.34-1369.38] 2020
[1369.38-1371.46] 这些资安的供给已经
[1371.46-1372.66] 90%都差了
[1372.66-1373.78] 所以我们可以说
[1373.78-1375.70] 其实大片已经是资安
[1375.70-1377.18] 这几年
[1377.18-1379.78] 目前最重要的一个国际
[1379.78-1382.06] 好
[1382.06-1383.90] 我帮你时间讲一下我们个别产品
[1383.90-1385.50] 我想这些说大家对手
[1385.50-1387.74] 其他是一个所谓的Core ID
[1387.74-1390.30] 即时电视陌生电话的一个APP
[1390.30-1391.70] 它可以免费下载的
[1391.70-1392.78] 你Google可以下载
[1392.78-1394.86] 也可以付费订阅我们的服务
[1394.86-1394.98] 可以
[1394.98-1395.02] 可以付费订阅我们的服务
[1395.02-1397.46] 也是月费半年或者是一整天
[1397.46-1400.98] 我们在主要的目前的市场
[1400.98-1403.22] 就是在这个东亚跟东亚地区
[1403.22-1404.18] 然后我们还有大概打发的
[1404.18-1405.18] 应用在巴士
[1405.18-1408.78] 目前我们的Whostal的
[1408.78-1412.38] 移植模式分广了跟订阅
[1412.38-1414.98] 但BG已经呈现在BG的状况
[1414.98-1419.46] 从去年我们在Whostal
[1419.46-1420.62] 也推出了很多新的功能
[1420.62-1422.46] 从原本的电话房型
[1422.46-1423.46] 情人房价
[1423.46-1424.98] 更进了网易房价
[1424.98-1426.58] 社交媒体房价
[1426.58-1430.10] 包含最左边的大家对手边的目前在Whostal
[1430.10-1435.22] 其实是用于去侦测去看你的个人关系
[1435.22-1438.74] 在第二是照片网站自动侦测
[1438.74-1440.50] 让做一些简单的设定
[1440.50-1442.14] 在手机在流量统一的时候
[1442.14-1445.46] 一旦一旦只能进入到这些非询人的网站
[1445.46-1446.98] 我们就会即时的去alert
[1446.98-1450.18] 最右边的是运用者
[1450.18-1451.58] 甚至是AI的技术
[1451.58-1454.46] 在Facebook在
[1454.98-1456.78] 网站上面有任何幻想
[1456.78-1457.54] 或者是这些广告
[1457.54-1458.62] 你觉得很可疑
[1458.62-1460.38] 你就把它接触上来
[1460.38-1461.90] 我们就可以一键告诉你
[1461.90-1464.06] 这样的一个备划是有可能性
[1464.06-1465.98] 你成为是一个立个章的巡视
[1465.98-1467.78] 好
[1467.78-1469.14] 那7月份的房价
[1469.14-1471.30] 我们现在现在从去年开始
[1471.30-1472.78] 我们一身为到CMVICER
[1472.78-1475.46] 就是我们在去年在并购自己的核弹公司
[1475.46-1476.14] 好
[1476.14-1477.58] 那我们去年7月完成并购
[1477.58-1478.78] 那为什么并购这家公司呢
[1478.78-1480.06] CMVICER它原本
[1480.06-1482.82] 我们可以讲Whostal是这个电光房价的权威
[1482.82-1482.98] 那CMVICER就是网易房价的权威
[1484.98-1487.06] 它有一个CMVICER.com
[1487.06-1488.98] 用户数大概700万
[1488.98-1490.62] 主要来自于这个OMH
[1490.62-1491.90] 那更重要的是
[1491.90-1494.82] 它有将近4成以上的营收
[1494.82-1497.38] 来自于这个B2B的服务
[1497.38-1498.74] B2B的执照
[1498.74-1502.46] 让客户就是主要在OMH为主
[1502.46-1503.66] 在全世界都有
[1503.66-1505.42] 而且甚至有很多非常大的
[1505.42-1507.14] 高市名的客户
[1507.14-1509.02] 包括Google
[1509.02-1510.54] 还有一些
[1510.54-1512.82] Google可以讲话吗
[1512.82-1514.22] 然后还有这个Riggen
[1514.22-1514.74] 等一下
[1514.74-1514.94] 等一下
[1514.94-1516.46] 这些比较大型的social media
[1516.46-1517.94] 还有这些全球的资产公司
[1517.94-1518.58] 跟公布们
[1518.58-1519.54] 都在他们的顾客
[1519.54-1521.10] 所以我们也希望达到三个目的
[1521.10-1522.54] 第一个是我们原本的电话
[1522.54-1523.58] 账户的优势
[1523.58-1525.26] 跟他的网易账户优势
[1525.26-1526.34] 来做什么
[1526.34-1526.62] 好
[1526.62-1528.06] 那第二个就是
[1528.06-1529.62] 他们的切断服务做得非常好
[1529.62-1531.14] 我们在没有并购之前
[1531.14-1534.26] 我们大概不到5%是切客户
[1534.26-1535.42] 他们大概是5%
[1535.42-1536.22] 而且非常大
[1536.22-1538.34] 他们的客户名单其实非常好
[1538.34-1539.70] 所以我们希望透过这样的一层
[1539.70-1541.42] 可以加这种切断服务的
[1541.42-1542.82] 那用品的趋势
[1542.82-1543.94] 进行非常明显
[1543.94-1544.70] 那再比如说
[1544.70-1546.10] 我们原本的出名在东南亚
[1546.10-1546.78] 东南亚市场
[1546.78-1548.14] 我们希望这样的VLK
[1548.14-1548.54] 可以fashion
[1548.54-1550.46] 让我们用这样的一个机会
[1550.46-1552.06] 去进入我们的市场
[1552.06-1553.46] 好
[1553.46-1555.54] 那我们在切断服务上做了哪些事情
[1555.54-1556.54] 主要三个部分
[1556.54-1559.86] 是我们在整个航站旅程中的
[1559.86-1560.58] 所谓的市站
[1560.58-1561.42] 主站
[1561.42-1562.94] 都有相当于各种的程序
[1562.94-1564.34] 那所以一开始的市站
[1564.34-1565.26] 就是我们叫watchman
[1565.26-1567.30] 我们其实是我们的企业客户
[1567.30-1569.34] 我们在输出media上面
[1569.34-1572.94] 做二次程序的巡逻
[1572.94-1574.66] 我们提时去找到
[1574.66-1577.54] 这些商品的一些广告
[1577.54-1579.58] 或是仿冒品牌的广告
[1579.58-1581.30] 那及时帮助我们的客户
[1581.30-1584.82] 它是用订阅式的方式来去费用
[1584.82-1586.38] 那再来第二就是
[1586.38-1588.62] 我们所谓的防诈行之方案
[1588.62-1590.58] 我们怎么样协助我们企业去
[1590.58-1594.62] 帮助它的消费者可以主场
[1594.62-1598.38] 就是我们把我们的防诈的Diabase
[1598.38-1600.42] 把它包装成不管是API SDK
[1600.42-1601.90] 或者是wide-able solution
[1601.90-1603.66] 来帮助我们的企业客户
[1603.66-1604.50] 也可以推出
[1604.66-1606.30] 这些防诈功能给他的客户
[1606.30-1608.46] 所以这是一个license model
[1608.46-1610.38] 会以这个用量来计价
[1610.38-1612.82] 它用扫描API
[1612.82-1614.86] 这种方式来计价
[1614.86-1616.62] 那最后就是赌诈
[1616.62-1619.74] 就是诈骗中会一定领入就是金流
[1619.74-1622.46] 所以我们也有一个数位身份验证方案
[1622.46-1624.10] 我们协助信用机构
[1624.10-1625.54] 主要是用电池
[1625.54-1626.18] 还有电池
[1626.18-1627.86] 还有电池的第三个智慧业者
[1627.86-1631.10] 在交易的环节去识别高风险的客户
[1631.10-1632.82] 这是我们目前三个主要的
[1632.82-1634.14] 这个协调方案的主力
[1634.66-1637.74] 我举例子好的
[1637.74-1639.98] 就是说像所以刚刚讲的
[1639.98-1641.78] 这个主价能防价层这几个方案
[1641.78-1642.86] 我刚刚指教Google
[1642.86-1644.90] 就是Scanmaster跟Google合作
[1644.90-1646.42] 你在Google Shopping上面
[1646.42-1647.46] 在美国地区
[1647.46-1648.42] 目前在美国地区
[1648.42-1650.26] 你在搜寻这个商品的时候
[1650.26-1651.82] 例如我买个Apple Watch
[1651.82-1654.74] 然后Google就跑出很多的电视网上
[1654.74-1656.26] 目前在Google Shopping
[1656.26-1657.94] 你就会看到这个Scanmaster的分析
[1657.94-1660.98] 这个网站是不是一个Legit网站
[1660.98-1664.62] 我们在日本也跟电信合同商
[1664.66-1666.94] 因为还有我们来台的Bushlow
[1666.94-1667.74] 来配件市场
[1667.74-1670.54] 很多政府也希望我们帮他制作
[1670.54-1675.66] 这个特质化高风险的网站产品服务
[1675.66-1679.26] 那Watchman的部分商业保护
[1679.26-1681.94] 所以我们第二个部是微小女神
[1681.94-1683.34] 因为在微小女神上面
[1683.34-1685.42] 也是有很多的伟茂的主要
[1685.42-1688.34] 那再来就是我们有一定有功夫
[1688.34-1689.90] 就是我们在第一届的时候
[1689.90-1691.98] 这样的一个Watchman的商业保护
[1691.98-1694.50] 也获得这个成长的成长所得
[1694.66-1697.22] 我们认为这是很好的reference case
[1697.22-1699.02] 因为我们去年才开始做这样的一个
[1699.02-1699.86] 是时候这样子
[1699.86-1702.34] 我们今天就正所在的一个大客户
[1702.34-1703.62] 不管在哪里推广
[1703.62-1706.70] 台湾或海外其他都是非常好的reference case
[1706.70-1710.42] 好这边就是我刚提到数位身份验证方案
[1710.42-1712.06] 我们用一些authoritative的data
[1712.06-1718.98] 来协助这些做高风险客户的一些验证
[1718.98-1721.54] 好最后就是金融科技
[1721.54-1723.86] 其实我刚才有一个图表
[1723.86-1724.42] 就是
[1724.66-1726.70] 其实房价最后面就是要准备金流
[1726.70-1731.58] 所以我们除了协助客户去
[1731.58-1733.10] 辨识高风险客户之外
[1733.10-1736.18] 我们也更积极的协助客户
[1736.18-1737.98] 我们的一样客户可以找到
[1737.98-1739.26] 少的消费者来使用他的服务
[1739.26-1741.82] 那相对应的我们也避免消费者去
[1741.82-1745.14] 去找到这些非美的一些金融服务
[1745.14-1746.42] 所以我们推出这个
[1746.42-1748.22] Dash金融在2020年第四季的时候
[1748.22-1750.78] 它目前已经是全台湾流量最大的
[1750.78-1753.58] 这个金融美国的名牌
[1754.66-1757.74] 那我们期望就是未来
[1757.74-1759.78] 它是一个这个生态圈
[1759.78-1761.82] 所谓的消费跟金融
[1761.82-1764.14] 所有的这些
[1764.14-1765.66] 金融服务
[1765.66-1767.46] 消费者都透过这样的平台
[1767.46-1770.02] 找到适合的这个金融服务的公司
[1770.02-1775.40] 那重点关键的核心就包含了
[1775.40-1776.16] 我们自己
[1776.16-1777.70] 勾勒的AI的技术
[1777.70-1778.72] WAI
[1778.72-1781.02] 然后还有一个一些这个CPP
[1781.02-1782.82] 我们符合去整合这个
[1782.82-1783.84] 客户的data
[1783.84-1784.62] 然后做的这个工程
[1784.66-1787.74] 然后进行精准的推荐
[1787.74-1788.76] 所以
[1788.76-1790.54] 我们在2022年到2013年结束之后
[1790.54-1792.60] 更重要今年的目标就是什么样的
[1792.60-1794.38] 非美型的提供
[1794.38-1796.70] 去增加这个货客
[1796.70-1799.26] 货客消费率还有变现的什么
[1799.26-1801.82] 那最后一个就是我们在去年
[1801.82-1803.86] 第一季才正式推出这个
[1803.86-1804.62] 取消费券
[1804.62-1806.42] 它是一个消费租
[1806.42-1807.96] 强迫租赁的
[1807.96-1808.98] 消费型的
[1808.98-1810.52] 强迫融资的一个案
[1810.52-1811.28] 所以
[1811.28-1813.08] 消费者可以在我们的app
[1813.08-1813.84] 用按击的键
[1813.84-1816.14] 然后就可以申请这个长期融资
[1816.14-1817.16] 所以长期融资
[1817.16-1818.96] 基本上就3到10万之内
[1818.96-1819.72] 那
[1819.72-1820.76] 它是跟
[1820.76-1821.78] 跟
[1821.78-1824.34] 像这些租业者的情况下消费型
[1824.34-1825.62] 租业服是一样的
[1825.62-1827.40] 所以它不是受精华为优
[1827.40-1828.44] 它也不需要
[1828.44-1829.96] 这个货的上线支出
[1829.96-1830.48] 那
[1830.48-1832.52] 我们在做这件事情其实
[1832.52-1834.84] 最关键的几个点
[1834.84-1836.36] 其实这样的工作最重要的三个原因
[1836.36-1837.90] 第一个是用户群的身份
[1837.90-1839.44] 第二个就是我们的服务能力
[1839.44-1841.24] 第三个就是我们的资金属
[1841.24-1843.54] 那第一个就是用户群的部分
[1843.54-1844.56] 因为我们有一个
[1844.56-1845.58] 这么庞大的
[1845.58-1846.86] 我们的平台是什么一个平台
[1846.86-1847.90] 全台是完全大的
[1847.90-1848.92] 这个金融
[1848.92-1850.46] 我们的出益都这样的高
[1850.46-1851.48] 实际很快就有一个
[1851.48-1852.24] 被历史和这个
[1852.24-1853.02] 又
[1853.02-1854.04] 通过了
[1854.04-1855.58] 那再来在丰富部分
[1855.58-1857.36] 刚刚有看到我们在切断服务
[1857.36-1858.90] 原本就有跟
[1858.90-1861.46] 银行合作提供这个
[1861.46-1862.74] 税务分配件的方案
[1862.74-1863.50] 那
[1863.50-1865.56] 也代表说我们在这边其实我们
[1865.56-1867.10] 有我们自己有的一个丰富模式
[1867.10-1867.86] 可以有效率
[1867.86-1869.14] 给我们的这个
[1869.14-1870.42] 抵抠的东西
[1870.42-1871.44] 那再来是
[1871.44-1873.50] 资金使得方的部分
[1873.50-1874.26] 除了
[1874.26-1876.06] 开始是这个高的
[1876.06-1877.08] 10万还是10万的
[1877.08-1877.60] 目前
[1877.60-1878.36] 主要的
[1878.36-1880.42] 这个资金都来自于
[1880.42-1886.56] 准备平台的力量和丰富
[1886.56-1888.60] 那过去几年其实Tiger
[1888.60-1889.88] 让我们试试一下
[1889.88-1891.16] 也希望未来
[1891.16-1892.96] 会有持续这样的一个表现
[1892.96-1894.24] 那我们刚看到就是
[1894.24-1895.78] Lokal 2020的那个是
[1895.78-1899.10] 因为这个广告的一些外部影响
[1899.10-1901.40] 那刚整体没有没有这个
[1901.40-1902.94] 没有这个
[1902.94-1903.46] 40%
[1903.46-1904.48] 这样高的成长率
[1904.48-1905.50] 但是我们又可以做广告
[1905.50-1907.56] 其实一直还是有这样的适合性
[1907.56-1908.58] 其实
[1908.58-1913.70] 那我们也认为这个广告的影响会慢慢
[1913.70-1914.22] 减少
[1914.22-1915.50] 因为我们在其他部分的成长
[1915.50-1916.52] 其实更快适应
[1916.52-1920.36] 所以我们来看一下我们这个
[1920.36-1921.38] 获利状况
[1921.38-1922.40] 所以
[1922.40-1924.70] 我们来看去年因为广告的影响
[1924.70-1925.74] 整个
[1925.74-1927.02] 租收成长12%
[1927.02-1928.30] 到今年14%
[1928.30-1929.32] 其实都是跟基金
[1929.32-1931.62] 基金的比较的关系
[1931.62-1933.42] 但是我用到获利基金
[1933.46-1934.22] 可以看到
[1934.22-1936.54] 我们可以看到整个公司已经拿到一个
[1936.54-1937.56] Crateable Match
[1937.56-1938.84] 其实后续的
[1938.84-1945.74] 获利其实会非常的明显的增长
[1945.74-1946.52] 那我们怎么做
[1946.52-1948.30] 怎么去成长呢
[1948.30-1949.58] 直接分成两条
[1949.58-1952.14] 第一个就是我们持续的在做海外市场
[1952.14-1954.20] 从原本台湾到目前只有海外市场
[1954.20-1955.22] 到未来
[1955.22-1956.50] 我们刚讲的公民市场
[1956.50-1959.82] 那再就是我们以 AI 防炸科技为核心
[1959.82-1961.36] 持续的开发新的产品服务
[1961.36-1962.64] 然后去叫我们拿到公司
[1963.46-1965.50] 我们就进入科技的了解
[1965.50-1966.78] 我们刚提到的
[1966.78-1967.82] 不管是消费
[1967.82-1969.34] 短房大 新的短房
[1969.34-1970.38] 甚至是进入科技
[1970.38-1971.14] 我们怎么做
[1971.14-1972.16] 那
[1972.16-1973.44] FuSCO部分的话
[1973.44-1976.26] 我们可以看到它的用户数据稳定的升沉
[1976.26-1978.56] 每年大概有10%的升沉
[1978.56-1980.86] 那去年台湾的营收
[1980.86-1982.66] 这边的占比
[1982.66-1984.46] 像这样主要原因也是因为
[1984.46-1985.74] 去年广告的
[1985.74-1986.76] 衰退的影响
[1986.76-1987.78] 是在去台湾
[1987.78-1990.08] 所以也造成这个去年的这个
[1990.08-1992.90] FuSCO台湾营收中就像海湾呈了一样无损失
[1993.46-1999.70] 这边就会提到就是说其实Busco不是在台湾
[1999.70-2006.94] 我们在曼谷地方其实都已经是当地非常熟悉的一个商业
[2006.94-2013.06] 那我们今天为什么特别觉得这个切断的防炸
[2013.06-2014.82] 他的机会非常好
[2014.82-2017.10] 因为你会认为切断防炸
[2017.10-2020.14] 他其实有点像是一个regulation去推动
[2020.14-2023.70] 刚好过去大概12到18个月
[2023.70-2028.06] 全球包含台湾政府都推出了相关的一些法令
[2028.06-2031.74] 去要求这个企业要付更多的资格
[2031.74-2034.54] 所以这样的一个法律上的一些利多
[2034.54-2037.94] 也推动了很多我们切断防炸法案的成果
[2042.26-2044.86] 所以这边看到我们其实去年
[2044.86-2047.58] 其实已经好像已经写的在加仓的并购部分
[2047.58-2048.86] 那我们的像切断防炸
[2048.86-2049.90] 其实我们对今年非常
[2049.90-2050.74] 非常有信心
[2050.74-2053.62] 那金融科技的部分
[2053.62-2055.98] 我们从原本的这个美国平台起下
[2055.98-2059.58] 我们的目标就是建立一个这个金融生活的一个生态圈
[2059.58-2064.50] 那会去整合消费金融跟民生消费的部分
[2066.50-2067.70] 那以这个图片来看
[2067.70-2069.34] 以代理金融为核心
[2069.34-2073.34] 透过不同的方式去接触到我们的客户
[2073.34-2075.06] 那也跟不同的金融机构
[2075.06-2076.98] 跟Baseband金融机构的合作
[2079.18-2079.86] 那在
[2079.90-2080.74] 防炸的部分
[2080.74-2082.34] 我们会持续推出新的产品
[2082.34-2085.94] 从原本的这个电化防炸
[2085.94-2087.66] 紫芋防炸到网易防炸
[2087.66-2091.38] 未来也会有更多在防炸方面的新的产品
[2091.38-2093.34] 目前在研发当中
[2094.34-2094.86] 好
[2094.86-2095.98] 所以整体来看
[2095.98-2097.02] 我们一看到
[2097.02-2101.06] 因为我们这种纯软件商业模式高
[2101.06-2103.22] 不应成本低标准状之下
[2103.22-2107.34] 我们的费用率其实可以看到一个逐步下降的趋势
[2107.34-2108.98] 这就代表我们很多的投入
[2108.98-2111.74] 它的规模性非常好
[2111.74-2114.26] 所以这也会要贡献到我们的营货运营
[2114.26-2116.30] 好
[2116.30-2116.86] 所以最后一点
[2116.86-2119.30] 那公司整个生长目标
[2119.30-2120.42] 我们会持续追求
[2120.42-2122.06] 因为整个防炸公司金融复杂
[2122.06-2123.58] 都是一个非常成长的产业
[2123.58-2125.42] 那我们会顺着这个费用的
[2125.42-2127.74] 这个市场的机会
[2127.74-2131.10] 那维持当地要过去40亿张生产
[2131.10-2135.42] 那我们就一定要至少是这个产业平成长平的生长幅度
[2135.42-2135.82] 好
[2135.82-2136.26] 那再说
[2136.26-2137.42] 我们会更重视
[2137.42-2140.82] 这个我们的这个会议的这个能力
[2140.82-2143.86] 那Foodstore本身是一个货运非常好的实验体
[2143.86-2145.66] 那我也看到在新的实验体里面
[2145.66-2146.30] 足够成熟
[2146.30-2147.86] 就出现卖场货运
[2147.86-2148.10] 好
[2148.10-2148.98] 那之后再看
[2148.98-2150.78] 我们都可以看到中型专业链子
[2150.78-2151.58] 他们现在目标
[2151.58-2155.02] 我希望可以达到这样的一个这样的一个费用率的一个目标
[2155.02-2157.54] 那最后就是我们认为我们是非常少
[2157.54-2160.02] 从台湾出发的一个软体公司
[2160.02-2164.10] 已经开始慢慢的转回市场的长度
[2164.10-2166.78] 也希望变成是这个所谓的信任
[2166.78-2167.38] 信任分析
[2167.42-2171.30] 这样的一个产业里面的一个领动感
[2171.30-2171.54] 好
[2171.54-2172.34] 非常谢谢
[2177.06-2177.38] 好
[2177.38-2179.38] 谢谢叶炎的介绍
[2179.38-2181.38] 那接下来我们来进行今天的Q&A
[2181.38-2183.22] 那如同以往
[2183.22-2189.42] 我想我们先针对在会前我们收到的同事提问先进行回答
[2189.42-2192.58] 那随后会开放给现场投资人提问
[2192.58-2193.78] 那现场提问的话
[2193.78-2196.42] 我们采取就是取决定的方法
[2196.42-2197.14] 那我
[2197.14-2197.42] 到时候
[2197.42-2199.42] 就麻烦你进行回答
[2199.42-2200.74] 给第一半个方法
[2200.74-2202.54] 我们随时进行回答
[2202.54-2203.66] 我们先输送一下
[2203.66-2206.70] 大家在会前所提到的问题
[2206.70-2208.66] 那第一个问题是想请问一下
[2208.66-2209.58] Q&A团队
[2209.58-2213.26] 我们今年主要的成长动能大概有哪些
[2213.26-2219.46] 好
[2219.46-2220.78] 好
[2220.78-2221.66] 可以进入吗
[2221.66-2222.70] 可以
[2222.70-2223.18] 好
[2223.18-2224.90] 嗯
[2224.90-2227.42] 先今天早上其实我们在公司内的美景
[2227.42-2232.66] 実际化的规管
[2232.66-2235.86] 这个单位的perfektat
[2235.86-2237.14] Mobile slowing
[2237.14-2250.94] 中间成长
[2250.94-2253.56] 大量现场 particularly
[2253.56-2255.78] 缩小那个
[2255.78-2256.70] volte
[2256.70-2257.90] 上面就有危机
[2257.90-2258.94] 临时诈命或者解释
[2258.94-2260.22] 其实法规更是
[2260.54-2262.38] 虽然过去的EA也当做
[2262.86-2263.62] 每个国家
[2263.62-2264.86] 以前是从欧内开始
[2264.86-2265.90] 现在说到亚洲
[2265.90-2267.70] 不过本地也在另立法律
[2267.70-2268.98] 然后它这个法令的时候
[2268.98-2270.42] 你把本来企业可能
[2270.66-2272.02] 它可以不用负责任
[2272.02-2273.58] 就不在意自己的品牌
[2273.58-2274.06] 对吧
[2274.06-2275.06] 所以这个法规
[2275.06-2276.06] 把它付出一层的准备
[2276.06-2277.90] 但上面对法律上面
[2277.90-2278.82] 规规实本
[2278.94-2280.46] 这也有可能付出巨大的成本
[2280.46-2282.02] 如果它不去做这件事情
[2282.26-2284.62] 所以我们从那去带到一个
[2284.62-2286.22] 刚刚EA有先报道
[2286.22-2288.38] 为什么我们的Q1
[2288.38-2290.58] 看到企业端的营收
[2290.58-2292.46] YY其实是一个七成的比例
[2292.98-2294.26] 我觉得这个其实是一个
[2294.26-2295.54] 不好的比例
[2295.54-2296.14] 其实是
[2296.14-2298.06] 当revaluation下来的时候
[2298.42-2300.10] 从企业不管大省
[2300.10-2300.90] 然后银行
[2300.90-2301.98] 然后到区域政府
[2301.98-2303.46] 上接触很多年消费者
[2303.46-2304.58] 你要负起责任
[2304.58-2305.66] 采取一些工具
[2305.66-2306.34] 采取一些点
[2306.34-2307.46] 然后保护你的用户
[2307.46-2309.26] 当它在搜寻的时候
[2309.26-2310.50] 自然会返到一个
[2310.50-2311.22] 我们其实已经做
[2311.22-2311.90] 好大的电信
[2311.90-2312.94] 做了十余年
[2312.94-2313.38] 对
[2313.38-2314.94] 10年前我们外界没有看到
[2314.94-2315.90] 这样的事实
[2316.22-2318.66] 经济整个治安已经移到了
[2318.66-2320.06] 诈骗子中心的时候
[2320.06-2321.74] 其实我们是手绘很吵杂
[2321.74-2322.98] 所以想讲第一个
[2322.98-2324.22] 企业端保护大众
[2324.22-2326.46] 接下来会因为恶魔的监管
[2326.46-2327.22] 越来越多
[2327.22-2328.38] 很成熟
[2328.38-2331.38] 我相信人是被施在太多
[2331.38-2332.18] 对吧
[2332.70-2334.58] 我可以跟大家分享说
[2334.58-2336.42] 刚刚特朗普服务企业端
[2336.42-2337.58] 可能是在南端
[2337.58-2338.66] 我们一开始说
[2338.66-2338.94] 对
[2338.94-2339.86] 但是现在你看到
[2339.86-2340.98] 都整个中央医疗
[2340.98-2342.78] 所有的政府也都在积极保护
[2342.78-2343.46] 在要涉附权
[2343.46-2345.62] 尤其当大家今天讲诈骗的时候
[2345.62-2346.10] 很容易
[2346.10-2347.70] 就不识得东南亚说
[2347.70-2349.30] 很多大链集团都是东南亚
[2349.30-2350.50] 所以更多的
[2350.50-2353.02] 你发现说他们想洗刷冤枉
[2353.02-2354.10] 所以我们开始导致了
[2354.10-2355.94] 然后就把这件事情鼓起来
[2355.94-2356.82] 那么你会看到
[2356.82-2357.62] 从现在开始
[2357.62-2358.50] 企业端的服务
[2358.50-2359.78] 也会从不管是
[2359.78-2360.74] 我们并不过现在的
[2360.74-2361.70] 白色白色的东西
[2361.70-2362.22] 都能行
[2362.22-2364.38] 接下来从台湾
[2364.38-2366.34] 甚至说到亚太
[2366.34-2368.10] 这些都会慢慢产生
[2368.10-2369.78] 我这边给你们分享一个
[2369.78-2371.06] 其实是网友跟媒体
[2371.06-2371.66] 是有的分享
[2371.66-2372.90] 其实从下个月
[2372.90-2374.38] 我们也会有新加坡的
[2374.38-2375.10] 电信客户
[2375.10-2376.02] 让他们来变成
[2376.02-2376.62] 谁
[2376.62-2376.98] 对
[2376.98-2378.66] 但是这个也有点保安
[2378.66-2379.70] 目前你可以看到
[2379.70-2381.30] 其实就连新加坡
[2381.30-2383.14] 在东南亚也变得不一样
[2383.14-2384.50] 那尽管很严格
[2384.50-2386.18] 他对于这件事情
[2386.18-2387.74] 其实是特别严谨
[2387.74-2389.26] 他都愿意产大我们的服务
[2389.26-2390.94] 我们要做到
[2390.94-2393.14] 这个南亚B2B服务
[2393.14-2394.22] 其实都是一个通道的
[2394.22-2394.98] myshop
[2394.98-2395.50] 对
[2395.50-2395.94] 好
[2395.94-2397.86] 然后再回来刚刚提到的
[2397.86-2398.62] 信用服务
[2398.62-2399.78] 大家看到信用服务
[2399.78-2401.90] 我们今年也有一个Q1
[2401.90-2402.78] YY
[2402.78-2404.42] 好多五成多的成长
[2404.42-2405.86] 这个东西其实是来自于
[2405.86-2405.98] 刚才的
[2405.98-2407.02] 刚刚叶恩有讲
[2407.02-2408.14] 我们有一个很大的平台
[2408.14-2409.50] 叫代数
[2409.50-2410.54] 但是在行动当中
[2410.54-2411.38] 它的流量平台
[2411.38-2412.58] 就大量提大了
[2412.58-2414.06] 接下来是由汤区代购
[2414.06-2415.30] 刚刚推出的一个
[2415.30-2416.90] 小额注定的服务
[2416.90-2417.94] 然后这小额注定服务
[2417.94-2419.02] 其实一直到现在
[2419.02-2420.38] 都还算是在
[2420.38-2421.78] 试营运
[2421.78-2422.54] 对
[2422.54-2423.62] 我们转办的时候
[2423.62-2425.78] 行为慢慢也是一样的谨慎
[2425.78-2427.10] 因为一定是个注定服务
[2427.10-2428.98] 但由于我们这么有流量
[2428.98-2430.62] 就是代数信用很大的流量
[2430.62-2432.06] 我们就掌握有随性的服务
[2432.06-2433.46] 这样子的能力
[2433.46-2434.74] 相信接下来的
[2434.74-2435.82] 信用特技这一块
[2435.82-2438.10] 也会是一个很明确的成长动作
[2438.10-2439.26] 也跟大家分享
[2439.26-2440.42] 我们在顶端
[2440.42-2441.82] 其实通常把一个服务做好
[2441.82-2443.78] 成为我们想要的一个方式
[2443.78-2445.02] 在全世界来讲
[2445.02-2446.46] 我们的影响力最大
[2446.46-2447.66] 其实就是代购
[2447.66-2448.66] 接下来我们也会把
[2448.66-2451.02] 信用特技带来的工作
[2451.02-2452.10] 其实最后就是
[2452.10-2453.70] 有提到我们新年
[2453.70-2454.78] 出版YY看到
[2454.78-2456.38] 是出货的事情本身
[2456.38-2457.66] 广告出来这件事情
[2457.66-2458.42] 刚刚也很明显
[2458.42-2459.42] 但是我们很积极的
[2459.42-2461.22] 用订阅的事情做来的
[2461.22-2462.18] 订阅的事情做的
[2462.18-2463.82] 其实比较多巴仙
[2463.82-2465.78] 但是用户肯定你的服务
[2465.78-2467.50] 而愿意付费给你
[2467.50-2468.68] 但是因为广告的想
[2468.68-2469.62] 大家如果听话来说
[2469.62-2470.54] 觉得不错
[2470.54-2471.02] 对不对
[2471.02-2472.14] 就是也不费用
[2472.14-2473.58] 成为不只说我们股东
[2473.58-2474.78] 也就是我们出货
[2474.78-2476.54] 这一块也可以看到
[2476.54-2477.66] 除了泰国
[2477.66-2478.58] 我们泰国出售
[2478.58-2479.78] 还是在成长中
[2479.78-2480.62] 其实这也是为什么
[2480.62-2481.42] 我们现在把我们的
[2481.42-2482.94] 地位总部件在泰国
[2482.94-2495.78] 我们自己跟我们的
[2495.78-2497.50] 总部要换走
[2497.50-2498.78] 所以有一个数据
[2498.78-2500.22] 也是我们在Q1的时候
[2500.22-2502.22] 已经看到我们菲律宾的产长
[2502.22-2503.74] 他的YY其实已经开始
[2503.74-2504.86] 在流行出了
[2504.86-2506.94] 菲律宾是我们亚斯瓦逊
[2506.94-2508.82] 大概在美国的NBA
[2508.82-2509.70] 我们可以看到
[2509.70-2510.98] 希望以后接下来
[2510.98-2512.34] 在一个商业的口市上
[2512.34-2513.82] 再重新显示菲律宾
[2513.82-2514.74] 我们将在接下来
[2514.74-2515.66] 也可以帮给大家一些
[2515.66-2517.06] 更好的产值
[2517.06-2517.46] 好
[2517.46-2518.66] 这边先解释一下
[2518.66-2519.86] 陈大东
