[0.00-5.00] 請到滕輝來為大家舉辦法術會分享
[1258.88-1259.88] 一風的一星期
[1259.88-1260.88] 然後它也使用
[1260.88-1262.88] 看我們國外運
[1262.88-1264.88] 但是我們問它出來是什麼樣的
[1264.88-1265.88] 是乾淨的
[1265.88-1266.88] 是多次
[1266.88-1267.88] 另外這些是
[1267.88-1268.88] 其實被散熱
[1268.88-1270.88] 又是高耐熱性的產品
[1270.88-1271.88] 那這個產品
[1271.88-1273.88] 我們在一些軍用茶車的照
[1273.88-1275.88] 或是說
[1275.88-1277.88] 很大的
[1277.88-1279.88] 就是鬥士的那個
[1279.88-1280.88] 電
[1280.88-1282.88] 一旦斷電的時候
[1282.88-1284.88] 我們可能會到災區就領
[1284.88-1286.88] 或是說大戰的時候
[1286.88-1287.88] 我們會
[1287.88-1288.88] 從一邊吃到
[1288.88-1289.88] 因為我們非常
[1289.88-1291.88] 這一塊
[1291.88-1292.88] 也是我們最近成大
[1292.88-1293.88] 做的一個產品
[1293.88-1294.88] 它可以做多層的
[1294.88-1296.88] 然後又有高耐熱性的
[1296.88-1298.88] 又有散熱功
[1298.88-1300.88] 然後又跟一般材料的
[1300.88-1301.88] APF
[1301.88-1303.88] 就是它的電子特性
[1303.88-1305.88] 非常相近
[1305.88-1307.88] 就我們開發很多的產品
[1307.88-1308.88] 出來
[1308.88-1309.88] 我實際上
[1309.88-1310.88] 我會收下
[1310.88-1311.88] 但是收下的感覺
[1311.88-1312.88] 會有非常多
[1312.88-1313.88] 所以要我們
[1313.88-1314.88] 對我們的貿易
[1314.88-1315.88] 很高很高
[1315.88-1316.88] 但是然後
[1316.88-1317.88] 先跟上
[1317.88-1318.88] 我們這件事情
[1318.88-1319.88] 這是剛剛
[1319.88-1321.88] 到中段
[1321.88-1322.88] 中邊的
[1322.88-1323.88] 中間的
[1323.88-1324.88] 應該
[1324.88-1325.88] 包括說
[1325.88-1326.88] Airbus大戰
[1326.88-1328.88] 或
[1328.88-1329.88] 涉獵最大的
[1329.88-1330.88] 這個
[1330.88-1332.88] 這也
[1332.88-1336.88] 比如剛剛的介紹
[1336.88-1337.88] 是我們產品
[1337.88-1338.88] 挖巴門
[1338.88-1340.88] 但是我們慢慢在
[1340.88-1342.88] 集中找到
[1342.88-1343.88] 市場的趨勢
[1343.88-1345.88] 然後我們都會集中在
[1345.88-1346.88] 那個趨勢上
[1346.88-1347.88] 做發展
[1347.88-1348.88] 三項套
[1348.88-1349.88] 進一步的超出
[1349.88-1351.88] 那這中間
[1351.88-1352.88] 我們特別強調
[1352.88-1353.88] 我們市的
[1353.88-1355.88] 關鍵的技術
[1355.88-1356.88] 這是熱端
[1356.88-1358.88] 另外有一次
[1358.88-1359.88] 我們可以
[1359.88-1360.88] 做出非常
[1360.88-1362.88] 精密的
[1362.88-1364.88] 這個
[1364.88-1365.88] 就是說
[1365.88-1366.88] 因為我們的
[1366.88-1367.88] 產品的速率非常慢
[1367.88-1369.88] 不追求大量
[1369.88-1370.88] 像我們今天對手
[1370.88-1371.88] 是很多人
[1371.88-1372.88] 像我們這樣
[1372.88-1373.88] 慢速生產
[1373.88-1375.88] 那我們追求量
[1375.88-1376.88] 所以我們生產的產品
[1376.88-1377.88] 跟物品
[1377.88-1378.88] 當然就是會
[1378.88-1380.88] 比較有效率
[1380.88-1381.88] 但是
[1381.88-1382.88] 在高階的
[1382.88-1384.88] 運動上面
[1384.88-1385.88] 每次測試
[1385.88-1386.88] 基本上都會過
[1386.88-1387.88] 因為這個時間
[1387.88-1389.88] 在這個上面
[1389.88-1390.88] 我們追求量
[1390.88-1391.88] 那有的設備當然是
[1391.88-1392.88] 但我們的平均
[1392.88-1393.88] 我們其實是有
[1393.88-1394.88] 一大半
[1394.88-1395.88] 那我們還有一些
[1395.88-1396.88] 水平的工序
[1396.88-1397.88] 來做我們的這個設備
[1397.88-1398.88] 甚至
[1398.88-1399.88] 一定要一樣
[1399.88-1400.88] 的技術
[1400.88-1401.88] 可能是有人家
[1401.88-1402.88] 實行的
[1402.88-1404.88] 那追求的就是
[1404.88-1405.88] 平均的
[1405.88-1406.88] 穩定性
[1406.88-1407.88] 厚度
[1407.88-1408.88] 特性
[1408.88-1409.88] 幅度的
[1409.88-1410.88] 最佳擺益值
[1410.88-1411.88] 這個是
[1411.88-1412.88] 我們在這個
[1412.88-1413.88] 平均的半身
[1413.88-1414.88] 另外就是
[1414.88-1415.88] 數值
[1415.88-1416.88] 這個東西
[1416.88-1417.88] 我們做
[1417.88-1418.88] 改進解法做了很多
[1418.88-1419.88] 所以我們
[1419.88-1420.88] 面對的
[1420.88-1421.88] 不同的客戶要求
[1421.88-1422.88] 他在
[1422.88-1423.88] 加核的這個工程上
[1423.88-1424.88] 有要退交
[1424.88-1425.88] 有的
[1425.88-1426.88] 要不留交
[1426.88-1427.88] 有的就邊緣都不能停交
[1427.88-1428.88] 還要拼在一起
[1428.88-1430.88] 所以現在就是
[1430.88-1431.88] 很多的技術
[1431.88-1432.88] 就被統統
[1432.88-1433.88] 變成
[1433.88-1434.88] 統統都要
[1434.88-1435.88] 定在一起
[1435.88-1436.88] 那正在越來
[1436.88-1437.88] 越往高階層的時候
[1437.88-1438.88] 發生的運動
[1438.88-1439.88] 另外就是
[1439.88-1440.88] 我們還要
[1440.88-1441.88] 做一個
[1441.88-1442.88] 我們以後
[1442.88-1443.88] 還是會印象
[1443.88-1444.88] 在台上
[1444.88-1445.88] 東西會播系列的
[1445.88-1446.88] 被放這些產品
[1446.88-1448.88] 我們現在有客戶
[1448.88-1449.88] 我們要
[1449.88-1451.88] 這些東西去做
[1451.88-1453.88] 現在零星星AI
[1453.88-1454.88] 的發展到
[1454.88-1455.88] 713
[1455.88-1456.88] 請記得
[1456.88-1457.88] 到現在
[1457.88-1459.88] 應該還沒有找到
[1459.88-1460.88] 真正的
[1460.88-1461.88] 法案
[1461.88-1462.88] 因為現在
[1462.88-1465.88] 一直在測試
[1465.88-1466.88] 說用
[1466.88-1468.88] 15
[1468.88-1470.88] 就要K3
[1470.88-1471.88] 或是說
[1471.88-1472.88] 用超高比的
[1472.88-1473.88] 超低數的
[1473.88-1474.88] 還是用其他的
[1474.88-1478.88] 一支部
[1478.88-1479.88] 一個是這樣的方案
[1479.88-1480.88] 都一直在
[1480.88-1481.88] 測試當中
[1481.88-1482.88] 那這表示說
[1482.88-1483.88] 慢慢的
[1483.88-1484.88] 就是已經到了
[1484.88-1485.88] 那個材料的
[1485.88-1486.88] 傳統材料的
[1486.88-1487.88] 那這個事
[1487.88-1488.88] 突然
[1488.88-1489.88] 不好意思
[1489.88-1490.88] 我今天講
[1490.88-1491.88] 這邊講的比較清楚
[1491.88-1492.88] 是有的公司
[1492.88-1493.88] 就是
[1493.88-1494.88] 技術
[1494.88-1495.88] 加速
[1495.88-1496.88] 可能要讓各位
[1496.88-1497.88] 能夠
[1497.88-1498.88] 去做
[1498.88-1499.88] 這個
[1499.88-1500.88] 這個
[1500.88-1502.88] 能夠先有一些概念
[1502.88-1503.88] 然後可能今天
[1503.88-1504.88] 就
[1504.88-1505.88] 就
[1505.88-1506.88] 說一下
[1506.88-1507.88] 因為我跟其他
[1507.88-1508.88] 這邊會有說
[1508.88-1510.88] 比的真的很大一條
[1510.88-1511.88] 那就是
[1511.88-1512.88] 這是我們3月的
[1512.88-1514.88] 現在
[1514.88-1515.88] 12萬
[1515.88-1517.88] 那這個材料
[1517.88-1518.88] 應該會有個支線
[1518.88-1519.88] 但是我們就是說
[1519.88-1520.88] 如果
[1520.88-1521.88] 我們舉個例子
[1521.88-1523.88] 最高散熱
[1523.88-1524.88] 是
[1524.88-1525.88] 陶瓷
[1525.88-1527.88] 不是陶瓷的
[1527.88-1528.88] 的
[1528.88-1529.88] 基帶
[1529.88-1530.88] 就是
[1530.88-1532.88] 他只能必須要做
[1532.88-1533.88] 我們講高溫燒紙
[1533.88-1535.88] 然後他能夠
[1535.88-1536.88] 導熱系數
[1536.88-1537.88] 支費
[1537.88-1538.88] 可以做到20瓦
[1538.88-1540.88] 高度可以做到30 40瓦
[1540.88-1541.88] 所以一些陶瓷
[1541.88-1542.88] 陶瓷的基板
[1542.88-1544.88] 用在一些
[1544.88-1545.88] 像埃及平面
[1545.88-1547.88] 一些高瓦數的上面
[1547.88-1548.88] 用的非常的多
[1548.88-1550.88] 而且基本無可取代
[1550.88-1551.88] 然後目前
[1551.88-1553.88] 因為以前的材料
[1553.88-1555.88] 大概6瓦就上不去
[1555.88-1557.88] 那我們經過幾年的研發
[1557.88-1558.88] 我們提供的
[1558.88-1559.88] 所以提供到12瓦的
[1559.88-1561.88] 目前市場上
[1561.88-1564.88] 就我們跟日本的電卡
[1564.88-1565.88] 還有日本的綠手
[1565.88-1566.88] 所以非常
[1566.88-1567.88] 我們參加的
[1567.88-1568.88] 在市場上
[1568.88-1569.88] 是用這個高階的
[1569.88-1571.88] 那真的
[1571.88-1572.88] 你要做到
[1572.88-1574.88] 分析數非常好
[1574.88-1575.88] 其實越多導熱越
[1575.88-1577.88] 但是因為導熱
[1577.88-1579.88] 一般是半導體的材料
[1579.88-1581.88] 所以它又很容易導風
[1581.88-1583.88] 所以這個可以電子電
[1583.88-1585.88] 高電壓體穿
[1585.88-1587.88] 所以你過程要到1000瓶
[1587.88-1588.88] 這種電動車
[1588.88-1590.88] 就壓力非常大
[1590.88-1592.88] 所以它這風力半導體上面
[1592.88-1594.88] 你要怎麼樣做到
[1594.88-1596.88] 又能夠做得很夠
[1596.88-1598.88] 又能夠做高導熱
[1598.88-1600.88] 又能夠跟材料
[1600.88-1602.88] 能夠跟
[1602.88-1604.88] 或是說與板
[1604.88-1605.88] 合在一起
[1605.88-1607.88] 這個是非常困難的
[1607.88-1609.88] 那我們經過不斷的突破
[1609.88-1611.88] 不斷的做到什麼
[1611.88-1614.88] 現在我們有好幾個案子
[1614.88-1616.88] 當說無人飛行器
[1616.88-1618.88] 或是說載人的
[1618.88-1619.88] 像Veltex
[1619.88-1620.88] 這類的產品
[1620.88-1621.88] 它能用
[1621.88-1622.88] 然後還有一些愛奇藝
[1622.88-1623.88] 原來
[1623.88-1625.88] MOSFET
[1625.88-1626.88] 代表
[1626.88-1627.88] 潮濕
[1627.88-1628.88] 這市場是非常的大
[1628.88-1629.88] 潮濕
[1629.88-1630.88] 讓我們的家產
[1630.88-1631.88] 很差10倍
[1631.88-1632.88] 但是因為它高導熱
[1632.88-1635.88] 那我們現在已經可以用到這裡
[1635.88-1637.88] 如果現在有MOSFET的
[1637.88-1639.88] 這些風力長
[1639.88-1640.88] 他們因為它這一類
[1640.88-1642.88] 他們在自己的測試
[1642.88-1644.88] 是不是可以把他的
[1644.88-1645.88] 這些材料
[1645.88-1647.88] 能夠降解使用這個材料
[1647.88-1648.88] 因為它被壓了
[1648.88-1650.88] 可以變成各種尺寸
[1650.88-1651.88] 各種尺寸
[1651.88-1653.88] 那如果是陶瓷的話
[1653.88-1654.88] 就是
[1654.88-1656.88] 開模什麼尺寸就是什麼尺寸
[1656.88-1657.88] 而且非常
[1657.88-1658.88] 按加工就很困難
[1658.88-1660.88] 所以我覺得有的說的
[1660.88-1663.88] 這個在這裡做稍微的指示
[1663.88-1666.88] 就是我們
[1666.88-1669.88] 在全世界的這些廠商
[1669.88-1670.88] 寶馬
[1670.88-1671.88] 英式
[1671.88-1672.88] 奧米
[1672.88-1673.88] 馬薩雷迪
[1673.88-1674.88] 這類的North Orleans
[1674.88-1675.88] 我們都是
[1675.88-1676.88] 很可能風力長
[1676.88-1678.88] 我們剛剛講過
[1678.88-1680.88] 我們在全世界最大的
[1680.88-1681.88] 材料的廠商
[1681.88-1682.88] 原因就在這裡
[1682.88-1684.88] 我們達到全世界的這些
[1684.88-1686.88] 大商業
[1686.88-1688.88] 那這些大概是我們的
[1688.88-1689.88] 就是歐面
[1689.88-1690.88] 像是加比奧
[1690.88-1691.88] 佛羅里東日
[1691.88-1692.88] 全世界最大的
[1692.88-1693.88] 佛羅里東日寶沙
[1693.88-1694.88] 華記貝大圖
[1694.88-1696.88] 或是法雷奧
[1696.88-1699.88] 這些都是歐洲
[1699.88-1700.88] 日本的
[1700.88-1702.88] 客戶的
[1702.88-1706.88] 那另外一個
[1706.88-1707.88] 另外就是說
[1707.88-1708.88] 因為熱管各位知道說
[1708.88-1709.88] 風力越大
[1709.88-1710.88] 就越散熱
[1710.88-1711.88] 越散熱
[1711.88-1712.88] 如果以上不停
[1712.88-1713.88] 就很容易損壞
[1713.88-1714.88] 或是會有損耗
[1714.88-1715.88] 比方說
[1715.88-1716.88] 燈會越來越暗
[1716.88-1717.88] 或者是說
[1717.88-1718.88] 就很容易打破
[1718.88-1720.88] 或是它的性能就會變差
[1720.88-1723.88] 或是它的壽命就會變短
[1723.88-1724.88] 所以現在熱管
[1724.88-1725.88] 可惜的險區
[1725.88-1727.88] 不過其實最近中國
[1727.88-1729.88] 因為火燒車事件發
[1729.88-1730.88] 所以他們現在發了規定
[1730.88-1732.88] 明年7月1號以後
[1732.88-1733.88] 所有的電池
[1733.88-1734.88] 都會燃燒
[1734.88-1735.88] 火雞都會爆炸
[1735.88-1736.88] 所以呢
[1736.88-1737.88] 現在
[1737.88-1740.88] 有很多的客人
[1740.88-1742.88] 也可能會有要求
[1742.88-1743.88] 提供材料測試
[1743.88-1744.88] 然後
[1744.88-1745.88] 就是在熱管上面
[1745.88-1747.88] 另外一個就是他們會做
[1747.88-1748.88] 多防止
[1748.88-1749.88] 溫度到什麼程度
[1749.88-1750.88] 就會跳掉
[1750.88-1752.88] 就是跳了又不能停
[1752.88-1753.88] 所以他們現在就是在
[1753.88-1754.88] 發出來
[1754.88-1755.88] 在做這個測試當中
[1755.88-1757.88] 你們認為這個在你裡面
[1757.88-1759.88] 如果我們今年
[1759.88-1761.88] 解救了才能回到
[1761.88-1762.88] 所以這又是一個新的
[1762.88-1764.88] 在散熱
[1764.88-1766.88] 這個上面一個很重要的
[1766.88-1768.88] 然後他很多的運用
[1768.88-1769.88] 新能流
[1769.88-1771.88] 最近也達到中國一個
[1771.88-1772.88] 會比較貴穿
[1772.88-1773.88] 我們有的才能
[1773.88-1774.88] 他都在吃
[1774.88-1775.88] 但是目前只有我們
[1775.88-1776.88] 多了這酒
[1776.88-1777.88] 酒很多
[1777.88-1779.88] 但是還是有一個推薦
[1779.88-1780.88] 他說我們打火燒
[1780.88-1781.88] 有一個希望
[1781.88-1782.88] 希望我們趕快把我們
[1782.88-1784.88] 另外的小學也打完
[1784.88-1785.88] 因為他一吃了三米
[1785.88-1786.88] 他三米都要殺死
[1786.88-1788.88] 那我覺得對我們來說
[1788.88-1789.88] 很多的過程
[1789.88-1790.88] 就是我們
[1790.88-1793.88] 確認到我們做型愛部
[1793.88-1795.88] 拿到的職業優勢
[1796.88-1799.88] 另外就是我們
[1799.88-1801.88] 未來
[1801.88-1802.88] 11
[1802.88-1803.88] 他11
[1803.88-1804.88] 他
[1804.88-1805.88] 他
[1805.88-1807.88] 他的好處是
[1807.88-1809.88] 他可以那個尺寸
[1809.88-1810.88] 然後膠量夠
[1810.88-1811.88] 所以他可以膠
[1811.88-1812.88] 可以
[1812.88-1813.88] 這些都是問題
[1813.88-1815.88] 然後他又可以
[1815.88-1817.88] 我又可以小量生產
[1817.88-1818.88] 因為我們這個
[1818.88-1819.88] 比較小
[1819.88-1821.88] 然後生產速度比較慢
[1821.88-1822.88] 所以對客戶來講
[1822.88-1823.88] 再少量多一點
[1823.88-1824.88] 他就不太會
[1824.88-1825.88] 他就不太會
[1825.88-1827.88] 在少量多一樣的過程裡面
[1827.88-1828.88] 客人都
[1828.88-1829.88] 我如果有希望說
[1829.88-1830.88] 今天
[1830.88-1831.88] 那台貨
[1831.88-1832.88] 加上生產的東西
[1832.88-1833.88] 只有幾片
[1833.88-1834.88] 你可以買個約做
[1834.88-1835.88] 反正就會
[1835.88-1836.88] 但是
[1836.88-1837.88] 你沒有那個幾片
[1837.88-1838.88] 以後
[1838.88-1839.88] 會不會起來
[1839.88-1840.88] 可以成本
[1840.88-1841.88] 那我們
[1841.88-1842.88] 在這上面
[1842.88-1843.88] 就有這個好處
[1843.88-1844.88] 像我們現在
[1844.88-1845.88] 的訂單
[1845.88-1846.88] 從
[1846.88-1847.88] 從六四一
[1847.88-1848.88] 一百塊
[1848.88-1849.88] 現在
[1849.88-1850.88] 拿到訂單
[1850.88-1851.88] 好幾個訂單
[1851.88-1852.88] 七萬塊
[1852.88-1853.88] 七萬塊
[1853.88-1854.88] 所以
[1854.88-1856.88] 就是在一個成本後程
[1856.88-1857.88] 能達到先進
[1857.88-1858.88] 跟
[1858.88-1859.88] 其中給客戶這樣的測試
[1859.88-1861.88] 那我們這個客戶
[1861.88-1862.88] 客戶的需求是
[1862.88-1863.88] 幾百家
[1863.88-1864.88] 但如果你每次生產
[1864.88-1865.88] 客人就是
[1865.88-1866.88] 我的對手生產
[1866.88-1869.88] 用他們的設備去生產
[1869.88-1870.88] 幾百片
[1870.88-1871.88] 他生產
[1871.88-1872.88] 不良於
[1872.88-1873.88] 就把他救死
[1873.88-1875.88] 所以他們不會做
[1875.88-1876.88] 然後如果你
[1876.88-1877.88] 幾百家
[1877.88-1878.88] 這個要補掉
[1878.88-1879.88] 可以這個
[1879.88-1880.88] 就是我們現在的場處
[1880.88-1881.88] 那這個部分
[1881.88-1882.88] 就像
[1882.88-1883.88] 半導體線
[1883.88-1885.88] 這也是在發展過程
[1885.88-1886.88] 後腫
[1886.88-1888.88] 這個我們訂單開始討論
[1888.88-1890.88] 就是因為它中間有後腫
[1890.88-1891.88] 然後交通過程
[1891.88-1892.88] 然後後腫
[1892.88-1894.88] 後腫原子位
[1894.88-1895.88] 現在電壓越來越高
[1895.88-1896.88] 所以設計上面
[1896.88-1897.88] 都
[1897.88-1898.88] 都
[1898.88-1899.88] 要加
[1899.88-1901.88] 這樣子電線的改良
[1901.88-1902.88] 要一些高
[1902.88-1904.88] 高度高速的材料來
[1904.88-1905.88] 讓它
[1905.88-1906.88] 讓它不會有太大
[1906.88-1907.88] 所以MI
[1907.88-1908.88] 這類似
[1908.88-1909.88] 像
[1909.88-1910.88] 高導熱
[1910.88-1912.88] 高熱的導引
[1912.88-1913.88] 然後
[1913.88-1914.88] 在內部
[1914.88-1915.88] 發導出來的設計
[1915.88-1916.88] 然後像
[1916.88-1917.88] 這些黑色的
[1917.88-1919.88] 這些新的工具
[1919.88-1920.88] 在博士
[1920.88-1921.88] 在這部分建設上面
[1921.88-1923.88] 當作保熱物
[1923.88-1924.88] 現在在
[1924.88-1926.88] 國內最大的一家
[1926.88-1927.88] 辦
[1927.88-1928.88] 電子公司
[1928.88-1930.88] 我們也做了很多的測試類
[1930.88-1932.88] 目前還是有小並達的
[1932.88-1933.88] 應用開始
[1933.88-1934.88] 這也是一個
[1934.88-1935.88] 就是在各個方面
[1935.88-1936.88] 實際上不是
[1936.88-1937.88] 不是我們的
[1937.88-1938.88] 但是
[1938.88-1940.88] 類似的材料
[1940.88-1941.88] 然後我們就
[1941.88-1942.88] 很多系列的材料
[1942.88-1943.88] 的產品
[1943.88-1944.88] 然後我們還在開發
[1944.88-1945.88] 那個
[1945.88-1946.88] 東西
[1946.88-1947.88] 說實話
[1947.88-1948.88] 它
[1948.88-1949.88] 有的客戶他們其實是有需求
[1949.88-1950.88] 但是沒人幫忙做
[1950.88-1951.88] 然後我們
[1951.88-1952.88] 目前就是
[1952.88-1953.88] 看到很多這樣的商品
[1953.88-1954.88] 所以我們開始
[1954.88-1956.88] 做了很大的收入
[1956.88-1958.88] 這是一個案例
[1958.88-1959.88] 就是
[1959.88-1960.88] 讓
[1960.88-1963.88] 像這個就是黑色的膠紋
[1963.88-1964.88] 如果你放了以後
[1964.88-1965.88] 它就變成
[1965.88-1966.88] 這個樣子
[1966.88-1967.88] 你知道裡面是什麼
[1967.88-1968.88] 那
[1968.88-1969.88] 這個
[1969.88-1970.88] 這個是台電
[1970.88-1971.88] 然後它
[1971.88-1973.88] 非常
[1973.88-1974.88] 但全世界需求不想到
[1974.88-1976.88] 他已經找了其他公司
[1976.88-1977.88] 我做了三十
[1977.88-1978.88] 都做不出來
[1978.88-1979.88] 搞了我
[1979.88-1980.88] 最後一年
[1980.88-1981.88] 所以我就把它
[1981.88-1982.88] 做出來這樣
[1982.88-1985.88] 那如果按照他們那樣的
[1985.88-1987.88] 在四五個月
[1987.88-1988.88] 一年
[1988.88-1989.88] 接他第一台就
[1989.88-1990.88] 一兩千萬
[1990.88-1992.88] 這個樣
[1992.88-1994.88] 單一客戶
[1994.88-1995.88] 兩千萬
[1995.88-1996.88] 這些
[1996.88-1997.88] 指導應用
[1997.88-1998.88] 因為我們還學會
[1998.88-1999.88] 非常非常的
[1999.88-2000.88] 適合的代價成本
[2000.88-2001.88] 現在的 unconditional
[2001.88-2002.88] 全台出了
[2002.88-2009.88] 他說
[2009.92-2010.88] expression
[2010.88-2011.88] 效果
[2011.88-2012.88] 這個就
[2012.88-2013.88] IRA
[2013.88-2014.88] 這個就是
[2014.88-2020.08] du
[2020.08-2022.88] expressed
[2022.88-2024.88] 這個要
[2024.88-2025.88] 多
[2025.88-2026.84] 的
[2026.84-2027.88] 音量
[2027.88-2028.88] 它的
[2028.88-2029.88] 東西
[2029.88-2030.88] 也是
[2030.88-2034.40] 像手機上面的產品
[2034.40-2039.32] 然後這是麥桶保持在裡面
[2039.32-2041.64] 所以這些是為了散熱
[2041.64-2044.44] 但是它這個地方這麼大的空間
[2044.44-2047.08] 一般的半封
[2047.08-2049.96] 傳統的是填不了的
[2049.96-2052.96] 所以它就需要如果還要再散熱的話
[2052.96-2055.72] 它就會把我們的材料淹在這裡
[2055.72-2057.00] 然後這個半導體
[2057.00-2061.28] 然後這個主要是它可以減少多的MOSFET
[2061.28-2062.84] 它可以減少二次生命
[2062.84-2066.88] 然後MOSFET它就用材料來替代它
[2066.88-2069.84] 工人來替代它們就會省掉多的錢
[2069.84-2071.24] 那另外就是在高土上
[2071.24-2072.68] 所以我們做的不太好
[2072.68-2075.32] 因為我們買出來二次生命的實際都不夠
[2075.32-2078.80] 所以我們先開始去認真
[2078.80-2080.12] 經過了很多年
[2080.12-2082.16] 其實我們現在也相對有一點量
[2082.16-2084.40] 但現在說實話很滿滿
[2084.40-2086.76] 那這也是我們對於一些明媒電子
[2086.76-2088.92] 叫一般的說實話
[2088.92-2091.24] 但是我們有好多的認證在這裡
[2091.24-2094.72] 我們認為我們沒有到認證
[2094.72-2099.36] 這個其實是一個要耐性的過程
[2099.36-2101.56] 然後我們就去拿最高級
[2101.56-2104.48] 最高的低損耗的材料
[2104.48-2106.56] 起碼到最低的熱水
[2106.56-2109.04] 馬八已經在做
[2109.04-2111.40] 發明一個大廠在做認證
[2111.40-2113.72] 然後這個吸引氮氣的材料
[2113.72-2116.08] 不要吸引氣的天線
[2116.08-2116.72] 然後這個
[2116.72-2118.72] 這個是一個
[2118.72-2119.72] 各位注意看
[2119.72-2121.36] 就是一杯飄進來
[2121.36-2129.04] 是有很多不然跟其他材料的作用
[2129.04-2130.44] 這在介紹
[2130.44-2137.00] 這其實是一大堆這麼多的材料
[2137.00-2138.44] 這是我們傳統的
[2138.44-2139.24] 因為拿到一個
[2139.24-2142.12] 其實就只是一個概念
[2142.12-2146.04] 其實這個部分就多面對在這裡
[2146.72-2151.00] 接下來就是你介紹一下
[2151.00-2152.40] 我們在這個材料上面
[2152.40-2154.92] 尤其是我們在軍工上
[2154.92-2156.36] 軍工上面我們最近
[2156.36-2160.04] 這次發現就是說用量越來越大
[2160.04-2163.56] 主要原因是因為它有高工程
[2163.56-2164.64] 工程越來越多
[2164.64-2166.12] 所以你看這一次打造的
[2166.12-2169.68] 原來要怎麼對象遠距很遠的
[2169.68-2172.68] 就測到就協同作戰
[2172.68-2176.16] 請對類似的AI工程是整個整個
[2176.72-2178.12] 就是要把更多的工程
[2178.12-2181.12] 可以整合到它的一些偵測產品
[2181.12-2184.52] 所以它在做它的出辦的時候
[2184.52-2188.12] 它可能多能用到軟板
[2188.12-2190.48] 或是多的是用這個不連腳的
[2190.48-2192.32] 你這邊讓它做正直
[2192.32-2194.00] 然後從這邊最重要的就是
[2194.00-2194.92] 它要好買人
[2194.92-2197.92] 因為軍工它造7倍還貴
[2197.92-2200.24] 它根本就不會管材料貴
[2200.24-2202.12] 貴貴3倍
[2202.12-2203.16] 然後這材料
[2203.16-2204.28] 老實說做一張
[2204.28-2206.04] 比我做一百張傳統才要賺得來
[2206.04-2206.68] 好
[2206.72-2210.28] 那真的保證到單價的
[2210.28-2213.40] 客人不在於我們發現說
[2213.40-2214.60] 這個材料
[2214.60-2217.48] 一開始內一個成長才是
[2217.48-2219.08] 會成數越來越多
[2219.08-2220.28] 用量越來越大
[2220.28-2223.24] 絕對散熱耐熱要求越來越多
[2223.24-2226.08] 所以我們應該是
[2226.08-2229.08] 在中國或是在全世界為二
[2229.08-2232.28] 這個材料大量會使用
[2232.28-2234.68] 那這個成長對我們來說
[2234.68-2235.88] 能力不轉
[2235.88-2236.68] 轉
[2236.72-2240.16] 然後另外我們又開發了一個
[2240.16-2242.60] 馬六的高速材料
[2242.60-2243.48] 應該是生產到
[2243.48-2246.56] 也是我們廣東的一家推出來
[2246.56-2247.88] 這麼高階的
[2247.88-2251.12] 做你所靠的高速的產品
[2251.12-2254.76] 一推出來的時候是賣的太順利
[2254.76-2258.28] 然後這今年開始就下增加了
[2258.28-2259.48] 很多的工作
[2259.48-2263.56] 一些基地的大廠都來提出
[2263.56-2265.72] 那我們現在在預料
[2265.72-2266.56] 這裡
[2266.72-2268.32] 運動價值
[2268.32-2269.20] 這個
[2269.20-2271.04] 到45的印象正式量產
[2271.04-2273.32] 還有兩三次工商
[2273.32-2274.32] 所以
[2274.32-2276.84] 然後因為打開了去
[2276.84-2278.08] 本客人開始希望
[2278.08-2280.36] 這樣徵詢的越來越多
[2280.36-2281.44] 你們發現這個
[2281.44-2284.76] 這個其實是一個大家看不到
[2284.76-2287.20] 但是你只要提倡
[2287.20-2288.64] 那推廣
[2288.64-2291.04] 就會開發這個
[2295.04-2296.56] 接下來就請我們插入到
[2296.56-2298.64] 稍微跟各位講到一下
[2298.64-2301.08] 我們
[2301.08-2302.96] 才能做到
[2302.96-2304.20] 我只能說一下
[2304.20-2307.24] 主要就是我們的這個策略
[2307.24-2308.44] 發展的過程
[2308.44-2311.20] 但在往後的永恆的時候
[2311.20-2312.52] 我們是才到的
[2312.52-2314.96] 我們從
[2314.96-2315.52] 可能以前
[2315.52-2316.16] 在16
[2316.16-2316.92] 在12年
[2316.92-2318.32] 16
[2318.32-2319.72] 保育生的時期
[2319.72-2320.52] 到目前
[2320.52-2321.40] 就是因為
[2321.40-2323.28] 其實是少量多量
[2323.28-2324.80] 你還是看他
[2324.80-2326.40] 然後看到後來這邊
[2326.56-2327.40] 所以
[2327.40-2328.52] 我們在整個
[2328.52-2330.08] 我們
[2330.08-2331.80] 我們現在
[2331.80-2332.32] 去年
[2332.32-2333.48] 我們都不是
[2333.48-2334.24] 實際上
[2334.24-2334.88] 所以
[2334.88-2337.80] 你自己的保育是三次
[2337.80-2338.36] 然後
[2338.36-2339.12] 各位
[2339.12-2340.24] 我讓大家
[2340.24-2341.12] 去下一個詞
[2341.12-2341.56] 先
[2341.56-2342.40] 那個大家都知道
[2342.40-2342.92] 我們是
[2342.92-2343.68] 學會
[2343.68-2344.16] 公報
[2344.16-2344.48] 我們這邊
[2344.48-2345.00] 基本的一個
[2345.00-2345.76] 什麼狀況
[2345.76-2346.24] 好
[2346.24-2347.08] 那第一次
[2347.08-2347.84] 現在
[2347.84-2349.28] 毛利率的一個狀況
[2349.28-2350.52] 是30.1
[2350.52-2351.44] 那相較
