[0.00-14.20] 今天我們很高興大家來參加教士達的法人說明會
[1732.98-1733.98] 照顧書嗎
[1733.98-1734.98] 你有看過到嗎
[1734.98-1740.98] 那基本上你可以看到前三年的一個玻璃狀況是持續往上的
[1740.98-1742.98] 那去年受到兩個原因
[1742.98-1744.98] 第一個原因就是說
[1744.98-1747.98] 整個大陸的景氣有稍微變差
[1747.98-1750.98] 然後第二個就是說他在那個
[1750.98-1756.98] 他的那個醫療醫療指揮制度的那個制度有所改變
[1756.98-1760.98] 所以每一個的每一個的那個幾乎點數
[1760.98-1761.98] 他是有下調的
[1761.98-1766.98] 所以微乎有影響到我們在下半年的營收跟獲利
[1766.98-1770.98] 不過剛剛可以看到營收其實影響不大
[1770.98-1772.98] 那貨幣為什麼會減少那麼多呢
[1772.98-1773.98] 因為基本上
[1773.98-1774.98] 我們去
[1774.98-1776.98] 去年我們列了一個
[1776.98-1778.98] 蠻大的一個數字
[1778.98-1779.98] 去做
[1779.98-1781.98] 做那個IPO費用
[1781.98-1783.98] 體列蠻大的一個IPO費用
[1783.98-1785.98] 那這個是短暫性的影響
[1785.98-1788.98] 那今年我們的評估它已經可以回復到正軌
[1788.98-1791.98] 所以今年還是會持續的正成長
[1791.98-1795.98] 那會比那個你剛剛你看到的數字還要更更好
[1795.98-1797.98] 那抱歉
[1797.98-1798.98] 那個
[1798.98-1800.98] 社交組的這個規定我們不敢碰
[1800.98-1802.98] 因為現在已經是在一個敏感的範圍
[1802.98-1803.98] 所以數字方面
[1803.98-1805.98] 我就不提了
[1805.98-1807.98] 我只跟你說明原因
[1807.98-1814.98] 另外一個就是
[1814.98-1820.98] 大成長
[1820.98-1822.98] 那主要是會
[1822.98-1827.98] 長大的寶寶
[1827.98-1828.98] 飼養啊
[1828.98-1829.98] 大魚啊
[1829.98-1832.98] 這樣子的一個見證的寶寶
[1833.98-1835.98] 飼養呢
[1835.98-1838.98] 基本上已經是我們的轉投資的轉投資了
[1838.98-1840.98] 所以它對我們的影響性不大
[1840.98-1842.98] 也不在我們討論的範圍
[1842.98-1844.98] 我們討論的
[1844.98-1847.98] 我們討論的範圍基本上就是這幾個
[1847.98-1850.98] 那剛剛講到的音樂就是音樂嘛
[1850.98-1851.98] 那這個是丁丁藥菌
[1851.98-1853.98] 這個是康克特
[1853.98-1856.98] 然後這邊是明基
[1856.98-1859.98] 跟它旗下的那個我們自己
[1859.98-1861.98] 那個裡面的一些東西
[1861.98-1862.98] 還有水液透析
[1862.98-1864.98] 所以主要的成長動能當然會
[1864.98-1866.98] 第一個來自於明基醫院
[1866.98-1868.98] 它上市以後所帶來的
[1868.98-1870.98] 我們還會有更多的一些
[1870.98-1871.98] 包括購併
[1871.98-1873.98] 包括一些調整
[1873.98-1875.98] 那你也知道我們其實
[1875.98-1877.98] 還投資另外一個醫院
[1877.98-1880.98] 叫做廣西貴港的東貴醫院
[1880.98-1884.98] 那在我們上市完之後
[1884.98-1885.98] 或許我們就可以把
[1885.98-1889.98] 就是再提高它的支付來並良
[1889.98-1890.98] 這是選項之一
[1890.98-1891.98] 那至於什麼時候
[1891.98-1892.98] 這個
[1892.98-1894.98] 我們也沒有一定的時程
[1894.98-1897.98] 就是看它整個獲利改善的狀況
[1897.98-1898.98] 跟主意
[1898.98-1899.98] 那第二個最重要的
[1899.98-1900.98] 當然就是丁丁
[1900.98-1903.98] 我們今年把丁丁病進來之後
[1903.98-1907.98] 它現在大手100間的門市
[1907.98-1910.98] 那這個是
[1910.98-1914.98] 這個目前臺灣的一些街邊店
[1914.98-1915.98] 實在是太多了
[1915.98-1917.98] 需要一旦需要一些整併
[1917.98-1919.98] 所以說我們取一取自己
[1919.98-1922.98] 都在聯手押局
[1922.98-1923.98] 就算不是第一
[1923.98-1925.98] 我們也要做到第二
[1925.98-1927.98] 就是說所以我們會持續做一些
[1927.98-1929.98] 整併的動作
[1929.98-1931.98] 那可能目前這段還沒有辦法
[1931.98-1934.98] 跟大數相比的
[1934.98-1936.98] 那我們會持續的去做一些
[1936.98-1941.98] 一些合作整併大聯盟的一個想法
[1941.98-1942.98] 去做進行
[1942.98-1944.98] 對未來在丁丁
[1944.98-1946.98] 未來在聯手押局
[1946.98-1948.98] 未來在聯手押局這邊
[1948.98-1951.98] 我們會有一些比較明顯的增加
[1952.98-1954.98] 那至於就是血液透析
[1954.98-1956.98] 那相較於前年
[1956.98-1958.98] 去年開始有比較顯著的成長
[1958.98-1960.98] 因為去年
[1960.98-1963.98] 那個大陸用了一個所謂的
[1963.98-1964.98] 集採的制度
[1964.98-1966.98] 那終於透過這個制度
[1966.98-1968.98] 讓我們拿到一些入門券
[1968.98-1970.98] 我們已經開始跨入這個市場
[1970.98-1972.98] 那今年的成長幅度
[1972.98-1973.98] 因為去年是第一年
[1973.98-1976.98] 那今年的我們拿到一些時機
[1976.98-1978.98] 拿到一些銷售渠道
[1978.98-1979.98] 那今年的成長幅度
[1979.98-1982.98] 會相對於去年會更大
[1982.98-1984.98] 那我們當然是最希望
[1984.98-1986.98] 今年就可以把第一階段的
[1986.98-1988.98] 400萬隻給填滿
[1988.98-1991.98] 往最終目標4000萬隻
[1991.98-1992.98] 不過那還有點遙遠
[1992.98-1994.98] 所以先把這400萬隻的產能
[1994.98-1996.98] 就做填滿
[1996.98-1999.98] 以上是大概醫療的一個看法
[2004.98-2006.98] 還有相關的問題嗎
[2012.98-2018.98] 就是我們今年主要就是
[2018.98-2019.98] 兩件事
[2019.98-2021.98] 第一個就是我們把鼓勵人配的
[2021.98-2023.98] 然後第二個是
[2023.98-2026.98] 我們去做一個減資1.8億
[2026.98-2029.98] 那這兩個部分
[2029.98-2032.98] 我跟各位做一下一個說明
[2032.98-2034.98] 就是說配發1.8億
[2034.98-2035.98] 我剛有說過
[2035.98-2036.98] 因為我們今年的
[2036.98-2039.98] 獲利狀況相對確實是比較不好
[2039.98-2042.98] 所以我們會去做人配的
[2042.98-2045.98] 然後讓他們去滿足一個股東的要求
[2045.98-2050.98] 那也因為這樣的關係
[2050.98-2051.98] 可以讓我們覺得說
[2051.98-2054.98] 我們的股本確實有點過大
[2054.98-2056.98] 所以說我們還會去做一些調整
[2056.98-2059.98] 那當然這就很明顯的改變
[2059.98-2061.98] 改善了EPS
[2061.98-2062.98] 比較一個
[2062.98-2064.98] 一支產能幹一支做經營
[2064.98-2065.98] 這樣對未來
[2065.98-2067.98] 我覺得應該是一個正面的
[2067.98-2070.98] 大家或許市場有一些反正的反應
[2070.98-2072.98] 可是我相信就是正面的一個
[2072.98-2077.98] 就是我們之前都會
[2077.98-2079.98] 是
[2079.98-2081.98] 對
[2081.98-2083.98] 可能我們做完減資之後
[2083.98-2085.98] 會是有當的
[2085.98-2087.98] 我覺得不會
[2087.98-2089.98] 這是兩個不同的概念
[2089.98-2090.98] 就是說
[2090.98-2091.98] 我們還是有
[2091.98-2093.98] 我先講第一個就是說
[2093.98-2094.98] 其實我們已經很累過
[2094.98-2096.98] 我們目前的資金水位
[2096.98-2097.98] 是足夠1億這一次
[2097.98-2101.98] 因為這個減資也不過大概就30多億
[2101.98-2102.98] 好
[2102.98-2105.98] 那我們的我們還沒過我們的現金
[2105.98-2107.98] 基本上是沒有太大影響的
[2107.98-2109.98] 那未來如果說有
[2109.98-2110.98] 貨幣需求
[2110.98-2111.98] 那其實一樣
[2111.98-2114.98] 那種融資管道是暢通的
[2114.98-2117.98] 那也我們有很多的
[2117.98-2119.98] 銀行的銀行的額度
[2119.98-2121.98] 然後我們有很多
[2121.98-2122.98] 公司的support
[2122.98-2123.98] 所以說加上說
[2123.98-2126.98] 我們對年後年的展望是相對比較樂觀的
[2126.98-2127.98] 那當然
[2127.98-2130.98] 帶入一些更多的現金
[2130.98-2131.98] 所以說
[2131.98-2135.98] 我不認為說這會造成我們
[2135.98-2138.98] 造成我們併購的一個腳步有放緩
[2138.98-2139.98] 或是怎麼樣
[2139.98-2140.98] 有好的標的
[2140.98-2141.98] 就好像說有好的股票
[2141.98-2142.98] 我去借行為
[2142.98-2144.98] 為什麼要買
[2144.98-2145.98] 所以說
[2145.98-2147.98] 這也不是最大的問題
[2147.98-2148.98] 那加上說
[2148.98-2149.98] 那個
[2149.98-2151.98] 那個
[2151.98-2152.98] 銀行上市以後
[2152.98-2154.98] 它也會帶來一些
[2154.98-2156.98] 一些那個限定的
[2156.98-2158.98] 資金的一個流入
[2158.98-2159.98] 所以說
[2159.98-2160.98] 這些短期來看
[2160.98-2162.98] 不會是太大的問題
[2162.98-2164.98] 你有考慮過
[2164.98-2166.98] 越南的生產
[2166.98-2168.98] 大概在
[2168.98-2169.98] 當過
[2169.98-2171.98] 大陸幹線
[2171.98-2172.98] 越南的水管
[2172.98-2173.98] 的效益
[2173.98-2175.98] 我剛有提到
[2175.98-2178.98] 其實我們在哪一個市場
[2178.98-2181.98] 生產基本上都是依據客戶的規劃
[2181.98-2183.98] 我們只要達到說
[2183.98-2184.98] 我們有足夠的產能
[2184.98-2185.98] 滿足它就好了
[2185.98-2186.98] 所以說
[2186.98-2188.98] 我現在這個時候
[2188.98-2190.98] 我不方便
[2190.98-2191.98] 給你那個數字
[2191.98-2193.98] 因為現在太靈感的時間
[2193.98-2195.98] 所以我們越南的產品
[2195.98-2198.98] 絕對有辦法滿足客戶
[2198.98-2200.98] 就是出貨的需求
[2200.98-2202.98] 我們會調配到滿足
[2202.98-2204.98] 那我剛講到了
[2204.98-2205.98] 在二月之前
[2205.98-2207.98] 我們很多還是從中國出貨
[2207.98-2209.98] 那二月以後
[2209.98-2210.98] 那個
[2210.98-2212.98] 關稅開始之後
[2212.98-2213.98] 我們基本上
[2213.98-2215.98] 出往美國的地單
[2215.98-2218.98] 我們都會是從越南出貨
[2218.98-2219.98] 那你會講到說
[2219.98-2220.98] 我剛也提到
[2220.98-2221.98] 你會講到說
[2221.98-2223.98] 如果到越南又被瞌睡了怎麼辦
[2223.98-2224.98] 我剛已經有
[2224.98-2225.98] 又被提到了
[2225.98-2227.98] 我們現在已經在規劃說
[2227.98-2229.98] 我們會在中國跟越南之外
[2229.98-2232.98] 在東南亞再去設立一個據點
[2232.98-2234.98] 去定義這樣的一個問題
[2234.98-2235.98] 我不是
[2235.98-2237.98] 我美國的
[2237.98-2240.98] 出了
[2240.98-2242.98] 你是負險的負險
[2242.98-2244.98] 我覺得
[2244.98-2245.98] 我剛已經回答了
[2245.98-2247.98] 你說基本上它不會負險
[2247.98-2249.98] 我越南都足夠的運氣去做
[2249.98-2250.98] 去定義它了
[2250.98-2252.98] 那其實我們在
[2252.98-2254.98] 我剛講到我們在美國有一個
[2254.98-2255.98] 直播室Brainstorm
[2255.98-2256.98] 所以我還請你看我們
[2256.98-2258.98] 在美國的Brainstorm
[2258.98-2261.98] 它也有足夠的基地讓我們去做
[2261.98-2263.98] 去做那個產線的
[2263.98-2265.98] 那個建制
[2265.98-2266.98] 所以它
[2266.98-2269.98] 我們現在只能說建造太高了
[2269.98-2271.98] 就是它有什麼樣的
[2271.98-2273.98] 那個我們就有什麼樣的對稱
[2275.98-2277.98] 因為你剛剛提到那個網通要很稠
[2277.98-2279.98] 所以它是很難去做
[2279.98-2280.98] 對
[2280.98-2281.98] 這個意思是
[2281.98-2284.98] 我們也是OBMS
[2284.98-2286.98] 可是我們好像之前都有加手工
[2286.98-2287.98] 所以我們想辦法
[2287.98-2288.98] 對
[2288.98-2292.98] 我們過去的話基本上都是一些企業需求
[2292.98-2294.98] 大概都在100G以下
[2294.98-2298.98] 那你要做到Data Center基本上要400G
[2298.98-2299.98] 400G
[2299.98-2301.98] 然後要做到AI Data Center
[2301.98-2303.98] 大概是要800G起跳
[2303.98-2306.98] 現在甚至是1.6T以上
[2306.98-2308.98] 那過去的話AI的Data Center
[2308.98-2310.98] 基本上只有一家五家
[2310.98-2311.98] 是那個
[2311.98-2312.98] 那我
[2312.98-2314.98] 我錯誤提名字
[2314.98-2316.98] 那現在
[2316.98-2319.98] 在發展了一段時間之後
[2319.98-2321.98] 那現在過去它是800G的電視
[2321.98-2323.98] 現在要朝1.6T的
[2323.98-2324.98] 去發展
[2324.98-2325.98] 所以我們達到一個
[2325.98-2327.98] 我們現在搶到一個第幾點
[2327.98-2330.98] 就是說我們在1.6T的發展
[2330.98-2332.98] 其實現在目前是屬於領先群的
[2332.98-2334.98] 所以我們會趁這個機會去
[2334.98-2336.98] 跨入AI Data Center
[2336.98-2337.98] 那適合我們
[2337.98-2340.98] 那400G過去的出貨量不是很大
[2340.98-2343.98] 今年的話會陸續開始出
[2343.98-2346.98] 一些客戶的一個400G的一個需求
[2353.98-2354.98] 這個是
[2354.98-2356.98] 有點重量
[2356.98-2359.98] 在重量當中
[2367.98-2383.98] 那應該就是有通嘛
[2383.98-2384.98] 有通
[2384.98-2387.98] 就是說去年下半年開始有比較明顯的
[2387.98-2389.98] 上半年是很未的的需求
[2389.98-2391.98] 那下半年已經開始明顯的增加
[2391.98-2393.98] 尤其現在
[2393.98-2394.98] 一些標案
[2394.98-2395.98] 一些指標
[2395.98-2396.98] 一些標標
[2396.98-2399.98] 一些标案一些子弹的状况越来越影响
[2399.98-2403.18] 所以我对今年的感望是相对很乐观的
[2403.18-2408.78] 那加上说我们因为去年罗生短行为
[2408.78-2412.58] 从一个代理商短行为那个solution provider
[2412.58-2415.78] 然后再加上说并入了一个那个
[2415.78-2418.18] 宜静工业这个捆包机
[2418.18-2421.58] 所以说整个下游的那个更完整
[2421.58-2425.78] 所以说有助于我们提出一个total solution给客户
[2425.78-2432.18] 那这有办法对我们的中端客户提出一个更完善的解决方案
[2432.18-2434.18] 所以看起来是正面的
[2439.18-2444.98] 简单讲就是过去两年确实我们刚提到整个景气循环
[2444.98-2446.98] 因为时间点不同
[2446.98-2450.98] 我们整个2023跟2024年表现都相对低
[2450.98-2455.18] 那在2025年我们预期在从第二季开始
[2455.18-2455.78] 整个状况
[2455.78-2457.58] 会有很明显的改变
[2485.78-2490.78] 好
[2490.78-2492.78] 我先你先要全年
[2492.78-2497.38] 我先给你看一下全年
[2497.38-2498.58] 全年的话
[2498.58-2502.78] 大概是这边是18.4亿
[2502.78-2504.78] 然后去年是18亿
[2504.78-2507.78] 所以全年来看是差不多的
[2507.78-2508.78] 那回到上一季
[2508.78-2512.78] 那真正差别比较大的是在第4季
[2512.78-2513.78] 第4季看起来这推力确实是很低的
[2513.78-2514.88] 第4季看起来这推力确实是很低的
[2514.88-2515.78] 第4季看起来这推力确实是很低的
[2515.78-2521.78] 其實大家都應該知道稅是很複雜的東西
[2521.78-2525.78] 他有時候要綠估有時候要補繳
[2525.78-2528.78] 我簡單說明一下這個原因
[2528.78-2529.78] 第一個原因就是說
[2529.78-2532.78] 其實我如果還原那些一次性的變化的話
[2532.78-2535.78] 我的有效稅率大概
[2535.78-2539.78] 經驗大概都是27%
[2539.78-2542.78] 所以說如果還原的話大概是27%
[2542.78-2544.78] 不過這一季是很高的
[2544.78-2546.78] 主要一個原因就是
[2546.78-2550.78] 第一個我們在第四季的時候
[2550.78-2552.78] 我們在一些高稅率的地方
[2552.78-2553.78] 我們的獲利很好
[2553.78-2556.78] 所以我們的稅率就比較高
[2556.78-2557.78] 這是第一點
[2557.78-2561.78] 就是我們獲利來自高稅率的地方
[2561.78-2562.78] 比如說像美國
[2562.78-2563.78] 比如像歐洲
[2563.78-2564.78] 那高稅率的地方
[2564.78-2567.78] 所以我們的整個稅率就已經往上了
[2567.78-2569.78] 然後第二個是說
[2569.78-2571.78] 我們剛剛有提到
[2571.78-2573.78] 我們有一些東西是虧損的
[2573.78-2574.78] 我們有一些東西
[2574.78-2576.78] 我們有一些公司是屬於虧損的狀態
[2576.78-2581.78] 不過通常虧損有辦法去認那個虧損利益回來
[2581.78-2583.78] 可是我們沒有認
[2583.78-2587.78] 因為我們去基於那個IFRS的保守聯繫
[2587.78-2591.78] 我們基本上沒有去認這個虧損的那個
[2591.78-2593.78] 所得稅利益回來
[2593.78-2595.78] 這是第二點
[2595.78-2596.78] 然後第三點
[2596.78-2597.78] 因為我們有一些子公司
[2597.78-2600.78] 因為過去這兩年的表現比較不佳
[2600.78-2603.78] 所以我們打算做一些官場的動作
[2603.78-2605.78] 那官場的部分有些東西
[2605.78-2607.78] 就需要去補一列
[2607.78-2610.78] 一些所得稅的費用
[2610.78-2612.78] 那最後一個就是
[2612.78-2613.78] 很簡單的
[2613.78-2614.78] 來稅差
[2614.78-2616.78] 那這些種種因素加起來
[2616.78-2619.78] 讓我們好像第四季的所得稅
[2619.78-2620.78] 繳的比較多
[2620.78-2622.78] 造成我們所得稅率比較高
[2622.78-2623.78] 還是兩句話
[2623.78-2624.78] 第一個就是說
[2624.78-2626.78] 其實我們大概的
[2626.78-2629.78] 有效稅率會有27%上下
[2629.78-2630.78] 第一個
[2630.78-2631.78] 那第二個
[2631.78-2632.78] 以全年來看的話
[2632.78-2633.78] 其實去年
[2633.78-2634.78] 未來有增加一點
[2634.78-2636.78] 其實變化沒有太大
[2636.78-2638.78] 只是第四季比較相對明顯
[2638.78-2641.78] 不是我剛剛提到的那十個原因
[2651.78-2653.78] 我們香港來說
[2653.78-2655.78] 這一兩個月會連續
[2655.78-2657.78] 照正常的落稅順化
[2657.78-2659.78] 大概什麼時候會
[2659.78-2662.78] 連續完就可以準備發行
[2663.78-2664.78] 連續完
[2664.78-2666.78] 其實都是大概一個禮拜
[2666.78-2668.78] 一個禮拜都還有一個階段
[2668.78-2670.78] 那最重要就是我們找到
[2670.78-2672.78] 找到那個
[2672.78-2674.78] 那個叫做卯定投資人
[2674.78-2675.78] 他們叫做卯定投資人
[2675.78-2677.78] 還有即時投資人
[2677.78-2679.78] 我們只要找到這些投資人
[2679.78-2681.78] 譬如說他願意多少
[2681.78-2683.78] 我們就可以發行
[2683.78-2685.78] 那因為現在還
[2685.78-2687.78] 價格都還太早
[2687.78-2689.78] 因為他還在連續
[2689.78-2692.78] 連續完以後才會開始做路延
[2692.78-2693.78] 路延完以後才會開始做路延
[2693.78-2696.78] 然後去綁定那個價格
[2696.78-2699.78] 然後開始讓後面的人申購什麼
[2699.78-2700.78] 他跟台灣的
[2700.78-2702.78] 其實還是有一點點不一樣
[2702.78-2705.78] 所以沒有那麼直白說
[2705.78-2707.78] 我就哪一天哪一天幹嘛
[2707.78-2708.78] 那個都是
[2708.78-2710.78] 我們的都有一個time line
[2710.78-2711.78] 在那邊很清楚
[2711.78-2712.78] 他們這邊沒有那麼
[2712.78-2714.78] 甚至說我連續完
[2714.78-2716.78] 我不發行也可以
[2716.78-2719.78] 所以他的時程並不是那麼的固定
[2719.78-2721.78] 我要講的是這個原因
[2721.78-2722.78] 現在最重要就是
[2722.78-2727.78] 我們已經把去年全年的財報送上去了
[2727.78-2730.78] 等他看過新的財報沒問題
[2730.78-2732.78] 就可以安排領訓
[2732.78-2734.78] 當然一兩個月還算
[2734.78-2736.78] 應該不會多那麼久
[2736.78-2738.78] 不是這一兩個月的事情
[2738.78-2742.78] 這個時程一切以香港證交組的為主
[2742.78-2745.78] 這個我們沒有辦法去做掌控
[2745.78-2747.78] 你剛前面提到
[2747.78-2749.78] 像是要去發動
[2749.78-2751.78] 12個月那是平均值
[2751.78-2754.78] 那如果以我們1月20
[2754.78-2756.78] 我們是去年
[2756.78-2757.78] 你一樣回過頭
[2757.78-2760.78] 我們去年4月1號送件
[2760.78-2762.78] 所以以那個時間底
[2762.78-2763.78] 以去年送件
[2763.78-2764.78] 第一次送件為主
[2764.78-2767.78] 所以我們去年4月1號送件的
[2767.78-2768.78] 3月底
[2768.78-2772.78] 所以說基本上就算到3月底
[2772.78-2774.78] 我們也是剛好滿意
[2776.78-2779.78] 順利搞到第二天就可以
[2779.78-2780.78] 謝謝
[2781.78-2786.78] 零訊過了基本上就差不多了
[2786.78-2787.78] 他就是看
[2787.78-2789.78] 零訊只要過了就是看
[2789.78-2791.78] 什麼時候想要發行
[2792.78-2794.78] 零訊過你就有資格
[2794.78-2795.78] 你隨時可以決定
[2795.78-2796.78] 你什麼時候要發行
[2805.78-2806.78] 那什麼問題嗎
[2806.78-2807.78] 時間也差不多了
[2807.78-2808.78] 已經12點了
[2808.78-2810.78] 那我們如果有問題
[2810.78-2812.28] 我們再最後一個問題好嗎
[2820.08-2821.28] 貝吉還有問題嗎
[2822.78-2823.68] 沒有好那
[2823.94-2825.12] 如果有問題歡迎
[2825.12-2827.12] 隨時打電話到公司來談交好
[2827.12-2828.22] 那今天謝謝各位
[2828.22-2829.12] 那今天謝謝
[2829.78-2830.12] 謝謝
[2840.78-2841.78] 謝謝
