[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.64] 我们也很感谢各位法人先进对日胜生活科技的兴趣
[1702.50-1706.02] 那目前的建筑的规模是地上14层
[1706.02-1707.08] 地下三层
[1707.08-1709.40] 那法定的建筑率是60%
[1709.40-1711.56] 容积率是450%
[1711.56-1715.54] 目前我们已经在去年底正式动工
[1715.54-1718.38] 那建设启程预估是5.5年
[1718.38-1720.78] 那主要的户数呢
[1720.78-1723.66] 我们有规划620户的社会住宅
[1723.66-1726.02] 其中55%是无障碍的房型
[1726.02-1729.40] 那当然是以全灵的友善设施去做的
[1729.42-1731.18] 我们也有去做一个规划
[1731.18-1733.26] 包括幼儿园日照中心
[1733.26-1737.18] 跟一个社区的舒适跟强化的部分
[1737.18-1744.18] 那我们会计划去拿到绿建筑跟智慧建筑
[1744.18-1747.18] 还有耐震设计跟耐震标章
[1747.18-1751.18] 基本上智慧建筑跟绿建筑
[1751.18-1753.18] 大概就是我们现在的标配
[1753.18-1759.18] 那我们在桃园的污水下水道BOTI这个部分
[1759.18-1762.38] 我们也很感谢大家给我们肯定
[1762.38-1765.34] 就是把我们列为水资源的一个概念
[1765.34-1766.74] 那我们这个案子呢
[1766.74-1769.94] 是全台最大的公共污水的处理系统
[1769.94-1775.62] 那是在桃园占了大概7600多公顷
[1775.62-1777.48] 那目标呢
[1777.48-1781.62] 就是我们要处理到污水处理厂
[1781.62-1785.04] 可以处理到20万的cubometer
[1785.04-1786.54] 那每日
[1789.18-1791.18] 我们的主干管呢
[1791.18-1793.18] 总共28公里
[1793.18-1799.18] 那分支管加上分支管总共大概是256公里
[1799.18-1801.18] 用户接管呢
[1801.18-1806.18] 我们的最终目标可以希望要接到说25.1万户
[1806.18-1811.18] 那另外当然就是有一些附属试验
[1811.18-1817.18] 那这个案子是由日鼎水务的子公司日鼎水务去做一个建设期程
[1817.18-1818.18] 总共35年
[1818.18-1819.18] 那还有一些人呢
[1819.18-1821.18] 那他的目标就是刚刚跟各位报告
[1821.18-1827.18] 管网要建设到差不多284公里
[1827.18-1830.18] 那用户接到25.1万户
[1830.18-1833.18] 都是在桃园大桃园地区
[1833.18-1835.18] 那污水处理厂会有四期
[1835.18-1838.18] 那目标是在2047年的时候
[1838.18-1841.18] 每天可以处理到20万的cmd
[1841.18-1843.18] 就是cubometer tailing
[1843.18-1845.18] 那目前的进度呢
[1845.18-1847.18] 我们已经接管了15.8万户
[1847.18-1849.18] 那接通了桃园北区的营业
[1849.18-1851.18] 167公里的地下管网
[1851.18-1854.18] 那桃园的公共下水道的接管率
[1854.18-1857.18] 我们大概贡献了6成以上
[1857.18-1860.18] 那我们目前可以处理10万的cmd
[1860.18-1866.18] 那日鼎水务跟保顶再生水是合作的
[1866.18-1871.18] 所以呢日鼎水务就是处理了民生回收水之后呢
[1871.18-1875.18] 会配合桃园北区的再生水的bto计划
[1875.18-1878.18] 现在日鼎水务每天提供了3万的cmd到
[1878.18-1882.18] 它真的是处理一个非常高品质的回收水
[1882.18-1886.18] 然后到保顶再生水去做净化再生
[1886.18-1889.18] 那所以这是为什么保顶再生水
[1889.18-1896.18] 它可以如期的提供这么高水准的再生水到企业区域上
[1896.18-1900.18] 那另外呢在配合再生水bto的计划
[1900.18-1904.18] 那预计在今年就是2025年的中期呢
[1904.18-1907.18] 日鼎水务会提供每天6万的cmd到桃园北区的公共下水道
[1908.18-1910.18] 然后在2025年的中期呢
[1910.18-1915.18] 我们会提供3万的cmd到高品质的高品质再收水到保顶再生水去
[1915.18-1919.18] 那目前日鼎水务也在进行三期的扩展
[1919.18-1922.18] 那预计是2026年完工
[1922.18-1928.18] 届时呢完工以后大概每天就可以处理的量大概就是15万的cmd
[1928.18-1932.18] 那因为我们会导入AI系统然后预警跟艳阳消化减碳
[1932.18-1937.18] 所以呢我们预计第三期的系统碳排放量可以减少6%
[1938.18-1944.18] 那桃园的再生水的bto计划呢
[1944.18-1953.18] 其实它的所在的区域就是在我们日鼎水务的桃园北区水资源回收中心的旁边
[1953.18-1955.18] 那基地面积大概是2.5公顷
[1955.18-1959.18] 那契约的时间呢从2022年开始
[1959.18-1963.18] 新建期3年加上营运期15年总共18年
[1963.18-1967.18] 那已经在2022年11月开工了
[1967.18-1976.18] 我们在去年的第三季开始供给南亚景兴厂每天8000的cmd
[1976.18-1980.18] 就是2bm per day
[1980.18-1987.18] 那在第四季的时候呢我们供给中油炼油厂桃园炼油厂每天1万吨
[1987.18-1996.18] 所以呢去年的第四季我们总共大概每天可以提供这两个企业18000的cmd
[1996.18-2001.18] 那目前我们计划大概是在第二季跟第三季的中间呢
[2001.18-2003.18] 我们可以延伸到观音工业区
[2003.18-2014.18] 所以南亚景兴厂观音工业区跟桃园炼油厂每天总共可以提供4万的cmd再生水
[2014.18-2020.18] 那么目前呢在第一季的时候我们的输水管线已经建设差不多有94%了
[2020.18-2024.18] 那当然未来最大的全期的规划呢
[2024.18-2025.18] 呃这个计划会有多大呢?
[2025.18-2026.18] 呃这个计划会有多大呢?
[2026.18-2029.18] 呃目前是计划延伸到航空城跟大远
[2029.18-2035.18] 呃每天要供应11.2万cmd
[2035.18-2038.18] 那完成以后就会是北台湾最大的规模
[2038.18-2040.18] 那这个部分就比较属于长期的
[2040.18-2046.18] 那我们的技术优势呢就是结合日顶水务这么多年的经验
[2046.18-2049.18] 将包括MBR的薄膜生物系统
[2049.18-2051.18] 然后BioNet的薄膜处理系统
[2051.18-2055.18] 那另外呢双重的保护就是右手边的超滤膜
[2055.18-2061.18] UF跟逆渗透的RO膜
[2061.18-2066.18] 那我们有会导入智慧系统的AI控制跟
[2066.18-2069.18] 呃我们希望呢因为这样子导入之后呢
[2069.18-2074.18] 会变成打造一个全台湾首座的全自动控制的智慧再生水厂
[2074.18-2078.18] 那预计节能大概大概是10%
[2078.18-2084.18] 所以呃我这个右上角的这个水就是我们目前处理保顶再生水除外的水
[2084.18-2086.18] 如果不够的话呢就提供给企业
[2086.18-2091.18] 那非常得真的是非常的漂亮
[2091.18-2098.18] 那万达通的部分呢呃他也是一个我们重要子公式
[2098.18-2103.18] 它主要是在管理营运台北转运站
[2103.18-2105.18] 那另外呢还有就是资产管理的像就有租金跟管理的部分
[2105.18-2108.18] 那包括呢呃军瓶酒店
[2108.18-2110.18] 那还有就是资产管理的像就有租金跟管理的部分
[2110.18-2112.18] 那包括呢呃军瓶酒店
[2112.18-2113.18] 那还有呢还有就是资产管理的像就有租金跟管理的部分
[2113.18-2117.78] 微秀影城 俱乐部
[2117.78-2121.10] 另外就是金站实业 金站百货
[2121.10-2122.80] 还有体车厂的部分
[2122.80-2125.56] 这几个部分都是收租金
[2125.56-2127.82] 转运站的部分就是万导通
[2127.82-2130.06] 他自己自行营运跟管理
[2130.06-2134.68] 日盛生就是透过万导通跟金站投控
[2134.68-2136.48] 去做投资收益的任务
[2136.48-2141.06] 万导通的部分
[2141.06-2144.84] 我们讲虚实整合
[2144.84-2149.92] 是因为他在管理台北转运站
[2149.92-2151.36] 他有实体的站场
[2151.36-2154.60] 当然是以绿色运输转运站
[2154.60-2158.20] 再加上因为他也管理了多年
[2158.20-2161.72] 所以他有一些转运站的know how
[2161.72-2164.98] 这个部分也有一些伙伴
[2164.98-2167.02] 新的转运站的计划
[2167.02-2170.38] 想要跟万导通做一些合作
[2170.38-2171.04] 跟一个能力的合作
[2171.06-2173.06] 这个部分是我们的know how的turnkey
[2173.06-2175.68] 另外就是万导通有导入
[2175.68-2179.00] APP的数位交通平台
[2179.00-2182.90] 这个部分都是我们在积极开发的部分
[2182.90-2186.24] 像说转运站的APP
[2186.24-2189.48] 他现在的会员数大概有41万人
[2189.48-2193.86] 售票大概有超过213万张
[2193.86-2196.82] 我们有跟18家的业者合作
[2196.82-2198.80] 另外我们有跨界合作
[2198.80-2199.94] 就是除了露营之外
[2199.94-2200.88] 还有海运跟船
[2200.88-2202.88] 船运所以这个部分都是可以
[2202.88-2205.80] 经由我们的APP做一些购买
[2205.80-2208.40] 跟一个达成的一些作业
[2208.40-2211.76] 我们还有跟台湾的各地
[2211.76-2215.56] 像说嘉义 屏东一些地方观光
[2215.56-2218.12] 还有一些纳马夏 高雄
[2218.12-2219.76] 有一些专案做整合
[2219.76-2222.08] 我们这个部分大概
[2222.08-2225.30] 我们现在已经减碳了4277公斤
[2225.30-2227.36] 这个部分也是我们非常骄傲的地方
[2227.36-2230.86] 以上就是我们的
[2230.88-2233.44] 我跟各位先进做的
[2233.44-2236.64] 我们日胜生集团在第一季
[2236.64-2242.76] 跟主要的成果
[2242.76-2245.24] 好的 非常感谢发言人陈协理
[2245.24-2246.68] 精彩的分享
[2246.68-2250.00] 那现在开始意见交流的时间
[2250.00-2253.04] 那么首先请发言人就
[2253.04-2255.68] 报名表收集到的提问
[2255.68-2258.32] 来统一为大家做个说明
[2258.32-2260.72] 那首先第一题有法人朋友
[2260.72-2265.02] 问到想了解建案总销以及毛利率
[2265.02-2265.46] 谢谢
[2265.46-2270.64] 这个部分我必须要先说明
[2270.64-2274.62] 就是我们每次都有受到一些关心
[2274.62-2278.60] 就是有些财策或是财务数字
[2278.60-2281.62] 就是未来的一些预测数字
[2281.62-2286.80] 可能不太方便跟各位说明的这么详细
[2286.80-2290.54] 那我可以讲的是
[2290.72-2293.62] 在我们三支案的部分
[2293.62-2295.94] 因为已经到了完工的阶段了
[2295.94-2299.92] 所以我们三支案的东期
[2299.92-2302.36] 就第一期跟第二期
[2302.36-2307.70] 大概总销大概将近50亿
[2307.70-2311.66] 那包括第一期大概就是三十几亿
[2311.66-2313.60] 那第二期大概就是十几亿
[2313.60-2316.60] 那其他的部分
[2316.60-2320.70] 像台中的捷运连开
[2320.72-2323.46] 那这个部分真的是才刚刚开始开工
[2323.46-2325.58] 那这个部分可能我们就没有办法
[2325.58-2327.56] 做一个详细的估计
[2327.56-2329.58] 那桥湾注目案的部分
[2329.58-2331.56] 我们的代销伙伴
[2331.56-2333.86] 他当初有release一个
[2333.86-2336.92] 他们估计的销数字
[2336.92-2338.90] 那只是说其中有一部分是
[2338.90-2341.72] 帮地主做一个服务
[2341.72-2343.38] 所以那个部分其实对我们的
[2343.38-2345.86] 营收获益并没有太大贡献
[2345.86-2348.96] 所以我们他们当初估计的部分
[2348.96-2350.70] 我们估计大概18%
[2350.72-2354.16] 85岁是对于我们是有助力的
[2354.16-2357.08] 所以大概就是这样子说
[2357.08-2358.28] 谢谢
[2358.28-2361.62] 好的谢谢发言人的说明
[2361.62-2364.34] 那接下来有投资先进
[2364.34-2368.88] 想了解2025以及2026年的成长展望
[2368.88-2369.30] 谢谢
[2369.30-2375.10] 2025年的话呢
[2375.10-2375.96] 基本上
[2375.96-2379.92] 我们在第一期已经认了
[2380.72-2382.94] 融费率还没有 lime
[2382.94-2396.64] 你看这个每个月还是在
[2396.64-2402.36] 年轻人估计 alles
[2402.36-2407.70] five�
[2407.70-2409.74] 那个的
[2409.74-2409.88] 太厉害了
[2409.88-2410.16] 就是 стало着急再导致什么呢
[2410.16-2414.16] 保鼎再生水在今年年中
[2414.16-2418.16] 就是中间的中的时候会开始完工
[2418.16-2425.16] 开始有一些BTO的更多的再生水的收益
[2425.16-2430.16] 保鼎再生水 另外就是日顶水务的部分
[2430.16-2435.16] 因为它现在开始做第三期的建制
[2435.16-2440.16] 基本上日顶水务它的营收获利都是很稳定的
[2440.16-2447.16] 万达通的部分也是一个我们很稳定收益的子公司
[2447.16-2454.16] 那么金站的话 金站的部分也是算是我们一个小金鸡
[2454.16-2457.16] 只是说金站的部分它毕竟是一个独立的新贵公司
[2457.16-2462.16] 可能这个部分我就不帮他们做说明了
[2465.16-2474.16] 然后呢对2026年的部分主要是我们乔安案会在2026年的第四季完工
[2474.16-2479.16] 另外三支案的希册就第二期
[2479.16-2483.16] 我们也认为说2026年会开始认列
[2483.16-2489.16] 乔安注目的部分可能就是要等年底的时候完工之后
[2489.16-2492.16] 会看什么时候完工再做一个说明
[2495.16-2498.16] 就以上
[2498.16-2500.16] 好的谢谢发言人的补充说明
[2500.16-2506.16] 那接下来下一个问题有投资朋友想了解关税的影响
[2506.16-2508.16] 谢谢
[2508.16-2511.16] 关税就是因为有一些投资先进
[2511.16-2515.16] 其实之前都很关心我们在关税的影响上面
[2515.16-2521.16] 那基本上因为我们主要是做国内的一个business
[2521.16-2523.16] 当然直接的影响是没有
[2523.16-2525.16] 基本上就是不多啦
[2525.16-2530.16] 那当然那个时候我们担心的是总体经济的影响
[2530.16-2532.16] 就是说可能没有直接影响
[2532.16-2536.16] 可是如果说整个经济因为关税的部分
[2536.16-2540.16] 那白宫各业受到影响的话
[2540.16-2542.16] 那是不是收入会减少
[2542.16-2546.16] 那可能对一些不管说是房产
[2546.16-2552.16] 或者是就是他们的支出可能都会有稍微的缩首
[2552.16-2554.16] 那可是因为昨天刚刚说的
[2554.16-2560.16] 昨天刚好就是美中他们有谈到一个关税的一个重大突破
[2560.16-2563.16] 那这个部分我相信台湾很多的
[2563.16-2567.16] 应该说全球啦很多的国家应该都松了一口气
[2567.16-2569.16] 那当然了对我们来说
[2569.16-2570.16] 虽然说我们没有直接影响
[2570.16-2571.16] 不过我们有在观察
[2571.16-2578.16] 那目前看起来影响应该我们相对于其他产业是小的啦
[2578.16-2580.16] 好的谢谢
[2580.16-2581.16] 谢谢
[2581.16-2582.16] 谢谢
[2582.16-2583.16] 谢谢
[2583.16-2585.16] 好的谢谢陈发言人
[2585.16-2589.16] 那最后一个问题想请教转投资的状况
[2589.16-2593.16] 以及日顶投控接单的状况谢谢
[2593.16-2598.16] 其实主要我们就是这个投资先在问日顶投控
[2598.16-2605.16] 那其实日顶投控它就是它的旗下就是日顶水务保顶再生水
[2605.16-2611.16] 就其实主要是我们的这个水资源概念的部分
[2611.16-2612.16] 基本上呢
[2613.16-2615.16] 我们也不能说它的接单状况是怎么样
[2615.16-2619.16] 而是说因为我们这全部都是基础建设
[2619.16-2622.16] 我们也自己会笑称说我们是良心建设啦
[2622.16-2625.16] 就是我们必须要投入大量的资金
[2625.16-2633.16] 那之后呢再跟政府去做合作去做一个那个认列跟收益的部分
[2633.16-2640.16] 所以呢这个目前来说日顶水务跟保顶再生水都是政府的案子为主
[2640.16-2642.16] 所以以公共建设来看呢
[2642.16-2647.16] 全部都是依照我们的建设期程去做一个规划
[2647.16-2652.16] 所以如果如果您要说接单化日顶水务它是35年的
[2652.16-2659.16] 目前看起来就是在前面四期建设完成之前呢
[2659.16-2662.16] 我们都有稳定的营建收益
[2662.16-2670.16] 那再加上就是逐渐增加的水务的就是水回收的收益这样子
[2670.16-2671.16] 那保顶再生水呢这个会不会是有一个很大的影响呢?
[2671.16-2672.16] 就是水回收的收益这样子那保顶再生水是一个很大的影响呢?
[2672.16-2677.16] 它也是分成就是建设的收益跟水的收益
[2677.16-2681.16] 那因为保顶再生水是BTO就是Build and Transfer
[2681.16-2687.16] 所以它是先它是先建设然后转到转转给政府单位
[2687.16-2689.16] 然后我们再做operation的部分
[2689.16-2692.16] 所以呢保顶再生水它会先建设之后
[2692.16-2699.16] 那这个部分呢因为保顶再生水它今年年终到建设事业会建设的部分会完成
[2699.16-2701.16] 所以部分它也会认列这个部分
[2701.16-2707.16] 那另外之后呢就是用认列再生水的一个水务的收益
[2707.16-2714.16] 这样子那未来的期程当然在保顶再生水这个桃园北区的半期再生水的部分呢
[2714.16-2717.16] 未来的期程当然后后面的期程还蛮长的
[2717.16-2722.16] 可是我们这个部分就必须要跟我们的主管机关去做一个整体的规划
[2722.16-2725.16] 跟他们的一个认证这样子
[2728.16-2730.16] 那就以上说明这样
[2730.16-2733.16] 好的谢谢陈协理的分享
[2733.16-2740.16] 那么以上就是报名表阶段收集到的所有提问
[2740.16-2743.16] 那么现在开放线上的问答
[2743.16-2747.16] 如果各位投资朋友还有任何问题欢迎您提出讨论
[2747.16-2752.16] 那各位贵宾可以打开您的麦克风直接提问
[2752.16-2757.16] 或者是利用下方聊天室的功能留言提问谢谢
[2760.16-2763.16] 谢谢
[2763.16-2767.16] 谢谢
[2767.16-2769.16] 好
[2769.16-2769.66] 那今天我们就想让大家讨论一下
[2769.66-2771.16] 我们是来回打工也 hands on
[2771.16-2789.16] 我 Maintenant想要出去做大人
[2789.16-2818.16] 好的
[2818.16-2818.64] 好的
[2818.64-2821.82] 那么如果各位投资先进没有问题
[2821.82-2825.68] 本场次日盛生活科技股份有限公司
[2825.68-2829.46] 线上法人说明会就到此告一个段落
[2829.46-2832.00] 非常感谢各位投资先进
[2832.00-2832.98] 力领指教
[2832.98-2836.00] 也再次非常谢谢日盛生的发言人
[2836.00-2837.08] 陈婷婷协理
[2837.08-2839.14] 今天与会参加
[2839.14-2841.56] 那就敬祝各位身体健康
[2841.56-2842.22] 投资顺利
[2842.22-2842.60] 谢谢
[2842.60-2847.82] 非常感谢群议证券的邀请
[2847.82-2848.14] 那
[2848.14-2850.14] 也欢迎各位投资先进
[2850.14-2851.16] 如果有什么问题的话
[2851.16-2852.16] 可以写email给我
[2852.16-2853.00] 或者打电话给我
[2853.00-2855.70] 那我的email跟电话都是公开的资讯
[2855.70-2859.22] 那就欢迎各位投资先进再跟我讨论
[2859.22-2859.88] 这样子
[2859.88-2861.88] 非常谢谢各位今天的参加
[2861.88-2862.30] 谢谢
[2862.30-2864.60] 谢谢发言人
[2864.60-2865.10] 谢谢
[2865.10-2866.36] 谢谢
