[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-65.36] 加斯达科技股份有限公司2024年第四季法人说明会
[1877.72-1880.72] 負責資訊科技事業群
[1880.72-1884.72] 跟各位報告2024第4季及2025第一季的報告
[1884.72-1889.72] 有關於2024第4季的狀況
[1889.72-1892.72] 全球顯示器市場銷售是平平的
[1892.72-1895.72] 家用市場除了入門機種之外
[1895.72-1898.72] 我類的機種需求是持續上升
[1898.72-1902.72] 雖然商用市場客戶沒有達到原來銷售目標
[1902.72-1904.72] 但是我們第4季顯示器銷量
[1904.72-1907.72] 季成長率將近10%
[1907.72-1912.72] 那YY成長率也達到5%以上
[1912.72-1913.72] 那我們展望第一季全球顯示器的銷售率是10%以上
[1913.72-1914.72] 那YY成長率也達到5%以上
[1914.72-1915.72] 那YY成長率也達到5%以上
[1915.72-1916.72] 那YY成長率也達到5%以上
[1916.72-1919.72] 我們沒有看到明顯的有回溫的現象
[1919.72-1922.72] 春節效應還是跟以往一樣
[1922.72-1925.72] 那然而因為地域政治因素的考量
[1925.72-1929.72] 家用客戶銷售預期較為保守
[1929.72-1932.72] 而商用客戶備貨反而較為積極
[1932.72-1938.72] 那預期我們BG顯示器銷量YY可能在持平左右
[1938.72-1941.72] 不過我們的營收部分將有較高幅度的成長
[1941.72-1943.72] 以上報告
[1944.72-1947.72] 接下來請
[1947.72-1950.72] 那個
[1950.72-1952.72] 育青報告
[1952.72-1954.72] 接下來是由我
[1954.72-1957.72] 那個商業暨工業用事業群
[1957.72-1959.72] 我是林育青
[1959.72-1962.72] 2024年的Q4呢
[1962.72-1966.72] 整個在投影機客戶這邊的需求是保守的
[1966.72-1969.72] 然後呢以標案跟集單居多
[1969.72-1973.72] 那整個就是以追料還有根據客戶的需求呢
[1973.72-1976.72] 彈性的來生產因應
[1976.72-1981.72] 那另外在工業暨商業用客戶這邊呢
[1981.72-1985.72] 新產品陸續上市
[1985.72-1987.72] 那需求維持的還不錯
[1987.72-1990.72] 那YOY是小幅的成長
[1990.72-1994.72] 那車用客戶的部分呢
[1994.72-1996.72] 他是持續加單的
[1996.72-2000.72] 整個需求是超乎公司的預期
[2000.72-2003.72] 那YOY是兩位數高成長的
[2003.72-2007.72] 那在2025年就是今年的Q1呢
[2007.72-2009.72] 整個投影機的客戶部分呢
[2009.72-2013.72] 仍然是以標案跟集單居多
[2013.72-2016.72] 不過從2月底開始
[2016.72-2019.72] 可以感受到客人的Forecast
[2019.72-2022.72] 有逐漸增加的趨勢
[2022.72-2025.72] 那在工業跟商業用客戶呢
[2025.72-2029.72] 在2024年的Q3 Q4
[2029.72-2032.72] 兩季需求持續成長之後呢
[2032.72-2034.72] 今年的第一季呢
[2034.72-2036.72] 也轉趨保守
[2036.72-2039.72] 那觀望市場的需求
[2039.72-2043.72] 那還有在車用事業的需求
[2043.72-2045.72] 還是持續的成長
[2045.72-2047.72] 那公司在這個部分呢
[2047.72-2049.72] 新增了資本支出
[2049.72-2052.72] 為今年量產的CPU Module的新機種
[2052.72-2056.72] 我們擴充生產還有測試設備
[2056.72-2059.72] 預期2025年的Q1 YOY
[2059.72-2061.72] 也是雙位數的成長
[2061.72-2064.72] 那以上是商業及工業用事業群的報告
[2064.72-2065.72] 謝謝
[2066.72-2070.72] 接下來請醫療事業群總經理
[2070.72-2072.72] 楊宏培先生報告
[2073.72-2075.72] 各位媒體先進大家好
[2075.72-2079.72] 我是醫療事業群總經理楊宏培
[2079.72-2081.72] 在這邊跟大家報告一下
[2081.72-2085.72] 醫療事業去年第四季的
[2085.72-2087.72] 還有今年第一季的展望
[2087.72-2088.72] 去年第四季
[2088.72-2090.72] 我們整個YY成長了
[2090.72-2093.72] 整個醫療事業成長14%
[2093.72-2096.72] 是整季是創下歷史的新高
[2096.72-2098.72] 在醫療事業部分的話
[2098.72-2100.72] 我們就分了三大塊
[2100.72-2101.72] 一部分是醫院
[2101.72-2105.72] 另外一部分是醫藥零售通路還有醫材
[2105.72-2108.72] 我就針對醫藥零售通路這一部分
[2108.72-2110.72] 比較重要跟大家報告
[2110.72-2112.72] 醫藥零售通路主要是藥局
[2112.72-2115.72] 還有我們一些實體通路健康通路
[2115.72-2117.72] 那藥局我們在去年的11月
[2117.72-2119.72] 已把定定藥局合併進來
[2119.72-2120.72] 那藥局我們在去年的11月以來
[2120.72-2122.72] 我們已經有100家醫院
[2122.72-2124.72] 那定定藥局全國現在有100家店
[2124.72-2126.72] 那實際在擴充
[2126.72-2130.72] 那整體的話就是相當的健康
[2130.72-2133.72] 那在整體的藥局的部分
[2133.72-2135.72] 我們透過定定藥局
[2135.72-2138.72] 開始會做一些全國性的
[2138.72-2139.72] 七一藥局的整併
[2139.72-2140.72] 因為現在藥局
[2140.72-2142.72] 單點藥局跟七一藥局
[2142.72-2143.72] 其實是太多
[2143.72-2146.72] 那需要面臨這個整併
[2146.72-2148.72] 那我們目前正在做這些工作
[2148.72-2149.72] 那逐步會有成績出來
[2149.72-2151.72] 在醫材方面
[2151.72-2153.72] 那我們第四季也合併了
[2153.72-2154.72] 也有醫家愛博
[2154.72-2156.72] 我們做一些醫材
[2156.72-2158.72] 內實境的通路
[2158.72-2162.72] 這是把我們目前的整個通路擴大
[2162.72-2165.72] 另外我們在超音波
[2165.72-2167.72] 在泰國東南亞
[2167.72-2169.72] 尤其還有東歐
[2169.72-2172.72] 目前展望進展都相當的不錯
[2172.72-2174.72] 至於在後續方面
[2174.72-2176.72] 我們在中國的整個機材
[2176.72-2178.72] 也開始荒涼
[2178.72-2180.72] 整體來看
[2180.72-2181.72] 今年第一季
[2181.72-2183.72] 還有2025
[2183.72-2185.72] 整年應該整體的醫療事業
[2185.72-2187.72] 都是很正向的
[2187.72-2189.72] 那除了藥局以外
[2189.72-2191.72] 所有其他醫材都會
[2191.72-2193.72] 整體都在隨著市場
[2193.72-2195.72] 整體都在擴散
[2195.72-2198.72] 所以整體都是很正向
[2198.72-2200.72] OK 以上報告
[2200.72-2201.72] 謝謝
[2201.72-2203.72] 接下來請王通事業群
[2203.72-2205.72] 總經理黃文芳
[2205.72-2207.72] 總經理報告
[2208.72-2210.72] 各位投資先進
[2210.72-2211.72] 以及媒體朋友大家好
[2211.72-2213.72] 我是網通事業群總經理
[2213.72-2214.72] 黃文芳
[2214.72-2218.72] 那麼網通這個產業呢
[2218.72-2221.72] 自從2023年下半年開始
[2221.72-2223.72] 到去年年底為止
[2223.72-2227.72] 經歷了歷時一年半的庫存調解
[2227.72-2228.72] 那在這段期間呢
[2228.72-2230.72] 網通產業呢
[2230.72-2232.72] 只有有涉及印度市場
[2232.72-2235.72] 以及AI data center的相關
[2235.72-2238.72] 這個網通的公司業務
[2238.72-2239.72] 是有成長
[2239.72-2241.72] 那麼其他的市場呢
[2241.72-2244.72] 大概都在調整其比較slow
[2244.72-2248.72] 那麼明泰集團在2023年以來呢
[2248.72-2250.72] 一直到去年呢
[2250.72-2251.72] 我們進行了許多
[2251.72-2253.72] 內部體質的調整
[2253.72-2255.72] 最主要是著重於
[2255.72-2258.72] 子集團裡頭的重新定位
[2258.72-2261.72] 以及避免重複投資
[2261.72-2264.72] 讓各個公司更加專注聚焦
[2264.72-2267.72] 那這裡面含了我們將工廠
[2267.72-2269.72] 過多的工廠做一些整併
[2269.72-2272.72] 以及將中期的這個生產呢
[2272.72-2275.72] 交由明泰來外包
[2275.72-2278.72] 那麼中期專心做這個品牌
[2278.72-2282.72] 以及附加價值相關的這個工作
[2282.72-2285.72] 以及這個明泰集團裡面
[2285.72-2287.72] 除了明泰中期之外
[2287.72-2289.72] 還有一家公司SI互動
[2289.72-2291.72] 那麼我們將這集團內
[2291.72-2294.72] 還有另外一家未公發的SI
[2294.72-2296.72] 也併到互動底下
[2296.72-2299.72] 因此大家可以各司其職
[2299.72-2302.72] 那當然這個也是為了
[2302.72-2305.72] 讓我們接下來的這個
[2305.72-2307.72] 在運作上面更有效率
[2307.72-2309.72] 那麼我們在去年的7月份呢
[2309.72-2311.72] 也成立了印度的子公司
[2311.72-2315.72] 那麼印度的這個生意的切入呢
[2315.72-2317.72] 也在去年有了成效
[2317.72-2321.72] 那預計Q1事實上就是這個月
[2321.72-2323.72] 會開始量產
[2323.72-2325.72] 那在去年年底12月
[2325.72-2326.72] 我們也有了
[2326.72-2328.72] 也併購了一家
[2328.72-2332.72] 這個原來是互動的這個夥伴
[2332.72-2334.72] 微波的設備公司
[2334.72-2336.72] 這是2024的狀況
[2336.72-2338.72] 那麼放眼我們現在
[2338.72-2342.72] 面對的這個目前的市場的狀況呢
[2342.72-2344.72] 中期從去年6月以來
[2344.72-2347.72] 單月以及去年Q3 Q4
[2347.72-2349.72] 兩個整季呢都已經呈現
[2349.72-2351.72] 比去年同期成長的狀況
[2351.72-2355.72] 所以我看起來有限寬頻這裡的
[2355.72-2358.72] 景氣回穩已經非常的明確
[2358.72-2364.72] 那麼交換器以及其他的無限寬頻的產品線呢
[2364.72-2366.72] 我們的觀察是
[2366.72-2370.72] 目前雖然還不像有限寬頻這麼的明確
[2370.72-2373.72] 但是目前已經同時存在著
[2373.72-2376.72] 雖然突然還有一些庫存
[2376.72-2378.72] 但是有一些不特定的機種
[2378.72-2380.72] 開始有極端的湧現
[2380.72-2384.72] 所以目前是在這個有極端湧現
[2384.72-2386.72] 有一點缺料的狀況
[2386.72-2388.72] 以及庫存同時併存
[2388.72-2390.72] 所以我們預計這些產品線
[2390.72-2392.72] 客人手頭上的庫存
[2392.72-2394.72] 應該可以在今年Q2
[2394.72-2396.72] 比較完整的消化完畢
[2396.72-2399.72] 所以下半年的這個成長動能
[2399.72-2401.72] 應該是非常肯定的
[2401.72-2403.72] 那對明太集團來講呢
[2403.72-2406.72] 除了這個景氣的這邊的
[2406.72-2408.72] 回溫之外
[2408.72-2410.72] 剛剛跟各位報告了
[2410.72-2413.72] 我們自己投注的新市場
[2413.72-2414.72] 印度這個部分
[2414.72-2418.72] 也在3月開始能夠亮膠
[2418.72-2420.72] 那這也是我們接下來的成長動能
[2420.72-2423.72] 那麼對中長期的成長的佈局呢
[2423.72-2427.72] 也就是事實上也是我們今年
[2427.72-2429.72] 2025年的一個工作重點
[2429.72-2432.72] 剛剛提到了除了這個新市場
[2432.72-2435.72] 這個新生意必須完美消化之外
[2435.72-2438.72] 另外我們也透過這個組織整併之後
[2438.72-2440.72] 的營運效率希望能夠
[2440.72-2443.72] 在成本效益這邊能夠提升
[2443.72-2445.72] 那麼再來就是我們在今年呢
[2445.72-2449.72] 將非常多的資源投注在AI Data Center
[2449.72-2453.72] 這個會是我們接下來中長期的成長動能
[2453.72-2458.72] 以上針對網通事業群的現狀
[2458.72-2462.72] 以及線上已經有幾位朋友提出的問題
[2462.72-2464.72] 我一併在剛剛已經做了報告
[2464.72-2466.72] 謝謝各位
[2466.72-2468.72] 好 謝謝
[2468.72-2470.72] 接下來請智能方案事業群總經理
[2470.72-2472.72] 曾文鑫先生報告
[2472.72-2475.72] 各位投資先進與媒體朋友大家好
[2475.72-2478.72] 我是智能方案事業群曾文鑫
[2478.72-2482.72] 智能方案事業群2020年整體營收表現
[2482.72-2484.72] 第一季第二季營收持平
[2484.72-2486.72] 第三第四季逐漸上升
[2486.72-2488.72] 第四季的營運重點
[2488.72-2491.72] 三大事業板塊我分數如下
[2491.72-2492.72] 企業智能化領域呢
[2492.72-2494.72] 我們持續優化現有事業
[2494.72-2498.72] 然後協助海外子公司營運績效提升
[2498.72-2500.72] 在企業OT智能化的部分
[2500.72-2502.72] 工業電腦市場
[2502.72-2503.72] 逐步回溫
[2503.72-2505.72] 營收我們也逐漸以成加
[2505.72-2507.72] 網安的市場呢
[2507.72-2509.72] 有一些極端的湧現
[2509.72-2510.72] 出貨持續成長
[2510.72-2513.72] 我們在加大ODM專案開發的進度
[2513.72-2515.72] 積極開發每週的市場
[2515.72-2516.72] 而自動化領域呢
[2516.72-2519.72] 在臺灣我們看到市場逐漸回暖
[2519.72-2522.72] 我們也積極開發重點的客戶
[2522.72-2525.72] O&O線上線下敘事整合呢
[2525.72-2527.72] 我們積極推動新產品
[2527.72-2529.72] AI 賦能的零售
[2529.72-2532.72] 自助結帳解決方案SEO
[2532.72-2534.72] 還有這個餐飲的Kiosk自助方案
[2534.72-2537.72] 在加大亞太市場的機會
[2537.72-2540.72] 那對於2025年第一季的展望
[2540.72-2542.72] 我們積極在提升算力
[2542.72-2546.72] 軟體服務跟自動化等高毛利產品
[2546.72-2548.72] 組合的營收占比
[2548.72-2550.72] 也持續優化海外市場營運績效
[2550.72-2553.72] 以上是智能方案事業群的總結報告
[2553.72-2554.72] 謝謝
[2557.72-2561.72] 以上是加斯達2024年第四季營運結果及
[2562.72-2564.72] 2025年第一季展望的說明
[2564.72-2567.72] 現在開始進行Q&A
[2571.72-2574.72] 各位先進可以利用網路下方的提問區
[2574.72-2576.72] 輸入您的提問
[2576.72-2577.72] 因時間有限
[2577.72-2580.72] 我們將整理提問後會總回覆
[2586.72-2589.72] 好各位先進及媒體朋友大家好
[2589.72-2591.72] 我是陳其宏
[2591.72-2594.72] 針對各位的提問
[2594.72-2596.72] 那有幾個
[2596.72-2598.72] 我這邊可以回答了
[2598.72-2599.72] 我先回答
[2599.72-2603.72] 其他幾個相關的問題
[2603.72-2606.72] 我會請各主管來回答
[2606.72-2609.72] 第一個就是說鼓勵全發的原因
[2609.72-2611.72] 那這個
[2611.72-2615.72] 我們在過去十幾年
[2615.72-2616.72] 都是賺錢的
[2616.72-2619.72] 那基本上我們的鼓勵配發的原則
[2619.72-2621.72] 大概都是在50%以上的原則之中
[2621.72-2624.72] 大概是50%到100%的這個範疇
[2624.72-2626.72] 也就是說這個
[2626.72-2630.72] 我們很重視這個股東的意見跟回饋
[2630.72-2632.72] 我們還是要
[2632.72-2635.72] 盡量來回饋我們股東的這個需求
[2635.72-2637.72] 所以我們在
[2637.72-2639.72] 鼓勵配發的原則
[2639.72-2642.72] 就是說當我們的貨力比較好的情況
[2642.72-2645.72] 那我們就會相對的配合比例
[2645.72-2650.72] 配發的比例就可以維持大概是在50%到
[2650.72-2653.72] 這個50%以上這樣
[2653.72-2655.72] 所以大家可以看到
[2655.72-2657.72] 在2021年2020年
[2657.72-2659.72] 我們EPS是4塊多的時候
[2659.72-2662.72] 我們的配發大概都是2塊多
[2662.72-2664.72] 但是當我們的經營角度
[2664.72-2666.72] 比較沒有那麼好
[2666.72-2668.72] 是在1塊多到2塊多的時候
[2668.72-2671.72] 基本上我們的配合比例就會拉高
[2671.72-2672.72] 特別就像去年
[2672.72-2675.72] 我們的確表現了不盡人意
[2675.72-2676.72] 所以我們
[2676.72-2679.72] 大概我們EPS是1.11
[2679.72-2682.72] 還是過去11年的這個最低
[2682.72-2685.72] 所以也有好幾個股東在指教
[2685.72-2687.72] 我們的這個鼓勵
[2687.72-2690.72] 我們的這個獲利的確是不理想
[2690.72-2693.72] 那這個我們會積極改進
[2693.72-2696.72] 那在今年能夠看到
[2696.72-2700.72] 比去年明顯的提高了這樣的獲利能力
[2700.72-2701.72] 跟成績
[2701.72-2704.72] 所以因為去年的表現相對不理想
[2704.72-2705.72] 所以在鼓勵
[2705.72-2708.72] 我們就決定100%來這個
[2708.72-2711.72] 這個配發給股東
[2711.72-2713.72] 這個是我們
[2713.72-2715.72] 的這樣過去幾年的
[2715.72-2718.72] 一直的鼓勵發放的原則
[2718.72-2722.72] 至於說這個在淨利率如何提升
[2722.72-2724.72] 這個剛剛已經跟大家報告
[2724.72-2727.72] 去年的確是一個比較辛苦的一年
[2727.72-2730.72] 那今年在淨利率
[2730.72-2733.72] 整個公司還有各個事業群
[2733.72-2737.72] 應該都有機會來相較於去年了
[2738.72-2741.72] 有一個比較合理的提升
[2741.72-2746.72] 那至於說這個醫院上市的這個進程的
[2746.72-2748.72] 這個延後是不是有延後
[2748.72-2753.72] 還有上次的這個目前的進度為何
[2753.72-2758.72] 還有再加上那個首得稅較高的這個原因
[2758.72-2760.72] 這兩個問題
[2760.72-2761.72] 我請財務長
[2761.72-2765.72] 洪秋金財務長來做補充說明跟回答
[2768.72-2771.72] 好那講到那個民紀醫院
[2771.72-2773.72] 在港交所送件上市申請
[2773.72-2777.72] 那一般正常他的審核時程也是8到12個月
[2777.72-2779.72] 那我們是2024年4月送件的
[2779.72-2783.72] 所以到現在大概也還在這個正常的區間
[2783.72-2786.72] 而且港交所要申請要核准上市之前
[2786.72-2788.72] 要中國證監會備案通過
[2788.72-2791.72] 所以我們在2025年1月已經得到好消息
[2791.72-2792.72] 有通過這個備案
[2792.72-2795.72] 所以在2月的時候
[2795.72-2798.72] 我們就趕快把2024年整年的財報
[2798.72-2799.72] 都送進港交所
[2799.72-2804.72] 那現在在跟港交所繼續這一輪的Q&A這樣子
[2804.72-2807.72] 那至於我們也希望能夠越快越好
[2807.72-2809.72] 那時程的部分
[2809.72-2813.72] 實際上還是取決於港交所的這個審核的安排
[2813.72-2814.72] 這第一個
[2814.72-2815.72] 那第二個部分呢
[2815.72-2817.72] 就是有關於我們的所得稅率
[2817.72-2819.72] 那事實上我們有算過
[2819.72-2821.72] 我們自己的有效所得稅率
[2821.72-2825.72] 實際上是大概在27%左右
[2825.72-2828.72] 那為什麼會看到一季的數字團這麼高
[2828.72-2832.72] 那最主要是因為加薩總共集團有200多家
[2832.72-2834.72] 那每個公司呢
[2834.72-2836.72] 在不同的國家有不同的稅率
[2836.72-2838.72] 所以第一個因素是因為獲利
[2838.72-2840.72] 他剛好位在不同的國家
[2840.72-2844.72] 如果在那一季剛好他的獲利是在比較高稅率的地區
[2844.72-2847.72] 所以他的所得稅金額就要估得比較高
[2847.72-2848.72] 這是第一個
[2848.72-2849.72] 那第二個呢
[2849.72-2852.72] 因為所得稅的計算方式是相對來的複雜
[2852.72-2855.72] 因為他有所謂的財報跟稅報的差
[2855.72-2857.72] 那正常我們每一季呢都是先用一個
[2857.72-2860.72] 一個比較合理邏輯的估計方式
[2860.72-2862.72] 可是通常到第四季
[2862.72-2865.72] 在財稅差上面就會做精算
[2865.72-2867.72] 這個財稅差的科目是比較複雜的
[2867.72-2869.72] 所以他就會做精算
[2869.72-2872.72] 那我們如果看到2023年的第四季
[2872.72-2874.72] 我們的所得稅費用只有一億八
[2874.72-2876.72] 通常就是說
[2876.72-2878.72] 在去年每一季大概四五億
[2878.72-2881.72] 可是在2023年每一季大概四五億
[2881.72-2882.72] 可是到第四季一億八
[2882.72-2884.72] 就是因為精算
[2884.72-2885.72] 算完之後發現
[2885.72-2887.72] 跟各國有這個
[2887.72-2889.72] 那個transfer pricing
[2889.72-2890.72] 有時候那邊已經高了
[2890.72-2891.72] 那就會要回來
[2891.72-2893.72] 那有時候那邊低要補回去
[2893.72-2897.72] 那今年的第四季剛好是相反的財稅差
[2897.72-2899.72] 所以我們就在這邊要做個調整
[2899.72-2900.72] 在第四季
[2900.72-2903.72] 另外呢就是說我們有幾個子公司呢
[2903.72-2905.72] 在海外的公司在做整理
[2905.72-2907.72] 已經要關了
[2907.72-2910.72] 那他在整理的過程當中發現有一些稅
[2910.72-2911.72] 必須要補貼
[2911.72-2914.72] 所以呢在第四季也做了一個補貼
[2914.72-2916.72] 所得稅的這樣的一個部分
[2917.72-2918.72] 就是說呢
[2918.72-2920.72] 所得稅的部分真的是很複雜
[2920.72-2921.72] 另外就是說
[2921.72-2925.72] 我們基本上獲利會估所得稅
[2925.72-2926.72] 那虧損的部分呢
[2926.72-2929.72] 我們事實上是採取比較保守旗艦
[2929.72-2932.72] 我們就沒有估所謂的所得稅利益
[2932.72-2934.72] 因為那所以在這樣的
[2934.72-2937.72] 你就會看到說整個獲利上面相加感覺
[2937.72-2940.72] 因為獲利上面減了這個虧損
[2940.72-2942.72] 可是所得稅虧的部分
[2942.72-2944.72] 我們並沒有估利益
[2944.72-2945.72] 總體來看是這樣
[2945.72-2947.72] 所以看到季的因素會
[2947.72-2948.72] 影響比較大
[2948.72-2949.72] 可是整年來看
[2949.72-2951.72] 他大概兩年的所得稅費用
[2951.72-2954.72] 大概還是在18億左右這樣子
[2954.72-2957.72] 這是有關於所得稅上面的一個說明
[2960.72-2961.72] 好
[2961.72-2963.72] 接下來有兩個問題
[2963.72-2968.72] 是關心到我們各事業群的這個影響程度
[2968.72-2970.72] 那第一個就是關稅
[2970.72-2975.72] 目前這個川普總統的這個關稅政策
[2975.72-2976.72] 的確
[2976.72-2977.72] 你
[2977.72-2982.72] 讓大家這個這個這個很忙
[2982.72-2988.72] 所以關稅的對各個事業群的影響到底為何
[2988.72-2989.72] 這是第一個問題
[2989.72-2992.72] 第二個是我們2015年
[2992.72-2995.72] 這個各事業群的營收成長的比例
[2995.72-2997.72] 大概怎麼樣
[2997.72-3000.72] 這個這兩個比較大的問題
[3000.72-3006.72] 我們請我們總經理黃漢洲就來跟大家做說明
[3007.72-3012.72] 那個有關關稅的第一個問題說
[3012.72-3014.72] 美國關稅我們的具體應對
[3014.72-3018.72] 那在加斯達除了在大陸以外
[3018.72-3021.72] 我們其實在台灣跟越南都有一個工廠
[3021.72-3025.72] 那目前越南是我們要從China加1裡面的1
[3025.72-3027.72] 我們移動出來的這個部分
[3027.72-3030.72] 那第二個是除了China加1以外
[3030.72-3033.72] 我們現在在評估如果越南在被徵稅的時候
[3033.72-3034.72] 我們的下一步是什麼
[3034.72-3035.72] 我們在評估中
[3035.72-3036.72] 很快會有決定
[3036.72-3039.72] 我們會可能會在設China
[3039.72-3042.72] 台灣跟越南之外的第第4個廠
[3042.72-3044.72] 這個是我們現在在評估當中
[3044.72-3047.72] 有關於跟各個事業群的狀況
[3047.72-3052.72] 那IT事業群其實在今年2月之前
[3052.72-3053.72] 我們是零關稅的
[3053.72-3056.72] 所以在大陸的比例還是相對比較高
[3056.72-3059.72] 那2月以後現在是10%加10%
[3059.72-3062.72] 所以我們往越南移動會比較快
[3062.72-3065.72] 我相信在今年下半年之前
[3065.72-3066.72] 應該說是
[3066.72-3069.72] 所有美國的產品應該都會在越南生產
[3069.72-3071.72] 那這是第一個
[3071.72-3074.72] 那網通事業群在第一輪就已經是徵稅
[3074.72-3077.72] 所以現在加不加China加不加
[3077.72-3079.72] 其實對他的結果都一樣
[3079.72-3081.72] 那大部分已經移到越南去了
[3081.72-3083.72] 那如果越南如果被徵稅的時候
[3083.72-3089.72] 一樣他跟網通跟IT一樣會同時考慮在第三地設廠
[3089.72-3093.72] 那網通也有可能在印度也有可能在設
[3093.72-3094.72] 找外包廠幫忙
[3094.72-3095.72] 這個都有可能
[3095.72-3098.72] 那大概是其他事業群大概影響不大
[3098.72-3100.72] 大概以上的報告謝謝
[3103.72-3108.72] 好那接下來還有一個問題是有關工業電腦
[3108.72-3109.72] AI的邊緣運算
[3109.72-3112.72] 有哪些公司進入哪些場域
[3112.72-3115.72] 那今年工業電腦的成長性如何
[3115.72-3122.72] 請我們這個AIOT事業群的總經理曾文欣來做回答
[3122.72-3124.72] 好那個謝謝媒體的提問
[3124.72-3126.72] 好那這一波透過這個DeepSeek
[3126.72-3130.72] 這個比較性價比比較高的一個AI軟體
[3130.72-3135.72] 有促成這個全世界在對這些AI的應用的一些趨勢
[3135.72-3137.72] 由於在這個邊緣運算上面
[3137.72-3140.72] 所以在Edge專案我們有看到一些
[3140.72-3143.72] 的確是有一些未來的一些機會
[3143.72-3149.72] 那我們事業群在做IPC專門的公司是在有通
[3149.72-3152.72] 所以大概從去年第四季以來
[3152.72-3154.72] 我們就開始積極布局
[3154.72-3155.72] 包含兩方面
[3155.72-3156.72] 一方面我們在加大
[3156.72-3159.72] IY公司透過這種軟體
[3159.72-3162.72] 加這個Edge IPC的一個解決方案
[3162.72-3165.72] 開發更多的一些客戶
[3165.72-3168.72] 所以我們有加強在這個歐洲
[3168.72-3170.72] 跟美國這個市場的一個開拓
[3170.72-3173.72] 那因為我們的產品大部分是在國內做的
[3173.72-3178.72] 所以在這個美國對中國課稅目前沒有太大的一些影響
[3178.72-3180.72] 所以第一個就是我們有在加大
[3180.72-3183.72] 歐洲跟美國的一個市場的業務的開發
[3183.72-3184.72] 第二個
[3184.72-3187.72] 我們也開始積極開發一些新產品
[3187.72-3191.72] 尤其是跟算力有關的邊緣運算的一些應用
[3191.72-3192.72] 所以我剛好在報告中
[3192.72-3194.72] 我們從今年第一季開始
[3194.72-3197.72] 我們會強化提升這個軟體
[3197.72-3201.72] 算力跟服務還有自動化等高毛利的產品組合
[3201.72-3205.72] 以上是我們針對透過DeepSeek這樣的一個AI軟體應用
[3205.72-3209.72] 所帶來邊緣運算IPC市場我們的回應以上
[3214.72-3220.72] 好 那這個大部分的問題我們都已經回答了
[3220.72-3222.72] 那至於這個緊緻的問題
[3222.72-3225.72] 我還是請股東大家能夠支持
[3225.72-3227.72] 因為在過去這十幾年
[3227.72-3233.72] 我們逐步在改善我們的財務報表
[3233.72-3237.72] 那這個我們的股本一直很大
[3237.72-3240.72] 197億將近200億
[3240.72-3243.72] 這個畢竟對經營
[3243.72-3247.72] 經營上面等於是背著一個非常重重的殼
[3247.72-3249.72] 這個有一些粒子的因素
[3249.72-3253.72] 那所以我們決定在財務報表改善
[3253.72-3258.72] 這個之後來進行18%的減資
[3258.72-3262.72] 那這部分希望各位股東能夠諒解
[3262.72-3265.72] 那這個是短空長多
[3265.72-3268.72] 我們希望透過這樣的這個安排
[3268.72-3271.72] 能夠讓公司未來的這個獲利
[3271.72-3272.72] 能夠這個
[3272.72-3273.72] 這個
[3273.72-3275.72] 很明顯的改善
[3275.72-3276.72] 當然我們會努力
[3276.72-3278.72] 再加上這些減資的
[3278.72-3284.72] 這個提升股東的這個資產報酬率
[3284.72-3286.72] 那能夠來回饋給大家
[3286.72-3288.72] 希望大家能夠理解
[3288.72-3291.72] 這個也是不得已的安排
[3291.72-3295.72] 那今天大致的問題都已經回答
[3295.72-3299.72] 那我們問題就回答到這裡
[3299.72-3300.72] 謝謝
[3303.72-3304.72] 謝謝
[3304.72-3310.72] 謝謝
[3310.72-3311.72] 謝謝
[3313.72-3314.72] 謝謝
[3314.72-3319.72] 謝謝
[3319.72-3320.48] 說明會
[3320.74-3323.82] 我們將於會後上傳今日的影音檔案
[3324.08-3325.86] 再次感謝您的參與
[3326.12-3327.92] 您現在可以離線了
