[0.00-5.72] T mankind
[90.00-93.60] 那我們就接下來把時間交給南亞團隊
[2168.80-2173.80] 整個營運表現看起來是有比較明顯的改善
[2173.80-2177.80] 所以這樣子看起來我們在花光產品這個區塊
[2178.80-2181.80] 應該在第二季第三季以後
[2181.80-2185.80] 慢慢整個營運的表現相較於第一季來講的話
[2185.80-2189.80] 就應該會有比較大的影響度的改善
[2191.80-2192.80] 謝謝
[2192.80-2195.80] 那這樣我們聽下來就是四個產品線
[2195.80-2197.80] 要麼是就是越來越變
[2197.80-2200.80] 要麼就是維持還是比較好獲利的狀況
[2200.80-2203.80] 那這樣我們第一季度的本業是有虧轉贏
[2203.80-2206.80] 那我們之後像第二季度跟第三季度
[2206.80-2210.80] 這樣看下來應該也是會繼續維持一個盈利的狀態嗎
[2210.80-2214.80] 第二季度比較不好說是因為有匯率的影響
[2214.80-2216.80] 那個因素還滿大的
[2216.80-2221.80] 那如果說如果第三季跟第四季匯率就穩定在這邊的話
[2221.80-2223.80] 那就是一個比較樂觀的狀況
[2223.80-2226.80] 沒有錯如果匯率是如果像目前維持這樣
[2226.80-2228.80] 比較相對平穩的一個情況
[2228.80-2232.80] 我們相信第三季第四季的營運表現
[2232.80-2234.80] 應該會恢復比較正常的情況
[2235.80-2236.80] 謝謝
[2236.80-2238.80] 不好意思我再請教一下
[2238.80-2240.80] 那這我們第一季
[2240.80-2242.80] 第一季跟第二季因為是有一些關稅
[2242.80-2245.80] 當時看到一些提前拉貨的狀況
[2245.80-2247.80] 然後那這樣的話到後面的話
[2248.80-2252.80] 到後面的話第三季度我們原本預估的就是會持續的激增
[2252.80-2255.80] 那現在會有一個就是削減的力道嗎
[2255.80-2256.80] 因為有提前拉貨
[2257.80-2258.80] 沒有錯啦
[2258.80-2261.80] 剛才講所謂的提前拉貨相對就是這種就是
[2261.80-2263.80] 下班的需求提前
[2264.80-2265.80] 下訂
[2265.80-2268.80] 但是這個是懷疑啦
[2269.80-2274.80] 實際的情況還要等到第三季第四季再做一個驗證
[2274.80-2276.80] 當然整個其實產業來講的話
[2276.80-2280.80] 我沒看到相關的那個部分
[2280.80-2282.80] 其實是一些突破的發展
[2282.80-2285.80] 所以不排除還是會持續的在
[2286.80-2288.80] 表現還是會向來比較好
[2289.80-2290.80] 謝謝
[2294.80-2295.80] 謝謝
[2324.80-2333.80] 機會難得請各位投資先進可以多多把握詢問我們的副副主
[2337.80-2339.80] 不好意思我剛可能missed
[2339.80-2344.80] 那個電子材料它雖然說目前是看起來需求是不錯
[2344.80-2347.80] 那就貴東生目前它這塊的產的
[2347.80-2349.80] 產利率大概是在多少
[2349.80-2351.80] 因為第三季可能是忘記
[2351.80-2352.80] 失望季可能沒錯
[2352.80-2355.80] 但是你們產的已經到頂了嗎
[2356.80-2360.80] 目前我們的電子材料的利用率大概在七項左右
[2361.80-2363.80] 所以其實我們還是有空間啦
[2364.80-2366.80] 如果有訂單的話
[2366.80-2368.80] 還是可以持續的全力的創始
[2369.80-2370.80] 謝謝
[2382.80-2384.80] 請問一下我們電子材料裡面的產品比較多
[2384.80-2391.80] 最近的價格的波動方向大概是可以稍微提升嗎
[2392.80-2395.80] 目前的價格看起來
[2396.80-2400.80] 最主要是因為同價稍微在上漲
[2401.80-2402.80] 所以相關的產品
[2402.80-2403.80] 包括銅箔
[2403.80-2404.80] 包括銅箔
[2404.80-2406.80] 我們的價格都有在調整
[2407.80-2409.80] 那至於在波纖部的部分
[2410.80-2416.80] 前不久不是有傳出那個日本的一家日東方的Nitomo
[2417.80-2420.80] 他們有提出要調漲價格的一個訴求
[2421.80-2424.80] 不過他提出的其實不是電子級的那個波動方向
[2425.80-2427.80] 那至於在波纖部的部分
[2428.80-2431.80] 我們有提出要調漲價格的一個訴求
[2431.80-2435.80] 不過他提出的其實不是電子級的波纖部的訴求
[2436.80-2440.80] 不過還是有一些聯誼效應
[2441.80-2444.80] 其實我們原本電子材料的部分
[2445.80-2448.80] 就算沒有這些外在因素的影響
[2449.80-2450.80] 內部其實一再減
[2451.80-2453.80] 因為整個營運的狀況
[2453.80-2455.80] 我們的設法還是一體生
[2455.80-2457.80] 所以我們也是會針對
[2457.80-2459.80] 我們之前的不同的客戶
[2459.80-2461.80] 還有整個產品的一個結構
[2462.80-2465.80] 去設法去做一個分析
[2466.80-2468.80] 去要求哪些產品
[2469.80-2472.80] 我們原本的那個價格可能是比較不利的
[2473.80-2475.80] 我們也會設法去跟客戶去談
[2476.80-2477.80] 設法提高那個售價
[2478.80-2479.80] 我們現在整個方向大概就是
[2480.80-2483.80] 基本上就是設法去提升我們的售價
[2485.80-2487.80] 相對可以提升我們的獲利
[2519.80-2520.80] 我再追問一個問題
[2522.80-2532.80] 我問他
[2533.80-2535.80] Wochenmagic是不是吧
[2536.80-2537.80] 怎麼比較差
[2538.80-2540.80] 可以提一下裡面幾兩家產品
[2541.80-2542.80] 比如說哪些產品
[2544.80-2545.80] 是虧損性不乾淡
[2545.80-2547.80] 這也是比日向大賣一家小
[2547.80-2551.80] 其實我們的化工產品裡面
[2551.80-2554.80] 以往我們也跟各位說明過
[2554.80-2557.80] 主要是三個產品
[2557.80-2562.80] 營收占比最大的是一二成的民企
[2562.80-2563.80] 那一二成的狀況
[2563.80-2566.80] 跟各位剛好也是我說明了
[2566.80-2571.80] 其次是BPA, 丙二分
[2571.80-2573.80] 丙二分目前
[2573.80-2575.80] 目前我們在台灣
[2575.80-2579.80] 還有在大陸地區都有廠
[2579.80-2582.80] 我們的市場主要都是以
[2582.80-2586.80] 目前其實都是以大陸市場為主
[2586.80-2588.80] 那因為之前我們的
[2588.80-2592.80] 台灣的丙二分生產出來以後
[2592.80-2595.80] 主要是供應下游的BC廠
[2595.80-2600.80] 在台灣的台化或者是奇美
[2600.80-2603.80] 但是前去年
[2603.80-2608.80] 因為兩岸之間的關係不是那麼好
[2608.80-2612.80] 所以大陸地區有取消了一些
[2612.80-2616.80] 原本對我們比較友善的措施
[2616.80-2620.80] 所以造成下游的台化的PC
[2620.80-2622.80] 還有奇美的PC
[2622.80-2625.80] 原本有一些優惠的稅務部分
[2625.80-2627.80] 也被取消了
[2627.80-2630.80] 所以他們的需求相對也減少了
[2630.80-2633.80] 所以這部分當然對我們上游的
[2633.80-2636.80] 丙二分來講的話也是有所影響
[2636.80-2638.80] 但是在離播地區
[2638.80-2641.80] 我們的丙二分廠相對就沒有這個問題
[2641.80-2643.80] 那我們也是積極在開拓
[2643.80-2647.80] 大陸當地的市場
[2647.80-2650.80] 其實這個跨空產品的部分
[2650.80-2651.80] 最主要是因為這幾年
[2651.80-2654.80] 大陸地區的擴建的力量
[2654.80-2657.80] 增加的幅度非常的大
[2657.80-2660.80] 所以我們也盡量去
[2660.80-2665.80] 自己內部本身的一些成本的降低
[2665.80-2669.80] 另外再積極去開拓一些其他的市場
[2669.80-2674.80] 來設法去去換我們的廠的一個對面
[2674.80-2677.80] 所以目前丙二分來講的話
[2677.80-2683.80] 最近的行情是因為它的上游分
[2683.80-2686.80] 還有病童的降得比較低一點
[2686.80-2690.80] 所以相對它的成本是比較有利一點
[2690.80-2696.80] 看起來之前在大陸地區的丙二分
[2696.80-2703.80] 是有機會從小幅虧損到轉為小幅獲利
[2703.80-2708.80] 其他另外一個產品是可輸機的部分
[2708.80-2710.80] DOP的部分
[2710.80-2712.80] 可輸機裡面其實前兩年
[2712.80-2717.80] 我們主要是靠它裡面一個產品叫2EH
[2717.80-2722.80] 2EH它的前兩年的這個運動狀況
[2722.80-2724.80] 相對是比較好的
[2724.80-2726.80] 但是也是因為剛才提到的
[2726.80-2730.80] 在大陸地區陸陸續續的新的擴建
[2730.80-2733.80] 增加了以後
[2733.80-2735.80] 整個市場來講的話
[2735.80-2737.80] 也是慢慢慢慢的變成了
[2737.80-2739.80] 過後一起有的情況
[2739.80-2741.80] 所以目前DOP來講的話
[2741.80-2746.80] 其實大概還是會知道沒有很差
[2746.80-2751.80] 就是恢復到以往過往的情況
[2751.80-2753.80] 因為空過一宿
[2753.80-2755.80] 所以整個產能利用率也不是那麼高
[2755.80-2759.80] 大概都處於一個小幅虧損或小幅損
[2759.80-2761.80] 隨便的一個情況
[2761.80-2767.80] 後續還是要看產業的變化情況怎麼樣
[2767.80-2771.80] 但是至少它的那個就算是虧損
[2771.80-2774.80] 也不是那個居服虧損的情況
[2774.80-2776.80] 我們之前虧損幅度比較大的
[2776.80-2778.80] 是HP這個產品
[2778.80-2780.80] 目前已經有很大的改善
[2780.80-2783.80] 所以整個化工產品其實
[2783.80-2786.80] 我們樂觀一點看在明年上半年
[2786.80-2788.80] 應該是有一些機會
[2788.80-2791.80] 可以跟現在來比的話
[2791.80-2794.80] 有比較明顯的一個改善
[2797.80-2798.80] 不好意思
[2798.80-2802.80] 可能可以請教一個比較趨勢的問題
[2802.80-2805.80] 因為是我們就自發的
[2805.80-2806.80] 過去事實上就是
[2806.80-2808.80] 一直都是一個賽孔擴展
[2808.80-2809.80] 然後我們什麼都還
[2809.80-2811.80] 然後賽孔就在金子那邊
[2811.80-2813.80] 然後就後來就會休息區
[2813.80-2814.80] 然後我們就打轉金流
[2814.80-2815.80] 一直都是這樣子
[2815.80-2817.80] 甚至於我們在擴展的時候
[2817.80-2819.80] 在擴展我們還擴展這樣子
[2819.80-2820.80] 這個賽孔一直這樣子
[2820.80-2822.80] 我們就一直在擴展
[2822.80-2824.80] 然後我們就一直在擴展
[2824.80-2826.80] 這個賽孔一直這樣子
[2826.80-2828.80] 二三四年來都這樣子
[2828.80-2830.80] 這次我們就發現不一樣
[2830.80-2832.80] 因為在那麼多這個賽孔裡面
[2832.80-2835.80] 世寶從來沒有說我要放棄束縛
[2835.80-2837.80] 從來沒有
[2837.80-2838.80] 過去幾十年來
[2838.80-2840.80] 沒有說我要改變
[2840.80-2842.80] 那這次我發現完全不一樣
[2842.80-2844.80] 大家都說要轉型
[2844.80-2846.80] 世寶其實都要說說要轉型
[2846.80-2847.80] 我會想說
[2847.80-2850.80] 難道這一支的賽孔是不一樣的嗎
[2850.80-2852.80] 那我讀完很多報告說
[2852.80-2853.80] 我讀很多報告說
[2853.80-2855.80] 大陸擴展可能就2027、2028
[2855.80-2858.80] 或是會比較長一點
[2858.80-2859.80] 2030好了
[2859.80-2862.80] 其實到2030也是五年
[2862.80-2864.80] 有那麼嚴重到說
[2864.80-2866.80] 我們必須要養血
[2866.80-2868.80] 過去幾十年來的一些技術產能
[2868.80-2869.80] 我要轉型
[2869.80-2872.80] 轉型其實是一個很重大的決策
[2872.80-2874.80] 我們曉得是不是這次完全是不一樣
[2874.80-2875.80] 你說大陸擴展以後
[2875.80-2876.80] 還要繼續擴展
[2876.80-2878.80] 所以在這個feel裡面
[2878.80-2880.80] 不用擴展世寶
[2880.80-2882.80] 方向就不能夠再像以前
[2882.80-2884.80] 在水溫谷這樣子看
[2884.80-2885.80] 那是真的
[2885.80-2887.80] 像前幾十年來的下午
[2887.80-2889.80] 這個是大哉問
[2889.80-2892.80] 確實依我個人的
[2892.80-2896.80] 以往在企業的經驗來看
[2896.80-2899.80] 以前整個產業的變化
[2899.80-2901.80] 其實沒有像最近這幾年
[2901.80-2902.80] 變化那麼大
[2902.80-2904.80] 最近不是在報導
[2904.80-2905.80] 大陸的氣溫
[2905.80-2906.80] 氣溫
[2906.80-2909.80] 在講這是在化工廠的部分
[2909.80-2912.80] 它那個增加出來的產品
[2912.80-2914.80] 真的是相當的大
[2914.80-2916.80] 不只是影響到我們南亞公司
[2916.80-2918.80] 或其他的減肥公司
[2918.80-2920.80] 我相信各位有的關注者
[2920.80-2924.80] 應該都有接受到相關的訊息
[2924.80-2929.80] 所以就是因為在過去
[2929.80-2930.80] 其實我們產生
[2930.80-2931.80] 企業來講的話
[2931.80-2933.80] 大致上外界的規類
[2933.80-2936.80] 大概都屬於比較變化工產業
[2936.80-2939.80] 所以化工產品的那個
[2939.80-2941.80] 釋放的變化
[2941.80-2942.80] 對我們整個企業來講
[2942.80-2945.80] 影響的幅度相對是比較大一點
[2947.80-2949.80] 就是因為最近這些
[2949.80-2951.80] 大陸地區的擴建能量
[2951.80-2953.80] 陸陸續續出來
[2953.80-2955.80] 主要的關鍵是過去
[2955.80-2958.80] 他們可能是分段在生產
[2958.80-2960.80] 現在不一樣
[2960.80-2962.80] 現在是叫一條龍
[2962.80-2963.80] 從上路到下路
[2963.80-2964.80] 整個都生產
[2964.80-2967.80] 所以過去可能在下游
[2967.80-2968.80] 他的生產場
[2968.80-2969.80] 他需要的原物量
[2969.80-2970.80] 中上游的部分
[2970.80-2972.80] 他會去向外採購
[2972.80-2974.80] 那個這部分就是會造成
[2974.80-2977.80] 其他地區會有一些量
[2977.80-2981.80] 可以外銷到他大陸地區去供應他
[2981.80-2983.80] 以我們以二選台局面來講的話
[2983.80-2987.80] 過去我印象中在2010幾年的時候
[2987.80-2988.80] 那時候他大陸地區
[2988.80-2990.80] 一年進口的量
[2990.80-2993.80] 高的時候產品超過1000萬噸
[2993.80-2997.80] 他自己本身當地產的
[2997.80-2998.80] 產量變得不大
[2998.80-3000.80] 都是大部分從中東
[3000.80-3002.80] 或是像台灣或其他地區
[3002.80-3004.80] 這樣進口過去的
[3004.80-3005.80] 所以那一段時間
[3005.80-3008.80] 我們一二層整個經營狀況
[3008.80-3011.80] 相對是比較好的情況
[3011.80-3013.80] 但是陸陸續續
[3013.80-3015.80] 這些下游的聚酯廠商
[3015.80-3016.80] 他們是往上游
[3016.80-3017.80] 中上游發展
[3017.80-3019.80] 我們講一條龍
[3019.80-3022.80] 他們自己生產的全是整合
[3022.80-3025.80] 所以相對對中上游的原料需求
[3025.80-3027.80] 沒有像過去那麼多
[3027.80-3031.80] 當然還是有一些基本的量會過去
[3031.80-3032.80] 相對的話
[3032.80-3035.80] 大家是變成其他地區的產能
[3035.80-3037.80] 就是要去增強質量
[3037.80-3040.80] 所以整個產業講的話
[3040.80-3043.80] 競爭是比以往講的多
[3043.80-3045.80] 相對是激烈很多
[3045.80-3049.80] 那你因應這整個產業
[3049.80-3053.80] 你如果說要持續我們講的永續經營的話
[3053.80-3056.80] 你是不是要去另外開拓一些
[3056.80-3059.80] 其他的方向的產品
[3059.80-3062.80] 沒有辦法再跟以往這樣
[3062.80-3063.80] 過去的這個
[3063.80-3064.80] 你講的沒有錯
[3064.80-3066.80] 過去就是我們講的一支旋環
[3066.80-3068.80] 但現在這個旋環看起來
[3068.80-3071.80] 跟以往是差異很大
[3071.80-3073.80] 因為整個產業來講的話
[3073.80-3076.80] 這個變化也跟以往是有很大的不同
[3076.80-3079.80] 現在我們現在是以電產業
[3079.80-3082.80] 算是一個主流產業
[3082.80-3083.80] 因為電產業的變化
[3083.80-3086.80] 裡面的區隔分得也相當的細
[3086.80-3091.80] 所以在這中間我們可能就有辦法去做一些
[3091.80-3095.80] 市場的一些篩選的區隔
[3095.80-3097.80] 像我們這些同一個
[3097.80-3098.80] 我們的幾類公司裡面
[3098.80-3100.80] 他們也就現有的化工產品
[3100.80-3102.80] 他們也會社交去看
[3102.80-3104.80] 開發一些跟電子產業相關
[3104.80-3107.80] 或者半導體相關的一些材料
[3107.80-3109.80] 那個是因應整個產業的變化
[3109.80-3112.80] 不得不做的一個決策
[3112.80-3114.80] 當然我們也是一樣
[3114.80-3117.80] 我們南亞公司相對比較好的是
[3117.80-3118.80] 我剛才提到
[3118.80-3123.80] 我們的產業結構相對比較多角化
[3123.80-3128.80] 所以我們在這一波的產業的變化區
[3128.80-3131.80] 收到的衝擊相對比較小一點
[3131.80-3132.80] 衝擊還是很大沒錯
[3132.80-3134.80] 但是相對是比較小一點
[3134.80-3136.80] 所以你可以看到我們最近
[3136.80-3140.80] 這一季的業績的公佈裡面
[3140.80-3143.80] 我們的收到衝擊的幅度
[3143.80-3147.80] 跟我們其他姐妹公司相對是比較小一點
[3147.80-3151.80] 但是我們也還是設法要去做一些
[3151.80-3153.80] 剛剛講的轉型
[3153.80-3156.80] 加上我們現在也整個研發業
[3156.80-3159.80] 材料的改變
[3159.80-3164.80] 我們也是持續的再往一些主流的產業
[3164.80-3170.80] 發展的趨勢去做調整
[3170.80-3172.80] 所以我看到目前我們在電台的
[3172.80-3174.80] 電台的產業的改變
[3174.80-3177.80] 我們也在整個產業的改變
[3178.80-3180.54] 然後再引述問 приш提到
[3180.54-3181.80] 從我們來看電台這邊
[3181.80-3183.80] 重點拿出一個技術
[3183.80-3185.80] 判斷請當然能不能把每個客人
[3185.80-3187.80] 的戰略教學從上面的
[3187.80-3189.80] 專長組成到作出什麼urdial
[3189.80-3203.80] 方面可以來去做一些
[3203.80-3205.80] 必備的 cripple 背景的
[3205.80-3207.80] 雖然後里還沒有很多
[3207.80-3209.80] 但是就是
[3209.80-3211.80] 好 可是在其他
[3211.80-3213.80] EG 啊 PTA 那邊就
[3213.80-3215.80] 起死掉了 我想請教一下
[3215.80-3217.80] 因為
[3217.80-3219.80] 我們流行到是到的都扣上
[3219.80-3221.80] 像是會
[3221.80-3223.80] 今天今天幾天
[3223.80-3225.80] 還是那
[3225.80-3227.80] 他的打風
[3227.80-3229.80] 好像就是這幾年大概就是
[3229.80-3231.80] 到最高點
[3231.80-3233.80] 他也不會在EG那裡蓋
[3233.80-3235.80] 那我可以去假設說
[3235.80-3237.80] 就是真的很慘
[3237.80-3239.80] 因為整個需求還是
[3239.80-3241.80] 精神要來得增加的
[3241.80-3243.80] 我不曉得說我們公司看法是
[3243.80-3245.80] 因為我們這裡沒有很細的資料
[3245.80-3247.80] 是大概今年是
[3247.80-3249.80] 最差 因為我看數字上
[3249.80-3251.80] 是今年最差的情況
[3251.80-3253.80] 今年最差 今年最大
[3253.80-3255.80] 所以應該明年會產生比較類似
[3255.80-3257.80] 不一定我在
[3257.80-3259.80] 這個篩文裡面
[3259.80-3261.80] 至少以目前的資料來看的話
[3261.80-3263.80] 我們是
[3263.80-3265.80] 認為是去年應該是股頂
[3265.80-3267.80] 今年
[3267.80-3269.80] 其實如果沒有這個
[3269.80-3271.80] 剛剛講的川普
[3271.80-3273.80] 這個關稅
[3273.80-3275.80] 還有匯率的問題
[3275.80-3277.80] 今年度
[3277.80-3279.80] 我們原本的預期的
[3279.80-3281.80] 這個營運表現是
[3281.80-3283.80] 會比去年要
[3283.80-3285.80] 改善許多
[3285.80-3287.80] 啦
[3287.80-3289.80] 但是現在就是說
[3289.80-3291.80] 現在整個
[3291.80-3293.80] 經濟環境
[3293.80-3295.80] 大環境的變化
[3295.80-3297.80] 也跟以往不一樣
[3297.80-3299.80] 因為大家就是
[3299.80-3301.80] 整個世界都是很和平的
[3301.80-3303.80] 大家努力賺錢
[3303.80-3305.80] 現在不是 動不動就
[3305.80-3307.80] 烏克蘭跟烏克魯
[3307.80-3309.80] 會有這個打仗 現在以色列
[3309.80-3311.80] 要去攻擊伊朗
[3311.80-3313.80] 所以很多的變數
[3313.80-3315.80] 跟原本的預期都差很多
[3315.80-3317.80] 所以相對
[3317.80-3319.80] 現在企業的經濟
[3319.80-3321.80] 也比以往要
[3321.80-3323.80] 困難許多
[3323.80-3325.80] 太多的變數
[3325.80-3327.80] 但是我們不管怎麼樣
[3327.80-3329.80] 還是持續在朝我們既定的方向
[3329.80-3331.80] 來努力
[3339.80-3341.80] 因為時間與場地安排的關係
[3341.80-3343.80] 我們開放最後一個問題
[3345.80-3347.80] 不好意思 我剛剛有點被s到
[3347.80-3349.80] 就是我們EG啊
[3349.80-3351.80] 現在台灣是四套開兩套
[3351.80-3353.80] 然後全能生產 但是美國那邊的話
[3353.80-3355.80] 是開估率是多少
[3355.80-3357.80] 跟你提到 現在也是全能生產
[3357.80-3359.80] 也是全能生產 對
[3359.80-3361.80] 在美國也是兩套而已
[3361.80-3363.80] 那就是我們是逐漸的從略為來看
[3363.80-3365.80] 看到EG1是從Break英文到
[3365.80-3367.80] 小幅獲利的這個趨勢 對
[3367.80-3369.80] 但EG2的話可能還是
[3369.80-3371.80] 要繼續 現在
[3371.80-3373.80] Crispen持續在改善
[3373.80-3375.80] 謝謝
