[0.78-9.18] 各位投资先进午安,欢迎参加新路投资控股股份有限公司2024年第四季度法人说明会。
[1886.46-1889.28] 大陆建设的客户
[1889.28-1891.84] 大部分都是自助为主
[1891.84-1893.38] 那比较少是
[1893.38-1895.94] 投资目的的这个客户
[1895.94-1901.06] 那我想对自助的客户而言自助就是刚性的需求
[1901.10-1904.68] 那所以应该是相对是比较稳定
[1904.68-1907.76] 所以就我们内部的评估
[1907.76-1910.58] 目前我们在2025年
[1910.58-1912.88] 不管是在开发新案
[1912.88-1914.16] 或者是推案
[1914.16-1917.22] 应该会是照我们既定的方向
[1917.22-1919.54] 跟既有的
[1919.54-1921.84] 既有的时程的规划
[1921.84-1924.66] 如期来进行
[1924.66-1925.42] 谢谢
[1931.10-1934.18] 关于时间关系问答环节在此告一段落
[1934.18-1937.24] 如果投资先进有其他问题可以透过email
[1937.24-1939.80] 或是电话联系投资人关系窗口
[1939.80-1941.08] 将有专人
[1941.08-1942.36] 回复各位
[1942.36-1944.16] 感谢今天的参与
[1944.16-1949.54] 新陆投控2024年第4季度线上法人说明会到此结束
[1949.54-1952.60] 敬祝各位身体健康投资顺利谢谢
