[30.00-58.00] 今天主要是李克彥总理,我们现在就交给总理李克彥,请。
[2175.44-2177.44] 我想
[2181.44-2183.44] 那個
[2183.44-2185.44] 我想我們第三季
[2185.44-2187.44] 我剛剛大概有提到一下
[2187.44-2189.44] 就是說我們認為我們的鏈制價差
[2189.44-2191.44] 實際上是會慢慢就會好轉的
[2191.44-2197.44] 一方面說第三季是汽油需求的一些旺季
[2197.44-2199.44] 那今年大家看起來就是說
[2199.44-2201.44] 並不會像去年一樣就是說
[2201.44-2203.44] 發生這個旺季不旺的情形
[2203.44-2206.44] 因為整個油價比較低
[2206.44-2209.44] 美國的需求其實還算蠻健康的
[2209.44-2211.44] 那日本也關了幾個鏈場
[2211.44-2213.44] 所以說日本也在進口汽油
[2213.44-2217.44] 所以說我們會覺得說去年的
[2217.44-2220.44] 鏈制價差很差的情況
[2220.44-2222.44] 應該在今年第三季不會發生
[2222.44-2224.44] 那除了這個以外
[2224.44-2230.44] 當然整個歐洲那邊的現在的油品是非常的缺的
[2230.44-2234.44] 因為它很多油是從中東那邊補過來的
[2234.44-2236.44] 因為都受到一些戰爭的阻礙
[2236.44-2240.44] 那所以說像現在鏈制價差其實還蠻不錯的
[2240.44-2243.44] 那我們應該可以延續到
[2243.44-2247.44] 大概七八月應該都可以再延續
[2247.44-2249.44] 七月可七八月可以延續下去
[2249.44-2251.44] 九月開始我們就要進入一些
[2251.44-2254.44] 所謂的冬季的備貨期
[2254.44-2257.44] 然後也開始進入這個定節期
[2257.44-2260.44] 定節期大概從九月開始
[2260.44-2262.44] 延續到十一月左右
[2262.44-2266.44] 所以說我們對第三季第四季的鏈制價差
[2266.44-2271.44] 事實上我們是認為是比較有這個
[2271.44-2275.44] 算是比較會比較positive的
[2275.44-2279.44] 但是油價的部分可能就
[2279.44-2282.44] 在第三季我們認為說
[2282.44-2285.44] 因為第三季是用油的旺季
[2285.44-2289.44] 油價應該是可以維持在可能65到70
[2289.44-2292.44] 所以說對我們現狀來講的話
[2292.44-2295.44] 大概不會造成一些庫存的損失
[2295.44-2299.44] 但是第四季就比較難預測了
[2299.44-2301.44] 如果說第四季如果說
[2301.44-2302.44] 就算價差有上來
[2302.44-2304.44] 但是油價如果下跌的話
[2304.44-2306.44] 對我們也是會造成一些損傷
[2306.44-2310.44] 那實話這塊就我剛剛就已經說明了
[2310.44-2315.44] 大概只有短暫的一些供應上的一些問題
[2315.44-2320.44] 會造成短期的一些價格的一些上漲
[2320.44-2323.44] 那應該不會持久
[2323.44-2326.44] 那至於說你說的碳費的問題
[2326.44-2329.44] 碳費的問題其實我們現在大概
[2329.44-2332.44] 就是依照我們現在政府
[2332.44-2335.44] 收的碳費的標準
[2335.44-2339.44] 我們大概我們可以達到說這個
[2339.44-2343.44] 我們可以達到大概一噸
[2343.44-2345.44] 我們可以用我們的減碳的program
[2345.44-2349.44] 可以達到一年可以收100塊錢
[2349.44-2351.44] 一噸收100塊錢
[2351.44-2355.44] 然後因為我們又是高碳洩漏風險的一個產業
[2355.44-2357.44] 所以說可以達到
[2357.44-2359.44] 所以說大概就是20塊
[2359.44-2360.44] 那如果照這樣算的話
[2360.44-2363.44] 我們一年的碳費大概是3億左右
[2363.44-2366.44] 那這個東西大概可以延續到2030年
[2366.44-2370.44] 那你說我們是不是有更積極的減碳計劃
[2370.44-2372.44] 說真的啦我們也很想
[2372.44-2375.44] 但是減碳是要費用的
[2375.44-2380.44] 那我們所有的減碳的方案其實都有準備
[2380.44-2382.44] 那我們就在等說
[2382.44-2386.44] 有沒有誰可以幫我們做這個減碳計劃
[2386.44-2391.44] 有沒有誰願意花一點錢去買一些低碳產品
[2391.44-2394.44] 譬如說像Saf我們就在生產了
[2394.44-2396.44] 為什麼因為有人願意買
[2396.44-2397.44] 華航跟長榮願意買
[2397.44-2399.44] 那當然我們就生產吧
[2399.44-2401.44] 但是如果說沒有人願意買
[2401.44-2402.44] 只是自願減碳
[2402.44-2404.44] 其實說真的以我們現在產業的體質
[2404.44-2406.44] 我們承擔不起
[2406.44-2408.44] 所以說我們就在等待
