[0.00-9.36] 各位投資先進大家好
[1881.82-1888.22] 所以我們在這一塊是未來預期會有比較高成長的一個項目
[1892.06-1896.16] 在這個地方我們可以看到整個超級電容的發展
[1896.92-1897.70] 最上面
[1897.94-1904.10] 這底下深藍的這一塊就是EDLC就是
[1904.34-1905.38] 傳統超級電容這一塊
[1906.14-1907.68] 那最上面的
[1908.18-1909.22] 比較淺的顏色的
[1909.52-1910.28] 就是
[1911.56-1913.36] 混合式HYBRID的
[1914.64-1915.92] 這種超級電容
[1916.18-1917.96] 混合式超級電容的這一塊
[1918.74-1922.82] 中間是所謂的擬電容那是另外一個項目這個
[1923.08-1924.10] 就不是
[1924.36-1925.90] 不是我們的菜所以
[1927.44-1930.76] 最上面跟最下面的這兩塊事實上都是
[1931.02-1932.82] 中碳先進碳材料
[1933.58-1935.12] 可以供應的一個對象
[1936.14-1937.94] 整個超級電容市場
[1938.18-1939.22] 未來
[1939.52-1940.28] 從2025
[1940.54-1945.40] 一直到2033整個複合成長率會達到19%
[1946.42-1949.24] 那所以我們現在很急著在擴廠因為
[1949.50-1952.58] 我們看到我們的量是不足的
[1955.14-1957.94] 那這個部分就是我們對未來的
[1958.20-1958.46] 寄予
[1958.72-1960.26] 厚望的一個
[1960.50-1961.28] 項目
[1962.82-1964.34] 那這邊我可以看到
[1965.62-1966.90] 整個
[1967.16-1969.22] 先進碳材料的需求就是比我們
[1969.52-1970.80] 預期要快
[1971.06-1971.56] 很多
[1972.08-1974.12] 所以目前公司
[1974.38-1977.96] 每一個月大概都可以出到5噸左右
[1978.22-1983.86] 那以我們全年的量我們的目前產線90噸來講
[1984.62-1987.94] 在下半年可能我們就會不夠
[1988.72-1993.32] 那目前5噸就是以供應傳統的超級電容客戶為主
[1993.58-1994.34] 那
[1994.86-1995.88] 有一些
[1996.40-1997.68] 我們所謂的
[1998.18-1999.22] 高階的
[1999.52-2000.80] 高電壓的一些項目
[2001.30-2003.10] 那這邊有些
[2003.62-2006.94] 客戶的一個測試大概會在七八月會有結果
[2007.20-2007.70] 所以
[2008.22-2009.24] 這個
[2009.76-2011.54] 需求量再增加的話
[2011.80-2015.64] 事實上公司現有的產能就會有是一個很大一個調整
[2017.44-2020.50] 那更不用提到說剛剛前面提到的
[2020.76-2021.78] 鋰離子電容器
[2022.30-2025.62] 未來一個比較爆發式的一個成長
[2026.40-2028.96] 那特別在鋰離子電容器這一塊
[2029.26-2032.84] 因為客戶要求的規格是相當高
[2033.62-2036.94] 那目前整個市面上
[2037.20-2040.02] 能夠符合規格的供應商不多
[2040.78-2043.34] 所以我們單價也相當好
[2043.60-2046.92] 所以我們目前這個產品我們已經在進行
[2047.18-2051.54] 最後客戶的一個循環測試驗證的這個階段
[2052.04-2055.12] 那只有機會打入供應鏈裡面
[2055.88-2059.22] 我們評估我們先進碳材料在市面上的
[2059.48-2061.02] 一個競爭的一個優勢
[2062.80-2068.94] 新型碳材料事實上它就是一些活性碳類碳材這樣的一個東西
[2070.22-2073.56] 那最便宜的部分是所謂的生殖類
[2074.06-2079.18] 生殖類的部分就是它會用野殼會用生物碳這樣的東西
[2079.70-2081.50] 去做活性碳
[2082.26-2084.30] 那這樣的東西做出來事實上
[2084.56-2086.10] 沒辦法去符合
[2086.62-2088.92] 這些高階應用的一個需求
[2089.74-2092.04] 所以現在高階的部分大部分都會
[2092.54-2094.08] 利用所謂的樹脂
[2094.60-2096.90] 再去做進一步的火化加工
[2097.66-2101.76] 但是樹脂的東西成本相對就是會高很多
[2102.54-2104.06] 那對我們來講我們用
[2104.32-2107.14] 所謂的借向碳維酬當原料
[2107.66-2110.22] 去做出了相關這樣的一個
[2110.46-2112.52] 先進碳材料這樣的一個產品
[2114.56-2118.92] 我們的特性可以達到樹脂類的
[2119.74-2121.02] 相關
[2121.26-2123.58] 材料的一個特性
[2124.08-2126.38] 但我們的價格是比它是更有優勢
[2127.42-2128.70] 所以在這邊
[2128.94-2130.48] 我們在
[2131.00-2133.30] 在2月的董事會已經有通過
[2133.56-2134.84] 這樣的一個擴建案
[2135.60-2136.12] 那
[2136.38-2142.78] 我們的產能會從現在的我們現在90噸那未來會擴建一個500噸產能的一個量
[2143.28-2149.18] 那這個部分會在2027年的第一季完成試車並且
[2149.48-2149.98] 投產
[2151.52-2156.14] 這個部分進度都是在維持在做而且
[2156.90-2158.18] 目前看起來
[2158.44-2161.00] 我們因為需求是
[2161.26-2162.28] 是很急迫的
[2162.78-2164.84] 所以公司這邊我們會盡量
[2165.34-2170.46] 去壓縮整個時間我們盡量會我們希望能夠在提早半年
[2170.72-2173.02] 就趕快讓這個產線去投產
[2173.28-2173.80] 不然
[2174.30-2177.38] 客戶那邊的需求我們會沒辦法去去滿足
[2179.22-2185.36] 最後一塊是我們的等方性石墨快材的這一塊那這個部分也是我們的
[2185.62-2187.16] 潛力產品之一
[2187.66-2191.26] 那整個生產的過程
[2191.76-2196.88] 有相當的一個難度整個碳化的過程大概1200度
[2197.14-2199.44] 石墨化的過程大概是3000度
[2199.70-2203.54] 那整個石墨快材它的
[2204.30-2208.14] 特性是非常非常好耐高溫耐酸鹼
[2208.14-2211.46] 然後有好的熱傳
[2211.98-2213.26] 然後好的
[2215.56-2220.42] 整個整個結構致密組織均勻真的很多的一個優點
[2221.46-2225.80] 那特別是這個產品也是中國大陸那邊
[2226.06-2228.62] 宣布管制就是所謂的
[2229.14-2232.46] 高純度高強度高密度三高石墨快材
[2232.98-2234.26] 出口管制的一個
[2234.50-2236.56] 項目所以這個是我們未來
[2236.82-2238.10] 極力推的一個項目
[2238.40-2243.00] 那未來的市場
[2243.26-2247.10] 主要是應用在碳化氣漲金這樣的一個需求
[2247.62-2253.50] 那我們可以提供的就是高純碳粉跟高純石墨乾鍋這兩大項目
[2254.52-2256.32] 碳化氣的東西
[2257.08-2258.10] 因為它
[2258.36-2261.44] 對於一般純氣的一個半導體來講
[2261.70-2265.28] 他就是有能夠耐高電壓大電流
[2265.54-2267.06] 在高溫高頻
[2267.58-2268.10] 等等這些
[2268.40-2270.18] 方面都有比較好的一個
[2270.44-2270.96] 表現
[2271.46-2272.74] 那最主要是
[2273.00-2274.02] 他
[2274.54-2276.58] 他的成本相對高非常多
[2279.66-2280.18] 這個
[2280.42-2286.06] 可能大家對於那個碳化氣產業有了解的話那個漲金的速度是非常非常慢
[2286.58-2288.88] 大概兩個禮拜可以漲個
[2289.14-2291.94] 兩三公分跟一般的純系金棒
[2292.46-2293.48] 大概
[2293.74-2295.54] 一個禮拜可以漲個兩公尺
[2295.78-2298.10] 這個是完全不一樣的一個
[2298.40-2300.44] 一個一個一個東西
[2301.46-2304.02] 之前整個應用上
[2304.28-2306.34] 是受到一些限制
[2307.62-2309.14] 因為價格太高的關係
[2309.66-2313.76] 那最近龍頭公司就是Wolfspeed
[2314.02-2315.30] 美國Wolfspeed
[2316.06-2321.94] 前兩天有提到他宣布破產因為沒辦法去對於
[2322.20-2324.50] 大陸產品的一個競爭
[2325.02-2327.06] 股價跌了大概50幾%
[2328.40-2331.46] 然後我今天看到他就長了30幾%
[2331.98-2334.54] 是可能有有公司願意
[2334.80-2337.10] 把它吃下來吧這個細節我不確定
[2338.12-2341.70] 但是現在碳化氣的東西我們應該這樣講
[2342.48-2345.04] 就是說大陸的產品出來之後
[2345.30-2348.10] 整個價格是跌幅相當的大
[2349.38-2351.94] 對於這個價格下跌之後事實上
[2352.20-2356.04] 就是可以達到一個應用上面的一個甜蜜點
[2356.56-2358.10] 所以預期未來大家
[2358.40-2363.00] 應用碳化氣在所謂的電動車在電動裝這邊
[2363.52-2365.30] 應該可以會越來越成熟
[2366.08-2369.66] 那對於這個價格下跌是對於碳化氣
[2369.92-2371.70] 的這些生產者會有影響
[2372.22-2373.76] 但對於中碳而言
[2374.26-2375.04] 我們是
[2375.30-2376.82] 去生產石墨乾鍋
[2377.08-2377.86] 這個是耗材
[2378.62-2381.18] 他生產越多用我們家東西就越多
[2382.20-2386.56] 對我們來講我們認為這是一個有利的一個機會
[2388.40-2390.18] 我們在這方面
[2390.44-2391.46] 除了
[2391.72-2396.58] 董事會有通過設置量產型的一個存化爐之外
[2397.10-2399.40] 另外我們也是
[2399.66-2400.42] 推動了
[2401.70-2406.82] 就是在做等發性石墨的一個工廠建置
[2407.34-2411.44] 那在這個新的項目裡面我們會去做
[2411.94-2416.30] 包括了基加工的這一塊然後還有成型的這一塊
[2416.56-2417.32] 希望
[2417.32-2420.14] 能夠讓我們整個
[2421.16-2423.20] 等發性石墨這邊整個
[2423.46-2426.54] 整個供應的項目都能夠建置完成
[2428.84-2430.38] 所以我們希望
[2430.64-2432.68] 就是配合國內碳化氣業者
[2432.94-2436.00] 然後建構一下整個在地的一個供應鏈
[2439.34-2443.94] 中碳是目前國內唯一擁有專業石墨化爐的公司
[2444.20-2447.02] 所以我們有信心在這方面我們一定能夠
[2447.32-2448.60] 取代進口貨
[2448.86-2450.14] 成為整個
[2450.64-2452.18] 碳化氣半導體
[2452.44-2454.74] 整個供應鏈裡面重要的一環
[2460.64-2467.04] 另外大家可能會特別關切的就是最近美國
[2467.28-2471.12] 對等關稅還有匯率波動對中碳的影響
[2472.66-2475.74] 在關稅方面我們棉花學
[2476.00-2477.28] 的市場大概
[2477.58-2479.36] 都是以亞洲跟
[2479.88-2480.64] 澳洲為主
[2481.16-2481.68] 我們
[2482.18-2483.46] 客戶最終產品
[2483.72-2486.80] 去銷到美國的比例也都非常低
[2487.04-2491.66] 單一項目可能都是在5%以下這個影響非常的輕微
[2492.68-2497.04] 至於我們碳材料的這一塊我們的客戶還是以亞洲為主
[2497.54-2498.82] 那目前僅有
[2499.34-2502.40] 小量的部分是直接銷售到美國去的
[2504.96-2507.28] 但是亞洲客戶這邊的一個
[2507.58-2508.34] 中端產品
[2508.60-2510.90] 還是有部分會銷到美國
[2511.16-2513.20] 但是這部分我們缺乏了
[2513.46-2515.26] 比較充足的一個數據
[2515.76-2518.32] 我們很難去評估它這方面的一個影響
[2519.36-2521.92] 整體而言我們認為
[2522.68-2526.52] 對等關稅對於中碳的一個影響算是輕微
[2527.28-2530.10] 那甚至於如果中美兩邊如果是
[2530.36-2533.94] 富客比較高的關稅那甚至於我們有機會
[2534.46-2537.28] 去獲得原先由中國供應的一些轉移
[2537.58-2538.08] 單效應
[2538.34-2539.12] 但是
[2539.36-2543.46] 即使沒有我們現在一個
[2544.24-2546.02] 規劃的一些
[2546.28-2547.04] 客戶
[2547.30-2548.32] 的部分
[2550.12-2551.92] 對等關稅對我們影響都不大
[2553.96-2559.08] 但直接銷售的問題不大但是我們比較擔心的還是
[2559.60-2565.74] 如果中國的產品富客高關稅中國的部分
[2566.00-2567.28] 沒辦法賣進去美國的話
[2567.58-2568.34] 那
[2568.86-2572.70] 可能產品會有外溢到周邊的一個狀況這個部分
[2573.20-2578.08] 可能會去打壞周邊市場行情這個是我們比較擔心的部分
[2581.14-2583.70] 最後是有關匯率的影響
[2584.98-2587.80] 匯率對中碳的影響是比較大一點
[2588.56-2592.66] 中碳產品外銷的比例大概佔比到45%
[2593.44-2597.28] 那其中大部分就是以美元在做計價
[2597.58-2601.42] 我們初步的一個估算如果
[2601.68-2602.96] 台幣對美元
[2603.46-2604.48] 而升值
[2605.26-2606.28] 億元的話
[2606.54-2610.64] 那中碳的個體營收影響大概在2.2%
[2611.14-2613.70] 那毛利率會影響到0.5%
[2616.00-2622.16] 那對於整個匯率的影響我們有幾個因應之道第一個我們當然就是要去調整
[2622.40-2623.44] 報價的一個策略
[2623.68-2626.24] 盡量避開用美元計價
[2626.76-2631.10] 那第一個部分我們要去加快整個收款的周期
[2631.62-2634.44] 那減少那個
[2635.20-2639.56] 美元放帳到時候有個匯率波動的一個
[2639.80-2640.32] 一個影響
[2641.08-2645.70] 那事實上整個中碳的收款
[2645.96-2650.30] 周期平均我們大概只有三十幾天所以已經本來就不長了
[2650.82-2654.92] 那遇到有一些有開LC的我們也會斟酌
[2655.16-2656.20] 採取預售
[2656.50-2658.80] 外匯的方式提前來鎖定匯率
[2659.56-2660.60] 那只是說
[2660.84-2663.40] 最近有一些台幣有
[2663.66-2668.78] 暴漲的一個狀況我們可能就是還會還是有一些來不及因應
[2669.04-2669.56] 可能
[2670.06-2672.12] 還是會有些匯損的一個情形
[2673.90-2676.72] 那第三個部分我們當然就希望是說
[2676.98-2680.82] 盡量拓展一些內需的市場那也
[2681.08-2683.88] 希望能夠提高整個產品的附加價值
[2684.14-2686.20] 減少匯率波動對我們造成
[2686.50-2687.00] 這個影響
[2689.32-2695.72] 那整個中碳的碳材料產品我們從負極材料從先進碳材料
[2696.22-2698.02] 從等方形石墨快採
[2698.28-2702.12] 那這個部分都是朝著公司未來的一個願景
[2702.36-2707.74] 我們去友善友敘友善環境我們綠能經濟製造
[2708.00-2711.58] 還有成為綠能產業關鍵碳材料供應者的方向
[2711.84-2713.64] 我們持續精進在發展
[2713.88-2716.20] 那也希望各位投資先進
[2716.50-2717.78] 能夠多的支持
[2718.04-2719.32] 那以上是我今天的簡報
[2719.56-2721.10] 再看大家什麼提問的項目
[2723.40-2725.72] 謝謝副總的簡報說明
[2726.22-2727.24] 副總
[2727.50-2730.58] 我們現在就是開放問與答交流的時間
[2730.84-2733.14] 那今天主要是以文字提問為主
[2733.40-2737.48] 那在聊天室的部分已經有一些投資先進提出了問題
[2737.74-2739.54] 不知道副總這邊看得到嗎
[2743.12-2745.16] OK這邊有關
[2745.42-2746.20] 合股投資
[2746.50-2748.04] 這邊的提問
[2748.80-2752.90] 有關今年第一季生球跟手球一個出貨數
[2757.76-2764.16] 生球的部分大概在248噸手球的部分363噸
[2765.44-2768.76] 那剛提到的這個部分目前
[2769.02-2770.30] 第一季
[2771.58-2774.40] 是延續去年第四季的狀況
[2774.66-2775.16] 第二季
[2775.42-2776.20] 可能也
[2776.50-2777.78] 跑不到哪裡去
[2778.04-2782.38] 我們目標還是在下半年的部分可以看到比較明顯的成長
[2784.44-2790.58] 今年軟粒輕船未來個月份的部分今年軟粒輕我們
[2790.84-2792.88] 原則規劃是
[2793.40-2794.92] 是8.5船
[2795.44-2796.98] 8.5船所以的
[2797.24-2802.86] 的點5船就是會有一些比較小容量大概半船的量的部分會有
[2803.38-2805.42] 簡單講就是說有
[2805.94-2807.72] 7船加上3
[2807.98-2809.00] 船的小船
[2809.26-2811.06] 合計起來大概8.5船
[2811.56-2815.66] 那以今年上半年來講目前已經在
[2816.18-2820.52] 1月2月
[2823.08-2824.36] 日月
[2824.62-2829.48] 6月我們會有出船上半年部分會會有4船
[2830.26-2834.60] 那下半年原先目前規劃的部分也會在
[2834.60-2835.38] 下半年原先目前規劃的部分也會在
[2835.64-2838.20] 7
[2838.96-2840.50] 7 8 9
[2841.52-2842.04] 11
[2842.30-2844.86] 12大概是這樣的一個出船的狀況
[2848.44-2855.86] 那第二個部分有關今年第一季產品的一個毛利率事實上我剛有報告過
[2856.88-2860.22] 我這邊再報告一下
[2860.98-2865.08] 今年第一季我們煤焦油產品的一個毛利率
[2865.38-2870.50] 煤焦油產品是26.9%
[2871.26-2872.30] 煤焦油產品是26.9%
[2872.80-2875.36] 瀕油18.2%
[2876.14-2878.94] 碳材料7.3%
[2880.22-2881.76] 焦炭13%
[2885.60-2887.90] 這邊大概會
[2888.16-2891.50] 差別比較大大概是我們碳材料的毛利率的部分
[2891.74-2893.80] 因為先前大概都在
[2894.06-2894.82] 十幾20%
[2894.82-2895.34] 20%
[2895.54-2898.42] 左右那目前下滑的一個狀況
[2898.92-2900.98] 那下滑的狀況當然一個
[2901.48-2903.28] 一個重要就是
[2903.78-2905.06] 量少
[2905.58-2907.88] 量少的話當然單位成本就高
[2908.40-2910.96] 那第二個是價格
[2911.22-2913.52] 價格上是有一點下滑的一個狀況
[2913.78-2915.06] 造成我們目前
[2915.30-2917.10] 整個碳材料毛利率是比較差的
[2919.40-2925.30] 那第三個是有關於半固態電池的客戶試車順利目前還是
[2925.54-2930.72] 是會預估是在下半年開始投入生產
[2933.02-2936.86] 那手機快充這邊的附集材料的一個需求
[2937.12-2937.88] 而
[2938.40-2944.54] 第二季來講是就是在測試階段目前整個測試預計會在
[2944.80-2945.82] 七八月結束
[2947.10-2950.18] 七八月結束之後就可以有明顯的一個成長
[2952.22-2955.30] 那第四有關印度客戶這邊的部分
[2955.60-2956.36] 沒有
[2956.88-2959.44] 先前是說會
[2959.70-2964.30] 會恢復提貨但現在又卡著那原因我們也不是很清楚
[2965.84-2968.40] 所以整個目前附集的
[2968.90-2970.70] 的銷售量還不是很好
[2971.98-2975.82] 目前超級電容一個進展剛有提到過
[2977.86-2979.40] 超級電容這邊
[2979.66-2985.30] 未來會有預計可能未來可能會有複合成長率20%
[2985.60-2986.36] 快速的發展
[2987.90-2990.20] 我們現在客戶
[2990.46-2994.56] 客戶終端的需求大部分就是用在
[2994.82-2998.14] BPU就是AI伺服器的一個變原
[2998.40-2999.68] 電力系統上面
[3000.18-3000.70] 那
[3000.96-3003.78] 包括了傳統的
[3004.28-3006.34] 超級電容還有未來
[3006.84-3008.90] 比較成長比較大的
[3009.14-3010.18] 離離子電容
[3012.22-3014.52] 那在先進的材料
[3014.78-3018.62] 我們最近還發現有一個新的應用項目
[3018.88-3021.94] 本來預計下一次再跟大家做一些報告
[3022.96-3025.78] 現在離離子電池
[3026.04-3028.60] 最近的發展就是所謂的
[3028.86-3029.88] 矽碳方面
[3030.14-3030.64] 因為
[3030.90-3037.04] 矽的一個電容量非常高所以對於高容量的部分這個是一個發展的一個
[3037.30-3037.82] 趨勢
[3038.32-3042.94] 那在矽的一個最大的一個問題就在於它的一個膨脹量非常大
[3043.70-3044.48] 所以現在
[3044.78-3050.92] 最新的一個技術呢它會在負極的部分它會用所謂的多孔碳
[3051.44-3052.96] 然後中間再去
[3053.48-3056.80] 嵌入奈米矽這樣的一個做法
[3057.58-3061.16] 然後我們發覺這個多孔碳就跟我們
[3061.42-3063.46] 所謂的石墨負極就是
[3063.72-3065.76] 兩個不同完全不同的一個概念
[3067.04-3068.84] 然後這個多孔碳的部分
[3069.10-3071.40] 事實上就是我們先進碳材料
[3071.66-3073.96] 可以去執行的一個
[3074.78-3075.28] 動作
[3075.54-3078.36] 我們現在就是會拿我們的先進碳材料
[3078.88-3081.44] 來讓客戶對於這個
[3081.94-3085.02] 奈米矽這邊這個嵌入的一個狀況
[3085.28-3086.56] 來做一個測試
[3087.06-3091.68] 那這個部分也會是我們未來先進碳材料一個發展
[3092.18-3093.20] 的一個
[3093.46-3095.00] 另外一個動力之一
[3097.04-3097.56] 好
[3097.82-3101.14] 第二位是有個這邊有提到了
[3101.40-3104.48] 美國禁止中國出口的負極材料後
[3104.78-3106.32] 對於公司影響如何
[3107.84-3111.18] 最近這是美國有對中國
[3111.68-3112.72] 的負極材料有
[3112.96-3116.30] 有課一個相當大一個反警消的
[3116.56-3118.08] 700多%吧我忘記了
[3119.88-3122.18] 那對公司當然是一個有利的
[3122.96-3124.48] 在這邊
[3125.76-3128.32] 我先釋放一點點訊息就是
[3128.84-3131.66] 我們有北美的項目在執行中
[3132.16-3134.48] 那但是細節的部分目前
[3134.78-3136.82] 還不方便去透露
[3139.12-3142.20] 第三個是有關和和酷這邊提到的
[3142.46-3144.76] 第一季的產品組合
[3149.12-3154.48] 第一季的部分我們沒交油的產品達到了57%
[3154.74-3156.28] 57.3%
[3156.80-3159.10] 輕油產品25.7%
[3159.60-3160.64] 焦炭
[3160.88-3163.20] 碳材料產品8.9%
[3164.78-3167.08] 焦炭產品是6.6%
[3170.40-3174.50] 那另外下一位這個是提到
[3174.76-3177.32] 中國大陸的本報價持續下滑
[3177.58-3178.86] 利差也持續縮短
[3179.12-3181.92] 對我們本的影響預計會持續多久
[3182.18-3184.48] 那目前台灣中華市場有好轉機價
[3186.28-3186.80] 第一個
[3187.30-3189.36] 我們的本因為國內的本
[3189.86-3192.68] 是不足所以我們的本全部
[3193.44-3194.48] 銷售沒有問題
[3194.78-3200.16] 但是因為我們的本的一個報價是跟著國際的行情在走
[3200.92-3203.74] 所以如果國際的
[3204.00-3207.58] 本價格下滑當然對我們會是有影響
[3208.08-3211.16] 那但是對中碳而言
[3211.92-3215.52] 我們的輕油我們的上游的供應的部分
[3216.02-3220.64] 事實上我們也是跟國際的本價是做連結的
[3220.88-3223.70] 所以這個部分就是說
[3223.96-3224.48] 這個部分就是說
[3224.78-3227.84] 國際本價下跌我們產品
[3228.10-3231.18] 產品會下跌但是我們的原料也會跟著下跌
[3231.44-3234.50] 所以相對的影響不是那麼大
[3235.28-3236.80] 那我們擔心的是說
[3237.32-3239.62] 如果他是一個
[3239.88-3241.92] 下滑的一個趨勢的話
[3242.18-3243.72] 我們有可能會拿到
[3243.98-3245.76] 比較高價的一個本原料
[3246.02-3247.04] 然後產品
[3247.30-3248.58] 出貨的時候就會比較
[3248.84-3251.14] 低價這樣子對於毛利率是有影響
[3251.66-3253.96] 但是未來這個趨勢不會一直往下滑
[3254.52-3257.60] 所以他是會下滑也會上升
[3257.84-3260.40] 但上升的情況下我就有機會拿到
[3260.92-3264.24] 便宜的本原料然後賣到比較高價的一個本產品
[3266.04-3268.60] 那未來的一個議題
[3270.14-3271.68] 我們剛提到的
[3272.70-3276.28] 東美貿易戰可能會對於這邊的影響比較大
[3277.04-3282.94] 先前整個東美的關稅戰很嚴重的那個時候
[3283.44-3284.48] 亞洲的本
[3284.78-3288.88] 沒辦法賣到北美去所以價格下滑的非常嚴重
[3289.12-3292.72] 達到了大概650塊美金好像一個低點
[3293.48-3294.76] 那這兩個
[3295.28-3296.80] 這
[3297.06-3298.60] 東美
[3299.36-3301.92] 和緩了一些之後那本價就馬上
[3302.18-3302.70] 回彈
[3302.96-3305.00] 達到了750美元不過
[3305.26-3307.30] 整個景氣還是不是
[3307.56-3309.86] 那麼強最近又有下跌了一些
[3310.88-3314.48] 那對於整個本價第一個我們剛提到的我的本
[3314.78-3315.80] 全部去化沒問題
[3316.06-3316.56] 然後
[3317.08-3322.20] 我的原料也會跟本的一個價格去聯動所以
[3322.46-3324.76] 對我的毛利影響其實不是那麼大
[3325.78-3331.68] 那當然本價在高檔的話當然我們的利差這些對我們公司是比較有利的
[3332.70-3334.48] 對於未來的部分
[3334.74-3339.10] 可能會暫時在這個階段去一個波動吧
[3339.60-3340.88] 那
[3341.40-3343.44] 情況會不會好轉還是看
[3343.70-3347.54] 貿易戰的結果對全球景氣的影響
[3347.80-3351.12] 那特別中國的景氣是不是有能夠起來
[3351.38-3352.66] 因為他那邊的一個
[3354.20-3355.48] 去化量是最大的
[3355.72-3361.62] 他那邊的一個石化產品的一個量那麼大他要是不能夠有效的
[3361.88-3364.94] 他如果是有效的能夠去化的話那本價就會有
[3365.20-3367.24] 一個明顯上揚的趨勢
[3369.56-3373.40] 好最後一個題目是有關於我們石墨化二期產量是會發生的問題
[3373.64-3375.24] 那現在的情況是如何放量
[3375.48-3377.54] 目前的一個狀況就是
[3377.80-3383.42] 我們前面提到的復席材料在我們第一季包括到第二季可能狀況都不是很好
[3384.20-3387.26] 那位期是在第3季下半年開始
[3387.52-3390.08] 才會有比較明顯的一個提升所以這邊
[3390.60-3391.62] 目前
[3392.12-3392.90] 石墨化二期
[3393.16-3398.28] 幾個石墨化爐都在試車都有在做測試
[3398.78-3401.60] 那至於整個放量情形還不是很理想
[3402.62-3403.40] 那但是
[3403.70-3405.24] 現階段我們
[3405.48-3409.58] 在做的就是我們會有一些石墨電極的一個項目
[3409.84-3414.96] 來做一個加工包括代工這樣的一個狀況
[3415.22-3417.78] 那是目前在整個
[3418.04-3421.10] 比較有空檔的時候我們會在做這方面的一個處理
[3421.88-3423.92] 那這邊也是
[3424.94-3430.84] 其實也是美國那邊對於中國的一個石墨電極有
[3431.34-3433.14] 請消的一個控訴
[3433.44-3435.48] 就讓我們有這樣的一個
[3435.74-3438.56] 一個代工加工處理的一個機會
[3439.08-3440.10] 那最近
[3440.36-3445.98] 日本也對中國的一個電極也做了一個這樣的一個反請消的一個控訴
[3446.76-3452.64] 所以我們預期也是會有更多的一個項目是在我們這邊去做一個
[3453.40-3455.46] 加工代工的一個處理
[3455.72-3457.24] 那這邊是我們在
[3457.50-3460.06] 目前石墨化爐比較有空間的時候
[3460.32-3463.14] 來做一些提高它產能利用率的一個做法
[3464.20-3465.50] 就進行貼揚 credits
[3465.74-3466.50] 那是 duda 手每天的一個
[3466.76-3467.80] 一天我都 Aphrodisiac 的附近
[3468.06-3469.58] 所以它絕對不會 cozy
[3470.10-3491.60] 那 understanding
[3492.62-3493.14] regime
[3493.14-3495.36] 以上所有投资先进的宝贵意见
[3495.36-3497.34] 那也谢谢副总的说明
[3497.34-3498.10] 谢谢副总
[3498.10-3499.24] 也非常谢谢大家
[3499.24-3499.70] 谢谢
[3499.70-3500.96] 好
[3500.96-3502.66] 今天中碳的
[3502.66-3503.92] 是
[3503.92-3505.58] 副总也端午节快乐
[3505.58-3508.80] 那今天的中碳线上法说就到这边结束
[3508.80-3510.00] 再次感谢大家
[3510.00-3510.48] 谢谢
[3510.48-3511.04] 拜拜
[3511.04-3511.84] 谢谢
[3511.84-3513.14] 拜拜
