[0.00-2.00] Yagio 第一季度的结果
[2.00-4.00] 大家好,大家早上好
[1866.62-1870.62] 这也有很好的进步。
[1870.62-1872.62] 这也有很好的进步,
[1872.62-1874.62] 也将在连续的时间中,
[1874.62-1876.62] 会有更多的进步,
[1876.62-1877.62] 也将有更多的进步,
[1877.62-1878.62] 也将有更多的进步,
[1878.62-1880.62] 但在这些方面,
[1880.62-1882.62] 我们将进步得到的,
[1882.62-1883.62] 正如预期的情况下,
[1883.62-1884.62] 这一年,
[1884.62-1885.62] 我们将有很大的进步,
[1885.62-1886.62] 也将有很大的进步,
[1886.62-1887.62] 在货币方面。
[1887.62-1888.62] 在货币方面。
[1888.62-1890.62] 在货币方面。
[1890.62-1891.62] 好的,谢谢。
[1891.62-1892.62] 所以,您是否同意,
[1892.62-1895.62] 这次的项目将有更多的
[1895.62-1897.62] 货币关系的联系,
[1897.62-1899.62] 在未来的几个季度中,
[1899.62-1900.62] 这次的项目将有更多的联系,
[1900.62-1901.62] 在未来的几个季度中,
[1901.62-1902.62] 这次的项目将有更多的联系,
[1902.62-1903.62] 这次的项目将有更多的联系,
[1903.62-1905.62] 还是维持着吗?
[1905.62-1908.62] 是,我们继续继续,
[1908.62-1911.62] 就像我们的任何公司,
[1911.62-1914.62] 我们的货币更新
[1914.62-1918.62] 是我们的最高优势。
[1918.62-1920.62] 我们的维持着的联系
[1920.62-1921.62] 是没有其他不同的。
[1921.62-1922.62] 所以,我会说,
[1922.62-1924.62] 我们在这12个月内
[1924.62-1929.62] 有很大的增益。
[1929.62-1931.62] 现在,进步前,
[1931.62-1932.62] 我们将有更多的利润,
[1932.62-1933.62] 我们将有更多的利润,
[1934.62-1935.62] 但我们的衡量将多比前三yan
[1935.62-1937.62] Our new stock will continue
[1937.62-1939.62] 仍然会在iate
[1939.62-1962.62] 我们所做的收入也会亏低 Johann
[1962.62-1966.62] 您能否提供您的CAPEX指示?
[1966.62-1969.62] 这些问题可能更适合Eddie。
[1969.62-1975.62] 我不知道我会否有整年的指示,
[1975.62-1980.62] 但是在第一季度,我们花了约40亿美元。
[1980.62-1985.62] 我认为这一年的CAPEX会更加注重生产,
[1985.62-1990.62] 以及某些项目的那种风格。
[1990.62-1996.62] 所以我认为这是我们目前看到的最佳选择,
[1996.62-2000.62] 但是我没有整年的CAPEX指示。
[2004.62-2005.62] 明白。
[2005.62-2013.62] 所以我认为,根据您现在有的非常多元素的阔线,
[2013.62-2019.62] 现在全球上没有任何人计划将在未来的时期建造工厂。
[2019.62-2020.62] 是的。
[2020.62-2022.62] 但是现在,
[2022.62-2027.62] 根据现时的现实政治和选择,
[2027.62-2031.62] 我们现在的情况很难改变。
[2034.62-2035.62] 明白。
[2035.62-2036.62] 谢谢。
[2036.62-2041.62] 我们再来看看您的商业,
[2041.62-2046.62] 正在被传输的原则和优惠品。
[2046.62-2048.62] 在上个季度,
[2048.62-2049.62] 您们提到,
[2049.62-2054.62] 这两个项目的BP比率达到1,
[2054.62-2055.62] 或超过1。
[2055.62-2061.62] 这是您们第一次看到的。
[2061.62-2062.62] 那么,
[2062.62-2067.62] 现在我们在两个月之后有什么更新吗?
[2070.62-2073.62] 我们认为我们能保持这个速度。
[2073.62-2076.62] 目前我们看到的BP比率,
[2076.62-2081.62] 都有这个电向少一点,
[2081.62-2084.92] 但是他们明显认为一 Jun projekt是 вижу了这个历史过去的 było数个月概率,
[2084.92-2091.62] SO等每一天在这aire持续过来,
[2091.62-2093.62] 算得 은,
[2093.62-2094.78] 地址,
[2094.78-2098.08] 以连续线比率,
[2098.08-2100.88] 权盘和电発线平均质量100%,
[2100.88-2103.06] 当然所有也只有2440 nước礼 créd的看� besonders东西,
[2103.06-2104.62] 而你看在端方发布的事件,
[2104.62-2112.62] 在其他地区的预防,但中国的商业有什么预测的颜色?
[2114.62-2123.62] 我们看中国市场从不同角度的角度看。
[2123.62-2126.62] 我们有不同的角度看。
[2126.62-2130.62] 第一是我们的地区频道。
[2130.62-2135.62] 我们有一个庞大的地区传输者联系在中国。
[2135.62-2141.62] 我们也有很多的EMS的角度,
[2141.62-2147.62] 在AI上关系的设备中建立的。
[2147.62-2155.62] 这对于电脑、筒带、手机、传输器等行为有益。
[2156.62-2162.62] 我们也有一个EV的级别,
[2162.62-2168.62] 在很多地区的玩家中地区的生产。
[2168.62-2177.62] 这对很多品牌有益。
[2177.62-2182.62] 然后我们有企业性和更多的消费者。
[2182.62-2185.62] 我们看中国的发展,
[2185.62-2189.62] 我们看到中国在最后一年,一年半的发展。
[2189.62-2193.62] 我们看到所有这些部件都很合作。
[2193.62-2201.62] 地区的传输频道在前几年做得不太好。
[2201.62-2204.62] 但在去年,它有很大的增长,
[2204.62-2207.62] 它开始在Q1,跟同一种趋势。
[2207.62-2210.62] 所以,目前,我必须说,
[2210.62-2213.62] 中国的企业的成长,
[2213.62-2218.62] 至少是在我们的身上,
[2218.62-2221.62] 在我之前提到的所有角度中,
[2221.62-2224.62] 在全球频道中,
[2224.62-2226.62] EV的级别,
[2226.62-2228.62] 可能在工业方面也不太大,
[2228.62-2229.62] 但在中国,
[2229.62-2231.62] 我们做的不是很大的一部分。
[2231.62-2237.62] 而绝对是AI、手机、手机笔、SSD、
[2237.62-2239.62] 这些传输器的传输度非常强。
[2239.62-2241.62] 所以,在Q1,
[2241.62-2243.62] 他们都在做得很好的,
[2243.62-2245.62] 其实,我们都在做得很好的。
[2247.62-2248.62] 谢谢你,
[2248.62-2249.62] 对不起,
[2249.62-2250.62] 我刚才不太明白,
[2250.62-2252.62] 但是在Q2的指导上,
[2252.62-2255.62] 从一个分析的角度来看,
[2255.62-2258.62] 您有什么方法,
[2258.62-2260.62] 可以帮助我们,
[2260.62-2263.62] 在科技方面,
[2263.62-2265.62] 在多种程度上,
[2265.62-2269.62] 哪些传输器会比其他传输器更好,
[2269.62-2270.62] 比如MLCC,
[2270.62-2272.62] 抵抗器,
[2272.62-2275.62] 哪些传输器会比其他传输器更快?
[2275.62-2277.62] 对于Q2来说。
[2277.62-2281.62] 我可以说,
[2281.62-2283.62] 我们的产品,
[2283.62-2285.62] 例如Tantalum,
[2285.62-2287.62] 特别是Tantalum,
[2287.62-2289.62] 在所有的应用中使用的Tantalum,
[2289.62-2291.62] 它们的运作速度,
[2291.62-2296.62] 预期会继续做得很好的。
[2296.62-2298.62] 所以,我们的产品,
[2298.62-2300.62] 我们的产品,
[2300.62-2301.62] 它们的使用程度,
[2301.62-2303.62] 在很多应用中使用的程度上,
[2303.62-2306.62] 所以当您想起MLCC的抵抗器,
[2306.62-2309.62] 我们没有触碰到任何一个部分。
[2309.62-2312.62] 所以,如果您想要,
[2312.62-2315.62] 一个相当的,
[2315.62-2317.62] 正确的答案,
[2317.62-2318.62] 我会说,
[2318.62-2320.62] 就像Eddie在他的开头的说明中提到的,
[2320.62-2322.62] Tantalum的抵抗器,
[2322.62-2324.62] 和MLCC的传输器,
[2324.62-2326.62] 他们可能会看到,
[2326.62-2328.62] 在Q2的一些产品中,
[2328.62-2329.62] 比如,
[2329.62-2330.62] 环境,
[2330.62-2331.62] 整体,
[2331.62-2332.62] 和感应器,
[2332.62-2334.62] 可能会有稍微少,
[2334.62-2341.62] 因为它们的项目。
[2341.62-2342.62] 明白,谢谢。
[2342.62-2344.62] 这是一个很
[2344.62-2347.62] 从地图角度的看法,
[2347.62-2349.62] 或看法,
[2349.62-2351.62] Q2的运作速度,
[2351.62-2355.62] 应该是相当相似的,
[2355.62-2356.62] 例如,
[2356.62-2358.62] 中国可能会做得更好,
[2358.62-2360.62] 在Q2的情况下,
[2360.62-2363.62] 对于欧洲或其他地区来说。
[2363.62-2365.62] 我认为是这样的,是的。
[2365.62-2367.62] 明白,谢谢。
[2367.62-2369.62] 我们再来看看,
[2369.62-2371.62] Tantalum的价格调整,
[2371.62-2373.62] 这是一个很大的,
[2373.62-2375.62] 第二季的资金指导,
[2375.62-2376.62] 对于这个领域,
[2376.62-2378.62] 是否有什么变化?
[2378.62-2379.62] 是的,
[2379.62-2380.62] 我们在第二季的领域,
[2380.62-2381.62] 我们有一个很大的,
[2381.62-2382.62] 很大的,
[2382.62-2383.62] 很大的,
[2383.62-2384.62] 很大的,
[2384.62-2385.62] 具体的领域是如何?
[2386.62-2387.62] meteoro,
[2387.62-2389.62] 所以 ammunition,
[2389.62-2390.62] 我们就要经贸。
[2392.62-2393.62] 好的.
[2393.62-2394.78] чтобы做到一个豐富的
[2394.78-2395.62] 优化。
[2395.62-2397.62] 这里我再调和一下,
[2397.62-2398.62] 我仅可以要出来,
[2398.62-2411.62] 如果你们想要有 remove 。
[2411.62-2412.62] 那我们再来看看,
[2412.62-2413.62] 是吴旻 6000,
[2413.62-2416.62] 我们很高兴有这个方式
[2416.62-2419.62] 但是这种价格调整
[2419.62-2422.62] 并不是一个
[2422.62-2425.62] 兼顾性的调整
[2425.62-2428.62] 所以您所看到的增长
[2428.62-2431.62] 主要是用量来调整
[2433.62-2435.62] 明白了,谢谢
[2435.62-2438.62] 您的第二季预算
[2438.62-2441.62] 是什么
[2441.62-2444.62] 我们看到了很好的
[2444.62-2446.62] OP margin 增长
[2446.62-2448.62] 和 GM
[2450.62-2452.62] 我们能否预期
[2452.62-2454.62] 相似的OP margin
[2454.62-2456.62] 增长
[2456.62-2458.62] 对不起,OP margin
[2458.62-2460.62] 在第二季预算上
[2460.62-2462.62] 增长,所以OP margin
[2462.62-2464.62] 增长比增长增长高
[2464.62-2466.62] 这是我们能否预期的
[2466.62-2468.62] 我想在最好的指导中
[2468.62-2470.62] 我们可以看到
[2470.62-2472.62] 我们看到的预算
[2472.62-2473.62] 在一季之内
[2473.62-2475.62] 会有稍微的增长
[2475.62-2477.62] 所以我们会看到
[2477.62-2479.62] 更多的正确的数字
[2482.62-2485.62] 明白了,谢谢
[2486.62-2488.62] 然后,有一个问题
[2488.62-2490.62] 关于购物
[2490.62-2491.62] 那么,你知道
[2491.62-2493.62] 多少购物
[2493.62-2495.62] 我认为购物日
[2495.62-2496.62] 你知道,什么时候
[2496.62-2497.62] 在结束的一天之内
[2497.62-2499.62] 你知道,我们要
[2499.62-2501.62] 在下期之后
[2501.62-2503.62] 要怎么预计购物日
[2503.62-2504.62] 我认为
[2504.62-2506.62] 在第一季之后
[2506.62-2509.62] 我们大概要在127天之内
[2509.62-2511.62] 比起在四季前的
[2511.62-2513.62] 124天到125天之内
[2513.62-2515.62] 我认为
[2515.62-2517.62] 在第二季之后
[2517.62-2519.62] 应该会很稳定
[2519.62-2520.62] 好的,谢谢
[2520.62-2521.62] 谢谢
[2521.62-2522.62] 谢谢
[2522.62-2523.62] 谢谢
[2523.62-2524.62] 谢谢
[2524.62-2525.62] 谢谢
[2525.62-2526.62] 谢谢
[2526.62-2527.62] 谢谢
[2527.62-2528.62] 谢谢
[2528.62-2529.62] 谢谢
[2529.62-2530.62] 谢谢
[2531.62-2532.62] 谢谢
[2536.62-2537.62] 谢谢
[2537.62-2538.62] 谢谢
[2545.62-2548.62] 谢谢
[2548.62-2550.62] 谢谢
[2556.62-2557.62] 谢谢
[2557.62-2566.62] 很难认为,当我们与他们谈论时,我并不觉得有一个自然的决定,
[2566.62-2572.62] 以防止大量的大量的核心成本在核心成本的准备中加速。
[2572.62-2574.62] 可能有些,但这只是最少的。
[2574.62-2581.62] 我们与全球的传播商业所看到的特别的动力,
[2581.62-2589.62] 主要是因为在这两年内,他们在这种谈论中,
[2589.62-2594.62] 他们现在将被判决为更健康的产品,
[2594.62-2599.62] 他们更有信心在结束市场的销售上,
[2599.62-2603.62] 因此他们现在开始向更多的美元提供,
[2603.62-2606.62] 以为他们能够提供更多的美元,
[2606.62-2608.62] 这很棒。
[2608.62-2612.62] 我们都在等待这一刻。
[2612.62-2616.62] 这次的增长很慢,但很稳定,
[2616.62-2620.62] 我认为这是正确的方法。
[2620.62-2622.62] 而对于亚洲的部分,
[2622.62-2624.62] 这次的增长更强烈,
[2624.62-2626.62] 正如我所说,它在一年前开始。
[2626.62-2628.62] 而对于全球的传播商业来说,
[2628.62-2632.62] 这一季是他们的第一季度的增长,
[2632.62-2633.62] 相比起历史上的。
[2633.62-2637.62] 所以我觉得这对于增长的增长有点不太相关。
[2640.62-2642.62] 明白,明白,谢谢。
[2642.62-2649.62] 而在您的...
[2652.62-2658.62] 对不起,在您在中国的能力上,
[2658.62-2660.62] 我们有一个问题,
[2660.62-2668.62] 您可以告诉我们您对中国的产业的使用率是什么吗?
[2668.62-2671.62] 您可以与我们分享一下吗?
[2671.62-2677.62] 因为我们的使用率,
[2677.62-2680.62] 我们在很多的产业中,
[2680.62-2682.62] 我们有很多的产业,
[2682.62-2683.62] 我们有很多的产业,
[2683.62-2685.62] 所以在全球的使用率上,
[2685.62-2687.62] 我可以给您的一些评价。
[2687.62-2689.62] 您可以与我们分享一下您的使用率。
[2689.62-2691.62] 我们的使用率是65%,
[2691.62-2694.62] 我们的产业是75%。
[2694.62-2700.62] 明白,明白,谢谢。
[2700.62-2706.62] 然后,关于能力上的问题,
[2706.62-2709.62] 您在美国有能力吗?
[2709.62-2712.62] 现在,如果有,
[2712.62-2716.62] 我们可以知道哪个产业的产业是什么?
[2717.62-2719.62] 非常非常限制,
[2719.62-2721.62] 只是一个模型。
[2721.62-2723.62] 所以在美国,
[2723.62-2725.62] 基本上,这是在墨西哥,
[2725.62-2727.62] 而不是在美国。
[2734.62-2738.62] 明白,明白,谢谢。
[2742.62-2746.62] 好的,所以我觉得这就是我们所持有的所有问题。
[2747.62-2776.62] dessgaf
[2777.62-2787.62] 我们看到没有单级增长,我们也期望增加市场额和行业额的增长。
[2787.62-2793.62] 现在,从市场上来说,对于订购,这是支持的,这是一个好的销售指示。
[2793.62-2797.62] 然后,价值方面,所以,再一次,这是非常非常流畅的。
[2797.62-2803.62] 所以,如之前所说,我们认为这是可行的。
[2803.62-2811.62] 但是,如何这些影响到全球经济,我们需要非常小心地盯紧。
[2811.62-2814.62] 谢谢您的参与。
[2814.62-2819.62] 谢谢David,谢谢大家今天参与这个节目。
[2819.62-2823.62] 这就结束了我们的节目,我们下期再见。
[2823.62-2826.62] 谢谢David,Eddie,和 Claudio。谢谢你们的时间。
[2827.62-2828.62] 谢谢。
[2828.62-2831.62] 谢谢Havan,谢谢。
[2831.62-2833.62] 谢谢。
