[0.00-4.40] 我們接下來這一場是邀請到軍心國際
[1804.86-1809.20] 忽然掉很多或什麼東西我們想我們看法是不會啦
[1809.20-1813.04] 也是因為這樣子所以我們越南廠才敢
[1813.04-1814.32] 真正下去擴廠
[1814.32-1819.20] 我說其實各位如果以我們公司如果觀察我們過去幾年我們的
[1819.24-1822.56] 資本支出這一塊其實都是相對蠻保守的
[1822.56-1828.46] 我們往往都是有相當的一個把握度的時候我們公司才會真正的去做擴展
[1828.46-1830.24] 或者是添購這些
[1830.24-1836.14] 機器設備這方面的資本支出
[1836.14-1838.18] 那第二個問題是因為
[1838.18-1841.00] 就機器人相關的意味
[1841.00-1843.30] 就是看一下沙灘的速度是
[1843.30-1846.12] 以後的效果像在沙灘的
[1846.12-1848.16] 運用的品項和效果的特點
[1848.16-1849.20] 都在講一下
[1849.24-1851.54] 那你會覺得說這個對於
[1851.54-1855.64] 貿易方面會不會比較好
[1855.64-1859.22] 也許我看進去就是說
[1859.22-1861.52] 原理那邊可能不是什麼品質
[1861.52-1862.80] 但是有方式的
[1862.80-1865.12] 機器人這邊是比較高的
[1865.12-1867.16] 那你會覺得說這個貿易
[1867.16-1869.46] 因為第四季也變貿易化了
[1869.46-1872.80] 那看進來QR Code去做這個方向
[1872.80-1875.10] 會有什麼方向
[1875.10-1879.20] 機器人這一個部分
[1879.20-1883.04] 主要就是看它的
[1883.04-1886.36] 每個月的一個生產的一個規模
[1886.36-1890.20] 因為它畢竟它有一些後端的一些設備是比較高
[1890.20-1890.98] 比較貴的
[1890.98-1892.26] 那折舊費用比較高
[1892.26-1893.80] 那如果說它的
[1893.80-1896.10] 當月或當季的一個
[1896.10-1898.14] 架動率相對比較差的話
[1898.14-1900.44] 毛利率就會有比較大的一個影響
[1900.44-1901.98] 那以我們目前
[1901.98-1905.06] 其實去年下半年這樣子的一個
[1905.06-1908.12] 營收規模來說跟這個出貨來看的話
[1908.12-1909.16] 這個部分的
[1909.16-1910.96] 毛利率都有
[1910.96-1913.76] 遠高於我們的一個平均毛利率以上
[1913.76-1915.82] 對
[1915.82-1918.64] 可能大概35到40%
[1918.64-1919.66] 那如果
[1919.66-1921.44] 你說如果再進一步再擴增
[1921.44-1923.76] 甚至有機會再往上一點
[1923.76-1926.82] 那如果看去年去過那個機器人站
[1926.82-1930.40] 或是今年去過那個站的
[1930.40-1932.72] 不夠在
[1932.72-1934.76] 什麼樣的訊息來看
[1934.76-1935.78] 等一下
[1935.78-1937.06] 就是能不能
[1937.06-1938.08] 分享一下
[1939.16-1941.46] Q1 Q2嗎
[1941.46-1942.48] 對
[1942.48-1944.28] 那有可能的區域界的
[1944.28-1945.82] 在你那時候
[1945.82-1947.10] 有看到過的
[1947.10-1948.38] 區域界的
[1948.38-1950.94] 以第一季來看
[1950.94-1954.00] 應該也大概在
[1954.00-1955.54] 6%到7%左右
[1955.54-1956.82] 7%左右
[1956.82-1958.10] Q4大概是
[1958.10-1960.66] Q4嗎
[1960.66-1962.20] 對Q4差不多
[1962.20-1966.56] 因為我們這一塊那個智能傳動大概有涵蓋三塊產品的
[1966.56-1969.12] 一個是齒輪研磨這一塊
[1969.16-1971.98] 最大的一塊是工業機器人這個部分
[1971.98-1974.80] 那另外一塊是齒輪研磨的部分
[1974.80-1975.82] 那工業機器人
[1975.82-1979.14] 齒輪就是剛說的這些用在那些
[1979.14-1980.94] 機器人手臂用的
[1980.94-1984.52] 那齒輪研磨的產品是用在一些自動化設備
[1984.52-1985.28] 裡面的
[1985.28-1987.60] 那我們主要的客人有包括
[1987.60-1988.88] 有
[1988.88-1990.92] 比較大的是歐洲那邊的客人
[1990.92-1994.00] 那因為前兩年他們的訂單狀況比較不好啦
[1994.00-1997.06] 當然主要有受到歐洲整個景氣不是那麼好
[1997.06-1998.34] 所以他那一塊
[1998.34-1999.12] 其實齒輪研磨的部分是比較好
[1999.16-2002.48] 齒輪研磨這一塊前兩年都不是表現不是很好
[2002.48-2004.54] 然後再來一塊就是斜波減速器
[2004.54-2007.60] 那斜波減速器的部分佔比是相對很少
[2007.60-2010.42] 因為去年實際最重出貨也大概
[2010.42-2012.98] 400多萬台幣
[2012.98-2014.00] 然後
[2014.00-2016.32] 所以
[2016.32-2021.18] 去年第四季來講這三個產品加起來就剛看的那個6.7左右
[2021.18-2023.48] 那以第一季來看的話
[2023.48-2027.06] 成長的部分看起來是齒輪的部分會成長
[2027.06-2029.12] 那斜波的部分應該也會成長
[2029.16-2031.20] 那
[2031.20-2034.28] 但是齒輪研磨的部分就差不多而已
[2034.28-2035.82] 可能大概10坪而已
[2035.82-2039.14] 所以這一塊可能佔比來說的話
[2039.14-2047.60] 目前看起來可能會比第四季稍微高一點點
[2047.60-2048.88] 我再請問一下
[2048.88-2053.48] 如果以我們公司的產品用品當財務長報告的這個營收比重
[2053.48-2056.30] 電動啊還有原理工具智能傳動
[2056.30-2058.08] 網路機器這幾大類來看
[2058.08-2059.12] 我們毛利率的
[2059.16-2061.72] 一個區間大概是會在
[2061.72-2063.26] 剛有提到這個
[2063.26-2065.56] 智能的部分大概遠高於平均嗎
[2065.56-2069.40] 其他的大概是在怎樣的一個區間
[2069.40-2072.48] 一般來講我們會用所謂的產品別來區分
[2072.48-2074.78] 不會用應用領域別啦
[2074.78-2079.64] 因為像我電動工具裡面就可能有閃齒輪、直齒輪、粉末眼睛、齒輪相都有
[2079.64-2084.24] 那其實不同的產品因為它的加工工序或什麼東西差別非常大
[2084.24-2087.84] 所以一般來講我們在分析我們內部在分析網路機都用產品別
[2087.84-2089.12] 例如說閃齒輪
[2089.16-2090.96] 大概多少直齒大概多少
[2090.96-2093.00] 那你來說的話閃齒輪
[2093.00-2095.04] 那因為我們都是做客製化的產品
[2095.04-2099.14] 那每一顆齒輪的大小加工的難易度等等都不一樣
[2099.14-2100.68] 所以它的成本就不一樣
[2100.68-2102.72] 再加上它面臨的競爭也不一樣
[2102.72-2107.08] 所以我們在報的時候的那個能抓的利潤也會不一樣
[2107.08-2110.16] 所以這都會影響它的價格跟利潤
[2110.16-2113.48] 那以Range來說的話閃齒的
[2113.48-2119.12] 閃齒跟直齒的毛利率大概從28%到40%都有
[2119.16-2124.02] 那平均來講大概在33到35之間
[2124.02-2129.14] 那如果是精密五晶件的部分的話大概就
[2129.14-2131.44] 因為它品相稍微沒那麼多
[2131.44-2134.78] 所以它的毛利率區間可能就在三成到四成之間
[2134.78-2137.84] 那毛利率的話也大概在35%
[2137.84-2139.38] 精密五晶件的部分
[2139.38-2140.92] 那如果是
[2140.92-2147.06] 粉末也晶齒輪的部分那因為粉末也晶齒輪的它本身就是要提供客人一個CP值更高的一個替代的部分
[2147.06-2148.86] 那如果是粉末也晶齒輪的部分那因為粉末也晶齒輪的它本身就是要提供客人一個CP值更高的一個替代的部分
[2149.16-2149.92] 那如果是粉末也晶齒輪的部分那因為粉末也晶齒輪的部分
[2149.92-2152.48] 全鋼以外的一個solution方案
[2152.48-2157.10] 所以它的基本上它就是用成型機去大量生產
[2157.10-2161.70] 所以它的價格也比較低那毛利也會比較低
[2161.70-2166.32] 一般來講它的毛利率區間可能在兩成20%到15%左右
[2166.32-2169.12] 那如果是齒輪箱的部分的話
[2169.12-2171.18] 它的毛利又更低了
[2171.18-2174.00] 但是它的價格單價的話會比較高
[2174.00-2178.86] 那主要毛利率大概會介於15%到20%之間
[2178.86-2179.12] 大概是這樣
[2179.12-2179.14] 大概是這樣
[2179.14-2181.44] 另外我們的客戶
[2181.44-2184.52] 因為像現在關稅的影響度比較大
[2184.52-2186.56] 我們現在出貨的比重
[2186.56-2190.92] 以歐美或者是亞洲或者是區域或國家來看的話
[2190.92-2193.74] 大概是這樣的分布
[2193.74-2198.08] 你如果看我們年報或者是財報後面的備注事項
[2198.08-2199.62] 那個會比較不準
[2199.62-2202.18] 那個你去看亞洲區可能是八成以上
[2202.18-2204.48] 但是因為那個是以我們直接出
[2204.48-2206.28] 但是你現在要問的應該不是這個
[2206.28-2208.84] 你應該是要問中端嘛
[2208.84-2209.10] 對不對
[2209.10-2210.12] 中端到底是
[2210.12-2211.14] 我賣給客人
[2211.14-2213.20] 因為我們客人很多可能他
[2213.20-2214.98] 購廠都在亞洲
[2214.98-2218.32] 可是他的最終市場應該是在歐美
[2218.32-2220.36] 所以你要問的是最終嗎
[2220.36-2223.18] 那最終的部分我們只能用推估啦
[2223.18-2224.20] 因為客人
[2224.20-2226.76] 坦白講我賣到他亞洲的組裝廠
[2226.76-2230.10] 他組完之後是有多少賣到歐洲賣到
[2230.10-2233.42] 美國或賣到世界各地區域坦白講我們沒有這個資訊
[2233.42-2235.98] 我們只能用推估的方式去
[2235.98-2237.00] 去倒算
[2237.00-2238.80] 大概有多少
[2238.80-2240.84] 那如果以這樣子來說的話
[2240.84-2244.68] 我們的電動工具跟圓鈴工具
[2244.68-2248.28] 大概他應該有大概接近六成左右
[2248.28-2250.84] 其實還是以美國市場為主
[2250.84-2251.86] 美美市場
[2251.86-2256.20] 那有兩成左右兩成到兩成五是歐洲
[2256.20-2258.76] 那再來其他的就是世界各國都有
[2258.76-2260.04] 因為我們
[2260.04-2262.36] 客人都是國際品牌客戶
[2262.36-2264.40] 所以像包括我們賣的
[2264.40-2267.22] 他們也有賣到什麼
[2267.22-2268.76] 中南美洲也有啊
[2268.80-2270.60] 東南亞啦或者日本啦
[2270.60-2271.62] 各地都有
[2271.62-2276.22] 那但是最大的市場還是我剛說的美國大概佔了將近六成
[2276.22-2279.56] 那歐洲的部分大概兩成到兩成左右
[2279.56-2282.36] 那其他的就是其他地方
[2282.36-2284.68] 如果關稅就進一步像
[2284.68-2287.24] 蘇美這邊的關稅進一步的提高
[2287.24-2289.80] 那我們雖然說客戶大部分在亞洲
[2289.80-2291.84] 但是中端客戶在美洲
[2291.84-2293.38] 對我們出口的
[2293.38-2296.70] 在我們這個下游客戶這部分的關稅
[2296.70-2298.76] 在這部分如果提高的話
[2298.80-2301.10] 我們對這部分的影響大概是怎樣
[2301.10-2305.96] 有機會轉嫁
[2305.96-2308.52] 這個問題我來回答一下
[2308.52-2311.60] 因為我們的客戶在
[2311.60-2314.68] 這個針對這些關稅議題啊
[2314.68-2317.48] 他跟我們的一個溝通
[2317.48-2319.80] 事實上不斷的溝通
[2319.80-2320.56] 我們
[2320.56-2322.10] 都知道
[2322.10-2323.88] 我舉個例好了
[2323.88-2324.92] 譬如說
[2324.92-2327.22] 我的最大我們的最大客戶
[2327.22-2328.76] 他在這個
[2328.80-2330.84] 中國
[2330.84-2332.12] 有這個
[2332.12-2334.94] 三十條生產線
[2334.94-2337.76] 在墨西哥有12條生產線
[2337.76-2340.06] 在越南有16條生產線
[2340.06-2343.14] 假設這是假設
[2343.14-2345.18] 請問
[2345.18-2348.00] 此輪是由中國出嗎
[2348.00-2350.30] 就是由我們公司出
[2350.30-2351.08] 那
[2351.08-2351.84] 請問
[2351.84-2353.38] 稅是
[2353.38-2354.92] 誰在課
[2354.92-2357.72] 所以說這一點才是我剛才
[2357.72-2358.50] 一開始
[2358.50-2360.54] 跟各位報告的
[2360.54-2364.64] 他們我們的客戶自己會去
[2364.64-2365.66] 平衡
[2365.66-2367.72] 自己會去算
[2367.72-2371.04] 如果他有競爭對手有可以
[2371.04-2372.06] 這個
[2372.06-2373.86] 那個要求降價的
[2373.86-2375.90] 像我們的產品
[2375.90-2378.46] 如果還有別人願意
[2378.46-2380.78] 降價來搶
[2380.78-2382.56] 那他稅再高
[2382.56-2384.10] 我們都會
[2384.10-2385.38] 面臨一個
[2385.38-2386.40] 遊失
[2386.40-2388.46] 可是對客戶來講
[2388.50-2389.52] 譬如說
[2389.52-2390.80] 他從
[2390.80-2393.10] 我們這邊珠海
[2393.10-2396.94] 買這個零件
[2396.94-2398.48] 他在東莞
[2398.48-2399.50] 組裝
[2399.50-2402.84] 出到美國
[2402.84-2405.14] 有稅的影響
[2405.14-2406.68] 如果
[2406.68-2408.46] 我們的客戶
[2408.46-2410.00] 從珠海
[2410.00-2411.80] 採購零件
[2411.80-2414.36] 送到墨西哥廠
[2414.36-2416.92] 組裝後再出到美國
[2416.92-2418.46] 有沒有稅的影響
[2418.50-2421.32] 不一定
[2421.32-2424.64] 他跟我們買出到越南
[2424.64-2427.72] 來到越南組裝再出到美國
[2427.72-2429.50] 有沒有稅的影響
[2429.50-2430.78] 不一定
[2430.78-2433.34] 所以說這個就是客戶他會
[2433.34-2435.14] 去衡量
[2435.14-2436.94] 他會去調節
[2436.94-2439.24] 他會去調節
[2439.24-2440.26] 這個稅
[2440.26-2444.36] 並不是取決於我們把我們的零件
[2444.36-2446.40] 直接送到美國
[2446.40-2448.46] 我們並沒有做這樣的
[2448.46-2450.76] 我們都是教導
[2450.76-2455.88] 他們分布在全世界各地包括中國東南亞
[2455.88-2458.70] 跟中南美洲
[2458.70-2461.26] 或是歐洲的組裝廠
[2461.26-2464.84] 那以上這樣的說明
[2464.84-2465.86] 不知道
[2465.86-2466.90] 可以
[2466.90-2468.18] 解答嗎
[2468.18-2470.74] 還是說還要再補充
[2470.74-2472.26] 我再補充一下好了
[2472.26-2473.80] 應該是說
[2473.80-2477.38] 其實關稅主要還是在於
[2477.38-2478.32] 看你怎麼應驗
[2478.32-2479.34] 那
[2479.34-2482.92] 第一個因為關稅是所有公司都會面臨的問題
[2482.92-2485.24] 那個別廠商他的
[2485.24-2489.08] 速度他營運的速度怎麼樣其實才是
[2489.08-2492.14] 是
[2492.14-2493.94] 會影響我們經營表現的
[2493.94-2495.22] 那
[2495.22-2497.00] 必須說就是說
[2497.00-2504.18] 相較於我們的一些競爭同業尤其是中國大陸這邊的一些競爭同業
[2504.18-2508.28] 我們會在越南廠其實是從19年就開始了
[2508.32-2510.12] 那這個起薪
[2510.12-2511.40] 其實就是
[2511.40-2512.42] 從18年
[2512.42-2513.44] 中美貨幣戰
[2513.44-2514.20] 開始
[2514.20-2515.48] 那客人就
[2515.48-2518.82] 希望他的主要供應商能夠配合他們的政策
[2518.82-2522.92] 到越南甚至墨西哥去設廠
[2522.92-2527.00] 其實我們也有被諮詢要不要去墨西哥
[2527.00-2529.06] 那我們設定去越南
[2529.06-2530.08] 我們是
[2530.08-2531.36] 那時候我們經營團隊
[2531.36-2532.38] 就判斷
[2532.38-2536.22] 這是非去不可不是選擇你就是必須要去啦
[2536.22-2538.02] 什麼時候去的問題啦
[2538.02-2541.10] 那既然要去的話我們認為這個應該是
[2541.10-2543.14] 儘早去越早去越好
[2543.14-2544.94] 所以其實在所有
[2544.94-2545.96] 我們客戶的
[2545.96-2548.00] 一些主要供應商我們算是
[2548.00-2549.28] 最早
[2549.28-2552.62] 就跑去越南決定去越南設廠
[2552.62-2555.42] 那尤其這種跨國的設廠其實
[2555.42-2558.50] 是非常辛苦的包括語言的問題啦
[2558.50-2563.10] 還有初期有很多的一些供應店因為越南當地的
[2563.10-2566.70] 你已經享受了中國大陸那個很
[2566.70-2567.98] 產業的那一種
[2568.02-2570.32] 周邊就有一些你的一些
[2570.32-2571.10] 供應商
[2571.10-2574.94] 或者是你一個模具壞了附近馬上就可以幫你修模
[2574.94-2577.50] 馬上明天就模具上去就馬上可以做
[2577.50-2578.78] 越南沒有
[2578.78-2580.30] 很多地方就是
[2580.30-2586.46] 找這個也沒有找這個也沒有那變成很多東西都要去開發或者是那初期很多東西都要
[2586.46-2587.98] 還是要從大陸
[2587.98-2589.02] 進去
[2589.02-2595.16] 包括我們的一家模具廠商我們去設了那個時候我們剛設廠也找了他要說服他過去
[2595.16-2597.20] 他一直到去年底
[2597.20-2597.98] 才終於去設廠
[2598.02-2600.32] 去那邊設了模具廠
[2600.32-2601.60] 那也開始在
[2601.60-2602.62] 服務我們
[2602.62-2605.96] 所以整個的供應店調整其實是慢的
[2605.96-2607.74] 那我必須說就是
[2607.74-2609.80] 軍心會有這些就是說
[2609.80-2612.62] 我們算是速度最快的
[2612.62-2613.64] 彈性最好的
[2613.64-2616.96] 我們在第一批在19年就決定要去我們第
[2616.96-2619.02] 19年的第四季去看了土地
[2619.02-2622.08] 馬上就先簽約用母公司先簽了一個備忘
[2622.08-2623.10] 那個
[2623.10-2627.98] 協議然後20年5月我們越南子公司設立正式簽那個土地買買
[2628.02-2629.04] 那個處理
[2629.04-2632.88] 因為是越南因為是共產國家他不是買土地他是算長期租賃
[2632.88-2633.90] 然後呢
[2633.90-2636.72] 第三季20年第三季我們就開始動工
[2636.72-2641.84] 然後在21年的本來第三季要完工但是因為第三季因為疫情的關係
[2641.84-2642.86] 延到
[2642.86-2644.14] 21年的第四季
[2644.14-2646.96] 一起廠房完工然後馬上投入生產
[2646.96-2650.04] 坦白講投入生產的初期
[2650.04-2651.58] 也沒什麼太多訂單
[2651.58-2653.10] 客人叫你過去
[2653.10-2655.42] 可是其實他移轉也沒那麼快
[2655.42-2657.98] 那再加上大家如果有時大家對我們這樣
[2658.02-2660.06] 我們的東西
[2660.06-2662.12] 就是都是客製化
[2662.12-2664.16] 打樣到量產
[2664.16-2666.98] 快要八九個月慢要一年半
[2666.98-2672.62] 所以中間坦白講22年23年就比較辛苦了那從財報大家可以看出
[2672.62-2677.48] 我們整個集團合併營收沒有增加但是多了一個工廠要壓
[2677.48-2680.30] 毛利率就表現不好嘛所以整個
[2680.30-2682.86] 又剛好碰到客人在做庫存調整
[2682.86-2687.98] 那一直到23年的下半年之後才慢慢的回升到24年正式大有一個比較大
[2687.98-2690.02] 大幅的一個成長
[2690.02-2691.82] 所以我必須要說就是說
[2691.82-2694.12] 相較於其他
[2694.12-2695.40] 供應其他
[2695.40-2697.70] 大陸那邊的一些同業
[2697.70-2700.26] 他們都比我們滿晚的至少
[2700.26-2701.80] 可能快兩年的時間
[2701.80-2703.86] 才決定要去
[2703.86-2704.62] 越南社長
[2704.62-2706.16] 才決定認為
[2706.16-2707.70] 必須走出去
[2707.70-2710.00] 這個就是我們速度比他快
[2710.00-2712.82] 坦白講這個就是也是我們
[2712.82-2715.12] 因為這樣子的一個先發的一個就是我
[2715.12-2717.16] 我認為這一兩年我們還
[2717.16-2717.94] 這樣的遊戲
[2717.98-2719.26] 還是存在的啦
[2719.26-2721.30] 對
[2721.30-2721.82] 大概
[2721.82-2722.34] 那
[2722.34-2724.38] 針對這一塊我必須說
[2724.38-2727.70] 這個當然我們這樣的營業其實包括關稅或什麼
[2727.70-2729.76] 其實都會有這樣的一個
[2729.76-2731.30] 讓客人
[2731.30-2733.60] 就是說因為這些國際品牌客人
[2733.60-2734.88] 他怎麼樣去
[2734.88-2737.94] 建立他的一個供應店體系
[2737.94-2741.02] 把原本他可能大部分的產能都在中國大陸
[2741.02-2742.56] 他要把它調整成
[2742.56-2747.16] 中國降低然後被中國地方要提升下來
[2747.16-2747.68] 包括
[2747.68-2749.22] 新的可能包涵
[2749.22-2750.50] 關稅的議題
[2750.50-2753.18] 包含這個所謂的風險性
[2753.18-2755.88] 你現在是看得到是關稅的議題
[2755.88-2757.40] 那你難保哪一天
[2757.40-2760.48] 除了關稅以下可能又其他的一個問題存在
[2760.48-2763.30] 所以等於是客人也在再見
[2763.30-2766.88] 建立他的一個供應店體系的強韌度跟彈性
[2766.88-2768.16] 那我認為
[2768.16-2770.72] 軍心在這一點
[2770.72-2772.26] 就是要打進
[2772.26-2775.58] 我們要服務好這些國際品牌客戶就是必須做好這一點
[2775.58-2777.64] 我們也認為相較於其他同業
[2777.68-2783.68] 我們算是立足一個還相當有競爭的一個對峙上
