[0.00-2.64] 各位投資先進媒體朋友
[2191.64-2195.64] 所以純粹就會反應出來避險成本的下降
[2199.64-2202.64] 好請問哪一位先進還有提問的
[2202.64-2203.64] 提問的
[2203.64-2223.64] 你好群一頭信那這邊提問的點就是說因為川普的關稅政策關稅的這個狀況其實看起來它是一個手段
[2223.64-2237.64] 那目的看起來是加大各個區域包含歐盟日本韓國甚至台灣的台積電甚至美國企業像蘋果他們就是要承諾要投資美國
[2237.64-2253.64] 那這麼多的一個金額的部分的話不知道對於美元指數甚至我們國售的避險政策的長期會不會影響因為畢竟它承諾的投資基本上是未來短時間內
[2253.64-2268.64] 短時間則是說它在這個任內就是要達成的那任內達成這個數字都是重責幾千億的美金那這樣子的那個資金的這個流向會不會影響到我們國售的一個避險政策
[2268.64-2278.64] 那再來第二個問題是剛剛有提到說國售其實在第二季底的時候現金比例其實拉得蠻多的
[2278.64-2296.64] 那這一塊的話當然可以看出來說其實海外股的部分的部位減少蠻多的那當然但是這個現金的比例比較大可能也跟避險其實當台幣大幅升值的時候保證金忽然多出來蠻多
[2296.64-2301.64] 然後還有包含股息收入都增加蠻多
[2301.64-2318.64] 那這麼多的一個比例的部位的話因應未來的一個金融市場的部分這一些閒置的資金的比例在未來半年的一個情形比較可能會是往哪一個方向去加碼因應現在金融市場的一個波動
[2318.64-2319.64] 以上
[2326.64-2339.64] 老實說我們的避險策略其實對現在大家各國commitment到美國的投資我們沒有跟他有直接的關係啦
[2339.64-2353.64] 就是我們的避險策略我想我們還是動態維持在傳統避險就如同我之前講的大體上比較低的時候可能會低到甚至快55%以下可能50到55%
[2353.64-2364.64] 那比較高的時候可能會超過7成這樣子的一個動態調整還是在未來都會是我們的一個改正基本上不會變動
[2364.64-2375.64] 那會搭配替代避險去做這個這整個策略我們不會因為我們對台幣有特別的預期而去改變
[2375.64-2384.64] 但是我們會看市場引派出來的這些避險的成本到底適不適合去做有關
[2384.64-2395.64] 那當然因為現在的狀況如果說真的有這麼多flow理論上理論上還是有很多其他的因素
[2395.64-2403.64] 你要講的應該是說那這樣就有很多大家會去買美金嘛所以理論上美元指數就會上升
[2403.64-2415.64] 那如果真的這個情境產生的時候老實說對台灣的受險業是好事啦因為大家的外價準備金其實就會大幅的增加
[2415.64-2425.64] 那其實也是我們轉新是最大的目的就是說趁著這樣子的一個階段因為100%都要提存
[2425.64-2434.64] 那FSCAN就會比較多所以我們就可以一下子增加很多外價準備那可以留著以後因為外匯還是起起落落
[2434.64-2442.64] 那長期如果又有下一次的升值那就有足夠的營貸去做這個部分的避險
[2442.64-2455.64] 所以原則上我們不會因為去預期說美元指數升或貶然後去做這個去做speculation不會因為我們畢竟是在避險
[2455.64-2462.64] 所以避險實際上我們要考慮到的是對我們這整個匯率的避險的穩定性
[2462.64-2472.64] 那第二個就是現金我們確實目前的現金水位確實是比較是比較多目前整體的水準算是比較大的
[2472.64-2482.64] 那當然是從Liverday4月的解放日之後整個這等關稅開始實施之後的變化
[2482.64-2492.64] 我們就是以部分的這個現金水位增加確實是來自於外匯因為台幣大幅升值
[2492.64-2499.64] 所以以前在衍生運商品那個都是要付是cash outflow現在都變成cash inflow
[2499.64-2503.64] 所以現在的這個cash inflow很大部分是來自於這個部分
[2503.64-2507.64] 那當然有一部分我們也在風險部位也有做一些調整
[2507.64-2520.64] 那未來這些部分現金的增加我想還是照我剛剛講的原則上我們會以固定海外的固定收益的這個資產為主
[2520.64-2526.64] 那其他的風險性資產會隨著市場的狀況做機動性的調整
[2526.64-2538.64] 我想這個現金體的問題是一個很實際的問題也就是說當然現在還沒有最後白紙黑字的協議
[2538.64-2546.64] 但是從目前從川普所公佈的不管從中都從亞洲每個國家
[2546.64-2556.64] 每個國家我看好多國家都好幾千億美金的投資加上我們今天政府的金購預算也出來
[2556.64-2567.64] 像大筆的金市的採購再加上能源加上農產品的採購
[2568.64-2577.64] 所以這些金額基本上假設14年裡面全部要實現那對美金的需求確實是非常的非常的龐大
[2577.64-2588.64] 那這裡面比如像中東光投資都用照為單位用照美為單位來談的加上飛機的購入都非常的大
[2588.64-2600.64] 所以這個到底對未來三年多還有三年多的時間這麼龐大的對美投資這麼龐大的金市設備的採購
[2600.64-2610.64] 這麼龐大的飛機的採購這麼龐大的農業能源的採購這個確實對美元的影響我想這是值得去關注
[2611.64-2621.64] 所以就我們自己本身來講當然初步來看假設美元指數持續上漲台幣往下貶對我們外匯價格變動準備金70%
[2621.64-2631.64] 像剛剛因為先前談到的我們有些海外的債券評價因為台幣的增值所以上面數字縮水也都會得到修正
[2631.64-2645.64] 可是我總覺得說我們在看這個事情可能不能只是純粹看售險本身的避險部位還有因為匯兌的影響對portfolio本身數字的調整的影響
[2645.64-2656.64] 我覺得這個真的是值得我們投資團隊進一步來思考說假設這些都變成白紙黑字而且在未來三年半裡面真的都去實現
[2656.64-2662.64] 那我相信對於這整個資本市場對匯率市場影響是可以預期的
[2662.64-2673.64] 也謝謝你提醒我想我們會提醒我們子公司的投資團隊也要對這個事情深情的思維來做因應謝謝你
[2673.64-2676.64] 那還有沒有其他的先進要提問的
[2676.64-2679.64] 好假設沒有我們是先開放線上的提問來
[2682.64-2689.64] 線上有投資先進問說目前台幣債券及ETF的比重是多少
[2689.64-2694.64] 六月底的台幣計價ETF大體上跟之前也差不多
[2694.64-2698.64] 大概是差不多四千六百億左右
[2698.64-2703.64] 那佔我們整個投資金額大概是5.9%
[2703.64-2705.64] 差不多5.9%
[2707.64-2710.64] 那現在我們看到的這個數字是多少
[2710.64-2717.64] 四千六百億左右那佔我們整個投資金額大概是5.9%
[2717.64-2718.64] 差不多5.9%
[2722.64-2727.64] 有投資先進問到說double leverage ratio到124點
[2727.64-2730.64] 124點多接近125
[2730.64-2734.64] 那這個對今年的股利會有什麼樣子的影響
[2734.64-2737.64] 今年股利的展望是什麼
[2740.64-2751.64] 股利政策的展望我們還是要看到年底的一個狀況
[2751.64-2758.64] 當然今年真的是金融市場在川普的關稅政策的措施底下
[2758.64-2763.64] 整個變數比較多不確定性因素也大
[2763.64-2766.64] 不過剛剛我們已經有討論到就是說
[2766.64-2773.64] 未來如果是看降息以及新台幣回穩
[2773.64-2777.64] 其實這個對我們的double leverage ratio
[2777.64-2782.64] 因為現在的股利政策也是跟我們的金值
[2782.64-2789.64] 其他權益這邊金融資產股債未實現的評價也有連結
[2789.64-2795.64] 但是如果是以我們現在其實還在8月下旬
[2795.64-2799.64] 其實到年底還是有四個多月的時間
[2799.64-2802.64] 整個市場其實都也還在變化
[2802.64-2807.64] 不過目前看起來是比較平穩跟正面
[2807.64-2813.64] 那我們如果是以我們現在weekly在monitor到上個禮拜
[2813.64-2817.64] 其實我們在提列相關的特別營運攻擊後
[2817.64-2821.64] 我們其實還是有量能跟空間
[2821.64-2826.64] 不過就是剛剛講的就是說距離年底還有四個多月時間
[2826.64-2831.64] 我們其實還是要看整個到年底的一個狀況
[2831.64-2833.64] 包括我們整年的營運成果
[2833.64-2839.64] 還有一直到年底的金融市場資本市場變動的一個狀況
[2839.64-2842.64] 屆時也是參考同業的水準
[2842.64-2846.64] 在我們整個各項的財務比例
[2846.64-2853.64] 在等於維持一個穩健的範圍之下來反映我們的營運成果
[2853.64-2859.64] 提報一個具競爭力股息、競爭力殖利率的一個鼓勵政策
[2862.64-2869.64] 有投資先進提到說金管會因為匯率風險有提出暫停的措施
[2869.64-2876.64] 有要求公司對資產負債、幣別還有存續期間的錯配提出改善措施
[2876.64-2879.64] 想問一下說國壽的應應措施是什麼
[2886.64-2889.64] 我們針對所有的幣別錯配
[2889.64-2892.64] 我想其實有幾個
[2892.64-2898.64] 當然一個就是我們公司應該在我們接軌的計畫裡面
[2898.64-2904.64] 從兩年半以前我們訂出了我們商品的策略
[2904.64-2909.64] 實際上我們就已經在降低我們的幣別錯配了
[2909.64-2912.64] 就是我們主要台幣的商品
[2912.64-2917.64] 我們尤其是台幣理財型像台幣利變的受險
[2917.64-2921.64] 我們公司就是採取很passive的
[2921.64-2923.64] 原則上我們有訂一個cap
[2923.64-2928.64] 就是每年最多最多就只能銷售很少的金額
[2928.64-2931.64] 因為這個不是我們focus的
[2931.64-2935.64] 也因為我們這個商品在源頭其實就控管住
[2935.64-2942.64] 所以其實我們幣別錯配從我們開始實施以來
[2942.64-2946.64] 其實我們整個幣別錯配已經下降了1%
[2946.64-2951.64] 就是整個幣別錯配的情形是有改善
[2951.64-2957.64] 那當然我們在這個部分我們已經把我們董事會通過了
[2957.64-2962.64] 就是未來當然還有包含投資面的部分也會做一些改善
[2962.64-2968.64] 不過具體的這個措施我想那個比較屬於公司機密
[2968.64-2972.64] 我們就不方便在這個地方去回答這個部分
[2972.64-2977.64] 我們有一個非常完善的這個幣別錯配的改善計畫
[2977.64-2980.64] 那這個部分是足跡要去追蹤
[2980.64-2986.64] 然後也會列入公司的這些考核的部分
[2986.64-2990.64] 所以現在已經回答完不曉得現場的先進或媒體朋友
[2990.64-2992.64] 有沒有要提問的
[2992.64-2998.64] 好那如果後續有任何問題再跟我們的安雅團隊來做聯繫
[2998.64-3000.64] 今天非常感謝大家的參與
[3000.64-3002.64] 謝謝大家謝謝
