[0.00-1.00] 午安
[2002.90-2005.90] 降息的空間大概是兩碼的部分
[2005.90-2008.90] 近期的一個在市利率的走勢
[2008.90-2011.90] 就是呈現一個高檔震盪的格局
[2011.90-2014.90] 我們會適時的是本行的資金狀況
[2014.90-2017.90] 來調整債券的操作策略
[2017.90-2018.90] 以上
[2021.90-2023.90] 線上媒體朋友提問
[2023.90-2025.90] 以下四個題目
[2025.90-2029.90] 一 股災市場展望及投資策略如何
[2029.90-2034.90] 二 定存大幅增加千餘億是否調整結構
[2034.90-2038.90] 三 合庫人壽是否繼續向主管機關申請
[2038.90-2040.90] 發放現金鼓勵
[2040.90-2045.90] 四 目前房貸管控及排波情形如何
[2047.90-2049.90] 好 謝謝請問這四個問題
[2049.90-2052.90] 我將特別由不同的部門來說明
[2052.90-2056.90] 第一個問題我請財務部陳協力來說明
[2056.90-2059.90] 第二部分第二問題是有關存款
[2059.90-2062.90] 我請業發部來我們再拍協力
[2062.90-2064.90] 第三個問題是有關人壽
[2064.90-2067.90] 我們就請藍總經理來說明
[2067.90-2070.90] 這四個問題還是各級部的問題
[2070.90-2071.90] 請財協力
[2071.90-2072.90] 以上
[2074.90-2075.90] 謝謝媒體提問
[2075.90-2079.90] 由於就是對股災的展望
[2079.90-2081.90] 先說股市的部分
[2081.90-2084.90] 台股的話我們也知道就是說
[2084.90-2087.90] 自從川普宣布對等關稅之後
[2087.90-2091.90] 它的震盪幅度是前所未有的劇烈
[2091.90-2096.90] 未來的話人將會受川普的政策的影響
[2096.90-2099.90] 也是震盪幅度不會太小
[2099.90-2103.90] 特別是外資的進出
[2103.90-2106.90] 都會影響到我們台股的變化
[2106.90-2111.90] 近期就是說最近金華會取消限空令之後
[2111.90-2116.90] 股市的資金動能有在增強
[2117.90-2122.90] 所以在對照就是說企業的因應有一個緩衝期
[2122.90-2125.90] 所以我們企業的表現還是具有韌性
[2125.90-2127.90] 所以雖然是震盪
[2127.90-2131.90] 但是我們也並不看壞股市的走向
[2131.90-2134.90] 那我們操作策略的話
[2134.90-2139.90] 由於在銀行這邊主要我們還是穩定的賺取股息
[2139.90-2142.90] 那刺激就是波段操作為主
[2142.90-2145.90] 所以我們還是會慎選優質的企業
[2145.90-2152.90] 然後具備能力產業前幾家的企業來分批、逢低建置、佈局
[2152.90-2154.90] 另外在在市方面
[2154.90-2158.90] 由於在市的主要因子就是利率
[2158.90-2165.90] 利率的話又受政府央行貨幣政策的影響
[2165.90-2173.90] 排債的部分可能還是看我們總央行的利率
[2173.90-2177.90] 對於利率目前看起來的話應該是維持利率不變
[2177.90-2179.90] 另外美債的話
[2179.90-2185.90] 有可能就是市場下推估是大概是在第四季的時候開始降息
[2185.90-2189.90] 並且降息的空間大約是兩碼
[2189.90-2194.90] 那我們仍然就是會看我們本行的一個資金採取分批佈局
[2194.90-2197.90] 如果利率有調降的話
[2197.90-2198.90] 有資本利的空間的話
[2198.90-2201.90] 我們也會出售來實現資本利的
[2201.90-2202.90] 以上
[2204.90-2209.90] 官定存大幅增加千餘億市伙調整結構
[2209.90-2210.90] 交換部回覆
[2210.90-2213.90] 未來將以各項基地措施
[2213.90-2217.90] 引導分行、經濟拓展、活著性重管為主力業務
[2217.90-2221.90] 以降低資金成本並調整活定存的結構
[2221.90-2222.90] 以上報告
[2223.90-2228.90] 何國仁說今年是連續第九年發放現金鼓勵給股東
[2228.90-2233.90] 目前確實正在申請跟金管會
[2233.90-2235.90] 在申請鼓勵發放
[2235.90-2238.90] 還在等主管機關的答覆
[2241.90-2244.90] 有關目前房貸的管控
[2244.90-2247.90] 本行已經暫停售領
[2247.90-2251.90] 對本行整批房貸的續約
[2251.90-2255.90] 我們也是有做調整的一些額度
[2255.90-2261.90] 但是還是主要重視首購跟清安的撥款
[2261.90-2263.90] 在排撥的部分剛有講過
[2263.90-2266.90] 是因為我們這個案件量已經很多了
[2266.90-2268.90] 那省了起的一個拉長
[2268.90-2269.90] 以上說明
[2269.90-2271.90] 線上投資人提問
[2271.90-2272.90] 以下三個題目
[2272.90-2278.90] 一、目前海外債券公債與公司債和金融債的佔比如何
[2278.90-2282.90] 二、整理海外債券程序期間為何
[2282.90-2285.90] 三、避險比率高達九成
[2285.90-2287.90] 主要是傳統避險比率
[2287.90-2289.90] 二、在海外債券的規模
[2289.90-2291.90] 三、在海外債券的規模
[2291.90-2293.90] 二、在海外債券的規模
[2293.90-2295.90] 三、在海外債券的規模
[2295.90-2298.90] 三、避險比率高達九成
[2298.90-2301.90] 主要是傳統避險還是其他方式
[2303.90-2306.90] 這個三個問題都比較接近財務部的
[2306.90-2309.90] 我們請財務部的陳協議來說
[2311.90-2313.90] 謝謝投資人提問
[2313.90-2317.90] 那我們先就銀行的部分
[2317.90-2320.90] 就以海外債券的一個佔比
[2320.90-2322.90] 銀行的部分的話
[2322.90-2326.90] 外幣債券的佔比是在我們整體投資部位
[2326.90-2328.90] 包括海外幣的債券
[2328.90-2330.90] 還有港幣票券等等
[2330.90-2334.90] 這個是佔11.66%
[2334.90-2336.90] 這個是外幣債券
[2336.90-2339.90] 就是公債跟公司債的一個佔比
[2339.90-2345.90] 整體海外債券的程序期間大概是2.23年
[2345.90-2347.90] 避險比率高達九成
[2347.90-2349.90] 避險比率高達九成這一題
[2349.90-2353.90] 感覺好像是應該問人壽的部分
[2353.90-2355.90] 銀行這邊的話
[2355.90-2360.90] 我們主要是逾越資金的一個配置
[2360.90-2364.90] 所以我們會搭配固定利率的跟浮動利率的
[2364.90-2368.90] 然後我們是用控管程序期間的一個方式
[2368.90-2371.90] 來控管利率風險
[2371.90-2373.90] 這樣子以上
[2373.90-2377.90] 剛剛應該有聽到人壽攔總的報告
[2377.90-2381.90] 所以他問沒有特別提示人壽是避險九成
[2381.90-2384.90] 這部分是不是請人壽攔總說明一下
[2384.90-2388.90] 我們的投資長也在
[2388.90-2391.90] 請唐副總來為大家解答這問題
[2391.90-2393.90] 謝謝美提提問
[2393.90-2397.90] 人壽的避險比率目前是達九成
[2397.90-2400.90] 主要完全都是傳統避險的
[2400.90-2402.90] 所以我們也會順便去做避險
[2402.90-2404.90] 以上報告
[2420.90-2426.90] 這個請我們首席經濟學家許先庭博士來報告
[2426.90-2429.90] 現在沒幾朋友的提問
[2429.90-2434.90] 現在川普就是全球經濟的關鍵字
[2434.90-2442.90] 所以全球經濟主要還是圍繞著川普政策的動向在變化
[2442.90-2445.90] 先從全球來看的話
[2445.90-2453.90] 因為我們知道從4月初的對人關稅所謂的解放日宣布之後
[2453.90-2455.90] 後來又暫緩90天
[2455.90-2461.90] 現在大家都還在90天暫緩的觀察期
[2461.90-2466.90] 所以簡單來說目前的情勢還是一個不確定
[2466.90-2469.90] 不明朗的狀況
[2469.90-2472.90] 所以目前的預測難度會比較高一點
[2472.90-2477.90] 基本上全球還有台灣整個實際的影響都很難預估
[2477.90-2484.90] 當然這種不確定性會直接衝擊到消費的行情跟企業投資
[2484.90-2487.90] 尤其是企業投資就會暫時的觀望
[2487.90-2496.90] 金融市場也會隨著美國政策的訊息的出現也會隨之而波動
[2496.90-2502.90] 如果從國際機構的預測來看的話
[2502.90-2507.90] 4月22號IMF有做了一個更新全球經濟展望
[2507.90-2514.90] 它的基準預測就是假設美國實施10%的基準關稅的話
[2514.90-2518.90] 全球經濟成長率的影響是0.5個百分點
[2518.90-2524.90] 從3.3下調到2.8%
[2524.90-2529.90] 明年的話大概是3%左右
[2529.90-2535.90] 全球最大的經濟及美國的這個部分
[2535.90-2540.90] IMF的預測就是會下修到1.8%不到2%
[2540.90-2546.90] 不過這個美國的經濟它還是認為不會不至於出現衰退
[2546.90-2550.90] 不過這個衰退的風險會明顯的上升
[2550.90-2553.90] 如果連動到Fed的政策
[2553.90-2559.90] 因為現在美國的勞動市場還沒有出現什麼疲害
[2559.90-2564.90] 所以Fed其實也認為目前的話降息還沒有這個急迫性
[2564.90-2571.90] 所以他會再繼續的觀察關稅對美國的物價的影響之後
[2571.90-2575.90] 所以他現在是採取一個比較神聖的態度來觀察
[2575.90-2579.90] 所以大概就是可能9月或是第四季
[2579.90-2585.90] 這個時候才會有今年的第一次的降息
[2585.90-2588.90] 至於在台灣的景氣
[2588.90-2591.90] 因為台灣大家都知道是出口導向的經濟體
[2591.90-2595.90] 尤其我們對美國的出口依賴非常的高
[2595.90-2601.90] 所以如果這個對等關稅時事一定會受到相當的影響
[2601.90-2604.90] 尤其產業面的話就是毛利率比較低
[2604.90-2610.90] 而且以美國出口為主的主要出口市場的這些產業
[2610.90-2616.90] 所以這將就廠商今年以來其實已經都提前出貨了
[2616.90-2621.90] 現在這個提前出貨的情況也已經慢慢的在減緩了
[2621.90-2626.90] 所以下半年其實是必須要比較小心一點
[2626.90-2629.90] 如果就數字來說的話
[2629.90-2633.90] 國發會有委託外面一個機構來預估
[2633.90-2637.90] 如果最壞的情況就是實施32%的關稅
[2637.90-2643.90] 台灣的經濟產業率大概會少0.4到0.6個百分點
[2643.90-2649.90] 主計總數的預估也是會少掉0.5到1.5個百分點
[2649.90-2654.90] 最近就是台金院最新的預測數
[2654.90-2657.90] 就是把台灣今年的成長率下調到2.91
[2657.90-2659.90] 就不到3%
[2659.90-2665.90] 所以總而言之就是台灣今年的經濟成長率要保持在3%以上
[2665.90-2668.90] 就是還蠻不輕的
[2668.90-2670.90] 大概是這樣子的情況
[2670.90-2678.90] 好 今天線上提出問題我們都已經答覆了
[2678.90-2682.90] 那麼今天問題問我們就到此告一個段落
[2682.90-2685.90] 感謝各位熱情的參與
[2685.90-2688.90] 目前的問題已回覆完畢
[2688.90-2690.90] 今天的會議到此結束
[2690.90-2693.90] 法說會相關資料將於會議結束後
[2693.90-2697.90] 一小時內上傳到本公司網站的投資人專區服務頁面
[2697.90-2699.90] 供各位參考
[2699.90-2701.90] 如果您有相關問題
[2701.90-2705.90] 請下本公司投資人關係聯繫窗口 謝謝
