[0.00-2.00] 中央公益领域
[1337.16-1338.16] 我們的營收成長
[1338.16-1340.16] 大概絕對保育率
[1340.16-1342.16] 大概是有提升0.6%
[1342.16-1345.16] 但是在絕對的保育率下降
[1345.16-1347.16] 最主要是我們其他工廠
[1347.16-1348.16] 包括像那些電影
[1348.16-1350.16] 還有《汽車的備辦》
[1350.16-1351.16] 它在訓練的下頭
[1351.16-1352.16] 會一時一時下雨的
[1352.16-1354.16] 所以其他廠區的
[1354.16-1356.16] 運動設施的保育率有下降
[1356.16-1358.16] 但是這個最後
[1358.16-1360.16] 還是靠伺服器把它拉上去
[1360.16-1361.16] 1.6%
[1361.16-1364.16] 它最後呈現24.9%
[1364.16-1365.16] 那費用本身
[1365.16-1367.16] 我們大概有看到
[1367.16-1369.16] 我們在去年第一四季的費用
[1369.16-1370.16] 大概是5.5 至1億
[1370.16-1373.16] 大概我們有稍微增加一點費用
[1373.16-1375.16] 整體來講的話
[1375.16-1377.16] 整個費用的控制商
[1377.16-1379.16] 大概足以差一千五百億
[1379.16-1381.16] 這邊大概說明一下
[1381.16-1384.16] 那以上是今天的說明
[1384.16-1385.16] 謝謝
[1390.16-1392.16] 謝謝大家
