[0.96-7.66] 各位投资人午安,欢迎参加信义房屋113年第四季线上中文法人说明会。
[1824.64-1826.64] 或者是银行的资金的状况
[1826.64-1831.64] 是不是稍微可以比较没有那么吃紧的一个状况
[1831.64-1833.64] 那目前看起来应该是
[1833.64-1837.64] 渐渐的有一些些喘息的空间
[1837.64-1842.64] 那不过未来的一两年的这种交污量
[1842.64-1843.64] 其实是还是蛮大的
[1843.64-1845.64] 所以我们还是会观察说市场上
[1845.64-1848.64] 房贷的一个表现状况
[1848.64-1853.64] 是不是能够维持慢慢去稳定一个表现
[1853.64-1857.64] 那短期之内大概利率目前没有听到说
[1857.64-1862.64] 会有一些比较明显波动的一个表现
[1862.64-1863.64] 这样以上
[1863.64-1866.64] 投资朋友问到说
[1866.64-1869.64] 那个直营分店的电数
[1869.64-1872.64] 这几年来有下降趋势
[1872.64-1876.64] 是不是在策略的集团策略或者是市场因素
[1876.64-1878.64] 那跟投资朋友报告
[1878.64-1880.64] 就是我们在之前
[1880.64-1886.64] 确实在先前的几个年度的时候
[1886.64-1890.64] 那个电数有达到比较高的一个水准
[1890.64-1892.64] 那现在减少到465家分店
[1892.64-1895.64] 那先前也跟投资朋友报告过说
[1895.64-1898.64] 我们对于太弱流强这个部分的话
[1898.64-1900.64] 是主要的考量
[1900.64-1903.64] 那所以说有些分店如果在location不好
[1903.64-1906.64] 或者是整体的那个
[1906.64-1909.64] 我们所谓的有多少店长
[1909.64-1912.64] 就开多少店的这件事情上面
[1912.64-1915.64] 要找到合格的店长等等这些考量
[1915.64-1919.64] 所以我们在这个地方有去做一个复合
[1919.64-1920.64] 然后去做一个调整
[1920.64-1921.64] 所以现阶段的话
[1921.64-1926.64] 大概都是在维持差不多在这个水准左右
[1926.64-1928.64] 做一些调整
[1928.64-1932.64] 那所以这是一个策略上的考量
[1932.64-1935.64] 那有投资朋友问到说
[1935.64-1938.64] 那个准议表当中的劳务费用
[1938.64-1940.64] 劳务收入的话增加了11亿
[1940.64-1945.64] 然后但是劳务成本只增加10千多万元
[1945.64-1947.64] 那这个部分的话
[1947.64-1950.64] 当然不同的那个
[1951.64-1954.64] 子公司的话也会有一些变化的
[1954.64-1958.64] 那主要的原因当然在于信义房屋有一个
[1958.64-1962.64] 我们做了一个部门的一个的重分类的调整
[1962.64-1963.64] 把它调到营业费用来
[1963.64-1967.64] 所以其实基本上刚刚回答的另外一个议题
[1967.64-1970.64] 就是说我们在中介的话
[1970.64-1972.64] 其实我比较推建议说
[1972.64-1975.64] 其实看营业利率会比较好
[1975.64-1979.64] 就是到底不是说那个调整的变化的问题
[1979.64-1980.64] 而是说
[1980.64-1982.64] 就我们整个来讲的话
[1982.64-1987.64] 分件的成本的话是会归在营业成本里面
[1987.64-1988.64] 就劳务成本
[1988.64-1993.64] 那那个幕僚的部分的话归到营业费用这边来
[1993.64-1995.64] 那就整个公司来讲的话
[1995.64-1999.64] 其实我们并不是像做那个制造业的
[1999.64-2001.64] 这样的一个有存货的关系
[2001.64-2004.64] 所以就是有些制造的产品
[2004.64-2007.64] 所以放到那个小货成本去
[2007.64-2009.64] 所以概念上我会建议是
[2010.64-2012.64] 看营业利益会比较清楚
[2012.64-2016.64] 会比较能够理解这个公司的一个经营状况
[2024.64-2026.64] 有投资朋友提到的一些问题
[2026.64-2028.64] 我刚刚也回答过
[2028.64-2033.64] 就是说在于加速电速的一个策略上面调整
[2033.64-2036.64] 大概不会在关什么电
[2036.64-2038.64] 大概就是做一些太多流强的这个部分
[2038.64-2039.64] 那我们现在已经经过了一个很长时间的时间了
[2040.64-2044.64] 其实也没有过上一波的那个的程度的调整
[2044.64-2046.64] 所以目前来讲的话应该是还好
[2046.64-2051.64] 就是大概大概基本上维持差不多这样的一个点数
[2051.64-2054.64] 那另外就是在于
[2057.64-2059.64] 营业的部分的话有一直在拿低
[2059.64-2063.64] 然后是不是以会以开发为主要模式来扩大应手
[2063.64-2068.64] 目前来讲的话应该是还是比较没有这样的打算
[2068.64-2070.64] 开发的部分的话
[2070.64-2076.64] 其實我們可以看到過去十來年
[2076.64-2078.64] 我們推的案子並不多
[2078.64-2080.64] 那照理來講的話
[2080.64-2083.64] 應該是要有一個穩定的推廣量會比較適當
[2083.64-2087.64] 所以倒也不是說要加速怎麼樣的一個情形
[2087.64-2090.64] 那反倒是我們會比較傾向於那種
[2090.64-2096.64] 以合建為主的這樣一個開發的模式
[2096.64-2100.64] 所以大概是用比較輕資產的方式去做
[2100.64-2103.64] 所以在於如果相對來講的話
[2103.64-2108.64] 這樣看起來就會比較有比較多一點的量能
[2108.64-2112.64] 可以去做合建的這個部分
[2112.64-2117.64] 那倒也沒有說要把整個一個經營的重心
[2117.64-2121.64] 要擺到開發為主來去擴大營收
[2121.64-2125.64] 博士朋友提到的那個
[2125.64-2126.64] 那個
[2126.64-2131.64] 有肉聽到那個2024年的EPS
[2131.64-2133.64] 叫2023年增加
[2133.64-2137.64] 那再麻煩博士朋友再書寫一下
[2137.64-2140.64] 因為我沒有看到後面的文字
[2140.64-2142.64] 那基本上就是
[2142.64-2145.64] 我應該剛剛要講的就是說
[2145.64-2150.64] 去年2024年的EPS是2.42元
[2150.64-2155.64] 大概比2023年的2.39再增加了0.03
[2155.64-2156.64] 這樣
[2156.64-2158.64] 然後有投資朋友問到說
[2158.64-2163.64] 日本市場接下來一年兩年的展望
[2163.64-2166.64] 會不會擴大我們的營業據點
[2166.64-2169.64] 我們現在看來
[2169.64-2173.64] 那個
[2173.64-2178.64] 博人去日本去投資的這個熱潮
[2178.64-2182.64] 看起來還是沒有減低的狀況
[2182.64-2185.64] 所以我們還是蠻樂觀看待
[2185.64-2189.64] 我們所謂的台日鏈的這樣一個服務的模式
[2189.64-2194.64] 那其實另外一個點也是因為
[2194.64-2196.64] 日本當地的
[2196.64-2198.64] 不管東京或者大阪
[2198.64-2200.64] 都有相關的題材
[2200.64-2203.64] 尤其像大阪之前也提過
[2203.64-2205.64] 它有一個萬國博覽會
[2205.64-2209.64] 還有一些博弈的
[2209.64-2214.64] 的一個類似博弈的一個計畫在走
[2214.64-2217.64] 所以它整個一個未來的前景
[2217.64-2219.64] 看起來是比較可期的
[2219.64-2226.64] 那整個房價的部分也擺脫了過去
[2226.64-2228.64] 一直都不太動的那個情形
[2228.64-2232.64] 最近這幾年來的一個房價狀況都還不錯
[2232.64-2235.64] 那所以我們預計
[2235.64-2237.64] 就目前來看的話我們
[2237.64-2242.64] 會在大阪就會先增加一些營業課
[2242.64-2243.64] 那
[2243.64-2245.64] 因為之前也提過說
[2245.64-2247.64] 我們為了要在地化的服務
[2247.64-2249.64] 所以在
[2249.64-2253.64] 在地化的這個服務的這個量能上面
[2253.64-2255.64] 會有所去展開
[2255.64-2257.64] 所以這個部分可能
[2257.64-2259.64] 都會做一些那個
[2259.64-2261.64] 在東京跟大阪會做一些展店
[2261.64-2263.64] 但量不會太大
[2263.64-2268.64] 我們還是要把這個在地化的這個策略可以做好
[2268.64-2272.64] 有的朋友問到就是家和
[2272.64-2277.64] 的一個家屋的任業的一個情形
[2277.64-2281.64] 那剛剛也提到其實
[2281.64-2284.64] 大概我們應該是會到
[2284.64-2289.64] 第三季的季末左右的時候
[2289.64-2293.64] 大概九月份開始的時候去做任業
[2293.64-2298.64] 那總交的話大概是28億的金額
[2298.64-2301.64] 毛利率的話是
[2301.64-2305.64] 大概是21%
[2305.64-2306.64] 22%
[2306.64-2310.64] 大概就住宅部分的話是22%
[2315.64-2318.64] 營業利益率的話大概是
[2318.64-2324.64] 稍微它因為後來有在增加一些費用
[2324.64-2328.64] 所以大概是
[2328.64-2331.64] 13%這樣子
[2331.64-2337.64] 然後
[2337.64-2341.64] 投資朋友問到說
[2341.64-2345.64] 預計什麼時候會轉好嗎
[2345.64-2348.64] 我猜應該是不是在講的是
[2348.64-2350.64] 房市嘛
[2350.64-2352.64] 那我再請那個
[2352.64-2354.64] 我們曾經理回答一下
[2354.64-2357.64] 好那目前看起來
[2357.64-2359.64] 目前的房市大概
[2359.64-2361.64] 一二月過年期
[2361.64-2366.64] 其實房市交易就是還是比較平常清淡的一個狀況
[2366.64-2370.64] 那不過我們觀察到其實從二月的下旬之後
[2370.64-2374.64] 其實市場上有交易的狀況就逐漸恢復正常
[2374.64-2381.64] 那三月的第一週的一個表現狀況的話也都是
[2381.64-2383.64] 明顯比一二月來的好
[2383.64-2386.64] 所以其實現在的市場其實就是
[2386.64-2388.64] 有一點點從
[2388.64-2391.64] 無底回溫這樣子的一個跡象
[2391.64-2393.64] 那不過因為現在畢竟是一個
[2393.64-2394.64] 自用當道的市場
[2394.64-2395.64] 那其實
[2395.64-2400.64] 這種非自用型的買盤就已經比較偏向退場的狀況之下
[2400.64-2402.64] 其實也是很難回到
[2402.64-2403.64] 過去
[2403.64-2407.64] 去年上半年這樣子的一個房市盛況
[2407.64-2411.64] 不過整體看起來就是已經慢慢從一二月的年底年後
[2411.64-2413.64] 其實市場有一個回溫的跡象
[2413.64-2415.64] 那接下來我們就是看
[2415.64-2417.64] 三二九檔期的一個表現
[2417.64-2420.64] 那當然同時間我們還是會觀察一下
[2420.64-2423.64] 市場上的一些股市的波動的狀況
[2423.64-2426.64] 會不會對後面的房市會有一些些影響
[2426.64-2427.64] 這樣以上
[2437.64-2441.64] 有投資朋友問到高雄的那個
[2441.64-2443.64] 高雄大學旁邊的土地是什麼
[2443.64-2445.64] 或是會有進一步的動作
[2445.64-2446.64] 然後
[2446.64-2447.64] 還會有
[2447.64-2448.64] 其他的
[2448.64-2450.64] 今年還有其他的列地計畫嗎
[2450.64-2451.64] 跟
[2451.64-2452.64] 列地的那個
[2452.64-2453.64] 方向
[2453.64-2455.64] 地點大概會在哪個地方
[2455.64-2458.64] 那我這邊回答一下就是
[2458.64-2459.64] 高雄的這部分
[2459.64-2464.64] 也跟投資朋友update一下目前的狀況
[2464.64-2466.64] 大概我們還是會先
[2466.64-2469.64] 以先顧好像剛剛講的
[2469.64-2472.64] 其實我們的家屏案子的那個
[2472.64-2476.64] 家屋的部分其實已經有點delay
[2476.64-2477.64] 因為先前跟
[2477.64-2480.64] 投資朋友報告其實應該是在
[2480.64-2482.64] 第三季初的時候就開始
[2482.64-2484.64] 會去做一些交互
[2484.64-2486.64] 所以稍微稍微會再延遲
[2486.64-2488.64] 那我們要把這些東西鞏固好
[2488.64-2490.64] 那另外一部分的話就是
[2490.64-2494.64] 大家也看到就是我們去做一些那個
[2494.64-2498.64] 聯開案的捷運展捷運聯開案的一些標
[2498.64-2500.64] 那個投票動作
[2500.64-2504.64] 所以我們大大底上我們還是會先以
[2504.64-2505.64] 在
[2505.64-2506.64] 台北這邊的
[2506.64-2509.64] 雙北這邊的地方去做一個發展
[2509.64-2514.64] 所以高雄的部分的土地目前應該還是沒有那個進一步動作
[2514.64-2516.64] 先先暫時先放
[2516.64-2522.64] 那後續的話如果有需要的在比較好的開發計畫的話
[2522.64-2524.64] 跟那個有比較好的量能
[2524.64-2527.64] 我們這邊會再去做一個開發
[2527.64-2530.64] 畢竟要把那個
[2530.64-2532.64] 反對拉到那邊去的話
[2532.64-2535.64] 目前的能力來看的話稍微有刺激了
[2536.64-2542.64] 那有投資朋友想問一下今年的
[2542.64-2546.64] 就是各地區的交易量跟來客的狀況
[2546.64-2549.64] 那目前我們觀察其實整體的
[2549.64-2552.64] 一個來客
[2552.64-2554.64] 都是普遍的叫
[2554.64-2557.64] 農曆年後就是很明顯的回農
[2557.64-2561.64] 回到大概去年第四季左右的一個比較
[2561.64-2564.64] 比較稍微正常一點的一個水準
[2564.64-2566.64] 那不過我們觀察一下
[2566.64-2568.64] 其實如果就以前兩月
[2568.64-2572.64] 或者以二月的一個表現來看的話
[2572.64-2574.64] 其實比較穩定的市場
[2574.64-2578.64] 反而是在雙北的一個市場交易的量能
[2578.64-2581.64] 是呈現一個比較穩定
[2581.64-2584.64] 就是跟去年同期來講
[2584.64-2586.64] 衰退幅度是比較少的
[2586.64-2590.64] 那衰退幅度比較明顯的就是
[2590.64-2594.64] 過去的一個比較屬於房價快速上漲的一些區域
[2594.64-2595.64] 那目前的情況是比較明顯的就是過去的一個比較屬於房價快速上漲的一些區域
[2595.64-2599.64] 那目前看起來市場上的表現比較
[2599.64-2603.64] 像是北部比較稍微穩定一點
[2603.64-2607.64] 那房價表達區的一個觀望的
[2607.64-2610.64] 或者是對於價格上就是比較猶豫
[2610.64-2612.64] 會有這樣子的一個表現
[2612.64-2616.64] 那至於全年的一個預估的話
[2616.64-2620.64] 因為我們沒有做這樣子的一個預期
[2620.64-2623.64] 因為畢竟現在房市已經進入到一個自用當道
[2623.64-2624.64] 比較偏向
[2624.64-2627.64] 盤整的一個期間
[2627.64-2631.64] 所以對於價格跟成交量的預期的話
[2631.64-2636.64] 我們這邊是沒有做一個比較明確的一個推估方向這樣以上
[2636.64-2649.64] 投資朋友問到對於日本房地產的看法
[2649.64-2652.64] 目前看起來還是
[2652.64-2654.64] 雖然它還是有一個
[2654.64-2656.64] 有升息的關係
[2656.64-2659.64] 所以日幣有在一定的升值
[2659.64-2661.64] 但是大概它還是有
[2661.64-2663.64] 升值的幅度還是有限
[2663.64-2666.64] 所以我們就看整個
[2666.64-2674.64] 國人對於日本的那個青睞跟喜愛的那種傳統的那種態度的話
[2674.64-2676.64] 看起來這個
[2676.64-2678.64] 我們對於這一塊的
[2678.64-2680.64] 還是相對來講是樂觀
[2680.64-2682.64] 所以說我剛也提到說
[2682.64-2684.64] 對於台日電的這個
[2684.64-2689.64] 我們內部的看法其實還是保持一個相對來樂觀的一個角度
[2689.64-2691.64] 那另外一部分的話
[2691.64-2695.64] 我們就是對於日本的話
[2695.64-2700.64] 因為它其實它的買賣成交量其實並不多
[2700.64-2707.64] 一個東京那麼大的一個才兩三萬減一年
[2707.64-2709.64] 所以我們大概的目標的話
[2709.64-2711.64] 大概是會後續的話
[2711.64-2713.64] 大概會把除了去服務的在地的
[2713.64-2715.64] 日本人之外
[2715.64-2717.64] 我們也組建了這樣的
[2717.64-2719.64] 日本人團隊
[2719.64-2721.64] 因為它畢竟他們的文化的關係
[2721.64-2723.64] 所以我們還是會多拼一些
[2723.64-2725.64] 那個日本人
[2725.64-2729.64] 就是用那種比較真正
[2729.64-2733.64] 真正的日本人去服務日本人的這樣的方式
[2733.64-2735.64] 去減少文化上面隔閡
[2735.64-2737.64] 那另外一部分的話就是
[2737.64-2739.64] 對於竹林的那一部分
[2739.64-2742.64] 因為它在整個大東京來講的話其實
[2743.64-2747.64] 竹林的部分其實才是比較大的一個量體
[2747.64-2748.64] 所以這個地方的話
[2748.64-2752.64] 我們持續就是除了原來的那個去做買賣的
[2752.64-2755.64] 這個投資的這個地方的這些物件
[2755.64-2759.64] 我們會持續幫客戶做好物業管理之外
[2759.64-2761.64] 或者出租的這些管理之外
[2761.64-2766.64] 我們大概也會去拓展整個東京的這個
[2766.64-2769.64] 當地的這些竹林的物業的市場
[2769.64-2773.64] 那有投資朋友問到說
[2773.64-2777.64] 馬鈴鳳的那個酒店未來滿載的營收及獲利顧
[2777.64-2781.64] 其實我們現階段的話
[2781.64-2784.64] 推估的話還是相對保守的
[2784.64-2787.64] 就是那個每一晚的話
[2787.64-2790.64] 大概不到馬幣1000塊的那個金額
[2790.64-2792.64] 那以現階段來看的話
[2792.64-2796.64] 看到其他的在地的自經濟
[2796.64-2797.64] 就算是新的
[2797.64-2801.64] 那大概他們的那個滿載的
[2801.64-2803.64] 就是住房率還會高一點
[2803.64-2805.64] 相對來講都還蠻高的
[2805.64-2808.64] 那我們大概預期就是
[2808.64-2814.64] 初期的話大概都是六成左右的一個住房率
[2814.64-2817.64] 那之後的話過了三四年左右
[2817.64-2819.64] 大概就會去
[2819.64-2823.64] 應該就會達到比較更好的一個住房率
[2823.64-2824.64] 至於說滿載的話
[2824.64-2827.64] 我們比較保守去預估
[2827.64-2830.64] 那就整個獲利來講
[2830.64-2833.64] 因為他旅館的話是一個比較長期的
[2833.64-2835.64] 穩定的一個資金流入
[2835.64-2837.64] 跟獲利的這樣的一個狀態
[2837.64-2840.64] 所以在這個方面的話
[2840.64-2844.64] 那個整個一個獲利的情形的話
[2844.64-2848.64] 我們大概預計差不多要十來年的時候
[2848.64-2852.64] 才能夠所那個資金所做那個
[2852.64-2854.64] 那個退貸這樣的一個情形
[2859.64-2863.64] 投資朋友問到就是公司的未來的
[2863.64-2865.64] 主要的成長動能跟策略
[2865.64-2871.64] 因為一直以來信義房屋集團還是以
[2871.64-2875.64] 整個房仲的部分來去做一個
[2875.64-2879.64] 那個核心的一個產業
[2879.64-2883.64] 所以這個部分的話還是並沒有改變
[2883.64-2888.64] 那會改變的是我們怎麼樣服務客戶的方式
[2888.64-2892.64] 尤其現在AI的工具這麼的發達
[2892.64-2895.64] 所以我們在兩三年前的時候
[2895.64-2900.64] 去做了一個數位轉型的這個動作
[2900.64-2902.64] 其實持續都還是在做
[2902.64-2905.64] 因為其實看得到就是工具上面
[2905.64-2907.64] 其實一直不停的在演化
[2907.64-2911.64] 那我們都特別成立一些部門
[2911.64-2914.64] 包含比方說我們有AI的應用發展部
[2914.64-2918.64] 會去投入去研發說哪些的
[2918.64-2921.64] 哪些的AI的工具可以放
[2921.64-2928.64] 那就是適合用在服務客戶的這個部分的身上
[2928.64-2933.64] 包含說Nine OA的一個就是官方網站的
[2933.64-2940.64] 這些的怎麼樣去投放一些比較可以精準的
[2940.64-2943.64] 那個達到TA的這種方式
[2943.64-2945.64] 我們都一直不停在嘗試
[2945.64-2948.64] 那AI的這個部分的話其實可以影響到說
[2948.64-2951.64] 我們接下來的怎麼樣在服務客戶的
[2951.64-2954.64] 一個場域跟接觸的方式
[2954.64-2956.64] 那這個地方的話會
[2956.64-2960.64] 我相信會越來越讓整個服務的效能會越來越好
[2960.64-2965.64] 隨著這個科技的這個變化跟更新的關係
[2965.64-2967.64] 所以整個來講的話
[2967.64-2969.64] 我們期待的還是希望說
[2969.64-2973.64] 在翻轉這樣一個服務的一個樣貌的同時
[2973.64-2976.64] 然後帶動整個新集團的一個發展
[2976.64-2978.64] 那另外一方面的話就是
[2978.64-2980.64] 日本的話我們還持續在升更
[2980.64-2981.64] 就像剛剛所講
[2981.64-2982.64] 我提到的就是
[2982.64-2986.64] 它其實租賃的部分的話是一個廣大的市場
[2986.64-2990.64] 所以我們這個部分會努力的再去做
[2990.64-2992.64] 那開發的部分的話是
[2992.64-2998.64] 我們希望就是能夠達到一個穩定的推案
[2998.64-3001.64] 就是當然也是要看市場的狀況
[3001.64-3003.64] 達到一個穩定的推案
[3003.64-3010.64] 然後讓比方說我們可以讓每年都有固定的營業交屋
[3010.64-3012.64] 然後任業營業收入這樣的一個情形
[3012.64-3014.64] 那當然這個部分的話
[3014.64-3017.64] 我們在投資評估的時候
[3017.64-3019.64] 一定都得要更加的謹慎
[3019.64-3023.64] 因為房市的變化其實也是蠻快的
[3023.64-3027.64] 所以在這個風險的評估上面的話
[3027.64-3029.64] 我們會再深深的小心
[3034.64-3035.64] 另外補充就是
[3035.64-3039.64] 剛剛那個觀光旅遊那個部分的話就是
[3039.64-3041.64] 這個策略上面大概議題上
[3041.64-3043.64] 我們還是會朝著就是
[3043.64-3045.64] 仲介然後開發
[3045.64-3047.64] 觀光旅遊
[3047.64-3049.64] 這三種的產業
[3049.64-3053.64] 這三種各種的事業單位去進去去努力
[3053.64-3055.64] 那臺灣的部分的話
[3055.64-3059.64] 先前的話有提到就是北關農場的部分
[3059.64-3061.64] 我們除了做員工旅遊的
[3061.64-3063.64] 員工的教育訓練中心之外
[3063.64-3065.64] 我們還會做觀光旅遊的這個部分
[3065.64-3067.64] 會做小額度的發展
[3067.64-3069.64] 那這個地方也會有一個
[3069.64-3073.64] 因為已經完成那個土地過戶了
[3073.64-3075.64] 所以我們現階段正在做一些
[3075.64-3078.64] 那個土地的占量評估
[3078.64-3079.64] 然後等等之類的
[3079.64-3083.64] 看要怎麼樣去做好這個規劃設計
[3083.64-3087.64] 那初期的話先以員工的教育訓練為主
[3087.64-3090.64] 然後但是同時間我們會去做一些
[3090.64-3093.64] 那個觀光旅遊的上面的這個評估
[3093.64-3097.64] 那搭配那個
[3097.64-3099.64] 接下來的那個
[3099.64-3103.64] 馬鈴宋的酒店的完工跟開幕
[3103.64-3105.64] 那我們後續的這個部分
[3105.64-3108.64] 也會提供比較穩定的那個
[3108.64-3112.64] 淨現金流入跟活力的一個情形
[3114.64-3117.64] 好那有投資朋友問說以過往經驗
[3117.64-3120.64] 買賣雙方對於價格認知的差距
[3120.64-3122.64] 什麼時候會縮小
[3122.64-3127.64] 好那依照我們過去的經驗的話
[3127.64-3131.64] 其實價格要進入到一個比較明顯的方向
[3131.64-3134.64] 可能大概需要兩季的時間
[3134.64-3136.64] 那目前的一個
[3136.64-3141.64] 我們觀察到現在其實買賣雙方就是
[3141.64-3144.64] 市場已經沒有比較明顯的偏向說是
[3144.64-3147.64] 絕對的買方還是絕對的屋主的市場
[3147.64-3151.64] 所以買賣雙方的狀況是比較平衡的
[3151.64-3155.64] 那當然雙方對於價格都會有期待跟堅持
[3155.64-3156.64] 所以我們會觀察到最近的
[3157.64-3159.64] 一個交易的狀況是
[3159.64-3162.64] 整體的流通天數會略為拉長
[3162.64-3167.64] 那流通天數的話我們可以搭配整個溢價的空間來看的話
[3167.64-3171.64] 其實溢價的一個幅度也呈現一個些微的增加
[3171.64-3174.64] 所以這個大概可以解讀為
[3174.64-3178.64] 其實在市場上賣比較久的有一些屋主
[3178.64-3181.64] 他們其實已經感受到說
[3181.64-3184.64] 可能包括房子的代看人比較少
[3184.64-3186.64] 或者是這個
[3186.64-3190.64] 這個出價的狀況不是這麼積極的一個狀況之下
[3190.64-3193.64] 那其實有一些屋主可能因為資金考量
[3193.64-3195.64] 或者是要換屋等等的
[3195.64-3200.64] 他可能在價格上就會比較願意多一些彈性跟幅度
[3200.64-3203.64] 所以才會呈現一個流通天數略為拉長
[3203.64-3206.64] 然後溢價空間略增的一個狀況
[3206.64-3209.64] 所以目前看起來的狀況比較像是這樣
[3209.64-3212.64] 所以我們在預期整體方式的話
[3212.64-3215.64] 我們會認為短期之內價格應該已經進入到一個
[3215.64-3219.64] 盤整的一個狀況這樣子以上
[3225.64-3227.64] 有這邊問到
[3227.64-3232.64] 關於那個LG17就是我們二月份
[3232.64-3235.64] 跟新北京運舉簽約的連開案
[3235.64-3238.64] 那個樹林站的這個連開案
[3238.64-3242.64] 大致的規劃的方向跟時程還有儲備的總效金額
[3242.64-3244.64] 我們現在
[3245.64-3251.64] 預計的投入的金額是差不多新台幣16億
[3251.64-3255.64] 然後總銷包含違建的收入加在一起的話是
[3255.64-3258.64] 大概是21億左右
[3258.64-3260.64] 這個是一個初估的數字
[3260.64-3269.64] 那目前規劃的話是在2027年的時候會動工
[3269.64-3271.64] 就116年的時候會動工
[3271.64-3273.64] 那預計是2032年
[3273.64-3274.64] 2022年
[3275.64-3280.64] 2023年的時候會完工這樣子
[3280.64-3285.64] 那天跟檢舉局長也談了一下
[3285.64-3291.64] 他們也希望說我們能夠儘快一點去做這個工程
[3291.64-3297.64] 所以說如果有跟檢舉局長談的過程當中
[3297.64-3299.64] 就是有比較順利的話
[3299.64-3303.64] 後續的動作送件的狀況也比較順利的話
[3303.64-3306.64] 也可能會有再提前這樣子
[3306.64-3311.64] 有投資朋友問到說
[3311.64-3316.64] 因為最近的政府的政策
[3316.64-3321.64] 那指的有一些房仲的加盟店的門店倒閉
[3321.64-3326.64] 那我們會有沒有一些關門店的計畫來因應這樣的行動
[3326.64-3330.64] 目前來講的話我們並沒有這樣一個打算
[3330.64-3333.64] 所以大概還是維持目前的行動
[3333.64-3335.64] 我們會有一個一個的一個電數
[3335.64-3338.64] 這指引店的一個狀況
[3338.64-3341.64] 我們會希望說把客戶的服務做好
[3341.64-3346.64] 然後同仁的信心跟動能把它拉起來
[3346.64-3348.64] 對於這一塊的話
[3348.64-3351.64] 我們比較希望對來講是比較有底氣跟信心的
[3351.64-3354.64] 所以這就是投資朋友的做一個回覆
[3354.64-3362.64] 投資人您可以利用投影片下方空白處輸入您的問題
[3362.64-3364.64] 我們將為您解答
[3364.64-3374.64] 投資朋友問到那個2024年的代銷跟仲介的獲利的比例
[3374.64-3379.64] 那投資朋友應該問的是信義房屋本身
[3379.64-3384.64] 那信義房屋的仲介跟代銷的
[3384.64-3388.64] 如果用營業毛利的占比來看的話
[3388.64-3392.64] 大概是8比2的一個比例
[3392.64-3398.64] 就是仲介的話是8然後代銷是2
[3398.64-3400.64] 今日的法說會進行到這裡
[3400.64-3402.64] 非常感謝各位投資人的參與
[3402.64-3407.64] 重播服務將於會議後一小時內放置於本公司投資人關係網站
[3407.64-3409.64] 您現在可以離線了
[3409.64-3411.64] 謝謝
