[0.00-7.50] 漢翔航空工業股份有限公司線上法人說明會即將會在兩分鐘之後開始
[2165.98-2167.98] 这个已经解决了
[2167.98-2172.98] 那目前影响他产能的因素主要是因为他的品质问题
[2172.98-2175.98] 所以FAA对他的品质相当的严谨
[2175.98-2177.98] 那在这个制造过程中
[2177.98-2181.98] 他投入相当多的时间在品质的检查作业
[2181.98-2184.98] 所以他目前他实际的交机状况
[2184.98-2186.98] 还低于这个FAA同意的状况
[2186.98-2193.98] 所以他有一个成长的空间
[2193.98-2195.98] 那在空8的部分呢
[2195.98-2199.98] 他二月份的累计我们依据报道是六十五架量
[2199.98-2202.98] 那去年同年呢他是七十九架量的
[2202.98-2205.98] 所以相较之下比较少
[2205.98-2209.98] 那主要是因为这个也是因为供应链断电的问题
[2209.98-2211.98] 那除了这个供应链的问题呢
[2211.98-2215.98] 那个他的生产几率很多都不是在美国
[2216.98-2218.98] 目前现在川普2.0的这个关税
[2218.98-2220.98] 可能也会有一些影响
[2220.98-2222.98] 那整体来看呢
[2222.98-2228.98] 刚刚我们秦助长的简报里面有提到到做这个预测
[2228.98-2232.98] 这个世界这个国际机场的理事会的一个预测
[2232.98-2236.98] 那整体来讲这个航空需求是强势的持续成长
[2236.98-2240.98] 那短期内的确关税的问题会有一些变动
[2240.98-2242.98] 还有一些避免政治
[2242.98-2244.98] 所以这些供应链的挑战呢
[2244.98-2245.98] 我们还是有一些不确定因素的
[2245.98-2248.98] 所以这我们就是持续观望战
[2251.98-2256.98] 再来一题是如何看待欧洲增加国防预算
[2256.98-2259.98] 对公司营运的影响
[2259.98-2264.98] 是正面的还是间接受惠
[2264.98-2268.98] 还是有可能因为各国推行供应链在地化
[2268.98-2270.98] 而使订单流失
[2270.98-2272.98] 首先必须要说明就是
[2272.98-2275.98] 截至目前为止我们并没有收到
[2275.98-2277.98] 欧洲的一些国防订单
[2277.98-2280.98] 不过如果欧洲增加这个国防预算的话
[2280.98-2283.98] 对公司业务是一个好机会
[2283.98-2285.98] 我们也已经积极的布局
[2285.98-2288.98] 在所有可能的一个场合包括航展
[2288.98-2292.98] 我们去争取这个业务的一个机会
[2292.98-2294.98] 不过就这个属性来讲
[2294.98-2297.98] 欧洲的政府它任何的一个防卫政策
[2297.98-2302.98] 从行程到编列预算到执行是时间相当冗长
[2302.98-2305.98] 因为它每个政府都要达成共识是不容易的
[2305.98-2309.98] 所以如何将这些扩大提升的国防预算
[2309.98-2312.98] 转化成实际的一个订单
[2312.98-2315.98] 我们还是中间还是有些变数
[2315.98-2317.98] 但是我们持续观望
[2317.98-2320.98] 再来这一题是
[2320.98-2327.98] 2024年任列可能发生预期交货款金额7.4亿
[2327.98-2333.98] 全数是因为高教级延迟交运的罚款
[2333.98-2337.98] 引起那是否有收回罚款的可能
[2337.98-2343.98] 还有2025年是否还有预期交货罚款损失的金额
[2343.98-2347.98] 这个部分我们请黄处长来帮我们做说明
[2347.98-2349.98] 大家好
[2349.98-2355.98] 有关于这个2020年任列的预期罚款的部分
[2355.98-2359.98] 公司在财务的一个财报的编示上
[2359.98-2363.98] 都是遵循这个所谓的国际财务报导准论
[2363.98-2365.98] 来编制
[2365.98-2370.98] 其中预期罚款的部分也是依照这样的一个准则
[2370.98-2373.98] 就是IVERS的这个准则
[2373.98-2376.98] 做收入的一个检像
[2376.98-2379.98] 来这样的一个账户处理
[2379.98-2384.98] 2024年我们的预期的罚款7.4亿
[2384.98-2390.98] 应该是说主要是高教级的交基业预算的罚款
[2390.98-2393.98] 去年成都我们附总一职
[2393.98-2395.98] 在前面讲的
[2395.98-2397.98] 去年我们应该要交用的18家
[2397.98-2399.98] 结果我们只交了10家
[2399.98-2400.98] 那主要
[2400.98-2402.98] 就连交了7家
[2402.98-2404.98] 那主要还是因为这个
[2404.98-2406.98] 这个易后这个供应链呢
[2406.98-2408.98] 尚未稳定供应
[2408.98-2410.98] 还有美军这个查单
[2410.98-2412.98] 这样的一个因素的影响
[2412.98-2417.98] 那公司呢也正协调我们的客户中科院
[2417.98-2419.98] 的抗力为由
[2419.98-2423.98] 来依照合约条款来申请我们的一个研发
[2423.98-2428.98] 目前公司也正在等客户中科院的引入
[2428.98-2430.98] 那至于到2025年
[2430.98-2434.98] 是否还有预期交货的罚款
[2434.98-2438.98] 这部分若是有这样的一个情势发生
[2438.98-2440.98] 依照这个会计准则
[2440.98-2446.98] 还是得继续做这个罚款的一些认领上
[2446.98-2449.98] 好谢谢谢谢秀恩处长
[2449.98-2451.98] 好再来一题是
[2451.98-2454.98] 汉祥与马来西亚综合集团
[2454.98-2458.98] 合作签署未来5年生产长约
[2458.98-2463.98] 此长约预计对未来营收增加总金额为何
[2463.98-2465.98] 预算毛利为何
[2465.98-2469.98] 有望超越高较基总合约金额吗
[2469.98-2473.98] 那此合约预计何时开始贡献营收与获利
[2473.98-2478.98] 各年预计可增加营收跟获利的金额为多少
[2478.98-2480.98] 我想的确我们
[2480.98-2483.98] 的确我们公司跟纵横集团
[2483.98-2487.98] 在上个月3月25号已经签署了合作意向书
[2487.98-2491.98] 那我们希望在未来在能源跟航太零件
[2491.98-2493.98] 还有生技医疗部分呢
[2493.98-2496.98] 三大领域去深化合作
[2496.98-2498.98] 全面拓展这个国际的
[2498.98-2503.98] 国际市场的一个业务拓展
[2503.98-2506.98] 那针对在除能业务部分呢
[2506.98-2508.98] 那我们公司跟纵横集团
[2508.98-2510.98] 我们携手布局东南亚的一个
[2510.98-2512.98] 除能市场
[2512.98-2517.98] 那我们全力要提供这个稳定的供电解决方案
[2517.98-2522.98] 那未来也希望强占整个能源转型趋势中的一个市场的先机
[2522.98-2526.98] 打造绿色能源应用的一个竞争优势
[2526.98-2528.98] 那在航太领域部分呢
[2528.98-2533.98] 我们双方合作拓展航太零件的一些制造商机
[2533.98-2535.98] 那我们整合产业的一些资源
[2535.98-2539.98] 强化全球航太零件的制造跟业务的一个布局
[2539.98-2545.98] 那进一步我们提升我们双方的竞争力跟技术的一个优势提升
[2545.98-2547.98] 在生技医疗领域部分呢
[2547.98-2554.98] 我们也计划投入生技医疗的一些精密制造生产的一个设施
[2554.98-2559.98] 那推动整个医疗技术的发展跟市场的一个多元化
[2559.98-2563.98] 那我们也跟预计跟纵横集团呢
[2563.98-2567.98] 现今呢我们是透过技术的一个整合资源的分享
[2567.98-2568.98] 还有深度的交流
[2568.98-2573.98] 希望双方一起在不同的领域开创新的业务
[2573.98-2575.98] 那针对相关的金额呢
[2575.98-2578.98] 合作金额我们现在这个这边不必介入
[2578.98-2582.98] 所以就先这样做简略的说明
[2582.98-2591.98] 再下一题是2025年预计碳费预想金额为何重大吗
[2591.98-2594.98] 这个部分我们请秦助长帮我们做个说明
[2594.98-2596.98] 在碳汇的部分
[2596.98-2597.98] 依照政府
[2597.98-2601.98] 对碳汇的一个规定是2025年的温室气体排放
[2601.98-2605.98] 它达到2.5万吨的门槛的工厂
[2605.98-2609.98] 必须在2022年开始缴交碳汇
[2609.98-2611.98] 那我们公司呢
[2611.98-2613.98] 在第一季为止
[2613.98-2616.98] 我们的工厂的一个排放量
[2616.98-2621.98] 我们推估都是第一季都是还没有超过2.5万吨
[2621.98-2624.98] 那对于碳汇会不会对我们工厂有影响
[2624.98-2627.98] 我们有试着去做一个试算
[2627.98-2629.98] 我们以我们2023年
[2629.98-2632.98] 我们整个温室气体排放的一个数据呢
[2632.98-2635.98] 我们是有一个厂超过了2.5万吨
[2635.98-2640.98] 那如果我们依照政府的一个碳汇的一个计算费率去算的话
[2640.98-2642.98] 就是每一吨300亿去计算的话
[2642.98-2649.98] 我们超过的部分大概要缴碳汇约50万上下
[2649.98-2654.98] 所以对公司的整体营业是不会有重大的影响
[2654.98-2655.98] 以上说明
[2655.98-2656.98] 好谢谢
[2657.98-2659.98] 谢谢秦处长
[2659.98-2661.98] 在下面一题是
[2661.98-2666.98] 2025年第一季跟2025年年度展望为何
[2666.98-2669.98] 预计毛利率是否与2020年相当
[2669.98-2673.98] 那因为我们公司对外公告的财务预测
[2673.98-2676.98] 所以不会在这边揭露这些数字
[2676.98-2678.98] 不过第一季的毛利部分呢
[2678.98-2682.98] 我们依据规定会在5月中的这个公告第一季才报
[2682.98-2684.98] 以上
[2684.98-2687.98] 再来一题是
[2687.98-2690.98] 对于高教基全数交机完毕后
[2690.98-2694.98] 汉祥未来成长的动能有哪些
[2694.98-2697.98] 那我们可能就三个方面跟各位做一个说明
[2697.98-2699.98] 首先在军用业务部分
[2699.98-2701.98] 我们讲之前简报已经说过
[2701.98-2704.98] 我们新增的在IDF跟AJT的维保订单上面
[2704.98-2707.98] 我们预计大概300亿的一个订单金额
[2707.98-2711.98] 那预计分2到6年来履约
[2711.98-2713.98] 一进度认列
[2713.98-2716.98] 届时可以注意公司相当多的一些营收
[2716.98-2724.98] 那再来就是IDF性能提升计划结束迄今已经将近10年了
[2724.98-2729.98] 那针对未来考量这个消息性伤员跟性能提升的议题
[2729.98-2732.98] 那目前我们在争取IDF的一些业组计划
[2732.98-2736.98] 还有提升这些IDF电子作战能力
[2736.98-2740.98] 因目前现代的一个战场环境
[2740.98-2745.98] 那再来直升机是我们大力推展的争取的业务
[2745.98-2750.98] 包括了机队委托的管理还有系统件的商为案
[2750.98-2758.98] 那我们这些直升机的维保机种包括了UH60M AH1W还有AH64
[2758.98-2762.98] 那我们会持续争取相关的一些业务
[2762.98-2765.98] 那空军也已经透过军售管道
[2765.98-2772.98] 预计在115年起就要将现役的713栋机队做一个性能提升
[2772.98-2775.98] 那我们公司也在争取这样一个业务
[2775.98-2780.98] 在民用业务部分我们刚刚已经看到我们的简报
[2780.98-2784.98] 那个整个全球的航空运输是快速的复苏
[2784.98-2791.98] 那目前相关热门的机种都一直在稳定的回升
[2791.98-2793.98] 体现成长
[2793.98-2799.98] 包括空发波音还有他们双走道的一个客机
[2799.98-2803.98] 还有Balmadere的商务客机还有民用引擎
[2803.98-2806.98] 预计我们的营收是会逐年增长
[2806.98-2809.98] 那长线业务我们沉沉乐观的看待
[2809.98-2817.98] 在科普的部分我们持续争取大型负循环燃气发电机的机组的机会
[2817.98-2822.98] 那我们也持续开发电池管理系统跟大型电池储能柜
[2822.98-2826.98] 那我们要建设微电网就是电力岛的一些案场
[2826.98-2830.98] 那扩大统包的业务跟这个范畴
[2830.98-2832.98] 所以我们刚刚也在讲简报的第二大项目就是
[2833.98-2837.98] 大段这个市场业务展望跟布局也有做一个细部的说明
[2837.98-2840.98] 请各位再参考一下简报的部分
[2840.98-2843.98] 好再下一题
[2843.98-2847.98] 目前有无增资或扩厂的计划
[2847.98-2850.98] 考量我们公司的大股东日经济部
[2850.98-2853.98] 他在现今增资的这个行政作业上面的程序
[2853.98-2857.98] 还有我们也不希望说稀释这个公股的占比
[2857.98-2862.98] 再加上要考量这我们未来的业务规模跟成长的幅度
[2862.98-2866.98] 还有股东的最大权益的一个前提下
[2866.98-2869.98] 所以我们目前暂时没有增资的一些计划
[2869.98-2872.98] 至于建厂计划扩厂计划
[2872.98-2875.98] 去年我们子公司已经在美国构厂了
[2875.98-2880.98] 那现在正在进行相关一些固定资产的一个筹备
[2880.98-2885.98] 那至于本公司在钢山发动机事业处那边部分
[2885.98-2891.98] 我们正在进行积极的进行TCL第二阶段的一个扩厂作业
[2892.98-2894.98] 这样
[2894.98-2897.98] 再来一题就是
[2897.98-2902.98] 钢山锻造厂内的恒温锻造目前的发展进度为何
[2902.98-2908.98] 会是以发动机的涡轮和叶片为主要产品吗
[2908.98-2911.98] 是否有接货相关订单
[2911.98-2917.98] 未来主要的产品会是以民用还是军用产品为主
[2917.98-2921.98] 整体钢山锻造厂区在今年与未来对于
[2921.98-2924.98] 公司最大的注意为何
[2924.98-2929.98] 有预估这几年在营收占比的成长程度吗
[2929.98-2933.98] 这边回录是我们钢山4月2号在正式
[2933.98-2935.98] 我们的锻造厂正式启用
[2935.98-2941.98] 那目前公司已经达到热膜锻跟恒温锻造的一个能量
[2941.98-2948.98] 那我们这个恒温锻造目前我们是我们主要的发展项目
[2948.98-2951.98] 会包括军用跟民用的发动机零件
[2951.98-2956.98] 那主要是锁定在涡轮盘还有叶片还有发动机的支架等
[2956.98-2959.98] 那目前我们已经完成了手建的设置
[2959.98-2963.98] 那接下来就是要取得相关产品的一些品质认证
[2963.98-2966.98] 那各航空发动机的一个分工体系中呢
[2966.98-2969.98] 锻造材料是最难获得的
[2969.98-2974.98] 那目前大概都是被国外少数几家大厂所掌握
[2974.98-2978.98] 所以现在发动机事业处那边能够有我们锻造厂的一个落成呢
[2978.98-2981.98] 我们会朝这个发动机一个锻造厂的一个落成去做的
[2981.98-2984.98] 那我们将在这个锻造的方向去进行开发
[2984.98-2990.98] 那我们要优先节缓这个全球航太产业供应链的一个问题
[2990.98-2994.98] 那未来我们将跨入这个航空锻造的一个南海市场
[2994.98-3002.98] 接下来是想了解探想与船舶中心的合作案
[3002.98-3004.98] 还有未来的规划
[3004.98-3008.98] 我们在今年2月12号的时候的确跟
[3008.98-3010.98] 那个跟
[3010.98-3015.98] 财团法人就是船舶跟海洋产业研发中心签署了合作备忘录
[3015.98-3019.98] 那未来我们将按各自的专业领域呢进行技术合作
[3019.98-3025.98] 扩大我们的研发制造测试还有维修等业务的方向
[3025.98-3028.98] 那航空与船舶产业我们要一起强强联手
[3028.98-3031.98] 从装备到系统一起打造国防自主
[3031.98-3034.98] 跟共同争取更多的一些商机
[3034.98-3036.98] 这是我们对未来的规划
[3036.98-3040.98] 所以以上是我们前面已经所准备的一些问题
[3040.98-3042.98] 做一些说明
[3042.98-3045.98] 那接下来还有一些问题
[3045.98-3049.98] 好的非常谢谢金副总这么详细的说明
[3049.98-3054.98] 那接下来我们进行这个及时文字提问的部分
[3054.98-3057.98] 那各位与会的先进
[3057.98-3061.98] 若有其他任何问题也欢迎先把问题打在聊天室当中
[3061.98-3067.98] 那目前在这边的聊天室有先进的问题是
[3067.98-3069.98] 请教公司如何评估
[3069.98-3075.98] HOMET原引不可抗力事件暂停出货的可能
[3075.98-3078.98] 那公司是否会受到影响
[3078.98-3080.98] 应该没有
[3080.98-3083.98] 首先说明我们针对第一个问题
[3083.98-3086.98] HOMET现在并没有停止交运
[3086.98-3089.98] 我们知道的手上的资讯是没有停止交运
[3089.98-3091.98] 这个是应该不会受到任何影响的
[3091.98-3095.98] 那我们会持续观望
[3095.98-3098.98] 第二个问题是公司内部是否评估
[3098.98-3104.98] 受航太关税影响的供应商与飞机制造商之间的关税分担比率
[3104.98-3108.98] 以及该比率会如何影响公司的毛利率
[3108.98-3112.98] 因为这个讯息是这两天4月2号才发布
[3112.98-3115.98] 这个川普2.0关税的新的数据
[3115.98-3116.98] 32%
[3116.98-3118.98] 那依据我们现在的合约
[3118.98-3121.98] 跟不管是飞机部分还是发动机部分
[3121.98-3123.98] 在合约部分这个税务都是零
[3123.98-3125.98] 不会受到影响
[3125.98-3127.98] 但是针对新的合约是不是会要去
[3127.98-3129.98] 客户会不会做一些调整
[3129.98-3130.98] 我们并不知道
[3130.98-3132.98] 那我们持续了解
[3132.98-3135.98] 持续观望这个变化的过程
[3135.98-3136.98] 这样子
[3136.98-3138.98] 好谢谢
[3138.98-3140.98] 那有其他的先进在问说
[3140.98-3144.98] 请问2025年的营业费用会怎么看
[3144.98-3147.98] 来这个秀燕可不可以帮我回答一下
[3147.98-3148.98] 好
[3148.98-3150.98] 这个叫税率
[3150.98-3153.98] 我们刚刚已经知道就是说
[3153.98-3156.98] 在公司的营收的占比上面
[3156.98-3160.98] 主要还是以这个国防业务为主
[3160.98-3164.98] 那今年高交机还上有
[3164.98-3166.98] 提早合约是18
[3166.98-3170.98] 然后还有去年期交期价级的联交的部分
[3170.98-3173.98] 所以就国防的占比
[3173.98-3175.98] 应该它还是会
[3175.98-3179.98] 今年的营收还是会以国防业务为比较大
[3179.98-3184.98] 那所以整体来看公司这样子的一个
[3184.98-3186.98] 营收的一个
[3186.98-3188.98] 规模的一个情况
[3188.98-3192.98] 我们会建议就是说
[3192.98-3195.98] 公司的2025年营业费用
[3195.98-3199.98] 应该会跟去年是有所相当
[3199.98-3203.98] 这个是可以请大家去做一个参考
[3203.98-3205.98] 那再来
[3205.98-3207.98] 是有关于问到
[3207.98-3210.98] 我就直接看这题目了
[3210.98-3213.98] 有问到说今年的税率
[3213.98-3215.98] 预估是多少的事情
[3215.98-3216.98] 好
[3216.98-3220.98] 在前年112年
[3220.98-3225.98] 我们是390亿的一个营收
[3225.98-3226.98] 那这
[3226.98-3229.98] 113年是393亿
[3229.98-3232.98] 那这两年的所得税率
[3232.98-3236.98] 我们差不多都是在22%左右
[3236.98-3239.98] 那预估我们今年应该还是会
[3239.98-3242.98] 这样的一个水准
[3242.98-3244.98] 差不多是在这样一个水准下
[3244.98-3245.98] 好
[3245.98-3247.98] 那再来就是
[3247.98-3250.98] 产品组合的个别毛利率
[3250.98-3253.98] 这部分我们也是
[3253.98-3258.98] 因为可能会影响这个公司财策的问题
[3258.98-3259.98] 这个变在这边
[3259.98-3263.98] 做一个来做多做一些说明
[3263.98-3265.98] 好
[3265.98-3267.98] 那以上
[3267.98-3269.98] 这边先件事情
[3269.98-3273.98] 请问公司营收美国地区的营收占比
[3273.98-3279.98] 那川普克税对现有的航太供应链可能的干扰
[3279.98-3282.98] 还有汉商目前产能占全公司的比重
[3282.98-3286.98] 还有中长期的方向
[3286.98-3289.98] 我们公司美国的大概占28
[3289.98-3291.98] 34
[3291.98-3293.98] 那是税占34
[3293.98-3294.98] 那个长治29
[3294.98-3297.98] 营收大概34是不是
[3297.98-3299.98] 这个不能一说占34
[3299.98-3300.98] 题目在哪里
[3300.98-3301.98] 就是两边跳来跳去
[3301.98-3302.98] 题目是
[3302.98-3304.98] 有屏幕这边
[3304.98-3305.98] OK
[3305.98-3309.98] 公司占美国地区的营收占比
[3309.98-3310.98] 是刚讲34吗
[3310.98-3311.98] 是
[3311.98-3317.98] 然后川普克税对现有航太供应链可能的干扰
[3317.98-3319.98] 因为就刚跟各位报告了
[3319.98-3320.98] 因为他现在
[3320.98-3322.98] 就现在目前我们的合约
[3322.98-3323.98] 对税务的部分
[3323.98-3325.98] 我们是不受影响
[3325.98-3327.98] 但是未来新合约是怎么样
[3327.98-3331.98] 我们还要看他的税务的这个细部的一个
[3331.98-3333.98] 限制跟规划
[3333.98-3338.98] 那目前BIBC才能占全公司比重
[3338.98-3341.98] 美方那就是equivalent
[3341.98-3342.98] 就是34%
[3342.98-3344.98] 那中长期方向的话
[3344.98-3347.98] 我们就是我们会持续做调整
[3347.98-3350.98] 那会是实际的情况
[3350.98-3353.98] 跟客户的一个协商
[3353.98-3358.98] 2025年国防业务和民用业务成长不度
[3358.98-3360.98] 如何会有双
[3361.98-3363.98] 位数的增长吗
[3363.98-3367.98] 目前我们国防部的占比是绿五成
[3367.98-3369.98] 那这问题是未来是不是
[3369.98-3372.98] 今年现在是占五成嘛
[3372.98-3374.98] 那主要
[3374.98-3378.98] 我想未来还是会有双位数的成长
[3378.98-3380.98] 是不会有问题的
[3380.98-3382.98] 应该是这样
[3382.98-3384.98] 这次好小
[3384.98-3388.98] 国防民用业务的成长何者较高
[3388.98-3389.98] 如果今年的话
[3389.98-3391.98] 今年还是国防业务
[3391.98-3392.98] 因为占五成嘛
[3392.98-3394.98] 但是就成长的部分
[3394.98-3395.98] 我们想先
[3395.98-3396.98] 好了
[3396.98-3398.98] 有关于这一部分
[3398.98-3401.98] 今年的一个国防业务
[3401.98-3403.98] 跟民用业务的一个成长不度
[3403.98-3410.98] 因为我们的国防业务已经算是一个高基期的一个情况
[3410.98-3415.98] 那今年虽然交运有较多
[3415.98-3417.98] 但是就高教基的部分
[3417.98-3420.98] 是他还是以完进度完工百分比
[3420.98-3421.98] 是他还是以完进度完工百分比
[3421.98-3423.98] 在任内业以手的
[3423.98-3428.98] 他的进度不会受到交基数量的增加
[3428.98-3430.98] 而有很大的变化
[3430.98-3431.98] 所以这一部分
[3431.98-3437.98] 我们还是会以民用机的成长幅度
[3437.98-3441.98] 会高过于目前国防业务的一个成长
[3441.98-3447.98] 那至于民用机会不会有两位数的一个成长
[3447.98-3450.98] 这一部分我们也是
[3450.98-3453.98] 因为从211年开始
[3453.98-3455.98] 民用机的一个成长
[3455.98-3457.98] 几乎都是
[3457.98-3459.98] 双位数的一个成长
[3459.98-3462.98] 那也渐渐的那个基期已经也被垫高
[3462.98-3465.98] 所以目前是
[3465.98-3468.98] 应该是不会有
[3468.98-3470.98] 到两位数的一些成长
[3470.98-3477.98] 再来一个
[3477.98-3479.98] 这边先记得问说美国对等关税对业务营业额是什么样的?
[3480.98-3483.98] 目前美洲的客户占比是34%
[3483.98-3487.98] 那有多少是直接对接美国境内的客户
[3487.98-3492.98] 那可否让欧洲厂的厂商如空吧供应链
[3492.98-3494.98] 补上这个缺口呢?
[3494.98-3496.98] 就刚刚各位报告
[3496.98-3500.98] 美国如果真讲美国的话是28个百分比
[3500.98-3506.98] 那可否让欧洲厂商和空吧供应链补上这个缺口
[3506.98-3507.98] 因为这个我们持续
[3507.98-3509.98] 因为现在的订单是我们讲持续成长
[3509.98-3512.98] 但是现在是这个关税的问题
[3512.98-3514.98] 可能我们都还要再观望
[3514.98-3516.98] 但是我们会持续去争取
[3516.98-3525.98] 下一题是原料采购跟客户报价的方式
[3525.98-3528.98] 那原料来源美国占比有多少?
[3528.98-3532.98] 我们大宗的原料是从美国来没有错
[3532.98-3535.98] 那未来那个报价的方式呢
[3535.98-3537.98] 采购报跟原物料采购的方式呢
[3537.98-3540.98] 原物料采购跟客户
[3540.98-3542.98] 怎么跳起来
[3542.98-3545.98] 原物料采购跟客户报价方式
[3545.98-3548.98] 这是两端嘛
[3548.98-3551.98] 我们客户我们先拿到订单之后
[3551.98-3552.98] 我们依据订单展开
[3552.98-3554.98] 我们要去买什么样的物料
[3554.98-3556.98] 我们再去做原物料的采购这样子
[3556.98-3559.98] 那就现在的情况就讲
[3559.98-3561.98] 在客户端的报价呢
[3561.98-3564.98] 跟税我们目前税是不会影响到的
[3564.98-3567.98] 那对于原物料因为我们合约也签下去了
[3567.98-3570.98] 现在都应该能够掌控得住
[3570.98-3575.98] 只是未来整个新的关税这个课下去之后
[3575.98-3579.98] 怎么跟客户跟厂商之间的这个变化嘛
[3579.98-3582.98] 还是大家都在持续观望中这样子
[3582.98-3586.98] 好再来就是下面这个
[3586.98-3588.98] 再来的问题
[3588.98-3591.98] 按照25年的第二季才开始交机
[3591.98-3594.98] 2025年需要交的18价
[3594.98-3597.98] 所以25年上半年可能会是
[3597.98-3601.98] 有AJT的部分罚款吗
[3601.98-3604.98] 刚刚我们秀宴处长有答复过了嘛
[3604.98-3607.98] 依照合约的话今年还是会有
[3607.98-3610.98] 今年还是会有
[3610.98-3615.98] 那刚刚提到强化航太断键技术
[3615.98-3618.98] 请问之女新计划有打算重启吗
[3618.98-3621.98] 我想这是中科院的问题
[3621.98-3623.98] 我们没有办法回答
[3623.98-3626.98] 那先前的探线为复
[3627.98-3630.98] 合彩目前的生产技术
[3630.98-3637.98] 是否规划参与600架以上的中继型无人机表案
[3637.98-3640.98] 这个目前我们还没有
[3640.98-3642.98] 没有这方面
[3642.98-3643.98] 我们没有这方面的
[3643.98-3645.98] 应该是讲合彩的
[3645.98-3646.98] 他讲的
[3646.98-3647.98] 他说
[3647.98-3648.98] 他说
[3648.98-3649.98] 他说还没有
[3649.98-3651.98] 你现在是讲的新订单了是不是
[3651.98-3652.98] 还是怎么样
[3652.98-3655.98] 这个题目可以再具体一点说明吗
[3655.98-3657.98] 副总我补充一下
[3657.98-3663.98] 那个我们在两年前的话其实就有提到说要打入到热缩的探线复合彩
[3663.98-3665.98] 然后那是空吧的那个产品
[3665.98-3667.98] 那请问这个产品目前的进度
[3667.98-3669.98] 我们现在持续在开发当中
[3669.98-3671.98] 那应该什么时候
[3671.98-3673.98] 那个我们有具体的
[3673.98-3678.98] 我们也在前一阵子去JEC副财长去跟空吧在谈
[3678.98-3682.98] 那现在来讲还在洽谈这个合作的项目之中
[3682.98-3686.98] 所以目前还没有提的这个600架以上这个部分
[3687.98-3689.98] 所以三四是一提的是不是
[3689.98-3694.98] 没有这两件事情就是复合材料是在讲两年前的那个跟空吧的合作的
[3694.98-3696.98] 目前还是在继续发展
[3696.98-3698.98] 所以还在发展
[3698.98-3700.98] 所以今年不会出货
[3700.98-3701.98] 对
[3701.98-3703.98] 那还有其他新产品吗
[3703.98-3706.98] 譬如说说譬如说像座椅这样子
[3706.98-3707.98] 没有座椅
[3707.98-3709.98] 我们已经没有没有做
[3709.98-3711.98] 一直没有做了
[3711.98-3715.98] 然后那个6应该是633嘛
[3715.98-3717.98] 600架以上的国防部
[3717.98-3725.98] 在几个礼拜前的话有公开征求大概600多架的一个中继型的一个无人机的一个订单
[3725.98-3728.98] 那这个我们有想要去去做切入吗
[3728.98-3731.98] 那个你讲的这个是军用三规的无人机吗
[3731.98-3734.98] 那看起来应该是军规的
[3734.98-3737.98] 军用军规可能就会去整理
[3737.98-3741.98] 但是军用军规基本上还是会透过中科院
[3741.98-3745.98] 因为我们过去做的中科院的就是我们过去做的军用军规
[3745.98-3751.98] 我们过去做的军用军规的轮机都是从中科院的一个标案过来的
[3751.98-3753.98] 没有他现在还在公开征求阶段
[3753.98-3759.98] 所以还不清楚说他的标案的属性到底会是怎么样
[3759.98-3764.98] 那我们就是后面我们还要看他实时内容才会去做评估
[3764.98-3766.98] 所以这个还没有还没有开始做评估
[3766.98-3769.98] 没有没有了解
[3769.98-3773.98] 对这个没有我们还没有还没有做评估
[3773.98-3774.98] 对这个没有我们还没有还没有做评估
[3774.98-3776.98] 我们还没有还没有进入
[3776.98-3778.98] 633家
[3778.98-3784.98] 好再来是否打算切入欧洲的国防客户例如莱茵金属
[3784.98-3786.98] 先前我们刚刚已经跟各位报告过
[3786.98-3789.98] 就是说欧洲的国防订单我们现在还没有接货
[3789.98-3792.98] 那我们也知道莱茵金属他一直在扩充他的产能
[3792.98-3795.98] 只要有机会的话我们一定会全力争取
[3795.98-3800.98] 那未来可能就是在一些航展上面或者是客户的拜访啊
[3800.98-3803.98] 这些我们会去跟他们争取这方面的业务
[3804.98-3810.98] 那AJT罚款目前中科院是回复免责吗
[3810.98-3812.98] 并没有我们还在持续努力当中
[3812.98-3815.98] 刚刚秀元处长这边也就做一个说明了
[3815.98-3819.98] 之前掉下去的AJT目前有初步的责任归属吗
[3819.98-3823.98] 这个应该我想是由军方来那个负责回答
[3823.98-3832.98] 那在智飞的商规无人机订单主要负责协助生产什么
[3832.98-3836.98] 我们负责整机的那个生产96架
[3836.98-3839.98] 组装这个部分96架
[3839.98-3846.98] Stakecom的标案进度应该是4月会开标嘛
[3846.98-3849.98] Stakecom就是那个凤林岚嘛是不是
[3849.98-3853.98] 对对那个4月才会开标进度
[3853.98-3855.98] 4月中啦现在还没有
[3855.98-3860.98] 电力岛的主城市协助客户就地建置太阳能小风力与除能程
[3860.98-3861.98] 是的
[3861.98-3864.98] 我们协助做这个所以我们要自己的示范案场
[3864.98-3868.98] 然后我们开始去做业托对整个EDC的
[3868.98-3876.98] 请问刚提到国防业务年增看法是个位数还是两位数
[3876.98-3879.98] 刚刚没听清楚不好意思请
[3879.98-3882.98] 刚刚是秀燕你回答是不是
[3882.98-3883.98] 是
[3883.98-3884.98] 让你先说清楚一点
[3884.98-3888.98] 这个国防业务我们可能还是持平的
[3888.98-3890.98] 那这个民用业务应该就是
[3890.98-3891.98] 是
[3891.98-3894.98] 还是个位数的一个成长
[3894.98-3898.98] 我想刚刚我们前面简报都已经在说明
[3898.98-3900.98] 我们希望做一个转型
[3900.98-3903.98] 因为的确出教机跟下一代战机暂缓
[3903.98-3906.98] 所以我们现在要争取新的业务
