[0.00-4.00] 各位好 謝謝麻煩你們今天跑一趟了
[4.00-8.00] 然後今天的簡報內容
[1725.38-1728.38] 那剩下的可能是6月23號之後
[1728.38-1732.38] 無論是用那個協議跟股東之間的協議程序
[1732.38-1741.38] 或者是說BIGO他用針對特定股東減資收回股權的方式去做
[1741.38-1747.38] 那這個現在大概都真的真的可以做的時間是到6月6月之後
[1747.38-1751.38] 現在其實也這個時間點是沒有辦法做任何事情的
[1751.38-1757.38] 那我們在6月23號之後就會讓他做一個下市準備的程序
[1757.38-1763.38] 那去年去年的報表大家可能看到Q4會有一個一次性的廉價購買力
[1763.38-1765.38] 其實應該是這樣
[1765.38-1769.38] 我們當初在決定要買這家公司的評估過程的時候
[1769.38-1770.38] 其實就已經發現他淨值高於6月11號了
[1770.38-1773.38] 他淨值高於我們預計要收購的價格
[1773.38-1775.38] 其實我今天沒有這個PPA的建價報告
[1775.38-1777.38] 我仍然是廉價購買力
[1777.38-1782.38] 然後這個PPA是因為我們那時候針對他的不動產
[1782.38-1786.38] 針對他的生產設備去重新建價
[1786.38-1793.38] 其實建價的原因是在確認他的應收應付不動產設備
[1793.38-1796.38] 這一些東西是不是會有減損的問題
[1796.38-1799.38] 那其實評下來之後他反而沒有減損
[1799.38-1800.38] 是增值了
[1800.38-1802.38] 我們今天早上也還在跟會議室討論
[1802.38-1806.38] 因為今年的半年報應該這個PPA就會final了
[1806.38-1810.38] 會議室那邊自己內部也會做檢核
[1810.38-1814.38] 實際上真正發生多少的廉價購買力
[1814.38-1817.38] 可能我們在那個今年半年報就會全部都final掉
[1817.38-1823.38] 那去年認列廉價購買力大概有6.8億左右
[1823.38-1829.38] 這個一般我們在買公司的時候可能會有所謂這一些商譽
[1829.38-1835.38] 商譽的話通常都是你的買價高於他的資產價值
[1835.38-1843.38] 那我們當初在評估的時候其實他有兩個會造成類似商譽進到那個資產
[1843.38-1845.38] 就是說比較虛的那個資產的部分
[1845.38-1848.38] 有一個其中是一個客戶的價值
[1848.38-1850.38] 就是CGATE對他的客戶價值
[1850.38-1853.38] 然後另外一個是他營運團隊的價值
[1853.38-1855.38] 那營運團隊因為全部留下來
[1855.38-1858.38] 然後CGATE這個客人因為一直持續存在
[1858.38-1860.38] 我們那時候覺得這個東西比較虛
[1860.38-1862.38] 所以一開始的時候在做建價
[1862.38-1864.38] 這個東西我們就沒有認了
[1864.38-1869.38] 所以他其實現在進來你看到淨值PVA增加的這個廉價購買力
[1869.38-1871.38] 全部都是實的資產
[1871.38-1873.38] 而且甚至那個深圳廠
[1873.38-1876.38] 我們覺得那個深圳廠未來要處分的話
[1876.38-1878.38] 那個價值可能現在中國大陸狀況不好
[1878.38-1881.38] 我們深圳廠完全沒有做重複增值
[1881.38-1884.38] 所以主要是泰國廠跟其他的設備
[1884.38-1888.38] 那這個是我們每一個建價的一個建議
[1888.38-1892.38] 就是我們要去度我拆分單季的狀況
[1892.38-1898.38] 那其實在因為去年到Q4的時候
[1898.38-1903.38] 只有他BIGO真正併表的時間就是23號到31號
[1903.38-1905.38] 那個其實營收影響的比較小一點
[1905.38-1909.38] 那主要其實今年Q1就會比較明顯
[1909.38-1912.38] 因為他們的營運每個月的營收
[1912.38-1916.38] 因為除了那個CNC加工那個甲曲幣之外
[1916.38-1919.38] 他們還幫CGAY的聯供代料做組裝
[1919.38-1922.38] 那聯供代料這個部分其實我們曾經有討論過
[1922.38-1924.38] 說它是不是用淨額法呈現
[1924.38-1929.38] 不過這個還關係到它跟CGAY的供貨合約
[1929.38-1931.38] 這一些它指定用料的聯供代料
[1931.38-1934.38] 到底存貨到底歸屬是誰的
[1934.38-1937.38] 這個其實現在我們還在討論這個部分
[1937.38-1939.38] 不過即使改用淨額法
[1939.38-1941.38] 那個總利潤是不會變的啦
[1941.38-1945.38] 只是說我們想要讓它那一些連聯供代料
[1946.38-1951.38] 就是這個料的部分是不是可能就不要去認
[1951.38-1953.38] 這個目前還在討論中
[1953.38-1958.38] 那到Q1的時候其實實質上併購的效益已經慢慢顯現出來
[1958.38-1963.38] 其實它已經比去年甚至比前幾個年度的效益都還要好
[1963.38-1967.38] 就不要看營收你看淨利的表現還是比較好一些
[1967.38-1970.38] 資產負債變動比較大一點
[1970.38-1976.38] 因為主要是雖然說那個損益它的認列的時間持有
[1976.38-1979.38] 有9天但是資產負債表它是都會進來的
[1979.38-1982.38] 那它在營收帳款跟那個
[1982.38-1985.38] 跟營收帳款的size
[1985.38-1987.38] 營收帳款跟存貨的size比較大
[1987.38-1990.38] 所以它會影響到Q4的時候影響比較大一些
[1990.38-1993.38] 那因為我們這一次負債比看起來是比較重一點
[1993.38-1999.38] 因為收購BIGL的我們主要是全部都用銀行融資
[1999.38-2001.38] 並沒有發行新股去償還
[2001.38-2005.38] 那這個部分可能後續我們今年其實應該
[2005.38-2008.38] 我們目前有在規劃中要去做CP跟現增
[2008.38-2010.38] 那償還掉部分的銀行借款
[2010.38-2013.38] 就把自己的那個資金壓力減輕一些
[2013.38-2017.38] 那比較明顯的是其實因為那個
[2017.38-2020.38] 廉價購買利益還有進來的資產的價值
[2020.38-2026.38] 其實我們的淨值就是每股淨值成長的狀態比較高一點
[2026.38-2031.38] 好所以這個25年度我們現在計畫是
[2031.38-2035.38] 那個今年會做募集資金償還部分的銀行借款
[2035.38-2038.38] 那在業務發展的部分
[2038.38-2042.38] 對不起現在他們因為去年的年會的時候告訴我們
[2042.38-2044.38] 不能把他的名字寫出來
[2044.38-2047.38] 就那個中國B公司就深圳的那個B公司
[2047.38-2053.38] 他在去年並表的時候已經變成我們第二大消貨客戶了
[2053.38-2056.38] 那今年後面持續會有一些合作
[2056.38-2060.38] 甚至可能也有一些營運目標目前正在談
[2060.38-2064.38] 然後印尼這個日商就Sony的PlayStation
[2064.38-2065.38] 7月1號
[2065.38-2067.38] 應該是已經會正常開始出貨了
[2067.38-2073.38] 那沖繩設備今年年初交了兩台1000噸的Q1 Q2
[2073.38-2078.38] 我們這些持續會有一些中型跟標準機型的噸數會繼續在出貨
[2078.38-2085.38] 那下半年的話大概600噸以上的客戶交付會稍微多一點
[2085.38-2089.38] 目前我先不講那個今年才接新訂單
[2089.38-2094.38] 以我們現在看得到的大概他今年設備
[2095.38-2097.38] 我沒有算從新加坡出貨
[2097.38-2102.38] 如果說以中國單純從中國無錫這邊出貨的話
[2102.38-2109.38] 他今年營收應該大概在4.5億人民幣左右
[2109.38-2111.38] 今年預計會出貨的認列的
[2111.38-2113.38] 對預計會出貨認列
[2113.38-2116.38] 可是因為那個年初兩台那個1000噸
[2116.38-2120.38] 他上面算的那個價格是出給新加坡的價格
[2120.38-2124.38] 其實新加坡銷售的時候他其實是有在加價上去的
[2125.38-2131.38] 然後近期我們剛剛有講到近期我們最近預約的客人
[2131.38-2134.38] 明顯是應用在那個AI散熱相關的
[2134.38-2138.38] 然後而且他大概噸數開口都是1000噸以上
[2138.38-2142.38] 所以我覺得這個可能或許是明年真的明年的
[2142.38-2146.38] 明年的設備交貨可能會集中在比較高噸數上面
[2146.38-2149.38] 因為以目前市場的應用跟需求來看的話
[2149.38-2153.38] 我們現在應該是
[2153.38-2156.38] 6800、8100、1000
[2156.38-2160.38] 甚至現在那天到中部去談的這個客人
[2160.38-2165.38] 有可能明年的規劃是需要採購到1200噸的設備
[2165.38-2167.38] 比較大一點
[2167.38-2172.38] 比較大一點相對銷售價格跟利潤度就會比較好
[2172.38-2174.38] 而且我們家董事長很厲害
[2174.38-2181.38] 他年初這兩台那個出貨的訂單的合約價
[2181.38-2182.38] 跟他
[2183.38-2185.38] 最近談完的這個合約價
[2185.38-2187.38] 那個價差滿令人滿意的
[2187.38-2189.38] 就是說他同樣噸數
[2189.38-2191.38] 雖然說檯面有一些是客製化的東西
[2191.38-2194.38] 但是他雖然說你美元因為現在貶值
[2194.38-2197.38] 我們還是需要再去調整一下銷貨價格
[2197.38-2202.38] 但是那個價差已經遠遠高於會對造成的影響
[2202.38-2205.38] 所以那個因為明年真的交了之後
[2205.38-2207.38] 那個利潤應該是真的還不錯
[2207.38-2213.38] 然後服務型機器人7月之後會在
[2213.38-2216.38] 一些比較重要的場域出現
[2216.38-2218.38] 那現在機場是兩排
[2218.38-2221.38] 然後還有一個某縣市政府
[2221.38-2225.38] 可能大概7月8月份吧
[2225.38-2226.38] 應該也會進去了
[2226.38-2231.38] 那他是在一個他當地的地標的一個廣場上面運行
[2231.38-2236.38] 那這個對我們來講其實還滿指標性的
[2236.38-2239.38] 因為他背後其實場域都是官方的
[2239.38-2242.38] 那如果說你今天是那個
[2242.38-2247.38] 今天是大陸出廠的那個大陸的機器人的話
[2247.38-2249.38] 其實是沒有辦法進這個場域的
[2249.38-2253.38] 這個是我們目前還滿看得到的優勢
[2253.38-2255.38] 那這三個場域出現
[2255.38-2257.38] 如果說Deliver了之後
[2257.38-2260.38] 我們也有另外一個還滿大的客戶
[2260.38-2264.38] 已經跟我們講說機場看到他就要開始跟我們談了
[2264.38-2270.38] 這個其實後面大概客人已經還滿明確在什麼地方
[2270.38-2271.38] 那HDD
[2271.38-2273.38] 那HDD的這個部分呢
[2273.38-2275.38] 今年大概
[2275.38-2276.38] 今年應該這樣講
[2276.38-2283.38] 今年大家32T的儲存的新的HDD都剛出來
[2283.38-2288.38] 無論是WD或是CGATE就前兩大
[2288.38-2291.38] 那他大概在今年
[2291.38-2294.38] 今年因為大概在前一個月
[2294.38-2296.38] 現在才剛剛正式開始在撲貨
[2296.38-2299.38] 那雖然說我們之前製造前端
[2299.38-2301.38] 已經開始在做這個東西一段時間了
[2301.38-2304.38] 但是他真正依照客戶給
[2304.38-2308.38] 給我們的最終市場指導性原則
[2308.38-2312.38] 其實他真正爆發的時間點應該在明年後年
[2312.38-2315.38] 所以他今年的營收或許
[2315.38-2322.38] BIGO今年他自己的營收或許沒有去年這麼高
[2322.38-2325.38] 但是因為去年他還有出了比較多那個中低階的東西
[2325.38-2328.38] 他今年出的貨雖然營收沒有那麼高
[2328.38-2330.38] 但是他今年的利潤度會上來
[2330.38-2336.38] 所以以我們看到他們的預算
[2336.38-2340.38] 他們的預算達成度其實都還蠻
[2340.38-2344.38] 這個公司因為已經運行這個行業做很久
[2344.38-2348.38] 所以他們在預算方面的估計跟達成度是非常高的
[2348.38-2353.38] 那他們在去年的時候報表出來
[2353.38-2356.38] 稅後是1200萬新幣嘛
[2356.38-2359.38] 那我們看到今年的預算去review過他
[2360.38-2364.38] 他今年大概也不會比去年差
[2364.38-2367.38] 還會有一些成長
[2367.38-2371.38] 然後這個其實另外附帶一個事情好了
[2371.38-2377.38] 我們去年跟今年其實大家12月份
[2377.38-2379.38] 跟今年到1月份的時候
[2379.38-2381.38] 大家可以看得到很明顯
[2381.38-2386.38] 那個Q1的時候3月份的時候營收度很下來
[2386.38-2389.38] 那12月份的時候因為我們原先快遺師給我們
[2390.38-2393.38] 我們本來的併購基準日其實本來是10月28日
[2393.38-2395.38] 但是因為中間有太多可控
[2395.38-2399.38] 是否可控公司的因素最後沒有辦法達成
[2399.38-2403.38] 我們修改回去12月23日才是併購基準日
[2403.38-2411.38] 所以原先的那個10月11月的營收本來是合併的
[2411.38-2413.38] 但是後來我們把它扣回去了
[2413.38-2418.38] 但是實質上他的效益其實是顯現在那個廉價購買利益上面
[2418.38-2420.38] 那大家就會很明顯的看到這個
[2420.38-2428.38] 為什麼12月下去然後那個可能每一季的前面兩個月的營收都很正常
[2428.38-2432.38] 我那一天其實是我看到之後我有跟那個總裁會長討論過
[2432.38-2435.38] 他的確是因為Seagate他自己也是上市公司
[2435.38-2437.38] 他也有季報的壓力
[2437.38-2439.38] 他自己不想要太多存貨
[2439.38-2442.38] 所以他每個Quart這已經是他們常態的季節性因素
[2442.38-2447.38] 所以每隔3 6 9 12如果看到營收掉下來不用太驚訝
[2447.38-2449.38] 那就只是中端客人
[2450.38-2453.38] 就只顧他們的提貨的政策而已
[2453.38-2459.38] 所以這個也是為什麼BiGO邊營運預算我們在review的時候
[2459.38-2461.38] 為什麼他都是百Quart去編
[2461.38-2463.38] 因為他百Month邊沒有意義
[2463.38-2466.38] 他百Month邊的時候他369就是一個很不正常的狀態
[2466.38-2471.38] 所以我們是用季在review他們的預算達成的狀況
[2471.38-2479.38] 那我們現在併完之後的第一季回過頭去reference我們自己BiGO
[2479.38-2485.38] 跟我們自己的預算其實達成的狀況是都OK的
[2485.38-2488.38] 那比較差的一點是因為在那個折舊
[2488.38-2496.38] 因為去年在那個併BiGO的時候PBA報告他有一大段是設備的重估增值
[2496.38-2499.38] 那設備重估增值其實這個到半年的時候我們今天早上在開會
[2499.38-2501.38] 我們有一些部分還會再做一些調整
[2501.38-2506.38] 所以Q2的時候的折舊的金額應該會下降
[2506.38-2508.38] 對有一些我們在總金額不變的狀況之下
[2509.38-2512.38] 配比有一些配比的部分我們會再去做調整
[2512.38-2517.38] 那可能Q2之後的影響性就會小比較多
[2517.38-2522.38] 那Q1的時候其實主要是在那個設備折舊的這一塊
[2522.38-2527.38] 可能影響到Q1的那個最後的獲利數
[2527.38-2531.38] 就大概以上是這樣 謝謝
[2539.38-2550.38] 我們還可以整理一下
[2550.38-2552.38] 這邊的濾 fluids
[2552.38-2556.38] 這樣就不會太不便rator
[2556.38-2561.38] 我們之後應該還是有機會會繼續要看比如
[2561.38-2567.38] 然後看的話大概應該主要還是在那個不同的金屬加工的工藝方面
[2567.38-2568.38] 很多建築設備其實是種類是血融物質的東西
[2568.38-2569.26] 正如像What message 黑手不佑有存仁
[2569.38-2576.38] 那因為買了這個算是一開始我們就鎖定它其實是一個獲利比較好的公司
[2576.38-2579.38] 所以其實之後它可能會變成我們的ROMA
[2579.38-2583.38] 也不會隨便說看到什麼東西就隨便亂買
[2583.38-2587.38] 因為買進來真正對我們來講有效應那個才是有用的
[2592.38-2596.38] 沒問題了嗎?還是大家要私下跟我聊
[2596.38-2598.38] 請說什麼?
[2598.38-2600.38] 請問我們設備有分成短熱段嗎?
[2600.38-2603.38] 沒有,設備其實它就是單純沖壓
[2603.38-2605.38] 就是press的設備而已
[2605.38-2611.38] 它就是壓線,就是用瞬間的那個重力跟壓力下去壓的
[2613.38-2617.38] 想問一下我們出貨那兩台1000噸的我們已經入帳了嗎?
[2617.38-2619.38] 入帳了,一月份的時候入了
[2619.38-2622.38] 1000噸的它大概售價跟毛利會有差嗎?
[2622.38-2624.38] 好,好問題
[2624.38-2626.38] 我們新街的
[2626.38-2630.38] 新街的這個我講一個range好了
[2630.38-2635.38] 因為它後面還有我們報價其實是170萬美金
[2635.38-2637.38] 就1000噸的
[2637.38-2641.38] 但是因為它有一些客製化的東西調整了之後
[2641.38-2644.38] 最後的價格比這個稍高一點點
[2644.38-2646.38] 然後但是年初的這個就
[2646.38-2649.38] 年初的這個客人比較會砍價
[2649.38-2651.38] 而且那時候接單
[2651.38-2655.38] 我們都在笑說這個以後設備接單要叫董事長去
[2655.38-2656.38] 就是
[2656.38-2657.38] 老董事長
[2657.38-2659.38] 哇,那個真的是很厲害
[2659.38-2661.38] 那個年初因為單不是他接的
[2661.38-2665.38] 你知道年初那個價差我就說差到五六十萬美金
[2666.38-2667.38] 毛利也不錯啦
[2667.38-2674.38] 毛利也是毛利那個大概它的毛利應該也有到30%以上
[2674.38-2680.38] 可是如果說你今天看那個年底就是明年要交的這一台
[2680.38-2684.38] 這個應該就那個價差會蠻大的
[2686.38-2690.38] 那第一季的那個產品移收比重
[2690.38-2695.38] 產品移收比重其實主要還是在那個HDD佔最大
[2695.38-2699.38] HDD大概HDD應該佔到
[2699.38-2701.38] 佔到
[2701.38-2704.38] 佔到接近60%
[2707.38-2709.38] 因為它連供帶料
[2709.38-2713.38] 其實我們很想在那個很想在
[2713.38-2716.38] 它的組裝加工的部分
[2716.38-2720.38] 調整成那個調整成進額法
[2720.38-2724.38] 因為它這樣子的話其實對整個營收的波動度
[2724.38-2727.38] 全年全年度你我們在看每個月的時候
[2727.38-2729.38] 它波動度影響的問題不會那麼大
[2729.38-2731.38] 然後但是實質上因為
[2731.38-2733.38] 財報上面你或許就會看到一個加工收入
[2733.38-2735.38] 因為那個加工收入就很純的
[2735.38-2736.38] 幾乎已經沒有成本了
[2736.38-2737.38] 就扣掉成本了
[2737.38-2741.38] 所以它用不同的形式表現也有它的好處
[2741.38-2743.38] 那這樣子的話其實應該應該
[2743.38-2745.38] 這個這個部分我們之前有討論過
[2745.38-2753.38] 在它HDDCNC加工做這個甲曲壁基礎的那一塊金屬的部分
[2753.38-2757.38] 那個金屬的部分其實它那一塊的毛利率還有
[2757.38-2759.38] 有超過20%
[2759.38-2762.38] 我如果用進額法呈現的話其實
[2762.38-2766.38] 大家看到那個報表的毛利率才會真正回到
[2766.38-2770.38] 那個才會真正回到大家對金屬加工的認知
[2770.38-2774.38] 應該是要在要在20甚至到25Z
[2775.38-2778.38] 這個分佈測試的那個部分
[2778.38-2783.38] 它的均衡是D國
[2783.38-2784.38] 然後它一般的話耶
[2784.38-2789.38] 我們它 시간就是秒gard
[2789.38-2791.38] ritos
[2791.38-2794.38] 現在假如它不打牆
[2794.38-2796.38] 現在其實也可以瀏覽
[2796.38-2803.38] 在那一塊的厚格過時
[2803.38-2805.38] 我這樣畫縮 ráp
[2805.38-2815.38] 大概要到13億多
[2815.38-2819.38] 不好意思因為我現在是那個美金
[2819.38-2821.38] 記得美金數字倒算回去
[2825.38-2827.38] 對它比較高
[2827.38-2829.38] 13億台幣
[2829.38-2831.38] 那它的毛利率大概多少
[2831.38-2835.38] 它毛利率現在大概在4-5%之間
[2835.38-2840.38] 所以它的加工的那一塊佔比比較大
[2840.38-2842.38] 那一塊的營收佔比比較大
[2842.38-2844.38] 然後那一塊真的就只是賺工錢而已
[2851.38-2857.38] 我有算過它大概在CNC加工這一塊的
[2857.38-2859.38] 就是金屬件的部分
[2859.38-2860.38] 大概佔比
[2860.38-2861.38] 應該是大概在CNC加工這一塊的就是金屬件的部分
[2861.38-2868.38] 應該是它HDD這邊營收的30%左右
[2868.38-2870.38] 就差不多三成左右
[2870.38-2874.38] 它其他零工代料那個加工費用佔的很低
[2874.38-2876.38] 工錢佔的很低
[2882.38-2886.38] 請問你本業汽車部分YY的話大概成長多少
[2886.38-2888.38] YY其實汽車成長不多
[2888.38-2890.38] 汽車其實應該是這樣講
[2890.38-2891.38] 汽車成長很多
[2891.38-2893.38] 汽車其實Q1真的
[2893.38-2895.38] Q1甚至連到現在Q2
[2895.38-2897.38] 中國跟印尼的狀況都不好
[2897.38-2899.38] 因為汽車是真的不好
[2899.38-2901.38] 但是應該是這樣講
[2901.38-2904.38] 我們其實去年其實就已經有這個問題了
[2904.38-2907.38] 你會發現說它營收成長的幅度不是很高
[2907.38-2909.38] 但是利潤有keep下來
[2909.38-2912.38] 我們利潤甚至中國的
[2912.38-2915.38] 你如果要去算它利潤相對百分比
[2915.38-2917.38] 它是高過前一個年度的
[2917.38-2919.38] 我甚至單月看到
[2919.38-2921.38] 金星廠的
[2921.38-2923.38] 毛利都已經超過三成
[2923.38-2925.38] 我看過好幾個月是這個樣子
[2934.38-2935.38] 對機器人
[2935.38-2940.38] 機器人我們那個年底會有人情的樣子出來
[2940.38-2941.38] 對
[2942.38-2944.38] 但是我剛才請問一下
[2944.38-2946.38] 剛才有講到電機因為
[2946.38-2948.38] 電動的關係那個就多幾月了
[2948.38-2950.38] 那請問一下那些折扣機能到底是多少
[2951.38-2953.38] 折扣這個我要再細算一下
[2953.38-2956.38] 這個我看再提供給各位參考
[2956.38-2960.38] 我們現在算起來應該至少影響是
[2960.38-2962.38] 影響大概
[2965.38-2968.38] 應該是有到三千多萬
[2968.38-2969.38] 對
[2969.38-2972.38] 那換算成EPS大概是
[2972.38-2976.38] 三千多萬你到回去至少就0.335
[2976.38-2978.38] 所以這個在第二季不會出現嗎
[2978.38-2980.38] 第二季它影響性會比較小
[2980.38-2984.38] 因為我們有一部分這個正在跟那個正在跟快市討論
[2984.38-2987.38] 因為它其實主要真正有價值的
[2987.38-2993.38] 我們會在那個在泰國廠的泰國廠的建築跟建築改良
[2993.38-2996.38] 那我們會把今天早上也在討論這件事情
[2996.38-2998.38] 其實因為設備有一些東西
[2998.38-3003.38] 那個深圳我們因為打算之後是處分掉的
[3003.38-3006.38] 它的資產其實應該會陸陸續續到泰國去
[3006.38-3008.38] 或有一些部分處分掉
[3008.38-3009.38] 所以我們在那個設備的部分
[3009.38-3013.38] 會讓它有一些東西往下折減
[3013.38-3017.38] 但是那個泰國的不動產的部分會增加
[3017.38-3022.38] 那你在那個在那個設備這一塊減少的時候
[3022.38-3024.38] 其實它相對提列折救
[3024.38-3026.38] 我們目標是看能不能
[3026.38-3027.38] 等一下
[3028.38-3037.38] 看能不能壓到減少提列到一千萬台幣
[3037.38-3038.38] 所以我們要看能不能壓到一千萬台幣
[3039.38-3040.38] 因為第二季大概
[3040.38-3042.38] 第二季對第二季
[3042.38-3046.38] 可是第二季現在我們我們現在看起來營運狀況
[3046.38-3050.38] 大概每一家狀況都還是正常的
[3050.38-3055.38] 原先原先總財務長有在擔心說Q2的那個表現會比較不好
[3055.38-3059.38] 但是我們看到它他們的四月字節
[3059.38-3063.38] 跟我們自己的四月字節看起來還好
[3063.38-3066.38] 我的我的影響性比較大真的就在機器人的部分而已
[3066.38-3068.38] 對不過機器人今年因為
[3069.38-3071.38] 因為機器人會有一些比較
[3071.38-3073.38] 比較特別的計畫
[3073.38-3076.38] 因為他很有可能現在正在談
[3076.38-3080.38] 很有可能會跟新加坡另外一個機器人公司合併
[3080.38-3083.38] 併了之後要到那個美國去IPO
[3083.38-3086.38] 那時程大概也排出來了
[3086.38-3092.38] 時程現在排起來大概應該是會在今年二五嘛
[3092.38-3093.38] 二五二六
[3093.38-3096.38] 原先是說明年下半年要去申請
[3096.38-3097.38] 我個人覺得是比較樂觀
[3097.38-3099.38] 我覺得是二十七年
[3099.38-3101.38] 二十七年的年中會比較合理一點
[3101.38-3103.38] 就是說它的時程比較合理一點
[3103.38-3105.38] 那他現在應該是這樣講
[3105.38-3107.38] 卡貝爾我們最近正在做一輪
[3107.38-3110.38] 就是可能要跟對方併之前
[3110.38-3112.38] 我有一輪的增值
[3112.38-3116.38] 那我現在大概投資方已經
[3116.38-3119.38] 大概半數以上已經決定
[3119.38-3121.38] 可能阿佛已經有告訴我們了
[3121.38-3125.38] 然後這一次的增值的估值
[3125.38-3128.38] 比上次大概多個
[3128.38-3138.38] 上次應該是三千萬新幣前一次
[3138.38-3143.38] 那這一次估值應該大概會在接近四千萬美金
[3143.38-3144.38] 這一次
[3144.38-3148.38] 這一次它的增值
[3148.38-3153.38] 而且這次增值進來之後很有可能我們就
[3153.38-3155.38] 控股不到百分之五十了
[3155.38-3156.38] 控股不到百分之五十
[3156.38-3157.38] 那你如果說真的有可能的話
[3157.38-3160.38] 你如果說真的是在跟另外一個機器人公司合併之後
[3160.38-3162.38] 我今年應該
[3162.38-3164.38] 股權的控制權我們應該這樣形容
[3164.38-3166.38] 實質的控制權現在談起來
[3166.38-3171.38] 是我們對於之後假設跟這個機器人公司合併之後
[3171.38-3175.38] 我們對財務是有控制權的
[3175.38-3179.38] 跟軟體這一塊的研發跟control
[3179.38-3180.38] 這一段部分
[3180.38-3184.38] 然後甚至是之後要到美國IPO的進程跟投資的選擇
[3184.38-3187.38] 這一塊應該說資本市場跟財務之間
[3187.38-3189.38] 這一塊其實我們有實質控制權
[3189.38-3194.38] 但是我或許會在財務報表的認定上面
[3194.38-3196.38] 有可能會上市控制權
[3196.38-3198.38] 那你上市控制權的狀況之下
[3198.38-3200.38] 我就會變成在
[3200.38-3202.38] 假設是這一次
[3202.38-3204.38] 這一次募資的
[3204.38-3208.38] 這一次外部投資人增值進來的價格
[3208.38-3210.38] 看是在這個時候就已經上市控制權
[3210.38-3212.38] 還是合併的時候上市控制權
[3212.38-3214.38] 那合併的時候會有另外一個估價
[3214.38-3216.38] 那我就會變成在這個估值
[3216.38-3219.38] 跟我原始投入成本的中間價差的時候
[3219.38-3223.38] 可能還會再產生一次重新評價的利益
[3223.38-3226.38] 就把我過去去前幾年認的虧損
[3226.38-3231.38] 他自己得靠他自己的市值來cover掉他自己的虧損
[3231.38-3237.38] 這個是看起來今年目前都在進程中
[3237.38-3240.38] 我們大概外部增資這個事情會先做完
[3246.38-3250.38] 那現在的新能源車還有超過11成
[3250.38-3251.38] 那我們這邊
[3251.38-3253.38] 新能源車是這樣
[3253.38-3255.38] 大家都看到那個檯面上的數字
[3255.38-3259.38] 我相信這件事情到Q2的下半之後
[3259.38-3261.38] 應該會恢復正常
[3261.38-3264.38] 我們現在收到中國的反饋是這樣
[3264.38-3268.38] Q2本來外銷就比較
[3268.38-3272.38] 因為我們外銷是交到T21的hub倉
[3272.38-3274.38] 就中產倉
[3274.38-3276.38] 那中產倉現在Q2交的貨
[3276.38-3281.38] 其實是for他7、8、9月去生產要使用
[3281.38-3283.38] 因為有傳奇的問題嘛
[3283.38-3286.38] 那現在看起來是他們會覺得說
[3286.38-3293.38] 到Q2底Q3出
[3293.38-3297.38] 應該因為國外在放暑假
[3297.38-3300.38] 就是國外外商很多在放暑假的關係
[3300.38-3303.38] 營收可能會受到車市的部分
[3303.38-3305.38] 營收可能會受到一些影響
[3305.38-3306.38] 那去年
[3306.38-3307.38] 還是很明顯
[3307.38-3309.38] 因為比亞迪去年的油電混合車
[3309.38-3310.38] 其實我們不做
[3310.38-3311.38] 我們不做純電車的
[3311.38-3313.38] 做純電車那個利潤很差
[3313.38-3315.38] 那個純電車死掉了蠻多的
[3315.38-3316.38] 我們不做純電
[3316.38-3319.38] 其實主要做的是油電混合
[3319.38-3321.38] 才會有那個排氣管掉溝這件事情
[3321.38-3323.38] 那還有做那個
[3323.38-3328.38] 油車跟電車共用的所謂平台件
[3328.38-3332.38] 那這些價格其實並沒有像說電車這些東西這麼慘
[3332.38-3333.38] 就是影響到這麼大
[3333.38-3335.38] 那在這樣的狀況之下
[3335.38-3339.38] 原先其實去年的時候
[3339.38-3342.38] 4月份5月份其實現在這個時候
[3342.38-3344.38] 經營應該要非常非常非常忙
[3344.38-3347.38] 因為主要去年那個比亞迪的量比較大一點
[3347.38-3350.38] 那比亞迪現在還有庫存的問題在消
[3350.38-3354.38] 但是現在看起來排成應該到
[3354.38-3357.38] 6月下6月中以後
[3357.38-3361.38] 6月下旬7月它整個應該又會再跳上來
[3361.38-3362.38] 對
[3362.38-3364.38] 因為它其實主要那個油電混合車
[3364.38-3366.38] 其實它銷量其實還不錯
[3366.38-3368.38] 對它只是說之前還有庫存的問題正在清
[3368.38-3371.38] 那我也有跟印尼討論過
[3371.38-3374.38] 印尼那個前一陣子
[3374.38-3376.38] 因為其實它去年開始
[3376.38-3380.38] 主要印尼整個市場沒有很好的因素在於
[3380.38-3385.38] 新任總統對於本地的稅務的一些規劃
[3385.38-3388.38] 一直沒有一個很明確的決定
[3388.38-3392.38] 導致於其實在印尼這邊
[3392.38-3394.38] 我們不做我們在印尼不做外交
[3394.38-3396.38] 原來不做外交
[3396.38-3398.38] 那它主要是最終車廠
[3398.38-3402.38] 大概有60%我們最終最終的客人其實是TOYOTA
[3402.38-3405.38] 那你就會變TOYOTA在印尼這裡的
[3405.38-3406.38] 怎麼講
[3406.38-3408.38] 政策上面
[3408.38-3409.38] 他們打算
[3409.38-3411.38] 策略上面打算怎麼做
[3411.38-3416.38] 那一直因為受到那個新的新的規範的影響
[3416.38-3417.38] 它一直沒有辦法很明確
[3417.38-3420.38] 所以變成那個你也知道日本人又比較小心
[3420.38-3424.38] 所以它一直在生產上面政策上面比較小心一點
[3424.38-3430.38] 那所以其實也還好去年就反正SONY的這個東西
[3430.38-3433.38] 三個吧三個模具應該都已經測試完了
