[0.00-6.82] 好那欢迎各位投资先进来参加今天望准科技的法说会
[1551.78-1553.86] 从日本或是从美国过来的
[1553.86-1555.82] 这部分会是美金计价
[1555.82-1557.08] 占比有到多少
[1557.08-1558.18] 不高
[1558.18-1559.20] 对
[1559.20-1562.92] 目前可能那块占比目前不高
[1569.92-1585.30] 所以像第二季开始刚刚讲彩片的这个打烊之后
[1585.30-1586.62] 订单需求还蛮好的
[1586.62-1587.92] 那这一块的话
[1587.92-1591.34] 应该就没有价格上面的降价的需要了
[1591.34-1591.52] 对
[1591.52-1593.36] 更价的话
[1593.36-1596.00] 其实在第一季都执行完了
[1596.00-1597.72] 就在三月都执行完
[1597.72-1599.64] 但有可能会有点低延效应
[1599.64-1599.84] 到
[1599.84-1599.90] 对吧
[1599.92-1601.42] 到四月有影响
[1601.42-1603.38] 但是就价格的降价
[1603.38-1604.44] 整年度的
[1604.44-1605.42] 已经都是
[1605.42-1606.92] 已经是执行完毕
[1606.92-1627.72] 可以询问一下
[1627.72-1629.84] 现在大陆的透片跟彩片
[1629.84-1631.84] 的占比是7比7吗
[1631.84-1635.30] 你指市场还是我们
[1635.30-1636.68] 如果以市场来讲
[1636.68-1639.90] 目前整个大陆市场的彩片
[1639.90-1642.02] 彩透占比大概是7比3
[1642.02-1644.18] 他跟其他市场刚好相反
[1644.18-1646.30] 其他市场是透大概7
[1646.30-1648.08] 像日本大概透7彩3
[1648.08-1650.44] 那大陆市场反而是彩比较多
[1650.44-1651.16] 彩7
[1651.16-1652.10] 然后透3
[1652.10-1655.52] 那这跟他就刚才提到跟他的销售模式有关
[1655.52-1656.84] 以前是在天猫
[1656.84-1657.88] 那这个比较容易诉求
[1657.88-1659.24] 那现在是打波
[1659.24-1659.84] 就抖音打波
[1659.84-1661.34] 那更是需要彩片
[1661.34-1664.60] 比较容易去做差异化的一个行销
[1664.60-1667.96] 那过往以我们整体的以望准的营收
[1667.96-1670.52] 大概彩透过往一直以来
[1670.52-1672.20] 大概都在过去两年
[1672.20-1673.68] 大概都一半一半
[1673.68-1675.00] 一半一半左右
[1675.00-1678.50] 对那但是大陆大陆的部分
[1678.50-1681.64] 因为在前两年我们透片算做的还不错
[1681.64-1683.48] 所以透片比例还算蛮高
[1683.48-1685.68] 但是今年第一季的话
[1685.68-1689.54] 透片就有点掉下来
[1689.84-1691.54] 其实他甲鸡是摆的
[1691.54-1695.40] 他说大家之前僕绝行
[1695.40-1695.66] 涉到的很多
[1695.66-1696.66] 各监渠
[1696.66-1700.66] 每个小只猫都是很 znajdu在在 Naruto
[1700.66-1709.92] mobile Body
[1709.92-1712.82] 所以要让他接触到 virtue
[1712.82-1714.62] 这个 fica
[1714.62-1715.34] Value
[1715.34-1717.46] 你们都美爱
[1717.46-1718.52] 优点
[1718.52-1719.42] 打声
[1719.42-1719.68] 就Tech
[1719.68-1723.04] 不管是利润率还是其他的负面的影响
[1723.04-1727.56] 日本的毛利还是会比中国好
[1727.56-1730.14] 就是说这个是目前的状况
[1730.14-1731.76] 看起来还是这个样子
[1731.76-1733.08] 那当然就是说第一季
[1733.08-1734.24] 我们毛利表现不错
[1734.24-1736.10] 其实跟日本的占比高
[1736.10-1737.78] 这个也是有关系
[1737.78-1739.00] 刚才问到说我降价
[1739.00-1740.82] 其实有一定的幅度将不少
[1740.82-1741.84] 为什么还维持41
[1741.84-1744.16] 那主要也是因为日本的占比往上提
[1744.16-1746.56] 这部分的价格是比较好的
[1746.56-1749.18] 那当然往后往利润率提升
[1749.18-1752.90] 那当然是可以去提高我们的毛利率
[1752.90-1754.22] 当然刚才讲的利率部分
[1754.22-1755.66] 可能也会吃掉我们部分
[1755.66-1757.58] 所以整年度的毛利率
[1757.58-1759.20] 目前是比较难以预估
[1759.20-1761.36] 那主要是看汇率后面怎么走
[1779.18-1780.80] 加上我们朝而之前
[1793.76-1794.62] 喂总经理
[1794.62-1797.14] 请问一下因为跟从你简介
[1797.14-1802.58] 2021到2024年年平均成长是4成
[1808.08-1809.18] 40%
[1809.18-1810.46] EPS成长是什么
[1810.46-1812.36] 那想请教一下
[1812.36-1814.60] 那营收成长大概是多少
[1814.60-1816.54] 2021到2024
[1816.54-1818.38] 大概是在28左右
[1818.38-1820.18] 那未来四年
[1820.18-1821.58] 你认为是多少
[1821.58-1823.18] 是比较合理的成长
[1823.18-1825.40] 未来年成长率
[1825.40-1826.88] 我估计
[1826.88-1828.58] 可能
[1828.58-1830.66] 大概是10到20之间
[1830.66-1832.38] 我们估计可能在10到20之间
[1832.38-1833.44] 年复合成长率
[1833.44-1836.40] 那就台湾跟美国
[1836.40-1838.70] 那当然就是如果被我们抓到一个大市场
[1838.70-1839.66] 就有可能上去
[1839.66-1840.86] 但我们目前来看
[1840.86-1842.36] 就按照目前的节奏
[1842.36-1844.06] 每年一个双位数的成长
[1844.06-1845.02] 那也是我们的目标
[1845.02-1846.96] 当我们打进一个比较大的市场
[1846.96-1848.18] 就是打到一个大客户
[1848.18-1850.82] 就有机会重演我们像这时候这样
[1850.82-1853.54] 这时候因为是突然中国市场
[1853.54-1854.96] 整个市场爆发
[1854.96-1856.58] 所以那时候就会上去
[1856.58-1858.04] 所以只要抓到大客户
[1858.04-1859.64] 在大市场里面有抓到大客户
[1859.64-1861.28] 那成长速度就很快
[1861.28-1864.32] 但目前我们先用比较稳健去做估算
[1864.32-1866.00] 我现在想问的就是
[1866.00-1867.38] 台湾跟美国
[1867.38-1868.40] 是你现在开始
[1868.40-1869.52] 增加费用
[1869.52-1871.48] 然后去拓展了市场
[1871.48-1873.62] 那现在大概要以
[1873.62-1875.08] 我们是如何投资的
[1875.08-1876.42] 要以怎么样的成本
[1876.42-1879.16] 去核让你将来的成长的可能性
[1879.16-1880.48] 能不能做一个说明
[1880.48-1880.88] 谢谢
[1880.88-1886.36] 你指的成本是说管销严政府
[1886.36-1890.86] 我想因为
[1890.86-1893.56] 这块其实我们有
[1893.56-1894.32] 台湾其实这边
[1894.32-1897.00] 目前的operation状况还不错
[1897.00-1898.22] 所以这块
[1898.40-1900.62] 应该很快就可以停止亏损
[1900.62-1902.02] 就是说个体本身
[1902.02-1903.62] 就很快可以停止亏损
[1903.62-1907.10] 那美国这边可能需要一到两年的时间
[1907.10-1910.16] 但是我们会去控制这个expense
[1910.16-1912.24] 所以如果你用loss来看
[1912.24-1914.92] 一年一个月可能就
[1914.92-1916.64] 我觉得也不会很多
[1916.64-1919.36] 就百万等级也是可能两三百万之类的
[1919.36-1920.44] 不会很多
[1920.44-1921.92] 所以如果以转投资加起来
[1921.92-1924.96] 我觉得估计大概用这样去预估就可以
[1924.96-1926.92] 那我们当然希望比较快的
[1926.92-1927.52] 就是因为
[1927.52-1929.98] 各事业体我们希望各自盈亏
[1929.98-1932.24] 所以我们希望很快的能找到一个
[1932.24-1934.02] 那个损益的平衡点
[1934.02-1937.86] 资金收的贡献
[1937.86-1939.72] 会不会大颗平年化
[1939.72-1942.72] 在台湾跟美国好了
[1942.72-1944.22] 我们还100万美金
[1944.22-1947.42] 那像的话我们估计的营收的成长
[1947.42-1948.72] 可以达到多少水准
[1948.72-1951.18] 目前还看不准
[1951.18-1953.08] 尤其在美国美国这一块
[1953.08-1954.42] 因为才刚开始拓展
[1954.42-1956.52] 那美国我们是慢慢的去展
[1956.52-1957.52] 时光中心的展望
[1957.52-1959.44] 所以还在学习这个市场
[1959.44-1961.00] 所以目前还看不准
[1961.00-1963.36] 目前我们第一步应该是赶快先走到
[1963.36-1965.08] 就是先走到平衡点
[1965.08-1968.64] 那我估计大概也是一到两年之间的一个时间点
[1968.64-1970.76] 先先走到单月的平衡点
[1975.52-1978.24] 对美国市场都必须透过处方签
[1978.24-1980.50] 所以他是一个比较难拓展市场
[1980.50-1981.48] 但他有他的困难
[1981.48-1982.36] 也有他好处
[1982.36-1983.20] 因为他很难
[1983.20-1984.56] 但一旦做到的时候
[1984.56-1986.42] 他毛利相对是好
[1986.42-1987.36] 所以他的成长速度
[1987.36-1988.88] 会稍微是比较慢
[1988.88-1990.12] 那当然除了这样拓展
[1990.12-1992.16] 主要是我们用希望用这个模式
[1992.16-1994.44] 把我们的产品带到这个市场上
[1994.44-1995.68] 让市场认知我们
[1995.68-1997.44] 因为像目前其实
[1997.44-1999.96] 美国这个市场其实并不认识望准是什么
[1999.96-2001.20] 所以我们希望藉由这个模式
[2001.20-2003.64] 让这些医生认识望准的产品
[2003.64-2005.60] 那我发现台湾这边有一个公司
[2005.60-2006.44] 产品也不错
[2006.44-2007.80] 西游交产品也不错
[2007.80-2008.68] 再有这方式
[2008.68-2010.80] 我们希望可以去接一些代工的单
[2010.80-2013.72] 那主要的营收大会来自于这些代工的单
[2013.72-2017.28] 但目前我希望透过这方式先进入到这个市场
[2017.36-2018.18] 中国猜猜
[2018.36-2020.44] 千万不要 нашего意念
[2020.54-2022.12] 在 Hope pump一些
[2022.12-2023.10] 除了 牡丹
[2023.10-2024.58] 可以进行造型
[2024.58-2037.42] 让这些股票总是agog
[2037.42-2039.08] 这是我们来看的
[2039.08-2040.42] 我们紧急着çeup
[2040.48-2041.92] 在封面是这里
[2041.92-2044.82] 这个是我们�장和我们的东西
[2044.82-2046.32] 那我们也已经툐替了
[2046.64-2047.34] 10分付
[2047.36-2055.56] 大家还有没有什么问题
[2055.56-2058.04] 如果没有等一下可能会后我会留下来
[2058.04-2060.16] 大家公开场合都比较不好意思
[2060.16-2061.40] 会后我会留下来
[2061.40-2062.64] 大家还可以做交流
[2062.64-2064.92] 因为像很多都是一些老朋友老面孔
[2064.92-2066.76] 大家还算有点熟
[2066.76-2071.16] 如果大家没有进一步问题的话
[2071.16-2073.02] 我们今天法说会到这边结束
[2073.02-2075.30] 在会后公司也会留在现场
[2075.30-2076.34] 跟各位做交流
[2076.34-2078.62] 最后敬祝各位投资顺利身体健康
[2078.62-2079.00] 谢谢
[2079.00-2080.34] 谢谢大家
