[0.00-5.64] 歡迎各位投資先進參加愛迪生光電股份有限公司法人說明會
[1641.84-1645.84] 它這個庫藏庫也會隨著公司每年的這個配息
[1645.84-1651.84] 它的這個整個公司的這個它這個會有一些變化
[1651.84-1654.84] 那我們一直認為這個5年後的股價應該不是
[1654.84-1656.84] 不是只有禁止這種概念
[1656.84-1659.84] 那我們認為其實轉讓員工基本上就是
[1659.84-1663.84] 也會讓大家會有一些誘因去於就是說至少它是一個
[1663.84-1668.84] 也是這個員工酬勞的一個工具這樣的一個概念
[1668.84-1670.84] 那所以以目前來講我們當然其實執行
[1670.84-1674.84] 那再加上說我們其實過去在這個去年11月份
[1674.84-1677.84] 我們當時候發行的一個科轉案公司債
[1677.84-1680.84] 那當時候我們其實訂的轉讓價格是在25.5左右
[1680.84-1683.84] 所以其實其實25.5其實當然對我們當時候的
[1684.84-1687.84] 在看整個市場來講我們認為是合理的
[1687.84-1691.84] 那當然其實因為最近的一波整個不管是市場的這個
[1691.84-1696.84] 這個匯率變動啊中美的整個議題讓整個股價有做了一些修正
[1696.84-1700.84] 但是其實就長遠來看而且以及它轉讓時間點來看
[1700.84-1704.84] 那我們認為其實這個未來轉讓員工機會還是蠻大的
[1704.84-1709.84] 所以我們才會設定說這個就是要轉讓給員工這種概念
[1709.84-1711.84] 這個是庫藏庫的部分
[1711.84-1713.84] 那至於我們的產品的一個組合
[1713.84-1714.84] 其實最主要的就是這個產品的組合
[1714.84-1720.84] 主要是因為我們產品的這個產品線其實是很廣的
[1720.84-1725.84] 那如果以早期我們單純只是做從大功率
[1725.84-1728.84] 後來做到整個元件這樣子的一個概念來講
[1728.84-1734.84] 因為元件它光是元件它的毛利率的這個區間也非常的大
[1734.84-1740.84] 因為這個區間就取決於說我們到底是要做這個中低功率的元件
[1740.84-1743.84] 就是0.5瓦以下的這個元件
[1743.84-1745.84] 所以我要做大功率的元件
[1745.84-1751.84] 或者是說元件我們這邊又有到比如說一些到COB等等之類這樣的元件
[1751.84-1755.84] 那這些東西因為它發展的時間已經有一段時間了
[1755.84-1759.84] 而且在中國大陸這邊其實他們很多的這些封裝廠
[1759.84-1763.84] 他們其實透過了這幾年很多年的時間
[1763.84-1768.84] 他們已經把整個產能已經發展到非常大的一個產能
[1768.84-1772.84] 所以其實如果以光要銷售元件來
[1772.84-1776.84] 是不太容易說有很大的獲利
[1776.84-1780.84] 這一點其實可以從我們目前台資廠的這些LED公司來講
[1780.84-1785.84] 其實真正會再去對元件去做擴產
[1785.84-1789.84] 不是說這個大幅度重大在元件的公司
[1789.84-1792.84] 其實基本上是沒有的
[1792.84-1797.84] 因為大家都會認為說基本上元件如果除非說它今天是有一些IP的考量
[1797.84-1801.84] 當然有一些比較高端的元件我們還是會做
[1801.84-1805.84] 但是如果一些比較屬於標準規格的元件
[1805.84-1808.84] 基本上其實現在中國大陸這些供應商
[1808.84-1812.84] 基本上他們都有這個能力可以達到客戶的要求
[1812.84-1815.84] 所以其實這也是為什麼大家把
[1815.84-1819.84] 就是說從元件會一直往下游去走最主要原因
[1819.84-1826.84] 以目前來講如果是一般屬於我們去走的比較特殊性應用的元件
[1826.84-1830.84] 不管是在剛剛提到譬如說一些比較屬於植物照明
[1830.84-1832.84] 醫療照明等等之類
[1832.84-1836.84] 當然它這樣的元件它還是可能會有利
[1836.84-1837.84] 還是會有一些利潤
[1837.84-1841.84] 那你說兩成的利潤其實這個都還是有機會的
[1841.84-1845.84] 那模組的話因為今天它只是加了一些IC
[1845.84-1848.84] 加了一些PCB版這種概念
[1848.84-1852.84] 其實這個東西其實以目前來講
[1852.84-1856.84] 也以我們客戶這樣來看的話
[1856.84-1860.84] 其實它的利潤當然這個要看我們是在銷售什麼樣的模組
[1860.84-1864.84] 到底照明到底是用在室內還是戶外等等的模組
[1864.84-1867.84] 那這樣子的也會因為不同地區的客戶
[1867.84-1869.84] 它的利潤也都不一樣
[1869.84-1872.84] 或者是說這個模組它應用在什麼樣的產品上面
[1872.84-1874.84] 這個利潤也都會不一樣
[1874.84-1880.84] 那通常模組的利潤其實從兩成三成都會有
[1880.84-1883.84] 那有的甚至於比較特殊的這個模組的話
[1883.84-1886.84] 也都有可能來到三成五四成也都有可能
[1886.84-1890.84] 當然就是利潤越高的這樣的一個模組
[1890.84-1894.84] 它的這個量其實以目前來看
[1894.84-1897.84] 就是說客戶下的量就不會那麼多
[1897.84-1899.84] 就反而不會那麼多
[1899.84-1902.84] 那成品端就是反而就會更走到客製化的概念
[1902.84-1905.84] 那成品以目前來講因為客戶
[1905.84-1908.84] 早期客戶他們都希望是自己買原件模組
[1908.84-1910.84] 自己來把它做主動成成品
[1910.84-1914.84] 再去做銷售或是再去做終端的應用
[1914.84-1916.84] 但是現在因為這個太麻煩了
[1916.84-1919.84] 所以其實現在幾乎等於說我們
[1919.84-1922.84] 像是都是幫客戶做一條龍的服務
[1922.84-1927.84] 幾乎是從剛開始了解他們所需要的成品
[1927.84-1930.84] 然後就切入一開始的設計
[1930.84-1933.84] 所以從原件模組到成品端
[1933.84-1937.84] 其實都已經在跟客戶有點像在做Cowork這樣的一個概念了
[1937.84-1942.84] 當然在這樣子的一個邏輯的互動跟產品
[1942.84-1946.84] 其實它當然它的利潤是相對來講會比較好
[1946.84-1949.84] 因為它其實比較會有一些附加價值在裡面
[1949.84-1953.84] 那以我們在看當然這個以成品來講
[1953.84-1956.84] 也要看它是應用在哪一個區域
[1956.84-1959.84] 或是它是什麼樣的一個產品
[1959.84-1961.84] 譬如說如果今天是路燈來講
[1961.84-1964.84] 如果今天路燈我們走的是一個大型的標案來講
[1964.84-1968.84] 那標案有時候標案它可能要的是一個價格
[1968.84-1970.84] 那這樣子的類似這樣子的標案
[1970.84-1972.84] 它的利潤可能就不見得會很好
[1972.84-1977.84] 它也許就是15個點或是20%點多到兩成而已
[1977.84-1978.84] 政府標案它的利潤是怎麼樣的呢?
[1979.84-1981.84] 那就是它可能都不可能很高
[1981.84-1986.84] 而且它都會有後續會有後面比較龐大的維修成本
[1986.84-1991.84] 因為他們的保固時間有時候他們都會拉到可能這樣五年左右
[1991.84-1993.84] 那如果是比較屬於這個室內的部分
[1993.84-1998.84] 當然這個相對來講它就有時候它的
[1998.84-2001.84] 就看它終端的應用是在哪邊
[2001.84-2005.84] 那它的利潤可能就是三成四成都有可能
[2005.84-2007.84] 我講的是照明的部分
[2007.84-2008.84] 好
[2008.84-2010.84] 那在這個車用的部分
[2010.84-2012.84] 車用的我剛一開始也有提到
[2012.84-2015.84] 我們愛特光電它的以今年第一季來講
[2015.84-2018.84] 它其實最多它的毛利率可以來到兩成
[2018.84-2021.84] 它來到兩成是因為它的像以它的成品來講
[2021.84-2026.84] 因為它的它的架動有稍微比去年好一些
[2026.84-2028.84] 那出貨量有比較大一點
[2028.84-2029.84] 那它可以到兩成
[2029.84-2033.84] 但是你說這個車用的這個毛利率呢
[2033.84-2036.84] 有沒有機會來到三成或是更高
[2036.84-2038.84] 其實我覺得這個
[2038.84-2040.84] 可能也要又要回到就是說
[2040.84-2044.84] 我們銷售的客戶是什麼樣的客戶
[2044.84-2049.84] 以目前集團這邊我們所目前車用的部分
[2049.84-2053.84] 大概基本上我們是以OEM的客戶為主
[2053.84-2058.84] 那OEM客戶它對應到的終端都是一些終端的車廠
[2058.84-2063.84] 那終端的車廠對於這些整個整個這個車用的這些產品來講
[2063.84-2066.84] 其實他們對所有的材料所有這些縫表
[2066.84-2069.84] 其實都是非常非常的透明的
[2069.84-2074.84] 所以其實大概會給我們整個製造商多少的利潤
[2074.84-2077.84] 其實坦白講這個都是在接單的時候
[2077.84-2080.84] 有時候我們大概心裡都有底的
[2080.84-2083.84] 那除非我們今天走的是比較像是
[2083.84-2085.84] 譬如說像是地寶他們這種AM市場
[2085.84-2086.84] 那AM市場呢
[2086.84-2089.84] 基本上因為它是比較屬於後裝改裝市場
[2089.84-2090.84] 那這樣子的一個利潤
[2090.84-2095.84] 當然它量可能不見得說像OEM這麼大
[2095.84-2097.84] 但是畢竟因為改裝它這個東西
[2097.84-2101.84] 它的衍生性或是它的客戶要求這些
[2101.84-2104.84] 其實我覺得會跟原廠不太一樣
[2104.84-2109.84] 所以反而是AM市場他們的利潤來講會比較好
[2109.84-2112.84] 這個是我們看到的情況是這個樣子
[2112.84-2114.84] 所以以目前來講
[2114.84-2116.84] 當然雖然說這個OEM的市場
[2116.84-2119.84] 這個毛利率並不是那麼
[2119.84-2122.84] 好像說可以達到這個非常非常高
[2122.84-2125.84] 但是如果當我們有穩定的
[2125.84-2126.84] 自動化生產
[2126.84-2127.84] 然後呢
[2127.84-2129.84] 它的這個價重率提升
[2129.84-2132.84] 以及它的這個整個生產的一個量
[2132.84-2133.84] 整個拉大的時候
[2133.84-2138.84] 其實它的這個整個包括像單位的這個人工成本
[2138.84-2140.84] 還有分攤到的這些機器設備的這些成本
[2140.84-2142.84] 還是可以下降的
[2142.84-2145.84] 所以還是有助於整個毛利率的提升
[2145.84-2148.84] 但是其實我們要的是營收放大
[2148.84-2150.84] 跟毛利金額放大
[2150.84-2152.84] 這種概念
[2152.84-2155.84] 不知道這樣有沒有回答到這些問題
[2155.84-2156.84] 的問題
[2160.84-2161.84] 那想請問一下
[2161.84-2166.84] 就是今年上一場把說會有提到說
[2166.84-2170.84] 今年看待出貨量是大概成長兩成
[2170.84-2172.84] 那想請問在那個
[2172.84-2175.84] 就是關稅的影響下這個目標還會在嗎
[2175.84-2177.84] 然後另外一點就是
[2177.84-2178.84] 因為關稅嘛
[2178.84-2181.84] 那客戶隨便有沒有什麼希望
[2181.84-2185.84] 就是上漲的這些費用要由哪一方來負擔
[2185.84-2187.84] 那什麼樣的狀況
[2187.84-2190.84] 其實關稅的這個問題
[2190.84-2193.84] 剛提到就是說上漲的部分誰來負擔
[2193.84-2195.84] 當然因為以目前我們公司的
[2195.84-2198.84] 跟客戶的交易條件有蠻多都是FoB這種概念
[2198.84-2201.84] 就是說其實基本上進口
[2201.84-2203.84] 應該是由進口方去負擔
[2203.84-2205.84] 當然進口方他如果多承擔了這個成本
[2205.84-2209.84] 他按理講他應該會往上要求
[2209.84-2211.84] 他的供應商
[2211.84-2214.84] 反饋這樣的成本給他們
[2214.84-2217.84] 那其實以我們來講就是說
[2217.84-2219.84] 以車用來講其實
[2219.84-2221.84] 包括我們這個業務主管
[2221.84-2223.84] 他們都有去跟客戶這邊去談了
[2223.84-2226.84] 現階段其實他並沒有因為這樣子
[2226.84-2230.84] 而來要求說我們要針對這個部分讓利給他們
[2230.84-2231.84] 目前並沒有
[2231.84-2233.84] 那我想沒有的原因也是因為
[2233.84-2235.84] 剛有提到就是說其實我們現在
[2235.84-2237.84] 出這個車用的這個
[2237.84-2238.84] 雖然說我們叫成品
[2238.84-2242.84] 但是其實它並不是整個車子的主要的零部件
[2242.84-2243.84] 它只是一個一顆霧燈而已
[2243.84-2244.84] 所以其實我們現在
[2244.84-2246.84] 其實這部分目前銷到美國去那邊
[2246.84-2249.84] 在關稅這個議題上面其實影響是不大的
[2249.84-2251.84] 我想應該是因為這個原因
[2251.84-2254.84] 所以其實目前客戶並沒有要求說
[2254.84-2256.84] TA1的客戶沒有要求我們說
[2256.84-2260.84] 要去配合這樣的原因去降價給他們
[2260.84-2263.84] 那至於說我剛提到說這個成長
[2263.84-2266.84] 其實成長這個是比較財務預測的問題
[2266.84-2269.84] 那這個東西應該是說
[2269.84-2273.84] 我想這個會跟匯率也有一點關係
[2273.84-2275.84] 因為以我們目前來講
[2275.84-2279.84] 我們大概有去稍微看了一下
[2279.84-2282.84] 就是說其實以我們目前就是說
[2282.84-2289.84] 每個月以美金的這樣的一個出貨
[2289.84-2291.84] 這樣的一個部位來講
[2291.84-2295.84] 大概可能有230到250萬這樣的一個概念
[2295.84-2297.84] 美元
[2297.84-2301.84] 那也就代表說假設今天我如果台幣升值了一塊錢
[2301.84-2303.84] 那對我影響就是230萬
[2303.84-2306.84] 或者350萬台幣這樣的概念
[2306.84-2308.84] 那當然這個東西你說會不會影響營收
[2308.84-2310.84] 當然它影響是有
[2310.84-2313.84] 但是我想如果以我們
[2313.84-2320.84] 台幣升值一塊錢對我們月的營收的影響
[2320.84-2322.84] 我想這個比重還不會太高
[2322.84-2325.84] 200多萬大概就是一個點左右
[2325.84-2329.84] 但是如果對這個稅後的影響
[2329.84-2331.84] 如果假設今天我公司都不做任何的避險動作
[2331.84-2333.84] 或不做任何這個
[2333.84-2336.84] 可能對稅後的影響也許會來到15個點左右
[2336.84-2338.84] 15到20%左右
[2338.84-2341.84] 我想是都沒有做任何的避險這樣的一個概念
[2341.84-2344.84] 那我想這個預期
[2344.84-2347.84] 其實當然這個預期有時候會隨著外面的環境
[2347.84-2349.84] 會去做變化
[2349.84-2351.84] 那當然以現階段來講
[2351.84-2356.84] 其實當然並沒有目前還客戶的一個反饋
[2356.84-2360.84] 並還沒有因為說因為這個貿易戰的問題
[2360.84-2361.84] 或是說匯率的問題
[2361.84-2362.84] 而大幅去這個
[2363.84-2365.84] 這個砍單
[2365.84-2368.84] 或是說這個取消訂單這樣的概念
[2368.84-2370.84] 目前是沒有的
[2370.84-2372.84] 包括車用目前其實它也都按照
[2372.84-2377.84] 當時候它所跟我們這個order這樣的一個計畫排程
[2377.84-2379.84] 在做一個出貨
[2379.84-2380.84] 那照明的部分
[2380.84-2384.84] 因為照明本來它的一個能見度就不是像車用這麼的長
[2384.84-2388.84] 它目前大概也最長大概差不多1.5個月左右
[2388.84-2389.84] 照明的部分
[2389.84-2391.84] 那目前其實也都是按照這個計畫在做的
[2391.84-2394.84] 都是按照這個計畫在進展
[2394.84-2397.84] 那當然照明的部分它有時候它可能是比較屬於
[2397.84-2399.84] 反而是會有一些客戶
[2399.84-2400.84] 它可能是臨時它有些訂單
[2400.84-2402.84] 它會跟我們下單等等之類
[2402.84-2404.84] 那這個其實它不在
[2404.84-2406.84] 有一些不在我們的原本的forecase裡面
[2406.84-2408.84] 這個都有可能
[2408.84-2409.84] 所以以目前來
[2409.84-2415.84] 目前至少到從4月底到目前現在這個點這樣來看的話
[2415.84-2419.84] 其實這個影響目前還不是太大
[2419.84-2420.84] 所以其實目前並不
[2421.84-2426.84] 並不會說再去修正我們過去這樣的一個看法
[2426.84-2427.84] 對
[2427.84-2429.84] 那現在想請問
[2429.84-2430.84] 因為去年有提到說
[2430.84-2433.84] 就是愛迪在這邊有閃避光傳輸的團隊
[2433.84-2434.84] OK
[2434.84-2437.84] 這個就是我剛才到最後面我有講到
[2437.84-2441.84] 就是說我們有這個傳感元件的這一塊
[2441.84-2445.84] 就是說包括說這個比較屬於這個大功率紅外線
[2445.84-2448.84] 或是說這個什麼DTOF ITR VCL等等這些
[2448.84-2450.84] 這團隊現在是在的
[2450.84-2451.84] 那當然他們的
[2451.84-2454.84] 他們所推展的這個領域也都是
[2454.84-2457.84] 不是我們過去做的這些領域
[2457.84-2459.84] 比較是像是這些
[2459.84-2461.84] 一些剛提到像醫療監控啊等等
[2461.84-2464.84] 或是說一些比較屬於這個這個3D
[2464.84-2466.84] 3D Camera這樣的一個領域
[2466.84-2468.84] 那這個部分我想就是說
[2468.84-2471.84] 目前他們有在做一些
[2471.84-2472.84] 已經開始在做一些
[2472.84-2474.84] 因為產品大概已經都設備差不多
[2474.84-2478.84] 那目前有在做一些比較屬於市場面的業務的一個推展
[2478.84-2480.84] 所以我覺得這部分應該在
[2480.84-2484.84] 下半年應該會比較能看得到一些表現出來
[2484.84-2498.84] 請問中國來看的話
[2498.84-2500.84] 我們2Q3Q的狀況
[2500.84-2504.84] 大概會是什麼樣子
[2504.84-2506.84] 因為剛剛有提到就是說
[2506.84-2507.84] 因為也有綜藝行程
[2507.84-2508.84] 是
[2508.84-2509.84] 那我們有有一些
[2509.84-2511.84] 因應的貿易戰的問題
[2511.84-2514.84] 然後我們可能有一些成員會簽會來
[2514.84-2516.84] 然後另外第二個的話就是說
[2516.84-2519.84] 我們可能
[2519.84-2522.84] 剛剛歡迎你也有提到說在俄羅斯
[2522.84-2523.84] 我剛剛有說不好意思
[2523.84-2524.84] 這是我的中序
[2524.84-2525.84] 應該講說俄羅斯
[2525.84-2528.84] 有提到說那個照明在俄羅斯
[2528.84-2531.84] 這一塊好像今年或許有一些
[2531.84-2533.84] 新的契機
[2533.84-2536.84] 但是好像你們現在也沒有放到今年的focus
[2536.84-2537.84] 對
[2537.84-2539.84] 所以說就你們整體來看的話
[2539.84-2542.84] 大概2Q3Q相較QQ來看的話
[2542.84-2543.84] 就整體的貨幣來講
[2543.84-2546.84] 因為感覺好像關稅影響也不大
[2546.84-2550.84] 然後稅率的問題是在可控的範圍內
[2550.84-2552.84] 那您是樂觀的嗎
[2552.84-2553.84] 2Q3Q是樂觀的嗎
[2553.84-2556.84] 基本上目前還算是樂觀的
[2556.84-2557.84] 對
[2557.84-2560.84] 那因為整個如果剛提到中立廠
[2560.84-2563.84] 其實基本上因為它交屋都已經到Q3了
[2563.84-2566.84] 所以其實它不會在今年去做投產
[2566.84-2567.84] 這樣的一個動作
[2567.84-2568.84] 所以其實基本上今年
[2568.84-2572.84] 不會因為中立廠而去增加一些成本
[2572.84-2573.84] 這是第一個
[2573.84-2575.84] 那再來就是第二個就是說
[2575.84-2579.84] 所以發布回來的這個的速度在今年會實現
[2579.84-2580.84] 今年應該還不會看到
[2580.84-2581.84] 還不會實現
[2581.84-2582.84] 對
[2587.84-2590.84] 那就是說基本上因為
[2590.84-2593.84] 以前我們當然都會去提到說
[2593.84-2595.84] 感覺好像Q2 Q3都是一些
[2595.84-2598.84] 像LED產業的一些旺季這種概念
[2598.84-2601.84] 那Q4 Q1都是旺季的概念
[2601.84-2604.84] 那是因為LED這種產業其實很多
[2604.84-2608.84] 像包括像歐美他們可能很多到了年底12月
[2608.84-2610.84] 就要開始要去過Christmas了
[2610.84-2612.84] 然後就開始要休息了
[2612.84-2615.84] 那再加上12月中國傳統農曆年
[2615.84-2618.84] 那有一些員工都會回家
[2618.84-2621.84] 回家再來的時候中間可能就隔了半個月一個月
[2621.84-2625.84] 所以其實在產能的這種邏輯來看的話
[2625.84-2627.84] 當然其實在Q4跟Q1其實
[2628.84-2630.84] 以過去邏輯來講
[2630.84-2631.84] 它都是比較屬於
[2631.84-2634.84] 加裝力會稍微比較下修的概念
[2634.84-2639.84] 所以過去才會講說Q2 Q3都是比較屬於比較好的部分
[2639.84-2641.84] 但是因為這種東西我覺得其實
[2641.84-2646.84] 以近期來講它也未必都是這樣的一個邏輯
[2646.84-2649.84] 因為最近期就是說其實
[2649.84-2652.84] 雖然說Q2 Q3有這個假期沒有錯
[2652.84-2655.84] 但是其實如果假設今天因為訂單來了
[2655.84-2657.84] 其實公司還是會想辦法
[2657.84-2660.84] 不管是加班或是什麼樣去調配產能
[2660.84-2662.84] 還是要去滿足客戶的需求
[2662.84-2664.84] 因為你如果沒有滿足客戶的需求
[2664.84-2666.84] 客戶他發現你沒辦法配合
[2666.84-2668.84] 那客戶就會轉單了
[2668.84-2670.84] 那其實以現在這樣的環境來講
[2670.84-2672.84] 其實當然只要有訂單
[2672.84-2674.84] 那其實對公司來講
[2674.84-2677.84] 這個都是蠻樂觀蠻正面的
[2677.84-2679.84] 所以其實我想就是說
[2679.84-2683.84] 過去這種所謂的Q2 Q3一定是忘記這種概念
[2683.84-2686.84] 我覺得其實慢慢慢慢現在會比較淡化一點
[2686.84-2691.84] 那當然如果以工作的天數來講
[2691.84-2696.84] Q2的工作天數絕對是比Q1來的多
[2696.84-2700.84] 因為你這個沒有過年這樣的一個影響因子在裡面
[2700.84-2704.84] 所以正常來講就是Q2的部分
[2704.84-2706.84] 應該是要比Q1來的好
[2706.84-2708.84] 我想這個是比較
[2708.84-2710.84] 這個是沒有問題的
[2714.84-2715.84] 想請問就是
[2715.84-2717.84] 您先前在討論說的比較
[2717.84-2721.84] 就是ESG 節能 照明這塊在台灣成為
[2721.84-2724.84] 然後愛普生也在歐洲有去
[2724.84-2725.84] 積極布局類似的照明
[2725.84-2730.84] 那想請問接下來照明業務的展望是怎麼看的
[2730.84-2733.84] 其實照明這一塊持續
[2733.84-2735.84] 當然市場都一直在
[2735.84-2739.84] 那從傳統一些照明
[2739.84-2743.84] 那走向大家比較偏向往節能這方面去走
[2743.84-2744.84] 那甚至在結合一些比較屬於
[2744.84-2745.84] 智能的一些照明
[2745.84-2747.84] 那其實是有一個
[2747.84-2749.84] 其實是有一個導入智控的概念
[2749.84-2751.84] 都會導入智控的概念在裡面的
[2751.84-2752.84] 那以我們來看
[2752.84-2753.84] 雖然說我們持續在推
[2753.84-2756.84] 但是其實這個市場其實還是蠻大的
[2756.84-2758.84] 其實我們並不會認為說
[2758.84-2761.84] 這個市場好像這一兩年就整個都飽和了
[2761.84-2763.84] 其實應該是不會的
[2763.84-2765.84] 因為其實像尤其像這種節能的東西
[2765.84-2767.84] 其實這東西它並不是說
[2767.84-2768.84] 今天我換了之後
[2768.84-2771.84] 就五年十年都不太需要更換
[2771.84-2773.84] 通常我們現在接觸到的
[2773.84-2774.84] 以前早期LED產品剛推出來的時候
[2774.84-2776.84] 很多客戶他們可能會要求說
[2776.84-2778.84] 這個你們要提供什麼五年
[2778.84-2780.84] 然後是八年什麼的一個保證
[2780.84-2781.84] 但是其實隨著這個產品
[2781.84-2783.84] 慢慢比較成熟之後
[2783.84-2786.84] 現在比較合理的是兩年到三年的保證
[2786.84-2788.84] 那兩年到三年就代表說
[2788.84-2790.84] 當它時間到的時候
[2790.84-2791.84] 它一樣還是會有一些
[2791.84-2793.84] 汰換槽會出現
[2793.84-2796.84] 而且其實以目前我們在看
[2796.84-2799.84] 就是說整個台灣這邊的一個市場來講
[2799.84-2803.84] 其實還是有蠻多地方都還需要更換
[2804.84-2819.84] 對
[2819.84-2822.84] 看在場法人這邊
[2822.84-2825.84] 還有沒有什麼問題
[2825.84-2827.84] 不了解的部分
[2827.84-2829.84] 都可以再提出來
[2834.84-2839.84] 大家還有問題嗎
[2845.84-2847.84] 部長這邊還有補充嗎
[2847.84-2849.84] 差不多
[2849.84-2852.84] 好那不然我們法術會就到這邊結束
[2852.84-2853.84] 謝謝大家
[2853.84-2854.84] 好謝謝各位
[2854.84-2856.84] 反正我們都是固定
[2856.84-2858.84] 就是在每一季的財報
[2858.84-2859.84] 大概announce出來
[2859.84-2860.84] 大概一個禮拜左右
[2860.84-2863.84] 我們應該就會固定法術會這樣子
[2863.84-2866.84] 所以隨時再update一些公司的信息
[2866.84-2868.84] 好謝謝部長
[2868.84-2870.84] 謝謝各位法人
