[0.92-3.58] 各位投资以及媒体先进大家好
[1866.26-1868.56] 因为AI产业的快速发展
[1868.56-1872.66] AI伺服器是目前产业中重要的成长引擎
[1872.66-1875.48] 同时具备高单价高获利的特性
[1875.48-1880.08] 所以我们会积极争取相关的生意机会
[1880.08-1883.16] AI伺服器及新产品业务的增加
[1883.16-1885.20] 营收会随之成长
[1885.20-1888.28] 对营业毛利率会有一些影响
[1888.28-1890.58] 在以前法税会跟各位分享
[1890.58-1892.12] 是交易模式的不同
[1892.12-1893.90] 会有不同程度的影响
[1893.90-1895.70] 但在营业费用方面
[1895.70-1898.52] 我们会持续进行审慎的管理
[1898.52-1903.38] 同时鸿海具备了营运规模和存在整合的竞争优势
[1903.38-1905.42] 所以对营业利润率来讲
[1905.42-1908.50] 仍然是正向的贡献
[1908.50-1910.80] 我们也了解投资人希望
[1910.80-1915.42] 我们可以同时提升获利的金额或是毛利率
[1915.42-1919.00] 但是因为AI进行表现比预期来的快
[1919.00-1920.54] EV比预期稍微来的快
[1920.54-1924.38] 也影响到近期的毛利率的表现
[1924.38-1926.68] 不过毛利率表现长期来看
[1926.68-1930.02] 还是因为我们透过产品组合的优化
[1930.02-1932.82] 积极争取高毛利的零组件产品
[1932.82-1937.44] 以及垂直整合和扩展新的产业及产品
[1937.44-1939.74] 而获得改善
[1939.74-1944.60] 另外当我们在努力追求极大化获利目标的同时
[1944.60-1947.68] 也将进而提升股东权益报酬率
[1947.68-1949.98] 所以在股东权益报酬率的部分
[1949.98-1953.82] 过去两年都达到9%以上的水准
[1953.82-1956.90] 所以终其来看我们以12%作为目标
[1956.90-1958.68] 以上
[1958.68-1959.96] 谢谢财务长
[1959.96-1964.32] 那我们现在开放给线上的法人与媒体自由提问
[1964.32-1966.88] Now we will move to Q&A session
[1966.88-1969.94] English question is also welcome
[1969.94-1971.74] 好那第一个问题
[1971.74-1974.30] 我们请UBS分析师Grace提问
[1974.30-1978.66] Grace请
[1978.66-1979.94] 财务长James please please start the Q&A session
[1979.98-1981.00] 大家好
[1981.00-1983.56] 谢谢您接受我第一个提问
[1983.56-1985.10] 我是UBS的Grace
[1985.10-1988.68] 第一个问题我想请教一下董事长
[1988.68-1990.48] 有关于GB200
[1990.48-1992.78] 因为我们了解一开始的时候呢
[1992.78-1997.14] 许多的领主界面临各式各样的一些问题
[1997.14-1999.44] 请问目前进度如何
[1999.44-2002.76] 因为我们刚才看到您的这个guidance在第一季
[2002.76-2008.40] 这个AI Server应该季对季会有100%以上的增长
[2008.40-2009.94] 那是否意味着这样子的
[2009.94-2012.24] 那我们现在看到的这个AI Server的
[2012.24-2014.04] 这个AI Server的领主界面临
[2014.04-2016.08] 已经是在一半的时间之内
[2016.08-2017.88] 已经是在一半的时间之内
[2017.88-2019.92] 那么我们现在看到的这个AI Server的
[2019.92-2022.48] 领主界面临的问题已经
[2022.48-2025.04] 这些瓶颈有很大的突破
[2025.04-2029.40] 那是不是还有哪一些领主界的良率有待提升
[2029.40-2032.72] 那这代表着我们第二季的季增率
[2032.72-2036.06] 在AI Server上面如果有这些比较重大
[2036.06-2037.84] 领主界良率的提升
[2037.84-2039.90] 那增长会比第一季要来得更大
[2039.94-2043.02] 还是维持主要的领导厂商之一
[2043.02-2044.80] 那我们的竞争核心
[2044.80-2047.88] 主要的核心竞争力是在哪里
[2047.88-2050.94] 第二个问题是有关于资本支出
[2050.94-2053.26] 请教一下今年的资本支出
[2053.26-2054.78] 会比去年增加吗
[2054.78-2056.84] 主要是用在什么地方
[2056.84-2060.16] 那另外关税会不会导致今年的费用
[2060.16-2061.70] 或者是费用率提高
[2061.70-2063.50] 谢谢您
[2063.50-2065.54] 好谢谢Grace
[2065.54-2067.08] 那个
[2067.08-2069.90] 有关于GB200的问题呢
[2069.94-2071.22] 因为GB200
[2071.22-2075.58] NVL72是属于一个系统级的机柜
[2075.58-2077.36] 生产的过程呢
[2077.36-2080.94] 它涉及到需要大量的整合了
[2080.94-2083.26] 随着生产数据越来越多
[2083.26-2085.04] 我们看到的状况是
[2085.04-2086.84] 它一天比一天好
[2086.84-2089.40] 现阶段的良率已经达到了
[2089.40-2091.18] 批量生产的标准
[2091.18-2093.50] 那我们的工程团队呢也一直
[2093.50-2095.02] 持续的在改善
[2095.02-2096.82] 相关的流程
[2096.82-2099.12] 生产也会越来越稳定
[2099.12-2102.20] 未来几季我们出货量
[2102.20-2106.28] 将会持续的这个增长
[2106.28-2107.06] 那
[2107.06-2111.16] 大家都常常很关心短期订单的变动
[2111.16-2112.44] 事实上呢
[2112.44-2113.46] 我们在
[2113.46-2116.78] 这个产业的相关的这个
[2116.78-2117.80] position
[2117.80-2119.34] 地位呢
[2119.34-2122.92] 我们跟客户的关系都是非常长期的
[2122.92-2126.52] 就像我们前面所提到我们很早之前就开始
[2126.52-2127.80] 跟客户
[2127.80-2129.08] 在共同开发
[2129.12-2130.92] 我们的这个产品是
[2130.92-2132.20] 非常高的信心
[2132.20-2133.72] 特别是在这个
[2133.72-2135.26] Gb系列的新产品的
[2135.26-2136.28] 受到推出的
[2136.28-2137.00] 实体的
[2137.00-2137.82] 性能上
[2137.82-2139.36] 我们也非常高的信心
[2139.36-2140.64] 那
[2140.64-2141.92] 前面我也已经
[2141.92-2143.20] 我也提到
[2143.20-2146.28] 这个产业的进入门槛很高
[2146.28-2148.32] 从ai晶片
[2148.32-2149.60] 厂商以及
[2149.60-2151.64] 客户的角度来看
[2151.64-2153.70] EMS厂商的这个
[2153.70-2155.48] 研发能力
[2155.48-2157.28] 垂直整合
[2157.28-2159.08] 产品品质
[2159.12-2163.28] 以及全球布局的能力都是他們所看重的
[2163.28-2170.36] 這也是我們可以成為長期合作夥伴勝出的原因
[2170.36-2177.56] 那有關於第二個問題是不是請財務長來回答
[2177.56-2180.32] 好
[2180.32-2185.72] 那個過去幾年公司的資本支出持續的增加
[2185.72-2191.12] 從2022年資本支出為979億
[2191.12-2193.82] 2023年為1117億
[2193.82-2196.28] 2020年為1363億
[2196.28-2200.52] 主要是ICT世界上部件更多區域製造的產能
[2200.52-2203.32] 自動化投資以及新事業的擴展
[2203.32-2207.82] 今年我們也看到更多的商機以及更多的合作機會
[2207.82-2214.32] 所以今年的資本支出預期會持續增加到20%以上
[2214.32-2215.36] 那至於投資所在的
[2215.36-2215.62] 主要國內的資本支出
[2215.62-2215.66] 主要國內的資本支出預期會持續增加到20%以上
[2215.66-2215.68] 主要國內的資本支出預期會持續增加到20%以上
[2215.68-2218.28] 在國家地區包含中國大陸
[2218.28-2222.42] 台灣 印度 美國 東南亞等
[2222.42-2225.08] 不論是直接面對關稅的課徵
[2225.08-2228.48] 或是因應關稅的生產計劃調整
[2228.48-2230.68] 都是考量客戶的需求
[2230.68-2232.48] 而至於相關的費用
[2232.48-2235.12] 也會與客戶共同討論
[2235.12-2237.92] 以維持我們產品獲利性穩定為目標
[2237.92-2239.94] 以上
[2239.94-2243.24] 好 那下一題我們請Morgan Stanley的雪人提問
[2243.24-2245.62] 雪人請
[2245.62-2250.14] Sharon有听到吗
[2250.14-2252.72] 可以听到我的声音吗
[2252.72-2253.80] 可以请说
[2253.80-2257.14] 董事长财务长James你好
[2257.14-2258.04] 我是Sharon
[2258.04-2260.76] 这里有两个问题想要请教一下
[2260.76-2266.26] 第一个还是跟整个公司的利润率比较相关
[2266.26-2270.36] 那刚刚谢谢财务长有大概提点了一下
[2270.36-2274.68] 但是可不可以再给我们一点清楚的指引
[2274.68-2279.76] 因为我想对于今年的一个营收的展望
[2279.76-2281.82] 其实我们刚刚也讲得挺清楚的
[2281.82-2284.22] 那我相信这个展望也代表了
[2284.22-2287.08] 我们对订单的一定程度的掌握度
[2287.08-2289.82] 那是不是可以再提点一下
[2289.82-2291.26] 就是说在今年
[2291.26-2295.46] 就是云端与网络这个事业群
[2295.46-2299.08] 有可能成为公司的一个主要的
[2299.08-2301.76] 这个营收的贡献的话
[2301.76-2304.66] 即使面对毛利率
[2304.66-2308.12] 可能会有点下降的状况下
[2308.12-2311.12] 是不是会有一些规模效益
[2311.12-2313.16] 那是不是在今年
[2313.16-2319.36] 我们对于我们整年度的营业利润率
[2319.36-2325.44] 是有机会跟去年是达到相同的水准
[2325.44-2329.10] 或者是我们有没有一个目标
[2329.10-2333.90] 觉得我们在整个营运下是有机会
[2333.90-2334.64] 买入的
[2334.66-2339.66] 这个营业利润是有机会可以
[2339.66-2343.42] 可以至少保底是在2.5个百分比等等
[2343.42-2346.66] 就是可不可以给我们更仔细的一个指引
[2346.66-2348.66] 这是第一个问题
[2348.66-2351.04] 那第二个问题
[2351.04-2353.62] 我想可能在下周的GTC
[2353.62-2358.78] 可能也是一个重要的话题跟发展
[2358.78-2362.92] 就是人行机器人相关的进展
[2362.92-2364.64] 那可不可以请董事长
[2364.64-2366.64] 跟我们稍微厘清一下
[2366.64-2371.64] 就是鸿海在人行机器人这个部分
[2371.64-2373.64] 刚刚有提到就是说
[2373.64-2375.64] 我们可能在智慧制造这一端
[2375.64-2377.64] 可能在生产的场域
[2377.64-2383.64] 我们有就是导入了一些相关机器人的协同协助
[2383.64-2387.64] 那可不可以就是分享一下
[2387.64-2391.64] 就是说我们在整个人行机器人这个部分
[2391.64-2393.64] 是不是目前只有卓雁在
[2393.64-2394.64] 在卓雁在卓雁在
[2394.64-2396.64] 在这个人行机器人的这个发展
[2396.64-2398.64] 我相信鸿海是不会缺席
[2398.64-2401.64] 那我们是会着眼在关键零组件的布局
[2401.64-2405.64] 还是包含的是一个比较total solution
[2405.64-2408.64] 就是从关键零部件到整机组装
[2408.64-2412.64] 到甚至一些背后软体的一些导入
[2412.64-2415.64] 那这个部分我们也会做一些进展
[2415.64-2417.64] 我们也会做一些进展
[2417.64-2419.64] 我们也会做一些进展
[2419.64-2421.64] 我们也会做一些进展
[2421.64-2423.64] 我们也会做一些进展
[2423.64-2426.72] 那发展要讲到这个
[2426.72-2433.72] 因为户口应该脚在 Jak claro 风量上
[2433.72-2435.28] 为什么是这个样子呢
[2435.28-2439.34] 因为相关性能力不放agnetic
[2439.34-2441.56] 前后排 miners 在一下
[2441.56-2444.64] 英拟化实者 政治镜头上
[2444.64-2446.62] WVD 海外透露 tasted
[2446.62-2448.56] St 되지 盘生
[2448.72-2450.64] 弗雷線 做功放施
[2450.64-2452.64] зв19 做功推到
[2452.64-2455.90] 营业利益率上面反而较前一年度成长
[2455.90-2457.30] 那今年呢
[2457.30-2459.84] 仍然很大一部分的AI设计收入
[2459.84-2463.06] 会来自于更高单价的GP系列产品
[2463.06-2465.96] 那由于交易模式的这样的一个影响
[2465.96-2468.70] 对于毛利率还是会有进一步的影响
[2468.70-2471.08] 但是预期今年应该
[2471.08-2474.00] 还是会有类似去年的杠杆效益发生
[2474.00-2475.30] 就像前面提到的
[2475.30-2476.86] 对于我们的营业利益率
[2476.86-2479.24] 还是有正面的一个助力
[2479.24-2480.08] 以上
[2480.08-2487.24] 好 有关于那个人形机器人的部分
[2487.24-2491.22] 其实我们这个集团一直很看好
[2491.22-2492.74] 机器人的这个产业
[2492.74-2496.52] 五年前就已经把机器人
[2496.52-2500.54] 当成鸿海未来主要发展的产业之一
[2500.54-2504.22] 所以在我们这个三加三的新事业里面
[2504.22-2506.54] 就已经把这个列入了
[2506.54-2509.00] 那在调研机构
[2509.00-2511.98] 也预估全球人形机器人
[2511.98-2515.18] 在未来十年会有高速的成长
[2515.18-2519.42] 并会成为机器人产业的一个重要的支柱
[2519.42-2522.02] 那这股趋势反映了智慧
[2522.02-2525.52] 在智慧制造还有服务型机器人
[2525.52-2530.90] 以及自动化技术的一些相关的广泛的应用
[2530.90-2534.12] 也为整个机器人产业带来一个
[2534.12-2536.26] 全新的一个商业的机会
[2536.26-2537.42] 那
[2537.42-2538.42] 好
[2539.00-2569.00] 
[2569.00-2599.00] 
[2599.00-2600.70] in the future
[2600.70-2603.72] 我们也会做整个人形机器人的组装
[2603.72-2606.00] 那除了这之外呢
[2606.00-2609.76] 我们也会提供软体相关的应用
[2609.76-2612.72] 上面的一些平台上的服务
[2612.72-2614.94] 之前我们有提到
[2614.94-2618.14] 我们在云上的一些机器人
[2618.14-2620.78] 我们也会提供一些游戏
[2620.78-2623.54] 我们也会提供一些电脑
[2623.54-2625.68] 我们也会提供一些电脑
[2625.68-2626.96] 我们也会提供一些电脑
[2626.96-2627.92] 我们也会提供一些电脑
[2627.92-2628.54] 我们也会提供一些电脑
[2628.54-2628.96] 我们也会提供一些电脑
[2628.96-2629.00] 我们也会提供一些电脑
[2629.00-2634.12] 三大平台包括智慧制造
[2634.12-2639.04] 智慧程式以及智慧EV上面
[2639.04-2644.58] 我们都会从我们的制造
[2644.58-2646.64] 原来的制造服务
[2646.64-2649.62] 要变成一个平台的服务
[2649.62-2652.56] 所以从平台的服务的角度来看
[2652.56-2655.40] 我们不光是会提供硬件
[2655.40-2660.80] 也会提供相关的软件
[2660.80-2662.86] 但是是一个平台
[2662.86-2665.52] 所以我们大概会做到
[2665.52-2668.86] 大概八九层吧
[2668.86-2672.00] 把这个平台做到八九层
[2672.00-2673.94] 剩下来的一两层
[2673.94-2678.24] 会是由我们的客户来完成
[2678.24-2682.58] 所以大概是这样子的一个规划
[2682.58-2683.58] 以上
[2683.58-2684.90] 好
[2684.90-2685.38] 谢谢
[2685.40-2686.60] 那下一题
[2686.60-2689.88] 我们请TBBS的记者来提问
[2689.88-2692.82] 那Payne请
[2692.82-2698.38] Payne有听到吗
[2698.38-2702.04] 可以请说
[2702.04-2704.20] 董事长James您好
[2704.20-2705.38] 我是TBBS的Payne
[2705.38-2707.32] 我这边有两个问题想要请教
[2707.32-2709.18] 关于DeepSeek的出现
[2709.18-2710.36] 市场看法很多
[2710.36-2712.30] 那想以制造端的角度请教
[2712.30-2713.78] DeepSeek的出现
[2713.78-2715.06] 是否影响客户
[2715.06-2717.90] 在高阶AI伺服器的相关需求
[2717.90-2719.20] 这是第一个问题
[2719.20-2720.12] 那第二个问题是
[2720.12-2722.74] 有看到鸿海近期推出那个首款
[2722.74-2725.56] 繁体中文AI大语言模型的FoxBrain
[2725.56-2726.94] 能不能跟我们分享一下
[2726.94-2728.08] 分享一下它的亮点
[2728.08-2729.94] 谢谢
[2729.94-2732.58] 我先讲一下FoxBrain
[2732.58-2736.86] 还有跟DeepSeek之间的关系
[2736.86-2738.88] 那其实DeepSeek它里面
[2738.88-2742.30] 那个采用的一些技术呢
[2742.30-2744.22] 其实过去在这个业界上呢
[2744.22-2744.46] 其实过去在这个业界上呢
[2744.46-2746.26] 这个业界很多人用
[2746.26-2750.60] 比如说用现有的这个已经成型的AI
[2750.60-2755.98] model来训练新的这个AImodel
[2755.98-2759.56] 那或是叫做蒸馏法了
[2759.56-2762.90] 那只是过去大家在对蒸馏法呢
[2762.90-2765.46] 一般都有一个担心
[2765.46-2769.54] 就是用蒸馏法可能不合法
[2769.54-2771.34] 所以大家都做了
[2771.34-2772.88] 可是都不敢讲
[2772.88-2774.42] DeepSeek
[2774.46-2778.30] 让大家在这方面就有一个
[2778.30-2780.34] 这个很大的突破
[2780.34-2782.14] 所以现在大家都敢说
[2782.14-2783.42] 我这样做了
[2783.42-2785.46] 那我们的FoxBrain也是
[2785.46-2788.02] 利用类似的方法
[2788.02-2790.58] 用一些distillation
[2790.58-2796.74] 然后再加上我们在
[2796.74-2798.52] 这个推理
[2798.52-2803.38] 还有在这个繁体中文的部分
[2803.38-2803.90] 还有在这个繁体中文的部分
[2804.46-2808.04] 做了这个更进一步的加强
[2808.04-2811.38] 让我们的这个新的model
[2811.38-2813.42] 在繁体中文上
[2813.42-2814.96] 还有在推理
[2814.96-2818.02] 以及数学模型上
[2818.02-2820.08] 都做得相当不错
[2820.08-2821.62] 那我们也做了一些
[2821.62-2823.66] 我们在我们的公布的
[2823.66-2826.98] 这个测试的
[2826.98-2829.80] 那个效能测试的这个
[2829.80-2831.08] 雷达图上面
[2831.08-2833.38] 你可以看到在这几个方面
[2833.38-2834.42] 是表现是不错的
[2834.46-2839.06] 那未来我们会把我们的FoxBrain
[2839.06-2842.66] 会这个开放给
[2842.66-2845.72] 这个变成一个open source
[2845.72-2846.74] 一个model
[2846.74-2850.08] 希望大家能够基于这个model上面
[2850.08-2851.62] 可以
[2851.62-2855.46] 那个做更多的繁体中文上面的
[2855.46-2857.50] 一些应用的开发
[2857.50-2861.60] 那我们集团也会把我们三大平台
[2861.60-2864.42] 用这个基于这个model
[2864.42-2867.74] 来开发
[2867.74-2872.36] 那这是有关于我们FoxBrain
[2872.36-2876.20] 大概的它的状况
[2876.20-2877.98] 那至于DeepSeek
[2877.98-2880.54] 它所采用的方法呢
[2880.54-2883.10] 还有它的影响
[2883.10-2884.90] 它的
[2884.90-2886.94] 因为它的这个技术方法
[2886.94-2888.48] 让很多原来
[2888.48-2891.30] 可能没有办法参与大圆模型
[2891.30-2893.10] 开发的企业呢
[2893.10-2894.38] 也有机会
[2894.42-2895.44] 能够参与
[2895.44-2897.50] 就像鸿海一样
[2897.50-2899.28] 我们这次的这个FoxBrain
[2899.28-2902.10] 大概是用了100张H100
[2902.10-2903.38] 这样子的
[2903.38-2905.42] 一个规模来
[2905.42-2907.74] 这个做的这个
[2907.74-2910.04] 这个continuous的
[2910.04-2912.86] 这个continuous的这个
[2912.86-2914.90] pre-training
[2914.90-2916.94] 然后再加上一些post-training
[2916.94-2918.48] 所以可以train到
[2918.48-2920.02] 我们刚刚讲的那样一个
[2920.02-2923.10] 那样子的一个效能
[2923.10-2924.12] 那这都是
[2924.42-2927.74] 在过去可能不太容易
[2927.74-2929.54] 过去我记得我们的
[2929.54-2931.34] 这个
[2931.34-2935.94] 研发团队要求大概是2000张以上
[2935.94-2938.50] 那现在我们只用了100张
[2938.50-2941.32] 这个是一个很大的差别
[2941.32-2943.88] 那也因为这个样子
[2943.88-2947.46] 那它加速了这些推理
[2947.46-2950.78] 它用在AI伺服器的普及了
[2950.78-2953.86] 那所以过去AI的模型的开发
[2953.86-2955.14] 它大部分是由
[2955.14-2957.96] 这个大型的CSP来主导
[2957.96-2960.00] 那现在看到越来越
[2960.00-2963.58] 多的中型公司开始购买这个AI伺服器
[2963.58-2965.90] 来训练他们自己的模型
[2965.90-2969.74] 那这个我觉得将会推动这个边缘AI的
[2969.74-2971.02] 蓬勃的发展
[2971.02-2974.60] 进而会提升整体算力的需求
[2974.60-2975.88] 为什么呢
[2975.88-2976.64] 因为
[2976.64-2981.76] 这个新的模型包括AGI跟ASI
[2981.76-2983.30] 它仍在发展中
[2983.30-2985.86] 它还是需要非常多的算力
[2985.86-2989.44] 这些发展出来的模型未来
[2989.44-2992.00] 可能可以透过
[2992.00-2995.84] 类似Deep-Seek的这样子的一个做法
[2995.84-2996.86] 让
[2996.86-2999.94] 这个新的模型
[2999.94-3002.76] 可以在边缘计算上
[3002.76-3004.30] 可以应用
[3004.30-3006.08] 可以发挥它的
[3006.08-3007.36] 这个优势
[3007.36-3008.38] 所以
[3008.38-3011.46] 我们认为了高阶AI的伺服器
[3011.46-3012.48] 那需求
[3012.48-3013.26] 它会仍然会持续的
[3013.30-3014.32] 持续成长
[3014.32-3015.10] 并不会
[3015.10-3016.12] 因为这些
[3016.12-3017.66] 开源的
[3017.66-3019.18] 这种
[3019.18-3022.26] 这个相关的模型的出现
[3022.26-3025.08] 而受到不利的影响
[3025.08-3026.62] 以上
[3026.62-3027.64] 好
[3027.64-3030.70] 那下一题我们请三立的智柔提问
[3030.70-3034.04] 智柔请
[3034.04-3035.58] 小部长JAMS午安
[3035.58-3037.10] 我是三立财经的智柔
[3037.10-3040.18] 今天要帮这个百万股东来争取一下
[3040.18-3040.70] 就是
[3040.70-3043.26] 第一个想要问说目前能不能透露
[3043.30-3045.60] 这个股利配发的相关规划
[3045.60-3047.66] 那再来这个配发率呢
[3047.66-3048.94] 有没有机会是
[3048.94-3051.24] 创下和往年一样超过五成
[3051.24-3053.02] 甚至是创下新高呢
[3053.02-3054.56] 以上问题想要请教刘董
[3054.56-3055.08] 谢谢
[3055.08-3058.14] 我们请财务长回答吧
[3058.14-3058.66] 好不好
[3058.66-3059.42] 好
[3059.42-3061.74] 智柔是如你所愿
[3061.74-3064.30] 我们在2019年
[3064.30-3067.88] 表示公司现金股率配发率将不低于四成
[3067.88-3070.70] 其实自从我们宣布这个目标之后呢
[3070.70-3073.26] 实际上过去五年我们的配发率呢
[3073.26-3075.30] 是大约超过五成
[3075.30-3079.40] 我们在考量公司业务发展所需要的资金之后
[3079.40-3083.50] 把每一年努力创造的成果与各位股东分享
[3083.50-3086.82] 去年我们的EPS是11.01元
[3086.82-3088.62] 因此今天
[3088.62-3091.18] 董事会在讨论股利分配案时
[3091.18-3096.04] 也考量了去年我们的EPS创下了2008年以来的新高
[3096.04-3098.10] 所以决议今年每股
[3098.10-3101.42] 将配发5.8元的现金股利
[3101.42-3103.22] 去年是5.4元
[3103.22-3106.04] 为1991年上市以来最高
[3106.04-3109.10] 配发率达到52.7%
[3109.10-3111.42] 第六年超过五成
[3111.42-3115.26] 这也是为什么我们重视获利的极大化
[3115.26-3117.82] 因为唯有更高的EPS
[3117.82-3123.96] 才能让投资人分配到更多的现金股利以上
[3123.96-3124.46] OK
[3124.46-3126.26] Next question
[3126.26-3127.02] JV Morgan
[3127.02-3132.14] Goku
[3132.14-3133.18] Goku can you hear me?
[3133.22-3135.78] Yeah Hello?
[3135.78-3138.34] Yeah
[3138.34-3138.86] OK
[3138.86-3142.18] My first question is
[3142.18-3144.74] just wanted to understand
[3144.74-3150.12] how you think about AI ASIC based servers
[3150.12-3154.98] because I think we definitely have pretty good market share in GPU servers
[3154.98-3160.36] How does Honhai think about AI ASIC server because
[3160.36-3162.66] it feels like more of the demand seems to be more than the demand
[3163.22-3167.32] Shifting to ASICs within the AI
[3167.32-3173.90] What is Honhai's presence and market share in this pace
[3173.90-3177.56] And how do we see that change
[3177.56-3178.70] Second is there is definitely a lot of concerns in the market about
[3178.70-3183.04] CSP demand into next year
[3183.04-3185.22] Obviously still quite some time to go
[3185.22-3189.28] What are the conversations that Honhai is having with
[3189.28-3190.42] CSP customers
[3190.42-3191.78] Like Microsoft and others
[3191.78-3192.74] Government or other business groups
[3192.74-3192.92] And other things like that
[3192.92-3195.16] 在2026年期間的需求上
[3197.88-3198.60] 好的
[3199.60-3200.12] Goku
[3200.12-3203.16] 讓我試著回答你的兩項問題
[3204.08-3210.52] 關於ASIC AI 軟件
[3210.88-3217.00] 我們與一大部分的ASIC AI 軟件供應商合作
[3217.00-3224.08] 因為A efforts Auf der k態度
[3224.08-3226.20] 我們滿足了使用品car賽 soak
[3226.20-3230.52] Mint
[3231.56-3241.32] 拉可
[3242.20-3245.06] Operation
[3246.12-3246.60] Tips
[3247.00-3254.00] 我们看到在 edge 方面的需求越来越强
[3254.00-3264.00] 我们认为 edge ai 需求越来越大
[3264.00-3273.00] A6 ai 传输器会能够支持
[3273.00-3280.00] 当它能够展示足够大量的量
[3280.00-3286.00] 我认为可能在今年后
[3286.00-3295.00] Each ai 传输器的使用越来越成熟
[3295.00-3297.00] 这是我认为的
[3297.00-3302.00] 您的第二个问题是关于 csp 的需求
[3302.00-3303.00] 呃
[3303.00-3306.00] 我认为从我的
[3306.00-3307.00] 呃
[3307.00-3308.00] 呃
[3308.00-3309.00] 我的
[3309.00-3310.00] 经验
[3310.00-3312.00] 或者从
[3312.00-3314.00] Boscom 所经历的
[3314.00-3316.00] 我们没有看到
[3316.00-3319.00] csp 的需求
[3319.00-3320.00] 呃
[3320.00-3322.00] 已经稳定了
[3322.00-3323.00] 好的
[3323.00-3325.00] 还有一个谣言说
[3325.00-3332.00] csp 的需求将在今年中被选择
[3332.00-3333.00] 好的
[3333.00-3334.00] 然后呢呃
[3334.00-3335.00] 呃
[3335.00-3337.00] 这一年之后会降低
[3337.00-3339.00] 但是我们没有看到这个
[3339.00-3343.00] 我们认为需求仍然是颇强的
[3343.00-3345.00] 至少
[3345.00-3346.00] 我
[3346.00-3347.00] Boscom
[3347.00-3348.00] 好的
[3348.00-3349.00] 所以
[3349.00-3350.00] 呃
[3350.00-3351.00] 我会说
[3351.00-3353.00] 不至于下年
[3353.00-3358.00] 我们不会看到这个年纪
[3358.00-3359.00] 好
[3359.00-3361.00] 那下一位是
[3361.00-3362.00] 好那下一位是
[3362.00-3364.00] 那下一个问题
[3364.00-3366.00] 我们请富邦的阿泽提问
[3366.00-3367.00] 阿泽
[3371.00-3372.00] 阿泽有听到吗
[3376.00-3377.00] 好
[3377.00-3378.00] 如果没听到
[3378.00-3379.00] 你好
[3379.00-3380.00] 这样听得到我声音吗
[3380.00-3381.00] 好可以请说
[3381.00-3382.00] 不好意思
[3382.00-3383.00] 那我有三个问题
[3383.00-3384.00] 我可以各个问吗
[3384.00-3385.00] 这样比较选
[3385.00-3386.00] 还是一次问三个问题
[3386.00-3387.00] 那你
[3387.00-3388.00] 一次提问好了
[3388.00-3390.00] 我们可能挑两个最重要的回答
[3390.00-3391.00] 没问题
[3391.00-3394.00] 那就是我想大概就是从这个还是回到
[3394.00-3395.00] 伺服器这边来讲
[3395.00-3396.00] Gb
[3396.00-3400.00] 那就是说市场上我想最近就是有听到这个上游的
[3400.00-3402.00] Core在这个
[3402.00-3405.00] 减产那是不是说因为
[3405.00-3408.00] 这个Gb200的出货不顺
[3408.00-3412.00] 然后也有听到说慢慢的这个Brainwell会
[3412.00-3413.00] 往这个SGS
[3413.00-3415.00] 那我想
[3415.00-3419.00] 这个问题是不是会影响鸿海在第一季第二季的状况
[3419.00-3420.00] 或者说
[3420.00-3424.00] 公司就是说觉得这个问题不大
[3424.00-3428.00] 因为最主要公司有生产这些东西
[3428.00-3434.00] 那因为这是市场上大部分最近这几个礼拜都在discussion
[3434.00-3437.00] 有关于这个Gb200的问题
[3437.00-3442.00] 那有关Gb200问题我想就是Gb300是不是在这个
[3442.00-3444.00] 由于他那个Dice size比较大
[3444.00-3447.00] 是不是在Sermal solution上有些改变
[3447.00-3449.00] 还有在Power上面是不是有些改变
[3449.00-3451.00] 这是整个Gb问题
[3451.00-3453.00] 那第二个问题是
[3453.00-3457.00] 我们我想请教公司就是对于川普这个关税问题
[3457.00-3459.00] 我想大概已经
[3459.00-3463.00] 很久了那公司也有announce会在这个
[3463.00-3466.00] 应该是Apple在德州
[3466.00-3468.00] 那是不是可以请董事长就
[3468.00-3470.00] 这个关税问题
[3470.00-3473.00] 未来一年之内公司有没有什么
[3473.00-3474.00] 更进一步的
[3474.00-3478.00] 这个developing在这个美国这边
[3478.00-3480.00] 那第三个问题是还是basic
[3480.00-3481.00] 就是这个iPhone的问题
[3481.00-3484.00] 就是说看到公司看到该的时期是FRED
[3484.00-3490.00] 那对于这个客人公司还会持续比较深入合作
[3490.00-3495.00] 还是说就是随着这个公司的产品线
[3495.00-3497.00] 然后做相对应的投资
[3497.00-3499.00] 那这以上是我三个问题谢谢
[3501.00-3505.00] 好我来尝试回答这三个问题
[3505.00-3507.00] 第一个问题就是有关于Gb200
[3508.00-3511.00] 它的生产的状况
[3511.00-3514.00] 那就像我前面所提的
[3514.00-3519.00] 这个Gb200是一个非常复杂的系统
[3519.00-3525.00] 那它需要这个收集很多的资料
[3525.00-3531.00] 很多数据来这个让它的生产变得更顺畅
[3531.00-3536.00] 那经过这半年多来的数据的收集
[3536.00-3538.00] 它现在我们看到的就是
[3538.00-3544.00] 它的量率已经达到了批量生产的标准了
[3544.00-3548.00] 但是因为这是很复杂的系统
[3548.00-3553.00] 所以因为里面的零件也很多
[3553.00-3561.00] 所以这个影响还有在测试方面都变得相当的复杂
[3561.00-3564.00] 所以在这方面我是觉得它生产的
[3564.00-3568.00] 我们看到这个流程也不断的在开放
[3568.00-3572.00] 但是它也会改善生产也越来越稳定
