[0.00-5.92] 好,各位投资先进、分析师朋友、媒体伙伴以及线上的同仁们大家好
[1666.98-1668.98] 然後比較價格競爭的EV來講
[1668.98-1670.98] 我們更傾向在這一塊
[1670.98-1672.98] 從工業跟儲能櫃的產品的
[1672.98-1674.98] 升級跟結合
[1674.98-1676.98] 但是呢因為0到1
[1676.98-1678.98] 外市啟動沒有耕耘個一兩年
[1678.98-1680.98] 都沒有這些成功案例
[1680.98-1682.98] 那相對的現在有這些成功案例了
[1682.98-1684.98] 我相信後面就是可以慢慢的耕耘跟放量
[1684.98-1686.98] 我相信後面就是可以慢慢的耕耘跟放量
[1686.98-1688.98] 然後把它發揚廣大
[1690.98-1692.98] 那這個呢就是伊蘭我們還是有一些
[1692.98-1694.98] 農耕機車啦
[1694.98-1696.98] 還有
[1696.98-1698.98] 這個電動的
[1698.98-1700.98] 這個高速
[1700.98-1702.98] 不是高速對不起
[1702.98-1704.98] 我這邊是高壓
[1704.98-1706.98] 這個高速的Cable
[1706.98-1708.98] 的部分我們也不錯
[1708.98-1710.98] 也從日本到歐洲都有幾款
[1710.98-1712.98] 很不錯的代表座也都做進去了
[1712.98-1714.98] 很不錯的代表座也都做進去了
[1714.98-1716.98] 所以對整個加比奇來講
[1716.98-1718.98] 63安培的高電流的Cable
[1718.98-1720.98] 63安培的高電流的Cable
[1720.98-1722.98] 用在伺服器對我們來說其實是很簡單的
[1722.98-1724.98] 用在伺服器對我們來說其實是很簡單的
[1724.98-1726.98] 因為我們已經可以做到300安到400安這種
[1726.98-1728.98] 大電流跟大電壓的Cable
[1728.98-1730.98] 只是呢我們把這樣的
[1730.98-1732.98] 產品技術不分市場
[1732.98-1734.98] 也把它一起
[1734.98-1736.98] 結合用到伺服器上
[1736.98-1738.98] 去做一個產品的升級
[1738.98-1740.98] 我覺得這個是一個很成功的
[1740.98-1742.98] 一個做法
[1742.98-1744.98] 伊蘭可能我們就會一直琢磨在
[1744.98-1746.98] 農耕機啊工業類的High Power
[1746.98-1748.98] 然後但是董事長也在很早就提醒我們說
[1748.98-1750.98] 這個部分要橫向展開
[1750.98-1752.98] 這個High Power的技術
[1752.98-1754.98] 不應該只設限市場
[1754.98-1756.98] 局限在某一些市場上
[1756.98-1758.98] 應該連同AI一起做這個結合
[1758.98-1760.98] 所以我們才在今年的OCP
[1760.98-1762.98] 也有不錯的一個成績
[1762.98-1764.98] 終於把這些產品生出來了
[1764.98-1766.98] 好
[1766.98-1768.98] 那下一頁
[1768.98-1770.98] 最後呢前面幾頁就是要讓大家知道
[1770.98-1772.98] 請放心我們很努力
[1772.98-1774.98] 在AI加速的同時
[1774.98-1776.98] 工業也有一步一腳印的
[1776.98-1778.98] 我們有很好的扎實的去做一個
[1778.98-1780.98] 把關的動作不會讓它數字上
[1780.98-1782.98] 業績上有太大的動盪
[1782.98-1784.98] 那當然成長看起來還是會稍微緩慢
[1784.98-1786.98] 因為它可能兩三年
[1786.98-1788.98] 才會有一個品牌的效應
[1788.98-1790.98] 然後才會有一個Spec-In
[1790.98-1792.98] 所以呢我們這個部分呢
[1792.98-1794.98] 我們也結合我們的
[1794.98-1796.98] 本來在工業這一塊的
[1796.98-1798.98] 技術的能量
[1798.98-1800.98] 然後我相信去年我們在最後一次的
[1800.98-1802.98] 法說都有跟很多先進提到
[1802.98-1804.98] 我們水冷已經正式
[1804.98-1806.98] 送樣啦
[1806.98-1808.98] 然後正式的Value
[1808.98-1810.98] 就是正式的發表
[1810.98-1812.98] 那也在這個整個Q1
[1812.98-1814.98] 整個團隊都很努力之下
[1814.98-1818.98] 把OCP的整個認證認可也都得到了
[1818.98-1820.98] 那也很開心在ROVAN GTC回來之後呢
[1820.98-1822.98] 我們入序這個禮拜
[1822.98-1824.98] 就上個禮拜就接到了
[1824.98-1826.98] 我們目標客人的三大家客人
[1826.98-1828.98] 都已經入序跟我們
[1828.98-1830.98] 針對水冷有直接的
[1830.98-1832.98] 進展了
[1832.98-1834.98] 所以現在不管是在產能啦
[1834.98-1836.98] 還有在產線啦
[1836.98-1838.98] 可能客戶會需要一些神廠
[1838.98-1840.98] audit等等
[1840.98-1842.98] 但是客戶也在我們很努力的耕耘之下
[1842.98-1844.98] 他們也理解了哇
[1844.98-1846.98] 我們這個產品線
[1846.98-1848.98] 別有以往喔
[1848.98-1850.98] 所以這個是不同的產品的路線
[1850.98-1852.98] 所以跟客戶的耕耘要一點時間
[1852.98-1854.98] 那現在客戶也有興趣
[1854.98-1856.98] 並且認可
[1856.98-1858.98] 開始跟我們做這個正式的
[1858.98-1860.98] 不管在房廠啦
[1860.98-1862.98] 還有產能的規劃啦
[1862.98-1864.98] 還有報價
[1864.98-1866.98] 跟樣品的認證等等
[1866.98-1868.98] 已經有一個很正式的啟動了
[1868.98-1870.98] 所以我們也很期待接下來
[1870.98-1872.98] 既有的產品線的同時
[1872.98-1874.98] 這幾年我們耕耘的幾個ORV3
[1874.98-1876.98] 的技術高速
[1876.98-1878.98] 整個這樣整合起來
[1878.98-1880.98] 我相信嗯
[1880.98-1882.98] 不管是在越南的工廠跟美國的工廠
[1882.98-1884.98] 我們也都做了很好的準備了
[1884.98-1886.98] 所以不管川普2.0 3.0
[1886.98-1888.98] 我相信JPG都在這一塊的產品布局
[1888.98-1890.98] 我們都有做了一個很
[1890.98-1892.98] 很不錯很扎實的準備
[1892.98-1894.98] 然後可以迎合
[1894.98-1896.98] 或配合不同客戶的需求
[1896.98-1898.98] 所以大家也可以
[1898.98-1900.98] 等一下Q&A的時間
[1900.98-1902.98] 可以直接針對於
[1902.98-1904.98] 你們有興趣的問題來做一個
[1904.98-1906.98] 提問
[1906.98-1908.98] 那今天的產品幾個主要的重點的亮點
[1908.98-1910.98] 就大概是這樣
[1910.98-1912.98] 那最後一頁呢希望你們給我們支持一下
[1912.98-1914.98] 雖然5月有電腦展
[1914.98-1916.98] AI很重頭戲
[1916.98-1918.98] 但4月我們還是有一個車用啦
[1918.98-1920.98] 車用的電子展
[1920.98-1922.98] 也是我們結合台大的
[1922.98-1924.98] 對科技的
[1924.98-1926.98] ESG的科技大學
[1926.98-1928.98] 不管是產品啊客戶等等
[1928.98-1930.98] 我們今年也會在4月23號
[1930.98-1932.98] 在南港有展覽
[1932.98-1934.98] 歡迎大家可以多多來力頂指教
[1934.98-1936.98] 那當然重頭戲的5月
[1936.98-1938.98] 就是我們的電腦展
[1938.98-1940.98] 那大概以上是這個部分跟大家分享一下
[1940.98-1942.98] 謝謝
[1944.98-1946.98] 謝謝安子
[1946.98-1948.98] 那我們接下來是進入機會的時間
[1948.98-1950.98] 那歡迎大家提問
[1950.98-1952.98] 謝謝
[1960.98-1962.98] 把它回到第一頁有沒有
[1962.98-1964.98] 說第二頁
[1964.98-1966.98] 看到 End
[1966.98-1970.98] TI
[1993.06-1994.90] 我露這個
[1994.90-1997.82] 我想我来补充一下吧
[1997.82-2001.74] 有关于我们怎样市场跟客户
[2001.74-2004.18] 这个看到这个图
[2004.18-2006.04] 有关于像server storage
[2006.04-2008.08] 然后再来AI GPU
[2008.08-2010.10] 再来跟switch POR
[2010.10-2012.92] 然后再变它center的cabling
[2012.92-2015.36] 这个的话你会看到吗
[2015.36-2017.80] server本来应该是我们最大的战场
[2017.80-2022.32] 就是做的是0到6的这个机柜里面的
[2022.32-2024.64] 内建产品高速产品
[2024.64-2029.44] 那AI GPU也是高速产品内建产品
[2029.44-2031.78] 可是它整个的设计是有别于
[2031.78-2035.40] 之前的这个server到400G之前
[2035.40-2039.74] 反正就从MTX到GB200到300
[2039.74-2042.66] 后面这个AI整个GPU的server的做法
[2042.66-2043.76] 是很不一样的
[2043.76-2045.82] 目前这个部分是比较
[2045.82-2048.82] 大家非常非常瞩目的这一块
[2048.82-2051.40] 这个当然也是由NVIDIA在主导
[2052.30-2054.52] 那剩下这两块就是POR
[2054.52-2058.40] 就是Top of the rack到data center的cabling
[2058.40-2063.08] 其实这个我们原本在台湾的客户们
[2063.08-2065.28] 都没有办法做这一部分的生意
[2065.28-2069.40] 因为他们没有建造完整的rack
[2069.40-2073.06] 没有做到L11 12以上
[2073.06-2075.70] 那这些大部分都是在SI那里
[2075.70-2078.18] 或者在美国当地在Build
[2078.18-2080.26] 那整个data center的cabling
[2080.26-2082.18] 就包括现在就是说
[2082.18-2084.18] 就是几百柜几千柜挂托档
[2084.18-2087.38] 然后他们的这个便利
[2087.38-2092.14] 怎么做arrange
[2092.14-2095.82] 到他们整个怎么跟switch
[2095.82-2099.28] 整个叫做cluster
[2099.28-2101.90] 整个data center的整个cluster
[2101.90-2104.14] 这个部分以前在JPC在台湾
[2104.14-2107.46] 是比较难于把手伸到很长
[2107.46-2113.10] 伸到国外或是欧洲到美国的客户的做SI的那个
[2114.18-2117.38] 那因为我们最近两年来
[2117.38-2121.38] 我们已经有美国的团队有JPC PT
[2121.38-2125.42] 我们原本那个PT就把它改成为JPC PT
[2125.42-2130.26] 所以这一个团队现在就主力就在做这个TOR
[2130.26-2132.58] 到这个data center的cabling
[2132.58-2135.94] 所以在那里我们才有一些外接线光纤
[2135.94-2143.62] 到更多的这个叫做power大power的连接在一起
[2144.18-2149.06] 所以这个的整个的公司的营运的走向是这样子的
[2149.06-2152.30] 所以前面的123大概就在台湾做
[2152.30-2155.42] 交给台湾的做ODM
[2155.42-2158.66] 你知道台湾的ODM就是鸿海光大
[2158.66-2161.94] 音乐大 维银的这些公司
[2161.94-2166.06] 那其实如果是到了TOR这些公司的话
[2166.06-2168.98] 就可能是完全不一样的名字
[2168.98-2173.38] 各位可能会谷歌有自己的SI
[2173.38-2173.94] 我们现在就在台湾做了一个
[2173.94-2174.14] 我们现在就在台湾做一个
[2174.18-2175.14] 我们现在就在台湾做一个
[2175.14-2177.86] 这个谷歌的SI已经有好几个在世界各地
[2177.86-2179.66] 大概十家以上
[2179.66-2185.14] 然后当然有另外还有同称为SI的
[2185.14-2186.70] 在美国Build的应该也是
[2186.70-2189.90] 那个什么Super Michael也算一个
[2189.90-2191.62] 他们也算本水指的
[2191.62-2194.54] 所以他们也会需求这些大的power
[2194.54-2198.54] 我们就是因为两年前看到我们美国的这个公司
[2198.54-2200.54] 团队已经具备
[2200.54-2203.94] 然后客户的需求跟整个
[2203.94-2206.76] 成長的方向
[2206.76-2208.22] 所以我們才去做
[2208.22-2209.46] 大電流
[2209.46-2212.10] 然後再去做這個所謂的
[2212.10-2214.36] 散熱相關產品
[2214.36-2216.72] 然後再來就是光相對的
[2216.72-2217.50] 一些產品
[2217.50-2219.44] 那美國公司也會加大
[2219.44-2220.52] MTI
[2220.52-2223.04] 為服務就地的客人
[2223.04-2224.88] 目前的狀況也都還很不錯
[2224.88-2227.28] 那我這個就補充在這裡
[2227.28-2228.76] 我想這裡各位
[2228.76-2231.32] 讓各位更理解我們整個的
[2231.32-2231.76] Footprint
[2231.76-2234.36] 整個JPC的Footprint
[2234.36-2235.16] 這是我們的
[2235.16-2238.48] 好
[2238.48-2240.66] 那我們現在來看看大家的
[2240.66-2241.82] 如果很專業的
[2241.82-2244.26] 孫博士還在線上
[2244.26-2247.06] 然後技術上
[2247.06-2249.86] YK眼昆也還在線上
[2249.86-2250.92] 那財務方面
[2250.92-2252.28] 我們財務長也在線上
[2252.28-2253.84] 在線上
[2253.84-2255.36] 好吧
[2255.36-2257.78] 那我們來看看我們現在有什麼樣的
[2257.78-2259.66] 問題
[2259.66-2260.70] 嗯
[2261.76-2263.76] 問題
[2263.76-2265.76] 好
[2265.76-2267.76] 好
[2267.76-2270.26] 有法人朋友問一個問題
[2270.26-2272.38] 2024年EPS8.69
[2272.38-2275.76] 相較前一年度YY成長約67%
[2275.76-2278.28] 請問今年是不是有機會達到類似
[2278.28-2280.28] 雙位數YY成長的幅度
[2280.28-2282.28] 雙位數吧
[2282.28-2284.28] 但是因為數據
[2284.28-2287.28] 我們因為不能做這麼仔細的推估
[2287.28-2289.28] 那抱歉
[2289.28-2291.60] 跟這位法人講一下我們沒有辦法
[2291.60-2293.60] 推估或是很精確的
[2293.60-2295.60] 這個有違反我們的
[2295.60-2297.60] 那個
[2297.60-2299.60] 規定
[2299.60-2301.60] 好那下一個問題
[2301.60-2303.60] 嗯
[2303.60-2305.60] 嗯
[2305.60-2307.60] 有法人朋友詢問
[2307.60-2309.60] 請問公司新開發的High Power
[2309.60-2311.60] Products
[2311.60-2313.60] 跟水冷接頭預計什麼時候會開始出貨
[2313.60-2315.60] 大Power已經開始出貨
[2315.60-2317.60] 而且出貨的狀況已經還不錯了
[2317.60-2319.60] 我們大Power已經出貨
[2319.60-2321.60] 其實我們大Power出貨已經一段時間了
[2321.60-2323.60] 那現在才把它變
[2323.60-2325.60] 有一些標準化
[2325.60-2327.60] 我們進入了GTC就是進去
[2327.60-2329.60] NVIDIA這裡然後我們才
[2329.60-2331.60] 正式公告在他們的
[2331.60-2333.60] 叫做Ecosystem裡面
[2333.60-2335.60] 其實我們出貨給其他的GSP
[2335.60-2337.60] 已經有一段時間
[2337.60-2339.60] 所以我們的生產線
[2339.60-2341.60] 也已經到達好幾個
[2341.60-2343.60] 自動生產線
[2343.60-2345.60] 我們這個生產線的投資
[2345.60-2347.60] 也還不錯
[2347.60-2349.60] 目前的話其實它已經
[2349.60-2351.60] 就是高電流還有
[2351.60-2353.60] 我們那個子公司
[2353.60-2355.60] 那邊本來也是在做
[2355.60-2357.60] TPU卡的Power
[2357.60-2359.60] 所以從12++到
[2359.60-2361.60] 54
[2361.60-2363.60] 到88
[2363.60-2365.60] 這個88
[2365.60-2367.60] 內建88到外建88
[2367.60-2369.60] 我們還有88Clip
[2369.60-2371.60] 我們產品都是有的
[2371.60-2373.60] 都是非常齊全的
[2373.60-2375.60] 嗯
[2375.60-2377.60] 好
[2377.60-2379.60] 下一個問題是
[2381.60-2383.60] 我們由一位
[2383.60-2384.60] 我們有一個
[2384.60-2385.60] 很大的
[2385.60-2386.60] 一個
[2386.60-2387.60] 有一個
[2387.60-2388.60] 很大的
[2388.60-2389.60] 人
[2389.60-2390.60] 他
[2390.60-2391.60] 他
[2391.60-2392.60] 他
[2392.60-2393.60] 他
[2393.60-2394.60] 他
[2394.60-2395.60] 他
[2395.60-2396.60] 他
[2396.60-2397.60] 他
[2397.60-2398.60] 他
[2398.60-2399.60] 他
[2399.60-2400.60] 他
[2400.60-2401.60] 他
[2401.60-2402.60] 他
[2402.60-2403.60] 他
[2403.60-2404.60] 他
[2404.60-2405.60] 他
[2405.60-2406.60] 他
[2406.60-2407.60] 他
[2407.60-2408.60] 他
[2408.60-2409.60] 他
[2409.60-2410.60] 他
[2410.60-2411.60] 他
[2411.60-2417.48] 有法人朋友提到
[2417.48-2419.28] 请教管理层刚刚提到
[2419.28-2422.34] 许多AI产品通过OCP的认证
[2422.34-2424.04] 请教公司在2024年
[2424.04-2427.28] H100 H200世代主要出货哪些产品
[2427.28-2432.18] 我们在H100跟H200的世代
[2432.18-2436.00] 主要出的产品是在PCIE的
[2436.00-2437.78] 这样高速资料传输
[2437.78-2439.96] 那主要是MCIO的Cable
[2439.96-2441.50] 应该在Gen5
[2441.50-2445.02] 是的主要是Gen5的Generation
[2445.02-2448.78] 那Gen6的话大致上都会是
[2448.78-2451.64] 其实今年Gen5也都还是出过的主力
[2451.64-2455.88] 他讲的是
[2455.88-2459.00] 这位法人问的问题是2024年
[2459.00-2462.56] 那2024年确实我们是在第三季的时候
[2462.56-2463.60] 出的蛮大量
[2463.60-2466.76] 第二季出蛮大量的MGX
[2466.76-2469.20] 就是所谓的100跟200
[2469.20-2469.94] 其实100
[2469.94-2471.66] 跟200现在虽然比较成熟
[2471.66-2474.90] 他将来还是今年还是主要大宗了
[2474.90-2475.46] 为什么呢
[2475.46-2477.62] 因为AI200
[2477.62-2479.78] 那个GB200跟300
[2479.78-2481.40] 其实是不只是非常贵
[2481.40-2483.88] 而且是能够使用的客户
[2483.88-2485.86] 他真的是寥寥可数了
[2485.86-2487.94] 但是我们也在这个供应链里面
[2487.94-2491.56] 200跟300我们都在供应链里面
[2499.94-2504.06] 所以这个战略状态也不就是太多了
[2504.06-2506.46] 他改组这一类
[2508.46-2511.06] 然后其实最后还弹 Chlier
[2511.06-2512.20] 是strateger
[2512.20-2513.58] inte Av ein inventory
[2513.58-2515.86] 我们的研讨文, changes it
[2515.86-2516.90] 就是n Feuer
[2516.90-2518.90] 我的衣着是黄金
[2518.90-2519.70] insights
[2519.70-2520.74] 你最忧的部分
[2520.74-2522.12] 这个网铁
[2522.12-2523.66] 而且他的器材
[2523.66-2525.24] zip信号
[2525.24-2525.52] 直的
[2525.52-2527.46] 他有一个网Q ur print
[2527.46-2528.32] 
[2528.32-2534.94] 产品已经正式写进来了
[2534.94-2535.74] 好
[2535.74-2537.32] 那下一个问题是
[2537.32-2540.10] 请问今年CAM2的出货量看法
[2540.10-2543.02] 那公司在CAM的产品线
[2543.02-2545.18] 中端产品会用在伺服器或NB
[2545.18-2548.14] 然后后续公司是怎么看
[2548.14-2549.94] 有没有可能切入相关产品线
[2549.94-2551.96] 那我们请YK来回答
[2551.96-2553.06] 是
[2553.06-2557.86] 我们的CAM2产品主要应用是在
[2557.86-2561.88] 伺服器类的应用并不属于NB
[2561.88-2567.68] 那我们确实是紧跟NVIDIA的
[2567.68-2569.90] SOL CAM的规格
[2569.90-2575.18] 那这个东西我们目前其实是
[2575.18-2578.18] 跟客人同步在JDEC的部分
[2578.18-2580.78] 我们是想要把它推成为
[2580.78-2582.58] 整个标准的Standard
[2582.58-2583.70] 这是没有错
[2583.70-2587.76] 那至于出货量的部分
[2587.76-2587.84] 是我们的
[2587.86-2592.58] 要看后端系统
[2592.58-2594.64] 看GB300出多少
[2594.64-2598.10] 因为这是主要是搭配GB300的产品
[2598.10-2603.10] 所以这部分我们目前还没有太准确的一个估算
[2618.06-2633.86] 可以用到很多媒体是具片的
[2633.86-2647.50] 今 Pla fo True omg
[2647.50-2652.32] 我们的学人的确各个管道都有
[2652.32-2655.96] 大家的终端都是主要的CSP客户为主
[2655.96-2658.00] 跟竞争对手
[2658.00-2659.36] 对没有错
[2659.36-2664.12] 我们有一部分也的确是跟Jerlen Fan的厂商做cooker
[2664.12-2666.66] 但是基本上因为是一个蛮重要的key part
[2666.66-2669.20] 所以终端客户也是CSP的客户
[2669.20-2670.92] 是会一起进来做讨论的
[2670.92-2673.54] 这个部分是没有无庸置疑的
[2673.54-2674.48] 但是maybe出货
[2674.48-2678.20] 最后我们会跟Jerlen Fan的客户一起做出货
[2678.20-2680.42] 然后一起出给终端CSP的客户
[2680.42-2681.94] 以流程来讲是这样的
[2681.94-2682.40] 没有错
[2682.40-2687.58] 我们的产能
[2687.58-2688.42] 我必须老实说
[2688.42-2691.16] 我相信现在大家大概Jerlen在夜间在做的
[2691.16-2693.82] 都是会谈到产能的问题
[2693.82-2696.62] 但因为我们的产能
[2696.62-2699.08] 大概CNC的设备大概有一百台左右
[2699.08-2702.08] 我想而且都还可以持续增加
[2702.08-2703.66] 所以我觉得产能不带是
[2703.66-2704.46] 我们的产能
[2704.46-2705.96] 主要的key的问题
[2705.96-2707.46] 而是在这么多年来
[2707.46-2711.18] 可能客户对CBC有水冷接走这块的技术
[2711.18-2712.32] 因为酝酿了很久
[2712.32-2714.64] 然后董事长这边也都准备了很久了
[2714.64-2716.40] 倒是这一块我们需要花点时间
[2716.40-2717.72] 让客人来认可
[2717.72-2719.76] 但是在OCP的认可
[2719.76-2720.88] 器品的测试
[2720.88-2723.36] 包含我们跟竞争比较对手
[2723.36-2725.82] 原厂的匹配的竞争
[2725.82-2729.30] 那个叫测试报告的落差等
[2729.30-2730.96] 我们都有去做一个整合的
[2730.96-2732.60] 我们的产品的质量
[2732.60-2734.04] 我们也都很有信心
[2734.04-2734.44] 所以我觉得我们的产能是最重要的
[2734.44-2735.76] 这个部分没有太大的问题
[2735.76-2738.54] 您可以把它认为是
[2738.54-2740.44] 现在客户很乐观其成的
[2740.44-2742.68] 在跟我们讨论神厂
[2742.68-2745.12] 然后在跟我们地有品质
[2745.12-2746.72] 然后做验证的阶段
[2746.72-2748.70] 那已经客户已经接受
[2748.70-2752.00] 也认可我们CBC也有做水冷这个实力了
[2752.00-2753.56] 这个部分我觉得是跟以往
[2753.56-2755.40] 这么多年来完全没有的领域
[2755.40-2756.48] 很大的一个差别
[2756.48-2758.54] 然后这个布局要让客户的认可
[2758.54-2759.42] 也需要有点时间
[2759.42-2761.40] 所以终于我们走到这个阶段了
[2761.40-2764.08] 那希望后面就是很顺利测试过关
[2764.08-2764.42] 然后我们下期再见
[2764.44-2766.72] 明年营收可以开始放量
[2766.72-2767.96] 这也是我们的目标
[2767.96-2769.86] 好 谢谢
[2794.44-2817.34] 好 接下来还有一个问题是
[2817.34-2821.10] AI GPU Server工业自动化BV
[2821.10-2823.22] 请问可以按这三个应用成长性
[2823.22-2824.32] 为我们做排序吗
[2824.32-2826.32] 然后也要分别说明这三个应用
[2826.32-2827.64] 成长性比较好的原因
[2827.64-2829.04] 或产品线跟应用
[2829.04-2833.20] 那如同我们之前所说
[2833.20-2835.44] 整个AI的应用
[2835.44-2838.80] 今年会是一个很疯狂的一个成长
[2838.80-2841.10] 以数字来看的话
[2841.10-2844.98] 那当然这部分的成长会是最高的
[2844.98-2849.26] 但因为我们在2024年的出货来讲
[2849.26-2852.24] 它机器就已经较高了
[2852.24-2854.24] 所以它整个在比例上
[2854.32-2858.68] 可能比不上EV的这样子的一个成长率
[2858.68-2860.46] 但如果以数字来看的话
[2860.46-2863.28] 确实是AI这部分会成长最多
[2863.28-2874.42] 接着有法人朋友问到
[2874.42-2879.00] 我们的UQB以及Coplay的产品
[2879.00-2883.68] 那我们确实这部分它的
[2883.68-2884.20] 我们的
[2884.20-2888.30] 有产品出来确实整个节奏上是慢了一点
[2888.30-2894.70] 所以我们并没有赶上GB200跟300的一个验证
[2894.70-2899.56] 当然我们是直接从OCP协会去下手
[2899.56-2903.92] 毕竟世界也不是只有GB200跟300
[2903.92-2907.24] 还是有很多这样子的水冷的需求
[2907.24-2910.48] 有很多
[2914.20-2919.20] 它没有因为因为 Markt供应forex和C应电器
[2919.20-2920.52] 有恶 origin 渠道
[2920.52-2922.56] 而且它是一个GPUが开发到得极mer texts
[2922.56-2923.66] 所以美国要到了 VIP程式
[2923.66-2924.28] 所以它也很亲自冒险
[2924.28-2924.88] 两 meals去EV
[2924.88-2925.48] 就因为玩 rats
[2925.48-2926.96] 我们已经有 lavmast
[2926.96-2928.22] 亦是被率会要入市
[2928.22-2929.42] 我们可以上市
[2929.42-2930.80] 然后未来超可能而且蒐不过去
[2930.80-2931.34] 地块和宇宙
[2931.34-2933.56] 我们通常是特
[2933.56-2934.38] 到 satisfiHealth
[2934.38-2936.26] 我们实际上都会做就这个
[2936.26-2938.10] 可是这个从商务开始
[2938.10-2938.68] 我们可能会发行的
[2938.68-2939.96] 可以开一个新
[2939.96-2940.40] 为什么
[2940.40-2941.22] 我的确非常喜欢这个
[2941.22-2942.24] 原本我们的这个工程我们得付出费
[2942.24-2942.88] Straße
[2942.88-2943.92] 减 ate
[2973.92-2981.22] 還有一位法人提到 AI GPU Server 跟 Data Center 的部件主要品項的區別
[2981.22-2985.06] CAN2 跟水冷頭是在哪一項營收分類上下?
[2988.42-2996.42] 我們 AI 的整個應用主要著重機殼內的產品
[2996.92-3001.92] Data Center 的 Cabling 著重機殼外的產品
[3001.92-3006.92] 剛好問了 CAN2 跟水冷頭
[3006.92-3009.92] 其實剛好就分別屬於兩塊
[3009.92-3014.92] CAN2 我們會把它歸類在 AI GPU Server
[3014.92-3017.92] 在水冷頭 UQD 的部分
[3017.92-3021.92] 我們就會把它歸類在 Data Center 的 Cabling
[3031.92-3046.92] 有法人詢問,請問美國廠的搬遷的時間軸,加動率,未來的展望
[3046.92-3051.92] 先講美國廠,原本它是 MPI
[3051.92-3056.92] 這個 MPI 就是只做 Quick Term 跟快速小量產品
[3056.92-3059.92] 這個部分的話我們會加大
[3059.92-3061.92] 加大的 Size 大概會兩倍
[3061.92-3067.92] 目前的話大概是在 6 月份會搬遷到更大的地方去
[3067.92-3071.92] 但是我們辦公室先搬到新的辦公室去
[3071.92-3074.92] 所以整個製造在舊的地方其實也多出來了
[3074.92-3077.92] 只是我們倉庫要整個整合在一起
[3077.92-3081.92] 所以這個會加大多少
[3081.92-3084.92] 你說比重嗎?出貨比重嗎?
[3084.92-3087.92] 其實是這樣,我們美國並不著重在出貨比重
[3087.92-3091.92] 我們美國是著重在前面的 Spec In, Spec With
[3091.92-3094.92] 當然它比較有量的時候
[3094.92-3100.92] 我們就會把它移到亞洲,台灣或是越南來生產
[3100.92-3104.92] 這裡面包括 Ethernet Cable,包括外接 DAC
[3104.92-3111.92] 包括光,還有孫博士那邊也 Spec In 了幾個光的被動產品
[3111.92-3114.92] 主動產品跟被動產品
[3114.92-3116.92] 這些都是屬於機殼外的
[3116.92-3119.92] 屬於 TOR 或是 Data Center Cabling
[3119.92-3125.92] 這個部分的成長比例會比去年2023年增加
[3125.92-3127.92] 而且剛剛孫博士也講了一些
[3127.92-3132.92] 我們甚至還有一些就是 Internet Service Provider 的功課
[3132.92-3135.92] 就是 CSP 之外我們有 ISP
[3135.92-3138.92] 什麼? Internet Service, ISP 吧
[3138.92-3141.92] 這個部分的進展也不錯
[3141.92-3147.92] 雖然剛才麥克孫博士那邊就講了兩三個案子
[3147.92-3149.92] 但是我們其實這個庫
[3149.92-3153.92] 也是蠻具指標意義的
[3153.92-3157.92] 因為通常其實 Data Center 這邊的話
[3157.92-3159.92] 都是短距離的
[3159.92-3163.92] 但是要做到長距離或是在電訊那邊的話
[3163.92-3165.92] 是主為工業級使用
[3165.92-3168.92] 他們的對那個不管是散熱啦
[3168.92-3172.92] 或對穩定性其實是要求是很高的
[3172.92-3177.92] 所以我們如果說 JPC 加幣企業現在的光產品
[3177.92-3179.92] 已經能夠進入了那個
[3179.92-3183.92] 電訊的規範了
[3183.92-3188.92] 到打進去歐洲跟日本有一個
[3188.92-3191.92] 還有日本有一個案子
[3191.92-3195.92] 這種是蠻具指標性的
[3195.92-3202.92] 但我們還是把這些東西規劃在我們的高速產品的DNT之類的
[3202.92-3205.92] 它有一個 P 就是 Networking 或是 Telecom
[3205.92-3208.92] 這個以前都在 Data Center, Networking
[3209.92-3212.92] 我們的進展非常的緩慢
[3212.92-3215.92] 等於2024年,2023年的努力
[3215.92-3218.92] 2025年會有一些蠻不錯的開發結果
[3218.92-3221.92] 這個部分也是一個蠻具指標性的
[3221.92-3224.92] 技術上也是對我們的自己的產品
[3224.92-3229.92] 有一個很大的一個展現吧
[3239.92-3245.92] 還有一個是外星人可能把 wrestled 的推銷企業
[3245.92-3247.92] 而且投入收穫和不鏈幾萬年
[3247.92-3249.82] 這些都不是很多的
[3249.82-3251.82] 對於蠻多的投資的呢
[3251.82-3260.82] RNA importance 的 selon Vegetarian
[3260.82-3262.92] 這 друзья如果有信心的話
[3262.92-3264.92] Logar yuan
[3264.92-3267.92] 都夾著w Natasha
[3267.92-3268.72] 7к
[3268.72-3269.42] 樹馬
[3269.42-3269.92] 1 Jos
[3269.92-3271.08] 我們得關稅的
[3271.08-3272.42] 因為我們不是
[3272.42-3274.68] 當然我們會加大美國的生產
[3274.68-3276.26] 目前這個部分
[3276.26-3279.72] 然後我們也已經具備了多地
[3279.72-3284.92] 多國的生產的布局
[3284.92-3287.46] 我們這個在2016、17、18
[3287.46-3289.76] 一直持續上都這麼做
[3289.76-3292.12] 所以我們其實現在已經非常分散
[3292.12-3294.92] 其實我們現在的多地方生產
[3294.92-3299.26] 多地方交貨已經做得很不錯了
[3299.26-3301.56] 客戶這個部分也都是
[3301.56-3305.60] 覺得我們其實是很早就開始布局
[3305.60-3306.92] 對啊
