[0.00-2.00] 大家午安
[1623.92-1629.66] 那到時候也會跟這個再生能源會有一些競合的
[1629.66-1632.42] 那到時候也會看當時的狀況而定
[1632.42-1634.90] 不過目前是沒有
[1634.90-1638.74] 新能電力是沒有做二期的計劃
[1638.74-1640.34] 是沒有做二期的計劃
[1640.34-1644.50] 是朝向延約的方式在規劃在進行
[1644.50-1647.08] OK
[1647.08-1649.12] 那在有關氣源的部分
[1649.12-1651.04] 那因為最近這個有傳出來
[1651.04-1657.18] 就是我們國家可能要去投資阿拉斯加的這個
[1657.18-1658.98] 天然氣管道的這個部分
[1658.98-1659.66] 那這個部分
[1659.66-1663.70] 公司未來會有機會去參與嗎
[1663.70-1666.40] 目前還沒有接到這個訊息
[1666.40-1674.50] 那因為這個是川普他關稅大戰的一環
[1674.50-1678.58] 那是以國家跟國家的這樣子的方式
[1678.58-1682.14] 或是當然會是跟剛才你講的阿拉斯加
[1682.14-1687.26] 這一個天然氣採放公司的談判
[1687.26-1689.66] 但是目前我們並沒有接到這樣的訊息
[1689.66-1693.10] 說要我們去參與這樣子的一個投資
[1693.10-1694.10] 沒有謝謝
[1694.10-1695.10] 好
[1695.10-1697.26] 那最後一個問題想請教總理
[1697.26-1701.68] 就是有關那個天然氣廠這邊切換的部分
[1701.68-1704.58] 因為目前我們知道就是說白天的時間
[1704.58-1706.84] 基本上就是尤其是下月
[1706.84-1710.18] 那太陽能的這個發電的比重比較高
[1710.18-1713.78] 相對來講就是這個化石燃料的這個部分
[1713.78-1715.36] 需求比較低一點
[1715.36-1719.46] 那其實就是在白天到夜晚這邊的這個切換
[1719.46-1721.52] 相對來講會比較頻繁一點
[1721.52-1723.94] 那不知道就是說這樣的一個動作
[1723.94-1727.64] 對公司這邊的一個這個利潤率來講
[1727.64-1730.04] 會不會有一個比較大的影響
[1732.78-1734.70] 你講的沒有錯啦
[1734.70-1736.18] 其實現在因為在
[1742.28-1743.22] 好啦
[1743.22-1748.96] 到你想在下午三四點以後
[1749.46-1753.86] 就會逐漸發電量減少
[1753.86-1758.00] 那就必要有補充的電源上來
[1758.00-1762.20] 那目前燃氣的機組
[1762.20-1765.84] 其實也有一個很重要的特色
[1765.84-1768.74] 就是在補這個光電
[1768.74-1773.78] 在幫發電量降低的狀況下
[1773.78-1775.06] 補這個部分
[1775.06-1779.42] 那所以未來這個燃氣電廠的
[1779.42-1784.16] 運作的模式會跟以前有一點不一樣
[1784.16-1789.90] 那至於說它會不會進一步來影響到我們的
[1789.90-1796.24] 不管營收會獲利目前看起來還不明顯
[1796.24-1798.78] 那未來當然如果說再上升能源
[1798.78-1801.60] 再進一步的增加的時候
[1801.60-1805.54] 或是說那這個當然也要看到整體電力供需
[1805.54-1806.82] 整體電力供需
[1806.82-1808.88] 那以你可能有
[1809.42-1812.62] 從我們的報表上也有看到
[1812.62-1814.90] 或是從IPP的報表上也有看到
[1814.90-1816.40] 其實這幾年
[1816.40-1818.30] 各個IPP不只我們
[1818.30-1822.34] 各個IPP它的容量營作
[1822.34-1824.34] 台電調度的情形
[1824.34-1827.84] 其實一直還是維持在一個相對的高檔
[1827.84-1829.54] 並沒有因為你剛才講的
[1829.54-1834.12] 那一個光電發展的情形來降低
[1834.12-1837.94] 但是這個情形會維持到哪一年
[1837.94-1839.42] 這個還要看
[1839.42-1843.82] 因為我們有一個光電跟所有的台電
[1843.82-1847.80] 比如說它的用電的增加
[1847.80-1850.44] 或是新的機組上來的狀況
[1850.44-1852.04] 會有一個中途的影響
[1852.04-1855.34] 那目前以台氣能來看
[1855.34-1858.88] 還沒有受到這樣的影響以上
[1858.88-1862.28] 所以總經理我再繼續問一下
[1862.28-1866.24] 就是你們目前IPP這一塊的利用率
[1866.24-1869.42] 不會因為再生能源這邊的一個這個
[1869.42-1873.60] 加入而調低是不是這樣
[1873.60-1877.10] 目前看起來這幾年應該會調低
[1877.10-1881.94] 甚至也有機會會增加
[1881.94-1884.84] 因為你也知道像現在不管是台積電
[1884.84-1886.04] 不管是輝達
[1886.04-1891.00] 不管是很多公司都來台灣設廠
[1891.00-1899.12] 很多都是用電相對比較高的產業
[1899.12-1899.24] 所以我們看到這個產業的影響是很大的
[1899.24-1899.38] 所以我們看到這個產業的影響是很大的
[1899.38-1899.42] 所以我們看到這個產業的影響是很大的
[1899.42-1900.76] 所以我剛才講的
[1900.76-1905.62] 會不會它的利用率會不會高或低
[1905.62-1908.76] 除了你剛才講的再生能源設置之外
[1908.76-1910.30] 其實還有很大一塊
[1910.30-1913.24] 是本身台灣的用電量
[1913.24-1914.94] 它的成長的狀況
[1914.94-1918.80] 那如果台電用電成長很快
[1918.80-1920.30] 就算再生能源多
[1920.30-1924.58] 那IPP或是說其他的發電機組
[1924.58-1928.88] 也會是維持在一個相對高檔的利用率以上
[1929.42-1930.76] 謝謝總經理
[1930.76-1940.96] 總經理想請教一下關於美國阿拉斯加投資案的事情
[1940.96-1944.76] 這個投資案可能目前還是一個未定的狀況
[1944.76-1949.40] 但是我們已經確定就是說會增加對美國採購天然氣
[1949.40-1955.12] 那這個部分您認為對台積電的獲利會有什麼樣的影響
[1955.12-1955.92] 謝謝
[1955.92-1958.42] 我不知道你們知不知道
[1958.42-1959.38] 我一直在想
[1959.38-1961.48] 在提到這件事
[1961.48-1964.36] 但是現在也有一些不同的變化
[1964.36-1966.82] 在以前我們的IPP來講
[1966.82-1968.46] 氣價的上漲
[1968.46-1976.36] 其實對我們現有或是之前IPP的營收獲利是正面的
[1976.36-1979.94] 那現在新的機組上來
[1979.94-1983.80] 這一個部分的影響就比較低
[1983.80-1989.18] 但是至少也不會因為我們的IPP的能量飛域
[1989.18-1989.38] 的部分
[1989.38-1991.44] 尤其燃料費率
[1991.44-1993.92] 燃料費率裡面的燃料費率的部分
[1993.92-1997.28] 都會隨著天然氣的價格來做調整
[1997.28-2003.36] 所以其實天然氣的價格的上漲下跌
[2003.36-2008.64] 其實基本上對IPP的影響沒有那麼高
[2008.64-2010.66] 當然以前會高的原因是
[2010.66-2013.78] 我以前在跟各位投資先進朋友分享
[2013.78-2019.18] 就是說以前是因為我們當初在蓋這個
[2019.18-2022.08] 機組的時候
[2022.08-2025.32] 我們用的機組的效率比較高一點
[2025.32-2028.76] 比開店那時候設定的效率高一點
[2028.76-2032.70] 所以這個部分會有一點點的效率差
[2032.70-2037.80] 那效率差反映在天然氣價
[2037.80-2039.60] 天然氣成本燃料成本裡面
[2039.60-2041.80] 我們就會有一點點的favor
[2041.80-2046.48] 那現在新的部分這個favor已經幾乎沒有了
[2046.48-2047.80] 已經幾乎沒有了
[2047.80-2048.98] 但是
[2048.98-2053.12] 早的來講天然氣氣價增加
[2053.12-2055.52] 還是會對我們有一點點的好處
[2055.52-2057.26] 但是至少
[2057.26-2061.32] 但是降低當然就會有一點點的壞處
[2061.32-2067.64] 但是到底我們去台灣去購買阿拉斯加天然氣
[2067.64-2071.94] 到底會對整個國內進口天然氣的價格
[2071.94-2075.60] 或是中油出售給IPP的天然氣價格
[2075.60-2078.98] 會是正的或是負的
[2078.98-2080.14] 會是提高或是降低
[2080.14-2084.36] 現在說實在也看不出來
[2084.36-2090.26] 所以目前只能做到這一步的分析而已
[2090.26-2091.30] 好的以上謝謝
[2102.78-2105.20] 請問對投資先進還有疑問嗎
[2108.98-2112.32] 總理你好可以講一下就是有關那個
[2112.32-2116.06] 我們在國光二期這邊一個政治計劃的大概時程嗎
[2116.06-2118.16] 什麼時候資金要怎麼需要到位呢
[2118.16-2123.32] 沒有
[2123.32-2128.74] 原則上今年大
[2128.74-2134.88] 原則上今年會有一筆比較大的政治預規劃
[2134.88-2136.98] 那未來可能就是逐年
[2136.98-2138.98] 依照國光那邊的資金需求的情況下
[2138.98-2142.38] 我們就要逐年來投入這樣子
[2142.38-2147.06] 今年各位如果對電力牌有一些了解的話
[2147.06-2148.72] 大概會知道就是說
[2148.72-2152.70] 國光它在進入到正式施工之前
[2152.70-2154.70] 要取得施工許可
[2154.70-2157.60] 那在申請去施工許可的時候
[2157.60-2166.14] 就要有資本投入總金額的15%的資本進入到這個
[2166.14-2168.58] 它要滿足這樣的條件15%
[2168.98-2171.58] 所以你可以想見在那個時候
[2171.58-2176.46] 我們就有一筆增資的資金要進入到國光
[2176.46-2181.72] 那這個應該會在今年的第二季或是第三季發生
[2181.72-2186.26] 那就要看這個整個它施工許可申請的進度
[2186.26-2192.90] 那今年大概會有這樣一筆的增資會進去以上
[2192.90-2196.88] 所以等於是我們只要先準備好400億的15%
[2196.88-2198.98] 而不需要400億整個在今年募還
[2198.98-2199.98] 是這樣意思
[2199.98-2204.98] 是400億的
[2204.98-2212.60] 400億沒有是總投資額的15%
[2212.60-2214.90] 是總投資額的15%
[2214.90-2217.34] 是480幾億的15%
[2217.34-2222.70] 對那15%裡面我們佔大概一半
[2222.70-2224.84] 這樣大概你清楚嗎
[2224.84-2227.14] 就是說整個投資金額的15%
[2227.14-2228.54] 要在申請
[2228.98-2232.98] 就是公司的之前進入到國光
[2232.98-2240.60] 那這筆錢裡面我們參與的大概是一半
[2240.60-2249.06] 好謝謝
[2258.98-2261.38] 謝謝
[2261.62-2263.52] 來是我們這邊前面發言人的
[2263.52-2265.46] 憲進
[2266.42-2268.30] 問 box
[2268.30-2270.40] deals
[2270.40-2272.30] flies
[2272.30-2274.30] fork
[2276.96-2279.24] 頭
[2281.74-2282.60] 真是
[2282.60-2284.14] 聲音
[2285.14-2286.10] 淵
[2286.10-2288.24] ID
[2288.24-2288.98] 造儿
[2288.98-2300.50] 那如果各位投资先进都没有疑问的话
[2300.50-2302.80] 那我们今天谢谢总统为我们的说明
[2302.80-2304.50] 那我们都会放手到一段落
[2304.50-2306.72] 最后预祝各位身体健康投资顺利
[2306.72-2307.16] 谢谢
[2307.16-2308.60] 好谢谢Mita
[2308.60-2309.94] 谢谢各位先进朋友
[2309.94-2311.74] 拜拜
[2311.74-2313.04] 拜拜再见
