[0.00-8.34] 各位凱基的客户大家好
[1827.14-1828.42] 五溫的五碳晶
[1828.42-1829.18] 還有一些
[1829.18-1832.50] 高潔淨的半導體零件清洗的一些製程
[1832.50-1838.66] 那同時我們也在健全我們的商務包括貴金屬跟非貴金屬的一個全循環經濟模式
[1838.66-1839.94] 透過Close-loop
[1839.94-1841.46] Probate Edit
[1841.46-1843.00] 跟合作分類的方式
[1843.00-1843.52] 來
[1843.52-1846.08] 這個發展我們的相關的一個商業模式
[1846.08-1851.46] 那同時也跟一些關鍵客戶做一些配合我們聚焦在五大的關鍵
[1851.50-1854.06] 產業包括第三代半導體
[1854.06-1855.08] 航太
[1855.08-1859.70] 資源再生還有綠色材料的部分跟高階半導體產業的部分
[1859.70-1865.84] 那這個一些發展的一些策略我們定調做一核四星四四加一
[1865.84-1868.90] 這邊說明一下什麼叫一核四星四四加一
[1868.90-1869.94] 這也是未來
[1869.94-1871.46] 佳龍這邊的一個
[1871.46-1874.02] 發展的方向跟業務的一個聚焦
[1874.02-1876.84] 那這邊可以看到就是說一核
[1876.84-1878.90] 就是佳龍從
[1878.90-1880.18] 設立到
[1880.18-1881.46] 至今
[1881.50-1885.86] 一直持續堅持的一個核心的價值或核心的競爭力
[1885.86-1888.66] 他就叫做ESG或者是我們叫做
[1888.66-1889.94] 循環經濟
[1889.94-1893.28] 在這樣的核心下我們去發展四個星
[1893.28-1896.86] 包括新環保新能源新合作跟新商模
[1896.86-1900.44] 那也在這樣的一個架構下我們去
[1900.44-1903.26] 這個建置了所謂的四大產線
[1903.26-1906.34] 四大平台跟一個中心當然我們現在就是要去
[1906.34-1910.42] 積極的去提升他們的一些綜效跟他的一個
[1910.42-1911.46] 貢獻
[1911.46-1913.00] 他的一個效益的部分
[1913.00-1914.54] 那四大產線就是
[1914.54-1917.86] 包括剛剛前面有提到包括零件清洗
[1917.86-1919.66] 程式採礦
[1919.66-1925.02] 那高端金就是這個比較屬於半導體應用材料的部分跟廢水處理
[1925.02-1927.58] 那四大平台的部分包括綠能的部分
[1927.58-1929.38] 太陽能除能的部分
[1929.38-1931.42] 然後CL環保新採剛有提到
[1931.42-1933.98] GIDC是Green Internet Data Center
[1933.98-1935.02] 未來我們在這個
[1935.02-1938.86] 這個Cloud Service上面我們在發展新的AI的應用
[1938.86-1940.90] 那跟產業的一個嫁接優勢互補
[1940.90-1941.66] 像這邊
[1941.66-1945.76] 跟這個台灣金財的一個投資合作策略性投資合作
[1945.76-1948.06] 投資合作也是這樣的一個
[1948.06-1950.12] 平台上所產生的一個結果
[1950.12-1952.42] 那當然更重要就是說有這些
[1952.42-1953.96] 產線跟這些平台
[1953.96-1956.00] 你沒有人沒有技術是不行的
[1956.00-1957.54] 所以我們可以透過所謂建置一個
[1957.54-1959.08] 研發中心的部分
[1959.08-1960.36] 來鞏固
[1960.36-1965.48] 鞏固我們自己的一個自主的一個技術跟一個關鍵人才的部分
[1965.48-1966.76] 那這邊還是補充一下就是說跟我們太陽能發電的部分是有一個很重要的部分
[1966.76-1967.52] 那這邊還是補充一下就是說跟我們太陽能發電的部分是有一個很重要的部分
[1967.52-1968.30] 那這邊還是補充一下就是說跟我們太陽能發電的部分是有一個很重要的部分
[1968.30-1971.12] 那這邊還是補充一下就是說跟我們太陽能發電
[1971.12-1972.14] 剛才有提到
[1972.14-1975.22] 我目前大概有六座的太陽能的暗廠
[1975.22-1978.02] 那其中有三座是短壽給台電的部分
[1978.02-1984.18] 那這個是台灣的部分有兩座是自發自用BRPV的部分在觀音二廠跟我們光刻廠這邊
[1984.18-1988.02] 總共的一個裝置容量大概是1.7MW
[1988.02-1990.58] 那事實上這些我們如果
[1990.58-1991.34] 去
[1991.34-1993.64] 我們現在可以發電的裝置容量
[1993.64-1996.20] 跟我們現在所使用的
[1996.20-1998.26] 在生產過程中使用的一個總電
[1998.26-2000.30] 總電費 總電數
[2000.30-2002.62] 總使用電的度數
[2002.62-2006.70] 大概是一樣意思就是說如果現在將我這些
[2006.70-2011.32] 準壽的用電全部轉往自發自用其實佳龍就已經打成所謂的RE100
[2011.32-2013.88] 那現在就是說我們也有一個策略叫5加N
[2013.88-2015.92] 就是說在這個五個既有的
[2015.92-2021.30] 這個太陽能暗廠發電暗廠之後我們還要再去增加增設一些新的暗廠
[2021.30-2022.06] 就是這個N
[2022.06-2026.42] 那這個N的第一個暗廠其實就是在我們的這個蘇州廠
[2026.42-2028.22] 蘇州廠這邊的一個新的暗廠
[2028.22-2034.62] 它總裝置容量是大概是1.45MW
[2034.62-2040.76] 那這個部分大概會在今年的應該是6月份7月份這邊就會整個完工
[2040.76-2044.34] 然後會正式的去做一些
[2044.34-2045.88] 後續的一些
[2045.88-2048.96] 營運不管是自發自用還有外售的部分
[2048.96-2053.30] 那這個暗廠其實估計就是說25年總發電量
[2053.30-2056.12] 事實上它的壽命是會超過30年
[2056.12-2058.18] 但是我們用25年來估它可以發
[2058.22-2064.88] 超過3600萬度的一個用這個發電的部分
[2064.88-2069.74] 那剛才提到就是說事實上我們在不是短壽以外的這些暗廠
[2069.74-2071.78] 我們都是用這個所謂的BRPV
[2071.78-2075.62] 的一個強化式的這個光電建材
[2075.62-2078.70] 在做這樣的一個建築跟發電的部分
[2078.70-2084.58] 那它跟原來我們傳統的BAPV跟BIPV
[2084.58-2088.18] 那事實上它就是一個叫做強化性的光電
[2088.22-2090.78] 就是一個非常安全的光電建材
[2090.78-2097.70] 它有五防的一個效果就是防水防風防火防熱還有這個防塌
[2097.70-2099.74] 它事實上可以你踩上去
[2099.74-2103.06] 事實上有一些外部參訪來我們這邊來看的時候
[2103.06-2105.12] 我們就會帶他去看然後再上去踩
[2105.12-2112.80] 它的確就是可以節省一些所謂清潔或維護的一些空間跟考量的部分
[2112.80-2116.12] 那這邊它也有一些它的特性
[2116.12-2118.18] 那它事實上它也是一個低電壓啦
[2118.22-2122.06] 事實上就是說它就是一個叫做光電的建材
[2122.06-2126.42] 那它你在蓋一些新的一些這個廠房建築的時候
[2126.42-2129.48] 你屋頂不用特別去蓋就直接鋪這個BRPV
[2129.48-2131.78] 它就可以達到剛才講的防水防電
[2131.78-2136.40] 防這個防火防塵可以踩它的一個特性
[2136.40-2140.50] 那過去來講就是說也許你用傳統的採鋼板
[2140.50-2143.06] 上面要建這個太陽能發電板
[2143.06-2146.12] 那可能這個採鋼板會壞掉會鏽掉
[2146.12-2148.18] 那每次到時候你要換一次
[2148.18-2150.48] 那這個就是非常非常的麻煩
[2150.48-2157.14] 透過我們BRPV事實上就是說它架上去大概耐用的年限可以超過30年到40年
[2157.14-2160.46] 過程中都不用去再這個換這個屋頂的部分
[2160.46-2164.06] 那還有一個持續在提供這個發電的一個功效的部分
[2164.06-2167.90] 所以這個部分也是我們目前跟我們的策略夥伴要持續在發展
[2167.90-2171.98] 在太陽能這邊的一個策略的部分
[2171.98-2176.34] 最後一頁再說明一下就是說其實加農在最近的幾年
[2176.34-2178.14] 其實在做一些持續的一個轉型
[2178.18-2181.76] 剛才也提到說從我們的深耕專案開始
[2181.76-2186.12] 我們在做的一些轉型就是說從過去可能我們比較
[2186.12-2188.68] 提供客戶一些單一的產品跟服務
[2188.68-2193.54] 包括一些這個假清假儲或者是零件的一些清洗
[2193.54-2196.62] 會清除的一些原料的回收銷售
[2196.62-2200.96] 工藝經驗跟這個電子廢棄物的一些回收
[2200.96-2205.58] 現在事實上我們在提供給客戶是一個叫做Total Solution
[2205.58-2208.14] 我們透過我們的Close Loop跟全循環經濟計畫
[2208.18-2209.98] 我們可以讓他在這個轉型模式
[2209.98-2214.32] 不管是工業客戶我們提供給他清除處理回收再利用
[2214.32-2217.90] 我們可以給他所謂的從零件清洗開始
[2217.90-2222.78] 到後面的貴金屬的一些原料回收後做成相關的應用材料
[2222.78-2225.34] 比如剛才有提到的在這個半導體
[2225.34-2231.74] 所使用的一些高純的一些文金金髮金石蠟格跟綠色金岩的部分
[2231.74-2238.14] 那電子廢棄物的部分說這個清除處理回收之後可以得到的一些剛剛講的像
[2238.18-2239.46] 塑膠類的東西
[2239.46-2244.84] 包括非金屬類的東西我們就可以再來做一些相關的應用材料
[2244.84-2246.88] 那ZLGN就是一個非常代表性的
[2246.88-2251.50] 還有一些鋁瓶紡是我們早期在發展的一些液瓶
[2251.50-2254.30] 也是用回收的一個原料做的
[2254.30-2257.64] 所以現在來講我們可以提供給客戶
[2257.64-2260.46] 包括前面兩者跟後面的環保專業顧問
[2260.46-2263.78] 不管是固態液態廢棄物的一個低碳解決方案
[2263.78-2267.36] 我們也可以幫客戶去提供所謂太陽能解決方案
[2268.18-2270.74] 跟水資源的一個處理的方案
[2270.74-2274.32] 所以佳龍他現在做一個持續的轉變
[2274.32-2279.18] 從過去可能大家認為我們叫做資源回收的一個產業
[2279.18-2281.24] 現在慢慢的那種migrate
[2281.24-2284.06] 到所謂的後端的一個材料利用
[2284.06-2289.18] 那不管是前端跟後端都是我們未來很重要的一個發展方向
[2289.18-2292.50] 那以上的一個說明這個簡報的部分到這邊
[2292.50-2297.10] 那我將主持方先再交回給我們這個主持人的部分
[2298.18-2302.28] 好的謝謝財務長的簡報說明
[2302.28-2306.12] 那接下來我們就開放問答的交流時間
[2306.12-2309.70] 歡迎線上的客戶可以直接打開麥克風提問
[2309.70-2314.56] 那也可以用文字的方式把您的問題留置聊天室
[2314.56-2316.62] 歡迎大家提問
[2324.54-2328.14] 好那財務長我這邊可以先請教一個問題嗎?
[2328.18-2330.48] 可以啊可以
[2330.48-2334.84] 我想請教一下說我們在今年度如果用
[2334.84-2338.94] 貴金屬跟非貴金屬的這兩個業務來看的話
[2338.94-2343.02] 那他們各自的一個成長的目標
[2343.02-2346.36] 業績成長的目標還有他們主要成長的動能
[2346.36-2349.42] 可以請您跟我們分享一下嗎?謝謝
[2349.42-2354.04] 好當然就是說我們今年大概就是年初
[2354.04-2357.10] 董事會有通過我們今年的一個財務預測啦
[2357.10-2358.14] 但這個東西是沒有通過的
[2358.18-2360.22] 我們是對外去公開的
[2360.22-2363.56] 但是可以大概基本上的概念就是說我們在
[2363.56-2367.90] 預估今年的一些營收的時候它都是
[2367.90-2370.72] 這個成長當然這個成長幅度也許
[2370.72-2372.78] 大概是介於大概
[2372.78-2376.10] 可能大概將近double digital的一個成長的
[2376.10-2378.66] 不管是在貴金屬跟非貴的部分
[2378.66-2381.48] 但是非貴的一個成長的幅度
[2381.48-2386.86] 會抓得比較高如同剛才講的在我們的一個營收的比重今年的
[2386.86-2388.14] Vocast裡面
[2388.18-2394.32] 它的佔比要拉到這個大概15甚至到20
[2394.32-2396.62] 那如果是這樣講就是說我們
[2396.62-2399.44] 以去年的這個剛才講的營收
[2399.44-2401.24] 大概將近12億
[2401.24-2403.54] 那12億的20%
[2403.54-2406.10] 大概就是2.4億的部分
[2406.10-2409.42] 去年我們大概這個非貴的一個
[2409.42-2413.02] 營收應該是在大概1.2億到1.3億
[2413.02-2418.14] 所以它事實上你可以看到在非貴這邊的一個成長的幅度是抓得比較高
[2418.18-2419.72] 那的確也有一些
[2419.72-2422.02] 一些專案project的部分
[2422.02-2425.34] 針對非貴的部分是持續的在往前推進
[2425.34-2431.74] 那也希望就是說其實我們在大概1到4月份今年1到4月份
[2431.74-2434.30] 這個營收剛才講的營收的比重來講
[2434.30-2440.46] 大概是目前來講非貴大概在18到20左右
[2440.46-2442.50] 貴金屬大概在這個
[2442.50-2444.30] 剛才講80到82
[2444.30-2448.14] 但是如果以他們兩個所貢獻的毛利的部分來講
[2448.18-2456.38] 大概現在大概有60%到70%的margin是來自於非貴的部分
[2456.38-2462.78] 所以這邊的話也給大家可以做一個參考部分
[2462.78-2463.80] 是
[2463.80-2467.12] 那財務長請問說如果以
[2467.12-2470.20] 淨利的角度來看的話
[2470.20-2476.60] 非貴跟貴金屬他們大概的占比貢獻大概是什麼樣的水準
[2476.60-2478.14] 因為淨利的部分
[2478.14-2484.54] 他是扣掉就是說從毛利斷到淨利會扣掉營業費用跟業外收支
[2484.54-2490.68] 所以大概只能用毛利的部分去看所謂的非貴跟貴金屬
[2490.68-2493.76] 他們對於毛利的貢獻
[2493.76-2495.54] 了解就費用我們是
[2495.54-2500.42] 偷偷一包看沒有拆部門沒有拆業務在看的
[2500.42-2502.46] 對營業費用就是消管顏
[2502.46-2504.26] 大概目前來講
[2504.26-2507.58] 可能比重都在大概10
[2507.58-2508.10] 營收的
[2508.10-2511.94] 大概10%左右吧
[2511.94-2513.48] 費用率的部分
[2513.48-2516.30] 對
[2516.30-2522.18] 那業外的部分其實比較大的費用會是在利息費用
[2522.18-2524.48] 大概講我們大概現在大概
[2524.48-2527.30] 借款的金額大概在14億嘛
[2527.30-2530.38] 那一年的一個利息的
[2530.38-2537.54] 費用大概在3000目前大概今年應該會在3200到3300萬左右
[2537.54-2538.56] 那
[2538.56-2543.94] 剛才有提到就是說我們一個全年的折舊費用大概大概
[2544.20-2545.22] 5500
[2545.74-2547.52] 5500 5600萬
[2547.52-2548.04] 所以
[2548.30-2550.86] 這兩個加起來就將近快9000萬
[2552.90-2555.98] 所以我說這個我們在就是
[2556.22-2557.50] 當我的
[2558.28-2561.10] 稅前或稅後的這個損益
[2561.60-2565.96] 你是小於剛剛講這個數字的話我們的EBITDA其實就是正的
[2566.22-2567.50] 那EBITDA說
[2567.80-2572.40] 所反映的也就是我們的一個現金流的部分當然就今年來講
[2572.66-2577.52] 以DG來講的一個成績大概就是稅後虧損大概1200多萬
[2578.54-2579.32] 那
[2579.82-2582.38] 那就是說扣掉這些
[2582.64-2583.66] 利息
[2584.44-2584.94] 這個
[2585.20-2586.22] 折舊的部分
[2586.48-2587.26] 它事實上
[2587.50-2593.14] 也反映就是我們的一個營業活動的一個正現金流跟EBITDA的一個贈贖
[2593.40-2595.18] 它是都是一個
[2596.22-2597.50] 相關的一個正向的一個
[2597.80-2598.30] 發展
[2600.62-2604.46] 是那財務長請問說我們今年是否在
[2604.70-2607.52] 哪一個季度有機會就是看到
[2607.78-2610.86] 轉虧為盈的那個就是最後盡力的部分
[2611.88-2616.22] 事實上其實已經好幾年我們大概所定的目標都是希望能夠
[2616.48-2619.82] 轉虧為盈當然就是說它分成所謂的
[2620.06-2624.16] 年度的轉虧為盈跟季度或者是單月
[2624.94-2627.50] 那我可以跟你講說
[2627.80-2630.10] 其實今年1到現在5月份嘛
[2630.36-2632.66] 我們用1到4月份來講其實
[2632.92-2633.42] 已經
[2633.68-2635.98] 已經有實現了所謂的單月的
[2636.50-2638.30] 這個轉虧為盈
[2638.54-2639.32] 上個
[2639.58-2643.42] 前一兩個月也有公告那個是
[2643.66-2644.18] 好像
[2644.70-2646.48] 這個政交所叫我們公告的
[2646.74-2650.32] 就是今年的3月份單月份事實上我們已經實現了轉虧為盈
[2650.58-2652.12] 當然就是現在來講
[2652.62-2653.40] 在
[2653.66-2655.70] 其實還有一些所謂的Business
[2655.96-2657.50] 並不是那麼stable
[2657.80-2658.30] 在
[2658.56-2660.86] 在貢獻我們的一些營收或毛利
[2661.38-2663.94] 他都在一些Tune的過程中所以今年
[2664.20-2667.52] 我們的目標當然還是抓能夠全年如果可以
[2668.30-2669.06] 這個
[2669.58-2671.10] Break even的話
[2671.36-2671.88] 那
[2673.16-2674.70] 單季的部分我覺得
[2675.20-2678.02] 不會太遠啦至少現在已經看到是單月份了
[2681.86-2683.40] 是謝謝財務長
[2683.66-2685.18] 那請問說
[2685.70-2686.72] 在就是
[2686.98-2687.50] 蘇州
[2687.80-2689.58] 的部分啊目前是
[2689.84-2690.86] 他是算
[2691.12-2693.42] 會損比較大的
[2693.68-2694.20] 場嗎
[2696.24-2698.80] 目前來講其實我們在去年年底
[2699.06-2700.60] 剛有提到我們認列了
[2700.86-2702.38] 一些損失其實跟
[2702.64-2704.44] 這個轉投資這個蘇州
[2704.70-2706.22] 蘇州廠也有些關係啦
[2706.48-2707.76] 我們在做一些調整
[2708.02-2709.04] 包括他
[2709.30-2711.34] 現在的一些營運要做一些轉型
[2711.60-2712.62] 所以一些
[2712.88-2715.96] 相關的一些人也有在做一些調整
[2716.46-2717.24] 跟一些
[2717.54-2718.30] 他
[2718.56-2720.36] 目前來講就是說他的一些
[2720.86-2723.94] 因為中國大陸那邊的一些狀況
[2724.46-2727.02] 那現在的轉型方向可能會是以
[2727.52-2728.54] 這個
[2728.80-2731.88] 剛才講叫太陽能這個發電暗場的部分
[2732.14-2734.70] 還有在做一些他的一些
[2734.94-2738.28] 廠房或者土地的一些活化利用為主
[2739.04-2744.68] 那他的一些所為原來的一些方式處理一些廢棄物的方式會慢慢的比較
[2745.70-2746.98] 說這個也是
[2746.98-2749.02] 當地的一些
[2749.28-2751.58] 當地政府或管理會
[2751.84-2753.12] 他們也不太
[2753.90-2756.46] 政策上也慢慢的不太歡迎這種
[2757.98-2759.52] 說你不能去
[2760.04-2761.58] 帶來一些所謂的
[2761.82-2762.86] 不管在revenue
[2763.10-2766.44] 稅收或者是在一些環境面上面的
[2767.46-2769.26] 所以我們現在在持續在
[2769.50-2773.10] 調整蘇州加農的部分那目前來講應該是
[2773.34-2774.62] 他在下半年
[2774.88-2775.40] 事實上
[2775.66-2776.94] 就會達到
[2777.24-2778.00] 這一個
[2778.26-2780.06] 下半年的部分
[2780.30-2781.08] 他可以達到
[2781.34-2786.46] 因為剛剛講的一些太陽能還有一些這個活化利用的一些計劃部分
[2786.96-2789.26] 他是比較快下半年就可以達成
[2789.52-2790.54] 所謂的水平
[2797.20-2797.98] 好了解
[2798.22-2799.00] 謝謝財務長
[2800.54-2802.84] 那我先問到這邊看看
[2803.10-2806.16] 線上的客戶有沒有問題要提出來
[2807.24-2807.74] 請教的
[2808.00-2810.06] 歡迎可以直接打開麥克風
[2816.46-2817.98] 財務長你好
[2818.50-2819.26] 你好
[2819.78-2823.36] 我想請教財務長像我們現在的
[2823.88-2826.18] 就是市場的需求
[2826.44-2828.22] 怎麼看呢像這個
[2828.74-2829.76] 貝貴的
[2830.02-2835.90] 市場感覺上很多人很多公司都在切入這個領域
[2836.16-2836.94] 會不會
[2837.24-2838.00] 就是
[2838.26-2839.28] 競爭然後
[2839.54-2840.30] 市場上
[2840.56-2841.84] 好像也有提到這個
[2842.36-2844.40] 要有一定的關係才
[2844.66-2846.70] 才比較容易拿到生意
[2846.96-2847.74] 我這樣講比較
[2848.24-2849.26] 就是
[2849.52-2851.06] 財務長可以稍微評論一下
[2852.60-2856.18] 但這個分成兩個部分來講一個就是說我們既有的
[2856.70-2859.26] 我們可以叫做既有的經濟母也好
[2859.50-2861.04] 或者應該說經濟母
[2861.56-2865.40] 就是我們在過去其實一二十年
[2865.66-2866.16] 持續在
[2866.42-2867.96] 收受一些所謂的
[2868.20-2869.74] 不管是從
[2870.00-2872.04] 3C產品來的電子廢棄物
[2872.56-2874.10] 還有一些工業
[2874.36-2878.70] 所產出的一些廢棄物那這些廢棄物其實裡面都有一些
[2878.96-2881.78] 可能比較高單價的東西比如說一些貴金屬在裡面
[2883.06-2883.56] 那
[2884.34-2889.72] 剛剛我們在提那個存貨就持續我們在把它去化的過程中其實也看到這樣的一個特點
[2890.48-2893.30] 就是我們現在自己加農過去所
[2893.56-2895.86] 收受的這些廢棄物因為過去收
[2896.16-2897.18] 我們來不及去把它
[2897.44-2898.20] 做處理
[2898.46-2903.08] 裡面貴金屬貴重的一個單價的部分沒有辦法
[2903.32-2904.10] 把它變現
[2904.36-2905.88] 但在這幾年就持續
[2906.14-2908.96] 第一個是先針對我們自己自家的庫存
[2909.22-2910.76] 去做一些處理
[2911.00-2911.78] 變現
[2912.04-2912.54] 的部分
[2912.80-2917.92] 當然持續的我們會去跟還是再跟一些所謂的不管像電子大廠
[2918.44-2920.22] 或者是一些通路
[2920.74-2924.06] 針對剛剛講的叫做3C產品的這些
[2924.32-2925.60] 報廢處理
[2926.16-2930.00] 其實那邊的一個這個客戶員
[2930.26-2932.82] 或料員老實講是還蠻多的
[2933.84-2934.36] 因為
[2935.38-2938.20] 如果以說國際的大廠
[2938.96-2941.00] 3C的大廠比如品牌商
[2941.26-2947.40] 他們每年都有一個就是基本上是每個月不是每年每個月都有很大量的
[2947.66-2948.18] 一些
[2948.44-2949.96] 這些不管是
[2950.74-2956.12] 電腦筆電啊或者是印表機啊碳粉夾這些的一些回收處理
[2956.42-2957.18] 處理的部分
[2957.44-2958.98] 事實上那個量還是非常非常的
[2959.24-2959.74] 多
[2960.00-2960.76] 那就說
[2961.02-2961.80] 可不可以去
[2962.04-2963.08] 拿到這些
[2963.32-2963.84] 訂單
[2964.36-2964.86] 部分
[2965.12-2966.92] 當然還有一些是新的
[2967.16-2969.48] 客戶的一些料源的部分
[2969.98-2972.04] 我想包括金融機構
[2972.54-2973.32] 醫院
[2973.56-2974.08] 學校
[2974.60-2977.40] 其實都有很多的一些這種
[2977.66-2981.76] 這種用使用過的這些電腦或3C產品的一些報廢的處理
[2982.52-2984.06] 那這也就是我們大概從
[2984.32-2985.08] 大概這一兩年
[2986.16-2989.48] 在做一些打底或壓制滑水的動作
[2989.74-2990.76] 在確保說
[2991.02-2995.12] 我們在未來的年度這些客群或客料的部分
[2995.38-2995.88] 他能夠
[2996.14-2996.92] 穩定
[2997.42-2998.70] 而且能夠去成長
[2999.72-3001.26] 那再來講的是
[3001.52-3002.80] 另外一塊就是
[3003.32-3007.92] 剛剛提到我們現在在做一些轉型到所謂的材料應用
[3009.20-3013.04] 材料應用的部分比較的對象叫做工業客戶
[3013.30-3014.32] 尤其是
[3014.58-3015.34] 電子半導體
[3015.34-3016.88] 相關的客戶
[3017.90-3020.46] 那我們也在去年其實
[3021.74-3023.54] 成功的打入
[3023.78-3027.12] 應該說驗證通過了一個第三類半導體
[3027.62-3028.14] 客戶
[3028.90-3031.22] 包括就是幫他做先從所謂的
[3031.72-3033.52] 一些工件零件的清洗
[3034.28-3037.10] 然後返還給他高純度的
[3037.62-3038.38] 這個貴金屬
[3038.90-3040.94] 黃金啊這些白金的部分
[3041.46-3043.24] 那現在他已經
[3043.76-3045.30] 請我們我們也開始
[3045.60-3047.14] 在出貨給他
[3047.38-3048.16] 有關於
[3048.42-3050.72] 把這些回收得到的
[3051.22-3053.54] 這個貴金屬的部分轉化成
[3053.78-3056.10] 他製成所需要的一些
[3056.34-3057.12] 應用材料
[3057.38-3059.68] 比如說剛才講的高純度的金靶
[3060.44-3061.22] 金斯拉
[3061.46-3062.50] 跟所謂的
[3062.74-3064.02] 綠色金岩的部分
[3064.80-3067.10] 所以會透過其實這個
[3067.62-3071.20] 當然講第三類半導體客戶他應該算是這個產業界的
[3071.70-3072.48] 應該說
[3073.24-3074.26] 前一或前二
[3075.02-3077.34] 所以這個可以過其實我們就會水平展開
[3077.58-3080.40] 所以現在有很多的一些業務機會
[3080.66-3083.48] 也是因為我們透過所謂的
[3083.74-3084.50] 這個
[3084.76-3087.58] 把我們原來前端做的這個回收
[3088.60-3091.42] 延伸到後面的材料的再利用
[3091.92-3093.98] 那這樣子我們提供給客戶
[3094.48-3096.28] 他就是一個叫Total Solution
[3096.78-3101.14] 而不是只是單一我去做他一個材料或單一只是做他一個Path Clean
[3101.40-3104.22] 這就跟剛剛我在簡報的最後一頁的結論去
[3104.52-3105.54] 是有關的
[3105.80-3106.30] 現在在
[3106.56-3107.34] 提供給客戶的
[3107.58-3108.86] 讓他看到的是
[3109.64-3110.14] 價
[3110.66-3113.48] 而不是我們的一個報價的部分
[3113.74-3114.76] 我們可以提供給他
[3115.26-3116.30] 把他的
[3116.54-3117.82] 製成中的廢棄物
[3118.34-3121.42] 變成一個綠色材料我想對於現在很多
[3121.66-3123.98] 現在大家在提倡的所謂的淨零
[3124.22-3128.06] 淨零排碳或者是碳中和的部分
[3128.32-3133.70] 這樣的一個循環經濟模式其實也是我們現在很大的一個機會
[3134.26-3135.80] 因為在去年
[3136.06-3137.84] 第三類半導體這個客戶我想是
[3138.10-3139.90] 加入很重要的一個試金師
[3140.14-3141.18] 或者里程碑
[3141.42-3146.30] 那現在我們今年正在做的就是積極的去做水平展開
[3146.80-3148.34] 將相關
[3148.60-3151.42] 不同的一些電子半導體的產業
[3151.66-3154.48] 他也會有類似的我們這樣的服務的一個
[3154.74-3159.10] 就是Close Loop的一個循環經濟模式下
[3159.34-3160.62] 他們會
[3161.40-3164.22] 會希望用這樣的模式去提供服務
[3164.52-3165.02] 給他們
[3165.28-3167.08] 我想這個是我們目前來講
[3167.34-3167.84] 其實
[3168.10-3170.14] 雖然在營收的
[3170.66-3171.42] 比重裡面
[3171.94-3172.70] 現在
[3172.96-3174.50] 後面講的這一塊還沒有
[3174.76-3178.34] 還沒有在還沒有看到他比較大的一個成長但是
[3178.86-3179.88] 現在就是在
[3180.14-3182.94] 做所謂的前段的一個作業
[3183.46-3185.00] 所以他後面的一個
[3185.26-3186.54] 如果一旦
[3187.04-3189.86] 慢慢客戶都通過了驗證其他累積
[3190.12-3191.14] 爆發的一個
[3191.66-3194.22] 這個量能會比較大而且他的
[3194.52-3195.02] Margin
[3195.28-3195.80] 剛才講的
[3196.30-3197.58] 非貴金屬的Margin
[3198.36-3200.14] 基本上就是三成到五成
[3200.66-3201.18] 之間
[3201.94-3203.98] 那這些不管說剛講
[3204.24-3206.30] 這個我們從零件清洗開始
[3207.32-3208.08] 收一次費用
[3208.34-3212.18] 然後零件清洗得到的廢棄物我們幫他做回收
[3212.44-3214.48] 精煉再提成又收一次費用
[3214.74-3215.76] 再來把這些
[3216.02-3216.78] Green
[3217.04-3218.58] 這些Materials
[3218.84-3221.14] 轉換成他要的不管是
[3221.40-3222.68] 金靶
[3223.44-3224.22] 金Slog
[3224.52-3225.28] 或者PGC
[3225.80-3228.36] 他又會收一次所謂加工費代工費
[3228.86-3229.90] 所以他就會
[3230.14-3232.96] 基本上這樣的一個Total solution的一個服務
[3233.22-3236.30] 這個部分是慢慢在累積的
[3236.54-3240.64] 這個部分在現在這個時間點看起來好像沒有那麼大
[3240.90-3242.44] 所以今年我們的非貴的部分
[3242.70-3248.06] 成長比較大的一個重點會是在前面剛才講的在電子費器物這一塊
[3248.58-3254.22] 資訊品的這些回收處理再利用的營收比重會成長比較快
[3254.46-3256.80] 然後就是中共已經開始追� allies
[3257.08-3257.58] 就會在11月份
[3258.36-3259.12] 去發 cucumber
[3259.12-3260.66] 它這個都用 Chart
[3260.92-3261.68] 人力量在這裡
[3261.94-3263.48] 就打 comrades
[3263.74-3264.68] 現在都更早上
[3264.94-3266.82] 你得取一個
[3267.06-3267.58] 這些
[3267.82-3268.78] 要給 row
[3269.36-3270.56] timing
[3270.78-3271.26] 那achen
[3271.26-3271.86] 學校
[3272.14-3272.94] 那 choir
[3274.48-3275.00] 那個是這個
[3276.02-3276.74] 這個
[3276.78-3277.30] 對
[3277.46-3278.06] 這個
[3278.44-3279.74] 那個υおか Em
[3279.96-3280.62] 有消息
[3280.88-3281.50] 真的
[3281.92-3282.62] 好
[3282.62-3282.78] 這個是
[3283.18-3283.68] 魚
[3283.68-3284.22] 是
[3284.26-3285.94] 刚刚讲的
[3285.94-3288.74] 有一些是品牌客户的部分
[3288.74-3291.90] 当然因为有很多是走标案的形式
[3291.90-3292.72] 标案就是
[3292.72-3294.54] 它不一定是
[3294.54-3297.50] routine的一个周期就会有
[3297.50-3298.40] 它也许是
[3298.40-3300.76] 一段时间会有一个标案
[3300.76-3302.82] 所以是走标案的形式
[3302.82-3306.56] 我比较难去评判说
[3306.56-3309.34] 我们大概现在占的份额是多少
[3309.34-3312.98] 但是基本上就是这一块
[3312.98-3315.50] 我觉得可以成长的空间
[3315.50-3317.84] 是大的
[3317.84-3319.76] 所以我们才会去抓说今年
[3319.76-3321.52] 我们在非贵金属
[3321.52-3323.82] 尤其是在电子非器物
[3323.82-3325.18] 资讯品的部分
