[0.00-5.74] 大家好,我是英力發言人白秉諺
[1791.14-1796.76] 比重來看其實我們大概還有七成是來自於歐系車品牌的客戶
[1797.02-1797.54] 那
[1798.04-1798.82] 這個
[1799.06-1805.22] 我們的毛利率其實會跟我們產能駕動率有關那所以這個也是得看這些歐系車的客戶
[1805.46-1806.50] 那他們
[1806.74-1807.78] 在後續
[1808.02-1810.34] 退出的車型能不能就是說
[1810.58-1811.62] 讓他們在
[1811.92-1813.46] 市佔率有回升
[1832.40-1835.98] 目前還有一題問題我們再請經營團隊幫我們看一下
[1839.30-1839.82] 好
[1841.66-1842.42] 好了
[1842.42-1846.24] 我從這個
[1846.24-1847.82] 開幕外的
[1847.82-1848.74] 檯面在
[1848.74-1849.66] 中間
[1849.66-1850.38] 說
[1850.38-1851.58] 這邊
[1851.58-1853.70] 就這已經好 Floor
[1853.70-1854.80] 這邊有 mostly
[1854.80-1856.04] 這邊
[1856.04-1857.26] 費費
[1857.26-1857.94] 馬上
[1857.94-1859.06] 可能
[1862.14-1862.64] 學姓
[1862.64-1863.16] 名稱
[1863.16-1863.54] Raspberry
[1863.54-1864.06] 的
[1864.06-1864.66] Yard
[1864.66-1865.16] 然後
[1865.16-1865.72] 碎片
[1865.98-1866.46] 一點就是
[1866.46-1867.22] 부탁
[1867.22-1867.72] 請
[1867.72-1868.22] 大家
[1868.22-1868.80] 歡迎
[1868.80-1869.20] 賞賞
[1869.20-1869.60] 對
[1869.60-1870.22] ambient
[1870.22-1870.74] supplies
[1870.74-1871.18] 我們
[1871.18-1871.62] 和還有
[1871.62-1875.52] 這幾年營收的下降幅度不算大
[1875.52-1877.72] 但是毛利率逐年下降
[1877.72-1879.32] 費用卻一直提升
[1879.56-1880.82] 未來該如何改善
[1880.98-1882.72] 那我這邊說明一下就是
[1883.12-1885.26] 我們的毛利率他逐年下降
[1885.26-1889.42] 他主要是因為比如從2021年開始
[1889.42-1890.98] 因為原材料價格
[1891.12-1892.32] 剛才的價格
[1893.52-1894.88] 一直的在上漲
[1894.88-1896.52] 然後一直到現在是
[1896.52-1897.92] 還是處於一個比較
[1898.22-1899.72] 高的一個水位
[1899.72-1902.32] 就是價格是比較高的一個狀態
[1902.66-1905.76] 那雖然說中間有比較低檔的回落
[1905.76-1908.78] 但是又現在又開始會漲起來
[1908.78-1909.52] 所以其實
[1909.62-1911.62] 我們毛利率之前的下降
[1911.62-1913.82] 就是因為這個原材料的部分
[1914.28-1915.08] 那
[1915.26-1917.78] 未來的原材料的價格的
[1918.38-1920.98] 下降或是繼續漲的話他其實
[1921.72-1923.22] 我們現在是沒有辦法判斷
[1923.22-1926.12] 但是因為我們有去跟供應商做一個
[1926.56-1927.56] 鎖價的政策
[1927.56-1929.28] 比如說我們就是跟他談好這
[1929.72-1932.62] 6個月的期間是不能夠去
[1933.28-1935.16] 這個價格是不能去浮動的
[1935.16-1936.42] 然後來做
[1937.06-1938.22] 成本的控管這樣
[1938.48-1940.58] 那費用率是一直在提升
[1940.58-1942.96] 那其實我們這邊還是有在做
[1943.12-1944.82] 這個費用的控管這樣
[1959.72-1962.22] 期間我覺得大概 locals
[1962.22-1963.06] NA Ikica
[1963.06-1981.38] Life
[1987.32-1987.92] 好的
[1988.06-1988.96] 還有2個問題
[1988.96-1989.38] 我們在請記憶團
[1989.38-1991.38] 開始進到正式量產
[1991.38-1994.38] 這個數量以目前POCAS來看
[1994.38-1996.38] 是每個月數千台
[1996.38-1999.38] 這個不方便透露太多
[2001.38-2003.38] 通常一次性降價
[2003.38-2008.38] 通常就是在年底到年初的時候
[2008.38-2010.38] 在年降的階段
[2010.38-2013.38] 客戶可能就會根據市場上面的狀況
[2013.38-2018.38] 來跟供應商這邊做溝通
[2019.38-2026.38] 所以以目前今年要求降價的狀況
[2026.38-2030.38] 其實已經在今年稍早一點
[2030.38-2034.38] 甚至是從去年底就已經有在洽談
[2049.38-2051.38] 這是可能 belly
[2051.38-2052.38] 他家的品質
[2052.38-2053.38] 屬於欠下幫人滿載
[2053.38-2054.38] 有徹底讓你聚集
[2054.38-2055.38] 所以我可以看到
[2055.38-2056.38] 就是了
[2056.38-2058.38] 還有找到 пять萬萬股
[2058.38-2058.42] 對
[2058.42-2059.38] 可以看到
[2059.38-2060.38] 從現在到今後
[2060.38-2062.38] 如果還沒有升得低
[2062.38-2064.32] 你是這樣
[2064.32-2065.52] 也就沒有 radical
[2065.52-2067.38] composition
[2067.38-2068.38] 像對啊
[2068.38-2069.38] veel
[2069.38-2070.38] contained
[2070.38-2072.38] aaa
[2072.38-2078.38] 阿
[2078.38-2079.38] 阿
[2079.38-2083.58] 還在跟客戶做一些產品
[2083.58-2086.42] 還是有需要做調試的部分
[2086.42-2087.72] 還要去做認證
[2087.72-2089.42] 所以他加工率是不高的
[2099.80-2103.98] 是以上目前是各位投資人
[2103.98-2106.04] 進有提問經營團隊有做回答
[2106.04-2113.12] 我們知道說公司目前在2025年這邊
[2113.12-2115.84] 會積極努力在爭取所謂的
[2115.84-2118.02] 新能源這邊的黏著度
[2118.02-2122.88] 所以會在業績方面會在持續提升
[2122.88-2127.92] 也會努力在爭取所謂大陸這邊的
[2127.92-2129.12] 自由品牌的零件
[2129.12-2134.26] 如果線上各位投資先進
[2134.26-2136.02] 如果說沒有要提問的
[2136.04-2136.54] 的話
[2136.54-2140.22] 我們今天的線上法人說明會
[2140.22-2141.64] 可能就要告一段落了
[2141.64-2144.48] 如果說會後還有任何問題的話
[2144.48-2146.72] 也可以寄到富邦吳小姐的信箱
[2146.72-2152.06] 謝謝莫哥
[2152.06-2156.02] 不會謝謝今天我們今天線上的
[2156.02-2157.30] 盈利的經營團隊
[2157.30-2159.86] 我們也謝謝各位投資先進的參加
[2159.86-2163.16] 我們今天的線上法人說明會就到此告一段落
[2163.16-2164.36] 謝謝大家
[2164.36-2165.60] 我們經營團隊可以下線
[2165.60-2166.00] 各位
[2166.04-2167.54] 投資先進也可以下線了
[2167.54-2170.04] 謝謝
