[0.00-4.04] 歡迎參加中國信託金融控股股份有限公司
[1785.32-1788.12] 我們的一個財富管理的手續費動能
[1788.12-1789.12] 是有起來的
[1789.68-1792.24] 那主要是因為這個川普後來又宣布
[1792.24-1795.64] 了這個關稅這個豁免到九十天以後
[1795.64-1796.88] 的一個人進期
[1797.48-1800.00] 那再加上這個股市的一個
[1800.32-1802.04] 有回升
[1802.68-1805.72] 那所以我們在這樣子的一個情況下
[1806.36-1810.04] 五月份的一個動能相對於四月份是有
[1810.04-1810.92] 起來的
[1811.44-1814.56] 那這是有關於這個手續費收入的一個說明
[1815.16-1818.68] 那再加上這個剛剛有提問到這個交易
[1818.68-1822.20] 相關的一個revenue的影響狀況
[1822.96-1826.08] 那跟各位報告一下我們四月份的
[1826.36-1829.28] trading的一個income相較於三月份
[1829.28-1831.84] 還是有增加一些些
[1832.40-1835.60] 那主要是我們交易員有抓到
[1835.60-1837.88] 這個匯率利率波動的一個
[1839.56-1843.16] 機會適度去做一些債券的一個處分
[1843.64-1847.40] 那另外在股票的部分我們銀行的股票部位
[1847.40-1851.04] 相對的是少的大概就是一百二十億
[1851.04-1854.76] 左右所以這個股市的一個波動對於我們
[1855.12-1857.28] 股票的一個影響在
[1857.68-1858.24] 這個
[1858.88-1861.48] 淨值部分的影響是不大的
[1862.04-1865.20] 那尤其是我們放在trading的position
[1865.44-1869.40] 幾乎為零所以在這個income statement
[1869.40-1870.36] 的部分呢
[1871.00-1873.84] 目前是有不大 不大會有太大的影響的
[1874.28-1876.72] 至於在匯率的部分五月份
[1877.28-1879.84] 初期呢這個臺幣急升
[1880.40-1881.84] 那這樣子的情況下
[1881.84-1884.20] 因為我們銀行的部分相對的
[1884.80-1887.36] 外幣的資產負債比較對稱
[1887.92-1888.96] 那這個部分
[1889.40-1893.12] 匯率反倒是沒有太大的影響 以上說明
[1896.72-1900.48] 在受險的一個資產配置的部分 第一劑有
[1901.00-1903.76] 把國外的部位做一些調降
[1904.00-1907.16] 那後續的一個方向上面還是會
[1907.76-1910.92] 按照這樣既定的一個方向有機會
[1911.44-1915.00] 就是看整個市場的一個情形 有機會的話還是會
[1915.64-1919.40] 以減少海外的一個配置
[1919.64-1921.32] 來增加國內的一個配置
[1921.84-1923.52] 會有這樣子的一個方向
[1924.52-1928.00] 那第二個部分的話就是我們的避險比例的部分
[1928.48-1932.44] 那我們避險比例在第一劑底的時候是
[1932.44-1933.36] 45%
[1933.72-1935.88] 那目前大概是53%
[1936.16-1939.64] 那後續也還會看起來還會有
[1940.28-1941.60] 上升的一個
[1942.44-1945.24] 的會持續上升的一個
[1946.28-1946.72] 調整
[1947.24-1948.76] 那調整的一個方式就是說
[1948.76-1952.60] 因為現在看到整體避險成本是高的
[1952.84-1955.40] 那如果是直接去買這些
[1955.92-1957.32] NDF的話 那
[1957.88-1961.72] 可能相對來講是比較不是那麼
[1962.08-1965.24] 那麼划算 甚至於是有可能助長
[1965.72-1968.68] 這個避險工具的一個成本的一個上升
[1969.00-1972.36] 那我們現在的作法是就是說我們原本的一個
[1973.08-1974.76] 避險的一個比例裡面
[1975.08-1977.88] 那有看整個匯率的一個情形
[1978.56-1981.68] 裡面也包含了一個做反向的一個
[1982.20-1986.32] 工具的一個部分 就等於是說會看整體
[1986.32-1988.48] 的一個市場上面去做調整
[1988.52-1990.04] 這是在之前的一個作法
[1990.32-1994.48] 那如果是把這個反向的一個部分到了這個到期
[1994.48-1997.96] 之後不續作 那這樣子也可以讓我們的一個避險
[1997.96-2000.20] 比例有上升的一個情形
[2000.44-2004.04] 那我們預估應該是可以在微幅的上升到
[2004.04-2007.76] 54% 55%這樣子的一個水準
[2008.36-2012.08] 那後續的話就是等待這個避險的一個成本
[2012.08-2014.56] 回到比較相對穩定的一個
[2015.12-2019.20] 狀況 會伺機再增加這個避險的一個比例
[2019.52-2020.00] 以上
[2021.04-2021.44] 謝謝
[2023.20-2026.64] 下一位提問的是UBS Alex也請發問
[2028.04-2032.16] 第一個問題想請教一下關於這個貸款增長的
[2032.16-2035.80] 一個動能這一塊 因為在QE看到這個增長還是
[2036.08-2039.40] 非常強勁的 想請問一下這個從這個地區
[2039.40-2044.12] 然後這個主要的這個行業的一個來源
[2044.12-2045.76] 主要的增長動力是哪一些
[2046.08-2049.24] 然後從4到5月的一個
[2049.24-2051.32] 目前一個Momentum的一個情況
[2051.32-2054.76] 以及我們對於接下來可能全年一個增長
[2055.48-2056.40] 目標的一個指引
[2057.04-2060.80] 那第二個問題是想請教一下關於我們海外
[2060.80-2062.28] 指航這邊東京之星
[2063.00-2066.32] 這一塊其實可能今年在日本整個這個
[2066.32-2067.80] 加息的大環境下是不是
[2068.52-2070.00] 對他的一個營運展望
[2070.52-2074.84] 怎麼樣一個判斷會比去年包括在息差或者獲利上
[2075.20-2077.00] 會有一些明顯的改善嗎
[2077.00-2079.88] 以及對於我們整個中信營今年
[2080.24-2081.12] 息差和利潤
[2081.96-2086.04] 大家提供分享一下他的一個影響度有多大
[2086.96-2087.52] 就這樣 謝謝
[2089.08-2091.12] 那我們Q1的一個
[2092.20-2094.40] 銀行的一個放款的部分
[2095.68-2099.60] 首先是在台幣的部分 我們可以看到我們大概
[2099.60-2102.52] 是有這個14%的
[2102.88-2106.28] total loan有14%的增長 台幣的部分大概13%
[2106.28-2108.48] YB的部分大概就是17%
[2109.48-2113.20] 那這個裡頭大部分都是來自於這個
[2113.56-2114.72] 我們的一個
[2116.20-2118.64] 髮金的一個業務的一個增長
[2119.16-2122.96] 那外幣的部分主要是來自於我們東南亞
[2122.96-2124.96] 的部分 尤其在新加坡
[2125.48-2129.24] 那我們有一些就是之前沒有開發的一個
[2129.24-2129.72] 客群
[2130.32-2132.84] 那這個部分增長的會比較多一些
[2133.48-2137.20] 那至於說這個全年度的guidance的部分
[2137.56-2141.76] 目前我們還是在希望會有個double digit的一個
[2141.76-2142.32] 增長
[2144.68-2147.56] 現在是提問時間 如果您需要提問
[2147.60-2149.36] 請在電話機上按
[2149.80-2151.80] 新字件跟數字1 謝謝
[2153.00-2154.80] 接下來提問的是KGI
[2155.04-2156.20] Ed Richin 請發問
[2157.52-2160.44] 關於陳寗好 我想再問一下就是說
[2160.84-2163.76] 剛有副總我講到準備接下來
[2164.52-2167.32] 如果以5月4號水準是剩
[2167.68-2168.88] 還有50多億
[2169.36-2172.96] 那這個意味著說如果台幣現在是
[2173.80-2175.44] 月底到30塊
[2175.84-2177.36] 2.2左右這種水準
[2177.84-2179.32] 準備金就是還剩下
[2179.80-2181.36] 這個水準
[2181.92-2185.80] 那公司如果以現在的目前的避險比例來看
[2186.36-2188.44] 1%的匯損對台售寶
[2189.00-2190.76] 的反應在損益表的
[2191.36-2193.00] 獲利跟準備金影響
[2193.40-2194.36] 大概是怎麼樣
[2194.92-2197.00] 那如果接下來準備金真的
[2197.68-2199.84] 不幸已經到下限了
[2200.60-2202.44] 那公司會想要
[2203.44-2206.24] 一次性增提準備金反應到水平飄滿
[2207.36-2208.76] 那第二個問題是
[2209.68-2212.80] 我想問一下第一季的金融商品受險的部分
[2213.12-2215.72] 金融商品未實現的狀況大概怎麼樣
[2215.72-2217.16] 股根在的水準
[2218.16-2219.72] 大概就這兩個問題 謝謝
[2223.76-2227.96] 那就剛剛有提到就是說我們5月
[2228.04-2230.76] 5號的時候我們看我們的外匯價格變動
[2230.76-2232.24] 準備金還有45億
[2232.72-2235.88] 那我印象裡面5月5號那個應該是
[2236.28-2239.60] 跟30塊2應該是稍微比
[2239.64-2241.92] 30塊2應該還要再低一點
[2241.96-2245.72] 所以如果說是以月底30塊2
[2245.72-2248.76] 的一個狀況來看的話應該還是有
[2249.52-2252.80] 應該是維持在這個數字以上的機會應該是
[2252.88-2253.60] 比較大的
[2254.28-2255.28] 那另外就是說
[2255.84-2257.52] 就是現在的一個
[2258.16-2261.12] 敏感度來看的話就是
[2261.52-2264.44] 一毛錢的臺幣的升值
[2264.76-2268.68] 那大概是會讓我們在稅前的一個
[2268.72-2272.56] 損益影響的數字大概是2.6億左右
[2273.04-2276.96] 然後另外的話就是這個
[2277.00-2280.08] 我們會不會考慮說如果外匯價格變動
[2280.12-2282.24] 左邊金全部都用完了
[2282.24-2285.20] 然後做一次性的一個增體
[2285.36-2289.24] 那在年底之前不會就是還是會在
[2289.48-2290.00] 那個
[2290.96-2295.20] alpha17死失的時候做一做一併的一個考量
[2295.92-2298.24] 那有關於未實現的
[2300.04-2302.76] 數字在3月底的話
[2303.36-2307.12] 固定收益的部分是大概是
[2307.12-2308.32] 負150左右
[2308.64-2309.24] 然後
[2310.08-2311.84] 股權的話大約有
[2312.64-2314.24] 10億左右的一個
[2315.48-2319.76] 未實現益那剛剛固定收益是未實現損
[2320.24-2320.60] 以上
[2325.16-2328.00] 來補充一下東京之星的一個狀況
[2328.40-2331.88] 那東京之星這個在今年第一季的一個
[2332.24-2334.36] 獲利相較於這個去年
[2334.56-2337.52] 都同期我們稅前大概是成長了
[2337.92-2339.48] 這個5成左右
[2340.16-2343.80] 那稅後大概有將近9成的一個數字
[2344.36-2348.16] 那主要的一個增加的原因是來自於他放款
[2348.16-2349.56] 的一個增長
[2350.12-2352.12] 那尤其是在這個
[2353.28-2354.28] 所謂的一個
[2354.88-2358.76] 房貸跟不動產相關的一個業務
[2359.36-2362.56] 這個放款量會是成長是比較多的
[2362.84-2366.00] 那另外呢他的這個資產品質相較於去年
[2366.00-2367.80] 都同期也是比較好的
[2368.56-2369.00] 那
[2369.36-2369.92] 這個
[2370.32-2372.44] ROE的部分目前
[2373.12-2376.00] 在第一季有到達8.73%
[2378.00-2380.12] 線上也有一些提問
[2380.40-2384.12] 那有一些問題其實剛剛已經有答過了那
[2384.76-2388.68] 包括像那個人壽未避險的這個比例
[2388.92-2390.92] 剛剛有提到我們會就是
[2391.36-2394.64] 有一些避險沖銷會停作那會自然提高我們的
[2394.64-2395.40] 避險比例
[2395.68-2399.08] 那另外還有今年全年的放款的展望
[2399.16-2401.76] 那這個部分我們預計是兩位數的成長
[2402.20-2406.04] 那另外還有一個問題是要問說到5月的
[2406.32-2408.76] 這個swap的income是多少
[2409.32-2412.36] 那另外一題是利率敏感性這個部分剛剛也有
[2412.36-2413.04] 回答過
[2414.68-2417.84] 對那swap到5月的部分我們現在手邊沒有數字
[2417.92-2419.96] 那剛剛財務長有講到到
[2420.52-2421.64] 第一季的話
[2422.20-2424.16] 是23億
[2424.84-2425.96] 那供您參考
[2425.96-2428.96] 那我們現在再回到電話提問
[2428.96-2432.56] 那我們看電話上有沒有投資人有問題想要提問的
[2434.36-2434.92] 是的
[2435.64-2437.24] 目前提問的是
[2437.52-2440.20] UNI president Tina Chen請發問
[2441.56-2444.28] 你好我直接兩個問題第一個
[2444.28-2447.72] 因為剛剛我好像都沒有提到今年的信用成本
[2448.20-2451.96] 那因為第一季看起來信用成本有稍微比之前給的
[2452.44-2454.56] 25到30個bp
[2454.56-2457.44] 25到30個bp還高一些那不知道今年
[2457.92-2459.76] 全年的信用成本還是維持在
[2460.00-2463.08] 25到30個bp這個區間內沒有改變嗎
[2463.08-2466.24] 那這是第一個問題那第二個問題是想問一下首收
[2466.56-2470.20] 那因為首收第一季的成長性還蠻強那剛剛有提到說
[2470.20-2474.44] 5月的動能有回來那原本上一次法說是說今年首收
[2475.12-2477.76] 前年會是高個位數那這個預期
[2478.04-2479.84] 今年有沒有可能會做上調
[2480.24-2481.24] 以上兩個問題
[2481.24-2485.24] credit cost guidance的部分我們上次給出的是
[2485.24-2488.28] 在這個25到30個bp
[2488.28-2491.16] 那第一季的確那total的一個credit cost
[2491.16-2492.68] 在33點
[2493.32-2497.24] 那這個部分主要是因為我們第一季的放款動能
[2497.24-2499.40] 十分的一個強
[2499.88-2502.96] 那總計增加大概2300
[2502.96-2505.64] 2300多億的一個部位
[2505.96-2507.00] 那按照這個
[2507.56-2509.08] 臺灣的一個
[2509.08-2512.40] 監管的一個要求這個部分必須提一個
[2512.40-2514.60] 1%的一個general provision
[2515.32-2519.12] 那主要的一個credit cost的增加是來自於
[2519.12-2524.12] 這一塊那因為這個在credit cost提在先
[2524.12-2528.80] 那generate的這個let interest income是產生在後面
[2529.48-2533.24] 那所以會看到這個放款成長比較強勁的
[2533.24-2534.28] 那個月份
[2535.08-2538.20] 期間他的credit cost會相對的增加
[2538.20-2541.00] credit cost會相對的來得高一些些
[2541.00-2542.12] 好以上說明
[2543.88-2545.08] 所以今年的
[2545.72-2548.60] 蓋還是一樣是維持25到30個bp
[2549.40-2553.08] 是的我們目前還是才這樣子的一個view
[2553.48-2556.76] 那另外這個手續費收入的guidance的部分
[2556.76-2561.56] 我們上次給出的是在high single digit的一個growth
[2562.04-2566.12] 那目前我們依然維持這樣子的一個看法不變
[2568.28-2569.20] 好謝謝
[2569.72-2570.68] 有沒有問題
[2574.04-2575.80] 目前仍是提問時間
[2575.80-2579.16] 如果您需要提問請在電話機按鍵上按
[2579.16-2581.48] 新字鍵跟數字1謝謝
[2584.28-2587.80] 如果您需要提問請在電話機上按
[2587.80-2590.92] 新字鍵跟數字1謝謝您
[2592.68-2593.96] 目前沒有提問
[2593.96-2595.96] 非常感謝各位的參與
[2595.96-2598.12] 今天的會議就到此結束
[2598.28-2599.72] 您現在可以離線了
[2599.72-2600.76] 謝謝再見
