[0.00-2.60] 對法人及媒體朋友大家午安
[1978.60-1982.60] 那麼為了強化競爭優勢
[1982.60-1986.60] 我們在迄今業務方面會調整放緩結構
[1986.60-1988.60] 聚焦在高成長的產業
[1988.60-1991.60] 例如台積電的供應鏈
[1991.60-1993.60] AI40器
[1993.60-1996.60] 生技醫療及永續的領域
[1996.60-2002.60] 那在銷心業務方面我們會推出符合ESG精神的產品
[2002.60-2006.60] 並且策略性的推廣高利差的理財權代碼
[2006.60-2009.60] 那財富管理會審核集團的資源
[2009.60-2013.60] 並且響應政府的亞洲高資產政策
[2013.60-2018.60] 同時我們會實施獵獲利多元的策略
[2018.60-2022.60] 是優化我們的存款結構提高國籍的股仲
[2022.60-2024.60] 來降低我們的資金成本
[2024.60-2029.60] 聚焦在高收益的放緩來提升淨利差
[2029.60-2032.60] 擴大財管的所需費收入
[2032.60-2035.60] 另外我們也會採取資金的多元配置
[2035.60-2037.60] 建立風險評估機制
[2037.60-2039.60] 全球最佳的停產點
[2039.60-2041.60] 分散投資組合
[2041.60-2043.60] 降低市場波動的風險
[2043.60-2046.60] 那麼來減緩我們整體獲利的波動
[2046.60-2049.60] 並且提振業務成長的動力
[2051.60-2055.60] 那這邊也很多法人關心到就是有關整個放款
[2055.60-2056.60] 特別是迄近放款
[2056.60-2059.60] 因為比如像中華信評或是公分賽
[2059.60-2063.60] 都有提到有關迄近放款的預期的成長目標
[2063.60-2067.60] 還有對於一些比如說像連帶案
[2067.60-2069.60] 或是一些中小企業放款
[2069.60-2071.60] 還有一些海外放款
[2071.60-2073.60] 海外的拓展策略等等
[2075.60-2080.60] 好的 我想這個問題我再次麻煩建中副總來回答
[2083.60-2088.60] 本堂今年的迄今放款因為面臨了多重的挑戰
[2088.60-2092.60] 原來預估迄今放款的成長率是4%左右
[2092.60-2097.60] 但是恐怕會受到川普的關稅政策影響的趨緩
[2097.60-2101.60] 雖然今年第一季台灣的收購貿易
[2101.60-2103.60] 與去年同期成長了17.5%
[2103.60-2108.60] 但是第二季以後可能會受到美中貿易避雷
[2108.60-2111.60] 跟地緣政治的衝突影響的減弱
[2111.60-2114.60] 進而影響國內的企業利益需求
[2114.60-2117.60] 那在放款策略方面
[2117.60-2121.60] 我們是聚焦於這個綠能融資專案計畫
[2121.60-2123.60] 跟併購的連帶業務
[2123.60-2126.60] 開發綠能產業收信
[2126.60-2128.60] 提升外幣及OPU放款
[2128.60-2132.60] 以大型企業來帶動中小企業放款
[2132.60-2136.60] 優化我們中小企業數位化的現場境界
[2136.60-2139.60] 另外我們也會積極增滿多根危勞等案件
[2140.60-2143.60] 那至於在連帶案的方面
[2143.60-2147.60] 我們第一季本行的BookRun排名是第四名
[2147.60-2150.60] 那一共是8件
[2150.60-2153.60] 規模是9.2億美元
[2153.60-2156.60] 那在MLA方面也是居於第四
[2156.60-2159.60] 是10件跟7.64億美元
[2159.60-2161.60] 那今年我們的目標
[2161.60-2164.60] 要提升到市場的前三名
[2164.60-2169.60] 那銀行也會持續的爭取連帶的主辦商機
[2169.60-2172.60] 尤其是有關再生能源
[2172.60-2176.60] 儲能及循環經濟等高收益的案件
[2176.60-2179.60] 另外我們也著眼AI產業鏈
[2179.60-2181.60] 還有全球的供應鏈移轉
[2181.60-2183.60] 專案型的融資
[2183.60-2186.60] 大型的公共工程及工作危勞等案件
[2186.60-2190.60] 未來我們會系統化的收集商機的訊息
[2190.60-2192.60] 關注產業發展趨勢
[2192.60-2194.60] 來提高我們的市場佔領利
[2196.60-2200.60] 那這邊有幾位媒體朋友跟法人都問到
[2200.60-2202.60] 比如像工商什麼的問到
[2202.60-2205.60] 有關今年對於一些房貸的
[2205.60-2210.60] 或是一些整個銷金的業務的成長率的看法
[2210.60-2212.60] 或是一些預測值
[2212.60-2215.60] 還有如何控管相關的風險
[2217.60-2221.60] 再次麻煩建州副總來回答這個問題
[2222.60-2225.60] 本行今年的銷金創產目標餘額
[2225.60-2228.60] 是5841億
[2228.60-2231.60] 較去年是成長大概3%
[2232.60-2237.60] 因為我們實施了不動產的放款管控措施
[2237.60-2240.60] 所以整體的業務動能會趨緩
[2240.60-2243.60] 會影響銷金放款業務表現
[2243.60-2248.60] 那麼我們的策略就轉向個人理財性的待款
[2248.60-2250.60] 還有小額信貸為重點
[2250.60-2254.60] 同時兼顧業務的推展跟風險的供買
[2254.60-2258.60] 我們今年第一季房貸新作的供款量
[2258.60-2260.60] 是96.7億元
[2260.60-2265.60] 比去年同期是衰退了142.4億元
[2265.60-2269.60] 但是我們信貸新作的撥款量
[2269.60-2271.60] 則達到13.68億元
[2271.60-2275.60] 較去年同期是成長了9.13億元
[2275.60-2281.60] 預估全年的房貸餘額衰退會到6.5%
[2281.60-2287.60] 但是小額信貸的預期成長率會到29.5%
[2288.60-2292.60] 基於全球經濟不確定性的升高
[2292.60-2296.60] 企業可能因為美國的關稅政策或貿易摩擦
[2296.60-2298.60] 影響他們的獲利
[2298.60-2301.60] 進而會衝擊整個就業市場
[2301.60-2305.60] 間接地影響到借款的房貸償付能力
[2305.60-2309.60] 同時市場資金的流動性收緊
[2309.60-2314.60] 可能會導致市場對於房市的需求趨緩
[2314.60-2316.60] 或是價格的下跌
[2316.60-2319.60] 這樣就會提升預算的風險
[2319.60-2321.60] 為了控管風險
[2321.60-2326.60] 本行的房貸也是依據受信的五皮原則來審核
[2326.60-2330.60] 我們非常重視這款人的還款來源
[2330.60-2332.60] 跟他的償貸能力
[2332.60-2335.60] 現在的產品我們會嚴格控管
[2335.60-2340.60] 資金流向避免用於購置不動產
[2340.60-2343.60] 我們已經強化了我們貸前的評估機制
[2343.60-2346.60] 也調整了核貸的條件
[2346.60-2349.60] 並且落實貸後管理
[2349.60-2352.60] 對於暫時有困難的借款人
[2352.60-2355.60] 我們會提供貸款重組方案
[2355.60-2357.60] 同時加強單包品的管理
[2357.60-2360.60] 來確保我們的整體風險可控
[2361.60-2363.60] 再來是彙整
[2363.60-2366.60] 幾位法人跟媒體朋友提到有關承款義務
[2366.60-2369.60] 比如說像我們媒體朋友朱漢倫提到
[2369.60-2371.60] 有關總出款量目前的變化
[2371.60-2375.60] 還有對於今年承款成長的目標
[2375.60-2378.60] 還有一些承款相關義務的策略是什麼
[2380.60-2384.60] 這個問題還是麻煩建動副總裁回答
[2386.60-2389.60] 本行的承款義務表現堪稱穩健
[2389.60-2392.60] 今年第一季整體的承款
[2392.60-2395.60] 是達到新台幣3.08兆
[2395.60-2397.60] 年增5.12%
[2397.60-2400.60] 市貸率約5.23%
[2400.60-2404.60] 跟去年同期5.20%相當
[2404.60-2406.60] 在外匯存款方面
[2406.60-2410.60] 是折合新台幣達到1.22兆
[2410.60-2412.60] 年增5.17%
[2412.60-2416.60] 市貸率是維持在7.48%
[2416.60-2420.60] 與去年同期的7.49%相近
[2421.60-2424.60] 為了因應金融環境的變化
[2424.60-2426.60] 我們今年的承款策略
[2426.60-2430.60] 是著重在維持存放環的立差
[2430.60-2433.60] 我們會依照資金去化的管道收益
[2433.60-2437.60] 來機動調整我們的承款成本
[2437.60-2440.60] 今年為了配合政府機關
[2440.60-2443.60] 還有國營機構的專案授信撥貸
[2443.60-2447.60] 我們的承款水位會維持穩定的成長
[2447.60-2450.60] 除了顧本求量維持企業存款外
[2450.60-2454.60] 我們同步會爭取並且提升
[2454.60-2458.60] 自然人跟中小企業的低利存款
[2458.60-2461.60] 來有效控制資金成本
[2461.60-2465.60] 自然人存款的策略著重於提升
[2465.60-2468.60] 薪資轉帳戶的產品競爭力
[2468.60-2471.60] 我們這個方面會增加媒體的曝光度
[2471.60-2474.60] 來拓展貨客的通路
[2474.60-2476.60] 中小企業的存款
[2476.60-2479.60] 我們會透過供應業農資平台
[2479.60-2481.60] 及推廣收單業務
[2481.60-2484.60] 同時我們會根據我們流動性的需求
[2484.60-2487.60] 來增滿不同級別的存款
[2487.60-2489.60] 那我們也會深化我們的
[2489.60-2491.60] TNU的業務的精明
[2491.60-2494.60] 創造銀行與客戶雙贏的局面
[2494.60-2497.60] 今年度的存款營業量的目標
[2497.60-2501.60] 是設定在3兆零416億元
[2501.60-2505.60] 全年的存款成長率目標是3%
[2505.60-2507.60] 那我們也會增加
[2507.60-2511.60] 以及在滿足LCR跟72-2
[2511.60-2513.60] 等等事法性的要求下
[2513.60-2516.60] 來機動調整存款的增長計畫
[2516.60-2520.60] 那下一個是很多法人
[2520.60-2523.60] 像比如說風產煤、新翁人壽
[2523.60-2527.60] 以及花旗證券都問到有關對NIM的現況
[2527.60-2529.60] 還有一些有關的資料
[2529.60-2531.60] 那我會提供一些資料
[2531.60-2533.60] 讓大家可以去看
[2533.60-2535.60] 好的,關於NIM這個問題
[2535.60-2539.60] 我想請銀行會計處的趙美麗處長來回答
[2541.60-2546.60] 好的,那本行今年的第一季的一個平均的淨利差
[2546.60-2550.60] NIM的部分為0.957%
[2550.60-2553.60] 那以上年度的投期來比較
[2553.60-2555.60] 是下午的1月1日
[2555.60-2557.60] 那現在是下午的1月1日
[2557.60-2559.60] 那現在是下午的1月1日
[2559.60-2561.60] 那現在是下午的1月1日
[2561.60-2563.60] 那以上年度的投期來比較
[2563.60-2565.60] 是下滑0.035個百分點
[2565.60-2568.60] 那主要在於美元的存款
[2568.60-2571.60] 而淨存的比動是較高的
[2571.60-2573.60] 那在放款的利率
[2573.60-2577.60] 已經有隨著市場的指標利率的變動而下滑
[2577.60-2580.60] 導致於美元的一個NIM是下滑的
[2580.60-2584.60] 進而拖累了全行NIM的一個表現
[2584.60-2587.60] 但是呢,3月的一個單月的一個NIM
[2587.60-2590.60] 以回升至0.983%
[2590.60-2594.60] 那較2月份提升0.028個百分點
[2594.60-2597.60] 那主要是在於美元的儲放利差
[2597.60-2600.60] 及儲放比都有上揚
[2600.60-2603.60] 帶動全行NIM的一個上揚
[2603.60-2607.60] 那面對目前的一個金融市場的一個動盪
[2607.60-2611.60] 本行是採取一個滾動式的一個調整策略
[2611.60-2613.60] 那具體的一個措施呢
[2613.60-2617.60] 包括持續改善放款的一個結構
[2617.60-2621.60] 那擴大呢,朝著利潤較高的中小企業
[2621.60-2624.60] 和個人信貸的一個業務
[2624.60-2628.60] 隨著一個供應鏈的一個轉移
[2628.60-2631.60] 掌握東進海外市場的一個商機
[2631.60-2634.60] 那在再建投資的業務呢
[2634.60-2637.60] 而是積加固定利率的再建
[2637.60-2640.60] 同時搭配浮動利率再建
[2640.60-2644.60] 逐步提高整體的一個投資組合的收益
[2644.60-2647.60] 那本行並沒有特別去禁令
[2647.60-2650.60] NIM的一個成長率及目標數
[2650.60-2653.60] 但是還是會透過各項業務的一個持續的
[2653.60-2657.60] 策略的一個調整來優化整體NIM的一個表現
[2657.60-2661.60] 來增加整個獲利的一個來源
[2661.60-2664.60] 那下一個應該是說
[2664.60-2668.60] 美麗法人跟這個法人都相當關注
[2668.60-2670.60] 有關手手,比如像公共社
[2670.60-2673.60] G.B. Morgan跟花旗還有不忘人手
[2673.60-2676.60] 那我問到說對於首收的這個
[2676.60-2680.60] 今年第一季的表現能夠再做進一步的分析
[2680.60-2683.60] 跟全年的目標還有一些
[2683.60-2686.60] 或是一些看法能夠發表一些意見
[2686.60-2691.60] 好,那這個問題還是請美麗處長來回答
[2691.60-2695.60] 好的,那今年的本行的第一季的首收的
[2695.60-2698.60] 進收益為22.05億元
[2698.60-2702.60] 那較去年是減少了9.61億元
[2702.60-2706.60] 那前面說明總經理說明了
[2706.60-2711.60] 主要在去年的一個高鐵的補償金一次性收入
[2711.60-2714.60] 有10.4億元的一個影響
[2714.60-2718.60] 那在今年的一個再建的一個首收的部分
[2718.60-2722.60] 受市場對那個費的降息趨緩的一個運氣
[2722.60-2725.60] 導致於銷售的動能是一個趨緩
[2725.60-2730.60] 而資收入較去年減少了19.83%
[2730.60-2733.60] 不過在基金及保險手續會收入
[2733.60-2737.60] 較去年同期是增加了1.24億元
[2737.60-2742.60] 那整體的一個財管業務的首收達了12.18億元
[2742.60-2746.60] 較去年同期是個成長的6.1%
[2746.60-2750.60] 那今年的一個手續會的進收益目標
[2750.60-2753.60] 預計是較去年成長8%
[2753.60-2757.60] 那財管業務主要是為首收進收益的
[2757.60-2759.60] 主要的一個成長的引擎
[2759.60-2762.60] 所以我們的目標就是定位較高
[2762.60-2767.60] 讓為去年成長幅度達38%以上
[2768.60-2772.60] 好 下一個是也很多法人跟媒體朋友都問到
[2772.60-2775.60] 有關財務管理業務
[2775.60-2778.60] 比如說像JB Morgan想知道說
[2778.60-2781.60] 我們對於今年的預估值的一些看法
[2782.60-2784.60] 好的 那這個問題
[2784.60-2787.60] 要回來再麻煩建制派部長來回答
[2787.60-2791.60] 今年第一季本行的財務管理業務
[2791.60-2794.60] 表現是穩健成長
[2794.60-2797.60] 總收入是13.26億元
[2797.60-2801.60] 較去年同期成長了7.32%
[2801.60-2804.60] 那如果從產品結構來看
[2804.60-2808.60] 投資商品、保險商品及保管收入等等
[2808.60-2814.60] 占比分別是11%、32%及17%
[2815.60-2818.60] 那進一步細分各個產品線
[2818.60-2824.60] 保險、基金、保管、債券及結構商品的收入占比
[2824.60-2831.60] 分別是32%、27%、17%及24%
[2832.60-2836.60] 那麼在全球貿易戰跟美國關稅政策
[2836.60-2840.60] 變動還有地緣增長的風波影響下
[2840.60-2842.60] 整個市場的波動是非常的劇烈
[2842.60-2844.60] 那所以客戶的偏好呢
[2844.60-2849.60] 也比較偏好所謂的防禦型跟收益型的投資組合
[2849.60-2851.60] 那麼在這個背景下
[2851.60-2854.60] 保險跟基金的商品表現得就比較出色
[2855.60-2859.60] 那保險的收益延遲率約20%
[2859.60-2862.60] 那基金的成長率大概是16%
[2862.60-2866.60] 那其中保險商品這個保障型的商品成長
[2866.60-2868.60] 動能最為顯著
[2868.60-2874.60] 那它同時推動了長年期繳的商品占比及提升我們的收益
[2874.60-2877.60] 那在於這個高資產業務方面
[2877.60-2880.60] 目前已經有15家同業取得核准
[2880.60-2882.60] 那12家已經開放
[2882.60-2886.60] 整體的這個市場競爭環境是非常激烈
[2886.60-2889.60] 但是我們本行的表現也非常亮眼
[2889.60-2892.60] 截至2025年3月底止
[2892.60-2897.60] 我們的高資產客戶數已經達到了1802戶
[2897.60-2903.60] 那管理的資產規模也達到了新台幣2181億元
[2903.60-2907.60] 較去年同期分別增加了342戶
[2907.60-2910.60] 即382億元
[2910.60-2915.60] 那增長率分別達到23%及21%
[2915.60-2920.60] 在目前已經開放此項業務的12家同業中
[2920.60-2922.60] 我們是排名第三
[2923.60-2928.60] 那高資產客戶的理財商品滲透率接近50%
[2928.60-2931.60] 那展望今年全年
[2931.60-2936.60] 本行設定今年全年的財管業務總收入的目標
[2936.60-2938.60] 是61.75億元
[2938.60-2942.60] 較去年的實際數45.37億元
[2942.60-2945.60] 是增長率高達36.1%
[2945.60-2948.60] 那麼在過客策略上
[2948.60-2951.60] 我們會持續為高資產的客選
[2951.60-2954.60] 提供專屬及客製化的服務
[2954.60-2959.60] 並且配合政府亞洲資產管理中心的政策開放
[2959.60-2963.60] 進一步規劃多年的理財商品還有融資服務
[2963.60-2966.60] 那麼創造市場的差異化優勢
[2966.60-2970.60] 預計今年全年的高資產客戶AUM
[2970.60-2973.60] 會成長5到10%
[2973.60-2977.60] 那AUM會增加到2258億元
[2977.60-2981.60] 客戶數會增加到1956度
[2981.60-2985.60] 那確保我們持續鞏固市場的領先定位
[2985.60-2989.60] 那在美國的這個關稅政治影響下
[2989.60-2991.60] 在這個高度變動的投資市場中
[2991.60-2995.60] 我們將會持續的以關懷客戶為出發點
[2995.60-2997.60] 那發展相關的義務機會
[2997.60-3000.60] 力求雙位數的年收入成長
[3001.60-3006.60] 那再來就是也很多媒體朋友都會把人都問到
[3006.60-3009.60] 像Royter跟JP Morgan都問到對於
[3009.60-3012.60] 張穎陽今年第一季的這個Trading Game
[3012.60-3015.60] 特別是Epic Swap這個表現
[3015.60-3017.60] 能夠做一些進一步的分析
[3017.60-3019.60] 那對於今年全年的一些看法
[3021.60-3026.60] 好的那這個問題還是請那個美麗處長來回答
[3026.60-3030.60] 好的那本行今年的第一季呢
[3030.60-3033.60] 交易收益達38.21億元
[3033.60-3037.60] 那較去年同期降幅達31.18%
[3037.60-3041.60] 那主要的一個原因是受到股市表現的一個影響
[3041.60-3047.60] 那今年三月的股市是較去年底下跌了10.15%
[3047.60-3049.60] 那對比去年同期是一個上漲
[3049.60-3052.60] 上漲了13.18%
[3052.60-3056.60] 那導致以本行的整體的一個股票基金的一個操作
[3056.60-3057.60] 出現了虧損
[3057.60-3060.60] 那虧損為3.03億元
[3060.60-3066.60] 那與去年同期來比較的盈餘的進減少是13.07億元
[3066.60-3070.60] 那在Epic Swap的一個操作方面呢
[3070.60-3074.60] 今年的第一季呢操作利益為27.36億元
[3074.60-3078.60] 在去年同期是減少3.11億元
[3078.60-3084.60] 那今年一到四月的一個操作利益為38.45億元
[3084.60-3088.60] 那與去年同期是大致一個持平的一個裝含
[3088.60-3093.60] 那Swap也是主要的一個本行的整體教育收益的來源
[3093.60-3097.60] 那早晚今年全年度
[3097.60-3102.60] 受川普一個關稅及貿易政策的一個不確定
[3102.60-3108.60] 以及配合今年銀行資本市族率計算的方式的修正
[3108.60-3109.60] 調整了資本結構
[3109.60-3114.60] 所以本行規劃在今年減碼上市貴股票80億
[3114.60-3118.60] 調降的部位調到180億以下
[3118.60-3123.60] 所以今年的股票及基金的一個交易收益呢
[3123.60-3130.60] 受市場因素的影響獲利的波動的程度將會縮小
[3130.60-3135.60] 那因應美國新政策防護的難以預測呢
[3135.60-3140.60] 本行的新做交易將採取更為審慎的策略
[3140.60-3143.60] 並嚴控相關的風險
[3143.60-3147.60] 短期內股票基金採取保守應對
[3147.60-3153.60] 那在Swap的一個交易以市場流動性為主要考量
[3153.60-3157.60] 那適時的加碼長篇期部位提高收益
[3157.60-3160.60] 那在債券的一個投資部分呢
[3160.60-3164.60] 就縮小程序期間搭配浮動利率債券
[3164.60-3168.60] 規避市場利率的一個上升的一個評價風險
[3168.60-3172.60] 同時因關稅的一個偵測呢
[3172.60-3175.60] 可能導致經濟衰退或停滯性通膨
[3175.60-3180.60] 賺取資本利得的固定利率債券波動操作
[3180.60-3182.60] 更為謹慎保守
[3182.60-3186.60] 那再來是也有反問到說
[3186.60-3189.60] 我們對於今年第一季的營業費用
[3189.60-3191.60] 是不是能夠進一步的分析
[3191.60-3194.60] 那對於今年的營業費用的看法是什麼
[3195.60-3199.60] 麻煩這個美麗處長繼續來回答這個問題
[3199.60-3200.60] 謝謝
[3200.60-3202.60] 本行呢
[3202.60-3207.60] 今年的第一季營業費用達69.38億元
[3207.60-3212.60] 那較去年同期呢增加了3.03億元
[3212.60-3216.60] 那主要是在人事費用因為進薪等因素的增加
[3216.60-3219.60] 那另外在營業稅呢
[3219.60-3223.60] 也隨著營業收入的增加而同步的增加
[3223.60-3226.60] 還有相關的一個數位的資訊的費用
[3226.60-3229.60] 也同步的一個增加
[3229.60-3231.60] 那整體的一個費用呢
[3231.60-3235.60] 內部將依實際業務的一個發展與營收的狀況
[3235.60-3238.60] 靈活做動態的調整以上
[3239.60-3242.60] 那這邊因為實際的關係
[3242.60-3244.60] 這邊因為實際的關係我想
[3244.60-3246.60] 很多人問到有關信用成本啊
[3246.60-3250.60] 跟待帳費用還有今年第一季的資產品質的情況
[3250.60-3256.60] 還有一些預報是不是對今年能夠提供一些guidance
[3256.60-3263.60] 那這邊主要是一個資產品質跟待帳費用的一些問題
[3264.60-3268.60] 好的那這個問題是蠻好的一個問題
[3268.60-3269.60] 蠻重要的問題
[3269.60-3275.60] 那我想我就請我們趙營在賴德倫處長來回答
[3276.60-3277.60] 好的
[3277.60-3280.60] 那本行今年第一季的待帳費用
[3280.60-3285.60] 那承諾及這個保證責任準備提升3.5億元
[3285.60-3288.60] 那較去年同行的薪酬幣8.82億元
[3288.60-3291.60] 是大幅減少了5.32億元
[3291.60-3294.60] 那降幅達這個60.3%
[3294.60-3302.60] 那大幅減少主要因為是因為去年同行有增加這個數比的不動產相關大額的提存數字
[3302.60-3306.60] 那今年第一季本行的預期放緩
[3306.60-3310.60] 較去年明季是增加了7.68億元
[3310.60-3313.60] 那只要新增預放的是4.33億元
[3313.60-3317.60] 然而我們考慮到預計可以回收金額後
[3317.60-3320.60] 那目前是但沒有需要增加提存
[3320.60-3322.60] 那這些新增的預放案件
[3322.60-3327.60] 建政進行這個債務重組協章法律追查
[3327.60-3329.60] 跟這個單保品出售程序
[3329.60-3333.60] 那展望全年本行預估今年放緩案件
[3333.60-3336.60] 可能需要再增加提存是近代幣1.5億元
[3336.60-3339.60] 那同時我們預計會有貴重債權
[3339.60-3343.60] 大額的回收金額大概是3.89億元以上
[3346.60-3350.60] 由於時間的關係我們無法回覆各位的問題
[3350.60-3352.60] 還有其他問題的投資體統
[3352.60-3354.60] 聯繫本公司IR團隊
[3354.60-3357.60] 將由專人來聯合協助各位
[3357.60-3359.60] 非常感謝各位的參與
[3359.60-3361.60] 今天的法收會到此結束
[3361.60-3364.60] 網路重播將於會議結束後兩小時
[3364.60-3368.60] 放置在本公司網站的投資人關係單區
[3368.60-3369.60] 謝謝您的參與
[3369.60-3371.60] 進駐順心愉快
