[0.00-7.64] 各位投資先進
[1537.66-1543.80] 这些公司对外公布可以让人家存取的这些网站去做一些
[1544.06-1544.56] rating
[1544.82-1545.60] 去做一些
[1545.90-1547.94] 测试然后提供出一些评分的服务
[1548.72-1550.00] 好这是资讯安全
[1551.52-1553.84] 这个我就不多说了这有很多很多细节
[1554.60-1556.90] 刚刚大概都讲了若少渗透测试
[1557.42-1559.98] Core Review等等MDR还有做IR
[1560.48-1562.28] IR这件事情刚刚没有特别讲
[1562.54-1564.58] IR是讲Instant Response
[1564.84-1567.14] 主要就是指我们的
[1567.66-1569.20] 自然顾问通常都是hacker
[1569.70-1570.22] 白帽hacker
[1570.48-1571.24] 当客户
[1572.00-1572.52] 被
[1573.04-1574.06] 被入侵
[1574.32-1575.08] 产生
[1575.64-1576.66] 产生一些损失
[1576.92-1577.94] 那这样子的
[1578.20-1579.74] 专家可以进去帮他调查
[1580.24-1582.30] 到底是怎么发生的从哪里来的
[1582.56-1583.58] 应该怎么去补动
[1584.08-1585.36] 大概我们也做事故调查
[1586.14-1586.64] 好
[1591.26-1592.28] 这还是治安的
[1592.54-1593.30] 治安实在太重要
[1593.56-1595.10] 那这个我就不多说了
[1595.36-1596.38] 这都是我们对
[1596.64-1598.16] 我们的客人提供的
[1598.42-1599.44] 主要是三大项
[1599.96-1601.24] 我把它分成三大项
[1601.50-1602.00] PS
[1603.04-1603.80] Network Security
[1604.06-1604.82] 跟Content Security
[1604.82-1605.60] 所谓内部Security
[1605.86-1607.14] 内容安全就包含了应用软体
[1607.64-1608.42] 跟资料
[1608.68-1610.20] 这个部分是门槛比较高的
[1610.98-1613.54] 那网路安全呢他是比较偏基础建设
[1613.80-1616.36] 比如说防毒啊防火墙啊端点侦测
[1616.86-1617.64] 网路侦测
[1618.14-1619.94] 云端侦测回应等等
[1623.26-1627.62] 专业服务刚刚已经提到过了包含了弱点扫描渗透测试等等
[1628.12-1629.92] 好这个是我们主要
[1630.18-1630.68] 三个
[1630.94-1632.48] 资讯安全的服务
[1633.50-1634.02] 好
[1634.02-1636.84] 再来第3个
[1637.34-1638.12] 除了
[1638.38-1642.22] AI Security之外我要谈的是这个云服务
[1643.24-1645.80] 云商这几年尤其是这一两年
[1646.82-1649.12] 他们的生意并不是很好
[1649.38-1651.18] 这个其实之前就知道了
[1652.46-1653.98] 毕竟要
[1654.24-1660.38] Migrate就是我们把他把所有的公司的work load都把他迁移到云上面去这个费用是非常非常高的
[1660.90-1662.18] 并不是像他们讲的
[1662.44-1662.94] 低
[1662.94-1665.24] 但是有没有上云的需求有的
[1665.50-1666.02] 绝对有
[1666.52-1669.34] 我相信以后呢这个普及率也会高
[1669.86-1674.46] 但是根据说这个公司的规模跟公司的应用方式来取决
[1674.72-1677.28] 我们怎么看就是这个Hybrid混合
[1677.78-1678.82] 的这个架构是
[1679.06-1680.34] 需求量是会比较大
[1680.86-1683.42] 那敦阳科在这个混合云上面的利基
[1683.68-1688.54] 其实刚刚有跟各位报告过我们一年大概有交易的客人可能有超过
[1688.80-1689.82] 1500 600家
[1690.84-1691.62] 那我们
[1691.86-1692.64] Instabase也超过1500家
[1692.94-1693.96] 超过2000家
[1694.48-1699.34] 那这2000家服务就是刚刚有跟各位报告过所有领域的TA1的客户
[1699.86-1700.88] 几乎都是我们的客人
[1701.38-1705.74] 那这些客人他们用的这些IT的基础建设也是对他们提供的服务
[1706.00-1707.28] 所以他们有这个
[1707.54-1710.86] 上云的需求做混云的需求
[1711.12-1713.16] 我们大概就是想当然
[1713.42-1714.18] 就是他们
[1714.44-1714.96] 未来
[1715.22-1716.50] 咨询的厂商
[1717.26-1720.08] 那这里面可以做的事情就蛮多的
[1720.08-1725.96] 我们也做了不少政府的案子跟企业案子目前
[1726.22-1730.06] 看来政府是有这个计划要我这边做所以就没什么悬念
[1730.84-1731.86] 企业呢
[1732.36-1736.98] 不管他是心甘情愿还是因为受某种
[1737.48-1740.04] 这个需求的驱使比如说
[1742.60-1743.12] 碳足迹
[1743.38-1744.66] 碳足迹是一个蛮多的
[1744.92-1746.20] 欧盟欧盟会要求
[1746.44-1748.24] 你要提供碳足迹的这些information
[1748.76-1750.04] 所以呢这些云商大概
[1750.34-1750.84] 都可以
[1751.62-1752.12] 因为你
[1752.38-1754.18] 不用你家的电就等于你省电
[1754.68-1757.50] 那云商会说他有很多绿电
[1758.52-1761.86] 所以说他们可以去做一个比较详细的这个
[1762.12-1762.62] cost
[1762.88-1765.18] 这个成本这个去去去计算
[1765.44-1766.72] 就是我在家里
[1767.24-1769.54] 自己放到自己家里的这些work load
[1769.80-1771.58] 移到云上面我到底可以省多少电
[1771.84-1773.12] 那这样如果省电
[1773.38-1776.20] 我对碳足迹这件事情就可以交代就可以对欧盟交代
[1776.44-1777.48] 所以大概是这个状况
[1778.24-1780.04] 但是的确是有这个需求混云的需求
[1780.34-1780.84] 是越来越多
[1781.62-1784.18] 我们看到就是动得比较快是公部门
[1785.20-1785.46] 好
[1786.74-1790.32] 边缘运算这些事情我讲了很久现在
[1790.84-1795.18] 这绝对是其实已经发扬光大现在只会更更更加的热络
[1795.70-1797.24] 我们可以看到就是说
[1797.74-1798.26] 应用
[1800.04-1801.58] 我们讲的应用包含了很多
[1801.84-1804.66] 你坐在你的桌子上面你的办公桌前面
[1805.16-1806.20] 你的
[1806.70-1809.00] 你用的电脑这个是这个是
[1809.26-1810.04] 固定式的
[1810.34-1811.88] 可是当你移动的时候
[1812.38-1813.92] 你还是在做应用
[1814.68-1815.20] 的执行
[1815.72-1819.04] 这应用执行就非常非常多了可能跟公事有关的可能跟
[1819.30-1820.32] 消遣有关的
[1820.58-1822.36] 可能跟娱乐有关的
[1822.62-1823.14] 都有
[1823.90-1825.18] 那所以说
[1826.20-1829.28] 这件事情就是出了这个办公室之后这个需求
[1830.04-1832.60] 其实不但没有变小孩越来越多
[1833.12-1836.96] 那就呼应了刚刚提到这个在云上面的各式各样的服务
[1837.22-1838.76] 我要怎么交付到
[1839.00-1840.04] 我们的行动
[1840.34-1841.62] 装置这行动装置就多了
[1841.88-1844.68] 包含了我们的OT的装置
[1844.94-1846.74] 手表
[1847.00-1849.04] 智慧手表
[1849.30-1850.84] 或是我们的自驾车
[1851.60-1855.44] 或是我们的这个可以看到这个surveillance监视监控系统
[1855.96-1856.46] 等等
[1857.24-1859.02] 或是这个AR跟VR的game
[1859.28-1861.32] 都会透过这样子的一个架构去做交付
[1861.84-1864.92] 那这里面会利用到越来越多的AI
[1865.68-1866.20] AI
[1866.44-1867.22] 可以往上跑
[1868.24-1870.04] 可以往下把他的这个
[1870.34-1870.84] 推理
[1871.10-1871.88] 往下送
[1872.64-1873.66] 送到哪里呢
[1874.44-1876.48] 这边有提到一个叫AgeRain
[1876.74-1881.60] 就是我们在这个Radio Access Network就是我们的电信公司这个
[1882.12-1885.18] 这个基站这个叫做叫做小机房
[1886.20-1888.52] 里面把这些就是最靠近基站
[1888.76-1889.80] 直接放一些
[1890.30-1892.10] 我们讲这个MEC
[1892.86-1895.16] Multi-access edge computing
[1895.42-1896.20] 它就是一些
[1896.44-1898.24] 一些机器可以耐高温
[1898.50-1899.78] 也可以耐低温
[1900.08-1904.18] 就是它可以在这种很不好的环境之下继续执行这种机器
[1904.44-1906.48] 来提供我刚刚讲前面这
[1907.00-1910.06] 端点这一堆不管是手机平板
[1910.32-1912.62] 或者是笔电
[1912.88-1914.68] 自驾车手表
[1915.70-1917.24] 那个监视系统等等
[1917.48-1919.02] 的这些定用
[1919.80-1921.08] 场景所以这件事情
[1921.84-1923.38] 会越来越蓬勃发展
[1923.88-1925.94] 5G加AI加边缘预测
[1927.72-1928.24] 好
[1928.50-1930.04] 这一张是告诉各位
[1930.34-1933.16] 对于敦阳科的一些代表性的这个解决方案
[1934.18-1937.24] 诚如刚刚小弟刚刚提到大概都是全球
[1938.52-1939.04] 前三名
[1939.30-1940.06] 多半都是第一名
[1940.32-1942.36] 在那个领域里面的前三名
[1942.88-1943.40] 或者是第一名
[1943.64-1944.68] 各式各样的产品
[1945.18-1948.76] 我们可以看到这个软体开发工具我们会用到AWS的
[1949.02-1950.56] 软体的这个解决方案
[1950.82-1955.94] 或者是利用把它说比较偏向这个M-CAD跟PLM相关的东西
[1956.44-1959.26] IBM Turnkey的这个解决方案包含它的AI
[1960.34-1962.12] 一些这个专属领域
[1962.38-1964.94] 非常厉害像这个Lazarus又这样讲
[1965.20-1967.50] 在这个Defense这一块
[1968.02-1970.84] 军跟国防这一块很厉害
[1971.08-1974.42] 还包含微软的各式各样的解决方案包含开发环境等等
[1974.68-1975.96] 我就先取这个例子
[1976.20-1978.26] 里面当然还包含了资安
[1978.52-1979.54] 资料网路跟电信网路
[1979.80-1981.32] 电信网路我们只有跟Nokia
[1981.84-1986.20] Nokia不是那个做手机的Nokia是全球最大的电信网路公司
[1986.44-1988.24] 各位所用的5G
[1988.76-1990.04] 甚至未来的6G
[1990.34-1991.88] 几乎都是他们
[1992.12-1994.18] 以台湾来讲是他们的
[1994.44-1995.96] 基站他们的
[1996.22-1997.76] OTN光纤
[1998.28-2000.84] 各式各样的设备还包含我们的G-Bone
[2001.08-2002.36] 就是接到各位
[2002.62-2004.68] 家里或者企业这些
[2004.92-2007.24] 光纤的数据专线都是Nokia的
[2007.48-2008.00] 许多
[2010.30-2010.82] 好
[2011.32-2013.88] 那安全刚提到过蛮多的Crossfax
[2014.66-2017.48] C6等等我就不逐一说明
[2019.52-2020.04] 好
[2020.34-2022.38] 对不起
[2023.40-2024.68] 接下来我把这个
[2024.94-2029.30] 交给于副理来跟各位报告一下跟财报相关的
[2036.20-2038.00] 大家好我是于俊祺
[2038.52-2040.82] 跟大家报告一下我的财报
[2042.36-2049.52] 这边是资产负债表我们来看一下资产负债表就是最主要增加的是存货
[2049.78-2051.06] 那我们存货
[2051.32-2054.90] 从41%增加到43%那金额是蛮大的
[2055.40-2057.20] 主要是因为我们的
[2057.46-2060.02] 在手订单也变多了然后
[2060.28-2066.92] 存货大概95%以上都是有订单然后我们才会去跟我们的Supplier下单
[2067.18-2068.46] 然后放在存货里面
[2068.98-2071.54] 然后再来我们看流动负债这边
[2071.80-2072.56] 从
[2073.08-2076.92] Q4的51%变成59%那金额也是多了
[2077.42-2078.20] 多了5亿喔
[2078.44-2079.48] 那主要其实
[2079.78-2081.06] 是因为我们的
[2081.32-2083.88] 鼓励就是在2月通过
[2084.64-2085.66] 董事会以后
[2086.68-2090.78] 那他都会提个那个应付鼓励那就是放在其他
[2091.04-2094.12] 其他应付款里面那就会造成这个流动负债
[2094.36-2094.88] 增加
[2097.96-2099.24] 我们接下来看
[2099.48-2101.02] 我们的损益表
[2101.28-2104.10] 我们看一下我们的营收低季
[2104.36-2105.88] 已经是20亿了
[2106.40-2108.70] 那等一下后面有个季的比较
[2108.96-2109.48] 那再来看
[2109.78-2113.88] 毛利一样维持毛利率一样维持在大概25%左右
[2114.38-2116.94] 最后看一下税前EPS
[2117.20-2118.48] 税后EPS
[2118.74-2119.76] 第一季是
[2120.02-2123.34] 2.24那是为近几年的单季新高
[2125.14-2126.42] 来看一下各项
[2127.44-2129.24] 本金表上面的数字的
[2129.48-2130.26] 各季比较
[2130.76-2136.40] 那营收是20亿那已经比去年Q1已经多了
[2137.16-2138.20] 多了3亿
[2138.20-2144.34] 那比去年Q4少一点那因为每一年的Q4基本上是我们的营收
[2144.60-2146.40] 最高的季
[2146.64-2147.16] 所以
[2147.68-2148.70] Q1少一点
[2148.96-2149.46] 蛮正常的
[2151.00-2154.84] 再看一下毛利率毛利率一样维持大概在25%左右
[2156.64-2159.96] 再看营业费用营业费用维持在
[2160.22-2163.28] 营业费用大概12%左右
[2163.80-2166.36] 所以我们的营业利益大概在
[2166.88-2167.90] 2亿6
[2168.20-2172.80] 营业利益在12.7%
[2173.06-2174.08] 那一样是
[2174.34-2176.64] 差不多就是这个range里面
[2177.16-2179.46] 再来看税后净利税后净利是
[2179.98-2181.76] 2亿3
[2182.28-2188.42] 那也是近年新高那就是呼应那个EPS是最高单季最高
[2188.68-2191.50] 那税后净利率是11.5%
[2193.28-2196.10] 那我们看EPS EPS 2.24
[2198.20-2204.34] 那看营收净额营收净额是20亿那去年一整年是75亿那我们
[2204.60-2206.14] 今年第一季已经有20亿
[2206.64-2208.44] 那已经是比去
[2208.70-2211.26] 算起来应该平均起来是比去年好了
[2211.52-2213.04] 希望今年一整年的
[2213.30-2214.58] 营收是可以
[2215.10-2215.86] 有成长
[2217.92-2223.80] 再来我们看美股盈余2.24我刚刚说已经是单季最高那因为我们股本都没有改变
[2224.06-2224.56] 所以
[2224.82-2225.60] 这个我们
[2225.84-2226.36] 今年
[2226.88-2227.90] 努力
[2228.20-2229.48] 希望可以成长
[2231.02-2235.62] 再来看这个在手订单在手订单今年第一季
[2236.14-2241.00] 在手订单现在是74.8亿在手订单那其中有
[2241.26-2245.86] 70.76%会在今年预计会在今年完成
[2246.38-2249.44] 就是旅行义务然后转成营业收入
[2252.00-2257.64] 再来我们看看产品别的营收产品别我们咨询维修服务占了28%
[2257.64-2261.48] 储存设备占了20%网路产品占了19%
[2262.00-2268.14] 电脑软体16%工作战机伺服器主机有13%那电脑周边4%
[2269.42-2271.20] 看看跟各级的比较
[2271.98-2276.58] 我们的咨询维修服务有稍微减少一点
[2276.84-2279.66] 那其实主要是因为我们有一个产品
[2280.16-2282.48] 以前他是订阅制那我们
[2282.72-2284.26] 以前把它归类在就是
[2284.78-2286.56] 续约的话就放在咨询维修
[2286.82-2287.60] 但我们现在因为
[2287.90-2289.44] 订阅制有要求就是把
[2289.94-2291.48] 余率都把它归成电脑软体
[2292.24-2294.04] 所以有一个重分类的
[2294.80-2297.36] 重分类所以导致说Q1的
[2297.62-2299.92] 那个咨询维修服务有下降一点点
[2301.20-2306.58] 那在储存设备增加主要是因为有客户有一些大单
[2306.84-2309.66] 有一些大客户在买储存设备
[2310.94-2311.96] 再来是
[2312.48-2314.78] 网路产品19%
[2315.28-2317.60] 那其实是维持差不多18%19%
[2317.90-2318.40] 左右
[2318.92-2319.68] 那软体
[2320.20-2321.74] 电脑软体有少一点
[2322.00-2323.02] 16%
[2323.28-2324.30] 在工作
[2324.56-2326.86] 工作站及伺服器有增加一些
[2327.36-2328.40] 增为13%
[2330.44-2333.00] 大家看看各产品别的数值
[2333.26-2334.54] 那我们其实看到
[2335.30-2337.86] 今年成长最多那是储存设备
[2338.12-2341.70] 然后跟工作站跟伺服器
[2344.26-2345.80] 那我们来看一下产业别
[2346.56-2347.34] 产业别
[2347.34-2350.42] 电子相关含半导体产业有46%
[2350.66-2352.98] 政府教育单位14%
[2353.74-2355.28] 电信业12%
[2356.04-2360.40] 交通与传统制造业8%金融保险业8%
[2360.66-2363.98] 生技医疗类6%其他6%是其他产业
[2364.74-2366.80] 看一下各级的比较其实
[2367.30-2369.36] 每一个
[2369.86-2374.48] 产业大概都在政府1到2%之间所以没有
[2374.74-2375.24] 并没有
[2375.76-2377.30] 特别多特别少
[2377.60-2378.36] 那电子
[2378.62-2380.92] 电子相关产业一样是维持在40几%
[2381.18-2381.70] 就是
[2381.94-2382.98] 表现的蛮好的
[2384.26-2385.28] 再来看看区
[2386.04-2386.82] 地区别
[2387.06-2391.16] 那我们台湾的地方的营收已经增加到98.5%
[2391.42-2392.18] 那中国大陆
[2392.44-2393.98] 剩下1%已经变得
[2394.24-2395.26] 很少了
[2396.80-2399.62] 再看看近三年各季营收状况
[2400.12-2402.18] 那本季就是
[2402.42-2404.74] 除了去年Q之以外
[2404.98-2405.50] 单季次高
[2405.76-2406.52] 仅次于去年Q之以外
[2407.60-2408.88] 那
[2409.38-2413.22] 产品销售占72%劳务提供占28%
[2414.00-2415.02] 以上
[2417.06-2418.10] 再来开放
[2418.34-2419.12] 问问题
[2421.16-2424.74] 谢谢黄副总跟于副理的简报说明
[2425.00-2428.08] 那接下来我们就进行问与答的交流时间
[2428.34-2432.42] 欢迎线上的客户可以直接打开麦克风提问
[2432.68-2437.30] 那也可以用文字及问的方式把你的问题留置聊天室
[2437.60-2439.64] 欢迎大家提问
[2444.00-2445.02] 你好
[2445.28-2447.06] 我是元大的研究员
[2448.34-2449.38] 方便提问吗
[2449.62-2451.16] 你好方便麻烦
[2451.68-2452.44] 你好
[2452.70-2455.52] 我想问一下就是关于储存设备
[2455.78-2459.62] 这个我们第一季看到很强劲的成长那可以再
[2459.86-2462.42] 帮我们详细的介绍一下是哪一些
[2462.68-2465.24] 客户啊或是说是什么样的应用
[2465.50-2467.30] 导致这个需求增加
[2467.60-2472.98] 以及我们预计在今年的第2、3、4季能不能有相关的延续性
[2473.22-2473.74] 谢谢
[2476.82-2479.88] 基本上客户名称我就不告诉你
[2480.66-2485.52] 他们现在这些利用现在这些公司他们其实有蛮多
[2486.28-2487.06] 因应
[2487.30-2490.38] 我们新的这些解决方案就是比如说以AI为主
[2491.40-2494.98] 以AI为主的东西呢他需要有大量的资料
[2495.50-2496.02] 做训练
[2497.54-2503.74] 他也需要在储存设备做额外的投资否则按照常理来看我们过往大概这个部分是蛮平均的
[2504.00-2505.28] 不会突然之间会
[2505.78-2506.56] 升这么多
[2506.82-2510.40] 那这些是增加的原因是跟新的应用比较有关
[2511.94-2512.44] 回答你
[2516.80-2522.42] 谢谢那再想确认一下因为我们看到
[2522.68-2525.24] 现在第一季的在手订单跟
[2525.76-2527.30] 去年第4季大概是
[2527.60-2530.42] 维持吗那其中这个储存设备
[2530.66-2532.20] 占比还是很大吗
[2533.74-2536.04] 我们在手订单没有去统计
[2536.30-2537.58] 对我们不会统计这个
[2538.34-2539.38] 我还有好多没进来的
[2540.14-2541.68] 就说生意一样继续在做
[2542.96-2546.28] 大概是这个样子所以我不知道您的问题是要
[2546.80-2549.86] 还是跟储存这个产品有关吗
[2550.90-2557.04] 是就是想看说在今年的剩余的季度在这方面是不是可以维持一个
[2557.60-2561.18] 这个没有办法没有办法回答
[2564.50-2565.54] 了解谢谢
[2565.78-2568.10] 在手订单只有去统计案子的
[2568.60-2569.38] 就是
[2570.14-2571.42] 金额但没有
[2572.18-2576.02] 没有细分到说因为他还没打单我们就没有去统计他的
[2578.08-2582.42] 目前看起来我看起来就我看到的应该是还是不错
[2582.68-2585.76] 因为还有一些案子我知道在进行中也可能
[2586.26-2587.04] 就将取得的案子
[2587.34-2590.66] 也包含不少跟储存相关的设备
[2591.18-2594.26] 但是这个对我们来讲他就是
[2596.04-2597.06] business as usual
[2597.58-2603.72] 并非特别我刚刚提到说他储存设备之所以会变成数量比较多
[2603.98-2605.52] 主要这个drivers ai
[2606.02-2606.80] 新的应用
[2609.10-2610.64] OK了解谢谢
[2611.14-2611.66] 谢谢
[2617.34-2622.72] ,请问一下
[2624.50-2625.54] Hello
[2626.04-2628.10] 我想请教一下就是
[2628.34-2630.66] 我可以看一下就是我们在这个
[2630.90-2637.06] 业别那边啊其实可以看到就是那个电子业还是非常不错但是电信业的部分
[2637.30-2638.58] 成长性非常的大
[2638.84-2644.98] 那单季的这个营收的这个金额来讲话我想要请教的就是因为电子在电信业这边的话
[2645.24-2646.52] 2024年
[2646.52-2650.36] 2024年事实上是衰退的嘛从大概
[2650.62-2654.20] 不到11个亿跳到掉到只有8个亿左右
[2654.46-2659.58] 像这样子数字那今年第一季就还不错了我想问一下他有没有续航力
[2659.84-2662.14] 那这就是第一个问题第二个问题就是
[2662.40-2664.70] 当然就是想要请教就是
[2664.96-2668.02] 资本支出还是跟我们有相相对的有一个
[2668.28-2669.04] 一个相关性
[2669.30-2671.10] 但是您是不是可以看到就是说
[2671.36-2676.48] 一本资本支出是是很大相关但是因为AI的这个应用的关系
[2676.78-2680.10] 所以您会看到的一个台湾的这整个的状况来讲的话
[2680.36-2683.18] 是大概是整个来看的话是不是一个
[2683.44-2686.24] 还不错的一个情况不会受到一个
[2686.50-2690.08] 这跟景气的相关性的影响会比较小这是先这两个问题
[2690.34-2690.86] 谢谢
[2692.90-2695.98] 中华电信这个事情我待会回第二个
[2696.48-2702.64] 第二个其实我觉得这个外在的因素是蛮多的我想各位在投资这个领域应该是更敏感
[2703.92-2705.96] 我们现在目前看到的就是说
[2706.78-2707.54] 本来是
[2708.06-2709.08] 到目前为止
[2709.34-2713.44] 我们听到了跟我们的客户跟我们的业务反应回来就是
[2713.68-2716.00] 在AI这个议题上面真的是
[2716.24-2717.28] 发光发热
[2717.78-2720.60] 那我们能够提供的解决方案也蛮多元的
[2721.36-2726.48] 所以我们也拿到不少的案子客户现在开始愿意投资因为进入门槛没这么高
[2726.74-2728.80] 可以先做一个小的再来做大的
[2729.30-2731.10] 跟过往是完全不太一样
[2731.60-2734.94] 所以这件事情如果没有我们现在看到一些
[2735.20-2736.22] 地缘政治
[2736.52-2737.28] 或者是
[2737.54-2739.08] 一些霸凌
[2739.34-2741.38] 这个国家霸凌的这种状况
[2741.64-2742.92] 基本上他是大好
[2743.68-2744.96] 尤其是我们这个产业是
[2745.22-2746.00] 真的是大好
[2746.50-2748.04] 您可以看看就是说
[2748.30-2750.08] 不要说只有敦阳科
[2750.34-2753.68] 去年其实在IT这个产业大家做的都不差
[2754.18-2755.20] 都不算差
[2755.72-2756.74] 这是主要的原因
[2757.00-2758.02] 这是您的第2个问题
[2758.54-2761.10] 那第1个问题是中华电信
[2761.36-2764.68] 电信业成长主要是因为有一个客户
[2764.94-2766.48] 中华电信企业客户
[2766.78-2767.54] 等于是他
[2767.80-2769.34] 中华电信去外面
[2769.84-2770.36] 接案子
[2770.62-2772.66] 然后他帮人家做
[2772.92-2773.68] 整个
[2774.46-2775.48] 算整个案子他把
[2775.74-2778.56] 部分的东西包给我们他们做不到的东西
[2779.58-2782.40] 就是中华电信他们的那个
[2782.90-2784.18] 这个叫做
[2785.46-2787.76] 关系是客户关系
[2788.02-2792.88] 他们跟一些产业比如说跟工部门他们的那个关系是非常不错
[2793.40-2795.20] 那其实很多大型的标案
[2795.44-2796.48] 大概都会是
[2796.78-2797.80] 中华电信有
[2798.06-2799.34] 极高的几率会
[2799.84-2800.62] 拿到那个标
[2801.12-2803.68] 那他拿到这个标之后他会再开小标
[2803.94-2806.24] 那这个case就是他们拿到一个大标
[2806.50-2809.06] 他在开小标那我们跟他也是长期配合
[2809.32-2812.40] 我们不但是他的客户我们也是他的partner
[2813.16-2815.20] 然后我们也有可能是他的supplier
[2815.46-2816.48] 所以我们这三个都有
[2817.52-2818.54] 不知道我能不能回答你的问题
[2820.58-2824.42] 对有部分回答那因为我想要只要问的就是
[2824.68-2826.48] 这个续航力会是怎么样
[2826.78-2830.62] 那这个那然后这就是我们电子也还是成长性还是相当的好
[2830.88-2832.16] 那刚有提到就是
[2832.40-2836.00] 我们今年的那个就是在手订单看起来还是在
[2836.24-2837.28] 在网上
[2837.52-2840.34] 提高吗那因为不方便讲哪一个部分
[2840.60-2844.44] 但是我看到电脑软体的部分其实这几年的成长性都不错
[2844.70-2846.48] 那第一季有yoy小小的
[2846.74-2847.26] 下降
[2847.52-2849.82] 那我可以期待说这只是一个heat cup
[2850.08-2852.12] 那今年来讲还是会持续成长吗
[2856.52-2861.12] 那个先针对电信业那个续航力
[2861.38-2862.66] 电脑软体的部分
[2863.44-2864.96] 先回答那个
[2865.48-2869.32] 电信业的客户有没有续航力他因为他这个
[2869.58-2872.14] 标其实是一千是千很多年的
[2872.40-2875.20] 对就是有的案子是一千是千好几年的
[2875.46-2876.24] 四年五年的
[2876.48-2877.52] 所以我相信
[2877.76-2881.10] 未来跟中华电信这样子的配合应该还是
[2881.36-2882.38] 很有机会的
[2882.88-2886.22] 我们任何一个电信电信公司的单都是
[2886.52-2890.10] 不太可能是一个一个年这一个季度就完成
[2890.36-2890.88] 都是好几年
[2891.90-2894.72] 比如说他要建构他整个全省的这个
[2894.96-2897.02] OTN网络去架构5G
[2897.28-2901.88] 那5G做完之后他去增加了渗透率他会有一些小型的危机站
[2902.40-2907.26] 这个相对应的这种G-Bone这种网络要建构这个都是要好几年
[2908.02-2908.54] 那
[2908.80-2911.36] 这个是续航力的问题他持续在发生
[2912.38-2914.68] 那再来电脑软体
[2915.70-2916.48] 比较少
[2916.78-2917.80] 这件事情我
[2918.06-2919.08] 我自己的
[2919.34-2921.64] 看法我觉得是因为
[2922.40-2923.94] 越有的
[2924.20-2924.96] 那个
[2925.48-2926.50] 公司啊他
[2926.76-2927.78] 可能出存设备
[2928.30-2929.32] 买多一点
[2930.34-2932.40] 他的其他的会减少一点
[2932.64-2933.68] 因为看起来是
[2933.92-2935.46] 差不多的客户在
[2935.98-2937.52] 做这个增进
[2937.76-2940.84] 就是有overlap就对了所以他整个的budget来讲的话
[2941.10-2942.88] 可能在这边也做一些挪移
[2943.14-2946.22] OK但是电脑那我不好意思请教一下就是
[2946.52-2947.04] 如果
[2947.28-2949.34] 可以方便讲一下那Gross Margin因为
[2949.60-2955.74] 我们的每个月都会有公布就很棒吗都会有公布获利有在营业力尤其在本业利益我们也有公布
[2956.00-2959.84] 可是会对应那个营收状况来讲其实还是有up and down就是
[2960.08-2962.14] 看起来营收多不代表margin会好
[2962.40-2963.92] 那可以方便讲一下就是
[2964.18-2970.32] 从业别来讲还是用从服务项目来讲话是哪一些可以讲个排序吗就是given
[2970.58-2972.88] 一个average比如说我们的Gross Margin
[2973.14-2974.94] 你认为是比较长线来讲的话
[2975.20-2976.48] 比较稳定来讲是
[2976.78-2979.08] 24% 25%还是23%
[2979.34-2982.66] given一个水准来看的话可不可以给一下这个的排序
[2984.96-2986.00] 很难因为
[2986.24-2991.88] 我们公司的状况是一个case一个case去谈这个毛利
[2992.14-2992.64] 那
[2993.16-2995.72] 案子大对方的那个
[2996.74-3000.08] 谈判力就会高一点那他们毛利可能差一点
[3000.32-3003.14] 那案子小可能毛利我们可以抓的大一点
[3003.40-3006.48] 那因为每一季每一个每一季的营收组
[3006.78-3007.28] 成
[3007.54-3009.34] 没有办法确定是
[3009.60-3011.64] 大或小
[3011.90-3012.92] 没问题没问题
[3013.68-3019.84] 他其实只能说一个reg就是大概20几25左右都算是很正常的毛利率表现
[3022.14-3024.18] 25%左右应该是正常的毛利率表现
[3024.44-3028.54] 那不好意思电信业像这样子的一个标案假定我们今年会回复到一个
[3028.80-3034.94] 比较好比如一年大概有10个亿以上的一个数字的话像这样子他会拖会摘到我们的Gross Margin吗
[3035.20-3036.48] 对
[3036.78-3040.36] 可以预期是有可能的
[3040.88-3044.46] 通常电信这种大的单子他的Gross Margin是比较低的
[3045.22-3049.58] 那政府单位因为看政府单位今年第一季也是状况很不错
[3049.84-3055.46] 那这样这个话是不是也可以就说他们的比较差一点点
[3056.48-3057.26] 就是Margin
[3060.08-3061.86] 没有办法针对就是
[3062.38-3065.20] 好那就没关系没关系好
[3065.44-3066.48] 那不好意思
[3066.78-3068.06] 我问最后一个问题就让别人问
[3068.32-3072.40] 我们通常第一季我们历年下来看起来都第一季是最低
[3072.66-3074.20] 那营收是最低的
[3074.46-3078.56] 那我还是可以在今年来看的话也可以用过去的因为我们家其实都蛮稳定的
[3078.80-3081.88] 我也可以用过去的pattern来去思考今年的一个状况吗
[3083.68-3087.52] 我觉得不太行因为每一季会认定哪些案子
[3087.76-3090.08] 其实是不是很固定的
[3090.32-3092.64] 他其实就是案子做完了我们就认定
[3093.40-3093.92] 那
[3094.16-3095.96] 以往第一季比较低
[3095.96-3099.80] 有可能是因为很多案子在第四季的时候就结案
[3100.06-3103.12] 但是今年看起来我不觉得是
[3103.90-3104.66] 是这个样子
[3105.68-3112.08] 我们看到了业务在执行跟工程部在执行的pattern跟去年不太一样
[3113.36-3115.42] 所以大概是什么样
[3115.68-3119.52] 第四季通常会是最高是有可能在年底大家再改案
[3119.76-3123.36] 但是一到三季其实没有一个固定的pattern说
