[0.48-2.48] 各位會員 各位會員 大家午安
[2.48-5.00] 今天非常榮幸能夠協助國安先生
[1651.76-1654.76] 然後賺合理的利潤
[1654.76-1656.76] 其實我們也希望就是說
[1656.76-1658.76] 房價是很輕盈的
[1658.76-1660.76] 然後大家能賺得起
[1660.76-1662.76] 那當然是最好
[1662.76-1667.76] 但事實上整個經營條件等等
[1667.76-1668.76] 就不是這個樣子
[1668.76-1670.76] 那這些經營條件
[1670.76-1672.76] 並不是我們造成的
[1672.76-1674.76] 但是它就是事實
[1674.76-1676.76] 它就是現實
[1676.76-1677.76] 所以基本上就是說
[1677.76-1678.76] 就我剛剛講的
[1678.76-1681.76] 就是說在這種條件情況之下
[1681.76-1684.76] 其實如果有制度需求
[1684.76-1687.76] 有制度的抗性需求
[1687.76-1692.76] 其實它還是會有的
[1692.76-1695.76] 那比如說最近
[1695.76-1698.76] 這幾年那種總價的市場
[1698.76-1699.76] 才更突顯
[1699.76-1702.76] 其實總價市場其實這個在100
[1702.76-1704.76] 其實很早
[1704.76-1706.76] 其實總價這個因素
[1706.76-1707.76] 因素越來越小
[1707.76-1709.76] 事實上是從大概100
[1709.76-1712.76] 我的印象應該從103、104
[1712.76-1714.76] 那個時候就慢慢開始
[1714.76-1719.76] 這個品數就是越來越小
[1719.76-1721.76] 那一直到最近
[1721.76-1725.76] 因為單價漲得很快速
[1725.76-1728.76] 所以這個品數就可能就
[1728.76-1731.76] 各位就更敏感
[1731.76-1733.76] 那我想基本上
[1733.76-1738.76] 總價市場如果有那個需求在
[1738.76-1739.76] 不論我剛剛講的
[1739.76-1740.76] 是制度需求也好
[1740.76-1742.76] 或是自身的需求
[1742.76-1744.76] 或是說所謂的保值
[1744.76-1747.76] 如果有風風雨雨的情況之下
[1747.76-1750.76] 我想這個市場它還是會存在
[1750.76-1753.76] 那如果它的經營上是比較艱困
[1753.76-1756.76] 那接下來就是個案流線
[1756.76-1758.76] 那公司的品牌
[1758.76-1759.76] 我想在這個時候
[1759.76-1763.76] 就會變得更突顯出來
[1763.76-1765.76] 所以也是基於這個因素
[1765.76-1766.76] 所以基於這個因素
[1766.76-1768.76] 所以我最後剛剛
[1768.76-1769.76] 補充說明的結語就是說
[1769.76-1771.76] 事實上各位應該給公司
[1771.76-1772.76] 更大的信心
[1772.76-1773.76] 對於這個因素
[1773.76-1775.76] 就是說即使經營的條件
[1775.76-1781.76] 經營環境不是那麼如意的情況之下
[1781.76-1783.76] 其實我們公司還是有辦法
[1783.76-1786.76] 在這一部分相對的
[1786.76-1787.76] 提出
[1791.76-1792.76] 希望有關於問到
[1792.76-1794.76] 那個配奧維修的部分
[1794.76-1797.76] 那基本上我們其實是沒有什麼
[1797.76-1799.76] 特殊的考量
[1799.76-1802.76] 那也是配奧維修最後也是要董事會通過
[1802.76-1806.76] 所以也是要我們事業份董事會通過之後才會知道
[1806.76-1807.76] 但是我們應該
[1807.76-1811.76] 因為有一些建商其實已經有一些公布了
[1811.76-1815.76] 那我想我們應該沒有那些特殊的考量
[1815.76-1817.76] 我只能這樣回答你
[1817.76-1819.76] 就是有一些建商
[1819.76-1821.76] 就是好像賺蠻多的
[1821.76-1823.76] 最後好像配蠻少的
[1823.76-1824.76] 對好像有這樣的狀況
[1824.76-1826.76] 然後市場有一些賴
[1826.76-1829.76] 那因為其實坦白說
[1829.76-1832.76] 其實不動產業以建設來說
[1832.76-1834.76] 我知道大部分的股民
[1834.76-1837.76] 大概都是期待就是綠燈
[1837.76-1841.76] 那我們基本上我們大概沒有什麼其他
[1841.76-1843.76] 已經公布有些建商比較奇怪的
[1843.76-1845.76] 那些特殊的考量
[1845.76-1847.76] 目前看起來是沒有
[1847.76-1851.76] 但是我們還是要經過董事會最後的決定
[1851.76-1853.76] 就這樣對你補充說明
[1853.76-1855.76] 你好我想請問
[1855.76-1860.76] 那個就是自建跟地主合建這兩個方式
[1860.76-1862.76] 對於網易有什麼影響
[1862.76-1864.76] 然後就是公司怎麼看
[1864.76-1866.76] 怎麼調控怎麼進行
[1866.76-1870.76] 其實自建跟合建是基本上
[1870.76-1873.76] 毛利沒有特點的差異
[1873.76-1876.76] 那唯一大概就是合建在
[1876.76-1878.76] 這個支出的這一塊
[1878.76-1880.76] 就是你不用分擔一個成本
[1880.76-1884.76] 所以它在成本的支出上
[1884.76-1886.76] 是會比較
[1886.76-1888.76] floating會比較輕一點點
[1888.76-1892.76] 那其實它其實
[1892.76-1894.76] 我們抓的毛利
[1894.76-1896.76] 事實上是跟時間有關係
[1896.76-1897.76] 整個開發時間
[1897.76-1898.76] 開發時間長
[1898.76-1901.76] 毛利就會預期高一點點
[1901.76-1903.76] 那它開發時間短的話
[1903.76-1907.76] 毛利就會相對低一點
[1907.76-1910.76] 我想公司對毛利的定義是
[1910.76-1912.76] 這個有一個折扣
[1912.76-1915.76] 好我想請教一下
[1915.76-1920.76] 我們在南港的悠揚跟悠閒這兩個案子
[1920.76-1921.76] 我們算是字體之間嗎
[1922.76-1925.76] 還是我們是否有持有土地
[1925.76-1926.76] 那如果有的話
[1926.76-1930.76] 請問是在土地面積大概是多少
[1930.76-1932.76] 然後是在什麼時候取得的
[1932.76-1933.76] 謝謝
[1935.76-1938.76] 悠揚跟悠閒它是獨根案
[1938.76-1941.76] 那悠揚我後面
[1941.76-1943.76] 當初是跟地主合建
[1943.76-1946.76] 然後後面的確是有一個土地
[1946.76-1948.76] 我現在手頭上沒有
[1948.76-1951.76] 會後再提出給你
[1951.76-1953.76] 那悠閒也是一樣
[1953.76-1955.76] 悠閒我們中間有一個
[1955.76-1956.76] 當初的施設道路
[1956.76-1959.76] 那個施設道路事實上是建地
[1959.76-1961.76] 那個也算是有庫門
[1961.76-1963.76] 是自由的
[1963.76-1964.76] 請問要不要來出現
[1964.76-1969.76] 土地取得是不是
[1969.76-1972.76] 那個很早
[1972.76-1975.76] 那個民國69年的開發案
[1975.76-1976.76] 對
[1976.76-1977.76] 好
[1977.76-1978.76] 謝謝
[1981.76-1982.76] OK
[1982.76-1986.76] 歡迎
[1986.76-1987.76] 好的
[1987.76-1988.76] 想請4分鐘
[1988.76-1990.76] 好
[1993.76-1995.76] Sunny 香
[1995.76-1997.76] 能能
[1997.76-2000.76] 對
[2000.76-2001.76] 這個
[2001.76-2002.76] 我真的
[2002.76-2006.76] 有太 asshole
[2006.76-2007.76] 記憶
[2007.76-2009.76] axe
[2009.76-2010.76] election
[2010.76-2015.36] 會怎麼看待 比如說土地儲備量會在未來的一兩年
[2015.36-2019.36] 會穩定到610億的整個水位
[2019.36-2023.44] 還是說會怎麼看待未來的一兩年房市的漲況
[2023.44-2024.44] 更之一
[2024.44-2027.64] 其實我們土地儲備量
[2027.64-2029.64] 事實上都還蠻穩定的
[2029.64-2031.64] 各位可以看我們這幾年
[2031.64-2033.64] 大概是510億 610億
[2033.64-2035.64] 然後上下
[2035.64-2037.64] 我不曉得你提這個問題
[2037.64-2043.14] 但是有看到最近《一期金週刊》的報導還是怎麼樣
[2043.14-2045.64] 最近《一期金週刊》的報導好像有提到
[2045.64-2049.64] 就是說提到好像有一些同業
[2049.64-2052.64] 好像對於土地的庫存
[2052.64-2057.64] 好像有期望它要降低的狀況
[2057.64-2059.64] 但事實上我看了那份報導之後
[2059.64-2063.64] 我有稍微看一下我們公司的狀況
[2063.64-2066.64] 事實上公司是沒有這麼這樣的考量
[2066.64-2067.64] 所以基本上
[2067.64-2069.64] 大概不論是推案也好
[2069.64-2071.64] 或是土地庫存也好
[2071.64-2077.64] 其實我們都是一個比較穩定的步調在進行
[2077.64-2079.64] 那穩定的步調大概基本上
[2079.64-2081.64] 其實還是那個概念
[2081.64-2085.64] 就是說其實這個市場都還一直存在
[2085.64-2088.64] 那早幾年前那個社會問題
[2088.64-2089.64] 就是說市場在哪裡
[2089.64-2091.64] 國內都在哪裡
[2091.64-2095.64] 所以基本上我們會盡量去掌握
[2095.64-2096.64] 它整個需求的問題
[2096.64-2097.64] 所以基本上我們會盡量去掌握它整個需求的問題
[2097.64-2101.64] 那如果這些掌握得很好的時候
[2101.64-2108.64] 其實因為房地市場它不能稱為所謂大眾市場
[2108.64-2113.64] 其實你看那個一年才推出幾個案子
[2113.64-2115.64] 那我們公司來講
[2115.64-2118.64] 比如說一年幾千個客戶而已
[2118.64-2122.64] 那其實台灣這麼大
[2122.64-2125.64] 其實幾千個客戶其實你只要很清楚
[2125.64-2126.64] 通過到它的需求來講
[2126.64-2128.64] 其實要掌握這幾千個客戶
[2128.64-2129.64] 其實要掌握這幾千個客戶
[2129.64-2130.64] 事實上是不難的
[2130.64-2132.64] 它不是一般大眾的
[2132.64-2133.64] 比如說不是衣服
[2133.64-2134.64] 不是手錶
[2134.64-2136.64] 那個都是
[2136.64-2139.64] 單位都是一萬計的
[2139.64-2143.64] 事實上那個房地產不是這個樣子
[2143.64-2146.64] 所以我們只要清楚的掌握它的脈動
[2146.64-2152.64] 事實上沒有什麼說這個市場快消失了
[2152.64-2153.64] 或者怎麼樣
[2153.64-2155.64] 比其他不好或者怎麼樣
[2156.64-2161.64] 我想基本上就是這樣子一個態度跟理解
[2186.64-2196.64] 謝謝各位的參與
[2196.64-2198.64] 法人蜂鳴會到此結束
[2198.64-2200.64] 先次感謝大家的參與
[2200.64-2202.64] 請祝各位身體健康
[2202.64-2203.64] 投資順利
[2203.64-2206.64] 謝謝各位
