[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-34.08] 杨明海运股份有限公司法人说明会
[2181.44-2181.54] 如果 releast reduction
[2181.54-2181.58] 苍uses
[2181.58-2181.66] 苍uses
[2181.66-2181.70] 苍uses
[2181.70-2181.92] 苍uses
[2181.92-2181.96] 苍uses
[2181.96-2182.26] 苍uses
[2182.26-2182.28] 苍uses
[2182.28-2182.46] 苍uses
[2182.46-2186.60] 這個題目 當然關稅提高來說的話
[2186.60-2189.60] 當然會對經濟造成一定的一個影響
[2189.60-2190.96] 美國那邊的需求
[2190.96-2194.26] 當然負相關多少
[2194.26-2197.36] 這我們公司沒辦法去做一個預測
[2197.36-2199.40] 不過我剛才還是提到
[2199.40-2203.82] 就是說美國製造可能短期之內沒有辦法實現
[2203.82-2208.36] 它還是必須要從其他國家其他地方做一個購買
[2208.36-2212.30] 所以貨載製造地的轉移
[2212.30-2219.40] 可能是關稅實施之後初期
[2219.40-2224.44] 初期就是短期會產生的一個狀況
[2224.44-2229.30] 需求來說的部分來說的話
[2229.30-2234.44] 這必須要等實施細節出來之後才能做一個評估和判斷
[2234.44-2234.90] 謝謝
[2234.90-2238.40] 謝謝
[2238.40-2240.10] 下一個問題
[2240.10-2242.04] 想請問塞港
[2242.04-2246.84] 天數航班準確率以及平均船速為何
[2246.84-2247.34] 謝謝
[2247.34-2258.74] 這個部分可能要更具體的提出是哪一些港口的塞港
[2258.74-2264.58] 以目前我們所觀察到的在亞洲的港口
[2264.58-2267.26] 上海 寧波 炎田 蛇口 新加坡
[2267.26-2271.58] 大概都有兩到三天不等的塞港
[2272.04-2278.54] 加拿大港口目前的情況塞港的情況可能會稍微長一點
[2278.54-2280.54] 大約是一週左右
[2280.54-2283.54] 歐洲的港口也差不多是這一個時間
[2283.54-2290.54] 船期的準確率一般來講我們都是參考C-intelligence的一個report
[2290.54-2293.54] 最近一起的報告也出來了
[2293.54-2300.04] 可能各大聯盟在航線始發港的船級準確率都有一些提升
[2300.04-2301.24] 至於一個網絡的情況來講的話呢
[2301.24-2301.44] 我們也有一個很大的研究的資料來講的話呢
[2301.44-2301.64] 我們也有一個很大的研究的資料來講的話呢
[2301.64-2301.74] 我們也有一個很大的研究的資料來講的話呢
[2301.74-2331.44] 我們也有一個完整的 它有許多地板 Rfunction
[2331.44-2331.54] 我們有許多地板 R chair
[2331.54-2333.16] 西洋跨太平洋
[2333.16-2335.48] 欧洲线的视战为何
[2335.48-2337.36] 跟以前的联盟
[2337.36-2338.76] 相比有什么差异
[2338.76-2347.02] 我这边再补充一下
[2347.02-2348.50] 就是我们
[2348.50-2351.08] 透过这一次的一个改组
[2351.08-2353.24] 由原本THEA改为
[2353.24-2354.06] Premium Alliance
[2354.06-2356.94] 那基本上我们在航线
[2356.94-2358.78] 始发的一个频率上面
[2358.78-2360.46] 并没有少于原本
[2360.46-2363.06] THEA的一个架构
[2363.06-2364.56] 那这个是
[2364.56-2365.96] 美国线的一个部分
[2365.96-2369.02] 那欧洲线跟地中海线的一个部分
[2369.02-2370.66] 透过跟这个
[2370.66-2372.40] MSC的一个换仓
[2372.40-2374.62] 我们相较于
[2374.62-2375.88] 以往的一个架构
[2375.88-2377.90] 在频率上面也是增加了
[2377.90-2380.38] 那大西洋线的一个部分
[2380.38-2382.56] 因为阳明在这上面的一个规模
[2382.56-2383.58] 是相对较小
[2390.46-2392.58] 好 谢谢
[2392.58-2394.56] 下一个问题
[2394.56-2397.62] 请问公司是否可以分享
[2397.62-2400.96] 2025到2029
[2400.96-2405.96] 年度折旧规划的想法
[2405.96-2409.86] 例如维持于2024年一样
[2409.86-2412.30] 或是逐年增加或减少
[2412.30-2413.40] 谢谢
[2420.46-2428.62] 折旧应该没有变动太大
[2428.62-2430.54] 因为最近就是
[2430.54-2431.84] 还以往一般的
[2431.84-2433.30] 有一个转化的船
[2433.30-2434.34] 会不会可能
[2434.34-2436.90] 減转到 Theatre Cavern
[2436.90-2438.32] 这样的想法
[2438.32-2439.08] 情况是
[2439.08-2440.62] víá
[2440.62-2441.90] 帤比较小
[2441.90-2442.24] 这aman
[2442.24-2442.40] 来说
[2442.40-2442.76] 你就在一边
[2442.76-2443.50] 优秀对到
[2443.50-2444.44] 美国到erto
[2444.44-2445.64] 或美国到北�� me
[2445.64-2446.82] 若是在稻穆
[2446.82-2447.48] 委 entity
[2447.48-2448.94] 这是对 punches
[2448.94-2449.40] 我显示
[2449.40-2450.38] 这个ire
[2450.46-2452.54] 下定的交船的时间
[2452.54-2455.58] 大概都在比较后面的年度
[2455.58-2458.52] 所以投资人问的期间
[2458.52-2462.58] 折旧的变动可能会维持差不多
[2462.58-2464.24] 或是一点点增加
[2464.24-2465.66] 但是幅度不会很大
[2465.66-2471.74] 好 谢谢
[2471.74-2494.18] 好 那如果各位投资先进
[2494.18-2495.84] 没有其他问题的话
[2495.84-2499.66] 本次的法人说明会就到此结束
[2499.66-2501.58] 再次感谢杨明
[2501.58-2501.72] 提供了很多的内容
[2501.74-2503.30] 今天的分享与解答
[2503.30-2506.06] 也感谢各位投资先进的参加
[2506.06-2508.02] 敬祝各位身体健康
[2508.02-2508.96] 投资顺利
[2508.96-2509.38] 谢谢
