[0.00-5.00] 各位早安 各位委員會先進 大家好 大家午安
[5.00-10.00] 很高興今天大家來參加台南股市股份有限公司法人說明會
[1531.72-1532.72] 我不曉得他有沒有進入
[1532.72-1533.72] 參與那個設計
[1533.72-1535.72] 大樓設計
[1535.72-1537.72] 他其實
[1537.72-1539.72] 我們之前有談過了
[1539.72-1540.72] 那
[1540.72-1542.72] 他其實他一直想
[1542.72-1543.72] 往南部走
[1543.72-1544.72] 也需要
[1544.72-1546.72] 他在北部做穩定了
[1546.72-1547.72] 那
[1547.72-1548.72] 他做當然做的東西
[1548.72-1550.72] 也會跟人家不一樣
[1552.72-1554.72] 這個這個商場的
[1554.72-1556.72] 進行能力的確很強
[1556.72-1559.72] 應該我如果說台灣的商場的一個
[1559.72-1561.72] 一個進行能力來講的話
[1561.72-1564.72] 這個團隊應該是他第一名的團隊
[1564.72-1567.72] 對
[1567.72-1572.72] 因為他講一個我覺得蠻有趣的
[1572.72-1574.72] 其實我們在做商場都做商場
[1574.72-1576.72] 不是在做地標
[1576.72-1579.72] 所以說基本上我覺得那個概念是
[1579.72-1581.72] 跟一般商場是不一樣的
[1581.72-1583.72] 因為101就是地標
[1583.72-1584.72] 整個台灣地標
[1584.72-1586.72] 那現在台中覺得他也會做一個地標
[1586.72-1587.72] 在台中地標
[1587.72-1588.72] 那我們也是
[1588.72-1589.72] 我們都在台南的話
[1589.72-1590.72] 我也希望說來的客人
[1590.72-1594.72] 不是來看辦公室
[1594.72-1595.72] 是來看看我的
[1595.72-1598.72] 這個方向就跟一般的百貨規劃
[1598.72-1599.72] 不太一樣
[1599.72-1603.72] 主要那個市長都附帶說
[1603.72-1605.72] 會創造幾千年的
[1605.72-1607.72] 說幾千個不知道要來外國要
[1607.72-1608.72] 現在外省不知道
[1608.72-1610.72] 幾千個的這個商機
[1610.72-1614.72] 但是至少他是有一個基礎在哪裡
[1614.72-1617.72] 台中百就有精正之列
[1617.72-1618.72] 不過他這個點
[1618.72-1620.72] 說真的也還不錯啦
[1620.72-1622.72] 因為星光三月爆掉之後
[1622.72-1626.72] 大概什麼商場的一個
[1626.72-1628.72] 我們在看商場的
[1628.72-1630.72] 星光可能已經
[1630.72-1632.72] 這不是在當
[1632.72-1634.72] 我們是當在考數學的
[1634.72-1636.72] 他在高點已經過了
[1636.72-1638.72] 他最輝煌的時間已經過了
[1638.72-1640.72] 他今天還拼千億
[1640.72-1642.72] 可就差另外一腳
[1642.72-1644.72] 我真沒想到會這種事
[1644.72-1645.72] 真的沒想到會這樣子
[1645.72-1648.72] 因為他其實走在一個很平穩的
[1648.72-1649.72] 軌道上面走
[1649.72-1650.72] 他這樣一爆
[1650.72-1651.72] 對他的商業也好
[1651.72-1653.72] 對他的一個
[1653.72-1655.72] 無形的那種運氣也好
[1655.72-1656.72] 氣勢也好
[1656.72-1657.72] 其實我想很傷
[1657.72-1659.72] 而且傷的是一個台中
[1659.72-1661.72] 那家營收251
[1661.72-1663.72] 占他四分之一營收
[1663.72-1665.72] 你說那個那一腳去掉之後
[1665.72-1667.72] 大概可能四隻去掉一隻
[1667.72-1668.72] 一大隻去掉
[1668.72-1672.72] 而且有做他變好的時候
[1672.72-1673.72] 就要回到以前那樣子
[1673.72-1675.72] 真的有點難度了
[1675.72-1677.72] 而且看那個大圓板
[1677.72-1678.72] 不是他沒人
[1678.72-1679.72] 因為人大圓板也沒什麼人
[1679.72-1680.72] 這個蠻壓抑的
[1680.72-1682.72] 那山圈可能會挪移
[1682.72-1684.72] 現在台中又有所謂的
[1684.72-1686.72] 那個漢神巨蛋
[1686.72-1688.72] 那現在又多101
[1688.72-1690.72] 那個有得玩了
[1690.72-1693.72] 整個山圈整個會挪移
[1693.72-1696.72] 所以
[1696.72-1698.72] 台南那一腳五腳鐵
[1698.72-1700.72] 對你也三級
[1700.72-1701.72] 對三級
[1701.72-1703.72] 那三級其實要做奧德
[1703.72-1705.72] 那奧德這個人基本上可以翻白目
[1705.72-1706.72] 是不太一樣
[1706.72-1707.72] 他的確做的也不錯啦
[1707.72-1711.72] 那是奧德的心態
[1711.72-1712.72] 台南競爭比較美
[1712.72-1713.72] 我其實也認真講
[1713.72-1714.72] 新冠還是強
[1714.72-1716.72] 新冠是裡面目前最強的
[1716.72-1718.72] 我們現在如果說
[1718.72-1719.72] 但我沒有金餅
[1719.72-1720.72] 他有金餅
[1720.72-1721.72] 如果說撇除金餅
[1721.72-1725.72] 其實我們應該不向上下
[1725.72-1726.72] 保力量比較高
[1726.72-1728.72] 他大概說180嘛
[1728.72-1730.72] 170 170 181左右
[1730.72-1736.72] 那81還是金餅
[1737.72-1739.72] 市場並其他人
[1739.72-1740.72] 270撇除金餅
[1740.72-1743.72] 就是 ener nerd
[1743.72-1746.72] 我看到其中一個
[1746.72-1747.72] 有東西可以做
[1747.72-1748.72] 最重要的就是
[1748.72-1750.72] 他店holders
[1750.72-1751.72] 開始去放空間
[1751.72-1752.72] llef
[1752.72-1753.72] leta
[1753.72-1755.72] 那他汁局
[1755.72-1756.72] 現在輪到
[1756.72-1758.72] 因爲討лом
[1758.72-1759.72] 也會去討止
[1759.72-1761.22] sciences
[1761.22-1761.72] 他的人rat
[1761.72-1762.72] 而且必須すす
[1762.72-1764.72] 改造中生稲
[1764.72-1766.72] 這種運動
[1766.72-1769.72] 如果說可能的話 比較容易啦
[1769.72-1771.72] 如果說像我們現在在買貨幣去做購種
[1771.72-1773.72] 其實基本上是不太可惜的啦
[1773.72-1775.72] 因為那個成本效益就完全不夠
[1775.72-1777.72] 那價格太高了
[1777.72-1779.72] 那你政府的地路有機會
[1779.72-1781.72] 比如說 加一好了
[1781.72-1783.72] 我們把他比方說啦
[1783.72-1785.72] 加一如果有BOT案子
[1785.72-1787.72] 我們有在問 有在詢問
[1787.72-1790.72] 不排除 當然要看說整個
[1790.72-1793.72] 那個條件啊 各方面啦
[1796.72-1806.72] 目前比較保守
[1806.72-1808.72] 動工 動工本來是
[1808.72-1810.72] 原來是
[1810.72-1812.72] 那後來
[1812.72-1814.72] 我整個計畫有點
[1814.72-1816.72] 其實跟招商有關系嘛
[1816.72-1818.72] 我們認真講
[1818.72-1820.72] 我們想做精品
[1820.72-1822.72] 想做精品 所以
[1822.72-1824.72] 可能會
[1824.72-1826.72] 在2030年前
[1826.72-1828.72] 開幕
[1828.72-1830.72] 對
[1830.72-1831.72] 現在地在3年裡面
[1831.72-1833.72] 但我覺得應該會提整
[1833.72-1835.72] 但是你當初動工
[1835.72-1836.72] 本來是今年
[1836.72-1837.72] 現在看起來今年沒有進步
[1837.72-1838.72] 所以要當初再動工
[1838.72-1839.72] 你看今年動工的話
[1839.72-1842.72] 我大概最快開幕是28年
[1842.72-1843.72] 28年 那
[1843.72-1845.72] 因為裡面的產品的組合
[1845.72-1846.72] 我那塊地其實
[1846.72-1848.72] 可以做高
[1848.72-1849.72] 可以做低
[1849.72-1850.72] 都可以
[1850.72-1851.72] 那也可以做住宅
[1851.72-1852.72] 也可以做飯店
[1852.72-1853.72] 也可以做辦公室
[1853.72-1854.72] 其實
[1854.72-1855.72] 裡面要做什麼
[1855.72-1856.72] 基本上
[1856.72-1857.72] 我們還在
[1857.72-1859.72] 其實很多推翻了很多的想法
[1859.72-1861.72] 以前有些架構一些
[1861.72-1863.72] 但後來又把它慢慢慢慢的
[1863.72-1864.72] 往另外一方向
[1864.72-1865.72] 一直想說做辦公室嗎
[1865.72-1867.72] 那要做飯店呢
[1867.72-1868.72] 還是說
[1868.72-1869.72] 單純做一個
[1869.72-1870.72] 跟北威達一樣
[1870.72-1872.72] 這樣子比較精緻型的
[1872.72-1873.72] 精品
[1873.72-1874.72] 上場就好
[1874.72-1875.72] 現在都還在思考
[1875.72-1877.72] 那所以讓它整個
[1877.72-1878.72] 步調我們又把它換下來
[1878.72-1879.72] 因為加上
[1879.72-1880.72] 那個仁德這邊
[1880.72-1882.72] 科技園區在動
[1882.72-1883.72] 想要把精神先
[1883.72-1885.72] 今天先把
[1885.72-1887.72] 科技園區動工先做起來
[1887.72-1889.72] 那面後你再看三期
[1889.72-1890.72] 要做什麼
[1890.72-1891.72] 確定要做什麼
[1891.72-1892.72] 再來想清楚
[1892.72-1893.72] 再來做
[1893.72-1894.72] 應該這樣講
[1894.72-1896.72] 所以三期不一定會是百貨
[1896.72-1897.72] 它下面一定是百貨
[1897.72-1898.72] 但是上面
[1898.72-1899.72] 上面有可能是飯店
[1899.72-1901.72] 也有可能是辦公室
[1901.72-1902.72] 那有可能
[1902.72-1903.72] 也有可能是一部分的
[1903.72-1904.72] 甚至也想過說
[1904.72-1907.72] 辦公室跟飯店並存
[1907.72-1911.72] 因為它高可以蓋到28樓
[1911.72-1913.72] 全蓋滿的話
[1913.72-1914.72] 當然這個可以
[1914.72-1916.72] 但這個跟投入的一個成本
[1916.72-1917.72] 就有差了
[1917.72-1918.72] 你投到那樣子
[1918.72-1920.72] 可能是百非百益不可
[1931.72-1934.72] 那我想南華最近就是說整個
[1934.72-1937.72] 本業的部分比較慢的情況之下
[1937.72-1939.72] 我們積極在尋找
[1939.72-1941.72] 其他的一個可能性
[1941.72-1943.72] 那先過後中心
[1943.72-1944.72] 過去的回收
[1944.72-1946.72] 其實是百貨業的回收
[1946.72-1948.72] 並沒有想像的那麼的
[1948.72-1949.72] 那麼juicy
[1949.72-1950.72] 那麼那麼強
[1950.72-1951.72] 那比較容易看到成果
[1951.72-1953.72] 應該是科技遠距
[1953.72-1954.72] 也就是28年之後
[1954.72-1955.72] 我們比較有把握說
[1955.72-1956.72] 28年的時候會
[1956.72-1959.72] 整個情況會變得好一些
[1959.72-1960.72] 加上我們的一個
[1960.72-1962.72] 我們當初的的土地成本
[1962.72-1963.72] 認真講
[1963.72-1965.72] 都是相對時比的
[1965.72-1967.72] 那所以那個投資效應的
[1967.72-1969.72] 就會蠻大
[1974.72-1976.72] 那就是一個平衡
[1976.72-1979.72] 其實我想跟投資組合一樣
[1979.72-1980.72] 要壓本業
[1980.72-1982.72] 壓我們的百貨公司
[1982.72-1984.72] 壓我們只能開發
[1984.72-1987.72] 那加其他的一些轉投資
[1987.72-1989.72] 我想都是一個product mix
[1989.72-1990.72] 那到時候有些好
[1990.72-1991.72] 有些不好
[1991.72-1993.72] 那希望能夠取得一個比較
[1993.72-1995.72] 那個變化
[1995.72-1997.72] 比較小一點
[1997.72-1999.72] 我們現在長途放下來走
[2004.72-2005.72] 對啊
[2005.72-2007.72] 這我們現在要怎麼去
[2007.72-2009.72] 策略也有間包工
[2009.72-2010.72] 對啊
[2010.72-2011.72] 以前棉紡好
[2011.72-2012.72] 化繪不好的時候
[2012.72-2013.72] 還是化繪好
[2013.72-2014.72] 棉紡就不好
[2014.72-2016.72] 還有一個其他
[2016.72-2017.72] 互相cover
[2017.72-2018.72] 今年這兩年
[2018.72-2019.72] 兩個都不好
[2019.72-2021.72] 這是我們比較幸福的地方
[2034.72-2042.72] 那我們今天的訪問
[2042.72-2043.72] 就到這邊結束了
[2043.72-2044.72] 謝謝
[2044.72-2046.72] 歡迎大家以這一天參與的參觀
[2046.72-2047.72] 謝謝
[2047.72-2048.72] 謝謝
[2048.72-2049.72] 謝謝大家
