[0.00-7.00] 上市時間是2019年12月9日
[1679.78-1682.08] 相關業務不過目前來講一定中
[1685.14-1685.92] 下一題
[1685.92-1689.76] 前兩個月營收年減22%
[1689.76-1692.58] 請問原因為何
[1692.58-1695.40] 公司如何看待今年的利差
[1695.40-1698.72] 請問有機會回升嗎
[1698.72-1701.54] 這個可能是比較去年
[1701.54-1703.84] 因為這個可能是比較去年
[1703.84-1705.12] 剛剛
[1705.12-1706.66] 肯定有報告過
[1706.66-1707.42] 事實上
[1707.42-1709.72] 我們在去年同期的時候
[1709.72-1712.04] 有合雲行動服務
[1712.04-1713.82] 這一方面的營收
[1713.82-1715.88] 如果是去掉這一方面的
[1715.88-1718.44] 影響的話基本上是
[1718.44-1719.72] 會不下降的
[1719.76-1721.30] 應該是微幅下降
[1721.30-1724.36] 那最主要的原因還是剛剛所說的
[1724.36-1726.68] 就是合雲行動服務
[1726.68-1730.26] 那公司如何看待今年的利差
[1730.26-1732.30] 有機會回升嗎
[1732.30-1735.38] 基本上我們是
[1735.38-1736.66] 謹慎樂觀
[1736.66-1740.24] 因為我們現在利差基本上也慢慢在回升
[1740.24-1741.26] 當然是
[1741.26-1742.80] 看我們未來
[1742.80-1744.60] 在企業金融的部分
[1744.60-1745.88] 再如何加強
[1745.88-1747.16] 因為這一部分
[1747.16-1748.68] 事實上比我們
[1748.68-1749.72] 一般的車代
[1749.72-1754.84] 這個利差稍微高一點
[1754.84-1757.14] 好的謝謝
[1757.14-1759.70] 今年合雲電能車發電
[1759.70-1760.98] 創能收入
[1760.98-1764.06] 請問預估是多少
[1764.06-1768.66] 這個有一點靠天示範
[1768.66-1769.94] 因為事實上發電的時候
[1769.94-1771.48] 是跟日照有相關的
[1771.48-1773.78] 比方說今年前兩個月
[1773.78-1775.32] 前兩個月
[1775.32-1779.68] 所謂的日照平均比去年下降17%
[1779.72-1782.80] 那不過我們合雲電事實上比
[1782.80-1785.36] 去年的營收事實上都有增長
[1785.36-1786.88] 顯著增長
[1786.88-1789.96] 因為現在的這個暗場數比較多
[1789.96-1793.04] 那如果是簡單來看我們是認為說
[1793.04-1795.84] 合雲電今年的這個營收
[1795.84-1796.88] 或收入
[1796.88-1798.92] 應該比去年
[1798.92-1800.20] 增加
[1800.20-1802.00] 一半以上
[1802.00-1803.52] 總共50%左右
[1808.64-1809.68] 下一題
[1809.72-1817.92] 請問大陸與台灣業務分別的延遲率是多少
[1817.92-1819.44] 這邊
[1819.44-1821.24] 剛剛在簡報裡面有大概
[1821.24-1824.32] GLO合併大概是1.55
[1824.32-1828.16] 那目前到Q4的部分台灣大概維持跟
[1828.16-1831.22] 上季度差不多大概是1.3左右
[1831.22-1835.06] 那大陸部分可能有微乎上揚目前在3%左右
[1839.72-1860.02] 那麼我們會 bone
[1860.02-1861.74] 正值共產股市中的 realmente作考 skill
[1861.74-1863.28] 大概是輸入 grades
[1863.28-1866.80] 那麼最後應該 Vouz
[1866.80-1868.64] 我 evangelical
[1868.64-1869.16] cyber
[1869.16-1869.68] Kirk
[1869.68-1869.70] 因為他在跑流然後我就說它什麼是rólis commercial character
[1869.72-1873.68] 2065年的资产品质
[1873.68-1876.06] 我们就如同刚刚所报告
[1876.06-1878.80] 基本上我们觉得台湾的部分
[1878.80-1881.48] 应该是会改善
[1881.48-1883.18] 大陆的部分
[1883.18-1885.50] 我们也希望在下半年开始改善
[1885.50-1887.28] 因为在台湾的部分
[1887.28-1888.20] 在第一季的时候
[1888.20-1889.74] 其实主要是改善情况
[1889.74-1898.32] 请问今年是否有电动车充电站
[1898.32-1901.28] 或是充电车建设的目标数
[1901.28-1909.30] 今年至少德润电在充电桩的部分
[1909.30-1914.04] 事实上就是有投资上中下游
[1914.04-1919.02] 上游就是所谓的充电桩的建设
[1919.02-1922.56] 中游的话CPU就是所谓的充电桩的领域
[1922.56-1925.18] 下游的话就是关于你的自写领域
[1925.18-1927.94] 在今年我们还是会
[1927.94-1928.30] 使用的充电桩的建设
[1928.30-1930.54] 我们也会持续在货装
[1930.54-1935.72] 我们货装的速度会跟着这种电动车普及的情况
[1935.72-1939.88] 以及我们分析各个使用情况的暗场
[1939.88-1942.54] 来加以着量增加
[1942.54-1946.74] 那倒不是说就非常海量的一个部品
[1946.74-1950.04] 因为事实上充电桩目前基于上
[1950.04-1951.34] 事实上要水利的话
[1951.34-1953.52] 事实上压制比较大
[1953.52-1957.92] 所以充电桩基本上布局会折地点
[1957.92-1961.66] 以及看这个时机再去过程
[1961.66-1969.44] 今年的成长动能在器金及商品分歧
[1969.44-1973.84] 全年业绩相较于去年是如何看待
[1973.84-1987.30] 是
[1987.92-1993.30] 因为我们核润基本上有分色化
[1993.30-1998.42] 我们以下在器金部分有设置纵测的合计
[1998.42-2003.54] 以及所谓的这个器业文字的核润经验
[2003.54-2006.10] 所以说这两家公司成长动能
[2006.10-2008.66] 应该是会维持双位数
[2008.66-2012.76] 那核润本体来讲基本上大概是什么
[2017.92-2021.76] 刚刚凯琪的研究员想要再请教一下
[2021.76-2024.58] 就是台湾研制率是多少
[2024.58-2030.72] 2014年预期的信用损失是达到55.4亿元
[2030.72-2034.04] 信用成本约1.84%
[2034.04-2038.66] 公司预估今年的信用成本目标为何
[2047.92-2052.02] 好
[2052.02-2058.42] 研制率刚刚有说就是大概维持大概跟第3级差不多
[2058.42-2060.98] 大概是1.3%左右
[2060.98-2063.80] 然后信用成本
[2063.80-2069.68] 这边我不确定这边信用成本是否用预期信用损失去除一种资产
[2069.68-2074.28] 所以我不太知道这个目标怎么设定
[2074.28-2077.36] 但我可以谈刮的讲
[2077.36-2077.88] 就是说
[2077.88-2079.92] 目前大概是这样子
[2079.92-2081.20] 就算台湾的部分
[2081.20-2084.80] 就我先分地区也再分
[2084.80-2085.82] 再来拆分
[2085.82-2088.12] 台湾部分坦白讲我们已经看到
[2088.12-2090.68] 比较往好的方向前进
[2090.68-2093.24] 所以这边我们预期看起来是有缓步
[2093.24-2095.54] 或者至少持平缓步的下降
[2095.54-2097.60] 就是目前看到的状况
[2097.60-2099.12] 那中国的部分
[2099.12-2100.92] 如果看历史资料的话
[2100.92-2104.50] Q4的确有较Q3在微幅上升
[2104.50-2105.28] 不过
[2105.28-2106.04] 第一季
[2106.04-2107.84] 第一季坦白讲我们还是看到
[2107.84-2109.12] 因为还是有过年因素
[2109.12-2111.68] 因为就是依照历史经验值
[2111.68-2115.52] 就是说通常第一季的时候会受到过年因素的影响
[2115.52-2117.06] 所以预期有在
[2117.06-2118.08] 会稍微上去
[2118.08-2120.90] 所以我们可能要看到第二季可以比较明朗一点
[2120.90-2125.00] 所以这边我们就中国普段可能会在持续监控中
[2125.00-2126.28] 不过就
[2126.28-2128.84] 如果就整体目标而言坦白讲
[2128.84-2130.88] 这个可能比较没办法
[2130.88-2132.16] 说出一个数字来
[2132.16-2133.96] 不过我们尽可能就是
[2133.96-2134.98] 从前端做起
[2134.98-2137.54] 就是说从品质这边我们就严格的把关
[2137.84-2139.38] 其实在这两年里面
[2139.38-2140.66] 陆陆续续都在做
[2140.66-2141.16] 那我们会
[2141.16-2142.44] 再更加深的去做
[2142.44-2143.72] 那后端部分
[2143.72-2145.00] 除了
[2145.00-2146.04] 预期造成
[2146.04-2148.08] 预期或者是正常件的部分
[2148.08-2149.62] 我们会提列相关的数字之后
[2149.62-2151.40] 可是我们可以思考另外一个问题
[2151.40-2152.18] 就是说
[2152.18-2156.28] 其实在那个预期系统数字里面其实也包含了回收金额
[2156.28-2158.32] 那过去两年其实
[2158.32-2160.36] 就我们也打呆了不少的金额
[2160.36-2163.18] 那我们也希望说透过陆陆续续的回收
[2163.18-2164.46] 那把那个相关的钱
[2164.46-2166.00] 把它收回来这样
[2166.00-2167.02] 以上 谢谢
[2167.02-2167.80] 总体来讲
[2167.84-2170.40] 就刚刚那个我们看进度报告
[2170.40-2171.68] 事实上在今年
[2171.68-2172.70] 我们的
[2172.70-2173.98] 预期
[2173.98-2176.28] 的信用的成本
[2176.28-2179.10] 如果是没有什么系统性风险的话
[2179.10-2182.18] 我们预期是会比2020年下降
[2182.18-2183.46] 那当然是
[2183.46-2184.74] 下降幅度多少
[2184.74-2187.56] 当然是要根据我们的预算来看
[2187.56-2188.58] 那当然是
[2188.58-2193.18] 整体来讲目前的预测是应该是下降的
[2193.18-2196.52] 是 那同顺这边的话还有一个连续性的问题
[2196.52-2197.28] 就是有关于
[2197.28-2199.58] 中国研制率是多少
[2199.58-2201.38] 多少
[2201.38-2205.48] 三%左右
[2205.48-2208.80] 好的谢谢
[2208.80-2212.90] 那请问何润电的资金成本如何看待
[2212.90-2214.68] 预控管
[2219.30-2221.34] 这个我想
[2221.34-2224.16] 因为何润电的资金成本
[2224.16-2226.72] 目前就分两块
[2226.72-2227.24] 一块是短的
[2227.28-2231.38] 一块是这个所谓的专案融资
[2231.38-2235.48] 因为很多电厂基本上是很专案融资的方式
[2235.48-2236.76] 那相对上来讲
[2236.76-2239.32] 我们的融资成本在市场上
[2239.32-2241.36] 算是比较属于
[2241.36-2243.66] 比较合理的
[2243.66-2245.20] 比较偏向
[2245.20-2245.96] 所以
[2245.96-2247.50] 整体来讲在
[2247.50-2248.78] 资金的动能
[2248.78-2252.12] 以及这个所谓的成本事实上看起来都是在
[2252.12-2253.40] 健康的方向
[2257.28-2267.00] 其实对iango的体验来说
[2267.00-2271.62] 大会计数是保持回乏
[2271.62-2274.46] 其实这个走向
[2274.46-2275.72] 是自媒体的
[2275.72-2277.74] 在提uto斯纯多少
[2277.78-2279.16] 当你可以参与
[2279.16-2283.20] 都是一个要看 faces
[2283.20-2285.18] 所以就是retched
[2285.18-2286.58] 答案就是
[2286.58-2287.24] Y1
[2287.28-2290.46] 請問各位投資先進還有其他的問題嗎
[2313.20-2314.90] 好的如果沒有問題的話
[2314.90-2317.90] 那我們今天就非常感謝各位投資先進的參與
[2317.90-2319.90] 今天的法事會就到此結束
[2319.90-2322.40] 那再次感謝各位抽空來參加
[2322.40-2323.70] 敬祝各位投資先進
[2323.70-2325.28] 身體健康投資順利
[2325.28-2325.78] 謝謝
[2344.90-2345.90] 謝謝
