[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[1763.42-1764.18] 銷售量
[1764.44-1767.00] 那整個結果事實上
[1767.26-1770.32] 整個我們eva跟去年同期比起來是
[1770.58-1772.88] 雖然結果是
[1773.14-1776.72] 有稍微比去年的虧損大一點
[1776.98-1778.78] 但是只要的虧損還是
[1779.04-1780.06] 在於
[1780.32-1784.40] 碳稅也是開始增縮了那因為這個
[1784.66-1789.28] 多的這種虧損大不了多少可是碳稅的部分就吃掉一部分
[1789.52-1792.34] 所以大概如果以整個結果來看
[1792.60-1796.70] 包含美金匯率的影響等等的話事實上eva的虧損
[1796.94-1797.98] 是跟去年
[1798.22-1799.50] 是差不多
[1801.82-1803.34] 好那我們再看一下PE
[1803.86-1806.42] 我們也是主要是看今年
[1806.68-1807.96] 第一季跟去年的比較
[1808.22-1810.78] 紫色以西
[1811.02-1812.30] 那其他兩個是產品
[1812.56-1814.62] 那台聚賣的是比較高端的
[1814.86-1815.90] 這個是算是
[1816.14-1816.92] 漾
[1817.18-1818.46] HD漾這個高
[1818.70-1819.98] 價格比較高的
[1820.24-1822.30] 那事實上台聚賣的理由
[1822.60-1823.62] 裡面又算是
[1823.88-1825.92] 比較精品的事實上會比這個
[1826.18-1828.48] 國際行情這個設置的漾
[1828.74-1832.06] 這個漾Grade會來得高一點所以我們的
[1832.32-1835.14] Sprite實際上是比這個會稍微大一點
[1835.40-1837.96] 但是趨勢可以來看就是說
[1838.22-1840.52] 低季跟去年低季比起來
[1840.78-1843.84] 那這個Sprite
[1844.10-1844.86] 是有增加的
[1845.12-1845.90] 是有增加
[1846.14-1847.68] 雖然售價是
[1847.94-1850.50] 跌了21塊左右
[1850.76-1852.30] 但是P2
[1852.60-1853.88] P1的跌幅大概是21塊
[1854.14-1855.92] 但是美金
[1856.18-1862.32] 匯率的影響反而換算成台幣的時候21塊美金的這種差額
[1862.58-1863.34] 換算成台幣的時候
[1863.60-1864.62] 我們一公斤大概
[1864.88-1867.44] 反而是賺了一塊錢所以今年事實上
[1867.70-1871.02] 我們P1的表現相對於去年是來得好
[1871.28-1873.58] 那剛剛講到一月的部分
[1873.84-1876.40] 比去年同期整個
[1876.66-1881.02] 包括銷售量包括價格包括匯率的影響比去年的
[1881.26-1882.04] 這個虧損
[1882.60-1882.86] 大概多一點
[1883.10-1887.46] 可是這個就由P1這邊的獲利cover起來
[1887.72-1892.06] 所以事實上如果P1加EVA之後我們兩個加起來
[1892.32-1893.60] 事實上是比
[1893.86-1896.42] 去年少虧一點
[1896.68-1897.96] 少虧了一些
[1898.22-1899.24] 那基本上
[1899.50-1902.82] 這樣的趨勢P1我們講P1的部分就好
[1903.08-1906.92] 那到第一季的時候我們今天小虧了大概只有600萬左右
[1907.18-1909.98] 那去年同期大概虧了1900多萬
[1910.24-1912.30] 這個幅度就已經縮小了
[1912.60-1916.44] 那如果你看這個乙烯的趨勢後面是有跌的那麼大
[1916.94-1919.00] 那P1的跌幅是小於
[1919.50-1925.40] 小於這個乙烯的跌幅所以到第四月的時候那現在就五月四月結束了
[1925.90-1927.70] 四月的賺的錢
[1927.96-1931.02] 就比我們第一季虧的錢來得多所以事實上我們如果
[1931.54-1935.64] 講P1這部分的話到四月的時候我們已經
[1935.90-1939.48] 在P1的場這個是已經有小賺一點
[1939.74-1941.78] 那後面當然會
[1942.60-1943.36] 是比較不利的
[1943.62-1944.90] 比較不利一對
[1945.16-1947.98] 這個台幣
[1948.22-1950.02] 這個升值的太多了
[1952.58-1953.86] 那我們看一下銷售量
[1954.12-1955.40] 銷售量在今年
[1955.66-1957.44] 第一季的時候54萬
[1957.70-1958.98] 那個
[1959.50-1961.54] 5萬4千多噸
[1961.80-1965.12] 那比去年同期是好一些但是這個如果
[1965.38-1969.98] 跟往年比起來的話2023、2024還不是我們最好的時候
[1970.24-1971.78] 往前在2021的時候
[1971.78-1972.80] 我們如果
[1973.06-1978.44] 兩個長EVA P1都好的時候可以達到27萬多還有一些代工的量
[1978.70-1979.72] 那今天
[1979.98-1982.54] 是比去年好一點但事實上這個都
[1982.78-1986.62] 不是在這幾年內不算是很好的量
[1988.16-1988.68] 好
[1988.94-1990.22] 那我們看一下跟去年同期
[1990.46-1991.74] 我們剛才講了就是
[1992.00-1993.28] 差異大概增加了
[1993.54-1995.08] 2200噸
[1995.34-1998.14] 2200噸裡面EVA大概增加了500多噸
[1998.40-2001.48] 其他的就是P1增加的量
[2001.78-2004.86] 那我們看一下一到三月的回顧
[2005.10-2006.14] EVA的部分
[2006.90-2009.20] 剛剛亞區也就說明了
[2009.46-2010.48] 台區亞區一樣
[2010.74-2015.10] 那第一季的時候除了必要的維修之外幾乎都是滿載
[2015.34-2016.12] 滿產
[2016.38-2017.14] 那也是
[2017.40-2020.46] 順利的把它銷售出去就在EVA的方面
[2020.72-2021.50] 那
[2021.74-2025.58] 另外在光譜的方面
[2025.84-2028.14] 那美國印度對大陸光譜
[2028.40-2029.18] 面板
[2029.42-2030.46] 組件反傾銷
[2030.70-2031.74] 那大陸加博廠
[2032.04-2033.58] 他有加速海外的布局
[2033.82-2034.86] 所以
[2035.10-2037.16] 我們也一樣
[2037.42-2038.44] 我們在東南亞
[2038.70-2041.00] 那在甚至在印度的銷售量
[2041.26-2042.54] 也有增加
[2042.78-2044.58] 那這個很明顯
[2044.84-2046.38] 光譜的
[2046.62-2048.42] 銷售量跟
[2048.68-2051.24] 去年同期比起來是增加很多
[2051.50-2054.06] 那我們直接跳到第四點
[2054.30-2058.14] 那如果光譜看到我們這光譜量已經佔快一半了
[2058.40-2061.74] 去年同期的時候會大概三十幾%而已
[2062.04-2064.08] 那另外在美國
[2064.34-2065.36] 關稅的影響
[2065.62-2067.16] 那高端品牌鞋廠
[2067.42-2068.18] 特殊
[2068.44-2069.20] 電纜需求
[2069.46-2072.78] 受到衝擊這個就是我們在前幾次法收會
[2073.04-2074.84] 我們台聚甚至亞聚
[2075.10-2076.62] 聚焦在這一塊
[2076.88-2078.16] 比較一些特殊的
[2078.42-2080.22] 那特殊的這些都是比較賺錢
[2080.46-2082.26] 雖然這個量會比較少
[2082.52-2083.80] 但是這個
[2084.06-2088.14] 這個這些比較高質化的這些產品在
[2088.66-2091.48] 對這個美國關稅這些
[2091.78-2092.30] 影響
[2092.54-2094.34] 是有受到一些影響
[2094.60-2095.36] 那所幸
[2095.62-2097.42] 那最近的中美談判
[2097.66-2098.44] 那有
[2098.70-2099.46] 比較緩和
[2099.72-2102.28] 比較往正面的一種方向發展
[2102.54-2103.30] 所以
[2103.56-2105.34] 當我們這些客戶
[2105.60-2109.96] 這些高質化的這些客戶他把它複製的銷售出去的時候
[2110.22-2111.24] 那應該在
[2111.50-2113.02] 6月之後
[2113.28-2114.82] 慢慢就會回復到正常
[2115.58-2118.14] 好那在PE方面的回顧
[2118.66-2121.48] 如果對美國關稅這種
[2121.78-2123.82] 影響的情況來講台聚的
[2124.08-2125.62] PE是以內銷為主
[2125.88-2127.16] 那外銷
[2127.42-2130.48] 的部分我們直接銷到美國的比例也不高
[2130.74-2133.82] 所以受到關稅的影響是比較小
[2134.06-2135.10] 那
[2135.34-2141.50] 另外在PE的這部分前面也交代了以西的DEF是帶PE
[2141.74-2143.02] 所以我們在
[2143.28-2144.06] Q1
[2144.30-2146.10] 比去年
[2146.36-2151.74] 第四季或者比去年同期都是比較好的一個發展
[2152.04-2153.06] 那
[2153.32-2155.62] 另外就是受到中美貿易的關係
[2155.88-2156.90] 那個
[2157.16-2157.92] 衝突關係
[2158.18-2160.74] 那我們反而是在外銷方面這些
[2161.00-2162.02] 有些
[2162.28-2162.78] 客戶
[2163.04-2165.10] 他會轉向來跟我們購買
[2165.34-2166.38] 所以
[2166.62-2170.72] 在這個PE的方面所以我們在DG內銷的市場
[2170.98-2171.74] 有維護的
[2172.00-2172.52] 維修
[2172.52-2174.06] 那因為我們
[2174.30-2175.34] 外銷這邊
[2175.58-2177.38] 有一些商機
[2177.64-2179.68] 積極爭取外銷的定擔
[2179.94-2181.48] 所以反而我們整個
[2181.78-2183.06] PE的這個
[2183.32-2183.82] 銷售量
[2184.08-2189.46] 在DG的時候就去年同期是增加了10.1%左右
[2189.72-2192.28] 另外的PE LDP量少
[2192.54-2193.30] 主要是
[2193.56-2197.14] 亞巨幫台巨代工了他是服務
[2197.40-2200.22] 那台巨的一些老客戶他們
[2200.46-2206.62] 認定台巨的產品認定台巨的品牌這個是少量的
[2206.86-2208.92] 亞巨代工服務客戶
[2210.20-2211.48] 來我們看一下
[2211.48-2212.76] 這個需求
[2213.02-2214.80] 在EVA的需求裡面
[2215.06-2216.86] 光譜的還是占大眾
[2217.12-2218.64] 占一半以上
[2218.90-2219.68] 那
[2219.92-2223.52] 這個今年我們看今年的一估保守
[2223.76-2225.56] 一估的非常保守
[2226.08-2229.40] 那新的裝機量530到580
[2229.66-2230.42] 機構化的
[2230.68-2232.48] 那去年就已經到530
[2232.72-2233.76] 所以這個今年
[2234.00-2234.78] 這個
[2235.04-2235.80] 這個
[2236.06-2240.92] 這個比較專業的這些調研單位他們一估比較保守
[2241.48-2243.78] 應該最後結果
[2244.04-2245.58] 也會跟去年一樣
[2245.84-2247.88] 會跟一估的會增加
[2248.14-2249.16] 這是我個人看法
[2249.42-2250.70] 那比方說去年
[2250.96-2252.24] 去年我們的一估
[2252.48-2254.54] 就專業的一估他們是一估
[2254.80-2256.32] 大概390到430
[2256.58-2258.12] 結果到了530
[2258.38-2261.20] 真正是這樣那一估今年應該是這樣
[2261.44-2262.98] 因為在初期的時候
[2263.24-2265.54] 整個經濟環境不好需求不會太好
[2265.80-2267.84] 大家也不敢太樂觀的一估
[2268.10-2270.92] 所以一估大概就是530保守一估
[2271.48-2272.50] 大概一估大概580
[2272.76-2275.58] 最終結果應該有可能會比這個
[2275.84-2277.62] 回來的多一點
[2277.88-2279.92] 那我們看一下大陸的需求
[2280.18-2281.72] 大陸的需求
[2281.98-2285.04] 大陸已經佔了全球需求的一半以上了
[2285.56-2286.58] 那因為
[2286.84-2289.14] 看紅色的部分是今天第一季的
[2289.66-2292.72] 產量進口量等等這些變化
[2292.98-2297.34] 我們先看需求量今年的需求量比去年同期是少了
[2297.60-2298.88] 那主要是
[2299.12-2301.18] 整個經濟環境不好
[2301.48-2304.04] 然後什麼中美貿易啊什麼等等
[2304.30-2307.62] 那這些大陸啊有一些廠商他也外移
[2307.88-2310.70] 外移到東南亞所以他整個需求是有下降
[2310.96-2312.74] 但是他的自給率
[2313.00-2315.82] 隨著他產能的增加產量是增加了
[2316.08-2319.14] 從這個去年同期63萬2000噸
[2319.40-2322.72] 到今年同期他已經到產量到671
[2322.98-2324.78] 67萬1000噸
[2325.04-2328.10] 那這個自給率他今天已經達到83
[2328.36-2329.38] 那後面還會
[2329.64-2330.92] 有新增的
[2330.92-2331.68] 產能
[2331.94-2332.72] 新增的產能
[2334.00-2334.76] 這個
[2335.02-2336.56] 這個EVA中國EVA的
[2336.80-2338.60] 這個在我們上一季的
[2338.86-2340.90] 法說會大概不到兩個月之前
[2341.16-2341.92] 那他
[2342.18-2343.46] 一樣我們只是
[2343.72-2345.26] 這邊再把它放進來
[2345.52-2346.28] 讓
[2346.54-2351.40] 第一次第一季的法說會沒有參加的朋友可以再參考一下
[2352.94-2353.70] 我們看一下
[2353.96-2355.24] 台聚EVA的EVA
[2355.50-2360.10] 我們直接看右邊你看PVE的占比今年第一季到達19
[2360.10-2363.68] 去年同期33%大概占了1 3分
[2363.94-2367.52] 那也就是說台聚的主要應用三個應用裡面
[2367.78-2370.86] 我們會根據當時的售價
[2371.10-2372.64] 哪一個是比較好
[2372.90-2373.92] 那台聚的
[2374.18-2376.48] 銷售能力台聚的生產能力
[2376.74-2377.76] 有辦法
[2378.02-2379.56] 這樣
[2379.82-2380.58] 應用這個
[2380.84-2383.40] 市場的變化我們隨時是一個機動
[2383.66-2387.74] 所以我們今天在第一季的時候PV的價格比較好所以我們的
[2388.00-2389.28] 占比就
[2389.28-2390.82] 提高到49%
[2391.08-2391.84] 大概
[2392.10-2393.88] 將近的一半
[2395.16-2398.24] 那這個是再update一下EVA的新增產能
[2399.26-2399.78] 那到
[2400.04-2401.82] 紅石的部分他到目前
[2402.34-2403.10] 投產了
[2403.36-2405.16] 已經有310萬噸
[2405.40-2408.22] 310萬噸那310萬噸已經接近
[2408.48-2409.50] 大概
[2409.76-2411.56] 大陸全壘的需求了
[2411.80-2413.86] 所以將來的自取率會越來越高
[2414.12-2415.14] 那後面
[2415.40-2416.42] 還有紅井三起
[2416.68-2418.46] 那剛剛亞軍也提到他們
[2418.46-2419.74] 在第二季
[2420.00-2421.54] 有可能就是這個月
[2421.78-2422.56] 可能最近
[2422.82-2424.34] 不是這個禮拜就下禮拜
[2424.60-2427.68] 他們有20萬多的新增產能就會出來
[2427.94-2429.46] 那另外在韓國
[2429.72-2430.50] 也有一個
[2430.74-2432.28] 30萬多的新增產能
[2432.54-2436.12] 預計在6月左右也會產出
[2436.90-2439.70] 我們看一下第二季的營運狀況
[2439.96-2441.24] 營運展望
[2441.50-2443.54] 那第一個原油方面
[2443.80-2445.60] 亞軍那邊也有說明
[2445.86-2446.88] 基本上
[2447.14-2448.42] 今年的油價
[2448.72-2452.56] 去年的時候預估就是說大概70到80之間震盪
[2452.82-2453.58] 那今年
[2453.84-2455.62] 有可能就是在60到70
[2455.88-2457.16] 大概是
[2457.42-2458.96] 相對於去年來講
[2459.22-2461.00] 營油就是
[2461.26-2462.54] 會比較低了
[2462.80-2465.86] 比較低了那這個對於後面我們看一下乙烯
[2466.12-2467.40] 那乙烯的話
[2467.66-2469.70] 目前大概780 790
[2469.96-2471.24] 那相對於去年同期
[2471.50-2474.06] 去年同期的話那就低了很多
[2474.32-2476.10] 這個對我們有很大的
[2476.36-2477.64] 操作空間
[2477.90-2479.68] 也就是說這成本降低
[2479.94-2480.72] 那加上
[2480.96-2482.00] 台聚集團
[2482.24-2483.78] 有一個洲際二期
[2484.04-2484.80] 碼頭
[2485.06-2486.60] 要接近完工了
[2486.86-2488.64] 所以大概從6月開始
[2488.90-2489.92] 我們那個除草
[2490.18-2491.46] 從原來我們在
[2491.72-2493.26] 這個除草只有1萬噸
[2493.52-2496.58] 可以變成4萬噸的這種操作空間的時候
[2496.84-2500.68] 那又有這種低價乙烯在適當時機我們可以
[2500.94-2503.50] 買進來那大批買進來的時候
[2503.76-2506.82] 那在我們剛才講到的P1我們這個廠
[2506.82-2508.36] 就是都是在
[2508.62-2512.46] 小賺小虧的這樣一個別年的時候如果有這樣一個
[2512.70-2516.54] 比較靈活的這種乙烯除草可以調度的話對我們
[2516.80-2522.94] 下半年的這種營運是相當有幫助的另外這個VIF的部分剛剛
[2523.20-2524.74] 亞聚也有說明了
[2525.50-2527.04] 那第二季
[2527.30-2528.84] 我們產品的展望
[2529.10-2530.12] 那
[2530.38-2536.00] 大概這邊亞聚第一點他們也說過了基本上
[2536.26-2536.78] 那
[2536.82-2539.64] 光武強中潮大概進入尾聲了
[2539.90-2542.70] EVA的供應量後面又會增加
[2542.96-2544.50] 所以我們就是
[2544.76-2547.06] 要因應可能有一些
[2547.32-2550.38] 銷售地區必須要調整那首先我們在
[2550.64-2553.46] 第一季的時候在東南亞印度這邊
[2553.72-2556.02] 有很好的佈局跟
[2556.28-2561.40] 進展那這些都是要提早去規劃那另外當然因應這些新生產
[2561.90-2563.44] 他去一直在做的就是
[2563.70-2566.52] 高足化產品的銷售量的增加
[2566.82-2567.84] 品質的提升
[2568.10-2570.14] 那第二點中美貿易
[2570.40-2571.94] 中途雖然降溫
[2572.20-2572.96] 但是
[2573.22-2575.26] 剛剛前面提到
[2575.52-2579.36] 初期的話這個忽然間這個我們的客戶受到
[2579.62-2584.74] 中美貿易的影響所以他暫時沒跟我們下單要去的話他都顧準
[2585.00-2591.14] 後面隨著這個整個貿易戰會比較往正面的方向
[2591.40-2591.90] 發展
[2592.16-2593.18] 他們消化完
[2593.44-2594.46] 那後面
[2594.72-2596.78] 對我們就會有比較多的
[2597.08-2598.10] 大的幫助
[2598.36-2599.90] 另外在這種
[2600.14-2601.68] 中美貿易的這種
[2601.94-2605.26] 貿易戰的影響之下有另外一點我們受益的
[2605.52-2609.36] 也就是說有一些我們正在開發的這些特殊級的
[2609.62-2611.16] EVA
[2611.42-2613.46] 有些客戶本來是仰賴美國進口
[2613.72-2614.74] 那前期
[2615.00-2621.14] 他們的一對這些關稅衝突的關係啊美國他們去不去了關稅太高或者是
[2621.40-2621.90] 美國要過來
[2622.16-2623.44] 他們也不容易買
[2623.70-2625.74] 所以轉過來跟我們
[2626.00-2627.54] 購買這些比較
[2627.78-2629.58] 高值化的這些EVA
[2629.84-2631.62] 那以往我們要去
[2631.88-2632.66] 去
[2632.90-2636.24] 進入這個市場是比較辛苦因為他們用慣了都不用一改
[2636.50-2639.06] 但是現在因為這樣的關係即使說現在
[2639.56-2641.10] 貿易戰稍緩了
[2641.36-2643.92] 美國到中國的關稅有降低
[2644.18-2645.96] 可是他們也怕了
[2646.22-2648.02] 所以也要有Second Source
[2648.26-2649.54] 那這些是對我們是
[2649.80-2654.16] 對我們在發展這些高值化EVA是比較有利的部分
[2654.42-2655.70] 那另外在
[2656.00-2656.76] PE的部分
[2657.02-2659.06] 目前
[2659.32-2664.18] 我們在某個月某時候甚至都可以
[2664.44-2665.22] 有獲利的
[2665.46-2668.02] 更何況如果說要高以開工成本
[2668.28-2673.40] 高以開工的成本的部分那就更有機會所以的往後
[2673.66-2675.70] 往後我們在PE這個部分
[2675.96-2681.60] 就是只要能夠提高開工率的話提高這個架動力的話我們
[2681.86-2682.88] 這個二廠
[2683.14-2684.66] PE的部分是
[2684.92-2685.70] 有機會
[2686.00-2689.84] 有機會今年是可以獲利那就是力拼
[2690.10-2690.86] 我們在
[2691.12-2694.96] 在PE這個廠有機會今年可以
[2695.22-2699.30] 打破前幾年像我們小額虧損有機會賺錢
[2699.56-2701.62] 那EVA看起來今年的狀況
[2701.86-2703.14] 只能說是
[2703.40-2704.18] 盡量
[2704.42-2705.20] 縮小
[2705.46-2708.52] 這個虧損因為事實上還很競爭
[2708.78-2711.60] 在我們高值化的EVA還沒有這個量
[2711.86-2712.62] 這個到
[2712.88-2714.42] 比較大的時候
[2714.66-2715.44] 那
[2715.74-2718.04] 這幾年應該也都是算是
[2718.30-2719.32] 比較辛苦了
[2719.58-2724.18] 那在以西的畫面我們有洲際碼頭這個新的除潮
[2724.44-2726.74] 可以調度對於後面
[2727.00-2729.06] 我們成本這個算是一個
[2729.30-2730.84] 相當大的一個幫助
[2731.10-2733.40] 那以上是我的部分的說明
[2733.66-2734.18] 來
[2746.00-2747.78] 各位先進下午好那
[2748.04-2753.42] 接著來報告台聚公司2025年第一季的合併財務報表資訊
[2753.68-2756.50] 那我們首先看到合併的審議表
[2756.74-2761.86] 在合併的銷貨收入2025年第一季是121.5億
[2762.12-2765.20] 那較去年同期是增加了1.25億
[2765.46-2769.80] 那銷貨收入較去年同期增加主要是因為合併公司
[2770.06-2774.42] 台聚及台達化公司的銷量較去年同期增加
[2774.66-2775.70] 所以合併的營收
[2776.00-2781.38] 增加那另外合併子公司華夏公司因為他的銷量較去年同期減少
[2781.88-2786.74] 所以總計合併的銷貨收入較去年同期僅增加1.25億
[2788.02-2794.18] 銷貨成本117億那增加了有2億那主要是因為產品組合的關係所以銷貨成本
[2794.42-2795.96] 較去年同期增加
[2796.48-2801.08] 銷貨毛利4.4億較去年同期減少9000萬那這裡面
[2801.60-2805.70] 銷貨毛利較去年同期減少那這主要也是因為合併子公司
[2806.00-2809.58] 華夏公司的銷量減少所以銷貨毛利減少
[2809.84-2814.96] 那台達化以及台聚公司的銷貨毛利相比去年同期是增加的
[2815.46-2821.36] 所以總計銷貨毛利較去年同期減少合併的毛利率4%減少1個百分比
[2821.86-2828.02] 銷管費用9.1億較去年同期增加主要是因為合併公司的銷量增加運費增加
[2828.78-2830.32] 所以銷管費用增加
[2830.58-2835.70] 研發費用1.28億那合併的稅後稅前合併的營業虧損6億
[2836.00-2841.38] 營業淨利率負的5%那較去年同期虧損增加有兩個百分比
[2841.88-2847.00] 那業外的支出有10億4千萬那業外支出10億4千萬裡面
[2847.26-2851.62] 主要是因為合併公司合併子公司續騰公司依照權益法
[2851.86-2858.02] 認列股雷50%的投資損失那總計有認列股雷10.76億的投資損失
[2858.26-2864.42] 那這10.76億的投資損失裡面歸屬於台聚澳吸收認列的有3.6億
[2864.66-2865.70] 那屬於合併
[2866.00-2869.32] 公司雅居要吸收股雷投資損失有2.5億
[2869.58-2874.96] 那其他是屬於續騰的外部股東要吸收認列股雷投資損失有4.6億
[2875.46-2881.62] 所以本年度第一季合併公司依照權益法認列股雷50%的投資損失總計
[2881.86-2882.90] 有10.76億
[2883.66-2888.26] 那另外因為第一季台幣貶值所以合併認列的兌換利益有7千萬
[2888.78-2891.08] 所以總計業外虧損為10億
[2891.34-2895.70] 合併的稅前虧損16億扣除所稅利之後稅後虧損有
[2896.00-2896.50] 15億
[2897.02-2900.34] 這15億裡面歸屬於台聚的損失有6.3億
[2900.86-2906.74] 那6.3億較去年同期台聚虧損3.94億那虧損增加了有2.4億
[2907.00-2913.14] 那虧損增加主要是因為台聚公司在本年度第一季認列股雷的投資損失以及認列業務
[2913.40-2918.02] 合併子公司的虧損較去年同期增加
[2918.26-2920.58] 所以盡力較去年同期減少
[2920.82-2923.14] 每股虧損0.59元
[2924.92-2925.70] 那接下來看
[2926.00-2928.04] 看一下合併的財務比率分析
[2928.30-2931.88] 2025年第一季的合併營業利率負的5%
[2932.14-2937.26] 那存益率負的13%那都是虧損主要是因為合併公司產品
[2937.78-2939.06] 利差減少
[2939.30-2943.40] 那另外業外也認列股雷公司的投資損失所以產生了虧損
[2943.92-2949.30] 負債佔資產比率41%那較去年底略為提高那主要是因為
[2949.54-2955.70] 今年第一季仍然持續虧損所以台聚的淨值減少負債比率較去年底略為提高
[2956.00-2959.32] 那流動比率及速動比率流動比率190%
[2959.58-2961.88] 速動比率136%
[2962.14-2965.72] 那相較於以往年度是略為提高略為減少
[2965.98-2970.84] 那主要是因為合併公司用以投資固定資產的資本支出增加
[2971.10-2974.68] 所以流動比率及速動比率較以往年度略為減少
[2974.94-2981.08] 平均收現天數45天平均消耗天數54天那與以往年度是大致維持
[2981.60-2982.88] 那以上是台聚公司
[2983.14-2985.70] 2015年第一季合併財務報告的說明
[2986.00-2989.32] 那接著我們進行Q&A的時間
[2992.14-2997.78] 好的感謝亞聚以及台聚經營團隊帶來的簡報分享
[2998.28-3001.10] 那麼現在進行Q&A意見交流
[3001.36-3007.50] 那請經營團隊就報名階段事先收集到的問題先統一回覆說明
[3007.76-3008.78] 謝謝
[3009.80-3014.16] 我是台聚亞聚總經理吳培基
[3014.42-3015.70] 我們現在來到問題
[3016.00-3017.28] 問答的環節
[3017.54-3018.56] 請各位
[3018.82-3021.62] 法人還有媒體的先進提問
[3026.24-3032.38] 各位先進大家好那有一些投資先進媒體朋友在事先報名的時候
[3032.64-3033.40] 有一些提問
[3033.66-3038.02] 有一些是問到整個產業的事貫營業的策略
[3038.26-3042.36] 還有中國新產能擴張的趨勢中國市場的看法
[3042.62-3045.70] 還有第二季下半年還有全年的展望我想這有
[3046.00-3048.82] 在剛才的法說會的簡報中都已經有回覆了
[3049.32-3051.62] 那另外有投資先進問到說
[3052.14-3054.96] 匯率還有關稅對公司的影響
[3055.22-3057.26] 那我這邊回答一下匯率的影響
[3057.52-3063.66] 原則上公司在匯率的操作上是採用進步位然後高比率的
[3063.92-3064.68] 原匯避險
[3064.94-3069.30] 所以當市場的出現比較大幅度的匯率的變動的話
[3069.54-3071.08] 那個風險是控制在
[3071.34-3072.88] 一個比較低的範圍
[3073.14-3075.18] 那如果市場的匯率
[3075.44-3077.22] 總是預估是明顯有利的
[3077.48-3078.76] 與公司的話就會適度的
[3079.02-3080.04] 調降一些
[3080.30-3081.32] 那個避險的比例
[3081.58-3085.68] 所以整體來說匯率的波動影響是在營運可控制的範圍
[3085.94-3087.98] 那另外關於關稅部分是不是請
[3093.86-3098.22] 有關關稅的部分對台聚公司還有亞聚公司的影響
[3098.48-3100.78] 那因為包含台聚公司
[3101.30-3105.14] 還有亞聚公司我們直接銷售到美國的
[3105.44-3107.22] 佔領其實都不到百分之一
[3107.74-3111.06] 所以直接的這個影響客戶的這邊的
[3111.32-3113.62] 量的減少是影響不算太大
[3113.88-3115.94] 但最主要的部分是在於
[3116.44-3117.98] 我們下游客戶
[3118.24-3119.52] 有一些客戶他
[3119.78-3121.30] 他的產品比如說鞋業
[3121.82-3123.36] 剛剛簡報上有提到
[3123.62-3126.42] 我們尤其是我們主要是
[3126.68-3127.96] 銷售一些高
[3128.48-3130.78] 就是高價值的品牌
[3131.04-3135.14] 鞋業他們有一部分的這個產品是賣到美國去的
[3135.44-3136.98] 這部分有受到一些影響
[3137.22-3139.28] 那另外剛提到一些
[3139.54-3141.06] 電線電纜的部分
[3141.32-3143.38] 這個部分也有受到一點點影響
[3143.62-3145.16] 但是這個部分
[3145.42-3148.74] 佔整個產品的佔幣並不算太
[3149.00-3149.52] 太大
[3150.02-3153.62] 那其實最主要的影響還是在於這個不確定性
[3153.86-3154.64] 因為
[3154.90-3159.76] 包含我們的客戶他們對於他們的客戶對於後面的經濟的這個
[3160.02-3161.04] 前景的展望
[3161.30-3162.32] 不確定的時候
[3162.58-3163.86] 那整個這個
[3164.10-3165.14] 供應鏈的買進
[3165.44-3166.20] 有受到影響
[3166.46-3168.50] 所以其實在4月份
[3168.76-3170.04] 開始4月初開始
[3170.30-3175.16] 我們的訂單明顯有感覺到有萎縮的情況
[3175.42-3179.52] 那還好後來這個美國跟中國的這個
[3180.80-3181.30] 談判
[3181.56-3183.36] 有比預期的
[3183.62-3184.38] 來
[3185.14-3186.68] 就比我們預期的好一點
[3186.94-3188.98] 所以其實當天
[3189.50-3190.78] 對不起隔天的這個
[3191.04-3191.54] 市況
[3192.82-3195.14] 買氣就有比較明顯的好轉但是
[3195.44-3195.94] 還我
[3196.20-3198.26] 我個人感覺還沒有完全
[3198.50-3199.28] 恢復
[3199.78-3200.82] 目前大概
[3201.06-3202.86] 整個關稅對我們影響大概是這樣
[3212.08-3216.94] 不知道現場或是線上的同事先進或媒體朋友有沒有其他的提問
[3220.78-3225.14] 好的那麼謝謝同事先進的提問和經營團隊的補充說明
[3225.44-3230.82] 請問線上以及現場的投資先進有任何問題要提出來討論的嗎
[3235.42-3237.46] 總經理跟處長有兩個問題
[3237.72-3238.50] 第一個就是那個
[3239.00-3241.82] 太陽能板在東南亞被課高關稅之後還有
[3242.08-3242.84] 有棲產地的問題
[3243.36-3248.22] 然後再加上今年下半年或是往後看中國在財政補貼太陽能
[3248.48-3250.26] 發電上面的力度
[3251.04-3252.32] 會不會就是整個
[3252.58-3254.10] 如果回頭來看的話
[3254.36-3255.14] 中國
[3255.44-3260.04] 中國的太陽能裝機朝高峰就是YY或是百分比高峰已經過了這個對
[3260.30-3263.38] 這整個把中國需求往下降還有
[3263.62-3264.90] 美國棲產地的問題
[3265.16-3266.44] 一起課到東南亞這個對
[3266.70-3269.00] 後續的EVA行業是怎麼樣這第一個問題
[3269.52-3270.54] 那第一個就是那個
[3271.06-3272.58] 古雷在現在
[3272.84-3275.40] 最近幾季的那個整個
[3275.66-3279.50] 他自己的虧損部分基本上好像也沒有太多好轉的現象
[3279.76-3281.80] 這部分有一些後續的措施
[3282.32-3284.36] 公司想要怎麼做讓整個
[3284.62-3288.72] 虧損繼續往下降或是怎麼樣措施可以跟我們分享嗎謝謝
[3292.30-3296.14] 我先回答古雷相關的問題然後
[3296.64-3299.72] 另外一個問題關於光伏太陽能
