[0.00-4.08] 各位投资先进媒体朋友们
[1929.22-1931.22] 都比OLED大幅度的减少
[1931.22-1935.22] 所以比如说它的电池的使用
[1935.22-1938.22] 可以比OLED的面板的PC
[1938.22-1940.22] 几乎多一倍的时间
[1940.22-1943.22] 第二个是我们在制造的过程当中
[1943.22-1947.22] 我们的碳排也比OLED
[1947.22-1948.22] 我们消耗的能源跟碳排也比OLED
[1949.22-1951.22] 大幅的减少
[1951.22-1953.22] 所以我们认为low-temp poly
[1953.22-1955.22] 尤其在AIPC的盛行的年代
[1955.22-1958.22] low-temp poly应该会有很大的机会
[1958.22-1961.22] 所以这个是我们
[1961.22-1965.22] 我们对这一块有比较多的期待
[1965.22-1968.22] 所以刚刚我跟各位报告的就是
[1968.22-1971.22] 24年或24年第4季
[1971.22-1975.22] 我们有一些可以有一些变化
[1975.22-1978.22] 然后有一些也是我们可以做的更好的地方
[1978.22-1982.22] 25年我们也有一些新的布局跟发展
[1982.22-1985.22] 尤其是在三个P的营运
[1985.22-1988.22] 都会按照我们的计划
[1988.22-1990.22] 然后我们的资源的分配
[1990.22-1994.22] 也会按照三个支柱来做更好的调配
[1994.22-2001.22] 然后再加上我们在做工厂的这些重整
[2001.22-2004.22] 还有一些资产的活化
[2004.22-2008.22] 我想这些无非就是第一个提升我们的获利
[2008.22-2014.22] 第二个希望能够更快速的改善我们的财务结构
[2014.22-2017.22] 所谓财务结构就是包含资本结构
[2017.22-2022.22] 负债结构跟我们的这个free cash flow
[2022.22-2028.22] 大家期待就是未来股东或投资人能够得到更好回报
[2028.22-2032.22] 以上是我的开场的报告
[2032.22-2036.22] 我想接下来由Frank来跟各位报告
[2036.22-2037.22] 另外两个支柱的比较重要的问题是什么呢?
[2038.22-2040.22] 再来我说一下这个比较细项的部分
[2040.22-2041.22] 好谢谢
[2041.22-2043.22] 好
[2043.22-2047.22] 各位媒体朋友各位投资先进大家午安
[2047.22-2050.22] 刚刚Paul已经跟各位完整的说明了
[2050.22-2054.22] 友达整体的一个营运的架构跟策略
[2054.22-2057.22] 以及我们的几个重要的display的进展
[2057.22-2062.22] 那我这边就跟各位来针对我们其他两个支柱
[2062.22-2066.22] 来就是这两个支柱是以mobility跟这个vertical solution
[2066.22-2068.22] 的一个目前的营运状况
[2068.22-2070.40] 来跟各位做说明
[2070.40-2074.34] 我想一开始我先跟各位报告一下
[2074.34-2077.34] 我们一月份一月初在美国
[2077.34-2082.30] Las Vegas的CES消费性电子展的一个主要的内容
[2082.30-2083.18] 还有成果
[2083.18-2087.24] 这张透影片各位可以看到是我们这次主要展示的内容
[2087.24-2089.40] 不过开始之前我先跟大家报告
[2089.40-2092.80] 其实这一次对我们来说有一个商务上的意义
[2092.80-2098.22] 是友达跟PHTC第一次联合在CES展示
[2098.22-2101.68] 而且这里头不只是我们的共同参展
[2101.68-2106.08] 还有我们两边已经在过去这大半年
[2106.08-2108.34] 共同研发展示的一些
[2108.34-2110.26] 共同研发出来的一些成果
[2110.26-2111.64] 那这里呢
[2111.64-2113.24] 我想这一次就像刚刚Paul说
[2113.24-2115.38] 我们其实弄了一台概念车
[2115.38-2117.18] 那重点不是要展车子
[2117.18-2119.64] 重点是要展车子里头的智慧座舱
[2119.64-2122.06] 那以及我们在这里头
[2122.06-2122.78] 呃
[2122.78-2124.92] 背后支持着创新的技术
[2124.92-2126.82] 就是以Micro LED为主
[2126.82-2129.64] 那这一次我们主要的这个Smart Copy呢
[2129.64-2132.36] 全座舱都是以Micro LED技术
[2132.36-2134.36] 来呈现未来
[2134.36-2137.12] 这个座舱的各种可能性
[2137.12-2140.22] 那同时间我们也结合BHTC
[2140.22-2143.62] 在所谓的车用HMI的解决方案
[2143.62-2144.74] 包含机构
[2144.74-2146.86] 包含这个外形
[2146.86-2149.32] 包含人机界面各样的操控能力
[2149.32-2152.16] 那整合出我们认为未来
[2152.16-2152.48] 这个
[2152.48-2155.24] 这个智慧座舱上该有的一个样子
[2155.24-2156.52] 那首先各位可以看到
[2156.52-2159.52] 这一张照片的上三张照片
[2159.52-2162.48] 其实是谈的是我们在
[2162.48-2165.28] 第一个左上角可以看到是
[2165.28-2168.36] 无边界的一个透明的萤幕
[2168.36-2172.82] 我们叫做这个无界的Image Glass
[2172.82-2174.10] 那其实它结合了
[2174.10-2176.64] 我们一般车上常用的仪表板
[2176.64-2179.98] 中控还有这个副驾驶座的娱乐显示功能
[2179.98-2181.80] 变成是一体式的全景
[2181.80-2184.50] 它可以兼具显示器或抬头显示器
[2184.50-2187.18] 一般的车用显示跟抬头显示的功能
[2187.18-2190.64] 所以兼具娱乐以及这个资讯
[2190.64-2193.56] 同时间又可以透过透明显示器
[2193.56-2196.04] 非常清晰的看到外部的路况
[2196.04-2199.34] 那提供更安全的这样一个情境
[2199.34-2202.00] 那同时间我们这个方向盘
[2202.00-2204.46] 也是一个可折叠式的方向盘
[2204.46-2207.14] 配合未来这个自驾的趋势下
[2207.14-2209.22] 那的一个使用情境
[2209.22-2211.64] 同时间也变成一个可饶者的Micro-ID
[2211.64-2214.34] 的显示器结合在方向盘上
[2214.34-2215.40] 那中间这个呢
[2215.40-2219.14] 我们把它叫做这个幻境的全景天幕
[2219.14-2221.56] 那基本上就是全球第一个
[2221.56-2223.48] 我们把大尺寸
[2223.48-2227.76] 就整个车顶都是透明的Micro-ID
[2227.76-2230.40] 那跟天窗的结合
[2230.40-2233.10] 那右边这个是透明的Micro-ID
[2233.10-2235.02] 跟车窗的结合
[2235.02-2237.44] 那这个概念其实是把
[2237.44-2239.34] 我们在谈这个车子座舱
[2239.34-2241.48] 是人的第三生活空间
[2241.48-2243.90] 那在车上除了移动之外
[2243.90-2245.28] 还可以做哪些事
[2245.28-2246.78] 那我们提供很多想像
[2246.78-2248.82] 包含你可以看电影
[2248.82-2251.06] 你可以透过这样的一个
[2251.06-2254.32] 有AI互动能力的智慧车窗
[2254.32-2258.52] 然后可以跟旁边的这个路径做结合
[2258.52-2260.48] 那我们这边结合了Touch
[2260.48-2263.60] 然后结合了这个Age AI的功能
[2263.60-2266.02] 可以还做很多娱乐模拟
[2266.02-2269.02] 甚至加上一些导购
[2269.02-2271.32] 然后导览的各方面功能
[2271.32-2273.12] 那同时间我们这一次的展览
[2273.12-2275.24] 也跟我们的生态圈伙伴合作
[2275.24-2278.24] 跟全球主要的车窗玻璃厂商
[2278.24-2279.56] 直接做结合
[2279.56-2283.82] 那同时加上可调光的这样的特性
[2283.82-2286.12] 我们也可以提供安全跟隐秘性
[2286.12-2288.56] 达到防盔跟遮阳的功能
[2288.56-2290.90] 好 那往下看
[2290.90-2294.08] 这个右下角到中间这个
[2294.08-2297.48] 是我们结合Micro-LED
[2297.48-2301.28] 所谓可延伸性跟可饶的两个特性
[2301.32-2308.24] 加上这个BHTC在机构跟外形上的设计能力
[2308.24-2311.70] 那右下角这张叫做Morphin的Central Control
[2311.70-2313.64] 这一个Device
[2313.64-2319.30] 其实它是可以把无缝的内幕纸表面
[2319.30-2322.42] 然后加上后面的机构
[2322.42-2325.90] 所以你可以想象是一个可以跳舞的显示器
[2325.90-2330.34] 会把这个按钮动态的展现出来
[2330.34-2331.28] 然后这个按钮呢
[2331.28-2333.84] 这个按钮是可以可程式化的
[2333.84-2337.00] 透过Micro-LED的这个画面变化
[2337.00-2340.68] 它可以同时改变成你是操控这个档
[2340.68-2341.90] 开车的档位
[2341.90-2344.74] 还是操控这个影音娱乐
[2344.74-2346.52] 或者是其他的控制功能
[2346.52-2349.00] 所以它基本上是一个显示跟机构
[2349.00-2351.78] 完全结合的新形态的控制界面
[2351.78-2354.28] 所以这个也是友达的显示技术
[2354.28-2357.08] 跟BHTC的控制完全结合
[2357.08-2358.20] 那中间当然就是一个
[2358.20-2360.86] 大家比较常见的一个控制界面
[2360.86-2361.28] 但是
[2361.28-2363.08] 透过Micro-LED的可摇呢
[2363.08-2366.04] 基本上它可以把这个摇曲的边端呢
[2366.04-2368.96] 也变成是一个很直觉的控制界面
[2368.96-2374.16] 所以这个是我们跟BHTC在这一次展示上面
[2374.16-2378.62] 从显示的创新结合BHTC的控制
[2378.62-2381.34] 还有机构能力结合出来的新产品
[2381.34-2384.00] 那也得到车厂非常好的好评
[2384.00-2384.96] 那左下角这个
[2384.96-2387.16] 我想这个也很值得跟各位报告
[2387.16-2390.40] 这个是我们跟Sony Honda Mobility
[2390.40-2391.12] 共同开发的一个设计机构
[2391.12-2393.64] 那这一台车他们叫做Ophelia
[2393.64-2398.02] 在明年2026年下半年就会在美国上市
[2398.02-2400.44] 那车头的这一个
[2400.44-2403.50] 这条长条的车外显示器
[2403.50-2406.12] 他们叫做MediaBar的这个显示器
[2406.12-2409.66] 就是友达提供的Micro-LED的产品
[2409.66-2412.62] 所以各位就可以很清楚的知道
[2412.62-2415.90] 2026年友达的Micro-LED
[2415.90-2419.30] 就会随着这一台车在美国上市
[2419.30-2421.10] 那这也是我们的一个显示器
[2421.12-2426.76] 我们在去年投资的这个4.5代线的
[2426.76-2428.58] Micro-LED的去转线
[2428.58-2431.16] 会量产的主要的产品
[2431.16-2432.64] 好
[2432.64-2434.46] 所以讲完产品
[2434.46-2436.62] 我想从商务面上也跟各位报告
[2436.62-2438.58] 我想整体而言
[2438.58-2440.32] 这一次我们在CS参展
[2440.32-2442.30] 展现两件很重要的意义
[2442.30-2443.44] 一个事情就是
[2443.44-2446.52] 友达跟BHTC合并完
[2446.52-2448.08] 是一个One Team共同展出
[2448.08-2450.16] 我们呈现在产品上面
[2450.16-2451.10] 刚刚谈到的创新的产品上
[2451.12-2452.14] 我们的产品上的产品上
[2452.14-2453.16] 我们的产品上的产品上
[2453.16-2454.20] 是一个一套的产品
[2454.20-2455.22] 是一个一套的产品上
[2455.22-2457.78] 第二个是我们在客户的实力上面的一个结合
[2457.78-2459.82] 那有几个数字也各位参考
[2459.82-2466.48] 我们今年参展相对于去年的来访的客户的车厂的数目
[2466.48-2468.52] 增加了40%
[2468.52-2471.60] 那重要的事情是来访车厂的成绩
[2471.60-2475.18] 往上增加了很多倍
[2475.18-2477.74] 那大概增加了过去的三倍
[2477.74-2480.56] 所以基本上客户认可我们跟车厂的
[2480.56-2483.38] 这个重新整合过的创新地位
[2483.38-2486.96] 以及这样也呈现我们跟车厂直接对话
[2486.96-2489.78] 结合的争取各种订单的一个机会
[2489.78-2491.82] 所以这个是我想跟大家分享
[2491.82-2494.64] 我们在CS这样的一个成果
[2494.64-2499.24] 那当然这台车在展后也持续到各个车厂
[2499.24-2502.84] 跟各个车厂去做交流开创新的机会
[2502.84-2506.68] 那接下来我就往下用这张投影片跟大家分享
[2506.68-2509.74] 我们对Mobility Solution在业务面上
[2509.74-2510.52] 在业务面上2025年的车厂上
[2510.56-2513.12] 在展望还有未来的一个策略
[2513.12-2516.70] 那当然去年我们4月完成了BHTC的并购
[2516.70-2520.80] 那大家都很关心我们过去几个月的一个成果
[2520.80-2523.10] 那除了刚刚的技术跟客户之外
[2523.10-2526.44] 我们内部的整合工作暗部就班的在进行
[2526.44-2529.76] 那刚刚Paul也提到说我们在去年11月
[2529.76-2534.88] 董事会的同过下我们会成立一个新的AUO Mobility Solution Corp
[2534.88-2540.52] 那这个会在把整个友达加BHTC所有的车用营运全部放进去
[2540.56-2548.24] 然后来加速我们在车用在不管是管理系统面或研发资源各方面的整合跟调度
[2548.24-2552.84] 然后建立更有效率的供应链然后提升我们整体的竞争力
[2552.84-2559.00] 那当然这里头也这个MSC也会代表我们友达未来就会变成
[2559.00-2566.68] 业界很独特的是结合Tier1跟Tier2这样的一个共同存在的一个服务
[2566.68-2568.92] 跟技术整合能力
[2568.92-2570.00] 那让车厂能够进行整合能力的进展
[2570.56-2574.14] 让整个车厂以及车界有更全面
[2574.14-2577.22] 我们能够更全面来服务他们
[2577.22-2580.54] 那2025年来看我们估计
[2580.54-2583.88] 今年车子的市场应该还是会
[2583.88-2585.66] 微幅成长
[2585.66-2590.28] 那当然电动车跟新原车的成长率还是很高
[2590.28-2596.42] 那我们但是回到跟面板直接相关的我们看到车用面板今年应该从数量上
[2596.42-2599.48] 还有3到4个percent成长
[2599.48-2600.52] 那回到友达我们
[2600.52-2601.54] 自己来看
[2601.54-2605.64] 我们其实不满足于这种车只有面板数量的成长
[2605.64-2610.50] 我们更在意的是我们在内容还有在金额上面的成长
[2610.50-2611.28] 所以
[2611.28-2613.58] 以去年整体来说我们
[2613.58-2615.62] 韩湾并购BHTC
[2615.62-2618.70] 从第二季开始起算的营收
[2618.70-2620.74] 那这样加总起来我们2023
[2620.74-2622.54] 2024相对2023
[2622.54-2624.32] 我们有62个percent
[2624.32-2626.38] YOY的营收成长
[2626.38-2628.16] 那如果不记
[2628.16-2630.22] 后面三季BHTC的营收
[2630.52-2632.06] 只看友达本身
[2632.06-2636.92] 我们去年的营收也超过我们原本定的500亿
[2636.92-2638.46] 年营收的目标
[2638.46-2642.04] 那相对2023年
[2642.04-2643.84] 友达个体自己的
[2643.84-2646.90] 车用营收成长也将近20个percent
[2646.90-2648.18] 那这里头呢
[2648.18-2651.76] 大概当然就是产品组合的很多的改善
[2651.76-2653.56] 包含了这个
[2653.56-2655.10] LTPS
[2655.10-2656.64] 加上这个In-Sale Touch
[2656.64-2659.96] 以及这个mini LED背光的这样的组合
[2659.96-2660.48] 那在
[2660.48-2662.02] 比特区的占比
[2662.02-2664.06] 过去这一年也持续在提升
[2664.06-2665.60] 那因为这些高
[2665.60-2669.70] 高含量高技术含量跟高单价的产品的增加
[2669.70-2672.26] 那我们今年再往下看
[2672.26-2675.08] 这样的高质化的比例会持续提升
[2675.08-2676.86] 那我们估计今年
[2676.86-2678.66] 我们应该可以维持
[2678.66-2680.96] Low to mid-teens的
[2680.96-2683.00] 营收成长
[2683.00-2684.04] 那
[2684.04-2687.62] 这些呢我想都是过去这几年
[2687.62-2689.16] 因为车子有一个
[2689.16-2690.44] 拿案
[2690.48-2692.52] 到营收贡献的滞后效应
[2692.52-2693.56] 你现在
[2693.56-2697.14] 拿的案子可能要两三年后才会陆续贡献营收
[2697.14-2699.70] 所以我们非常关注我们在
[2699.70-2702.00] 现在拿到的案子有多少
[2702.00-2704.56] 所以我这边有一个数字跟各位报告
[2704.56-2706.60] 过去三年我们
[2706.60-2709.42] 佳总、友达跟BHTC
[2709.42-2712.24] 累计起来拿到的车厂
[2712.24-2713.26] 相关的
[2713.26-2714.28] 这个
[2714.28-2715.82] 案子的总金额
[2715.82-2717.36] 三年合计是
[2717.36-2719.92] 超过150亿美金
[2720.48-2726.62] 那这样的拿案的金额会在未来几年持续贡献我们的营收成长
[2726.62-2730.20] 那这也是我们为什么有信心跟各位报告说
[2730.20-2734.04] 我们可以在未来几年还是维持双位数的年
[2734.04-2736.86] 不合成长率的目标
[2736.86-2737.64] 好
[2737.64-2738.40] 那
[2738.40-2740.70] 我刚也跟各位说
[2740.70-2741.98] 我们的
[2741.98-2743.78] 很重要的策略是
[2743.78-2745.06] 结合BHTC之后
[2745.06-2747.36] 友达会是业界非常特别
[2747.36-2749.92] 同时具备面板的
[2749.92-2750.44] 呃
[2750.44-2752.24] 供应的这个
[2752.24-2756.32] 很好的时机加上BHTC这个很好的TA1的
[2756.32-2757.36] 业界的能力
[2757.36-2758.88] 然后把它结合起来
[2758.88-2759.40] 所以
[2759.40-2763.24] 整个友达未来产品线会从这张投影片上面的左手边
[2763.24-2767.34] 过去可能友达初期都以卖面板模组为主
[2767.34-2772.20] 那过去几年我们自己渐渐往所谓的Display-Centered HMI
[2772.20-2775.28] 以显示为核心的人机控制界面
[2775.28-2777.32] 作为智慧座舱的产品
[2777.32-2778.60] 去做布局
[2778.60-2780.40] 但是加上BHTC之后我们可以
[2780.40-2782.96] 在中间这个黄色的右边
[2782.96-2784.76] 不管加上机构控制
[2784.76-2785.78] 旋钮
[2785.78-2787.06] 这一类
[2787.06-2793.20] 更是所谓的面板加上机械控制这样的一些复合型的产品
[2793.20-2795.00] 的能力会更完整
[2795.00-2798.06] 那这也符合车子在很多安规上面
[2798.06-2799.34] 它不能完全用
[2799.34-2801.90] 一般的这种速控
[2801.90-2804.98] 它需要很多机构控制的这个能力
[2804.98-2805.74] 所以
[2805.74-2808.30] 我们以此作为基础我们的目标是
[2808.30-2810.36] 提供这个智慧座舱
[2810.40-2812.96] 所以包含我们现在也有这个
[2812.96-2815.78] 新的这个ECU的产品线
[2815.78-2817.82] 那配合我们的
[2817.82-2820.64] 创新的这些显示技术像Micro-2D
[2820.64-2822.18] 能够完成一个
[2822.18-2823.72] 让客户更容易使用
[2823.72-2827.04] 而且附加价值更高的这样一个产品
[2827.04-2830.36] 所以各位可以想象从左边到右边
[2830.36-2831.90] 这个营收
[2831.90-2834.72] 就每一个产品的价值
[2834.72-2835.48] 单价
[2835.48-2837.54] 都是数倍的成长
[2837.54-2840.36] 那这也是支撑我们为什么营收的成长
[2840.36-2841.90] 也会超过
[2841.90-2845.22] 车子平均车用面板每年3到4%
[2845.22-2847.52] 营收成长的一个很重要的
[2847.52-2851.36] 来源跟基础
[2851.36-2856.24] 好那接下来我来跟各位报告一下这个
[2856.24-2858.28] Vertical Solution的部分
[2858.28-2861.86] 那我想Vertical Solution我们谈的其实就是
[2861.86-2864.16] 垂直场域的成长
[2864.16-2865.96] 那这里头分两块
[2865.96-2868.26] 我们一块就是刚刚Paul提到的
[2868.26-2869.80] 以达情为主的
[2869.80-2871.34] 智慧显示
[2871.34-2873.90] 以工商面板的核心去
[2873.90-2878.50] 进入不同智慧场域的解决方案的提供者
[2878.50-2883.36] 那另外一块就是以我们的太阳能加上智慧服务的
[2883.36-2885.68] 搭配现在数位转型
[2885.68-2886.96] ESG的趋势
[2886.96-2889.26] 所做的Green Solution这一块
[2889.26-2890.02] 那
[2890.02-2895.92] 首先我们先针对这个智慧显示SmartVertical这一块来看呢
[2895.92-2898.72] 我们整个今年
[2898.72-2899.76] 来看
[2899.80-2902.36] 虽然工商面板的
[2902.36-2903.64] 成长性不如
[2903.64-2904.92] 没有表现非常好
[2904.92-2909.28] 不过我们在智慧零售智慧医疗智慧
[2909.28-2912.34] 智慧企业运用这几块
[2912.34-2914.90] 我们其实交出了20%的
[2914.90-2916.44] 年成长
[2916.44-2919.76] 那随着这一块的营收占比持续增加
[2919.76-2923.60] 我们相信今年也会持续保持这样的强劲的趋势
[2923.60-2925.40] 那我这边也给各位一个
[2925.40-2926.94] 一个数字就是
[2926.94-2929.76] 达情成立以来我们在去年
[2929.76-2932.84] 我们在所谓面板以上的解决方案
[2932.84-2935.14] 已经占到总营收的10%
[2935.14-2936.42] 那这个
[2936.42-2941.28] 这样的解决方案不管是成长性还有它的毛利都比单纯面板更高
[2941.28-2944.10] 所以这也带来我们在这一块的一个
[2944.10-2945.88] 保持这样的成长动能
[2945.88-2948.70] 那Green Solution这一块刚刚Paul跟大家报告
[2948.70-2953.82] 我们因为整个能源世界受到政府的能源政策的一些影响
[2953.82-2956.12] 在去年是表现不如预期
[2956.12-2957.92] 呈现了一个负成长
[2957.92-2958.68] 所以
[2958.68-2959.72] 我们今年会更具有
[2959.76-2961.56] 聚焦在这一块上面
[2961.56-2962.84] 往这个
[2962.84-2964.36] 国外市场
[2964.36-2965.64] 结合这个
[2965.64-2969.48] 太阳能面板加上建材的组合
[2969.48-2972.30] 那以及我们在这个
[2972.30-2978.70] 太阳能商城这方面提供更多小型案场的伙伴所需要的产品跟解决方案
[2978.70-2981.78] 然后来维持我们太阳能的一个发展
[2981.78-2986.64] 那另外在这里头ACC的部分我们刚刚有报告到我们的场
[2986.64-2987.66] 区的场地
[2987.66-2989.72] 陆续两次卖给美光
[2989.76-2991.04] 那
[2991.04-2994.88] 资产回收的这个金额我们也做这个
[2994.88-2999.24] 太阳ACC这家公司相关的重整所需要的一些资源
[2999.24-3002.30] 那ACC这边的过往有比较大概
[3002.56-3004.60] 八成的营收在太阳能涨进
[3005.12-3007.94] 另外有大概10到15%在半导体相关
[3008.20-3010.24] 那我们会把太阳能涨进这一块呢
[3010.50-3011.52] 氮晶片这一块
[3011.78-3013.06] 在今年就会停止
[3013.56-3017.40] 然后专注在半导体测试晶圆还有磷阻金相关的领域
[3017.40-3018.44] 然后
[3018.44-3019.72] 把原本在后期的
[3020.02-3021.04] 历史上的
[3021.30-3022.32] 货力的制造
[3022.58-3023.34] 移到我们
[3023.60-3024.36] 其他场区
[3024.88-3029.74] 然后跟关键客户继续合作寻求营收跟获利上面的持续成长
[3030.52-3032.30] 所以总体来看
[3032.56-3036.92] Vertical solution虽然有刚提到的太阳能事业暂时性的逆风
[3037.16-3039.22] 不过整体的营收在
[3039.98-3043.56] Smart vertical的解决方案以及智慧服务的
[3043.82-3046.64] Green solution的智慧服务的成长的带动下
[3046.90-3047.92] 我们还是看到
[3048.18-3049.20] 这几年会维持
[3049.20-3049.96] 负荷成长率
[3050.48-3055.86] 同时间今年我们也开始从第1季看到就是工商面板的需求也开始回温
[3056.36-3059.44] 所以复合起来我想今年我们可以从第1季就看到
[3059.70-3063.80] Smart vertical solution这一块的QoQ的成长
[3064.04-3065.84] 是呃呈现出来的
[3066.86-3070.20] 好所以最后我针对以上的三个支柱
[3070.44-3073.26] 结合我跟Paul的跟大家的报告做个总结
[3073.78-3078.12] 那展望2025年呢我想Despair整体的产业的供需
[3078.38-3079.16] 是应该会
[3079.46-3080.74] 比前两年更去健康
[3081.24-3081.76] 那
[3082.02-3082.52] 呃
[3082.78-3085.34] 很多这个新的需求应该
[3085.86-3090.20] 还有包含疫情或者换机应该会带来这个工序上更好的一个情况
[3090.46-3092.76] 我们的目标设定是追求
[3093.02-3095.08] Despair事业的获利稳定
[3095.32-3097.88] 还有持续改善我们的营运效率
[3098.40-3100.44] 那在Mobility这一块呢
[3100.70-3104.28] 对内我们会加速推动我们跟BHC的整合
[3104.54-3105.06] 综效
[3105.32-3109.16] 那持续放大我们在新的专案新的额外
[3109.46-3110.48] 取得的金额
[3111.00-3114.32] 那我们当然看到今年外在环境还是有通膨
[3114.84-3116.62] 关税还有竞争这些
[3116.88-3118.68] 战争的这些不确定性
[3118.92-3122.26] 我们今年设定Mobility solution的营收的
[3122.52-3124.82] 目标呢还是会
[3125.08-3127.38] 会有low to mid teens的一个
[3127.64-3128.66] 百分比的成长
[3129.16-3132.24] 那未来几年我们也会维持双位数
[3133.00-3135.06] 年复合成长率这样的一个成长目标
[3135.82-3138.12] 那第三根支柱Vertical solution
[3138.38-3139.16] 在达情这一块
[3139.46-3140.48] 这边的解决方案
[3140.74-3142.78] 还有我们这个智慧服务的
[3143.04-3144.06] 的带动之下
[3144.58-3148.92] 2025年我们营收是以超过10%以上
[3149.44-3150.72] 来做营收成长的目标
[3150.98-3155.84] 那一样未来几年也是设定达成双位数年复合成长率的目标
[3156.60-3159.42] 那以上是我针对两个
[3159.94-3161.72] Peter跟各位做的报告
[3161.98-3162.50] 谢谢
[3163.26-3165.56] 谢谢Paul还有谢谢Frank分享
[3166.08-3169.16] 接下来我们就反而已经提问的部分进行回答
[3169.72-3171.24] 第一题是跟财务相关的
[3171.76-3175.86] 可否提供公司2025年折旧摊提与资本支出的指引
[3176.36-3180.20] 未来几年资本支出与折旧是否会有较显著的减少
[3180.72-3182.26] 这一题我们请David回答
[3183.02-3183.80] OK谢谢
[3184.30-3190.44] 那谈到折旧的部分首先跟大家报告2024年的这个折旧就是全年是
[3190.70-3193.52] 341亿
[3193.78-3194.80] 那这个
[3195.06-3198.90] 跟给各位之前的这个guidance基本上是相符的
[3199.20-3205.34] 那公司这边预估2025年的折旧大概是在300亿台币左右
[3205.60-3211.74] 那会比这个2024年进一步的这个减少主要的原因就是因为部分的设备
[3212.00-3213.54] 开始陆续折旧会到期
[3214.30-3216.86] 那第二个部分是这个KPES的部分
[3217.12-3222.76] 那KPES的部分全年这个2024年的话是269亿
[3223.26-3229.16] 那跟之前给各位的这个guidance310亿大概就少了40亿那这个部分会有
[3229.46-3232.02] 避延到这个2025年来
[3232.52-3238.68] 那包含这个40亿的一个避延的话现在公司预估整年度2025年的
[3238.92-3242.52] KPES是以不超过300亿台币为目标
[3243.28-3249.16] 那第3个谈到这个未来的这个折旧跟KPES的走向我想
[3249.42-3255.32] 包括这几次的在法税会上面跟大家报告的有它现在的整个一个策略转型就是
[3255.56-3258.64] 未来会把资源投放到vertical跟这个
[3259.20-3264.06] mobility的solution方面那会往这一个轻资产的business model走
[3264.32-3269.44] 所以中长期来看公司的资本支出跟折旧应该会逐年往下
[3269.70-3270.46] 以上
[3271.24-3272.52] 谢谢
[3272.76-3275.84] 接下来两题是Display市场相关的问题
[3276.60-3278.40] 请问公司第4季
[3278.92-3280.96] 全球TV及IT
[3281.22-3283.00] 产品终端销售的状况
[3283.26-3284.80] 跟2025年的展望
[3285.32-3288.64] 中国大陆加大推动消费刺激及关税影响对2025年的展望
[3289.20-3294.84] 是否会有提早消费导致
[3295.08-3296.88] 二Q或下半年旺季不旺的疑虑
[3297.64-3299.44] 另外针对TV与IT
[3299.70-3302.00] 整体通路的状况能不能给一个update
[3302.26-3304.56] 那这一部分我们是不是请James回答
[3305.08-3306.10] 大家好
[3306.60-3309.68] 那刚Paul跟Frank都有提到说在
[3310.20-3314.04] 第4季大陆这边的已旧换新
[3314.28-3315.32] 还有这个
[3315.56-3316.84] 欧美的旺季
[3317.10-3318.38] 这个促销我想
[3318.64-3319.16] 电视的
[3319.46-3320.48] 都有不错的一个成绩
[3320.74-3322.78] 电视在第4季
[3323.04-3325.08] 整体销售有大概3%的
[3325.34-3326.36] 数量的成长
[3326.62-3327.40] YOY
[3327.64-3329.18] 但是以面积来讲
[3329.44-3330.46] 他大概
[3330.72-3332.00] 成长了8%
[3332.26-3334.56] 所以说主要都是大尺寸
[3334.82-3335.58] 特别是
[3336.10-3339.16] 85寸以上甚至98寸100寸
[3339.68-3341.22] 我想这个特别在
[3341.48-3344.04] 大陆的市场是
[3344.28-3345.32] 非常火热
[3345.56-3346.08] 那
[3346.34-3349.16] 相信在接下来的这个
[3349.46-3352.52] 今年这些产品还有这些价格
[3352.78-3353.80] 还是会以
[3354.32-3357.40] 到欧美市场这边来
[3357.64-3361.24] 迈进了所以说整个电视的需求我想
[3362.76-3364.56] 通路的库存非常健康
[3364.82-3366.86] 那展望也非常好
[3367.38-3369.68] 因为接下来的大尺寸那个
[3370.20-3373.52] 这个需求会让整个产能的这个
[3375.32-3376.84] 需求也非常的大
[3377.36-3378.90] 那这个是电视的部分
[3379.46-3380.74] 那在IT的部分
[3381.00-3381.50] IT
[3382.02-3385.34] 虽然2024年还是在
[3385.60-3386.12] 整个
[3386.36-3387.14] 企业的需求
[3387.64-3388.92] Commercial这一块
[3389.18-3389.70] 比较
[3389.96-3390.98] 没有看到
[3391.24-3392.76] 明显回温不过在
[3393.28-3394.56] 消费性市场
[3394.82-3395.84] 透过这个
[3396.36-3398.66] 电竞透过这个消费性
[3398.92-3401.48] 在旺季的促销我们也看到
[3401.72-3405.82] 这个也有4-5% YOY在第4季的成长
[3406.08-3409.16] 所以说库存通路库存还是非常健康
[3409.46-3410.74] 那展望在
[3411.00-3413.30] 25年的话我想
[3413.80-3414.58] 在
[3415.34-3416.36] IT这一块
[3416.62-3418.68] 有Win10的这个
[3418.92-3419.96] 即将EOL
[3420.46-3422.52] 那再加上
[3422.76-3425.58] 新的AIPC越来越多的推出
[3426.10-3428.66] 还有这个疫情期间的这个
[3428.92-3430.70] 4-5年的换机槽我想
[3431.22-3432.50] 展望今年的
[3432.76-3435.32] 需求还是会有
[3436.84-3437.62] 大概
[3437.88-3438.64] 4-5%的
[3439.46-3440.22] 成长不过
[3440.48-3444.06] 我们的客户预期在下半年应该有这个
[3445.86-3447.40] 企业的换机的需求
[3447.64-3449.44] 所以说下半年可能会
