[0.00-4.20] Frank 第二季的簡報跟各位說明一下
[4.80-8.52] 好 線上的各位大家午安
[8.68-13.60] 接下來我來報告元大金控在2025年上半年的績效表現
[1735.76-1737.76] 有關係第二個是我們在
[1737.76-1739.76] 過去的兩年
[1739.76-1741.76] 我們銀行的獲利並沒有
[1741.76-1743.76] 上繳給金控他是做
[1743.76-1745.76] 盈餘轉增資所以資本
[1745.76-1747.76] 市主率是有提升
[1747.76-1749.76] 當然在VIS
[1749.76-1751.76] 的計算裡面有一個IRS
[1751.76-1753.76] 他的計算裡面
[1753.76-1755.76] 他有個前提是要銀行
[1755.76-1757.76] 的總資產2.5兆
[1757.76-1759.76] 以上才可以
[1759.76-1761.76] 適用那現在元大銀行
[1761.76-1763.76] 的總資產接近2.2兆
[1763.76-1765.76] 所以目前還不可以適用
[1765.76-1767.76] 這也是為什麼我們過去這幾年
[1767.76-1769.76] 盈餘轉增資希望能夠適度的
[1769.76-1771.76] 慢慢的讓資產成長到2.5兆
[1771.76-1773.76] 可以適用新的市場風險
[1773.76-1775.76] VIS部分
[1775.76-1777.76] 這我們內部在計算過
[1777.76-1779.76] 如果到2.5兆
[1779.76-1781.76] 我們的VIS大概還可以
[1781.76-1783.76] 再增加1到1.5%
[1783.76-1785.76] 之間以上說明
[1793.76-1795.76] 不曉得先進還有沒有其他提問
[1809.76-1811.76] 好
[1811.76-1813.76] 有個先進提問進來
[1813.76-1815.76] 主動EQ成長
[1815.76-1817.76] 快速如果看待
[1817.76-1819.76] 這個商品的利基
[1819.76-1821.76] 那是否跟
[1821.76-1823.76] 事實行跟
[1823.76-1825.76] 高息的部分
[1825.76-1827.76] 互相取代
[1827.76-1829.76] 對未來商品的看法
[1829.76-1831.76] 包含AUM跟平均
[1831.76-1833.76] 收費
[1833.76-1835.76] 這提出一個好問題
[1835.76-1837.76] 各位應該看到報章雜誌
[1837.76-1839.76] 最近的主動
[1839.76-1841.76] 型ETM大概AUM
[1841.76-1843.76] 成長了3、4百億
[1843.76-1845.76] 但是大家
[1845.76-1847.76] 應該在今天的報紙裡看到
[1847.76-1849.76] 元大的0050
[1849.76-1851.76] 是一種被動型
[1851.76-1853.76] 今年已經衝到7000億
[1853.76-1855.76] 從去年年底的4000億
[1855.76-1857.76] 目前是7000億
[1857.76-1859.76] 那整體的ETM
[1859.76-1861.76] AUM
[1861.76-1863.76] 目前的股票型大概接近
[1863.76-1865.76] 3.55兆左右
[1865.76-1867.76] 那債券型大概是
[1867.76-1869.76] 2.9兆加上其他海外
[1869.76-1871.76] 現在大概接近6.9兆
[1871.76-1873.76] 這的確是
[1873.76-1875.76] 目前台灣
[1875.76-1877.76] 趨勢依舊向上的ETM
[1877.76-1879.76] AUM
[1879.76-1881.76] 剛才Frank在各位講說
[1881.76-1883.76] 散戶結構的改變裡面
[1883.76-1885.76] 這的確是反映在裡面
[1885.76-1887.76] 至於說這三種的
[1887.76-1889.76] 互相取代應該看
[1889.76-1891.76] 投資人的需求
[1891.76-1893.76] 如果投資人希望是比較
[1893.76-1895.76] 高報酬而不是
[1895.76-1897.76] 一個被動的方式的時候
[1897.76-1899.76] 他當然會尋求所謂
[1899.76-1901.76] 主動型的ETM
[1901.76-1903.76] 那當然
[1903.76-1905.76] 坦白講這三種ETM
[1905.76-1907.76] 他對投信公司的
[1907.76-1909.76] 管理費不一樣
[1909.76-1911.76] 以被動型來說
[1911.76-1913.76] 你說以0050
[1913.76-1915.76] 的被動型的ETM
[1915.76-1917.76] 我們現在的管理費年化
[1917.76-1919.76] 大概是0.11兆左右
[1919.76-1921.76] 那債券型大概是
[1921.76-1923.76] 0.2兆那如果是主動型
[1923.76-1925.76] 目前大概都接近0.6兆
[1925.76-1927.76] 那不同的
[1927.76-1929.76] 產品有不同的客戶
[1929.76-1931.76] 有這樣的需求
[1931.76-1933.76] 我們基本上來說大概
[1933.76-1935.76] 是按照這種方式滿足不同
[1935.76-1937.76] 客戶的需求
[1937.76-1939.76] 所以這部分這也是為什麼
[1939.76-1941.76] 在上半年元大投信
[1941.76-1943.76] 的獲利創新高
[1943.76-1945.76] 它的ROE也創新高
[1945.76-1947.76] 以上跟這樣先進說明
[1959.76-1961.76] 不曉得先進還有沒有其他
[1961.76-1963.76] 提問
[1963.76-1965.76] 不知道什麼是Otis
[1965.76-1967.76] 不知道
[1967.76-1969.76] 就是
[1969.76-1971.76] 17月其實我們
[1971.76-1973.76] 有問題是關於證券
[1973.76-1975.76] 就是我們現在證券的
[1975.76-1977.76] 市占當然我必須要說
[1977.76-1979.76] 就是證券今年獲利
[1979.76-1981.76] 表現其實真的非常好其實同業
[1981.76-1983.76] 滿多到半年都
[1983.76-1985.76] 衰退兩成以上的獲利
[1985.76-1987.76] 證券這邊還是有一個
[1987.76-1989.76] 一個證成長真的非常厲害
[1989.76-1991.76] 那就是因為我們就是
[1991.76-1993.76] 有關這個市占的問題就是其實我們
[1993.76-1995.76] 最近看到市場很多國內local
[1995.76-1997.76] 的一個卷章都有一些整病的
[1997.76-1999.76] 風潮啦我不知道就是
[1999.76-2001.76] 就是管理層這邊對於我們
[2001.76-2003.76] 證券這邊的一個市占後面
[2003.76-2005.76] 是有沒有一個比較還可以持續
[2005.76-2007.76] 提升的想法或者是有透過
[2007.76-2009.76] 會再有機會再透過一些併購
[2009.76-2011.76] 一些比較小型的卷章來做一些
[2011.76-2013.76] 通路或客戶上的一個互補
[2013.76-2015.76] 這樣子OK謝謝
[2015.76-2017.76] 好謝謝你的提問
[2017.76-2019.76] 證券目前的策略是
[2019.76-2021.76] 用有機式的自我
[2021.76-2023.76] 成長
[2023.76-2025.76] 之前我們購買大眾
[2025.76-2027.76] 銀行的時候我們甚至
[2027.76-2029.76] 把大眾證券
[2029.76-2031.76] 出售給台新金控
[2031.76-2033.76] 所以基本上我們大概會透過
[2033.76-2035.76] 有機成長但是隨著
[2035.76-2037.76] 投資人結構的改變
[2037.76-2039.76] 其實我們應該看得
[2039.76-2041.76] 面是不管是外資
[2041.76-2043.76] 的或是國內的投信
[2043.76-2045.76] 法人的交易以及
[2045.76-2047.76] 散戶的交易這部分
[2047.76-2049.76] 這三個我們都需要加強
[2049.76-2051.76] 那也跟各位報告一下
[2051.76-2053.76] 最近的結構改變
[2053.76-2055.76] 的確讓我們的市占率也
[2055.76-2057.76] 所改變
[2057.76-2059.76] 那當然這部分我們長期目標
[2059.76-2061.76] 還是希望能夠提升
[2061.76-2063.76] 我們的市占率但是前提
[2063.76-2065.76] 是希望我們的獲利
[2065.76-2067.76] 以獲利為主市占率
[2067.76-2069.76] 維持這是
[2069.76-2071.76] 我們的一個長期策略
[2075.76-2077.76] 不要投信還有沒有其他提問
[2081.76-2083.76] 好有先進提到
[2083.76-2085.76] 第二季的外力放緩
[2085.76-2087.76] 以原幣計算
[2087.76-2089.76] 歪歪的增幅
[2089.76-2091.76] 還有成長動能來源
[2091.76-2093.76] 包含區域跟屬性
[2093.76-2095.76] 那另外一個72之二排除
[2095.76-2097.76] 新的
[2097.76-2099.76] 市場的負擔
[2099.76-2101.76] 那另外一個72之二排除
[2101.76-2103.76] 新的負擔
[2103.76-2105.76] 72之二排除新清安之後
[2105.76-2107.76] 對房貸跟整體
[2107.76-2109.76] 放緩成長目標
[2109.76-2111.76] 是否有調升機會
[2111.76-2113.76] 好大概
[2113.76-2115.76] 說明一下
[2115.76-2117.76] 以外幣來說當然
[2117.76-2119.76] 各位知道我們現在因為
[2119.76-2121.76] 台灣的上市公司我們在
[2121.76-2123.76] 認略水益跟數字
[2123.76-2125.76] 的時候都是用台幣計價
[2125.76-2127.76] 的確用台幣計價
[2127.76-2129.76] 這個數字有稍微少
[2129.76-2131.76] 一點以外幣計價
[2131.76-2133.76] 這幅度大概應該外幣的
[2133.76-2135.76] 放緩的部分大概應該可以
[2135.76-2137.76] 再增加2%左右
[2137.76-2139.76] 但是因為占比
[2139.76-2141.76] 還是比較偏低所以數字上
[2141.76-2143.76] 並沒有太大的重大的
[2143.76-2145.76] 影響那在成長動能
[2145.76-2147.76] 來說我們基本上來說
[2147.76-2149.76] 隨著美元可能
[2149.76-2151.76] 降息所以
[2151.76-2153.76] 對台灣的企業在海外
[2153.76-2155.76] 設廠的部分
[2155.76-2157.76] 所謂的DVU這部分
[2157.76-2159.76] 隨著美元的降息可能
[2159.76-2161.76] 這部分的動能應該是
[2161.76-2163.76] 可期的第二個動能
[2163.76-2165.76] 就是在其他國家
[2165.76-2167.76] 的部分我們有一些OVU
[2167.76-2169.76] 的案子目前也是在逐漸
[2169.76-2171.76] 在增加但是大部分
[2171.76-2173.76] 我們採取都是用金融同業
[2173.76-2175.76] 或者是
[2175.76-2177.76] 飛機引擎
[2177.76-2179.76] 或航空的一個
[2179.76-2181.76] 租賃的放緩為主
[2181.76-2183.76] 那這部分的地區包含
[2183.76-2185.76] 印度澳洲韓國
[2185.76-2187.76] 我們目前做的地方
[2187.76-2189.76] 大概偏向這個地方為主
[2189.76-2191.76] 未來有其他需求
[2191.76-2193.76] 我們還會繼續在部分
[2193.76-2195.76] 在琢磨第二個
[2195.76-2197.76] 72之二的排除清安之後
[2197.76-2199.76] 對整個房貸跟整體
[2199.76-2201.76] 放款的目標是有調整
[2201.76-2203.76] 坦白講現在
[2203.76-2205.76] 不動產的放款
[2205.76-2207.76] 雖然有需求但是
[2207.76-2209.76] 資源有限
[2209.76-2211.76] 所以大家在這部分
[2211.76-2213.76] 都比較謹慎
[2213.76-2215.76] 那當然前陣子行政院
[2215.76-2217.76] 也有提到說
[2217.76-2219.76] 水龍頭要開大
[2219.76-2221.76] 這個我想我們看整個政策的
[2221.76-2223.76] 需求不過以目前來看
[2223.76-2225.76] 其實元大在這部分
[2225.76-2227.76] 理重並不小
[2227.76-2229.76] 所以基本上來說我們大概
[2229.76-2231.76] 用且看結果而且再加上
[2231.76-2233.76] 我們的放款結構需要
[2233.76-2235.76] 做調整我們還是希望
[2235.76-2237.76] 增加的是外幣
[2237.76-2239.76] 放而不是台幣
[2239.76-2241.76] 放款以上說
[2245.76-2247.76] 不講先進還有沒有其他提問
[2259.76-2261.76] 好
[2261.76-2263.76] 有先進提到第二劑
[2263.76-2265.76] 衍生操作少
[2267.76-2269.76] 看到少見的負貢獻
[2269.76-2271.76] 這麼多的
[2271.76-2273.76] 負貢獻
[2273.76-2275.76] 負貢獻
[2275.76-2277.76] 政卷其他
[2277.76-2279.76] 收入比重高
[2279.76-2281.76] 占波動大的原因
[2281.76-2283.76] 剛才那個
[2283.76-2285.76] 說明看到第二十一頁
[2285.76-2287.76] 你看到
[2287.76-2289.76] 在其他部分其實這部分
[2289.76-2291.76] 他剛才已經有說明了
[2291.76-2293.76] 這部分的收入來源
[2293.76-2295.76] 一部分是海外轉投資
[2295.76-2297.76] 的
[2297.76-2299.76] 就是權益收入
[2299.76-2301.76] 那一部分受到影響的是
[2301.76-2303.76] 我們剛才講的借券業務的
[2303.76-2305.76] 一些會計認列
[2305.76-2307.76] 所以他的數字
[2307.76-2309.76] 並不是你各位看到的數字
[2309.76-2311.76] 第一個被說明
[2311.76-2313.76] 第二個部分就是你看到衍生的
[2313.76-2315.76] financial product的部分主要是在
[2315.76-2317.76] 做權政那各位權政
[2317.76-2319.76] 知道權政的基本
[2319.76-2321.76] 的交易
[2321.76-2323.76] 模式是追高殺低
[2323.76-2325.76] 因為追高殺低
[2325.76-2327.76] 的關係在4月開始
[2327.76-2329.76] 股市動盪及
[2329.76-2331.76] 波動變大的時候當然費用
[2331.76-2333.76] 會增加會影響他的
[2333.76-2335.76] 收入所以這部分降低的幅度
[2335.76-2337.76] 主要是原因在這地方
[2337.76-2339.76] 以上說明
[2353.76-2355.76] 不小心進來提問
[2359.76-2361.76] 好如果
[2361.76-2363.76] 千進都沒有其他
[2363.76-2365.76] 提問那我們今天會
[2365.76-2367.76] 就到此結束謝謝
[2367.76-2369.76] 各位先進的參與那我們今天會到
[2369.76-2371.76] 此結束謝謝
[2371.76-2373.76] 非常感謝
[2373.76-2375.76] 我們非常感謝元大金控
[2375.76-2377.76] 團隊的這個說明
[2377.76-2379.76] 跟分享
