[0.00-5.76] 大家好謝謝
[1408.92-1409.92] OK
[1409.92-1410.92] 非常簡單
[1410.92-1413.92] 但是非常喜歡我們的設計
[1413.92-1417.92] 在下面這一個也是我們幫他設計的
[1417.92-1418.92] OK
[1418.92-1419.92] 所以在這裡面呢
[1419.92-1421.92] 我們有設計工設計的人員
[1421.92-1423.92] 在幫他們設計
[1423.92-1425.92] 每一個步驟我們都做了
[1425.92-1426.92] OK
[1426.92-1427.92] 然後這邊呢
[1427.92-1429.92] 就是他的告示框
[1429.92-1430.92] 非常簡單的告示框
[1430.92-1431.92] 但是在哪裡
[1431.92-1432.92] 重點在哪裡
[1432.92-1434.92] 重點在這個所有的Label
[1434.92-1435.92] 的設計
[1435.92-1437.92] 都是我們在幫他做的
[1437.92-1438.92] OK
[1438.92-1442.92] 這個一家店
[1442.92-1445.92] 再往下我們要做的是什麼
[1445.92-1448.92] 這個用Solar Panel
[1448.92-1450.92] OK
[1450.92-1452.92] 告訴用這個太陽能
[1452.92-1453.92] OK
[1453.92-1456.92] 然後呢什麼時候該灑水
[1456.92-1458.92] 是動的灑水系統
[1458.92-1460.92] 這個不只在店裡頭
[1460.92-1462.92] 你想想看在美國我們的家裡頭
[1462.92-1463.92] 我在想
[1463.92-1464.92] 我也要自己家裡頭
[1464.92-1466.92] 放一個這種灑水系統
[1466.92-1468.92] 因為是Solar太陽能
[1468.92-1470.92] 告訴這個灑水系統
[1470.92-1471.92] 什麼時間
[1471.92-1474.92] 在濕度到什麼時候灑水
[1474.92-1477.92] 所以這個是我們現在在做的
[1477.92-1478.92] 所以
[1478.92-1480.92] 很快的我希望呢
[1480.92-1481.92] 除了在店裡之外
[1481.92-1483.92] 我們可以推展到每一個家裡
[1483.92-1484.92] 因為在美國
[1484.92-1486.92] 擁有一個House是幾戶
[1486.92-1487.92] 通通都是
[1487.92-1489.92] 不是每一個都住在Apartment裡
[1489.92-1491.92] 所以在Housing
[1491.92-1492.92] 我也要開始
[1492.92-1494.92] 推銷這一個
[1501.92-1502.92] 這是Lowes這個灑水系統
[1502.92-1504.92] 我想他Lowes總共有
[1504.92-1507.92] 1792家店
[1507.92-1508.82] 所以
[1508.92-1511.92] 我想在三年裡面
[1511.92-1513.92] 一年做五百家店
[1513.92-1514.92] 在三年裡面
[1514.92-1516.92] 每一家店都有這個System
[1516.92-1518.92] OK
[1518.92-1520.92] 這個完了之後還不止這樣子
[1520.92-1521.92] 在完了之後我要幫他
[1521.92-1523.92] 冬天到了下雪了
[1523.92-1524.92] OK
[1524.92-1525.92] 這水管裡頭有水怎麼辦
[1525.92-1527.92] 那水管會爆
[1527.92-1528.92] 對不對
[1528.92-1529.92] 所以我們還在幫他設計
[1529.92-1532.92] 就是往下怎麼樣回收
[1532.92-1534.92] 在你冬天到的時候
[1534.92-1536.92] 只要把水管收起來
[1536.92-1537.92] 對不對
[1537.92-1539.92] 冬天的時候再去幫他安裝
[1539.92-1540.92] OK
[1540.92-1542.92] 這個是我們要做的
[1542.92-1544.92] 我們也做到了
[1547.92-1549.92] 這個是可口可樂的
[1549.92-1550.92] 我們就是可口可樂
[1550.92-1552.92] 我們的設計師
[1552.92-1553.92] 跟可口可樂的
[1553.92-1555.92] 他們的設計師
[1555.92-1556.92] 設計了很多
[1556.92-1559.92] 這樣子很簡單很簡單的Fiction
[1559.92-1561.92] 展示他們可口可樂
[1561.92-1563.92] 新的產品
[1563.92-1564.92] 水
[1564.92-1565.92] OK Coke
[1565.92-1566.92] OK
[1566.92-1568.92] 所以現在他在裡面
[1568.92-1571.92] 可口可樂已經放在CBS
[1571.92-1573.92] Family Dollar
[1573.92-1574.92] OK Dollar Tree
[1574.92-1576.92] 這個Family Dollar
[1576.92-1578.92] 在全美國有三四千家店
[1578.92-1579.92] 如果每一家店
[1579.92-1580.92] 我們現在到目前為止
[1580.92-1581.92] 是每一家店
[1581.92-1584.92] 我們通常都有兩個到三個
[1584.92-1586.92] 很簡單的設計
[1586.92-1589.92] 但是這裡面包括他的廣告
[1589.92-1594.92] 我們都做到了
[1594.92-1595.92] Trekker
[1596.92-1598.92] 大家現在看看這個
[1598.92-1599.92] 等一下不好意思
[1601.92-1602.92] Trekker
[1602.92-1603.92] OK
[1603.92-1607.92] 在這個COVID的時候
[1607.92-1611.92] 我們幫他安裝了三百家店
[1611.92-1612.92] OK
[1612.92-1614.92] 三百家店這個Counter
[1614.92-1615.92] 這個Counter裡面再往下
[1615.92-1617.92] 我們會做到什麼
[1617.92-1618.92] 我們再往下
[1618.92-1620.92] 我們會做到裡面
[1620.92-1621.92] OK
[1621.92-1623.92] 幫他安裝他的現金
[1623.92-1624.92] OK
[1624.92-1625.92] 他的Cash
[1625.92-1626.92] OK
[1626.92-1627.92] 要怎麼放
[1627.92-1628.92] 所以在這裡面
[1628.92-1631.92] 這所有的幾副Carhartt
[1631.92-1632.92] OK
[1632.92-1633.92] 賣衣服的
[1633.92-1635.92] 我們幫他做了廣告的設計
[1635.92-1639.92] 所以我們是在設計師在做這一些事情
[1639.92-1640.92] OK
[1640.92-1641.92] 我們有很強的設計部門
[1641.92-1643.92] 從頭開始
[1643.92-1644.92] 我們就已經跟客戶
[1644.92-1646.92] 在產生這個連線
[1646.92-1647.92] 然後
[1647.92-1648.92] 從設計開始
[1648.92-1650.92] 一直到工廠的製作
[1650.92-1653.92] 到進去店裡頭安裝
[1653.92-1654.92] 該賺錢的地方
[1654.92-1656.92] 我們都賺了
[1656.92-1660.92] OK
[1660.92-1661.92] 這一個
[1661.92-1664.92] 是我感覺最驕傲的一個
[1664.92-1666.92] 這個Family Farm and Home
[1666.92-1668.92] OK
[1668.92-1670.92] 我們幫他製造的
[1670.92-1671.92] 製作的是什麼
[1671.92-1673.92] 我們幫他做的是品牌
[1673.92-1674.92] OK
[1674.92-1676.92] 他們告訴我們就是
[1676.92-1678.92] 因為我們的設計
[1678.92-1682.92] 所有這因為我們的設計
[1682.92-1684.92] 幫他拉近了很多
[1684.92-1686.92] 很多的客戶
[1686.92-1689.92] 所以這個就是我們最強的一個項目
[1689.92-1691.92] 就是我們有很好的設計部門
[1691.92-1694.92] 幫客戶做這些服務
[1694.92-1695.92] 但這個裡面
[1695.92-1697.92] 客戶Don't care
[1697.92-1699.92] 多花幾塊錢
[1699.92-1700.92] They are fine
[1700.92-1701.92] 為什麼
[1701.92-1703.92] 因為我們的客戶服務Excellent
[1703.92-1706.92] 我們的設計Excellent
[1706.92-1708.92] 這是我從客戶裡頭知道的
[1708.92-1712.92] 所以這個是我們V9不一樣的地方
[1714.92-1715.92] OK
[1715.92-1716.92] 這個也是
[1716.92-1718.92] 就是這個也是我們幫他們設計
[1718.92-1720.92] 他們的衣架上面
[1720.92-1721.92] OK
[1721.92-1723.92] 要怎麼樣Identify
[1723.92-1724.92] 他們的公司
[1724.92-1725.92] 他們的部門
[1725.92-1727.92] 所以這是我們目前為止
[1727.92-1728.92] OK
[1728.92-1729.92] 我們做很多的
[1729.92-1731.92] 就是這些設計的
[1731.92-1734.92] 就是他給了設計的費用之外
[1734.92-1736.92] 你一看已經Fuck
[1736.92-1738.92] 就算你要加他幾塊錢
[1738.92-1740.92] They are happy
[1740.92-1743.92] 這個是最重要的
[1744.92-1745.92] OK
[1745.92-1747.92] 這個是Home Depot
[1747.92-1748.92] 對
[1748.92-1751.92] 今年等一下下個禮拜我就要去跟他談
[1751.92-1752.92] 為什麼
[1752.92-1754.92] 因為你這個整個組裝架子
[1754.92-1756.92] 我們要把這個所有的拿出來
[1756.92-1759.92] 再重新裝我們的設計的進去
[1759.92-1761.92] 很在他們來講
[1761.92-1764.92] 他們施工費用非常非常的高
[1764.92-1766.92] 所以我們現在就要幫他OK
[1766.92-1768.92] 我們有自己施工的團隊
[1768.92-1771.92] 進去幫你把這些燈具全部拿下來
[1771.92-1773.92] 把我們的放上去了之後
[1773.92-1774.92] 非常非常的高
[1774.92-1776.92] 非常簡單的安裝製作
[1776.92-1778.92] 所以這是我們在做的
[1778.92-1782.92] 你知道Home Depot有2023家店
[1782.92-1783.92] OK
[1783.92-1785.92] 所以我覺得
[1785.92-1788.92] 我們是非常有希望的
[1788.92-1791.92] OK
[1791.92-1792.92] 這個當然
[1792.92-1795.92] 我們也有自己的木頭工廠
[1795.92-1796.92] 對
[1796.92-1798.92] 這是美國現在非常
[1798.92-1801.92] 很夯的Full Bar
[1801.92-1802.92] OK
[1802.92-1803.92] 他一雙靴子賣到
[1803.92-1805.92] 大概800塊美金
[1805.92-1806.92] OK
[1806.92-1807.92] 我們給他設計的是什麼
[1807.92-1809.92] 一個Rusty Look
[1809.92-1810.92] 很
[1810.92-1812.92] 很舊
[1812.92-1815.92] 可是又很新潮
[1815.92-1817.92] 這是我們幫他設計的
[1817.92-1818.92] 所以在這裡面
[1818.92-1821.92] 就算你多加他幾塊錢
[1821.92-1823.92] They'll have
[1826.92-1827.92] OK
[1827.92-1829.92] 這個是Tackle
[1829.92-1830.92] OK
[1830.92-1832.92] Tackle在美國也是有很多很多家店的
[1832.92-1834.92] 你進去Tackle看
[1834.92-1835.92] 又老又舊
[1835.92-1838.92] 所以他讓我們的設計部門過來
[1838.92-1841.92] 幫他改造了一些Fiction
[1841.92-1842.92] 這是我們出來的
[1842.92-1843.92] 很快
[1843.92-1844.92] 很快
[1844.92-1846.92] 我們就會拿到52家店
[1846.92-1847.92] OK
[1847.92-1849.92] 這是我們目前Tackle
[1849.92-1850.92] 我們現在在做的
[1850.92-1856.92] 這是Rusty幫他全部設計
[1856.92-1859.92] 這個他的Catch
[1859.92-1861.92] OK
[1861.92-1863.92] 所以這目前為止
[1863.92-1865.92] 是我們現在的
[1865.92-1866.92] OK
[1866.92-1870.92] Rusty也開很多很多很多家店
[1870.92-1871.92] OK
[1871.92-1873.92] 這是我們現在目前正在做的
[1873.92-1875.92] 我們剛剛承諾了
[1875.92-1878.92] OK
[1888.92-1889.92] OK
[1889.92-1890.92] 現在就跟大家介紹一下
[1890.92-1892.92] 我們近期在開發的
[1892.92-1894.92] 第一個Touch
[1894.92-1895.92] 就是說呢
[1895.92-1899.92] 我們幫他整體的在店裡頭做的一個設計
[1899.92-1901.92] Catch Sense
[1901.92-1903.92] Countertop
[1903.92-1904.92] OK
[1904.92-1908.92] 我們也是幫他做這些整體的規劃設計
[1908.92-1909.92] OK
[1909.92-1911.92] 如果我能夠從規劃設計
[1911.92-1913.92] 一直到幫他生產製造
[1913.92-1916.92] 再幫他把店裡安裝好
[1916.92-1919.92] 你覺得我們會有什麼困難嗎
[1920.92-1922.92] OK
[1922.92-1923.92] 這個呢
[1923.92-1925.92] 就是Family Farm
[1925.92-1926.92] OK
[1926.92-1928.92] 我們幫他做整家店
[1928.92-1929.92] 然後把這個所有的
[1929.92-1931.92] 比如說你的這些Sign
[1931.92-1933.92] 你要賣的品牌是什麼
[1933.92-1934.92] OK
[1934.92-1935.92] 然後往下
[1935.92-1937.92] 我們從而把所有的店
[1937.92-1939.92] 重新幫你規劃
[1939.92-1940.92] OK
[1940.92-1942.92] 然後你要用的Fixture是什麼
[1942.92-1943.92] OK
[1943.92-1945.92] 我們通通都幫他弄好了
[1945.92-1946.92] OK
[1946.92-1947.92] 這是我們現在目前為止
[1947.92-1949.92] 我們正在做的
[1950.92-1952.92] OK
[1952.92-1953.92] Ace
[1953.92-1955.92] Ace Hardware
[1955.92-1958.92] 這個他們全部都是就DIY
[1958.92-1961.92] 所以這次我們在Ace Hardware
[1961.92-1964.92] 他邀請我們進去裡頭
[1964.92-1967.92] 在他的Ace Hardware Show裡面去參加展覽
[1967.92-1968.92] OK
[1968.92-1971.92] 我們幫他做了Countertop
[1971.92-1972.92] OK
[1972.92-1974.92] 我們在Show裡幫他做了Countertop
[1974.92-1975.92] 然後呢
[1975.92-1976.92] 這個我們也把這個
[1976.92-1978.92] 因為這個灑鐵的系統
[1978.92-1980.92] 是BI設計的
[1980.92-1981.92] OK
[1981.92-1982.92] 是BI設計的
[1982.92-1984.92] 所以我們擁有這個設計的這個這個權限
[1984.92-1986.92] 所以我們在Ace Hardware裡頭
[1986.92-1987.92] 可以參加展覽
[1987.92-1988.92] OK
[1988.92-1990.92] Ace Hardware從頭全國
[1990.92-1991.92] 全世界
[1991.92-1993.92] 他有五千兩百家店
[1993.92-1995.92] 我就是買一個很小很小
[1995.92-1997.92] 賣一個小最小的一個Fixture
[1997.92-1998.92] 不要到最大的
[1998.92-1999.92] OK
[1999.92-2001.92] 我是非常有希望
[2001.92-2002.92] 非常有展望的
[2002.92-2007.92] 再往下Kroger
[2007.92-2010.92] 我想在如果大家去美國
[2010.92-2014.92] Kroger是一家情
[2014.92-2018.92] 就像一個Grocery Store
[2018.92-2019.92] 可是呢
[2019.92-2021.92] 他現在出來就是Beauty Table
[2021.92-2024.92] 剛剛才幫他設計好
[2024.92-2025.92] OK
[2025.92-2027.92] 他們非常的喜歡
[2027.92-2029.92] 我們剛剛出了25家店
[2029.92-2030.92] 再往下呢
[2030.92-2031.92] 他會繼續
[2031.92-2032.92] 他們告訴我們
[2032.92-2034.92] 他會繼續跟我們採購
[2034.92-2035.92] OK
[2035.92-2038.92] 當然最非常重要就是CVS
[2038.92-2039.92] OK
[2039.92-2041.92] 這個CVS Pharmacy
[2041.92-2042.92] 在賣藥的
[2042.92-2044.92] 所以非常的簡單
[2044.92-2047.92] 在上面給他擺一個可口可樂的價格
[2047.92-2049.92] 他們喜歡的不得了
[2049.92-2050.92] OK
[2050.92-2051.92] 所以這是往下
[2051.92-2054.92] 我們可以繼續再往下再走的
[2056.92-2057.92] OK
[2057.92-2059.92] 這個當然看到橘紅色的是誰
[2059.92-2062.92] 大家通通都知道是Home Depot
[2062.92-2063.92] 對不對
[2063.92-2064.92] 好
[2064.92-2065.92] 你要給他看看這個Home Depot
[2065.92-2066.92] 這一個門
[2066.92-2067.92] 因為這是要鎖的
[2067.92-2069.92] 因為在美國最大Home Depot
[2069.92-2072.92] 他碰到最大的困難是什麼
[2072.92-2074.92] Towel Set
[2074.92-2075.92] OK
[2075.92-2076.92] 最大的困難
[2076.92-2078.92] 所以他讓我們幫他設計的這一個
[2078.92-2081.92] 就是說你可以自動的關門
[2081.92-2082.92] 對不對
[2082.92-2083.92] 只有這個Key
[2083.92-2085.92] 有Key流卡的人進去才能夠開
[2085.92-2086.92] OK
[2086.92-2089.92] 這種會證的東西通通都放在裡面
[2089.92-2090.92] OK
[2090.92-2092.92] 我們順便也幫他做這一個
[2092.92-2094.92] 整個產品的設計
[2094.92-2095.92] OK
[2095.92-2098.92] 就是你的Sign要放在哪個地方
[2098.92-2099.92] 你這個Oven
[2099.92-2101.92] 這個Oven在美國是相當貴的
[2101.92-2104.92] 所以你要怎麼樣一個Free Standing
[2104.92-2107.92] 就是你隨時到哪個地方你都可以放的
[2107.92-2108.92] OK
[2108.92-2110.92] 所以他們非常的高興
[2110.92-2112.92] 就是我們幫他做這一些
[2115.92-2116.92] 然後這當然Home Depot
[2116.92-2120.92] 我們幫他做一些BBQ的醬
[2120.92-2122.92] 在美國每一個家庭都可以
[2122.92-2123.92] 對不對
[2123.92-2127.92] 那你怎麼樣要讓每一個家庭
[2127.92-2130.92] 都能夠看到這個到你家的時候
[2130.92-2132.92] 展示成什麼樣子
[2132.92-2133.92] 對不對
[2133.92-2138.92] 所以往下我們會繼續再做這一些開發的動作
[2138.92-2140.92] OK
[2140.92-2142.92] 這是Home Depot的時候
[2142.92-2144.92] Home Depot他現在要在外面
[2144.92-2146.92] 熱狗咖啡可口可樂
[2146.92-2147.92] Right
[2147.92-2150.92] 所以我們幫他Design一個這種的Stand
[2150.92-2151.92] OK
[2151.92-2152.92] 就是他進出
[2152.92-2154.92] 還沒有進出Home Depot的時候
[2154.92-2156.92] 進去的人也要經過這個熱狗巷
[2156.92-2159.92] OK
[2159.92-2160.92] 然後出來的時候
[2160.92-2162.92] 他也會買個可口可樂
[2162.92-2163.92] 對不對
[2163.92-2165.92] 所以這是我們現在目前為止
[2165.92-2168.92] 我們在幫他設計的這整個規劃
[2172.92-2173.92] MD
[2173.92-2174.92] OK
[2174.92-2175.92] MD Builder
[2175.92-2177.92] 他是專門到家裡頭
[2177.92-2179.92] 在Home Depot裡面
[2179.92-2183.92] 在Lowes通通有MD的這一個Stand
[2184.92-2186.92] 我們幫他做了整個規劃
[2186.92-2188.92] 你如果在Home Depot的時候
[2188.92-2189.92] 你放的是什麼顏色
[2189.92-2190.92] 你該買的是什麼
[2190.92-2192.92] 你該怎麼放東西
[2192.92-2193.92] Blind所有的
[2193.92-2195.92] 都是我們在幫他規劃的
[2195.92-2197.92] 所以他在每一家Home Depot裡頭
[2197.92-2200.92] 都有他小小的一個Stand在上面
[2200.92-2201.92] OK
[2201.92-2203.92] Home Depot兩千多家店
[2203.92-2205.92] 所以我有個
[2207.92-2208.92] OK
[2208.92-2209.92] 這個呢
[2209.92-2210.92] Again
[2210.92-2213.92] 又是一個做花園的
[2213.92-2214.92] OK
[2214.92-2215.92] 所以現在我們
[2215.92-2217.92] 因為我們灑水系統
[2217.92-2220.92] 所以越來越多人找我們
[2220.92-2223.92] 買這些他的灑水系統的設計
[2225.92-2226.92] OK
[2226.92-2227.92] 當然這個ESL
[2227.92-2229.92] 這個是我們下一步要做的
[2229.92-2230.92] 為什麼
[2230.92-2237.92] 我們要從設計到打鐵趁機賣
[2237.92-2238.92] 我們現在在網站
[2238.92-2240.92] 我們要做AI的這一個過程
[2241.92-2242.92] OK
[2245.92-2247.92] 我們要做一個Course
[2247.92-2248.92] 我們在Course裡面
[2248.92-2251.92] 我們做得非常非常的成功
[2251.92-2252.92] 為什麼
[2252.92-2253.92] 因為我們中國大陸呢
[2253.92-2256.92] 幫我們做了很好很好的一個
[2256.92-2258.92] Cart by Store
[2258.92-2262.92] 我們美國這個地方人工很貴
[2262.92-2263.92] 剛剛錄個跟你們分析的
[2263.92-2264.92] 人工很貴
[2264.92-2268.92] 所以我們的中國大陸或是臺灣
[2268.92-2271.92] 我們都有經過了這一些訓練的流程
[2271.92-2273.92] 所以每一家店每一家店
[2273.92-2274.92] 到美國之前
[2274.92-2276.92] 我們叫Cart by Store
[2276.92-2277.92] 每一家店要什麼東西
[2277.92-2279.92] 我們都已經派好了
[2279.92-2281.92] 到了美國之後怎麼樣
[2281.92-2284.92] Container in, Truck out
[2284.92-2285.92] OK 貨櫃進來
[2285.92-2286.92] 立馬就出去了
[2286.92-2289.92] 節省我們美國很多的人工
[2289.92-2291.92] OK 這是我們現在在做的
[2291.92-2293.92] 我們做得相當的成功
[2293.92-2294.92] 事實上
[2303.92-2304.92] 這個就是我們現在
[2304.92-2306.92] 在開發往下
[2306.92-2308.92] 就是說我們要Safe
[2308.92-2311.92] 因為在美國偷東西太多了
[2311.92-2312.92] OK
[2312.92-2313.92] 我想有些美國
[2313.92-2314.92] 你進去的時候
[2314.92-2316.92] 它是明的偷的
[2316.92-2318.92] 所以我們要怎麼樣一個方式
[2318.92-2319.92] 能夠跟警察
[2319.92-2321.92] 跟所有Security的System
[2321.92-2323.92] 聯絡上連線上
[2323.92-2326.92] OK
[2326.92-2327.92] OK
[2327.92-2328.92] 再往下
[2328.92-2330.92] 我想這就是我的Presentation
[2330.92-2332.92] OK 好
[2332.92-2333.92] 我們現在是在
[2333.92-2335.92] 我們現在就是說
[2335.92-2336.92] 這個呢
[2336.92-2340.92] 我感到非常非常的驕傲
[2340.92-2341.92] 為什麼
[2341.92-2343.92] 因為我的直接的Companion
[2343.92-2344.92] 我跟誰競爭
[2344.92-2345.92] 我跟Logier
[2345.92-2347.92] 我跟Madex競爭
[2347.92-2349.92] Logier跟Madex
[2349.92-2350.92] 他們百分之百
[2350.92-2355.92] 佔便美國所有Vendora的市場
[2355.92-2358.92] 因為這個COVID
[2358.92-2359.92] 他們沒有辦法
[2359.92-2361.92] 他們沒有辦法做連接
[2361.92-2362.92] 所以
[2362.92-2364.92] 我們就想要做一個
[2364.92-2365.92] 最強的這個機會
[2365.92-2367.92] 所以我今天只要告訴大家
[2367.92-2370.92] 我想我們的做法是正確的
[2370.92-2371.92] 為什麼
[2371.92-2372.92] 因為Target呢
[2372.92-2376.92] 在Logier或是Madex在做的時候
[2376.92-2377.92] 玩了之後
[2377.92-2379.92] 售後玩了之後
[2379.92-2381.92] 進去安裝了之後
[2381.92-2382.92] Guess what
[2382.92-2385.92] 他們總是有很多Customer Service
[2385.92-2386.92] 中間的問題
[2386.92-2387.92] 就是等一下這個有問題
[2387.92-2389.92] 等一下那個有問題
[2389.92-2392.92] 等一下這個從頭到尾
[2392.92-2394.92] 沒有辦法直診
[2394.92-2395.92] 但是呢
[2395.92-2400.92] B-Line這個從這個Horizon的出來的
[2400.92-2402.92] 我們只有一個
[2402.92-2403.92] 一個Call
[2403.92-2405.92] 就是一個Customer Service Call
[2405.92-2406.92] OK
[2406.92-2408.92] 非常的簡單
[2408.92-2409.92] 我們進去的時候
[2409.92-2412.92] 他非常感恩我們的包裝
[2412.92-2414.92] 整整齊齊
[2414.92-2415.92] 乾乾淨淨
[2415.92-2416.92] 清清爽爽
[2416.92-2420.92] 每一樣東西標明的非常的清楚
[2420.92-2422.92] 所以他們在安裝的時候
[2422.92-2424.92] 非常的簡單
[2424.92-2425.92] 我們也進去吧
[2425.92-2428.92] 幫他做了很多的安裝
[2431.92-2433.92] 這是我們安裝的過程裡面
[2436.92-2437.92] OK
[2437.92-2440.92] 我們180尺
[2440.92-2442.92] 這Madex的Logier
[2442.92-2444.92] 他沒有辦法做到180尺
[2444.92-2446.92] 所有的這個Shop
[2446.92-2448.92] 都是直的
[2448.92-2450.92] 那最大的
[2450.92-2451.92] 美國最大的工廠
[2452.92-2453.92] 沒有辦法
[2453.92-2454.92] We did it
[2454.92-2456.92] 180尺
[2456.92-2458.92] 全部排上去
[2458.92-2459.92] 整整齊齊
[2459.92-2461.92] 漂漂亮亮
[2461.92-2463.92] 他也非常感恩我們
[2463.92-2465.92] 他從來沒有
[2465.92-2468.92] 我們連這個Logier在美國已經幾十年了
[2468.92-2472.92] 他們沒有一家店能夠像我們做的這樣
[2472.92-2474.92] 我們現在已經做了第二家店
[2474.92-2475.92] 第三家店
[2475.92-2477.92] 我們要馬上開始安裝了
[2477.92-2479.92] 所以在這裡面
[2479.92-2481.92] 所有該賺錢的地方
[2481.92-2483.92] 我都賺了
[2483.92-2487.92] 那我覺得我們的公司是有希望的
[2487.92-2491.92] 我覺得我們是需要投資人的支持
[2491.92-2492.92] 在支持我們
[2492.92-2494.92] We'll be OK
[2494.92-2496.92] 你放心好了
[2499.92-2501.92] 這個就是他的後強
[2501.92-2503.92] 這也是通通都是我們做的
[2503.92-2505.92] OK
[2505.92-2506.92] 感恩大家
[2506.92-2507.92] 謝謝
[2507.92-2510.92] OK 不好意思喔
[2511.92-2513.92] 我看一下
[2513.92-2515.92] 後面就是那個
[2515.92-2516.92] 這個
[2516.92-2521.92] 各位博士大家好
[2521.92-2525.92] 非常歡迎大家今天來參加一訓的
[2525.92-2527.92] 這個發言說明會
[2527.92-2529.92] 畢竟
[2529.92-2531.92] 去年好幾場
[2531.92-2532.92] 發言說明會
[2532.92-2534.92] 我相信大家有可能有參加
[2534.92-2535.92] 那也是熟人
[2535.92-2538.92] 那有這幾天可能有一些是
[2538.92-2539.92] 第一次來訪問
[2539.92-2546.92] 那畢竟我一直來像剛才
[2546.92-2549.92] 說的一些東西
[2549.92-2551.92] 我們今天從一年前就開始講
[2551.92-2553.92] 那現在已經實現
[2553.92-2555.92] 由我們要去安放
[2555.92-2558.92] 那灑水系統也是一年前就講
[2558.92-2559.92] 現在已經開花
[2559.92-2561.92] 肯定也要再下400票
[2561.92-2565.92] 所以基本上我們講的東西都會有
[2565.92-2567.92] 所以我們現在要做的就是
[2567.92-2571.92] 讓我們講的東西都會慢慢去實現
[2571.92-2574.92] 那可能有的東西沒有那麼快
[2574.92-2577.92] 那我今天來跟各位大家報告一下
[2577.92-2578.92] 就是說
[2578.92-2580.92] 我們除了美國市場以外
[2580.92-2583.92] 我們還會去拓展新的東西出來
[2583.92-2587.92] 因為公司一定要不斷的去成長
[2587.92-2589.92] 業績也好
[2589.92-2591.92] 利潤也好
[2591.92-2594.92] 分給所有大眾投資人的股票
[2594.92-2596.92] 一定要不斷的往上升
[2596.92-2600.92] 這是我們上市完最大的終止
[2600.92-2603.92] 絕對不動所有人的交代
[2603.92-2607.92] 那我來跟大家報告一下說
[2607.92-2608.92] 這一年來
[2608.92-2611.92] 去年下半年我們做了很多東西
[2611.92-2614.92] 但是尤其早說會我們也講
[2614.92-2616.92] 第一個就是中國的錢家
[2616.92-2618.92] 那中國的錢家
[2618.92-2621.92] 他市場非常大
[2621.92-2623.92] 就是跟比台灣的7-11
[2623.92-2625.92] 還要台灣的錢家大到不行
[2625.92-2626.92] 現在已經
[2626.92-2628.92] 3900家了
[2628.92-2630.92] 今年要開1000家店
[2630.92-2632.92] 那他的目標
[2632.92-2635.92] 每年要成長35%
[2635.92-2637.92] 所以我們
[2637.92-2640.92] 我們是有信進了那個
[2640.92-2642.92] 整個錢家的供應商去
[2642.92-2644.92] 那我們也經過幾個月的努力
[2644.92-2646.92] 那進去了
[2646.92-2648.92] 現在合同他今天
[2648.92-2649.92] 前幾天已經發給我們
[2649.92-2650.92] 所以我們會
[2650.92-2653.92] 在中國錢家這個市場上
[2653.92-2655.92] 我們一定會佔有相當大的一個份
[2655.92-2657.92] 他們也考察我們公司
[2657.92-2659.92] 他認為我們公司
[2659.92-2662.92] 比所有現在幫他們供應的公司
[2662.92-2664.92] 還要好
[2664.92-2666.92] 還要做得樣子還要漂亮
[2666.92-2669.92] 還有他希望我們幫他改進一些
[2669.92-2671.92] 需要改進的東西
[2671.92-2673.92] 所以我們
[2673.92-2675.92] 逐年會在錢家上面
[2675.92-2677.92] 拿到的份了會
[2677.92-2681.92] 今年他是目標給我們200家店
[2681.92-2684.92] 他說你將來可以再多的話
[2684.92-2688.92] 我們可以一直執行增加他的店數
[2688.92-2690.92] 這是錢家那一塊
[2690.92-2693.92] 那至於
[2693.92-2695.92] 還有一個就是
[2695.92-2698.92] 這個電動車的生產製製劑
[2698.92-2701.92] 你不要看這個蠻簡單的
[2701.92-2705.92] 其實這個電動車的這個製劑的話
[2705.92-2706.92] 是很困難
[2706.92-2707.92] 因為為什麼
[2707.92-2709.92] 他整個電動車組的
[2709.92-2712.92] 這個引擎組裝好
[2712.92-2713.92] 放上去
[2713.92-2714.92] 然後
[2714.92-2718.92] 他要放到電動車的整個工廠去組裝
[2718.92-2720.92] 這個電動車
[2720.92-2723.92] 所以他這個價值是一個要非常準確的
[2723.92-2725.92] 他上面還有一個定位系統
[2725.92-2728.92] 這個電動車的馬達引擎做好以後
[2728.92-2730.92] 他下面還有一個定位系統
[2730.92-2735.92] 就是說你這個電動車的馬達要送哪一個公司
[2735.92-2738.92] 比如上來上去
[2738.92-2740.92] 上比亞迪送哪邊
[2740.92-2742.92] 他都會定位定了
[2742.92-2743.92] 這一批
[2743.92-2744.92] 先往哪邊走
[2744.92-2747.92] 在這個製劑上面
[2747.92-2749.92] 都已經做了
[2749.92-2752.92] 所以我們經過這個打樣測試
[2752.92-2754.92] 那我們確定的拿到電
[2754.92-2757.92] 我們也確定拿到合同
[2757.92-2760.92] 所以這個是一個非常大的量
[2760.92-2761.92] 那今年
[2761.92-2763.92] 我們可能會跟他做個
[2763.92-2765.92] 幾千萬人民幣
[2765.92-2766.92] 應該沒什麼問題
[2766.92-2767.92] 因為
[2767.92-2769.92] 他第一當下給我們就四百萬
[2769.92-2772.92] 四百萬人民幣
[2772.92-2774.92] 那一台是賣給他多少
[2774.92-2776.92] 兩千塊人民幣
[2776.92-2778.92] 那兩千台就四百萬
