[0.00-9.00] 好各位投资先进午安
[1814.66-1817.62] 因为汇率影响是近期大家关注的重点
[1817.62-1820.70] 所以我针对这个整体说明一下
[1820.70-1826.58] 文业的营收跟营业成本绝大部分都是美元
[1826.58-1829.14] 但营业费用包括各式的币别
[1829.14-1832.72] 包括台币美元加币人民币等其他各式的货币
[1832.72-1835.28] 所以当台币兑美元升值的时候
[1835.28-1837.84] 会造成以台币计价的收入
[1837.84-1841.18] 然后毛利的这个金额跟营业利益的金额
[1841.18-1843.74] 都会受到影响会下降
[1843.74-1846.80] 但如果你看毛利率跟营业利益率的话
[1846.80-1847.58] 它的影响会非常大
[1847.62-1848.38] 非常的小
[1848.38-1851.38] 那简单的如果估计一下
[1851.38-1855.08] 台币如果兑美元1%的汇率波动
[1855.08-1858.06] 对于营业利益的金额的影响
[1858.06-1860.02] 大概就是1%
[1860.02-1864.94] 所以我们刚刚也谈到第二季的财务预测
[1864.94-1869.20] 其实已经有考虑到汇兑的一些影响在里面
[1869.20-1871.94] 那这个是在营业利益的部分
[1871.94-1876.72] 那另外如果是从外币的资产负债的部分
[1877.62-1879.66] 其实一直都有在关系汇率波动
[1879.66-1882.74] 然后我们调整资金的这个避贼部位
[1882.74-1885.04] 我们其实也会进行一定的避险操作
[1885.04-1887.10] 所以从业外的这个汇兑亏损
[1887.10-1890.94] 外币部位造成业外汇兑亏损的部分
[1890.94-1895.28] 我们不会预期会有这个大幅的亏损产生
[1899.38-1901.18] 接下来投资人有问到说
[1901.18-1904.76] 近期中国大陆在资料中心基础建设
[1904.76-1907.58] 包括云端与AGE端SERVER
[1907.62-1909.42] 这个部件相对积极
[1909.42-1912.48] 对于文业来说有没有观察到相关需求
[1912.48-1915.30] 哪些业务会受惠
[1915.30-1918.12] 这个部分是有的
[1918.12-1920.42] 那中国大陆也积极在部件
[1920.42-1923.24] 那么我们也都有所参与
[1923.24-1930.40] 所以我们会随着它的部件而增加了一部分的营收
[1930.40-1934.76] 接下来投资人询问这个光通讯相关的产品
[1934.76-1937.58] 都是放在通讯业务的应用别中吗
[1937.62-1940.94] 有无光通讯更进一步的营收占比
[1940.94-1946.58] 光通讯的部分我们现在是都放在
[1946.58-1950.42] 公司通讯把它分成三类
[1950.42-1952.72] 一个是Networking无线通讯
[1952.72-1954.00] 和电信
[1954.00-1957.84] 那光通讯产品都在Networking这一类
[1957.84-1960.66] 公司惯例上我们不揭露
[1960.66-1965.52] 到特定应用下的细节比重
[1967.62-1973.76] 下面这个问到投资人问到2025年财务成本如何预估
[1973.76-1976.58] 总额变化的方向为何
[1976.58-1983.74] 第二季净财务成本预估大概在10.5到11.5亿元之间
[1983.74-1985.28] 今年全年的话
[1985.28-1989.64] 还是要看整个今年全年的这个预估还是要看景气复苏
[1989.64-1992.20] 营收营运资金需求的情况
[1992.20-1993.98] 如果下半年业务成长
[1993.98-1996.80] 营运资金需求就会增加那有可能
[1996.80-1997.58] 财务成本也会增加
[1997.58-2001.94] 但这样的话其实对公司整体来说其实还是正面
[2001.94-2008.08] 那我在想可能大家也会关注就是说这个台币升值对于这个公司财务成本的
[2008.08-2008.58] 影响
[2008.58-2014.74] 那公司目前的这款的话其实大家会关注到我们其实有一部分的这个台币的这款
[2014.74-2015.76] 台币联想这个比较大
[2015.76-2019.34] 这个是用来支应的时候Future的收购
[2019.34-2020.88] 所以这个其实不会受到
[2020.88-2022.16] 汇率的影响
[2022.16-2027.28] 那另外的话就是说我们在业务方面因为刚提到我们的收入成本
[2027.28-2027.54] 都是
[2027.54-2029.34] 美金所以这边我们其实会用
[2029.58-2030.62] 美元的借款
[2030.86-2032.40] 这样可以让整体的这个
[2032.66-2035.48] 可以有一个自然避险的效果
[2035.74-2038.30] 那这部分付的就是美金的这个利息
[2038.54-2040.86] 所以美金的利息我们还是
[2041.10-2044.94] 美金的利息当然就是说在这个美元变值换上台币的话
[2045.20-2046.48] 当然会有一点点
[2046.74-2047.76] 这个正面的影响
[2048.02-2054.16] 但是我们不会因为这样去改变我们这个做美金或做台币就是我们只要是业务相关的
[2054.16-2055.44] 基本上都还是会
[2055.70-2057.24] 用美元的这个
[2057.24-2058.78] 融资的这个渠道
[2059.04-2060.56] 才能达到自然的一个避险
[2062.88-2069.28] 接下来投资人询问请问今年股利配发率比过往高会是新常态吗
[2069.52-2071.84] 为何提高配发率又在
[2072.08-2073.62] 今年股东会有增值议案
[2075.68-2080.02] 大家会注意到我们今年最新的这个
[2080.28-2086.16] 股利的这个配发率从过去的大概50%提升到了70几个%在今年
[2086.16-2087.20] 我们公司之前有提到的就是股价的配发率是在今年最高的一个位置
[2087.20-2091.30] 自完成Future Bingo以来整体的营运跟财务状况都非常稳定
[2091.80-2096.92] 那刚在简报里面看到资产负债表跟相关财务比率也都是在非常健康的水准
[2097.18-2101.54] 所以原则上我们会希望维持这样一个比较高的股利配发率
[2101.80-2104.86] 提升这个资本效率运动效率然后回归股东
[2105.38-2105.88] 所以
[2106.40-2108.20] 本次比较高的配发率
[2108.44-2110.76] 可以是做一个新的一个常态
[2115.10-2116.64] 增值
[2116.64-2117.66] 那
[2118.18-2124.32] GDR的增值案是因为做GDR增值是需要股东会的通过那不止今年
[2124.58-2126.88] 其实公司过去几年来每年的股东会
[2127.14-2129.18] 都有GDR的增值案
[2129.44-2131.74] 这个主要是为了增加营运的弹性
[2132.00-2132.76] 公司目前
[2133.02-2134.56] 没有增值的计划
[2134.82-2140.96] 那未来是不是有增值的需求还是要看景气复苏跟营收营运资金需求状况那如果业务成长的话
[2141.72-2143.00] 营运资金需求就会增加
[2143.26-2143.78] 获利会提升
[2144.04-2146.08] 也有可能会需要增值
[2146.64-2149.96] 增值的话就通常会代表看到未来更好成长的机会
[2153.30-2155.86] 接下来有投资人询问说公司
[2156.12-2158.68] 就是说丧失中国ADI的代理权
[2159.18-2161.24] 对营收和获利的影响如何
[2162.00-2163.54] ADI的这个
[2163.80-2165.58] 相关的人力
[2165.84-2169.42] 除ADI的相关人力我们都已经移转到其他产品
[2170.20-2173.00] 那他对公司的营收获利本来他的
[2173.52-2175.06] 这个获利就比较差
[2175.32-2176.60] 基本上对营收获利的
[2176.90-2177.16] 影响
[2177.40-2178.68] 是非常的轻微的
[2178.94-2179.72] 我们其他产品
[2179.96-2180.74] 已经完全覆盖了
[2185.08-2191.24] 接下来投资人问到第一季存货金额增加不少是否因为公司看好接下来的需求
[2191.48-2192.00] 而开始
[2192.26-2193.02] 积极备货
[2194.56-2200.20] 这个其实之前有提到主要是因为部分产品现在备货需求那这是一个短期的现象
[2200.44-2201.22] 库存天数
[2201.48-2204.28] 和库存金额应该会在未来几个季度一两个季度吧
[2204.54-2205.82] 就会回到正常的水准
[2206.90-2207.92] 但是会比较审慎乐观
[2208.18-2211.24] 以市场的需求动态来调整库存的情况
[2211.76-2217.90] 那像之前简报其实提到公司整体的营运现金天数仍然保持在一个稳定持续向好的
[2218.16-2218.68] 趋势
[2222.00-2226.86] 接下来有投资人询问台币升值后公司会跟原厂
[2227.38-2230.70] 反映价格吗如果涨价反映台币
[2231.22-2234.54] 例如涨价反映台币升值或是对客户涨价
[2235.82-2236.34] 额
[2236.64-2239.72] 这个我们主我们的交易都是以美金
[2239.96-2242.02] 计价的所以
[2242.28-2245.60] 台币的升值对于我们的报价
[2246.12-2246.62] 跟
[2246.88-2250.98] 是不会有影响的如果刚才物长说的
[2251.48-2253.28] 其实台币的
[2253.54-2255.84] 这个变动对于我们的
[2256.36-2261.72] 营业利率对我们的毛利率跟营业利率的影响是非常有限的
[2266.64-2272.78] 接下来投资人问到这个关税和贸易价会使中国半导体本土化加速吗
[2273.04-2277.14] 对文业和future的业务会带来哪些正面或负面的影响
[2286.60-2294.80] 公司在全球都有布局的那中国大陆本身就是很重要的市场其实我们也带
[2295.06-2295.82] 很多
[2296.64-2299.96] 中国本土的半导体的产品
[2300.22-2303.80] 那么如果本地本地中国本地发生这个
[2304.06-2308.16] 本土替代对我们来说是不会有影响的
[2308.68-2310.98] 那公司主要服务客户的需求
[2311.24-2317.12] 因此不管是欧美或者是中国原厂只要客户有需求我们都会跟着提供
[2317.38-2319.94] 所以只要半导体市场整体市场
[2320.44-2321.22] 持续成长
[2321.72-2325.82] 所以不论本土化或是欧美的产品我们都能够跟着成长
[2326.64-2330.74] 这边有投资人询问这个并购future
[2331.00-2332.28] 已经满一年
[2332.52-2338.68] 之前提过的营收和客户的方面的作用效实现的如何整合状况如何
[2345.32-2349.68] 我们的整合进度发展非常的顺利
[2349.94-2352.76] 那双方和团队也合作很愉快
[2353.00-2354.80] 那配合非常的
[2355.06-2355.82] 紧密
[2356.08-2356.60] 其实现在
[2356.84-2363.04] 除了用两个公司的民情在营运以外呢其实我们整个团队都已经合在一起
[2364.32-2366.36] 所以下次我不回答这个问题
[2366.88-2368.42] 因为我们已经是一个团队了
[2368.92-2369.96] 那我们在
[2370.20-2370.72] 刚
[2370.98-2373.54] 一开始要合并的时候所预期的
[2374.04-2375.08] 交叉销售
[2375.58-2378.66] 都已经有适当的机会逐步的在实现
[2379.16-2382.76] 那双方的产品服务也正在优势的互补
[2383.52-2386.60] 我们在积极整合资源让现有客户能够获得
[2386.90-2389.20] 更完整的解决方案
[2389.96-2394.06] 那在后勤的部分我们制定了一个中长期整合计划
[2394.58-2397.90] 逐步提升内部营运效率并优化流程
[2398.42-2399.44] 长期希望透过
[2399.70-2400.72] 系统的整合
[2401.24-2406.60] 标准化作业以及资源共享的合作以稳健的推进方式
[2407.38-2408.14] 逐步
[2408.40-2409.94] 实现效率提升
[2410.20-2411.48] 与流程优化
[2411.98-2413.00] 整体来说
[2413.26-2414.54] 整合进度良好
[2415.06-2416.08] 那我们现在
[2416.08-2417.10] 现在已经是一个团队了
[2417.62-2421.72] 所以下次我就不回答这个问题了我们已经是一家公司一个团队了
[2422.22-2424.52] 那会持续致力于长期
[2424.78-2427.08] 提升股东的权益报酬率
[2441.94-2446.04] 接下来投资人又问了一个关于关税的问题就是假设
[2446.34-2448.90] 假设半导体晶片被克关税
[2449.40-2452.48] 那产品价格普遍增加10%
[2452.74-2454.28] 对公司的影响是
[2454.52-2456.58] 营收提高毛利增加
[2456.84-2457.60] 毛利不变
[2457.86-2458.36] 或是
[2459.14-2460.42] 毛利率不变
[2460.68-2464.76] 或是营收提高但是毛利不变毛利率降低
[2467.08-2471.42] 整个关税的整个情形其实现在都不断在变动
[2471.68-2473.22] 第一个就是说如之前
[2473.48-2476.04] 董事长所提到目前在关税的
[2476.34-2477.62] 对我们的直接影响是非常小
[2477.88-2479.92] 所以在我们的财务报表里面其实
[2480.18-2483.76] 关税的影响几乎是微乎其微
[2484.52-2488.36] 那这些关税实际的到时候情况其实
[2488.62-2493.24] 也会跟我们跟客户很多的这个跟供应商的很多的这个
[2493.48-2495.02] 讨论谈判会有这个
[2495.28-2496.04] 会受到影响
[2496.82-2501.68] 那但是目前看起来就是说我们从一个供应商来说关税在包括我们目前
[2501.94-2503.98] 主要的这个处理方式都是pass-through
[2504.24-2506.04] 就是说这个关税其实会从客户
[2506.34-2506.84] pass-through到
[2507.36-2511.72] 关税如果是我们付的话会pass-through到这个客户这边
[2511.96-2518.12] 那如果这样的话对公司的影响就是说这个关税其实会积在营收里面
[2518.36-2520.92] 但因为公司因为这样付了关税也会在成本里面
[2521.18-2523.48] 所以这个成本也会增加会是营收成本
[2523.74-2525.28] 同时提高了一个情况
[2536.34-2536.84] 可以答
[2540.44-2542.74] 有投资人询问这个特别
[2547.60-2551.70] 投资人询问这个特别股的资金成本较高是否考虑
[2551.96-2554.26] 以其他资金调整作为因应
[2555.28-2560.40] 我们其实每一个投资的这个渠道都有它相应的这个优势跟劣势
[2560.66-2564.50] 包括我们在过去发的这个特别股它其实有一个相应对应的
[2564.76-2565.52] 条款
[2566.08-2567.88] 包括什么时候可以赎回
[2568.12-2568.90] 不赎回的话
[2569.16-2570.68] 对资金成本的影响是什么
[2571.20-2574.28] 那所以其实现在还没有到需要考虑到这个地步
[2574.52-2575.30] 我们在
[2575.56-2579.40] 在需要考虑的时候我们会重而考虑当时的资金环境
[2579.64-2581.96] 然后去评估一下用什么样的方式
[2582.20-2584.00] 对公司的股东利益是最好
[2587.84-2592.96] 这里还有一个投资人询问说美国降息预期相较之前和缓
[2593.22-2595.26] 如何规划今年的财务目标
[2595.52-2596.04] 直化于
[2596.34-2596.84] 量化的
[2597.10-2599.40] 像是贷款与长债规划
[2599.66-2600.44] 财务成本
[2613.24-2617.08] 之前其实有提过我们的目标是要持续的降低负债
[2617.32-2622.44] 但如果整个市场需求复苏然后或者营业需求的话我们其实就做动态的调整
[2622.96-2625.26] 那第二季看来的话是
[2625.52-2627.82] 我们有讲进财务成本是在10.5
[2628.08-2630.12] 到11.5亿元之间
[2630.64-2635.50] 那全年的数字我觉得还是要看景气复苏跟营运资金需求的情况
[2635.76-2639.60] 如同之前讲的只要业务成长的话就会需要营运资金需求
[2639.86-2642.66] 财务成本增加在这个时候会是一个好事
[2648.82-2650.34] 好那个
[2650.86-2652.14] 现场的
[2653.68-2654.96] 那个投资人所问的
[2655.26-2661.40] 的问题以及事先所提出的问题在这边都一一做了答复了
[2661.66-2662.68] 那如果
[2662.94-2664.74] 投资先进的提问
[2664.98-2667.80] 还有一些问题的话
[2668.06-2675.22] 我们呢就会在会后你们email到投资人的关系信箱我们将整理之后回复您的一个
[2675.48-2676.00] 询问
[2676.50-2680.86] 那今天呢就是十分感谢各位投资先进的一个参与
[2681.12-2683.42] 这个周末就是母亲节了
[2683.68-2685.22] 所以祝天下所有的
[2685.46-2691.66] 妈妈们母亲节快乐我们今天的一个法说会就到这边结束
[2691.92-2692.94] 谢谢大家
[2693.20-2693.70] 谢谢
[2693.96-2695.24] 谢谢谢谢
