[0.00-8.64] 那欢迎各位投资先进参加凯基举办美利达线上法人会议
[1524.72-1526.72] 所以库存部分大概是这个状况
[1526.72-1528.72] 所以大家不用担心
[1528.72-1531.72] 年底看到的库存的成长
[1531.72-1533.72] 因为那真的是特殊的状况
[1537.72-1538.72] 我看到了
[1538.72-1540.72] 就是我们到2月底的话
[1540.72-1542.72] 3月7号其实前几个数字
[1542.72-1543.72] 我们的库存
[1543.72-1546.72] 台湾的部分从四十几亿一路掉到三十亿
[1546.72-1548.72] 所以其实有蛮明显的下降
[1548.72-1552.72] 那再看下一个问题
[1552.72-1558.72] 提列大尔所得税资产
[1558.72-1563.72] 还新闻说提列大尔所得税资产的
[1563.72-1567.72] 是一起美国税率上升吗
[1567.72-1569.72] 并不是这样子
[1569.72-1571.72] 税率本身并没有变动
[1571.72-1572.72] 主要是
[1572.72-1574.72] 那个资产就干几十过了
[1574.72-1575.72] 就是那个资产的话
[1575.72-1577.72] 本身因为是未来可以抵税
[1577.72-1579.72] 所以这个
[1579.72-1581.72] 所以也算是一种资产
[1581.72-1582.72] 所以在
[1582.72-1585.72] 之前的财报上会列在那个资产负赠
[1585.72-1586.72] 在表资产上面
[1586.72-1589.72] 不过去年底主要是因为
[1589.72-1591.72] 觉得还是需要保守一点
[1591.72-1593.72] 因为像今年
[1593.72-1596.72] 就算不管是最后结果怎么样
[1596.72-1597.72] 因为那金额蛮大的
[1597.72-1598.72] 所以
[1598.72-1601.72] 绝对不会在今年或是明年一年
[1601.72-1603.72] 就可以把它全部抵用掉
[1603.72-1604.72] 所以这表示说
[1604.72-1607.72] 那很大金额会挂在那个资产负赠
[1607.72-1610.72] 负债表上挂一段期间
[1610.72-1612.72] 那这样也许会让整财报比较
[1612.72-1613.72] 看起来稍微有点失责
[1613.72-1616.72] 所以我们转到公司决定说
[1616.72-1618.72] 先把它提掉
[1618.72-1620.72] 可是未来的话
[1620.72-1622.72] 假设我们过几年之后回复获利
[1622.72-1624.72] 而且有相当大获利的话
[1624.72-1625.72] 可以抵税的话
[1625.72-1626.72] 那些钱并没有不见
[1626.72-1628.72] 那个抵税金额还是可以抵
[1628.72-1630.72] 差别只是在说
[1630.72-1631.72] 因为我们目前已经把它
[1631.72-1633.72] 从资产负债表拿掉
[1633.72-1635.72] 然后变成那个损掉的费用税
[1635.72-1636.72] 造成亏损
[1636.72-1639.72] 那未来会出现的状况就是
[1639.72-1642.72] 未来假设回复获利的时候
[1642.72-1644.72] 它的税前获利假设是A金额
[1644.72-1646.72] 那正常的情况下
[1646.72-1649.72] 我们最后要算税后的获利
[1649.72-1651.72] 那美国的税率大概平均
[1651.72-1653.72] 可能大概25%上下
[1653.72-1656.72] 所以会扣掉大块的那个税
[1656.72-1658.72] 那可是因为我们有这些抵税
[1658.72-1660.72] 所以未来会出现的是
[1660.72-1661.72] 我们的税前是A金额
[1661.72-1663.72] 那税后的B金额
[1663.72-1664.72] 可能跟税前不会差太多
[1664.72-1666.72] 因为有蛮大金额的
[1666.72-1667.72] 可能可以取
[1667.72-1668.72] 因为抵税的关系
[1668.72-1669.72] 所以大概这个是
[1669.72-1671.72] 未来会出现变化
[1671.72-1673.72] 然后再来
[1673.72-1676.72] 华南问说今年要上的
[1676.72-1678.72] 重量型车款跟一网
[1678.72-1680.72] 基本上我们自行之列
[1680.72-1681.72] 大概是这样子
[1681.72-1684.72] 就是一般我们都会
[1684.72-1685.72] 车款推出之后
[1685.72-1687.72] 可能每年还是会稍微改一下
[1687.72-1689.72] 零件有些小修改
[1689.72-1692.72] 然后可能在商标设计外观上
[1692.72-1693.72] 也有做一些修改
[1693.72-1694.72] 每年都还是会改一下
[1694.72-1696.72] 可是整个大
[1696.72-1697.72] 大平台大架构
[1697.72-1698.72] 不会出现很大变动
[1698.72-1699.72] 一般都是可能
[1699.72-1701.72] 三年或四年
[1701.72-1703.72] 然后来个大概款
[1703.72-1704.72] 那所以这个大概是我们
[1704.72-1706.72] 各个车款的
[1706.72-1708.72] 一般大家都这样做
[1708.72-1710.72] 那这次我们今年要上
[1710.72-1711.72] 这个重要型车款
[1711.72-1712.72] 主要就是因为
[1712.72-1713.72] 这次之前
[1713.72-1714.72] 算是主力
[1714.72-1715.72] 然后非常热卖
[1715.72-1716.72] 占领的时候
[1716.72-1719.72] 跟获利还蛮大比重的车款
[1719.72-1720.72] 所以这个对买家
[1720.72-1721.72] 高单价
[1721.72-1722.72] 获利高
[1722.72-1724.72] 然后数量也多
[1724.72-1725.72] 然后这个
[1725.72-1726.72] 这个所以非常重要
[1726.72-1727.72] 所以我们才会
[1727.72-1730.72] 刚才之前跟大家介绍的就是
[1730.72-1731.72] 我们为了这个宁可
[1731.72-1733.72] 把那个库存金的快速拉高
[1733.72-1734.72] 明知道就是这样
[1734.72-1736.72] 会让那个通过看起来
[1736.72-1737.72] 比较不好看一点
[1737.72-1738.72] 可是还是决定这样做
[1738.72-1739.72] 主要就是这个
[1739.72-1740.72] 不期
[1740.72-1742.72] 出货上市真的非常重要
[1744.72-1745.72] 那不过因为这个还没上市
[1745.72-1747.72] 所以也不方便
[1747.72-1748.72] 让市场上知道太多
[1748.72-1749.72] 所以呢
[1749.72-1750.72] 不然有知道新车就旧车
[1750.72-1752.72] 就会影响到现有车种销售
[1752.72-1754.72] 所以这个其他细节
[1754.72-1755.72] 可能就不方便讲
[1757.72-1759.72] 那在那个
[1759.72-1760.72] 那边有问说
[1760.72-1761.72] 那个
[1763.72-1765.72] 前两月的销售状况
[1765.72-1767.72] 跟去年
[1767.72-1768.72] 不好意思
[1768.72-1769.72] 因为我们今年
[1769.72-1771.72] 因为刚才也提到这些问题
[1771.72-1772.72] 所以其实今年我们
[1772.72-1774.72] 我们跟我们转投公司
[1774.72-1776.72] 这边的那个前任都非常
[1776.72-1778.72] 做焦点都紧急的放在
[1778.72-1780.72] 做2024财报
[1780.72-1781.72] 所以那个
[1781.72-1782.72] 一月部分有稍微
[1782.72-1783.72] 迟延一点点
[1783.72-1784.72] 我们
[1784.72-1786.72] 所以这个这个目前数字还没有
[1786.72-1787.72] 可能要在
[1787.72-1788.72] 隔
[1788.72-1789.72] 在几天时间
[1789.72-1791.72] 或一段时间才会看到
[1791.72-1793.72] 那再来可以问说大鲁
[1793.72-1796.72] 提列地缘资产减损是预期
[1796.72-1798.72] 近两年无法赚
[1798.72-1799.72] 而且可以抵税
[1799.72-1800.72] 我就刚才也说过
[1800.72-1801.72] 就是因为我们
[1801.72-1804.72] 可以因为从我们提列这亏损
[1804.72-1805.72] 大家可以看到
[1805.72-1806.72] 那个金额其实非常大
[1806.72-1807.72] 所以啊
[1807.72-1808.72] 那表示说
[1808.72-1809.72] 如果你要全部抵税的话
[1809.72-1812.72] 那你要赚非常非常多
[1812.72-1814.72] 那当然在目前的市场状况下
[1814.72-1816.72] 我们并没有预期这两年
[1816.72-1817.72] 可以做到这件事
[1817.72-1819.72] 所以大概就是刚才说明过的
[1819.72-1820.72] 就是因为这样子
[1820.72-1822.72] 所以才比较好比比比较保守的角度
[1822.72-1823.72] 先把提掉
[1823.72-1825.72] 后面真的可以提税的时候
[1825.72-1826.72] 再让他
[1826.72-1831.72] 以后那个税前跟税后那边去呈现
[1831.72-1833.72] 那目前才
[1833.72-1834.72] 那个董事长在问说
[1834.72-1837.72] 目前产能利用率是多少
[1837.72-1839.72] 那我们的产能利利用率
[1839.72-1841.72] 目前是在提升
[1841.72-1843.72] 因为大家可以从那个我们
[1843.72-1846.72] 我们1月跟2月的营收来看
[1846.72-1848.72] 就有明显的上升
[1848.72-1850.72] 所以其实大概是
[1850.72-1854.72] 从那边其实也看得出来
[1854.72-1857.72] 那
[1857.72-1859.72] 那艾瑞斯跟问说
[1859.72-1863.72] 所得税资产现存完全停列了吗
[1863.72-1866.72] 基本上这部分该提的都提了
[1866.72-1870.72] 所以这部分基本上应该不会再
[1870.72-1873.72] 不会再出现什么停列
[1873.72-1878.72] 那在本预问的地缘所得税
[1878.72-1880.72] 需在几年内的税用完
[1880.72-1882.72] 这个就刚才简报的时候跟大家说明
[1882.72-1884.72] 就是美国的税
[1884.72-1885.72] 因为就相对复杂
[1885.72-1888.72] 还有跟周别跟联邦别不一样
[1888.72-1891.72] 那这个很复杂
[1891.72-1892.72] 所以这个真的很难这样子讲
[1892.72-1895.72] 我绝大部分的像联邦
[1895.72-1899.72] 美国联邦税基本上是没有抵用期限
[1899.72-1902.72] 所以你可以10年20年都可以
[1902.72-1904.72] 那有些周比较早
[1904.72-1908.72] 最早的我看到最早大概可能是2028年
[1908.72-1911.72] 不过很多真的不一样
[1911.72-1915.72] 从我看到美洲税从2028到20世纪
[1915.72-1916.72] 不等了
[1916.72-1918.72] 所以其实大部分都还蛮长的
[1918.72-1920.72] 所以其实这个大概是这样子
[1920.72-1923.72] 所以比较没有办法用一个很
[1923.72-1925.72] 明确说
[1925.72-1927.72] 那个税大概是怎样
[1927.72-1929.72] 然后再来我们轻车
[1929.72-1932.72] 玩的其中一个卖点是更加重要的
[1932.72-1934.72] 就是轻量化
[1934.72-1937.72] 轻量一项都是那个电动车的重点
[1937.72-1939.72] 不过一项都是自行车的重点
[1939.72-1941.72] 因为我们大家都是轻
[1941.72-1943.72] 因为有骑车知道嘛
[1943.72-1944.72] 越轻就越轻松嘛
[1944.72-1947.72] 然后爬坡什么都更可以更快
[1947.72-1949.72] 然后可以爬得更高
[1949.72-1950.72] 当然轻量化是一个重点
[1950.72-1952.72] 不过当然还有其他一些卖点
[1952.72-1955.72] 不过那个这个轻车资讯可能就真的不太方便
[1955.72-1957.72] 在这时有点讲太多
[1957.72-1961.72] 好再来就是有些人会说有新型
[1961.72-1963.72] 今年整体表现比去年更好
[1963.72-1966.72] 这个不好意思这个正交手在外面
[1966.72-1970.72] 不可以不方便针对那个预设性的讲太多
[1970.72-1972.72] 所以这点这个时间点还是方便说
[1972.72-1973.72] 不好意思
[1973.72-1977.72] 那我们在同一头心这边问说
[1977.72-1982.72] 那个我们在4Q2是有扩存减水的状况
[1982.72-1987.72] 扩存减水这个部分还好
[1987.72-1989.72] 因为我们之前本来就都有在提列
[1989.72-1991.72] 尤其是
[1991.72-1994.72] 如果是我们自己的话
[1994.72-1995.72] 本来就都
[1995.72-1996.72] 本来就不多
[1996.72-2000.72] 然后而且都有照照那个在走
[2000.72-2004.72] 所以其实没有什么扩存减水的影响
[2004.72-2006.72] 那我们在转投资那一边的话
[2006.72-2009.72] 因为大家本来知道在前一年其实大部分都提了
[2009.72-2013.72] 所以在去年在2023年其实就已经
[2013.72-2015.72] 我们2023年时候
[2015.72-2018.72] 转投资那边也出现一些亏损
[2018.72-2020.72] 其实主要原因就是在提扩存减水
[2020.72-2021.72] 不过那是2023年
[2021.72-2022.72] 就已经提了差不多了
[2022.72-2026.72] 所以2024年部分基本上也大概状况
[2026.72-2028.72] 而且扩存也回复正常
[2028.72-2034.72] 所以这边比较没有什么不允许再有什么扩存减水的状况
[2034.72-2039.72] 然后在去年底预估今年台湾场能销量在
[2039.72-2045.72] 我们因为今年也才刚开始都
[2045.72-2048.72] 但都是台美均旺季
[2048.72-2050.72] 所以不会这么早去做了
[2050.72-2052.72] 不会这么早去做什么调整
[2052.72-2054.72] 目前看起来没有太大变动
[2054.72-2061.72] 那再来就是大家问说4Q24中国的损益清洗
[2061.72-2063.72] 这边有吗
[2063.72-2070.72] 因为4Q的话中国是半季销售金的本来就偏低
[2070.72-2075.72] 所以那边我们本来就预期可能就损益很多是些人亏损
[2075.72-2076.72] 看一下确实进来吗
[2076.72-2077.72] 应该是小费
[2077.72-2079.72] 不过不管了
[2079.72-2081.72] 这个我们请吴科长看一下
[2081.72-2083.72] 我看我摸好了
[2083.72-2085.72] 这样你比较可以用你的电脑
[2085.72-2086.72] 不好意思
[2086.72-2088.72] 那我改用我的电脑
[2088.72-2090.72] 我看一下那个
[2090.72-2092.72] 我看一下那个
[2092.72-2094.72] 聊天室
[2094.72-2095.72] 聊天室在哪里
[2095.72-2096.72] 我怎么看
[2096.72-2098.72] 这里
[2098.72-2099.72] 这里
[2099.72-2102.72] 看到了
[2102.72-2105.72] 那我看看回到哪里
[2105.72-2107.72] 中国Q4Q部分
[2107.72-2109.72] 请吴科长这边查一下
[2109.72-2115.72] 那2024未实现销货毛利的金额
[2115.72-2117.72] 这个财报我手上没有
[2117.72-2118.72] 你这边有吗
[2118.72-2119.72] 这个我也请
[2119.72-2120.72] 嘉莉你那边有吗
[2120.72-2121.72] 还是你可不可以帮我看一下
[2121.72-2122.72] 因为我这边手上没财报
[2122.72-2127.72] 那最后Kathy问说
[2127.72-2130.72] 请问第4季是否有打台状况
[2130.72-2135.72] 第4季的话
[2135.72-2137.72] 基本上就刚才好像讲过了
[2137.72-2138.72] 就是我们
[2138.72-2140.72] 因为比较库存减损部分
[2140.72-2143.72] 在前一个年度就已经都做差不多
[2143.72-2144.72] 所以当然每年还是会
[2144.72-2147.72] 本来就定期就会做一些调整
[2147.72-2149.72] 不过在今年
[2149.72-2150.72] 在2024年并没有
[2150.72-2152.72] 这个部分影响并不大
[2152.72-2154.72] 所以我们没有提这一块
[2154.72-2156.72] 主要就是因为这样子
[2156.72-2158.72] 好那请问大家还有什么问题吗
[2158.72-2159.72] 因为这个
[2159.72-2160.72] 如果是另外有问题
[2160.72-2162.72] 应该差不多才对
[2162.72-2163.72] 保历了
[2163.72-2164.72] 就是
[2164.72-2167.72] Q4的部分确实有什么
[2167.72-2169.72] 确实在说保历的部分
[2169.72-2170.72] 可是那是问的其他东西
[2170.72-2171.72] 对
[2171.72-2174.72] 确实它就是有点大
[2174.72-2175.72] 不过我们都还是
[2175.72-2176.72] 我们都还是在这个这一段
[2176.72-2178.72] 等一下这一块是因为问了
[2178.72-2179.72] 对
[2179.72-2180.72] 问了什么
[2180.72-2181.72] 保历是跟这个
[2181.72-2182.72] 这本业吗
[2182.72-2183.72] 因为是合并的
[2183.72-2184.72] 对
[2184.72-2185.72] 这个是
[2185.72-2186.72] 没有没有
[2186.72-2187.72] 他是在问的
[2187.72-2189.72] 但是但是我这是因为
[2189.72-2191.72] 这是因为提炼那些损失的关系吗
[2191.72-2192.72] 不是
[2192.72-2193.72] 跟他们没关系
[2193.72-2194.72] 等一下
[2197.72-2200.72] 他就有一块未实现销货利益
[2200.72-2202.72] 我想跟大家跟提醒一下
[2202.72-2204.72] 就是你第四季财报上面
[2204.72-2206.72] 你们都会有练一个就是
[2206.72-2208.72] 在销货毛利这边
[2208.72-2210.72] 在你未实现销货的利益的回冲
[2210.72-2211.72] 或者是
[2211.72-2212.72] 摆在那边
[2212.72-2214.72] 那这边就是一个简项跟真相
[2214.72-2216.72] 这块本来就应该要有的
[2216.72-2219.72] 就你只是问说有还没有
[2219.72-2220.72] 那块我要看一下财报
[2220.72-2221.72] 因为我手上没有财报
[2221.72-2223.72] 那个佳琳可以帮我看一下
[2223.72-2225.72] 不过因为过去我们比较对外
[2225.72-2226.72] 比较没有在看那一块
[2226.72-2228.72] 因为那一块是指说
[2228.72-2229.72] 因为我们出货
[2229.72-2231.72] 我们出货的话的对象是
[2231.72-2233.72] 对象是我们的转投资公司
[2233.72-2235.72] 或是我们自己的资公司
[2235.72-2237.72] 所以假设我们出去
[2237.72-2238.72] 假设我们出很多
[2238.72-2240.72] 可是在他们那边
[2240.72-2241.72] 因为他们也卖出去的话
[2241.72-2242.72] 我们是同一集团内
[2242.72-2244.72] 所以会有出现
[2244.72-2245.72] 会把那某一块
[2245.72-2246.72] 我们财务会把某一块
[2246.72-2247.72] 对这就是我们
[2247.72-2248.72] 对这就是我们想要重视的
[2248.72-2250.72] 对如果说他有回冲
[2250.72-2251.72] 表示他拉货拉走了
[2251.72-2253.72] 所以我们每一个季度
[2253.72-2254.72] 在那个
[2254.72-2255.72] 好OK
[2255.72-2256.72] 都会有写
[2256.72-2257.72] 所以一定可以去揭露
[2257.72-2258.72] 不是不能揭露的
[2258.72-2259.72] 可以揭露
[2259.72-2260.72] 没有没有
[2260.72-2261.72] 我只是说
[2261.72-2262.72] 因为我们现在人在台北
[2262.72-2263.72] 手上没有财报
[2263.72-2265.72] 稍等一下
[2265.72-2267.72] 请那个我们那个
[2267.72-2269.72] 王科长在办公室
[2269.72-2271.72] 比较方便帮大家看
[2271.72-2273.72] 稍等一下
[2276.72-2277.72] 那不好意思
[2277.72-2278.72] 不好意思
[2278.72-2279.72] 那这样想请问一下
[2279.72-2280.72] 那这样因为很多问题
[2280.72-2281.72] 都没有回答嘛
[2281.72-2283.72] 那我想问说您能回答的部分
[2283.72-2284.72] 是不是可以回答一下
[2284.72-2286.72] 比如说SBC的部分
[2286.72-2287.72] 您刚刚在那个有些
[2287.72-2288.72] 有一个highlight
[2288.72-2289.72] 就是说SBC的话
[2289.72-2291.72] 它本业已经接近是亏损
[2291.72-2293.72] 亏损营运亏损缩小
[2293.72-2295.72] 逐渐接近损益两平
[2295.72-2296.72] 请问
[2296.72-2297.72] 那就可以讲一下
[2297.72-2298.72] 就是因为我们一直期待
[2298.72-2299.72] 它的这个部分
[2299.72-2300.72] 从上半年期到去年上半年
[2300.72-2301.72] 到现在下半年
[2301.72-2302.72] 那通常过去来讲
[2302.72-2303.72] 我们都会有揭露一下
[2303.72-2304.72] 就是大概它的季的一个状况
[2304.72-2305.72] 您方便这边讲一下
[2305.72-2306.72] 季的状况吗
[2306.72-2307.72] 或者说不方便的话
[2307.72-2308.72] 可以讲一下
[2308.72-2309.72] 那个全年状况
[2309.72-2310.72] 或上下半年状况
[2310.72-2311.72] 那我们也会去揭露一下
[2311.72-2312.72] 就是大概它的季的一个状况
[2312.72-2313.72] 或者说不方便的话
[2313.72-2314.72] 可以讲一下
[2314.72-2315.72] 那个全年状况
[2315.72-2316.72] 或上下半年状况吗
[2316.72-2319.72] 然后这里让我们去知道一下
[2319.72-2321.72] SBC本业
[2321.72-2322.72] 去年啦
[2322.72-2325.72] 去年你不是预测不能给吗
[2325.72-2326.72] 我说2024年
[2326.72-2329.72] 已经发生的本业部分
[2329.72-2331.72] 本业SBC的本业
[2331.72-2332.72] 去年的话
[2332.72-2334.72] 其实就是刚才
[2334.72-2335.72] 那时候简报给大家看的
[2335.72-2336.72] 就是本业部分
[2336.72-2337.72] 对那你想要知道说
[2337.72-2339.72] 它亏损里面大概占8%
[2339.72-2340.72] 就是它本业
[2340.72-2342.72] 如果以那个比例来讲
[2342.72-2343.72] 来看的话其实不大
[2343.72-2344.72] 因为我给它算过
[2344.72-2345.72] 大概那亏损占营收
[2345.72-2346.72] 大概才一趴多
[2346.72-2347.72] 但是这是有循序渐进的
[2347.72-2348.72] 这是上半年可能比较大
[2348.72-2349.72] 下半年比较小
[2349.72-2350.72] 所以或者说
[2350.72-2351.72] 下半年搞不好已经
[2351.72-2352.72] 已经随一两平了
[2352.72-2353.72] 所以它导致成
[2353.72-2354.72] 只有负个8%的一个占比
[2354.72-2355.72] 这因为我们不知道那数字
[2355.72-2356.72] 所以是方便协理
[2356.72-2357.72] 跟我们讲一下
[2357.72-2358.72] 第四季的单机的
[2358.72-2359.72] 那个它本业的状况
[2359.72-2360.72] 可以吗
[2360.72-2361.72] 那不好意思
[2361.72-2362.72] 因为这次
[2362.72-2363.72] 这次比较特别
[2363.72-2364.72] 因为我们知道
[2364.72-2365.72] 这个本业的货币
[2365.72-2366.72] 它本业的货币
[2366.72-2367.72] 它本业的货币
[2367.72-2368.72] 这次比较特别
[2368.72-2369.72] 所以我们刚才三点
[2369.72-2370.72] 特别被要求来
[2370.72-2371.72] 来政要署这边做那个
[2371.72-2372.72] 中大宣传记者会
[2372.72-2373.72] 所以以前我们都在公司
[2373.72-2374.72] 比较方便
[2374.72-2375.72] 这次来台北比较方便
[2375.72-2376.72] 那个数字
[2376.72-2377.72] 我现在手上真的没有
[2377.72-2378.72] 不过以整年来看
[2378.72-2379.72] 我自己知道
[2379.72-2380.72] 我自己有注意的是
[2380.72-2381.72] 那个整年
[2381.72-2382.72] 那整年的话
[2382.72-2383.72] 基本上它大概就是
[2383.72-2384.72] 它的亏损
[2384.72-2385.72] 如果以本业来看
[2385.72-2386.72] 亏损金额
[2386.72-2387.72] 它亏损比例
[2387.72-2388.72] 大概是可能不到2%
[2388.72-2389.72] 所以我们现在
[2389.72-2390.72] 有一个约定
[2390.72-2391.72] 我们要来看
[2391.72-2392.72] 这个货币的货币
[2392.72-2393.72] 它本业的货币
[2393.72-2394.72] 它本业的货币
[2394.72-2395.72] 它的亏损比例
[2395.72-2396.72] 大概是
[2396.72-2397.72] 可能不到两趴
[2397.72-2398.72] 所以这表示说
[2398.72-2399.72] 那个毛利
[2399.72-2400.72] 如果他毛利未来
[2400.72-2402.72] 今年假设再往上爬一些
[2402.72-2403.72] 基本上就我们讲
[2403.72-2405.72] 接近2平就是因为
[2405.72-2406.72] 他的那个
[2406.72-2407.72] 现在亏损的比例
[2407.72-2408.72] 其实已经相对算低了
[2408.72-2409.72] 所以已经接近
[2409.72-2410.72] 那个属于2平的
[2410.72-2411.72] 那个比例
[2411.72-2414.72] 大概是这样子
[2414.72-2415.72] 可是看
[2415.72-2416.72] 你看Q这个会有点不准
[2416.72-2418.72] 因为在那个
[2418.72-2419.72] 自营车业
[2419.72-2420.72] 啊的部分
[2420.72-2422.72] 1Q跟4Q都是淡季
[2422.72-2423.72] 所以2 3通常都比较好
[2423.72-2424.72] 可是看4 Q
[2424.72-2426.32] 所以你要看趋势的话
[2426.32-2427.32] 比较不能这样子看
[2427.32-2430.32] 所以变成说一定都是1Q比较差
[2430.32-2431.94] 4Q可能也不太好
[2431.94-2433.44] 然后2、3Q会比较会
[2433.44-2435.08] 会是旺季比较高这样子
[2435.08-2436.48] 所以我们趋势不会用
[2436.48-2438.92] 不会出现足迹成长这种事情
[2438.92-2439.84] 都一定都是这种
[2439.84-2441.22] 大概是这种曲线
[2441.22-2446.88] 当然就是我们市场上需要
[2446.88-2448.00] 基本上就是明年
[2448.00-2451.50] 那市场上现在在看的主要就是今年的
[2451.50-2454.46] 因为虽然说我们准透视公司的部分
[2454.46-2457.44] 整体状况我讲相对其他品牌来讲
[2457.44-2458.78] 应该是比较好
[2458.78-2461.30] 不过因为很多其他品牌
[2461.30-2463.24] 现在在市场上还蛮辛苦的
[2463.24-2464.38] 所以尤其是大家可能
[2464.38-2465.98] 如果在看业界新闻的话
[2465.98-2467.24] 可能会注意到
[2467.24-2470.20] 像BikeUrb或一些媒体都会报道说
[2470.20-2472.12] 在市场上欧洲
[2472.12-2473.38] 尤其是欧洲那边
[2473.38-2475.68] 每个礼拜都有看到某些品牌
[2475.68-2477.56] 就是破产或是重整
[2477.56-2479.92] 不过那些绝大部分都是新创
[2479.92-2481.62] 或是前几年新创
[2481.62-2483.70] 或是比较国家别的小品牌
[2483.70-2484.24] 所以这个
[2484.24-2486.04] 这个前阵子非常多
[2486.04-2487.94] 所以表示说很多品牌
[2487.94-2490.44] 当有这种状况的话就会
[2490.44-2493.82] 因为到最后阶段的话都撑不住
[2493.82-2494.70] 所以很多品牌
[2494.70-2496.84] 基本上就会开始出现很大的折扣
[2496.84-2498.10] 可能有到
[2498.10-2501.38] 达到三折二折
[2501.38-2502.84] 这种夸张的折数都跑出来
[2502.84-2504.00] 因为都快倒了
[2504.00-2505.28] 所以一定要现金求收
[2505.28-2507.06] 所以市场上的状况
[2507.06-2509.34] 现在就是在欧美上就出现这种状况
[2509.34-2510.96] 所以相对的
[2510.96-2513.18] 虽然我们自己的公司
[2513.18-2514.00] 包括我们自己品牌
[2514.00-2515.30] 或是我们投资品牌
[2515.30-2517.22] 不会去真的去
[2517.22-2518.42] 不需要去做那种折扣
[2518.42-2520.08] 因为我们基本上财务上还好
[2520.08-2520.88] 没有那么压力
[2520.88-2522.82] 所以宁可就是不要亏损
[2522.82-2525.18] 可是卖的销的慢一点没关系
[2525.18-2526.26] 可是不要出现那种亏损
[2526.26-2528.64] 可是其他品牌会出现比较大的那个
[2528.64-2530.70] 大的折扣
[2530.70-2533.32] 所以当你假设你是消费者角度来看的话
[2533.32-2535.94] 那你有选择就是买比较好的车
[2535.94-2537.70] 可是价格折扣不多
[2537.70-2538.70] 然后价格比较高
[2538.70-2541.82] 可是可以有跳楼大拍卖的其他的旧车
[2541.82-2543.00] 那一定
[2543.00-2543.84] 一定有一部分的车货是不够的
[2543.84-2543.98] 一定有一部分的车货是不够的
[2544.00-2544.02] 那一定有一部分的车货是不够的
[2544.02-2545.86] 那一定有一部分的人会被那个旧车吸引住
[2545.86-2546.70] 所以说
[2546.70-2549.10] 所以对我们来讲
[2549.10-2549.88] 状况没有那么
[2549.88-2550.88] 对我们来讲
[2550.88-2553.32] 自己品牌部分状况没那么差
[2553.32-2555.84] 可是压力一定还是会有
[2555.84-2557.94] 因为市场上虽然的那个消费者
[2557.94-2559.24] 会有出现这种比较
[2559.24-2561.34] 其他品牌那种
[2561.34-2562.62] 折扣竞争压力
[2562.62-2563.10] 大概是这样
[2563.10-2564.60] 所以今年我们是期待
[2564.60-2566.58] 整个该
[2566.58-2568.82] 就是比较辛苦的那些
[2568.82-2569.98] 也都差不多了
[2569.98-2572.54] 整个市场是不是就渐渐恢复正常
[2572.54-2573.62] 那这个的话就会
[2573.62-2573.98] 让我们的品牌
[2573.98-2575.68] 让我们的毛利持续上升
[2575.68-2578.30] 那去年如果我们只看毛利率的话
[2578.30-2579.36] 那我们转头
[2579.36-2581.80] 这块毛利率其实是有主要
[2581.80-2582.96] 在年初跟
[2582.96-2584.66] 以年初到年底来看的话
[2584.66-2587.44] 数字很方便给的是趋势是往上的
[2587.44-2588.72] 所以就逐渐变好
[2588.72-2591.72] 所以这个比较有符合我们原先的期待
[2591.72-2593.84] 只是说还没有爬得不够高
[2593.84-2595.94] 需要再爬几爬才会变获利
[2595.94-2596.44] 这样子
[2596.44-2598.42] 谢你不好意思
[2598.42-2599.46] 还是再问一下
[2599.46-2600.30] 那存货啊
[2600.30-2600.94] 您刚刚讲说
[2600.94-2603.44] 大概有上到100个亿以上嘛
[2603.44-2603.96] 就是我们的
[2603.98-2605.84] 我们第四季季底的数字
[2605.84-2607.94] 你刚刚说大概我们如果现在
[2607.94-2609.46] 那时候状况的话是
[2609.46-2612.14] 台湾的部分是大概40亿左右
[2612.14-2612.74] 40亿
[2612.74-2613.74] 那可以问一下
[2613.74-2615.50] 40多亿是OK
[2615.50-2617.92] 那过去来讲都会猜一下
[2617.92-2619.22] 比如说我们可以知道一下
[2619.22-2621.02] 中国的存货大概多少吗
[2621.02-2622.22] 或者是在
[2622.22-2623.98] 就是这个区域的存货我们有吗
[2623.98-2625.60] 因为我们还是在制品跟制成品
[2625.60-2626.80] 这两块是最大的吗
[2629.02-2629.82] 对
[2629.82-2631.42] 台湾这边一向是
[2631.42-2633.44] 因为工厂端已经是一向是最大的
[2633.44-2635.06] 所以我们所以这次
[2635.06-2637.10] 我说中国的
[2637.10-2638.12] 中国部分还好
[2638.12-2640.34] 我们中国的扩存一般都是十几亿
[2640.34-2641.84] 所以十几到二十之间
[2641.84-2642.98] 所以到还好
[2642.98-2646.34] 因为这个在我们整个是因为我们三个三个工厂在那边
[2646.34-2647.86] 将加上那个层次销售
[2647.86-2650.06] 所以他们还蛮稳定的
[2650.06-2650.66] 所以不好意思
[2650.66-2651.82] 所以100个亿里头啊
[2651.82-2655.46] 你刚刚说40来个亿是是在台湾这边
[2655.46-2657.74] 那中国的部分二十来个亿是另外
[2657.74-2659.48] 也是放在这个100个亿里头嘛
[2659.48-2660.00] 对不对
[2660.00-2661.68] 因为是合并进来的嘛
[2661.68-2661.96] 对对
[2661.96-2662.68] 都在100里面
[2662.68-2663.38] 所以说
[2663.44-2665.42] 所以说台湾在40来个亿
[2665.42-2668.54] 然后中国大概10到20个亿这样子数字
