[0.00-5.70] 现在时间是5月20日下午三点整
[1824.60-1826.60] 所以面对这些,
[1826.60-1827.60] 市场的,
[1827.60-1829.60] 居多的这个挑战,
[1829.60-1832.60] 台向要如何积极的应对呢?
[1832.60-1833.60] 首先,
[1833.60-1837.60] 我们必须不断的优化我们的产品组合,
[1837.60-1839.60] 及应用,
[1839.60-1844.60] 重新调整我们整个供应链的布局,
[1844.60-1847.60] 以强化台向的营运韧性,
[1847.60-1852.60] 应对这整个贸易局势的一些动荡,
[1852.60-1854.60] 我们也将提升,
[1854.60-1856.60] 我们产销购,
[1856.60-1858.60] 的反应能力,
[1858.60-1859.60] 来平衡,
[1859.60-1861.60] 及时的平衡,
[1861.60-1864.60] 我们整个市场的波动,
[1864.60-1865.60] 同时,
[1865.60-1868.60] 我们会谨慎,
[1868.60-1870.60] 管控我们的费用,
[1870.60-1872.60] 及资本支出,
[1872.60-1874.60] 在一个不确定的这个环境里,
[1874.60-1875.60] 这个是一个,
[1875.60-1880.60] 直观重要的措施,
[1880.60-1883.60] 另一个重要的措施,
[1883.60-1885.60] 就是积极的加速,
[1885.60-1889.60] 开发我们在医疗跟绿色轮胎等,
[1889.60-1892.60] 特用化学产品的解决方案,
[1892.60-1895.60] 台向在这两个应用面,
[1895.60-1896.60] 及市场,
[1896.60-1898.60] 已经取得了很好的突破,
[1898.60-1899.60] 跟进展,
[1899.60-1903.60] 我们将加速开发的这个步伐,
[1903.60-1906.60] 来让台向有更大的跳跃空间,
[1906.60-1912.60] Against the uncertainty,
[1912.60-1913.60] the market uncertainty,
[1913.60-1914.60] the actions that we are taking,
[1914.60-1916.60] and continue to take,
[1916.60-1919.60] to navigate through this uncertainties,
[1919.60-1920.60] First,
[1920.60-1923.60] we need to optimize our product portfolio,
[1923.60-1925.60] and adjust our reposition,
[1925.60-1926.60] our supply chain,
[1926.60-1930.60] in order to enhance our business resilience,
[1930.60-1933.60] amid the whole changing trade flow,
[1933.60-1937.60] We will increase our SPP,
[1937.60-1939.60] meaning sales,
[1939.60-1940.60] production,
[1940.60-1941.60] procurement,
[1941.60-1943.60] or we sometimes call SNOP,
[1943.60-1945.60] the engagement frequency,
[1945.60-1949.60] in order to response to the market volatilities,
[1949.60-1952.60] TSRC has,
[1952.60-1955.60] and will continue to maintain a very prudent,
[1955.60-1957.60] expenditure discipline,
[1957.60-1960.60] This is an area that I think we have done very well,
[1960.60-1961.60] and we continue to do that,
[1961.60-1964.60] especially in the times of difficulties,
[1964.60-1966.60] and uncertainties,
[1966.60-1968.60] But more positively,
[1968.60-1970.60] we will accelerate,
[1970.60-1972.60] continue to accelerate the development,
[1972.60-1975.60] of our specialty applications,
[1975.60-1977.60] especially in medical,
[1977.60-1979.60] and green tire solutions,
[1979.60-1981.60] This will enable TSRC,
[1981.60-1986.60] to pursue opportunities of higher value,
[1986.60-1988.60] in the coming quarters,
[1997.60-1998.60] Now,
[1998.60-1999.60] I will tell you about,
[1999.60-2002.60] the implementation progress of the major Taiwan-China project,
[2002.60-2003.60] first of all,
[2003.60-2008.60] we have been emphasizing for the past two years,
[2008.60-2012.60] that one of our most important projects,
[2012.60-2015.60] is the transfer of our Shihwa Chemical and Alang Taishang,
[2015.60-2016.60] new factory,
[2016.60-2019.60] I am very happy to report to you,
[2019.60-2022.60] that our Shihwa Chemical and Alang Taishang,
[2022.60-2026.60] even though they are in a competitive market,
[2026.60-2028.60] are already in a very bad condition,
[2028.60-2031.60] Our Shihwa Chemical,
[2031.60-2033.60] the three-stage chemical success,
[2033.60-2037.60] has already reflected in our first season of performance,
[2037.60-2038.60] just now,we,
[2038.60-2039.60] Chairman Cai,
[2039.60-2041.60] also explained to you,
[2043.60-2044.60] second,
[2045.60-2047.60] we will continue to,
[2047.60-2048.60] proven,
[2048.60-2049.60] we are in,
[2049.60-2050.60] the container,
[2050.60-2051.60] Beneath,
[2051.60-2052.60] Ding 2C rubber,
[2052.60-2054.60] is our so-called SSBR,
[2054.60-2057.60] new production line construction project,
[2057.60-2060.60] and will actively and actively,
[2060.60-2062.60] with global tire customer cooperation,
[2062.60-2063.60] accelerate,
[2063.60-2064.60] we in SSBR,
[2064.60-2066.60] new product development and transformation,
[2068.60-2071.60] this is a very important project,
[2071.60-2073.60] we have already started,
[2073.60-2074.60] just now,
[2074.60-2077.60] our finance minister also mentioned,
[2077.60-2080.60] this,in the next few years,
[2080.60-2082.60] will be our,
[2082.60-2084.60] a very important,
[2084.60-2085.60] and,
[2085.60-2086.60] high-quality,
[2086.60-2088.60] a movement,
[2088.60-2090.60] it also shows the importance of,
[2090.60-2093.60] technical innovation,
[2093.60-2094.60] also helps us,
[2094.60-2095.60] in the future,
[2095.60-2096.60] in commercialization,
[2096.60-2097.60] production,
[2097.60-2098.60] and market expansion,
[2098.60-2099.60] this drive.
[2099.60-2101.60] This allows me now to,
[2101.60-2102.60] provide some updates,
[2102.60-2104.60] on some of the key projects,
[2104.60-2106.60] that we are undertaking,
[2106.60-2108.60] or we have undertaken,
[2108.60-2109.60] first and foremost,
[2109.60-2110.60] last couple of years,
[2110.60-2111.60] we talked about,
[2111.60-2112.60] one of the key,
[2113.60-2114.60] projects is,
[2114.60-2115.60] is the relocation of our,
[2115.60-2116.60] Shenhua,
[2116.60-2118.60] and Alansio T-Series,
[2118.60-2119.60] and TSRC,
[2119.60-2120.60] Joint Ventures,
[2120.60-2121.60] new plant,
[2121.60-2122.60] and I'm happy to,
[2122.60-2123.60] report that,
[2123.60-2126.60] we have commercialized,
[2126.60-2128.60] the new plant,
[2128.60-2130.60] despite the increased market,
[2130.60-2132.60] competitiveness,
[2132.60-2133.60] and,
[2133.60-2134.60] right now,
[2134.60-2135.60] we continue,
[2135.60-2136.60] our effort,
[2136.60-2137.60] to proceed with,
[2137.60-2138.60] our SSBR,
[2138.60-2139.60] new line investment,
[2139.60-2141.60] which is very important,
[2141.60-2143.60] in our initiative,
[2143.60-2146.60] to,
[2146.60-2147.60] upgrade,
[2147.60-2148.60] and,
[2148.60-2150.60] our value proposition,
[2150.60-2152.60] and our offering,
[2152.60-2153.60] and,
[2153.60-2154.60] we will work with,
[2154.60-2157.60] our global tire customer,
[2157.60-2158.60] to accelerate,
[2158.60-2160.60] our new grade commercialization,
[2160.60-2162.60] as well as development,
[2168.60-2170.60] 最後,
[2170.60-2171.60] 而且很重要的,
[2171.60-2173.60] 是讓我向大家報告,
[2173.60-2174.60] 台向,
[2174.60-2176.60] ESG 的主要行動,
[2176.60-2177.60] 跟成果,
[2178.60-2179.60] 台向,
[2179.60-2181.60] 自 2021 年起,
[2181.60-2182.60] 持續達成,
[2182.60-2183.60] 年度減碳,
[2183.60-2185.60] 2.5%,
[2185.60-2188.60] 百分比的目標,
[2188.60-2189.60] 但往,
[2189.60-2191.60] 前走,
[2191.60-2192.60] 要兼顧,
[2192.60-2193.60] 企業成長,
[2193.60-2194.60] 跟,
[2194.60-2196.60] 碳排放減量目標,
[2196.60-2197.60] 將,
[2197.60-2198.60] 越來越,
[2198.60-2199.60] 有挑戰,
[2199.60-2200.60] 當然我們,
[2200.60-2202.60] 一定會,
[2202.60-2203.60] 繼續的努力,
[2203.60-2204.60] 達成我們的,
[2204.60-2207.60] 減碳目標,
[2207.60-2208.60] 在,
[2208.60-2209.60] 2024 年,
[2209.60-2210.60] 我們獲得,
[2210.60-2211.60] 獲得了幾個,
[2211.60-2212.60] 重要的,
[2212.60-2214.60] 外部的,
[2214.60-2216.60] ESG 評鑑認可,
[2216.60-2217.60] 這包括我們,
[2217.60-2218.60] 美國廠,
[2218.60-2219.60] 獲得,
[2219.60-2220.60] Ecovartis,
[2220.60-2221.60] 永續評鑑的,
[2221.60-2222.60] 白金獎,
[2222.60-2223.60] 我們台向,
[2223.60-2224.60] 宇部,
[2224.60-2225.60] 也獲得了,
[2225.60-2226.60] Ecovartis,
[2226.60-2228.60] 永續評鑑的銀牌,
[2228.60-2230.60] 那我們美國的廠,
[2230.60-2232.60] 也在今年年初,
[2232.60-2233.60] 取得了,
[2233.60-2235.60] ISCC Plus 認證,
[2235.60-2237.60] 那大家在台灣的,
[2237.60-2238.60] 應該很清楚,
[2238.60-2239.60] 就是我們證交所的,
[2239.60-2240.60] 公司,
[2240.60-2241.60] 治理評鑑,
[2241.60-2242.60] 台向,
[2242.60-2244.60] 持續保持在前,
[2244.60-2247.60] 6 到 20%,
[2247.60-2248.60] 百分比的,
[2248.60-2249.60] 這個位置,
[2249.60-2251.60] 我們在,
[2251.60-2253.60] 碳揭露計畫,
[2253.60-2254.60] 就 CDP,
[2254.60-2255.60] 也獲得了,
[2255.60-2256.60] 經理級別的,
[2256.60-2258.60] 這個評鑑,
[2258.60-2259.60] 這些成就呢,
[2259.60-2260.60] 其實,
[2260.60-2261.60] 不僅顯示了,
[2261.60-2262.60] 台向對於,
[2262.60-2264.60] 可持續發展的,
[2264.60-2265.60] 這個承諾,
[2265.60-2266.60] 那也強調了,
[2266.60-2268.60] 台向在提升,
[2268.60-2269.60] 永續能力,
[2269.60-2271.60] 以及跟全球,
[2271.60-2272.60] 企業,
[2272.60-2273.60] 同步前進的,
[2273.60-2277.60] 這個決心,
[2277.60-2278.60] 最後,
[2278.60-2279.60] 非常重要,
[2279.60-2280.60] 讓我提供一個,
[2280.60-2281.60] 更新,
[2281.60-2283.60] 我們 ESG 項目,
[2283.60-2285.60] 我們在 2021 年,
[2285.60-2287.60] 已經展示了,
[2287.60-2289.60] 我們能夠達到,
[2289.60-2291.60] 2.5% 每年,
[2291.60-2293.60] 的氧氣減少,
[2293.60-2295.60] 而更新,
[2295.60-2296.60] 並且,
[2296.60-2298.60] 我們將向前移動,
[2298.60-2299.60] 挑戰,
[2299.60-2300.60] 對於,
[2300.60-2301.60] 商業發展,
[2301.60-2302.60] 和,
[2302.60-2303.60] 碳排氣減少,
[2303.60-2304.60] 的挑戰,
[2304.60-2305.60] 將會更加困難,
[2305.60-2306.60] 但我們,
[2306.60-2307.60] 我們努力,
[2307.60-2308.60] 去,
[2308.60-2309.60] 遵守這些挑戰,
[2309.60-2310.60] 並且,
[2310.60-2311.60] 承諾,
[2311.60-2312.60] 達到,
[2312.60-2313.60] 我們的,
[2313.60-2314.60] 碳排氣減少,
[2314.60-2315.60] 目標,
[2315.60-2316.60] 在,
[2316.60-2317.60] 19,
[2317.60-2318.60] 抱歉,
[2318.60-2319.60] 在,
[2319.60-2320.60] 2024 年,
[2320.60-2321.60] 我們獲得,
[2321.60-2322.60] 一些,
[2322.60-2323.60] 幾個,
[2323.60-2324.60] ESG 項目,
[2324.60-2325.60] 包括,
[2325.60-2327.60] TSM 項目,
[2327.60-2328.60] 是我們,
[2328.60-2329.60] 美國的,
[2329.60-2330.60] 銀行,
[2330.60-2331.60] 銀行獎,
[2331.60-2332.60] 為,
[2332.60-2333.60] TSRC 烏北,
[2333.60-2334.60] 聯合投資,
[2334.60-2335.60] 在南通,
[2335.60-2336.60] 而在,
[2336.60-2337.60] 今年,
[2337.60-2338.60] 在,
[2338.60-2339.60] 我們,
[2339.60-2340.60] TSM,
[2340.60-2341.60] 是,
[2341.60-2342.60] 美國的,
[2342.60-2343.60] 銀行,
[2343.60-2344.60] 獲得,
[2344.60-2345.60] ISCC 項目,
[2345.60-2346.60] 和,
[2346.60-2347.60] 台灣,
[2347.60-2348.60] 銀行交易,
[2348.60-2349.60] 銀行管理,
[2349.60-2350.60] 的,
[2350.60-2351.60] 我們,
[2351.60-2352.60] 繼續,
[2352.60-2353.60] 維持,
[2353.60-2354.60] 6-20%,
[2354.60-2355.60] 的,
[2355.60-2356.60] 成,
[2356.60-2357.60] 成長,
[2357.60-2358.60] 能,
[2358.60-2359.60] 陳,
[2359.60-2360.60] 以他的,
[2360.60-2361.60] 與,
[2361.60-2362.60] час的項目,
[2362.60-2384.00] 維持,
[2384.00-2384.52] 時 synergy 超過,
[2384.52-2388.96] 在产业援军的挑战下
[2388.96-2393.54] 台向云运绩效仍然较前一年提升
[2393.54-2398.24] 在面对着这些充满挑战
[2398.24-2401.20] 和不确定的市场前景
[2401.20-2405.66] 台向将会以实际的行动
[2405.66-2407.96] 来强化我们的云运韧性
[2407.96-2410.08] 同时我们也会加速
[2410.08-2412.30] 我们执行重大专案
[2412.30-2413.84] 及绿色创新
[2413.84-2417.96] 以维持我们企业勇气成长的动力
[2417.96-2422.22] 最后让我描述几个关键点
[2422.22-2426.24] 在2024年
[2426.24-2428.58] 我们展示了我们能够
[2428.58-2430.82] 每年都能够达到业务改善
[2430.82-2433.78] 虽然市场情况非常困难
[2433.78-2439.14] 但在市场上
[2439.14-2442.28] 市场仍然是一个
[2442.28-2443.34] 不愧是NEGRO
[2443.34-2444.76] 虽然 rere:]
[2444.76-2445.88] 但是我们仍然
[2445.88-2447.24] 苏值其时
[2447.24-2448.86] ye時間
[2448.86-2449.12] 555
[2449.12-2450.08] Estado
[2450.08-2450.66] 是名语
[2450.66-2451.46] 时
[2451.46-2452.72] bleibt
[2452.72-2453.42] 是
[2453.42-2453.88] 缝隙
[2453.88-2454.94] 色的
[2454.94-2455.24] grievance
[2455.24-2455.92] п сд
[2455.92-2458.16] Orsini
[2458.52-2458.86] 还说
[2458.86-2459.82] 满地
[2459.82-2460.80] 如果
[2460.80-2471.68] 租高
[2471.68-2472.28] umer
[2472.28-2473.30] 以后的行动
[2474.12-2476.18] 我向您的感谢
[2476.18-2478.20] 然后让我们转发给
[2478.20-2479.72] 我们的
[2479.72-2481.04] 报告人
[2481.04-2482.20] 给他们的评论和回答
[2482.84-2483.48] 谢谢
[2483.56-2485.68] 就完整的说明与总结
[2486.26-2488.12] 在接下来的十五分钟
[2488.12-2490.18] 我们将进行问语答
[2490.58-2492.28] 请与会的来宾
[2492.28-2493.88] 在Zoom网上界面
[2493.88-2496.36] 以文字的形式提出问题
[2496.78-2498.30] 我会在现场复述
[2498.82-2500.70] 并由我们的执行长亲自
[2500.70-2502.66] 或指派财务长回答
[2502.66-2508.06] 提醒您可于问题中留下您所代表的机构及联络方式
[2508.06-2512.12] 以便我们能针对未能来得及回答的问题
[2512.12-2514.96] 于会后与您联络说明
[2514.96-2517.66] 现在我们开始问问
[2517.66-2521.64] 我们将通过您的联络资料
[2521.64-2525.28] 回答今天我们没有时间提到的问题
[2525.28-2529.74] 首先我先将在会议前
[2529.74-2533.28] 收到几位法人投资人所询问的问题
[2533.28-2534.52] 我先将它提出
[2534.52-2537.44] 第一个问题是
[2537.44-2541.66] 由法人分析师所提出
[2541.66-2544.62] 全球关税贸易战
[2544.62-2547.84] 对公司生产及销售布局上
[2547.84-2550.16] 目前的冲击是什么
[2550.16-2552.86] 以及公司有什么样的对策
[2552.86-2553.70] 请问
[2553.70-2554.10] 好
[2554.10-2555.26] 首先我先将在会议前收到几位法人投资人所询问的问题
[2555.26-2559.36] 全球关税贸易战这个课题是大家都关心的
[2559.36-2565.38] 那让我先做一个比较高层的说明
[2565.38-2567.10] 然后我们请我们的财务长
[2567.10-2572.34] 在针对可能比较小的细节给予分析
[2572.34-2574.16] 那短期内
[2574.16-2578.64] 我觉得这整个关税的政策
[2578.64-2582.58] 还是存在着很多不确定性
[2582.58-2585.00] 所以在一个不确定性的状况下
[2585.26-2588.78] 大部分客户都抱着一个比较弯弯的状态
[2588.78-2591.22] 那采购的策略也比较保守
[2591.22-2594.10] 我们会面临到的
[2594.10-2596.40] 已经看到的
[2596.40-2598.80] 是一些直接跟间接的影响
[2598.80-2601.00] 那目前我只能说
[2601.00-2602.28] 从总体的话
[2602.28-2604.66] 我们的对台向的影响
[2604.66-2607.50] 其实是比较有限的
[2607.50-2612.74] 因为我们直接的出口到美国
[2612.74-2615.24] 其实从亚洲来说
[2615.26-2617.80] 特别是从中国大陆出口到美国
[2617.80-2619.50] 是非常局限的
[2619.50-2620.14] 非常少的
[2620.14-2621.20] 然后间接的影响
[2621.20-2623.28] 那这个因为存在不确定性
[2623.28-2624.80] 很难现在到等评估
[2624.80-2626.76] 以目前的状况
[2626.76-2632.12] 也是没有太极大的变化
[2632.12-2634.38] 那我现在请财务长
[2634.38-2638.54] 针对这个问题再说明一下
[2638.54-2639.98] 谢谢Jill
[2639.98-2642.30] 我想各位投资人
[2642.30-2643.18] 如果有注意到
[2643.18-2644.38] 我刚才的
[2645.26-2646.86] 报告的事项第三页
[2646.86-2649.58] 区域别的这个营收占比
[2649.58-2651.66] 你就可以发现到
[2651.66-2653.36] 美洲地区
[2653.36-2655.58] 当然主要是美国
[2655.58-2657.70] 当然也包含部分加拿大跟南美
[2657.70-2659.50] 美洲地区占
[2659.50-2661.82] 台向公司整体的营收
[2661.82-2663.94] 大概只有12个百分比
[2663.94-2665.56] 但每个年度有点不一样
[2665.56-2667.22] 大概12个百分比到
[2667.22-2669.14] 可能到14个百分之间
[2669.14-2672.98] 而且这里面绝大多数的销售
[2672.98-2674.74] 都来自于我们美国的
[2674.74-2675.24] 子公司
[2675.26-2678.34] 所以如同执行长刚刚所说的
[2678.34-2682.42] 我们直接的影响是非常非常的少
[2682.42-2686.78] 但是不排除我们有小部分的
[2686.78-2689.08] 这个间接的影响
[2689.08-2690.62] 也就是说我们
[2690.62-2694.20] 比如说我们的SEBS的客户
[2694.20-2698.30] 他间接就是我们销往美国
[2698.30-2701.38] 这部分会有影响
[2701.38-2703.68] 或者我们在上海compounding的
[2703.68-2705.22] 有一些客户
[2705.26-2709.10] 非常小的一部分销往美国
[2709.10-2710.12] 但是我们知道
[2710.12-2715.24] PanMaterial占整体TSRC的营收
[2715.24-2717.80] 或获利的比重相对是小的
[2717.80-2719.34] 所以我们认为
[2719.34-2721.64] 以目前来看
[2721.64-2724.46] 因为关税不确定性带来的
[2724.46-2727.54] 这个影响可能大过关税本身
[2727.54-2732.14] 当然我们也在透过跟客户
[2732.14-2733.94] 或者进口商
[2733.94-2735.22] 在这个关税的影响上
[2735.26-2738.58] 在协商如何把这些
[2738.58-2740.90] 因为关税增加的成本
[2740.90-2743.70] 能转嫁给客户
[2743.70-2746.26] 或者跟进口商之间
[2746.26-2749.08] 来看怎么样来分摊
[2749.08-2750.36] 不过总结
[2750.36-2751.38] 就是说
[2751.38-2754.72] 台向公司目前受到关税的影响
[2754.72-2756.50] 应该是可控的
[2756.50-2758.04] 以上说明
[2758.04-2759.84] 谢谢Jill跟Edward
[2759.84-2763.42] 我们下一题是由线上的媒体所提出
[2763.42-2765.22] 那问题是
[2765.26-2770.38] 台向SSBR新产线建制计划
[2770.38-2771.92] 包含时间地点产线
[2771.92-2774.22] 以及这个产品开发的类别
[2774.22-2778.06] 能否做进一步的说明
[2778.06-2781.38] 请你再重复
[2781.38-2784.20] SSBR新产线的建制计划
[2784.20-2786.26] 包含时间地点产线
[2786.26-2788.30] 以及新产品开发的类别
[2788.30-2790.34] 能不能有更进一步的说明
[2790.34-2793.68] 好
[2793.68-2795.22] 感谢这个问题喔
[2795.22-2796.50] 这个问题问得很好
[2796.50-2800.34] 那其实我们刚才财务长之前也有提到说
[2800.34-2802.90] 我们目前SSBR的
[2802.90-2807.00] 产线其实是在高雄
[2807.00-2808.28] 那这个已经满载了
[2808.28-2811.60] 所以要迎合我们客户的需求
[2811.60-2813.90] 跟整个市场的成长
[2813.90-2818.52] 我们决定要投资一条新的生产线
[2818.52-2820.06] 那投资这生产线
[2820.06-2822.62] SSBR
[2822.62-2825.18] 我们已经启动了这整个计划
[2825.22-2829.82] 那我们会在
[2829.82-2832.64] 南通就是通过我们深华
[2832.64-2835.46] 化学公司做这个投资
[2835.46-2838.54] 去建制这个生产线
[2838.54-2844.94] 那从现在我们基本上整个产线
[2844.94-2849.28] 现在是计划在7万吨
[2849.28-2852.62] 所以地点实际上就是在南通
[2852.62-2854.66] 深华
[2855.22-2857.26] 时间表上我们预计
[2857.26-2860.08] 三转在2027年
[2860.08-2868.28] 那新产品的开发其实我们已经从现在已经开始供应的产品
[2868.28-2873.14] 就是我们现在供应的SSBR产品第二代第三代
[2873.14-2876.22] 都会之后在
[2876.22-2880.30] 在这个新的产线生产
[2880.30-2883.12] 然后供应给我们客户
[2883.12-2885.18] 当然这当中需要有一定的
[2885.22-2886.24] 时间
[2914.14-2915.18] 那中国
[2915.18-2915.20] 那中国
[2915.20-2915.22] 那中国
[2915.22-2917.78] 那中国大陆石化产业的
[2917.78-2919.32] 供给过剩
[2919.32-2924.44] 那对台向的影响特别台向在多次的法说会提及
[2924.44-2925.72] 他的
[2925.72-2929.30] 先进材料事业部面临产业逆风
[2929.30-2930.84] 那问题是
[2930.84-2935.70] 供给过剩预计何时能有所缓解以及公司
[2935.70-2936.98] 所
[2936.98-2939.28] 提出具体的因应策略
[2939.28-2941.08] 那我们这个请就
[2941.08-2943.12] 我想
[2943.12-2944.92] 这个我先请
[2944.92-2946.96] 财务长针对这个
[2947.74-2949.02] 这个这个问题先
[2950.30-2952.08] 从一个财务面上
[2952.34-2953.12] 给一些说明
[2953.88-2955.16] 是
[2956.18-2958.24] 这个台向的这个
[2958.74-2961.04] AMD事业处
[2961.30-2962.84] 我们刚看到这个
[2964.88-2966.94] 就营收跟获利来讲大概
[2967.44-2968.98] 营收可能占
[2969.24-2970.26] 我们的
[2970.78-2973.08] 大概30%左右吧
[2973.34-2974.62] 获利当然随着
[2974.92-2976.46] 这个每个年度
[2976.72-2977.48] 在变化
[2978.00-2980.56] 那我们看的确看到
[2980.80-2982.08] 这些年
[2982.34-2984.14] 中国在实话
[2984.64-2987.98] 不管是上游中游下游其实都有在扩充
[2988.24-2989.26] 那对我们的
[2990.54-2993.10] 影响我们其实都已经看到
[2993.36-2997.44] 那主要主要是在SEBS跟SIS
[2997.96-3001.80] 那事实上台向也公司因应这样的挑战
[3002.06-3003.34] 我们持续的
[3003.84-3004.88] 在开发现场的
[3005.18-3006.20] 我们在开发新产品
[3006.46-3007.22] 我想
[3007.48-3009.28] 跟各位
[3009.52-3010.56] 过去报告过的
[3010.80-3011.84] 我们在
[3012.08-3014.14] 这个医疗级的产品
[3014.40-3018.74] 或者还有一些在其他正在开发产品这都是我们
[3019.00-3021.04] 要来因应的
[3021.30-3023.60] 因应这个
[3024.38-3027.96] 中国大陆这些厂商扩敞所带来的影响
[3028.22-3030.78] 那我们知道这个
[3031.04-3034.10] 实话产业跟其他所有重投资行业一样
[3034.36-3035.90] 产能的扩充都是
[3036.14-3040.24] 阶梯式的成长需求其实是每一年慢慢
[3040.50-3041.52] 往上增长
[3041.78-3042.30] 所以
[3042.54-3045.36] 在这个情况下我们预期这个市场
[3045.62-3049.46] 现有的这个over supply要
[3049.72-3051.00] 完全消化
[3051.26-3051.76] 可能
[3052.28-3053.56] 要再花上大概
[3055.10-3060.98] 三年到五年的时间但每个产品线不一样但我觉得最重要的是我们自己
[3061.24-3063.28] 我们的产品要往上
[3064.10-3067.18] 走才有办法避免这样的
[3067.42-3068.20] 竞争
[3069.22-3072.54] 我这边再补充一下这个的确就是
[3074.08-3075.36] 刚才财务长提到
[3075.88-3076.64] 整个
[3076.90-3078.94] 市场供需失衡
[3079.46-3080.74] 这个状况
[3081.26-3084.32] 当然因产品现用面不大一样
[3084.58-3090.72] 那但是呢这个的确需要时间但是我不能只是在这边等着靠时间所以我们
[3090.98-3093.28] 在做努力的地方是把
[3093.28-3094.30] 我们的产品
[3094.56-3096.60] 多元化我们的应用面多元化
[3096.86-3098.14] 然后高质化
[3098.40-3100.96] 之前提到最主要
[3101.22-3103.78] 进度做的比较
[3104.04-3104.80] 积极的
[3105.06-3106.34] 是我们的医疗产品
[3106.60-3107.88] 我们之前也有提到
[3108.12-3110.68] 那除了医疗产品外还有其他的部分
[3110.94-3113.50] 比方说环保材料这部分
[3113.76-3115.30] 还有其他薄膜的这部分
[3115.56-3117.86] 所以我们要通过不同的
[3118.12-3119.40] 产品应用面
[3120.68-3121.70] 跟这个
[3121.96-3123.24] 产品的性能能力
[3123.54-3124.30] 去
[3127.12-3129.16] 拓开我们跟
[3129.42-3132.50] 大众竞争品的这个
[3132.76-3134.28] 这个距离
[3134.54-3136.08] 所以这个是我们在
[3136.34-3137.88] 在应对
[3138.12-3140.44] 这个产能过剩
[3140.68-3143.50] 我们所做的这个动作
[3143.76-3144.28] OK
[3145.04-3145.52] 谢谢
[3153.28-3160.70] ,好下一个问题是由线上的参与来宾所提出的问题
[3161.22-3164.54] 问题是应该是一位林先生
[3164.80-3169.40] 请问公司有打算实施库藏股吗
[3171.72-3174.52] 这让我很快回答我们的台向的这个
[3175.04-3178.88] 这个操作一下我们都没有做库藏股
[3179.14-3181.70] 的这个做法
[3181.96-3182.72] 就是
[3182.72-3185.02] 就是就是share by bank
[3185.54-3186.56] 那
[3187.08-3188.10] 最主要
[3188.36-3189.38] 我们
[3189.88-3193.48] 还可以刚才可以听到我们因为很多其他的发展机会我们
[3193.72-3195.78] 需要的资金所以这个是我们在
[3196.04-3197.82] 应用在资金来上
[3198.08-3199.36] 除了鼓励以外
[3199.62-3201.92] 我们去发展
[3202.18-3204.48] 跟开阔
[3204.74-3206.28] 整个获利的成长的
[3206.52-3207.80] 这个这个应用
[3212.72-3214.52] 下一题
[3214.76-3215.80] 那
[3216.30-3219.64] 是线上的一位肖先生所提出
[3219.88-3226.28] 公司所公布的营收里面有没有包括升华化学和阿朗台向的营收
[3227.82-3228.84] 那我们请就
[3229.10-3235.24] 我们每个月公告的营收的确包含
[3235.50-3237.30] 升华化学的
[3237.80-3241.40] 收入他是我们合并报表的一部分
[3241.64-3242.42] 那
[3242.72-3244.52] 阿朗台向的营收
[3244.76-3246.04] 他是我们
[3246.30-3247.84] 50%
[3248.10-3252.70] 的这个合资公司所以我们公布的营收里面并没有包含
[3252.96-3254.50] 阿朗台向的营收
[3254.76-3255.78] 那但是如果
[3256.04-3259.10] 各位投资人如果有兴趣要看
[3259.36-3261.16] 这个比较仔细的
[3261.40-3262.44] 部分
[3262.68-3263.20] 可以
[3263.46-3264.74] 参考财务报表
[3265.24-3268.84] 每一季我们的不管是合约或年度的查核报表
[3269.08-3270.36] 里面附注
[3270.62-3271.40] 11
[3271.64-3272.68] 有此公司
[3272.98-3275.54] 的他的营收跟获利状况
[3275.80-3277.32] 那附注12
[3277.58-3281.16] 有这个合资公司也就是说阿朗台向的
[3281.68-3284.76] 大的这个营收获利跟他的
[3285.00-3285.78] 资产负债表
[3286.04-3286.80] 可以在
[3287.06-3289.88] 附注12采用权益法投资或者
[3290.12-3293.46] 里面有分两个是投资关联企业是阿朗台向
[3293.72-3295.00] 跟投资合资
[3295.24-3296.28] 是印度的
[3296.52-3297.30] ISRP
[3297.56-3298.84] 他里面会有
[3299.08-3300.12] 比较详尽的
[3300.36-3302.16] 营收或者获利
[3302.42-3303.44] 或者资产负债表
[3303.70-3304.20] 资讯
[3304.46-3305.24] 以上说明
[3306.00-3306.76] 好谢谢
[3307.54-3309.08] 那下一题
[3309.32-3313.42] 是线上的应该也是姓林的一位投资人
[3313.68-3317.52] 那我将他的两个问题把它合并啊他的第1个问题是
[3317.78-3319.06] 2024年
[3319.56-3320.34] 第4季
[3320.60-3322.12] 亏损主要的原因
[3322.38-3323.92] 那以及
[3324.18-3326.74] 对于2025年的财务预测
[3327.76-3330.32] 那这题也有我来跟
[3330.58-3331.86] 各位报告
[3332.16-3333.70] 我们去
[3333.96-3338.04] 2024年整年的EPS刚才我们看到是1.04
[3338.30-3339.84] 那隐含的但我们没有
[3340.10-3340.86] 揭露第
[3341.12-3343.94] 第4个事实上我们有在财报都有公告
[3344.20-3344.96] 我这边就是
[3345.22-3345.98] 报告一下
[3346.24-3348.54] 去年第4季我们的EPS是
[3348.80-3350.34] -0.1
[3350.84-3353.66] 但是这是因为我们在去年
[3353.92-3357.76] 把越南这个因为他的营运我们做了一个
[3359.04-3360.58] 这个中止的一个
