[0.00-5.50] 各位衛兵同志先敬大家午安
[1537.68-1541.52] 我們目前正在規劃的是一個三層樓的廠房
[1541.52-1543.06] 大概是
[1543.06-1546.90] 20萬平方英尺的一個廠房
[1546.90-1551.00] 大概19500平方公尺的一個廠房
[1551.00-1553.82] 那現在正在跟建築師在討論的一個工廠房
[1553.86-1557.70] 那現在正在跟建築師在討論的一個工廠房
[1557.70-1560.00] 我們希望在今年
[1560.00-1562.06] 我們希望在今年的
[1562.06-1563.84] 我們希望在今年的
[1563.84-1565.64] 來做招票
[1565.64-1567.18] 希望在2027年的
[1567.18-1568.46] 希望在2027年的
[1568.46-1570.24] 可以來完工
[1570.24-1572.30] 來使用
[1572.30-1573.58] 這個是
[1573.58-1576.90] 目前馬來西亞的一個土地運用的狀況
[1576.90-1578.44] 土地面積其實
[1578.44-1580.48] 4.8個英尺
[1580.48-1582.02] 工廠的
[1582.02-1583.56] 工廠部分大概漲了2000
[1583.56-1584.84] 3500平方米
[1584.84-1585.86] 辦公區的部分
[1585.86-1587.40] 這其實是個辦公區
[1587.40-1589.70] 辦公區的部分大概800平方米
[1589.70-1596.62] 後面的工廠部分大概2700平方米左右
[1596.62-1597.64] 那
[1597.64-1600.72] 整個
[1600.72-1602.50] 所謂的
[1602.50-1604.04] 執照的部分
[1604.04-1605.58] 這個都我們公司已經
[1605.58-1606.34] 拿到了
[1606.34-1607.12] 所以我們在
[1607.12-1610.70] 今年的四月份開始啟動這個工廠的部分
[1610.70-1613.52] 那航太所需要的最基本的AS
[1613.56-1614.84] 就是9100
[1614.84-1618.68] 那我們在四月底已經做了第一階段的審核
[1618.68-1621.24] 預計在五月底
[1621.24-1624.32] 會做第二階段的實質審查
[1624.32-1626.62] 如果沒有問題我們應該在六月份
[1626.62-1628.66] 六月底可以拿到
[1628.66-1631.48] 航太的品質認證的部分
[1631.48-1632.50] 那
[1632.50-1635.58] 特殊製程的部分目前設定在
[1635.58-1637.12] 八月九月
[1637.12-1638.14] 這兩個月
[1638.14-1640.70] 會針對不同的特殊製程會做
[1640.70-1643.26] 這個所謂國際的NATAP的認證
[1643.56-1645.10] 接下來Q3的部分
[1645.10-1646.12] Q4的部分
[1646.12-1646.88] 會
[1646.88-1648.16] 全部集中在
[1648.16-1649.44] 客戶的認證
[1649.44-1650.98] 好幾家客戶
[1650.98-1652.78] 大概都已經盤了差不多了
[1652.78-1654.82] 大概在Q3 Q4
[1654.82-1656.36] 都會來做認證
[1656.36-1658.16] 那當然
[1658.16-1660.20] 現在都已經在收一些
[1660.20-1661.48] 報價
[1661.48-1662.00] 就是
[1662.00-1663.02] 馬來西亞的
[1663.02-1664.80] 報價 都已經在收報價
[1664.80-1666.60] 收了報價之後
[1666.60-1668.14] 等這個
[1668.14-1669.42] 政政結束之後
[1669.42-1670.96] 報價的內容
[1670.96-1673.00] 就會慢慢的會
[1673.00-1673.52] 會來進行
[1673.56-1677.40] 所以我這裡剛剛提到的整個
[1677.40-1679.20] 整個
[1679.20-1679.96] 時程
[1679.96-1682.52] 時程就是如我剛剛跟各位報告的
[1682.52-1684.32] Q2文化
[1684.32-1686.36] 等這七種作文Q3
[1686.36-1687.64] 來做
[1687.64-1689.94] 特殊製程的一個認證
[1689.94-1692.50] 然後同時Q3 Q4來做
[1692.50-1694.80] 整個人 客戶的一個
[1694.80-1697.36] 認證的一個
[1697.36-1699.68] 一個事情
[1699.68-1702.74] 那這是目前工廠內部的一個
[1702.74-1703.52] 一個照片的狀況
[1703.56-1705.86] 已經有一些設備
[1705.86-1707.14] 已經
[1707.14-1708.42] 已經進場了
[1708.42-1709.96] 那這邊是
[1709.96-1712.78] 化學的部分
[1712.78-1714.82] 那目前這個區域
[1714.82-1717.12] 大概這個廠區我剛講大概
[1717.12-1720.20] 將近3000平米的一個工廠的部分
[1720.20-1721.74] 機加工的部分
[1721.74-1723.52] 那這個是
[1723.52-1725.06] 螺帽的生產線
[1725.06-1728.64] 會有一條螺帽生產線會在下半流線過去
[1728.64-1730.44] 化學製程的部分
[1730.44-1732.74] 大概位置大概長得這樣子
[1732.74-1735.30] 那設備的部分目前有9部CNC
[1735.30-1736.32] 已經到位
[1736.32-1738.62] 會陸陸續續還有新的
[1738.62-1739.40] 設備
[1739.40-1745.80] 會由我們西洋去配置
[1745.80-1749.38] 接下來才問個報告的部分
[1749.38-1750.66] 營收的部分
[1750.66-1751.68] 如
[1751.68-1755.02] 之前跟各位報告的
[1755.02-1756.54] 今年第一季
[1756.54-1760.14] 也是9.36億
[1760.14-1761.66] 這個是題外的部分
[1761.66-1762.70] 那當然這個整個部分是有關的
[1762.74-1764.54] 整個營收是逐漸
[1764.54-1765.82] 各位可以看到這個趨勢
[1765.82-1768.88] 逐漸在往上走
[1768.88-1772.72] 那獲利的部分跟EPS的部分
[1772.72-1775.02] Q1的獲利是1.11億
[1775.02-1777.58] EPS有1.99
[1777.58-1779.90] 將近快點快錢的EPS
[1779.90-1781.18] 那這個是
[1781.18-1784.50] 去年一整年每一季的一個內容
[1784.50-1787.32] 那大概各位是在這樣一個EPS的狀態
[1787.32-1788.86] 那Q3的部分比較低
[1788.86-1790.64] 也是因為波音的問題
[1790.64-1792.18] 所以導致有些營收有辦法降低的狀態
[1792.74-1796.84] 所以我們就把這個拉上來
[1796.84-1797.86] 資產的部分
[1797.86-1800.16] 合計到Q1為止
[1800.16-1803.24] 總共是有65億的資產
[1803.24-1805.54] 那流動比例大概159%
[1805.54-1806.82] 159%
[1806.82-1808.10] 負債的部分
[1808.10-1811.18] 到Q1為止總負債是38億
[1811.18-1818.08] 負債比例是59%
[1818.08-1820.64] 普通權益的部分是27億
[1820.64-1822.70] 每股淨值目前是48億
[1822.74-1824.78] 所以我們就把這個數字分為
[1824.78-1827.34] 28.58
[1827.34-1829.66] 那整個變息的部分
[1829.66-1834.26] 因為24年我們提到35億的營收
[1834.26-1837.34] 所以我們建議是3.76億
[1837.34-1839.12] EPS6.88
[1839.12-1841.68] 那我們有配了3.01億
[1841.68-1846.80] 變息率是44
[1846.80-1850.38] 以上是我針對風達的營運的狀況做的報告
[1850.38-1851.16] 謝謝大家
[1852.74-1857.86] 好那接下來是QA的時間
[1857.86-1861.18] 那我們今天的QA是採紙本單式的提問
[1861.18-1862.72] 那請規模先進
[1862.72-1865.54] 就是可以把QA單交給我們走道的工作人員
[1865.54-1866.30] 謝謝
[1882.74-1884.78] 謝謝大家
[1884.78-1885.82] 謝謝大家
[1885.82-1888.88] 謝謝大家
[1888.88-1895.02] 好在收集這個問題之前我想先回答一些
[1895.02-1898.36] 有一些投資朋友已經
[1898.36-1900.14] 報版的時候已經提出來了
[1900.14-1901.94] 那我先做一些回答
[1901.94-1902.96] 第一個
[1902.96-1905.78] 我想大家關心的還是那幾件問題
[1905.78-1908.08] 關稅問題 規律問題
[1908.08-1910.14] SPS的火災
[1910.14-1911.42] 大概的影響
[1911.42-1912.70] 馬來西亞的部分
[1912.74-1916.34] 我想第一個關稅問題我剛剛已經跟各位報告過
[1916.34-1920.10] 目前關稅對豐達來講是沒有影響的
[1920.10-1923.54] 那客戶端因為也有一些可以豁免
[1923.54-1925.38] 所以這個部分是這樣子
[1925.38-1928.10] 匯率的部分當然這個
[1928.10-1933.22] 我想匯率不管是對豐達或對整個台灣的出口業都一樣的問題
[1933.22-1938.50] 因為匯率急升所以營收會有些影響
[1938.50-1940.74] 獲利會有些影響
[1940.74-1943.46] 那當然這個我無法控制的
[1943.46-1951.62] 只能說我盡量在可以運作的範圍之內盡量減少一些美金的持有
[1951.62-1956.10] 不過這個還是要看財務省在整個豐達的集團
[1956.10-1961.22] 不管是中國馬來西亞或是整個原物料產購上面還是需要美金
[1961.22-1966.34] 所以這個部分只能說我盡量
[1966.34-1968.26] 那SPS的部分
[1968.26-1970.34] 我想各位很多投資朋友在問
[1970.34-1970.66] 團絡問題
[1970.66-1978.98] SPS今年的火災的確給航空製造業帶來很大的影響
[1978.98-1987.78] 因為那個廠大概將近一年將近快400億台幣的一個廠值的部分
[1987.78-1993.38] 不過也有的確收到不少的訂單
[1993.38-1997.06] 就是集單就是集單
[1997.06-1998.34] 就是真的沒有辦法
[1998.34-2000.26] 所以轉到豐達來做
[2000.26-2003.46] 我接到很多很多客戶的要求
[2003.46-2005.94] 希望豐達來幫忙的來做的很多
[2005.94-2010.18] 那SPS的部分我講我分兩部分的報告
[2010.18-2012.10] 第一個部分是短期的部分
[2012.10-2014.10] 只要豐達可以做的
[2014.10-2018.18] 就是他那個技術內容是豐達可以掌握的
[2018.18-2019.70] 我們一定會幫忙
[2019.70-2021.30] 畢竟都是我的大客戶
[2021.30-2022.34] 我一定會幫忙
[2022.34-2024.90] 那另外一個部分是長期的部分
[2024.90-2029.38] 其實各位或許知道SPS在航空業裡面
[2029.38-2033.78] 他在的PC之地是因為很多東西是他獨家供應
[2033.78-2036.42] 就是全權只有他一個供應商
[2036.42-2040.26] 所以很多技術knowhow當時候都掌握在SPS身上
[2040.26-2042.90] 那現在出事情了之後要我例子出來
[2042.90-2045.70] 當然誰都沒有辦法一下子承接起來
[2045.70-2047.30] 包括豐達也是
[2047.30-2050.10] 所以我們跟客戶會有一些長期的合作
[2050.10-2055.86] 怎麼樣把這一些過去屬於SPS比較獨家的部分
[2055.86-2058.50] 在未來大家怎麼去討論它
[2058.50-2059.22] 做一些安排
[2059.38-2061.38] 做一些規格的變更
[2061.38-2062.58] 或是怎麼樣一些方式
[2062.58-2066.26] 因為這個我想這個我還在跟客戶討論
[2066.26-2068.18] 我不方便講太細
[2068.18-2071.46] 但是這個部分是一個長期的一個發展
[2071.46-2076.26] 它對未來的幾年才會對豐達會有些幫助
[2076.26-2078.26] 所以這個部分一直在做
[2078.26-2081.54] 所以這個就是分短期跟長期的部分
[2081.54-2083.54] 跟各位做報告
[2083.54-2088.50] 那馬來西亞的部分就如同我剛說明的
[2089.38-2092.18] 我們現在真正的量產說真的還沒那麼快
[2092.18-2096.10] 因為我的品質AZ910的系統還沒有過
[2096.10-2098.98] 我的特殊製程的Namecap還沒有過
[2098.98-2100.98] 客戶集合還沒有過
[2100.98-2103.54] 所以這些東西我們現在都正在加速
[2103.54-2108.26] 包括客戶對於豐達馬來西亞廠也是寄予厚望
[2108.26-2114.10] 所以客戶端當然也是派出了很多的resource來協助
[2114.10-2119.22] 豐達這一塊能夠盡快的把工廠的認證
[2119.22-2120.26] 做完
[2120.26-2121.78] 那我們希望是說
[2121.78-2125.94] 如果一切真的如我們所計畫的內容來講的話
[2125.94-2130.58] 今年之內把所有的主要客戶的認證我們把它做完
[2130.58-2133.30] 品質系統的認證化學製程的認證
[2133.30-2135.86] 包括我們人員現在正在招募
[2135.86-2137.46] 人員的訓練等等
[2137.46-2141.46] 我們希望在今年把這些東西都把它做完之後
[2141.46-2148.34] 能夠在明年開始一個比較真正的進度量產
[2149.22-2154.34] 所以現在的階段還都只是在市場階段
[2154.34-2161.38] 那其實這個廠我們豐達的動作腳步是非常快
[2161.38-2163.30] 我們push的非常的緊
[2163.30-2165.14] 包括我們自己內部
[2165.14-2167.62] 包括我們跟馬來西亞政府的協商
[2167.62-2169.06] 也是非常的積極
[2169.06-2174.18] 所以各位可以看到我們在2023年的10月決定買這個廠
[2174.18-2176.18] 我們經過一年的時間
[2176.18-2179.06] 我們把所有的license都拿下來了
[2179.22-2181.78] 現在來開始做一個試程
[2181.78-2185.62] 我想這個動作還是非常的快
[2209.22-2211.78] 資本支出的部分
[2211.78-2213.06] 我想非常快來談
[2213.06-2216.90] 台灣的部分因為我剛提到
[2216.90-2220.74] 其實對於整個豐達在下半年的營運
[2220.74-2225.86] 還是不管是下半年或甚至零年一整年
[2225.86-2229.70] 我想整個營運狀況是非常樂觀的
[2229.70-2233.54] 那因為這樣子所以其實豐達在台灣的部分
[2233.54-2236.10] 會有新的一些資本支出
[2236.10-2238.66] 包括設備也好
[2239.22-2243.06] 廠房的整個使用空間的一個調整
[2243.06-2248.18] 這個目前都正在積極的在調整當中
[2248.18-2255.86] 各位可以看到其實我們今年Q1已經來到一個9.3幾億的獲利
[2255.86-2259.70] 那可以跟各位報告的是
[2259.70-2263.54] 其實我們大概在這一兩個禮拜
[2263.54-2268.66] 其實大概已經看到我們今年的整個營收的狀況
[2269.22-2273.06] 到我們當初去年年底所設下來的目標了
[2273.06-2275.62] 只是說當然匯率影響會有一些
[2275.62-2280.74] 但我想這個大概影響了2.3%左右的營收
[2280.74-2282.02] 一定會有的
[2282.02-2283.30] 那這個部分我們還有時間
[2283.30-2285.86] 因為現在才五月
[2285.86-2287.14] 還有半年的時間
[2287.14-2289.70] 因為我們還在努力當中
[2289.70-2293.54] 我想這個部分我們還是很有信心的
[2293.54-2296.10] 只是說我內部的產能要補上來
[2296.10-2298.92] 所以有投資朋友問到說現在場
[2299.22-2301.26] 裡面的整個交通費怎麼樣
[2301.26-2303.32] 不瞞各位說現在是很忙的
[2303.32-2305.62] 不管是台灣也好中國也好
[2305.62-2309.20] 這個交通費都已經來到大概八九成的一個交通
[2309.20-2310.74] 所以我們會積極的投資
[2310.74-2313.56] 做一些新的產能的一個貨送
[2313.56-2316.38] 那馬來西亞的部分當然會有更多的資本支出
[2316.38-2319.18] 包括我們剛提到的新的廠房要蓋
[2319.18-2321.24] 需要資本支出
[2321.24-2324.30] 原理的廠房裡面我們還在增加一些設備
[2324.30-2326.86] 這個設備跟各位報告的就是說
[2326.86-2329.18] 因為我的台灣跟我中國的產能目前是
[2329.22-2335.36] 所以其實它不可能有設備轉移的這個內容
[2335.36-2336.64] 比較難
[2336.64-2339.46] 所以大部分會是新設備
[2339.46-2342.78] 所以這個部分就會有新的資本支出
[2352.78-2355.34] 投資朋友問到那個材料回收
[2355.34-2359.18] 我簡單講一下就是他說台灣的同業
[2359.22-2365.10] 回收這個事情在航空業會經常有在做
[2365.10-2369.98] 南部的同業主要他的料件比較大
[2369.98-2375.34] 所以他的下角產出的形狀跟我們的形狀不太一樣
[2375.34-2382.00] 投資朋友們說他會回收到美國原廠在加工
[2382.00-2384.82] 這個東西我們過去一直有在做
[2384.82-2388.14] 在美國關稅美中貿易戰之前
[2388.14-2389.18] 其實我們都一直有在做
[2389.22-2393.58] 所以整體來講影響是沒有很大
[2393.58-2399.46] 另外一點我補充說明一下因為我們的主要材料都是從美國來
[2399.46-2403.82] 關稅這一個部分的影響下它其實是會抵銷掉的
[2403.82-2409.18] 另外就是主要的交易條件還是客人在負擔關稅
[2409.18-2416.62] 這一個部分目前客人是沒有要求分攤或是轉價之類的
[2416.62-2418.66] 目前還是客人在處理
[2419.22-2423.82] 這一個關於回收的部分我大概簡單說明一下
[2423.82-2433.82] 另外他有提到整個產能會不會像其他同業會有不能共用的狀況
[2433.82-2437.90] 目前我們的產品我們沒有被這樣子的要求
[2437.90-2442.26] 主要還是客戶的產品認證為主
[2449.22-2453.32] 這一個部分
[2453.32-2459.72] 四大引擎公司的營收的配比
[2459.72-2462.78] 這配比我很難說整個一個比例
[2462.78-2465.86] 不過我給各位一個大概一個image
[2465.86-2475.84] 我扣件的部分大概90%都是引擎類的東西
[2475.84-2479.18] 捷風塔現在除了引擎之外我們慢慢也在發展一些
[2479.22-2481.02] 機身用的扣件
[2481.02-2486.90] 所以引擎的部分大概佔扣件大概90%
[2486.90-2494.32] 引擎的部分佔機家產品大概70%到75%左右
[2494.32-2500.22] 當然機家的部分比較少
[2500.22-2501.50] 因為認證的關係
[2501.50-2507.64] 所以機家產品其實目前在Roth's-Wallace跟普惠的認證基本上是沒有的
[2507.64-2509.18] 扣件的部分是正式的認證的關係
[2509.22-2511.26] 這四大家都有
[2511.26-2513.58] 怎麼去分這個比例其實
[2513.58-2514.60] 這個客戶
[2514.60-2517.42] 接著到客戶的基因問題就不方便
[2517.42-2519.72] 說太仔細的一個數字
[2519.72-2521.50] 大概的情況就是這樣子
[2521.50-2522.78] 當然
[2522.78-2525.34] G1是一直我們做很久的
[2525.34-2527.14] 賽荒我們做很久的
[2527.14-2530.72] Roth's-Wallace我們大概做了這5、6、5這麼多年
[2530.72-2533.54] 它普惠的部分其實是去年才剛開始
[2533.54-2537.12] 所以當然它的比例上面還在陸續增加當中
[2537.12-2538.92] 大概是
[2538.92-2542.00] 大概是這樣子
[2542.00-2544.56] 還有一個問題我這邊要澄清一下
[2544.56-2548.14] 就是我想有些投資朋友看到前兩個禮拜
[2548.14-2550.18] 有一篇新聞報導提到
[2550.18-2551.46] 漢翔的鍛造廠
[2551.46-2553.76] 到底跟風達什麼關係
[2553.76-2555.04] 跟各位
[2555.04-2557.10] 我們打電話給
[2557.10-2559.92] 當發這份報導的記者
[2559.92-2561.96] 我們請他更正
[2561.96-2566.32] 因為風達沒有沒有沒有投資
[2566.32-2568.36] 漢翔的鍛造廠
[2568.92-2570.46] 這個
[2570.46-2572.00] 這個主帥就是
[2572.00-2573.52] 有些誤解
[2573.52-2576.08] 那當然我們跟漢翔之間
[2576.08-2577.62] 抱歉我們跟
[2577.62-2580.70] 漢翔之間其實在鍛造上面
[2580.70-2583.00] 有一些的確是有一些
[2583.00-2585.04] 技術方面的溝通
[2585.04-2586.32] 因為有一些
[2586.32-2588.38] 政府的部分希望我們
[2588.38-2592.98] 希望風達能夠在鍛造航太空鍛造這塊提供一些我們的
[2592.98-2594.78] 經驗知識因為
[2594.78-2596.82] 漢翔他要做恆溫鍛造
[2596.82-2598.88] 那整個國內目前在
[2598.92-2602.76] 航太空鍛造上面只有風達有這方面的技術跟經驗
[2602.76-2604.04] 所以政府希望
[2604.04-2605.84] 風達可以提供一些
[2605.84-2608.40] 一些技術一些經驗
[2608.40-2610.70] 所以我們的確在這方面有跟
[2610.70-2612.48] 漢翔有些交流
[2612.48-2614.28] 不過就僅此於此
[2614.28-2616.08] 因為他做的是恆溫鍛造
[2616.08-2617.60] 恆溫鍛造
[2617.60-2621.96] 各位先進應該也知道恆溫鍛造其實是一個非常遙遠的一個技術
[2621.96-2622.98] 目前
[2622.98-2627.08] 風達也沒有這方面的技術也沒有恆溫鍛造的技術
[2627.08-2628.10] 所以這邊
[2628.10-2628.88] 跟各位做了承請
[2628.92-2640.70] 因為剛才提問大概有重複
[2640.70-2642.74] 然後就挑那個沒有重複的
[2642.74-2644.80] 就再補充說明
[2644.80-2648.64] 有問到就是說我們的材料進貨
[2648.64-2653.24] 有過度集中在某一個廠商的一個狀況
[2653.24-2656.82] 那不瞞你講那個廠商幾乎都是美國
[2656.82-2658.10] 那全球
[2658.10-2660.14] 全球可以做
[2660.14-2665.02] 我們航太飲食的材料的工藝商基本上就沒有幾家
[2665.02-2669.36] 那即便歐洲也有會做那他的源頭也是來自於這一家
[2669.36-2670.90] 那所以
[2670.90-2673.98] 基本上他的市場就已經有點是寡占了
[2673.98-2677.82] 所以集中的話也沒有辦法因為就只有這幾家可以做
[2677.82-2679.60] 那
[2679.60-2682.42] 目前來講跟這一家配合蠻久的
[2682.42-2684.98] 那所以也沒有太多的問題
[2684.98-2686.00] 對
[2688.10-2689.90] 這邊
[2689.90-2694.24] 九航空引渠扣件主要競爭對手是哪些公司
[2694.24-2697.32] 那這個競爭對手如果以大的來講
[2697.32-2699.10] 大概就
[2699.10-2700.90] 都是歐美的
[2700.90-2702.18] 各位可能知道
[2702.18-2703.98] 像E-C
[2703.98-2706.28] 像ACOA
[2706.28-2707.82] 比如ACOA的旅業
[2707.82-2709.60] HARRIER
[2709.60-2710.62] HOMEA
[2710.62-2711.66] 大概就是幾家
[2711.66-2714.22] 大概都是歐美的產業
[2714.22-2715.50] 那當然他們的
[2715.50-2717.02] BASE非常的大
[2717.02-2718.06] 所以你自己問我
[2718.06-2719.86] 說這個貴公司市佔率多少
[2719.86-2722.92] 其實
[2722.92-2724.20] 我在
[2724.20-2727.02] 大概疫情
[2727.02-2729.58] 大概2020年我有去買了一份
[2729.58-2731.38] 全球
[2731.38-2734.70] 全球扣件的一個調查報告
[2734.70-2737.78] 那因為扣件這個內容非常的大
[2737.78-2739.06] 其實這個
[2739.06-2740.34] 內容非常
[2740.34-2743.92] 內容很多其實扣件包括我們現在看到的所謂NACMOD這些
[2743.92-2745.46] 他非常非常多
[2745.46-2748.02] 其實
[2748.02-2750.58] 我幾乎也不曉得我們大概占多少
[2750.58-2751.34] 只是說
[2751.34-2756.22] 我相信我們在整個全球的航空扣件上面的占的比例
[2756.22-2757.74] 並不會很高
[2757.74-2759.80] 但是我們卻
[2759.80-2763.12] 影響了整個這些競爭對手的這些
[2763.12-2764.66] 競爭關係之間
[2764.66-2766.20] 這方面我們還是
[2766.20-2769.02] 有一定的優勢占
[2778.02-2784.16] 這個產品大到小的發展策略的狀況
[2784.16-2785.44] 我想這個部分
[2785.44-2789.28] 他倒不是一個單一由小到大的發展策略
[2789.28-2792.86] 我們剛剛提到不管是NACMOD的機架件
[2792.86-2795.68] 在藉由鍛造這個基礎上面
[2795.68-2797.22] 我們一直都是
[2797.22-2799.02] 這樣子從小的扣件
[2799.02-2801.58] 從小的機架件往大的來走
[2801.58-2803.36] 所以一直是這樣一個路
[2803.36-2804.14] 在走
[2804.14-2805.42] 那至於說
[2805.42-2806.44] 這個
[2806.44-2807.98] 占比或什麼我想這個
[2808.02-2810.32] 我比較難去說
[2810.32-2811.86] 因為這個策略所以
[2811.86-2815.70] 增加了多少的營收或增加多少的競爭力
[2815.70-2817.24] 這個
[2817.24-2819.80] 我想很難用數據去表達
[2819.80-2822.36] 但是如同我剛前報講的
[2822.36-2823.90] 利用鍛造這個基礎
[2823.90-2825.94] 其實我們不只是由小到大
[2825.94-2827.74] 我們還把整個產品線
[2827.74-2830.04] 變得更寬廣
[2830.04-2835.16] 這個是公司的一個策略
[2835.16-2836.44] 那
[2836.44-2837.98] 新產品開發要多久
[2837.98-2839.78] 這個
[2839.78-2841.06] 要看產品
[2841.06-2842.84] 如果是
[2842.84-2844.64] 我們傳統過去做的
[2844.64-2847.70] 如果我
[2847.70-2849.76] 材料交齊
[2849.76-2852.58] 撇除材料交齊來講
[2852.58-2854.10] 開發一個這樣的產品
[2854.10-2857.70] 大概在16到20周之間
[2857.70-2858.72] 看大小
[2858.72-2860.00] 看一些
[2860.00-2861.54] 一些製程的一些內涵
[2861.54-2863.06] 大概16到20周
[2863.06-2865.62] 跟如果把材料交齊算進去
[2865.62-2867.94] 那可能會長達一年多的
[2867.98-2869.78] 時間
[2876.42-2880.52] 所以為什麼我們公司會特別強調在新產品開發的數量上面
[2880.52-2881.54] 因為這個開發
[2881.54-2884.10] 它不會給我今年帶來的營收
[2884.10-2886.42] 它一定是未來三五年之後的
[2886.42-2888.98] 一個產品發展的一個產品線
[2888.98-2890.50] 那產品的發展
[2890.50-2893.06] 我剛特別提到我們還是會以
[2893.06-2897.94] 立即型的產品來做一個我們未來的策略發展的一個重點來去做
[2897.98-2901.82] 那產品依客戶的需求製造
[2901.82-2903.86] 當然目前
[2903.86-2906.42] 因為航空艦的產品其實
[2906.42-2908.74] 我們是沒有設計能力的
[2908.74-2911.04] 我們公司的資格
[2911.04-2915.64] 公司的資質我們現在申請的公司的資質其實它是不能做
[2915.64-2917.70] 產品的設計
[2917.70-2920.76] 因為那個有另外的認證
[2920.76-2922.56] 那個有另外的認證系統
[2922.56-2925.88] 所以目前的產品我們只能依圖施工
[2925.88-2927.42] 這個這樣說
[2927.98-2937.84] 之前的阿姨
[2937.88-2941.82] 那原來是問到原料庫存的一個政策
[2941.82-2944.54] 一些原料的問題
[2944.54-2948.12] 那我簡單講一下我們的庫存政策的話
[2948.12-2954.44] 那基本上就是公司長期以來就是一個庫存的評價概念
[2954.44-2957.48] 那就目前整個原料市場的狀況
[2957.48-2957.94] 還是
[2957.94-2961.70] 是處於一個相對過去比較高點的一個位置
[2961.70-2965.80] 那基本上我們的庫存沒有什麼跌價的問題
[2965.80-2968.76] 那大概就是會看庫存的使用狀況
[2968.76-2971.18] 依照會議政策做一個評估
[2971.18-2974.52] 那另外有蠻多問題都講到
[2974.52-2978.40] 美國關稅政策對東南亞的市場
[2978.40-2980.92] 東南亞國家會不會有影響
[2980.92-2983.06] 那還有問到匯率的問題
[2983.06-2985.36] 我大概簡單說明一下
[2985.36-2987.72] 關於關稅的部分
[2987.72-2990.60] 剛才我講過就是說
[2990.60-2994.12] 目前主要還是客人在負擔
[2994.12-2996.68] 那我再進一步講就是說
[2996.68-3002.32] 目前客人他們會有兩種方式來做一個進行
[3002.32-3006.68] 那也是過去大概一個多月所了解到的
[3006.68-3012.36] 那第一個就是他們會去跟美國政府申請豁免
[3012.36-3015.06] 那如果踩到綱餘稅
[3015.06-3017.82] 或者是對等關稅等等的
[3017.82-3021.08] 那剛剛總經理在簡報上有特別說明到
[3021.08-3026.94] 目前就之前的航太的整個全球的產業來講
[3026.94-3031.52] 那歐盟主要的全球兩大的航太製造機
[3031.52-3033.52] 一個在歐洲一個在美國
[3033.52-3036.52] 那歐盟也在跟美國在談
[3036.52-3039.22] 是不是整個航太事業在豁免掉
[3039.22-3043.82] 那就目前來看對航太業的影響
[3043.82-3045.06] 那我們
[3045.06-3047.82] 目前看到是不會有太大的影響
[3047.82-3049.62] 那就未來來講的話
[3049.62-3054.60] 因為畢竟波音在美國是屬一屬二的製造商
[3054.60-3056.42] 也是創造他們的GDP
[3056.42-3059.18] 那整個供應鏈相當複雜
[3059.18-3063.68] 那美國應該也不至於用這一個事情來砸自己的錢
[3063.68-3068.66] 那所以這個部分我認為關稅的部分影響是應該是有限的
[3068.66-3071.70] 那這是第一個申請豁免的一個狀況
[3071.70-3074.90] 那第二個就是客人還是會去向
[3075.06-3077.82] 他的客戶去反映成本
[3077.82-3084.46] 那目前也沒有聽說客人要我們去特別去負擔他的關稅成本
[3084.46-3086.46] 那這個是關稅的部分
[3086.46-3089.50] 那另外有提到匯率這件事情
[3089.50-3094.42] 那上個月大家都知道那兩天大概沒有哪一間
[3094.42-3099.76] 臺灣我不認為有哪一間上市櫃公司可以全部避免掉
[3099.76-3102.56] 那如果能猜到那真的太厲害了
[3102.56-3104.66] 那
[3105.06-3108.06] 貨品的部分大概最近一兩個月大概避免不掉
[3108.06-3110.34] 那我們的出貨大概就是
[3110.34-3114.34] 我們的營收大概99%大概都是收美金
[3114.34-3117.34] 那我們的進貨那也是有
[3117.34-3119.74] 我們的主要材料也是有付美金的
[3119.74-3121.54] 那主要也是從美國來的
[3121.54-3124.98] 或者是歐洲來的也大部分都是付美金
[3124.98-3129.98] 那這就會跟成本的關聯性就比較沒辦法這樣關聯
[3129.98-3132.78] 因為進貨的會有進貨時點
[3132.78-3135.06] 然後還有附送備料的一個準備
[3135.06-3140.06] 所以它會有連結但是沒有辦法劃等號去
[3140.06-3141.74] 這個月進100萬
[3141.74-3144.06] 它佔我成本能10%
[3144.06-3148.18] 那就是用10%然後等同於我的材料成本10%
[3148.18-3149.70] 大概不是這個概念
[3149.70-3153.74] 那各位如果有長期看我們的庫存的增加的狀況
[3153.74-3159.66] 那個其實都遠高過於我們的我們的那個材料成本的佔比
[3159.66-3163.18] 所以比較沒有辦法這樣去等比率去算
[3165.06-3167.06] 然後還有
[3167.06-3173.06] 然後這邊另外一個問題我說
[3173.06-3178.06] 在EOSBASE這個行業我是TN1
[3178.06-3183.06] 我想從我收單的角度來講
[3183.06-3186.06] 我可以是TN1我也可以是TN2
[3186.06-3189.06] 因為如果以G1
[3189.06-3192.06] 我所謂引擎製造商來講我是TN1
[3192.06-3194.06] 但是以
[3195.06-3199.06] 引擎製造商的TN1發單給我的
[3199.06-3200.06] 那我就TN2
[3200.06-3204.06] 那所以我說我可以是TN1我也可以是TN2
[3204.06-3210.06] 那機身的部分目前FONDA並沒有直接與
[3210.06-3213.06] 波音或是Airbus有直接的交易
[3213.06-3216.06] 因為扣件的部分在波音跟Airbus
