[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.00] 我总是守护你的安全
[1458.92-1462.00] 還是請各位投資先進給荷亞智慧
[1462.24-1466.86] 這個10年來的努力我們希望在今天在4月15號這一天
[1467.12-1468.40] 能夠有一個具體的展現
[1468.70-1469.20] 成果
[1469.46-1470.48] 那也希望未來
[1470.74-1472.80] 他能夠很順利的能夠登上
[1473.04-1474.32] 我們上櫃的市場
[1476.64-1477.40] 今天
[1477.66-1478.42] 我想
[1478.68-1484.06] 今天這各位投資先進應該在這幾天都有非常大的這個三溫暖
[1484.82-1488.92] 這個川普這個事件關稅事件
[1489.44-1492.50] 所以我怕你們等一下要問我所以我先回答好了
[1493.28-1497.12] 因為剛才在隔壁的記者會很多記者也關心這樣的問題
[1497.36-1498.14] 到底
[1498.44-1499.98] 我們這個川普
[1500.24-1501.00] 總統
[1501.26-1502.80] 對這個給關稅
[1503.30-1504.58] 到底對台亞集團
[1504.84-1506.12] 整個影響
[1506.64-1507.40] 到底是怎麼樣
[1507.66-1508.16] 那我想
[1508.42-1510.48] 在這裡也跟各位簡單一個說明
[1510.72-1511.24] 事實上
[1511.50-1512.52] 從
[1512.78-1516.62] 上個禮拜開始有這個關稅事件開始以來事實上
[1517.12-1518.66] 就台亞集團而言
[1518.92-1521.48] 我們秉持的態度就是
[1522.24-1527.88] 各位我想各位投資先進都知道我們是秉持日本日亞化學的精神在經營
[1528.44-1529.98] 我們是在這個台亞集團這個公司
[1530.24-1532.02] 我們副董其實就指示
[1532.28-1533.04] 很簡單一句話
[1533.56-1534.58] 保持冷靜
[1535.60-1536.64] 保持冷靜
[1538.16-1539.20] 不要做任何事情
[1540.22-1542.00] 不要做任何事情告訴你
[1542.78-1545.08] 以你平常心你現在在做什麼
[1545.34-1545.84] 繼續做
[1546.88-1547.64] 保持冷靜
[1548.16-1549.94] 繼續做你應該做的事情
[1550.20-1550.96] 然後
[1551.22-1552.50] 不要做過度的
[1552.76-1553.28] 反應
[1553.52-1554.80] 不要做過度的
[1555.32-1556.60] 這個這個動作
[1557.12-1557.88] 因為為什麼
[1558.44-1559.46] 因為關稅
[1559.72-1560.48] 不是我
[1560.74-1561.52] 不是你
[1561.76-1562.54] 不是我們
[1563.04-1563.56] 可以決定的
[1563.82-1564.58] 因為那是
[1564.84-1566.12] 美國國家決定的
[1566.64-1567.14] 所以
[1567.66-1570.48] 他給我們很清楚的一個指示就是保持冷靜
[1571.24-1573.54] 我們副董說保持冷靜
[1575.08-1578.92] 不要做繼續以平常心把你應該要做的事情做完
[1579.68-1581.22] 不要做過度的反應
[1581.48-1582.24] 那我想
[1582.50-1586.86] 這是我們秉持整個日亞化學整個集團的一個
[1587.12-1588.40] 一個經營的事件
[1588.70-1589.46] 這個策略
[1589.72-1590.24] 所以
[1590.74-1591.52] 很明顯
[1591.76-1592.80] 今天馬上
[1593.82-1595.10] 整個大翻盤
[1595.60-1596.64] 過度反應的
[1597.40-1598.42] 發生了很多事
[1598.68-1599.44] 現在還在
[1600.22-1601.24] 沒有反應的
[1601.50-1602.52] 配合的積極的
[1602.78-1604.56] 我們以平常心來度過的
[1604.82-1605.34] 在今天
[1605.60-1608.16] 都有一個非常好的正面的一個回應
[1608.40-1608.92] 我想
[1610.20-1611.48] 這是秉持整個
[1611.74-1615.84] 一直以來我們整個承襲日亞化學整個運作集團的一個成果
[1616.60-1617.12] 那當然
[1617.36-1618.40] 也跟所以也跟各位
[1618.70-1619.20] 反應說一下
[1619.46-1622.02] 對這個關稅對台亞的影響
[1622.28-1624.58] 包含其他子公司的影響其實是
[1625.10-1626.12] 很小很小的
[1626.38-1627.40] 你說沒有
[1628.16-1632.00] 也是有客戶也是會來詢問這些問題然後關稅有沒有
[1632.26-1634.32] 可不可以分擔啊等等啊
[1634.56-1635.08] 但是
[1635.60-1637.64] 普遍都還是落在詢問
[1638.66-1639.68] 沒有說很積極的
[1640.96-1642.24] 要求我們要去負擔
[1642.50-1644.04] 要求我們要做什麼事情
[1645.06-1645.58] 畢竟
[1645.84-1647.62] 不管是台亞的產品
[1648.70-1650.48] 基亞的產品甚至和亞的產品
[1651.00-1651.76] 目前在
[1652.02-1655.60] 很多客戶的應用上我們都是最好而且是品質
[1655.86-1657.14] 最好而且是唯一的
[1658.16-1658.68] 所以我想
[1659.20-1662.78] 在今天法說會在這個和亞新規前的法說會包含
[1663.04-1665.60] 其他台亞公司的一些等一下的說明
[1665.84-1667.90] 我想給一個各位投資先進
[1668.40-1670.46] 簡單的報告一下台亞集團
[1670.72-1672.50] 目前對應整個
[1672.76-1673.78] 關稅的這個
[1674.04-1675.32] 積極的變化
[1675.84-1677.62] 我們公司的應對是什麼
[1678.44-1681.52] 那也給各位投資先進一個參考
[1682.28-1683.04] Stay calm
[1683.82-1684.58] And carry on
[1685.36-1687.14] Don't do anything response
[1688.42-1689.70] 用平常心來度
[1690.22-1691.76] 度過這樣一個風暴我想
[1692.00-1696.36] 這是我們戴富農給我們一個指示啦也落實到我們整個集團的
[1696.88-1698.66] 工作的內容裡面
[1698.92-1699.44] 那也
[1699.94-1700.72] 很順利的
[1700.96-1703.28] 包含今天其實很多
[1703.78-1705.06] 投資先進來跟我說
[1705.32-1707.62] 你們要不要延期呀
[1707.62-1710.70] 這個這個這個這個骨災這樣
[1711.20-1712.48] 黃穴2000點
[1713.00-1714.02] 但是我們
[1714.54-1715.04] 富農說
[1715.30-1716.58] 保持平常心
[1717.10-1720.42] 繼續做你應該做所以我們還是如期在今天我們
[1720.68-1721.44] 順利把它召開
[1721.70-1722.98] 那也很幸運的
[1723.24-1724.26] 今天就翻盤了
[1725.28-1727.34] 那所以我想這是
[1727.58-1732.70] 很開心令人開心的一件喜事啦那第二個還是也是跟各位報告一下
[1733.22-1734.24] 等一下
[1734.50-1736.30] 今天我們有一個冠亞
[1736.54-1737.58] 今天沒有在法說會的
[1737.88-1739.42] 等一下的說明會說
[1739.66-1741.72] 但是我們新聞稿今天會出現
[1742.22-1745.04] 就是冠亞事實上在日前已經跟
[1745.30-1746.58] 日本NTT集團
[1746.84-1748.12] 簽了一個合作
[1748.62-1749.90] 協議的備忘錄
[1750.16-1751.70] 那我們正式跟
[1751.96-1752.72] NTT
[1752.98-1756.30] NTT日本的NTT就是那個Docomo NTT
[1756.56-1757.58] 正式合作
[1757.84-1758.86] 針對這個
[1759.38-1760.92] 不管是這個行動電源
[1761.18-1761.94] 或者是
[1762.20-1763.22] 伺服器的電源
[1763.48-1764.76] 甚至一些
[1765.02-1767.06] 功率運用的開發元件
[1767.82-1768.64] 我們正式跟
[1768.90-1770.18] 這公司開始合作
[1770.44-1772.48] 開發新一代的晶片給他們
[1772.74-1774.28] 提供給他們不管是
[1774.54-1777.34] 這個手機的應用也好啦伺服器的應用也好
[1777.60-1779.14] 在這個晶片上的開發
[1779.40-1780.94] 那包含材料的合作
[1781.44-1782.22] 等等
[1782.46-1783.74] 那這也是在
[1784.00-1787.84] 等一下我們因為關亞今天沒有參加法說會所以
[1788.10-1790.40] 在這裡跟各位投資先進補充的
[1790.92-1791.42] 那
[1791.68-1792.20] 我想
[1792.46-1793.22] 今天
[1793.48-1794.24] 很重要
[1794.50-1796.04] 這說了這麼多我想
[1796.30-1797.58] 最重要還是我還是很感動的
[1797.82-1798.90] 今天有兩個喜事
[1799.16-1801.72] 第一個就是最重要還是我們合亞終於
[1802.22-1803.76] 在4月15號掛牌
[1804.28-1806.32] 那當然NTT也是一個喜事
[1806.58-1807.10] 那
[1807.34-1811.44] 我想台亞集團會繼續秉持整個日亞化學
[1811.70-1812.72] 的這個傳統
[1812.98-1813.50] 以及
[1813.74-1815.54] 日亞化學給予我們的責任
[1816.06-1816.82] 繼續努力
[1817.08-1818.86] 也希望各位投資先進
[1819.90-1821.18] 跟我們一起
[1821.42-1822.20] 看著
[1822.46-1823.48] 台亞轉變
[1823.74-1824.76] 也希望
[1825.02-1826.04] 各位投資先進
[1826.30-1827.58] 看著台亞成長
[1827.88-1828.38] 那
[1828.64-1829.66] 現在也許
[1829.92-1831.46] 短時間你會覺得台亞
[1831.72-1832.22] 的
[1832.48-1834.28] 這個表現好像沒有
[1834.54-1837.86] 好像股市比較弱股價比較弱一點但是我想
[1838.12-1839.14] 很快的
[1839.66-1843.74] 我們不管做的投資做的佈局我現在很快未來的不久
[1844.00-1845.54] 不久的將來
[1845.80-1846.82] 你會看到他
[1847.08-1848.10] 會有不一樣的表現
[1848.36-1849.12] 那我希望
[1849.38-1851.68] 各位投資先進繼續給我們支持跟鼓勵
[1852.46-1853.22] 以上謝謝各位
[1853.74-1857.58] 謝謝謝謝李董事長的一個支持勉勵也請董事長
[1857.88-1859.16] 先就座休息
[1859.42-1864.02] 那接下來呢在今天這個榮耀的時刻我們也熱烈的歡迎
[1864.28-1866.06] 帶領和亞智慧文件發展
[1866.32-1869.14] 邁向新規掛牌的靈魂人物
[1869.40-1871.70] 石文基董事長為我們自此勉勵
[1871.96-1875.02] 掌聲歡迎石董事長有請
[1886.54-1887.06] 容許我
[1887.32-1888.86] 帶小超我沒有像
[1889.36-1890.38] 李董這麼的
[1892.18-1893.20] 今天很緊張
[1895.26-1898.06] 各位業界的這個先進
[1898.58-1900.62] 還有與會的這個來賓
[1900.88-1902.94] 還有我們在現場這個
[1903.18-1907.02] 直播的目前觀看我們直播的這個
[1907.54-1909.08] 朋友們
[1909.34-1910.36] 大家午安
[1913.42-1917.02] 今天是和亞經歷了這個10年的一個努力
[1917.32-1919.10] 那終於來到
[1919.36-1921.66] 行會前的一個業績發表會
[1922.44-1923.98] 那當然這裡
[1924.22-1926.54] 這個非常感謝這個
[1926.78-1928.06] 各位的一個
[1928.32-1929.10] 在
[1929.34-1931.40] 天氣這麼惡劣的一個狀況
[1931.66-1933.44] 來參加我們的這個
[1933.70-1934.98] 法說會
[1935.24-1937.54] 深深感知到
[1937.80-1939.08] 大家的一個熱情
[1939.34-1941.38] 謝謝大家歷歷的一個參加
[1942.40-1943.18] 那首先
[1943.42-1944.46] 和亞
[1945.74-1946.76] 一路走來
[1947.32-1948.34] 包含客戶
[1948.60-1949.36] 供應商
[1949.62-1951.92] 及我們的員工們
[1952.44-1953.20] 這個
[1953.46-1955.76] 大家的一個辛苦甚至於支持
[1956.02-1957.30] 本人在此
[1957.56-1959.86] 表達最深的一個謝意
[1960.12-1960.88] 感謝各位
[1961.14-1962.42] 大家的一個支持
[1963.44-1964.22] 那
[1965.74-1967.02] 在10年前
[1968.82-1971.12] 有一位工程師出生的
[1971.90-1972.40] 這個
[1972.92-1974.46] 不會這個
[1974.96-1975.74] 天氣
[1975.98-1977.02] 這個變化
[1977.32-1978.08] 甚至於
[1978.60-1979.62] 看到這個
[1980.38-1981.16] 投資廠
[1981.42-1983.46] 職場上面的一個變化
[1983.72-1986.02] 甚至於金融海嘯的這一些的
[1986.28-1987.30] 這個這個變化
[1987.82-1988.32] 那
[1988.84-1989.86] 一覽其軟
[1990.12-1991.40] 扛起了這個重責
[1991.66-1992.16] 甚至於
[1992.42-1993.18] 當初
[1993.44-1994.98] 這個帶領團隊
[1995.50-1997.80] 走過每一家上市貴的公司
[1998.06-1999.08] 甚至於說
[1999.34-2000.62] 帶領這個
[2000.86-2001.38] 團隊
[2001.64-2003.68] 遠赴到中國大陸去
[2004.20-2005.98] 這個都曾經幹過的事情
[2005.98-2007.78] 但是最重要還是說
[2008.02-2008.80] 來看
[2009.06-2010.58] 河牙的一個
[2010.84-2012.90] 創業的一個源頭是什麼
[2014.18-2016.48] 當初來看到我們市場上
[2016.74-2017.24] 看到
[2017.76-2021.34] 台灣的光學影像這一塊的專家
[2021.86-2022.88] 非常的多
[2023.64-2025.70] 那但是我們偏偏看到
[2026.20-2026.98] 市場上
[2027.22-2029.28] 這些優秀的廠家
[2029.78-2030.56] 都是日本
[2030.82-2031.58] 德國
[2032.10-2033.62] 甚至於美國的公司
[2034.14-2035.68] 為何不是台灣
[2035.98-2036.74] 廠家
[2037.78-2039.82] 所以這個讓我們看到
[2040.34-2041.86] 我們台灣這邊的一個
[2042.38-2044.42] 市場的一個變化跟
[2044.68-2046.74] 這個專注度上面
[2046.98-2049.04] 在這一塊非常的缺乏
[2050.06-2051.60] 那本身又是在
[2052.10-2053.14] 光學領域
[2053.64-2055.44] 做過從事研發工作
[2055.94-2057.22] 超過20年
[2058.26-2061.06] 所以就燃起了這樣的一個鬥志甚至於
[2061.32-2062.86] 在心裡面就
[2063.12-2064.14] 毅然截然
[2064.66-2065.94] 在2015年
[2066.24-2067.26] 創立了
[2067.52-2068.80] 這個浩天光電
[2069.06-2071.10] 也就是河牙的前身
[2072.90-2075.46] 那一創立當然就
[2076.98-2078.02] 不是很
[2078.52-2080.06] 如我的這個計畫來進行
[2080.32-2081.34] 當初的
[2082.10-2084.66] 這個目的是想要做一個DNA house
[2084.92-2086.72] 想要做一個軟體的公司
[2087.74-2089.54] 但是這個往往
[2089.78-2090.30] 計畫
[2090.82-2093.38] 這個來不及這個變化
[2093.88-2094.90] 常常會有一些
[2095.16-2095.94] 這個衝突
[2096.24-2099.06] 那幸運的是河牙在
[2099.30-2100.58] 這個創立的
[2101.10-2101.86] 前三年
[2102.38-2103.40] 業績從
[2104.18-2104.68] 百萬
[2105.20-2105.96] 到千萬
[2106.74-2107.50] 到上億
[2107.76-2110.06] 我們在短短的三年期間
[2110.58-2111.60] 就轉匯為益
[2112.36-2113.38] 甚至以獲利
[2113.90-2114.66] 來
[2114.92-2115.70] 發放
[2115.94-2116.98] 一塊錢的鼓勵
[2117.22-2118.00] 給股東
[2118.76-2122.10] 這個是蠻值得驕傲甚至於自豪的地方
[2122.86-2124.90] 但是幸運的事情
[2125.42-2125.94] 總是
[2126.24-2127.00] 不會這麼的
[2127.52-2129.06] 這個這個眷顧你
[2130.08-2133.14] 所以我們就遇到了中美貿易戰
[2133.66-2135.20] 甚至於疫情的關係
[2135.96-2137.24] 兩年的一個
[2137.76-2138.78] 跌得很深
[2139.04-2140.06] 滑了一大跤
[2141.86-2142.88] 那這個也讓我們
[2143.38-2144.16] 有一個
[2144.42-2146.20] 學到一個很慘痛的
[2146.46-2147.48] 失敗的經驗
[2148.50-2150.56] 那也讓我們孕育的
[2150.82-2153.12] 未來能夠跳得更高的一個
[2153.38-2153.88] 力量
[2154.90-2155.94] 那在當下
[2156.24-2156.74] 我們
[2157.00-2158.54] 也很感謝
[2158.80-2160.08] 我們的前任的
[2160.34-2161.10] 這個董事
[2161.62-2162.64] 訓德機械的
[2162.90-2164.42] 王年金王董事長
[2164.94-2166.22] 還有中華開發
[2166.48-2167.24] 現任的
[2167.50-2168.26] 董事
[2168.78-2170.32] 對我們的一個鼓勵
[2170.58-2171.34] 在我們在
[2171.60-2172.10] 最
[2172.36-2174.42] 荷亞在最困境的時候
[2174.92-2177.48] 能夠給我們適當的一個鼓勵跟
[2177.74-2180.04] 開導我們怎麼樣來往前走
[2181.58-2185.16] 所以這個也是讓我們非常的這個這個慶幸的地方
[2185.16-2187.46] 有我們的這個好股東來
[2187.72-2189.00] 幫我們support我們
[2190.02-2194.64] 那當然這個絕境也不是人家講的是一個危機就是一個轉機
[2195.40-2197.20] 我們在2019年
[2197.44-2199.24] 就認識我們的一個
[2199.50-2200.52] 遇到我們的大貴人
[2201.28-2202.06] 就
[2202.56-2203.84] 日亞化學的
[2204.10-2206.16] 產物取締役戴君佳先生
[2206.66-2208.20] 那及台亞的
[2208.46-2210.76] 這個現任的董事長李國光先生
[2212.04-2214.86] 那在當下我們當然是以項目合作
[2215.16-2217.72] 也沒有牽扯到任何的這個議題
[2218.48-2220.28] 那以合作的這個項目
[2220.54-2221.82] 開發
[2222.32-2224.12] 來來這個發展
[2224.88-2225.66] 到後來
[2225.92-2227.20] 在戴董的一個
[2227.44-2229.24] 權力支持底下
[2229.76-2230.78] 讓荷亞
[2231.04-2232.82] 連番的好幾番
[2233.60-2234.62] 所以我們有
[2234.88-2235.64] 連續的
[2235.90-2237.68] 四年的一個獲利成長
[2238.46-2239.74] 這個是非常難得
[2240.00-2242.56] 當然這個李董剛才提到
[2242.80-2244.34] 在今年的展望
[2244.34-2246.38] 我被告知說也不能講
[2246.64-2247.92] 一些相關的數字
[2248.18-2248.70] 所以
[2249.20-2250.74] 我只知道今年的
[2251.00-2252.28] 翻轉的機會很大
[2252.54-2254.32] 所以有可能我們就會有
[2254.58-2255.60] 五年的這個
[2255.86-2257.14] 翻轉的機會
[2257.66-2258.68] 那相對的
[2258.94-2260.72] 我覺得這個我們也不能
[2260.98-2262.26] 做太過於自豪
[2262.78-2264.30] 我們也要往前再
[2264.56-2265.58] 再跨進
[2266.86-2268.40] 對我們來講我們是
[2269.42-2271.48] 希望能夠在這個10年有成
[2271.98-2272.50] 不論
[2272.76-2274.04] 不論是面對我們的
[2274.34-2274.86] 成功啊
[2275.36-2277.16] 股東跟我們的這個
[2277.42-2277.92] 客戶
[2278.18-2279.20] 至少我們會
[2279.72-2281.50] 無比的這個欣慰
[2282.54-2284.32] 那看起來荷亞已經
[2284.58-2286.12] 這個踏出這個
[2286.62-2287.66] 這個這個
[2287.90-2289.18] 露出這個曙光了
[2289.44-2290.46] 成功的一個曙光
[2290.98-2292.52] 而且我們也一步一步
[2292.78-2295.08] 往我們這個世界級的公司在
[2295.34-2295.84] 邁進
[2296.36-2298.66] 那當然我們要更學習
[2298.92-2300.46] 日亞化學的一個精神
[2301.22-2301.74] 就是
[2301.98-2304.04] 創造世界第一的這個產品
[2304.34-2308.18] 後面已經在舉牌我就
[2308.44-2309.20] 先短講
[2309.46-2311.26] 剛才都是脫稿演出喔
[2313.82-2316.38] 荷亞的真正核心等一下我們
[2316.62-2317.90] 總經理也會提到
[2318.16-2319.70] 所以我這邊簡短的講
[2319.96-2321.50] 就是AI光學影像
[2322.00-2323.28] 我們用這三塊
[2323.80-2324.82] 這個
[2325.08-2325.84] 來來
[2326.10-2326.86] 這個做一個
[2327.38-2329.94] 來解決我們的客戶的一個兩大痛點
[2330.70-2332.50] 一個是硬一個是軟
[2333.02-2333.78] 在硬體
[2333.78-2335.06] 在軟體上面
[2335.32-2336.60] 我們就是AI的一個
[2336.86-2337.88] 辨識演算法
[2338.38-2339.92] 我們有影像的
[2340.18-2340.94] 檢測演算法
[2341.46-2343.76] 還有我們的數據整合的一個軟體
[2345.04-2347.10] 在硬體方面我們有AI的
[2347.60-2348.62] 視覺辨識系統
[2348.88-2352.22] 我們有AOI的一個瑕疵檢驗系統
[2352.72-2355.54] 我們有光學精密的對位系統
[2356.30-2359.64] 這些都是我們可以來解決客戶的一個痛點
[2360.92-2361.68] 那再來就是
[2362.20-2363.74] 荷亞的一個願景跟
[2364.04-2366.34] 文化的一個企業文化
[2366.86-2368.90] 我們以成為世界級
[2369.16-2371.20] AI光學影像專家為目標
[2371.98-2375.30] 以完成客戶托付之不可能的任務
[2375.56-2376.32] 為使命
[2377.10-2380.42] 我們強調創新突破勇於嘗試
[2380.68-2381.70] 及承擔風險
[2382.22-2384.00] 更重視團隊合作
[2384.26-2385.80] 共享共互助
[2386.06-2388.62] 讓同仁有正確的價值觀
[2390.66-2391.94] 那荷亞目前
[2392.46-2392.96] 這個
[2393.22-2393.74] 據點是
[2394.04-2395.82] 目前有台北內湖的
[2396.08-2397.10] 研發中心
[2397.62-2400.18] 有台中的自動化研發中心
[2400.70-2403.26] 以及去年我們才剛完成的
[2403.50-2404.54] 新竹總部
[2404.78-2406.58] 及半導體研發中心
[2407.34-2407.86] 那
[2408.12-2410.42] 目前我們已經在跟客戶展開
[2410.68-2411.70] 一些合作
[2411.96-2412.72] 往東南亞
[2412.98-2413.74] 往日本
[2414.00-2415.28] 甚至於到美國歐洲
[2415.80-2417.34] 來做一些相關的佈局
[2417.84-2418.62] 為我們
[2418.86-2419.64] 接下來的
[2419.90-2421.68] 地緣政治之變化
[2421.94-2422.96] 來做一個因應
[2423.78-2424.54] 那
[2425.32-2426.86] 後面我就簡單用
[2427.10-2429.42] 剛才這個李董講的
[2429.66-2430.44] 10年
[2430.70-2431.46] 我用
[2431.72-2433.00] 4個10來做
[2433.26-2435.30] 我後面的一個未來期許
[2436.58-2439.14] 以10年的研發專業技術
[2439.90-2441.70] 再加上10年的
[2441.96-2443.24] 經營管理歷練
[2444.26-2446.06] 再加上我10年的
[2446.30-2447.34] 創業經歷
[2447.84-2448.62] 我相信
[2448.86-2449.64] 可以帶領
[2449.90-2451.94] 荷亞走向未來美好的
[2452.20-2453.22] 下一個10年
[2453.78-2455.58] 這個是我的一個期許
[2456.08-2457.10] 也謝謝大家
[2457.36-2459.16] 今天的一個歷齡參加
[2459.66-2460.18] 最後
[2460.44-2461.46] 我再預告一下
[2461.98-2463.00] 7825
[2463.26-2465.56] 這個數字雖然剛才念了那麼久
[2465.82-2467.10] 我還是要重申一下
[2467.60-2468.62] 4月15號
[2469.14-2469.90] 7825
[2470.42-2472.22] 那最近很多朋友
[2472.46-2473.24] 在問我
[2473.50-2474.26] 到底要
[2475.02-2476.56] 跨多少甚至於說
[2476.82-2478.62] 股價預期要到多少
[2479.64-2481.18] 那我只能跟各位講
[2481.94-2482.96] 現在你
[2483.22-2483.74] 還有
[2484.04-2485.06] 機會成為荷亞人
[2485.32-2486.86] 一旦你成為荷亞人
[2487.36-2488.64] 以後你就是荷亞的
[2489.16-2490.18] 這個謝謝各位
[2490.70-2491.46] 謝謝
[2491.72-2497.86] 謝謝石董事長的日程免利也為我們做了非常詳細的一個說明也請先就座休息
[2498.12-2503.50] 那麼本日的會議流程稍後將由各公司依序上台進行簡報
[2503.74-2509.90] 每家公司簡報後也皆有QA的提問時間也請各位投資先進都可以踴躍的
[2510.14-2510.92] 進行提問
[2511.18-2512.70] 接續依序是由
[2512.96-2513.74] 荷亞智慧
[2514.04-2514.80] 中總經理
[2515.06-2515.82] 台亞半導體
[2516.08-2516.86] 財源總經理
[2517.10-2519.16] 企亞半導體王培仁總經理
[2519.42-2521.98] 以及我們的策略夥伴上亞科技
[2522.74-2523.50] 局局長
[2523.76-2525.30] 就公司未來營運展望
[2525.56-2526.84] 為各位投資先進
[2527.10-2528.12] 進行簡報
[2528.38-2530.68] 那同時也為了配合法令規定
[2530.94-2533.50] 今日法人說明會將全程錄音
[2533.74-2536.06] 並於會後申報上傳影音檔
[2536.56-2538.86] 首先現在是為免責聲明
[2539.12-2542.46] 本資料可能包含對於未來展望的表述
[2542.70-2543.48] 該列表述是
[2543.78-2545.32] 低於對現況的預期
[2545.58-2550.44] 但同時受限於已知或未知風險或不確定性的影響
[2550.70-2554.78] 因此實際結果將明顯不同於表述內容
[2555.04-2556.32] 除了法令要求外
[2556.58-2559.66] 公司必務應勿因應新資訊的產生
[2559.90-2561.44] 或未來事件的發生
[2561.70-2564.26] 主動更新對未來展望的表述
[2564.52-2566.30] 感謝各位的留意配合
[2566.56-2568.86] 那現在也讓我們先一同欣賞
[2569.12-2571.42] 荷亞智慧的公司簡介影片
[2571.68-2572.20] 請看
[2573.78-2574.54] 請看
[2578.90-2580.44] 從第一次相遇
[2580.70-2583.00] 你的面容已刻畫在我腦海裡
[2583.50-2585.04] 我認得每一個時刻的你
[2585.30-2588.62] 也記得你工作上需要的所有細節
[2588.88-2590.42] 在虛擬跟真實之間
[2590.68-2591.44] 我帶著你
[2591.70-2592.72] 遨遊穹倉
[2592.98-2594.00] 千里之外
[2594.26-2596.06] 卻猶如親眼所見
[2596.30-2598.10] 我總是守護你的安全
[2598.62-2600.66] 不讓危險越雷遲半步
[2601.18-2601.94] 我是光
[2602.20-2602.96] 我是影
[2603.22-2603.74] 我是你
[2604.04-2605.06] 我是你無形的眼
[2605.32-2608.90] 荷亞智慧伴你看見更精彩的世界
[2612.74-2614.78] 本身研發工程師出身
[2615.04-2616.32] 對專業的執著
[2616.84-2618.12] 對品質的堅持
[2618.62-2620.42] 對創新的熱忱
[2620.68-2621.70] 由於20多年來
[2622.22-2624.52] 都一直專注在光學影像領域
[2624.78-2625.80] 所以讓我看到
[2626.30-2628.36] 在未來市場的一個重要性
[2628.62-2629.38] 激起了
[2629.90-2632.46] 心中的一個沉寂已久的創業夢想
[2632.70-2633.48] 一步一步
[2634.04-2635.82] 往世界級的公司邁進
[2637.88-2639.16] 荷亞智慧的
[2639.42-2641.72] 技術核心包含AI的影像識別
[2641.98-2644.28] 影像品質的檢測軟體
[2644.78-2646.84] 精密光學的對位系統
[2647.34-2648.88] 智慧製造的系統整合
[2649.66-2655.54] 荷亞智慧科技專注在光學影像AI三個核心領域的技術研發
[2655.80-2657.84] 並透過三個核心技術的整合
[2658.10-2663.74] 提供客戶各種光學檢測影像品質軟體以及AI演算法等方案
[2664.04-2667.88] 荷亞智慧我們在光學影像AI這三個技術的佈局
[2668.14-2671.98] 我們投入大量的研發資源在這個三大技術領域當中
[2672.22-2674.78] 我們的公司的產品形態多於軟體
[2675.04-2676.06] 演算法為核心
[2676.32-2679.40] 但是我會因應不同的市場跟不同的應用的差異
[2679.66-2680.68] 需要整合其他硬體
[2680.94-2682.72] 我們鎖定的市場大有三類
[2682.98-2684.78] 第一類是在車用市場
[2685.02-2688.10] 未來的車用市場雖然它總量的增長不會太大
[2688.36-2691.42] 但是每年的總量大概會在9000萬輛上下
[2691.68-2693.74] 那其中又因為新能源車跟
[2694.04-2695.32] 自動駕駛技術的提升
[2695.58-2699.16] 這個會對車用的各種光學模組提供一個很好的承載功能
[2699.66-2701.20] 比如說前視
[2701.46-2701.98] 後視
[2702.22-2703.00] 環境
[2703.26-2703.76] 車內
[2704.28-2706.84] 甚至整合到智慧頭燈的3D感測系統
[2707.10-2709.90] 跟自動輔助駕駛的熱成像模組等等
[2710.16-2714.52] 那這些模組的生產測試都需要採用我們的影像檢測系統
[2714.78-2716.82] 以及光學主動式的精密對位系統
[2717.58-2719.12] 那第二個市場是在半導體
[2719.38-2723.74] 那因為在半導體的晶圓製程中有很多需要對瑕疵進行檢測
[2724.04-2726.34] 那我們的AOI的瑕疵檢測系統
[2726.86-2731.20] 除了傳統的視覺檢測以外也融入我們自行開發的AIM辦法
[2731.46-2735.56] 那麼一方面可以降低過殺率另外一方面也可以把瑕疵做分類
[2736.06-2739.66] 在收集的批量的檢測結果之後那經過我們的AI數據分析
[2739.90-2741.44] 可以提供客戶製程優化
[2741.70-2742.46] 來改善良運
[2743.24-2745.80] 那第三個就是隨著全球化的趨勢
[2746.06-2747.84] 以及人口老化的動能不足
[2748.36-2750.14] 那未來對協作機器人
[2750.40-2752.46] 無人化工廠的需求將迅速增長
[2752.70-2753.74] 那這樣的需求也會
[2753.98-2760.44] 需要各種2D 3D影像的視覺以及以AI進行生產大數據分析的整合
[2761.46-2764.78] 荷雅智慧股份有限公司成立於2015年
[2765.56-2769.14] 從創業初期的艱辛成長為近百人的企業
[2770.16-2773.50] 每一段里程碑都是讓我們驕傲的印記
[2784.04-2802.22] 荷雅智慧深知要在競爭激烈的市場中勝出必須以研發作為核心動力
[2802.46-2804.52] 同時關注人才的養成
[2804.78-2807.08] 以確保技術創新的永續性
[2807.58-2812.46] 而營運團隊在業務管理與財務等領域分工合作
[2812.70-2813.48] 形成了一套高級的工程系統
[2813.78-2815.06] 高效的運作體系
[2815.32-2818.64] 讓公司在各個面向都能穩固前行
[2819.92-2824.02] 近年推出的AI 光學 影像等方案皆有獎貨
[2825.04-2829.90] 反映在營收貢獻上創造連續四年的獲利並持續成長
[2832.22-2835.02] 對待員工如同對待家人一般
[2835.28-2837.84] 在這一塊推行的彈性工時
[2838.10-2841.18] 像員工的家庭日部門的聚餐
[2841.42-2842.96] 甚至員工旅遊
[2843.22-2843.74] 後面的
[2844.04-2849.16] 員工的認股啊分紅這些等等的措施同仁有一個歸屬感
