[0.00-1.72] 先敬大家下午好
[1803.72-1806.52] 请问今年还有多少努力的空间呢
[1812.40-1818.48] 应该来说去年最主要我想整体的一个状况是
[1818.48-1822.84] 订单的这个有比较明显的一个回升
[1822.84-1823.56] 那去年呢
[1823.56-1825.28] 其实也有提到是说
[1825.28-1828.48] 可以看到刚刚说的产能驾动率的部分
[1828.48-1832.84] 其实是相对在一个比较高的一个水位
[1832.84-1835.60] 就是93%
[1835.60-1840.28] 那这个部分我们也在去年有陆续进行人力增补
[1840.28-1843.28] 而且有适度的一个增加产能
[1843.28-1845.48] 那我想今年的一个部分的话
[1845.48-1851.20] 我们希望就是还是有一些新增产能的一个开出
[1851.20-1853.44] 那只是说还是考量就是部分
[1853.44-1856.12] 目前部分的一个厂区
[1856.12-1858.80] 还是有一些加班比较多的一个情况
[1858.80-1861.88] 加上新增产能的这个爬坡的一个影响
[1861.88-1866.12] 那我们也会继续平衡订单需求生产排成
[1866.12-1867.92] 以及劳动力供应
[1867.92-1870.94] 强化整体成本的一个管控
[1870.94-1875.04] 希望可以稳固我们整体的一个获利表现
[1875.04-1881.56] 好的谢谢
[1881.56-1883.42] 那我们的投资先进想询问说
[1883.44-1887.40] 今年保生的销售展望如何呢
[1887.40-1896.22] 以今年就是像刚刚说我们每个月都有公布月运收
[1896.22-1898.32] 那如果以保生来讲的话
[1898.32-1901.06] 它今年一到二月的这个
[1901.06-1904.34] 以人民币来记的一个销售
[1904.34-1906.76] 大概是年减4.3%
[1906.76-1909.74] 那以我们目前看到的状况
[1909.74-1912.88] 还是觉得整个的一个消费动能
[1912.88-1913.16] 相当的好
[1913.16-1913.42] 那我们的投资展望呢
[1913.44-1915.18] 相对还是比较疲弱
[1915.18-1918.30] 那这部分我们也会持续关注
[1918.30-1921.08] 就是整个消费环境的一个变化
[1921.08-1923.92] 今年来讲我们还是会致力于
[1923.92-1926.74] 就是动态布局整个销售网络
[1926.74-1929.94] 那包括了持续丰富产品组合
[1929.94-1933.08] 希望借由多元化的一个商业模式
[1933.08-1935.60] 还有细致化的一个经营管理
[1935.60-1937.70] 可以让整个的一个
[1937.70-1941.92] 营收跟获利表现可以尽量持稳
[1943.44-1946.46] 那这个部分可能还是要看
[1946.46-1949.96] 就是终端需求的一个状况
[1949.96-1951.04] 谢谢
[1951.04-1955.28] 好的
[1955.28-1956.82] 先上头进行询问说
[1956.82-1960.16] 预期25年出货量大概几双吗
[1960.16-1964.48] 没有
[1964.48-1969.12] 这个部分可能就没有给一个数字
[1969.12-1971.86] 只能说方向就是还是正向的
[1971.86-1972.92] 那只是说
[1972.92-1974.00] 24年来讲
[1974.00-1977.80] 因为我们年增幅度是来到16.9%
[1977.80-1980.48] 这个相对应该也是说明了
[1980.48-1984.84] 就是回到了一个比较常态化的一个机器
[1984.84-1987.56] 那也预计就是我想今年的一个增幅
[1987.56-1992.04] 应该合力来说会是一个比较放缓的一个看法
[1992.04-1994.28] 因为机器已经比较常态化
[1994.28-1995.56] 谢谢
[1995.56-1999.88] 谢谢
[1999.88-1999.96] 谢谢
[1999.96-2002.52] 谢谢
[2002.92-2012.68] Thank you
[2012.68-2016.16] 请问先上头的金金是不是还有问题想询问的呢
[2022.92-2024.40] 想请问一下
[2024.40-2028.88] 这是在最近的关税的一个影响之下
[2028.88-2032.76] 有看到客户这边在订单下单的动作上
[2032.76-2033.90] 有一些调整吗
[2033.90-2038.22] 目前没有看到这个状况
[2038.22-2040.58] 因为像刚刚提的就是
[2040.58-2044.92] 以目前的一个能见度来讲的话
[2044.92-2046.82] 就是到年中左右
[2046.82-2048.60] 那下半年的一个部分
[2048.60-2050.62] 因为它本来就还是会有一些
[2050.62-2052.22] 预告订单的一个状况
[2052.22-2055.82] 但目前没有看到有太大的一个变化
[2055.82-2059.80] 那这样子
[2059.80-2064.36] 今年就是在这个预言的产能
[2064.36-2065.70] 基本上还是维持比较高的
[2065.70-2068.30] 产能利润率还是维持比较高的一个水准
[2068.30-2071.72] 那可以去预期到
[2071.72-2074.06] 就是在这个莫利率的表现
[2074.06-2075.60] 毛利率表现上可以
[2075.60-2079.54] 就是在维持在更好的水准
[2079.54-2081.26] 或者是有一些改善空间吗
[2081.26-2089.34] 其实应该说
[2089.34-2091.62] 整个的一个毛利率的一个表现
[2091.62-2095.62] 它还是会跟所谓的像是产能利润率
[2095.62-2097.14] 生产效率
[2097.14-2101.36] 包括了一些人工跟材料的管控
[2101.36-2104.10] 它都有一个综合的一个影响
[2104.10-2106.34] 那以目前来讲的话
[2106.34-2108.18] 我想像刚刚说的
[2108.18-2110.42] 我们今年还是有看到一些
[2110.42-2112.70] 包括加班比较多的一个情况
[2112.70-2116.48] 那今年也会有陆续新增一些产能
[2116.48-2119.02] 那目前还是有可能会在一个
[2119.02-2119.32] 跑步的一个状况中
[2119.34-2120.64] 或者是在一个较高的一个阶段
[2120.64-2122.64] 那包括了人工成本
[2122.64-2125.54] 也还是会有一些可能当地薪资
[2125.54-2127.38] 要调升的这个情况
[2127.38-2129.22] 那今年来讲的话
[2129.22-2131.90] 我觉得我们可能还是先努力
[2131.90-2133.86] 就是像刚刚提的
[2133.86-2136.06] 就是寻求一个新的一个
[2136.06-2137.62] 比较好的一个平衡
[2137.62-2140.14] 那目前可能是先看
[2140.14-2143.08] 先稳固目前的一个获利表现
[2143.08-2147.82] 那之后再考虑下一阶段的一个目标
[2149.34-2154.12] 那在保胜这边
[2154.12-2155.36] 就是中国这边
[2155.36-2158.34] 因为毕竟消费大概
[2158.34-2162.58] 回升的一个效果没有那么的明显嘛
[2162.58-2166.36] 那但是我们在这个
[2166.36-2168.42] 折扣率上的一个表现
[2168.42-2170.62] 已经有大概的一个
[2170.62-2172.14] 就是稳定下来了
[2172.14-2174.76] 那怎么去看今年这一块的
[2174.76-2176.96] 一个毛利率的一个表现
[2176.96-2178.88] 就是它有办法
[2178.88-2179.32] 在有一些地方
[2179.34-2180.62] 会改善的空间吗
[2180.62-2184.38] 以零售来讲的话
[2184.38-2187.80] 应该是说毛利率主要有两个因素
[2187.80-2189.62] 一个因素就是
[2189.62-2192.36] 刚刚讲了折扣幅度的这个部分
[2192.36-2194.78] 那另一个部分是
[2194.78-2197.20] 就是通路组合的部分
[2197.20-2201.76] 那以目前来看的话
[2201.76-2202.92] 我们是觉得说
[2202.92-2205.12] 去年折扣做得比较好的原因
[2205.12-2208.22] 是因为库存的一个水准
[2208.22-2209.32] 就是我们的
[2209.34-2212.74] 就是库存天数大概是回到了145天
[2212.74-2215.58] 是一个比较合理的一个区间
[2215.58-2217.38] 那我们也看到了
[2217.38-2220.72] 就是老旧库存的这个占比
[2220.72-2223.94] 有回到了就是我们的一个目标值
[2223.94-2227.16] 所以整个在折扣的一个部分
[2227.16-2229.18] 去年管控的是比较好
[2229.18-2230.90] 那今年来讲的话
[2230.90-2232.58] 我们也会致力于在
[2232.58-2235.52] 折扣的一个管控的一个部分
[2235.52-2237.46] 那只是说这个部分
[2237.46-2239.32] 它还是去年
[2239.34-2240.62] 取决于说
[2240.62-2242.72] 有时候还是要看一下
[2242.72-2245.80] 市场的一个
[2245.80-2247.02] 市场的一个状况
[2247.02-2247.96] 就是等于说
[2247.96-2252.56] 比方说可能商场或者是
[2252.56-2254.10] 整个的一个
[2254.10-2257.76] 都有在做这样子的一个折扣的一个情况下
[2257.76-2260.64] 我们这个部分可能还是会跟进
[2260.64-2263.14] 但是因为我们在一个
[2263.14-2264.74] 像刚刚提的就是
[2264.74-2267.06] 库存的一个结构上面
[2267.06-2269.22] 还是会致力于在这个部分的
[2269.22-2270.88] 一个控管
[2270.88-2275.30] 那至于说在通路组合的这个部分
[2275.30-2277.82] 因为像刚刚提的
[2277.82-2280.86] 去年已经看到了线上的一个占比
[2280.86-2284.16] 可能略略提升到了28%
[2284.16-2285.82] 那以今年来讲的话
[2285.82-2288.08] 我们因为目前的一个趋势
[2288.08-2289.90] 还是是线上的一个销售
[2289.90-2292.46] 是一个比较好的一个趋势
[2292.46-2294.56] 那今年也会持续加大
[2294.56-2299.22] 就是在线上的这个部分的一个销售的一个力道
[2299.22-2304.98] 那这部分可能会对整个的一个毛利率的部分
[2304.98-2306.72] 有一些的一个影响
[2306.72-2308.88] 但是我想像刚刚讲的就是
[2308.88-2312.10] 我们还是会透过一个折扣管控的这个方式
[2312.10-2315.62] 那包括了就是像是费用的一个部分
[2315.62-2318.54] 也希望整体的一个经营效率
[2318.54-2320.82] 有一些比较好的一个提升
[2320.82-2322.46] 那目前来讲的话
[2322.46-2327.06] 我们还是会希望就是保顺的这个毛利率
[2327.06-2328.98] 可以相对持稳在
[2329.22-2330.72] 一定的一个水平
[2330.72-2331.88] 谢谢
[2331.88-2342.30] 那在这个自写这方面的业务
[2342.30-2344.04] 就是刚刚有提到
[2344.04-2348.88] 我们会有一些产能扩充的一个计划
[2348.88-2353.94] 那这个因为今年毕竟相对于去年
[2353.94-2356.64] 是在比较高基期的状态
[2356.64-2359.20] 所以这个扩充的一个
[2359.22-2362.22] 一个方向就是它会是
[2362.22-2365.22] 有办法评论分享就是在
[2365.22-2369.22] 可能在5%到10%之间的范围
[2369.22-2372.22] 还是在0%到5%的范围吗
[2372.22-2375.22] 嗯
[2375.22-2381.22] 没有一个比较具体的一个数据
[2381.22-2383.22] 应该是说因为像刚刚提的
[2383.22-2387.22] 我们的一个产能相对来讲会比较有弹性一些
[2387.22-2387.98] 就是说我们的一个产能相对来讲会比较有弹性一些
[2387.98-2388.22] 就是说我们的一个产能相对来讲会比较有弹性一些
[2388.22-2389.22] 就是说我们的一个产能相对来讲会比较有弹性一些
[2389.22-2392.22] 就是说我们的一个产能相对来讲会比较有弹性一些
[2392.22-2393.68] 就是我们今年还是会有一些
[2393.68-2394.22] 我们今年还是会有一些
[2394.22-2396.40] 不管是短期订单的一个状况
[2396.40-2400.22] 或者是一个像刚刚讲的一些中长期的一个产能布局
[2400.22-2401.22] 比方说印度的这个部分
[2401.22-2402.22] 印度的这个部分
[2402.22-2404.22] 印度的这个部分
[2404.22-2406.22] 我们还是会按照我们的危换来做进行
[2406.22-2410.22] 我们还是会按照我们的规划来做进行
[2410.22-2414.22] 那只是因为比方说像人工
[2414.22-2417.22] 这个招工或者是工时或者是加班
[2417.22-2418.22] 那个部分还是都会有一些弹性的一个空间
[2418.22-2419.76] 那这个部分我们也会看
[2419.76-2421.92] 就是实际订单的这个需求
[2421.92-2426.48] 来做比较好的一个配置
[2426.48-2427.20] 谢谢
[2427.20-2429.22] 了解 谢谢
[2429.22-2432.64] 好 谢谢
[2432.64-2433.40] 如果没有其他问题
[2433.40-2435.38] 我们今天非常感谢宝城EVE的分享
[2435.38-2436.76] 那我们今天的线上法说
[2436.76-2437.92] 就先到这边告一段落
[2437.92-2439.68] 感谢各位投资先进的参与
[2439.68-2440.30] 谢谢大家
