[0.00-9.68] 欢迎各位投资先进参加凯基举办亚洲水泥的线上法人会议
[1604.00-1605.06] 尤其是湖北部分
[1605.06-1607.50] 因为像在周边省份
[1607.50-1610.44] 有一些价格其实是比湖北还要便宜的
[1610.44-1612.74] 所以湖北作为一个高价区
[1612.74-1615.40] 它自然外部的水泥流入的话
[1615.40-1617.74] 报价就有可能会下跌
[1617.74-1620.54] 所以春季需求已经结束
[1620.54-1623.62] 可能不太清楚你讲的春季需求是什么
[1623.62-1626.76] 因为我们通常春季是我们的淡季
[1626.76-1631.12] 就是我们的旺季应该是从三四五月开始
[1631.12-1635.70] 所以需求面我觉得倒是
[1635.70-1638.00] 维持一个比较温吞的情况
[1638.00-1641.26] 所以现在报价其实主要要看的是
[1641.26-1642.74] 供给面的调控
[1642.74-1649.74] 所以这个部分影响会大一点
[1649.74-1653.22] 下面一个问题问到是说
[1653.22-1655.48] 金融资产的规模有多少
[1655.48-1660.10] 这部分可以参考我们的资产负债表
[1660.10-1662.66] 就是资产负债表
[1662.66-1665.42] 短期投资部分可以参考一下
[1665.42-1668.16] 那当然这部分以低季来讲66亿
[1668.16-1671.50] 其实是整个会计上的短期投资
[1671.50-1672.74] 那但其实你要再扣掉
[1672.74-1675.24] 有一些三个月的定存
[1675.24-1676.44] 其实也是算在这里面
[1676.44-1679.74] 所以实际金额没有660亿这么多
[1679.74-1685.76] 如果是讲PL
[1685.76-1688.66] 透过损益按公理价值衡量的
[1688.66-1691.72] 就是FVTPL的这些金融资产的话
[1691.72-1694.90] 大概是320亿左右
[1694.90-1698.66] 这个BS上面都有
[1698.66-1701.74] 公司财报上面有更详细的说明
[1701.74-1702.74] 甚至我们也有一个公司财报上面有更详细的说明
[1702.74-1704.40] 甚至我们投资部位有哪些
[1704.40-1708.48] 大概付出上面也都揭露
[1708.48-1710.18] 所以FVTPL大概321亿
[1710.18-1712.78] 那整个短投大概670亿
[1712.78-1716.66] 那但是这个短投里面有很多是定存
[1716.66-1717.98] 简单的讲是这样
[1717.98-1720.50] Q2会回冲一些利益回来吗
[1720.50-1721.02] 会
[1721.02-1725.60] 因为其实就整个股市状况来看的话
[1725.60-1731.74] 其实到5月中其实回升蛮多的
[1731.74-1731.94] 对
[1731.94-1732.74] 所以预期是有很多的回升回来
[1732.74-1735.94] 预期看起来应该会有些回冲
[1735.94-1739.54] 但是就会对造成的影响的话
[1739.54-1741.02] 可能就暂时还不会
[1741.02-1745.16] 因为汇率目前台币升值了一大段之后
[1745.16-1748.36] 到目前其实并没有回变
[1748.36-1752.26] 所以到第二季可能股市这方面的评价应该会改善
[1752.26-1760.34] 但是汇率造成的一些评价可能还是会有损失
[1760.34-1762.58] 在下面一个问题问到说第四季
[1762.58-1769.02] 去年第四季的煤炭成本是796块796
[1769.02-1774.76] 下面有问题有问到说第二季的权益法投资获利要怎么评
[1774.76-1777.96] 怎么看
[1777.96-1781.16] 我觉得整个权益法投资在今年
[1781.16-1786.60] 我觉得可能是偏向比较是保守一点的看法
[1786.60-1792.44] 对因为就美东新世纪的话
[1792.44-1792.58] 呃
[1792.58-1797.46] 他第一季可能有有一些储备利益贡献
[1797.46-1799.66] 所以造成一次性比较大
[1799.66-1805.56] 但是就第二季之后可能还是要看他本身基本面的一个状况而定
[1805.56-1811.34] 对那还有他的这个场在第一季发生意外之后
[1811.34-1813.10] 发现场在第一季发生意外之后
[1813.10-1817.04] 可能要看他后续复原的情况而定
[1817.04-1821.04] 对那玉米航运的话
[1821.04-1822.44] 整个运价目前是
[1822.44-1825.04] 是偏向是相对弱一点
[1825.04-1826.64] 那当然
[1826.64-1835.18] 呃主要也是要看中国这边需求状况如何吧
[1835.18-1837.36] 那另外还有他地缘政治的因素
[1837.36-1841.12] 现在因为这块相对是比较不稳定
[1841.12-1844.52] 去有时候他是会催化运价上涨
[1844.52-1848.94] 对所以这块可能政治盘地缘政治这块也会牵动他的一个影响
[1848.94-1849.44] 嗯
[1849.44-1852.44] 嗯
[1852.44-1860.64] Donc
[1860.64-1862.34] u
[1862.34-1865.20] 依P ah
[1865.20-1866.00] No
[1866.00-1868.40] Yeah
[1868.40-1872.04] LISA
[1872.80-1877.44] distribut
[1879.28-1880.28] Do i
[1880.28-1881.46] Do I
[1881.46-1882.42] Do I
[1882.44-1883.00] 往下走
[1883.00-1885.80] 所以营业净利率
[1885.80-1887.68] 应该有可能是往上的
[1887.68-1889.28] 下一个问题问到说
[1889.28-1891.50] 台湾进口水泥
[1891.50-1892.82] 反倾销这块的进度
[1892.82-1894.66] 这两天新闻有说
[1894.66-1896.16] 政府的行动缓慢
[1896.16-1898.10] 其实大概就是
[1898.10-1899.84] 都会在新闻上面
[1899.84-1901.00] 看到这样的一个状况
[1901.00-1902.74] 大概就是目前的进度
[1902.74-1904.46] 所以我们还要静待
[1904.46-1909.48] 就是7月等到它公布
[1909.48-1910.96] 以政府公布为主吧
[1910.96-1917.32] 下一个问题问到说
[1917.32-1920.20] 台湾的营收部门
[1920.20-1921.18] 有无统计过多少
[1921.18-1922.64] 属于公共工程基本盘
[1922.64-1924.34] 多少是商业或私人的
[1924.34-1924.90] 营业需求
[1924.90-1929.88] 可能要先跟这位头阵解释一下
[1929.88-1931.88] 就是因为我们的
[1931.88-1933.50] 台湾水泥的部门呢
[1933.50-1935.40] 它是包含水泥事业
[1935.40-1937.98] 还有水泥的相关的value chain
[1937.98-1940.74] 然后也包含预办
[1940.96-1944.58] 那至于你要去区分
[1944.58-1945.88] 哪些是公共工程
[1945.88-1948.18] 哪些是商业或私人营建
[1948.18-1951.46] 其实要从预办这边去统计
[1951.46-1953.12] 会比较清楚
[1953.12-1954.94] 因为预办水泥
[1954.94-1956.40] 预办混凝土
[1956.40-1960.80] 才会直接流向营建业
[1960.80-1961.86] 就是在盖房子的时候
[1961.86-1963.08] 其实是用的是混凝土
[1963.08-1964.54] 而不是水泥
[1964.54-1966.36] 水泥是属于中上游
[1966.36-1968.32] 混凝土才是下游
[1968.32-1970.80] 流到公共工程或营建
[1970.80-1972.16] 所以如果是就
[1972.16-1974.56] 如果是就我们的混凝土这一块的话
[1974.56-1976.72] 我们是可以区分的
[1976.72-1979.74] 那但是如果是要就水泥这一块的话
[1979.74-1981.10] 我们没有办法直接区分
[1981.10-1983.64] 因为我们的客户不是公共工程
[1983.64-1986.08] 我们的客户是预办
[1986.08-1987.88] 那不过
[1987.88-1990.04] 所以这是没有办法详细统计的原因
[1990.04-1993.80] 那但是如果就一个大致的感觉的话
[1993.80-1995.16] 这个大致的感觉的话
[1995.16-1997.82] 或者就一个调研的大概的评
[1997.82-2000.46] 出的一个估计的话
[2000.46-2005.58] 台湾大概房地产的需求应该有占到七成
[2005.58-2006.40] 对
[2006.40-2008.34] 那公共工程可能大概在两成
[2008.34-2012.20] 剩下一层可能是工业私部门
[2012.20-2015.50] 那这几年因为科技业建厂的关系
[2015.50-2017.96] 所以可能
[2017.96-2020.82] 还有之前房市是比较热络的关系
[2020.82-2022.78] 所以房地产跟
[2022.78-2023.72] 就是私部门
[2023.72-2026.08] 或者说你说工业部门这一块的比重
[2026.08-2027.64] 应该有比较高一点
[2027.64-2030.28] 公共工程可能少一点
[2030.28-2034.42] 所以它是大概是可能七比二比一
[2034.42-2036.78] 大的基本盘可能是这样
[2036.78-2042.96] 但是可能会随着一些流动而有一些影响
[2042.96-2047.28] 这是整个市场的情况
[2047.28-2048.52] 下一个问题问到说
[2048.52-2051.76] 错综生产角度来看中国水净价格是不是有可能淡气不淡
[2051.76-2052.32] 旺气不旺
[2052.32-2053.32] 嗯
[2053.32-2054.18] 如果是就今年的水净价格的话
[2054.18-2055.28] 我看这个是一个很大的问题
[2055.28-2056.02] 但是我看这个是一个很大的问题
[2056.02-2056.56] 因为我们现在的水净价格是很大的问题
[2056.56-2057.10] 所以我们现在的水净价格是很大的问题
[2057.10-2057.40] 但是我们现在的水净价格是很大的问题
[2057.40-2057.90] 所以我们现在的水净价格是很大的问题
[2057.90-2058.24] 但是我们现在的水净价格是很大的问题
[2058.24-2061.50] 如果是就今年第一季来讲
[2061.50-2065.60] 所谓的传统淡季价格是相对是维持的还OK
[2065.60-2069.58] 所以可能淡季维持的还可以
[2069.58-2072.62] 但是就第二季看起来往下走
[2072.62-2074.78] 所以如果你就第一季第二季来看
[2074.78-2078.26] 确实是你说的这个情况
[2078.26-2079.00] 对
[2079.00-2080.46] 但是嗯
[2080.46-2083.14] 我觉得具体来讲
[2083.14-2086.96] 其实因为根本的原因就是现在错峰生产
[2086.96-2088.24] 其实是比较仰赖
[2088.24-2090.24] 在于行业的自律
[2090.24-2091.84] 比较仰赖行业自律的话
[2091.84-2095.32] 其实就是一个不稳定的一个结构
[2095.32-2095.68] 对
[2095.68-2098.20] 所以是不是淡季的时候
[2098.20-2099.70] 大家会比较愿意守价格
[2099.70-2101.68] 旺季的时候大家不愿意守价格
[2101.68-2103.34] 这状况也不好说
[2103.34-2107.28] 我觉得可能更多时候是要看价格的位阶在哪里
[2107.28-2109.18] 比方说像
[2109.18-2111.46] 去年第四季是旺季
[2111.46-2114.52] 然后价格是涨的
[2114.52-2116.62] 那这价格延续到第一季
[2116.62-2117.46] 大家还守得住
[2117.46-2118.24] 可是到第二季
[2118.24-2120.10] 大家又守不住
[2120.10-2124.78] 那现在到第三季是不是又可以又守住又在反弹
[2124.78-2126.70] 这部分也不太确定
[2126.70-2130.24] 但就去年过去一段时间确实是有这样的一个迹象
[2130.24-2135.10] 就是因为去年去年也是从七月开始但进入淡季
[2135.10-2137.68] 但是有些地方价格又开始放涨
[2137.68-2140.74] 就有点是反弹旺季的这样一个情况在走
[2140.74-2142.26] 确实以结果论来讲
[2142.26-2144.68] 过去一段时间是这样的一个情形
[2144.68-2148.24] 但是不过也不代表接下来就一定是这样的一个状况
[2148.24-2148.74] 对不对
[2148.74-2153.74] 下面一个问题有问到说
[2153.74-2157.74] 第二季和今年中国水净数量的预期和台湾部分
[2157.74-2159.48] 第二季的预期
[2159.48-2163.74] 我觉得可能就是跟整个大盘的一个状况会是相似的
[2163.74-2166.90] 就是今年的需求可能下滑大概在5%左右
[2166.90-2167.86] 对
[2167.86-2169.86] 就是跟整个市场需求是相似
[2169.86-2175.24] 那台湾的部分的话
[2175.24-2176.36] 台湾部分
[2176.36-2178.24] 我觉得目前看起来相对是比较吃力的
[2178.24-2179.62] 因为前面有报告
[2179.62-2182.68] 就是说今年其实第一季来讲
[2182.68-2185.20] 台湾水泥需求还是小幅度的成长
[2185.20-2188.68] 那以整个建造合法楼地板面积来看
[2188.68-2191.08] 其实还有支撑
[2191.08-2193.90] 就是所以至少就营经业来讲
[2193.90-2197.26] 我觉得以目前的市况来看
[2197.26-2201.40] 并没有说受到地产的冷却
[2201.40-2205.96] 而到就到造成很大的一个不确定的一个情况
[2205.96-2207.28] 就是
[2207.28-2207.88] 开发商
[2207.88-2208.24] 跟营经业
[2208.24-2212.00] 造业的该盖的房子还是在持续进行当中
[2212.00-2212.62] 对
[2212.62-2215.32] 那当然我觉得这部分也是要再继续观察
[2215.32-2223.72] 因为毕竟央行的现代现代这些政策是会维持多久
[2223.72-2225.76] 目前也还不好说
[2225.76-2227.92] 那他是从去年第四季开始
[2227.92-2231.92] 所以就最近这一季来讲
[2231.92-2233.44] 销售面是有冷下来
[2233.44-2237.10] 但是营造面什么时候传导到那边
[2237.10-2237.88] 目前
[2237.88-2239.88] 他来看是还没有
[2239.88-2241.64] 那当然我个人认为
[2241.64-2245.44] 如果这个政策延续很久的话
[2245.44-2248.38] 的确有可能营建端也会受到一些影响
[2248.38-2253.72] 但是现在无法确定就是这个政策是不是会延续这么久
[2253.72-2253.90] 对
[2253.90-2256.48] 因为以目前的一些
[2257.62-2259.68] 新闻或者讯息来看的话
[2259.68-2264.46] 其实好像也是存在一些不确定性
[2264.46-2266.76] 所以我觉得这块也要再持续观望
[2266.76-2267.26] 那就今年来说呢
[2267.26-2268.76] 今年台湾需求
[2268.76-2270.90] 我觉得目前应该是以稳定来看
[2270.90-2271.10] 嗯
[2287.24-2287.68] 好
[2287.96-2288.94] 量目前
[2290.24-2292.84] 聊天室的提问先回应到这边
[2292.84-2294.40] 那如果还有其他问题的话
[2294.40-2295.88] 也可以再持续做留言
[2297.26-2307.68] 现在是网上就 Collin
[2307.68-2317.82] 稍后再提问
[2317.82-2318.76] 好
[2318.76-2325.96] outhern
[2325.96-2326.08] Husam
[2327.26-2333.14] 所以古料目前还是一个
[2333.14-2335.10] 相对水泥来讲
[2335.10-2336.84] 是一个毛利比较高的一个产品
[2336.84-2341.44] 那当然古料它的毛利率
[2341.44-2343.26] 确实就过去几年来说
[2343.26-2345.00] 是相对是下降的
[2345.00-2348.54] 主要是因为产能的开出的关系
[2348.54-2354.00] 但是它现在来看
[2354.00-2355.84] 其实距离水泥的毛利
[2355.84-2357.38] 还是高出不少
[2385.84-2389.04] 不晓得
[2389.04-2390.84] 那不知道
[2390.84-2393.20] 那不知道还有没有
[2393.20-2395.00] 投资先进有问题要提出来的
[2413.00-2414.76] 那如果各位投资先进
[2414.76-2415.80] 没有其他的问题
[2415.80-2415.82] 请回答我
[2415.84-2416.52] 有问题的话
[2416.52-2419.04] 那我们今天的线上法人说明会
[2419.04-2420.64] 就先进行到这里
[2420.64-2422.76] 那我们再一次谢谢Ninus
[2422.76-2425.14] 谢谢各位的参与
[2425.14-2425.80] 谢谢
[2425.80-2426.34] 谢谢
[2426.34-2427.74] 谢谢Ninus
[2427.74-2428.84] 谢谢
[2428.84-2430.04] 拜拜
[2430.04-2431.04] 拜拜
