[0.00-11.92] 高雄銀行2024年第四季法人說明會正式開始
[1578.54-1581.54] 那時候是來到2千9百16億
[1581.54-1586.54] 跟1百12年12月的2千5百26億
[1586.54-1591.54] 我們也增加了3百87億的一個存款的平均餘額
[1591.54-1593.54] 那如果我們看到點對點
[1593.54-1595.54] 就是說去年12月底那天
[1595.54-1600.54] 跟1百12年12月31號那天來比較的話
[1600.54-1604.54] 我們的存款也竟增加了3百66億
[1604.54-1606.54] 所以這個存款
[1606.54-1608.54] 不管是哪一個平均數來看的話
[1608.54-1610.54] 我們都增加了3百多億
[1610.54-1612.54] 另外我們看到這個紅色的曲線圖
[1612.54-1615.54] 是我們放款的一個增長的一個狀況
[1615.54-1617.54] 我們看到去年第四季
[1617.54-1620.54] 我們這個數字是來到2千182億
[1620.54-1622.54] 跟前一個年度的同期
[1622.54-1625.54] 1千840億來看的話
[1625.54-1627.54] 我們也增加了3百42億
[1627.54-1629.54] 所以各位可以看到這個數字
[1629.54-1632.54] 不管是存款的3百76億
[1632.54-1635.54] 或者是我們放款的3百42億
[1635.54-1638.54] 其實都有兩位數以上的成長
[1638.54-1640.54] 如果看單季的話
[1640.54-1642.54] 存款成長15個percent
[1642.54-1646.54] 那放款的話也來到了將近19個percent
[1646.54-1648.54] 這個成長幅度是非常可觀的
[1648.54-1650.54] 那也補充報告
[1650.54-1652.54] 如果看到我們放款的一個數字的話
[1652.54-1654.54] 我們看到這個數字的一個
[1654.54-1656.54] 全年度的一個平均餘額
[1656.54-1660.54] 也就是去年113年跟112年來比較的話
[1660.54-1662.54] 我們全年放款的平均餘額
[1662.54-1665.54] 也增加了2百81億
[1665.54-1668.54] 那如果看到說去年12月
[1668.54-1671.54] 跟前年的12月來比較的話
[1671.54-1672.54] 單月來比較的話
[1672.54-1678.54] 平均餘額放款也增加了3百48億
[1678.54-1680.54] 那如果看到說12月底那天
[1680.54-1683.54] 對前一個年度的12月底那天的話
[1683.54-1688.54] 那放款也增加了339億
[1688.54-1691.54] 這個還不包括我們去年度
[1691.54-1696.54] 事實上我們做了很多放款內容的一個結構上的一個調整
[1696.54-1701.54] 也就是說我們比較多用貨幣市場利率來計息
[1701.54-1705.54] 也就是說比較低收益的這個放款這個部分
[1705.54-1709.54] 事實上我們也調整了48億
[1710.54-1713.54] 所以如果把這個48億再加回來
[1713.54-1716.54] 剛剛我們講的那些數字裡面
[1716.54-1720.54] 我們如果單就看月對月的平均數來看的話
[1720.54-1725.54] 大概我們去年12月跟前年12月的平均餘額來比較的話
[1725.54-1728.54] 大概放款就增加了396億
[1728.54-1732.54] 這個也是因為拜我們現金增資之賜
[1732.54-1737.54] 讓我們有更大的一個業務的動能
[1737.54-1739.54] 跟可以擴增的一個量
[1739.54-1740.54] 這個是我們全年度的一個平均餘額
[1740.54-1741.54] 我們去年的一個狀況
[1741.54-1743.54] 那接下來我們看下一個簡報
[1743.54-1746.54] 下一個簡報是我們存款結構的一個分析
[1746.54-1748.54] 那這個分兩個部分
[1748.54-1752.54] 一個是按類別也就是按活存定存的一個比較
[1752.54-1756.54] 其次是按幣別也就是按新台幣跟外幣來看
[1756.54-1758.54] 那首先我們看到按類別的
[1758.54-1760.54] 那類別的話我們可以看到
[1760.54-1762.54] 我們先看到這個下邊
[1762.54-1764.54] 這個是條圖
[1764.54-1767.54] 那我們看到我們活期性的存款
[1767.54-1769.54] 這個是季對季的
[1769.54-1771.54] 那我們看到活期性的存款
[1771.54-1774.54] 我們大概去年4Q較前年的4Q
[1774.54-1777.54] 我們就增加了130億的這個活期性的存款
[1777.54-1780.54] 那定期性的存款大概增加246億
[1780.54-1783.54] 那感覺起來我們看到這個比重
[1783.54-1786.54] 也就是說去年的這個比重
[1786.54-1791.54] 活期性的比重是來到53.23
[1791.54-1794.54] 那相對前一個年度的56.06
[1794.54-1796.54] 比重感覺是下降的
[1796.54-1798.54] 那定存的這個比率呢
[1798.54-1800.54] 是上升的
[1800.54-1802.54] 那這個主要的部分是因為
[1802.54-1805.54] 我們的放款急速的成長
[1805.54-1809.54] 那事實上活期性存款的一個吸收是比較來不及的
[1809.54-1813.54] 那所以呢我們吸收了比較多的一些定期性的存款
[1813.54-1816.54] 尤其是大額的定期性存款來支應
[1816.54-1818.54] 所以會有這樣子的一個現象
[1818.54-1820.54] 但是我們看起來
[1820.54-1822.54] 這個總金額還是上漲的
[1822.54-1824.54] 這個總金額就是稍早有報告過
[1824.54-1828.54] 這個這裡跟前一個年度大概是競爭的一個情況
[1828.54-1835.54] 應該可以看到
[1835.54-1836.54] 老縣會的這個債務
[1836.54-1837.54] 對啊
[1837.54-1840.54] 現在大部分現在的那個所謂所說來這些
[1840.54-1842.54] 這是有幹《區時》
[1842.54-1844.54] 我們說有干貼的
[1844.54-1846.54] 但它開始是有其要求的
[1846.54-1848.54] 요즘這些法律中介入過後
[1848.54-1851.86] 這個金感覺應該是在
[1851.86-1855.54] 展示一個物質的可以伸展這個
[1855.54-1856.54] 如果公司顯示完整的制造
[1856.54-1857.34] 其實這個東西呢
[1857.34-1858.20] 是pla Humano Play
[1858.20-1858.34] Pla Humano Play
[1858.54-1859.82] 377億
[1859.82-1862.12] 那外幣是少了1億
[1862.12-1865.20] 所以呢主要我們去年的存款增加
[1865.20-1867.50] 絕大多數全部
[1867.50-1872.88] 可以說全部都是增加在新台幣的一個存款上
[1872.88-1878.00] 那這個這樣子之後呢我們的佔比我們可以看到
[1878.00-1880.30] 台幣的一個
[1880.30-1883.88] 存款的佔比是來到85%左右
[1883.88-1886.18] 那外幣大概是15%
[1886.18-1888.74] 那相對去年的同期
[1888.74-1891.30] 台幣是83跟這個
[1891.30-1893.60] 將近17是有一些調整
[1893.60-1894.62] 各位可以
[1894.62-1896.68] 從這個條圖上看得非常清楚
[1896.68-1899.24] 但是絕對數是增加很多的
[1899.24-1900.78] 這個是我們的一個
[1900.78-1902.82] 整個去年的一個
[1902.82-1905.38] 去年第四季跟前年第四季
[1905.38-1907.68] 存款的一個變化的狀況
[1907.68-1909.48] 那接下來我們看下一頁
[1909.48-1914.60] 下一頁的話是我們放款的一個平均餘額的也是
[1914.60-1916.14] 季度的一個變化
[1916.14-1916.90] 的一個狀況
[1916.90-1919.46] 那我們可以先看到這個左手邊
[1919.46-1923.30] 左手邊呢放款我們按對象來分我們主要分為
[1923.30-1926.64] 契金銷金跟一個市政的一個貸款
[1926.64-1929.46] 那我們可以看到去年年底
[1929.46-1930.98] 2024年底的時候
[1930.98-1934.58] 可以看得到我們這個契金大概佔比大概是
[1934.58-1936.62] 快要算是66%
[1936.62-1938.66] 那銷金呢大概是
[1938.66-1939.70] 32%
[1939.70-1943.54] 那我們的政府放款呢這個大概是2.57%
[1943.54-1946.10] 那相較前一個年度的時候
[1946.10-1948.92] 前一個年度的時候那時候市政貸款是零
[1948.92-1950.70] 我們是從去年的
[1950.70-1952.50] 4月份
[1952.50-1955.58] 才開始有乘坐市政貸款的
[1955.58-1958.38] 那所以這個當時是市政貸款是零
[1958.38-1961.98] 那結構上可以看到
[1961.98-1967.10] 上一個年度的時候是65.54%這樣子的一個占比那銷金是
[1967.10-1971.96] 34.46%那全年我們可以看到我們整個的增加
[1971.96-1973.24] 契金增加了
[1973.24-1975.80] 228億那銷金也增加了
[1976.10-1979.94] 28億那市政貸款這個部分是增加了56億
[1979.94-1982.50] 這個是按對象來看
[1982.50-1988.14] 那接下來看右手邊的這個條圖那個這個是我們按這個幣別來看跟
[1988.14-1991.20] 稍早的存款也是一樣我們也有按幣別來看
[1991.20-1992.74] 那我們可以看得到
[1992.74-1996.06] 我們的放款主要還是在
[1996.06-1997.34] 新台幣的部分
[1997.34-1998.62] 那
[1998.62-2004.78] 因為這個外幣的放款基本上在我們銀行來看的話就是說這個的變化不大
[2004.78-2006.06] 也就是說佔這個
[2006.06-2008.36] 整個放款的比重的
[2008.36-2009.64] 變化不大
[2009.64-2016.30] 最近幾年大概都是在9%到11%之間有種也就是說這個外幣放款的部分
[2016.30-2018.10] 大概就是在這個區間
[2018.10-2020.90] 那我們台幣的部分是比較
[2020.90-2024.74] 佔比是比較高的那我們可以看到去年年底的時候
[2024.74-2027.56] 這個大概是來到90%
[2027.56-2030.90] 那總的這個金額呢確實是增加非常多
[2030.90-2036.02] 是增加了342億也就是說去年年底較前年的第四季的金額是340億
[2036.06-2038.36] 這個是增加了342億
[2038.36-2041.18] 好接下來我們看再看下一頁
[2041.18-2047.32] 那接下來的話是我們的利差跟淨利差的一個狀況
[2047.32-2053.46] 我們可以看到上面的這個藍色的曲線圖是我們的總的這個存放款的
[2053.46-2056.28] 利差我們總存放款的利差大概是
[2056.28-2061.40] 1.65這個相較去年同期的1.63呢大概有拉升了大概
[2061.40-2066.02] 0.02個百分點拉升了2點
[2066.06-2069.14] 那如果看到這個淨利差的部分
[2069.14-2074.26] 所謂的淨利差是指說利息的淨收益去除上
[2074.26-2076.82] 知息資產的一個平均餘額
[2076.82-2078.60] 叫做這個MIP
[2078.60-2085.52] 也就是這個淨利差那我們可以看到我們的淨利差去年第四季是來到0.95
[2085.52-2089.10] 那相較前一個年度的同期0.85我們有
[2089.10-2091.14] 是有增加了10個百分點
[2091.14-2094.48] 這是一個好的一個現象也就是說呢
[2094.48-2096.02] 整個我們的升息資產
[2096.06-2099.64] 通通都有在往上走這個利差都有往上走
[2099.64-2102.98] 相對的也會反映在我們的這個
[2102.98-2107.32] 利息淨收益裡面這個是一個好的一個現象
[2107.32-2111.16] 好那接下來我也再報告一下
[2111.16-2112.96] 下一頁
[2112.96-2119.10] 這個是我們在把我們的利差存放款的利差我們給他拆分成台幣跟外幣
[2119.10-2123.96] 那我們首先看到紅色的是我們外幣的一個利差的一個狀況那
[2123.96-2126.02] 各位可以看得到這個是從
[2126.06-2131.70] 2012年也就是2023年的這個外幣的利差有2.5是一直
[2131.70-2133.48] 一路下滑到
[2133.48-2136.04] 去年第四季的時候剩下2.14
[2136.04-2138.34] 這個主要是
[2138.34-2143.46] 美國在去年3Q以後呢他有陸續的一個降息那
[2143.46-2146.28] 大概在3Q之後呢他總共降了4嘛
[2146.28-2148.08] 也就是降了1%
[2148.08-2149.36] 事實上放款呢
[2149.36-2154.22] 基本上來講都是浮動利率所以這個就會隨著這個
[2154.22-2156.02] 這個美國這個調息呢
[2156.06-2158.36] 或者是其他國家的調息
[2158.36-2163.48] 對應我們放款的幣比這個大概就是有比較下跌
[2163.48-2167.06] 那這個大概降幅大概是有40個百分點
[2167.06-2172.18] 那反觀我們台幣的部分我們看到台幣的部分這個我們的這個利差
[2172.18-2173.46] 大概
[2173.46-2176.02] 2023年底的時候大概是1.75
[2176.02-2177.30] 那我們看到
[2177.30-2179.62] 2020年底的時候是1.
[2179.62-2180.64] 1.71
[2180.64-2185.76] 那感覺好像也是往下走那這個主要也有一部分的原因是因為
[2185.76-2189.34] 我們在去年的第2季的時候
[2189.34-2190.12] 大概我
[2190.12-2193.18] 稍早也有報告過我們有做了市政貸款那
[2193.18-2194.46] 市政貸款呢
[2194.46-2201.88] 相對而言的話他的利率總是會比這個一般正常的放款會來的稍微低一些些
[2201.88-2205.48] 所以感覺起來是有稍微
[2205.48-2206.50] 利差是有
[2206.50-2208.54] 台幣的利差是有稍微
[2208.54-2209.82] 少了4個百分點
[2209.82-2212.12] 但是這個相較其他的
[2212.12-2215.72] 很多的這個金融同業來講我們這樣子的一個利差
[2215.76-2217.04] 算是
[2217.04-2218.06] 算是
[2218.06-2218.84] 好的
[2218.84-2222.92] 算是高的絕對是在這個平均值之上
[2222.92-2226.26] 好那再來我們看下一頁
[2226.26-2228.82] 這個是我們資產品質的部分
[2228.82-2232.40] 那各位可以看到我們這個兩條曲線那首先
[2232.40-2235.22] 藍色的曲線是我們的被蓋帳覆蓋率
[2235.22-2240.84] 那我們去年第4季的這個覆蓋率是來到514.8
[2240.84-2245.72] 相較前一個年度的同期481.42我們是有增加了
[2245.72-2248.54] 33.38個百分點
[2248.54-2250.84] 這個也是往好的方向來走
[2250.84-2253.92] 那看到紅色的曲線是我們的預放比
[2253.92-2255.70] 那我們去年
[2255.70-2256.98] 去年
[2256.98-2259.80] 第4季的時候我們的預放比是0.23
[2259.80-2261.34] 那相對
[2261.34-2266.96] 112年底的0.25我們大概也有下降了大概0.02個百分點
[2266.96-2270.30] 這個也是有往比較好的一個方向在走
[2270.30-2272.08] 那另外也補充報告說
[2272.08-2275.68] 我們的被底蓋帳的餘額也就是說如果萬一
[2275.72-2277.52] 真的發生事情的話
[2277.52-2280.08] 要用這個來打消的話我們現在
[2280.08-2283.40] 去年年底我們的被底蓋帳的餘額來到
[2283.40-2285.96] 25.75億
[2285.96-2289.54] 這個相較我們前一個年度也就是這個
[2289.54-2293.64] 這個當下這時候的我們的被底蓋帳的一個餘額
[2293.64-2299.02] 那時候是有22.57億所以呢我們去年整整
[2299.02-2302.60] 這樣一年我們的被底蓋帳的這個
[2302.60-2304.40] 餘額大概整整也有多了
[2304.40-2305.42] 競爭也有多了
[2305.72-2306.48] 我們這個
[2306.48-2308.48] scientists
[2308.48-2310.18] 在 museum 這 chacun和資助他是
[2310.18-2313.18] 在遊戲部 fema
[2313.18-2314.66] 其實也是一個
[2314.66-2316.28] 我前幾個 festa
[2316.28-2318.10] 在我家 verste不下但是
[2318.10-2320.06] 我還血默默願い說
[2320.06-2322.34] 有什麼 我真的 unreasonable
[2322.34-2323.12] 就要說
[2323.12-2324.18] 我們舊舊的這個
[2324.18-2325.78] luminos tooling
[2325.78-2327.54] 給人一雕
[2327.54-2328.60] 真是
[2328.60-2329.84] 是這麼好的一個
[2329.84-2330.40] 一個
[2330.40-2331.84] 有增加的
[2331.84-2333.24] 所以說
[2333.24-2334.22] 終端的問題是
[2334.22-2334.88] 你們這個
[2334.88-2335.16] 相對對對對
[2335.16-2338.40] 這個資產應該是沒有什麼問題的
[2338.40-2341.40] 那當然這個跟全國的平均數來比
[2341.40-2344.48] 全國的平均數是比我們的高很多
[2344.68-2346.68] 我們是還有精進的空間喔
[2346.68-2349.18] 這個是我們要努力的一個目標
[2349.62-2351.60] 好 接下來我們再來看一下
[2351.60-2353.22] 下一張簡報
[2353.22-2355.32] 這個是我們的資本氏族性
[2355.32-2357.50] 資本氏族三綠的一個比較
[2357.50-2360.66] 那各位從這個曲線圖裡面可以看得出來
[2360.66-2362.92] 在去年的
[2362.92-2364.92] 3Q的 不是3Q
[2364.92-2367.56] 去年第一季也就是三月底的時候
[2367.56-2370.06] 各位可以看到我們這個資本三綠
[2370.06-2372.24] 都是在頂峰
[2372.24-2376.54] 那是因為我們在這個時間點做了現金增值
[2376.54-2379.86] 所以使得我們的不管是資本氏族綠
[2379.86-2382.10] 或者是第一類資本比率
[2382.10-2384.10] 或者是普通股權益呢
[2384.10-2386.86] 都是來到這個高峰
[2386.86-2388.50] 但是也跟各位報告
[2388.50-2392.60] 即便我們去年做了這個50億的現金增值
[2392.60-2394.60] 但是這個數字
[2394.60-2398.36] 當下跟全國的平均數來比
[2398.36-2401.80] 除了第一類資本有稍微比
[2401.80-2404.28] 全國的平均數高一點之外
[2404.28-2406.28] 不管是我們的資本氏族綠
[2406.28-2408.28] 或者是我們的普通股權益
[2408.28-2413.10] 相較同業平均還是偏低的
[2413.10-2415.10] 還是偏低的喔
[2415.10-2418.10] 那這個是去年第一季
[2418.10-2421.10] 也就是三月底的狀況是這個樣子
[2421.10-2422.30] 那我們回歸
[2422.30-2424.30] 我們看到去年年底
[2424.30-2425.30] 那去年年底呢
[2425.30-2427.30] 這個資本氏族綠呢
[2427.30-2429.30] 各位可以看到
[2429.30-2433.30] 從這個剛現金增值完的14.42
[2433.30-2436.30] 盪到13.28
[2436.30-2438.30] 那這個為什麼會降
[2438.30-2444.30] 這個是因為反映在我們的業務的大幅成長
[2444.30-2446.30] 因為不管是放款
[2446.30-2449.30] 或者是我們的金融投資
[2449.30-2452.30] 都算是我們的風險性資產
[2452.30-2455.30] 那銀行只要做這個風險性資產
[2455.30-2459.30] 這個資本氏族綠就會下降
[2459.30-2460.30] 就會下降
[2460.30-2462.30] 所以呢除非不做業務
[2462.30-2464.30] 才能夠停在這個高峰這裡
[2464.30-2466.30] 但是隨著業務的一個沉著呢
[2466.30-2469.30] 這個部分是會逐步下降
[2469.30-2473.30] 雖然我們一再有在就是說
[2473.30-2476.30] 降低這個風險性資產
[2476.30-2478.30] 增加的一個速度
[2478.30-2480.30] 比如說我們做一些風險抵檢
[2480.30-2482.30] 就是拿一些擔保品
[2482.30-2484.30] 或者多送一些信保基金
[2484.30-2486.30] 或者乘坐比較高品質
[2486.30-2488.30] 就是性品比較好
[2488.30-2489.30] 等級比較高的
[2489.30-2491.30] 這種的風險係數會比較低
[2491.30-2493.30] 但是呢
[2493.30-2495.30] 只要業務有做
[2495.30-2499.30] 還是會有風險的一個係數
[2499.30-2502.30] 還是會讓這個比喻下降
[2502.30-2503.30] 像我跟各位報告
[2503.30-2506.30] 即便我們乘坐政府的
[2506.30-2509.30] 政府的風險係數還是有20%
[2509.30-2510.30] 除非你做中央政府的
[2510.30-2511.30] 像包括是高雄市的
[2512.30-2513.30] 市政府的市政貸款
[2513.30-2516.30] 他的這個還是有風險係數20%的
[2516.30-2519.30] 這個是這樣子的一個因素
[2519.30-2521.30] 那我們第一類資本也是
[2521.30-2524.30] 那就是由這個高峰期的13.32
[2524.30-2526.30] 那現在大概是
[2526.30-2528.30] 去年年底大概12.21
[2528.30-2530.30] 那普通股權益的比例
[2530.30-2533.30] 也由當時的11.01
[2533.30-2538.30] 到去年年底的大概就是10.13
[2538.30-2540.30] 但是相對去年
[2540.30-2542.30] 前一個年度的同期
[2542.30-2543.30] 我們就有看到
[2543.30-2545.30] 這個還是有增加非常多的
[2545.30-2550.30] 這個資本市主率大概整整就增加了一個百分點
[2550.30-2552.30] 那如果這個是這個T21
[2552.30-2555.30] 也就是第一類資本的比例的話
[2555.30-2557.30] 大概也增加了1.27個百分點
[2557.30-2560.30] 那這個普通股權益比例呢
[2560.30-2561.30] 大概也增加了
[2561.30-2565.30] 邊檢這邊大概也增加了1.66個百分點
[2565.30-2568.30] 還是有非常長足的一個進步
[2568.30-2572.30] 雖然離法定的下限還有一段距離
[2572.30-2573.30] 但是呢
[2573.30-2575.30] 因為這個比例是越高
[2575.30-2579.30] 對於銀行承擔風險的這個能力是會越高的
[2579.30-2582.30] 所以這個適當的提高這個資本三率
[2582.30-2584.30] 是有它必要性的
[2584.30-2585.30] 好
[2585.30-2587.30] 接下來我們來看一下一個頁次
[2587.30-2588.30] 好
[2588.30-2591.30] 接下來這個是我們的信用平等
[2591.30-2592.30] 那信用平等的話
[2592.30-2594.30] 因為這個原則上這個信用平等
[2594.30-2596.30] 它是一年才做一次的
[2596.30-2598.30] 它不是三天兩頭來
[2598.30-2601.30] 除非銀行發生什麼重大事故
[2601.30-2602.30] 但它是一年來
[2602.30-2604.30] 不然的話這個原則上大概就是一年會平一次
[2604.30-2606.30] 那各位可以看到
[2606.30-2611.30] 我們過去三年的這個Fee給我們的這個信用平等的這個Rating
[2611.30-2613.30] 基本上都是維持的
[2613.30-2616.30] 三年來也都沒有任何的一個變化
[2616.30-2619.30] 那我們可以看到這個
[2619.30-2621.30] 國際的平等這個部分呢
[2621.30-2623.30] 這個部分也是一樣都是維持的
[2623.30-2626.30] 沒有任何的一個變化
[2626.30-2627.30] 好
[2627.30-2628.30] 接下來我們看下一頁
[2628.30-2630.30] 那這個是我們近期比較重要的一個事件
[2630.30-2632.30] 在這邊做一個摘要
[2632.30-2634.30] 跟各位法人還有股東
[2634.30-2636.30] 貴賓們做一個報告
[2636.30-2638.30] 那這個部分第一個就是說呢
[2638.30-2641.30] 我們的董事會集合處呢
[2641.30-2643.30] 集合工作做得非常棒
[2643.30-2646.30] 這個榮獲今晚會在2024年10月
[2646.30-2650.30] 它公布的這個對本國銀行的考評裡面呢
[2650.30-2652.30] 它獲得這個成績優良
[2652.30-2654.30] 這個獎不好拿
[2654.30-2655.30] 這個獎不好拿
[2655.30-2658.30] 我們高雄銀行成立幾十年
[2658.30-2659.30] 這個是第一次得到
[2659.30-2661.30] 確實是不好拿
[2661.30-2663.30] 那另外第二個是這個
[2663.30-2666.30] 我們在那個去年
[2666.30-2669.30] 十一月結合高雄市政府財政局
[2669.30-2670.30] 還有這個運發局
[2670.30-2674.30] 還有我們在地的九個企業呢
[2674.30-2676.30] 還有運動選手
[2676.30-2677.30] 也就是運動選手
[2677.30-2679.30] 我們一起有舉辦的這樣子
[2679.30-2681.30] 捐血的一個活動
[2681.30-2683.30] 在這個巨蛋這邊
[2683.30-2685.30] 這個百貨公司的門口這邊
[2685.30-2686.30] 好
[2686.30-2688.30] 再來呢我們也榮獲了
[2688.30-2691.30] 現在這邊沒有把這個舉辦的單位寫出來
[2691.30-2694.30] 那這個是榮獲了工商時報
[2694.30-2696.30] 它舉辦的2024年
[2696.30-2699.30] TRA AWARD多元信託的這個創新獎
[2699.30-2702.30] 裡面的這個優質獎的一個肯定
[2702.30-2704.30] 這個也是算是一種榮耀
[2704.30-2705.30] 我們的信託業務做得不錯
[2705.30-2706.30] 再次呢
[2706.30-2709.30] 另外呢我們也榮獲了這個
[2709.30-2711.30] 金融延續中心呢
[2711.30-2713.30] 我們頒發的這個金質獎的一個殊榮
[2713.30-2715.30] 另外呢也跟各位報告
[2715.30-2716.30] 因為其實這個
[2716.30-2718.30] 這件事情是非常重要的
[2718.30-2719.30] 也就是說呢
[2719.30-2722.30] 宣導到社區到學校
[2722.30-2724.30] 去宣導這個
[2724.30-2728.30] 主詐防詐這件事情是非常重要的
[2728.30-2730.30] 因為我們知道很多老百姓的辛苦錢
[2730.30-2732.30] 都被這個詐騙集團騙走
[2732.30-2734.30] 那我們去年呢
[2734.30-2737.30] 我們大概已經舉辦了64場的一個活動
[2737.30-2740.30] 那參與的人數超過3300人
[2740.30-2742.30] 那這項業務呢
[2742.30-2744.30] 跟這項這個活動呢
[2744.30-2745.30] 我們不會停止
[2745.30-2747.30] 我們今年會辦的更多
[2747.30-2749.30] 我們希望可以到更多的地方
[2749.30-2751.30] 更多的地區
[2751.30-2753.30] 不管是社區或者是學校
[2753.30-2755.30] 去做這樣子的宣導
[2755.30-2757.30] 那只要有效果
[2757.30-2759.30] 這個因為老百姓大家的錢
[2759.30-2760.30] 賺的確實也不容易
[2760.30-2763.30] 這個部分我們會持續去follow
[2763.30-2765.30] 好那再來的話
[2765.30-2766.30] 這個是我們前景展望
[2766.30-2768.30] 這個是我們董事長
[2768.30-2769.30] 他的一個主要的一個
[2769.30-2771.30] 最主要的經營理念
[2771.30-2773.30] 那我們整個高雄銀行也都follow
[2773.30-2775.30] 這幾個主要的主軸
[2775.30-2776.30] 在經營業務
[2776.30-2777.30] 當然第一個
[2777.30-2779.30] 尤其我們現金增值之後
[2779.30-2781.30] 更要拿出好的績效
[2781.30-2782.30] 來回饋我們的股東
[2782.30-2783.30] 所以這個呢
[2783.30-2785.30] 這個才是最重要的事情
[2785.30-2786.30] 提升經營績效
[2786.30-2787.30] 那再來的話
[2787.30-2789.30] 大概是我們會協助產業發展
[2789.30-2791.30] 跟這個地碳的轉型
[2791.30-2793.30] 這個也是現在最夯的
[2793.30-2794.30] ESG的一個部分
[2794.30-2795.30] 跟永續
[2795.30-2797.30] 再來我們會加速
[2797.30-2799.30] 我們的資訊優化跟數位轉型
[2799.30-2801.30] 這個我們也在做
[2801.30-2802.30] 這個由我們的
[2802.30-2804.30] 我們行裡面的張副總
[2804.30-2805.30] 特別督導這個部分
[2805.30-2806.30] 做我們的資訊優化
[2806.30-2807.30] 做我們的資訊的一個
[2807.30-2809.30] 精進的一個專案
[2809.30-2810.30] 持續在做
[2810.30-2811.30] 那接下來的話
[2811.30-2813.30] 這個是我們新興風險
[2813.30-2815.30] 跟資產品質的一個管控
[2815.30-2817.30] 我想這個作為一個銀行業
[2817.30-2818.30] 這個對於風險的管控
[2818.30-2820.30] 是最重要的事情
[2820.30-2821.30] 再來是我們也會加強
[2821.30-2822.30] 我們員工的訓練
[2822.30-2824.30] 跟人才的一個培育
[2824.30-2828.30] 其次我們當然要落實永續經營
[2828.30-2830.30] 銀行是這個百年大業
[2830.30-2832.30] 我們會持續follow
[2832.30-2834.30] 這六個主軸
[2834.30-2836.30] 持續來努力
[2836.30-2864.82] 那就是明天cell
[2864.82-2866.30] 我們就會開始
[2866.30-2868.30] 好
[2868.30-2870.30] 那如果有相關問題歡迎致電
[2870.30-2872.30] 我們高雄銀行做詢問
[2872.30-2874.30] 那本次法人說明會圓滿結束
[2874.30-2876.30] 本會備有餐盒
[2876.30-2878.30] 我們門口可以直接做領取
[2878.30-2880.30] 謝謝
